40-11101,http://tshop.r10s.jp/biccamera/cabinet/product/2585/00000003583349_a01.jpg?fitin=700:700,5684.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY,,<!-- -->■高輝度LEDを効率よく照射する配列になっています。<BR><BR>■グローブにフレネルレンズを設けた構造により視認光の面積を高める設計となっています。<BR><BR>■周辺への注意喚起。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■幅(mm):120<BR>■奥行(mm):120<BR>■高さ(mm):155<BR>■電源(V):ＡＣ/ＤＣ24<BR>■消費電力(W):2.0<BR>■色:黄<BR>■モータレスLED<BR>■回転タイプ<BR>■取り付けビスはステンレスを使用<BR>■欧州RoHS指令対応品<ＢＲ>■【材質／仕上げ】　グローブ:アクリル　ボディー:ABS  <BR>■原産国:日本<BR>■質量:530G</td></tr></table></div>,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY：ビックカメラ楽天市場店,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY,【送料無料】 日惠製作所 NIKKEI　ニコトーチ120　VL12R型　LED回転灯　120パイ　黄　VL12R-024NY[rn]
40-11112,http://tshop.r10s.jp/biccamera/cabinet/product/0145/00000001454195_a01.jpg?fitin=700:700,532.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 高強度ケーブルタイ　12．7×550mm最大159標準型　10本入　TRCV550XL10,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■主に屋内での結束に適した汎用性の高いタイプです。<BR><BR>【用途】<BR>・電線ケーブルの固定や結束に。屋内使用に最適です。<BR><BR>【仕様】<BR>色：白、幅(mm)：12.7、長さ(mm)：550、厚み(mm)：2.20、最大結束径(mm)：159、引張強度(N)：1117.2、質量(g)：160<BR>屋内用、使用温度範囲：-40～80℃、UL規格品、UL難燃性（94V-2）<BR><BR>【材質／仕上】<BR>■ナイロン66<BR><BR>【原産国】<BR>台湾,トラスコ中山 高強度ケーブルタイ　12．7&times;550mm最大159標準型　10本入　TRCV550XL10：ビックカメラ楽天市場店,トラスコ中山 高強度ケーブルタイ　12．7&times;550mm最大159標準型　10本入　TRCV550XL10,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 高強度ケーブルタイ　12．7&times;550mm最大159標準型　10本入　TRCV550XL10[rn]
40-11113,http://tshop.r10s.jp/biccamera/cabinet/product/0936/00000001919605_a01.jpg?fitin=700:700,12363.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 パンドウイット スパイラルラッピング　ナイロン66　ナチュラル　T62NC,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■電線・ワイヤー・チューブなどを保護して摩耗を防止します。<BR><BR>【用途】<BR>・各種電線の損傷防止。<BR><BR>【仕様】<BR>色：ナチュラル、厚み(mm)：0．9、最大結束径(mm)：40．6、長さ(m)：30．48、チューブ内径(mm)：14．1、チューブ外径(mm)：15．9、質量(g)：2245<BR>使用温度範囲：-40~65℃、屋内用<BR><BR>【材質/仕上】<BR>■ナイロン66<BR><BR>【原産国】<BR>アメリカ,【送料無料】 パンドウイット スパイラルラッピング　ナイロン66　ナチュラル　T62NC：ビックカメラ楽天市場店,【送料無料】 パンドウイット スパイラルラッピング　ナイロン66　ナチュラル　T62NC,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 パンドウイット スパイラルラッピング　ナイロン66　ナチュラル　T62NC[rn]
40-11114,http://tshop.r10s.jp/biccamera/cabinet/product/1848/00000003264375_a01.jpg?fitin=700:700,386.4000,,花・ガーデン・DIY > DIY・工具 > その他,アイマーク ＩＭ 押ボタン／セレクトスイッチ（メガネ銘板） アラームリセット 黒 φ２２．５ Ｐ２２－１４,,<!-- -->■書体:丸ゴシック（JIS書体）です。<BR><BR>【用途】<BR>・配電盤・分電盤・制御盤・電気通信機器・工業機械などに取り付け、その名称・用途・機能を表示します。<BR><BR>【仕様】<BR>表示内容:アラームリセット、文字色:黒、縦(mm):40、横(mm):30、厚み(mm):2、穴径:φ２２．５、穴径(mm):22.5、質量(g):2<BR><BR>【材質/仕上】<BR>■透明アクリル（裏面白地塗装）<BR><BR>【原産国】<BR>日本,アイマーク ＩＭ 押ボタン／セレクトスイッチ（メガネ銘板） アラームリセット 黒 φ２２．５ Ｐ２２&minus;１４：ビックカメラ楽天市場店,アイマーク ＩＭ 押ボタン／セレクトスイッチ（メガネ銘板） アラームリセット 黒 φ２２．５ Ｐ２２&minus;１４,アイマーク ＩＭ 押ボタン／セレクトスイッチ（メガネ銘板） アラームリセット 黒 φ２２．５ Ｐ２２&minus;１４[rn]
40-11115,http://tshop.r10s.jp/biccamera/cabinet/product/2529/00000003564088_a01.jpg?fitin=700:700,412.8000,,花・ガーデン・DIY > DIY・工具 > その他,ニチフ端子工業 ニチフ　裸圧着端子　R形（100P） R 1.25-3S,,<!-- -->■接触面(舌部)が丸く、ねじ固定用の取り付け穴がある裸圧着端子です。<BR><BR>■軟鋼のより線電線の接続に。<BR><BR>■軟銅のより線または、単線の電線を接続するために使用します。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■電線抱合範囲より線mm[[の2乗]]:0.25～1.65<BR>■電線抱合範囲AWG:22-16<BR>■色:シルバー<BR>■全長(mm):11.9<BR>■スタッド径(mm):3.2<BR>■JIS規格品:×<BR>■内寸(mm):1.7<BR>■電線抱合範囲単線mm:0.57～1.44<BR>■外寸(mm):5.7<BR>■丸形<BR>■【材質／仕上げ】　端子:無酸素銅(C1020)/電気すずメッキ <BR>■注意・銅線専用です。・電線抱合範囲内でご使用ください。・当社指定の適用圧着工具をご使用ください。<BR>■原産国:日本<BR>■質量:42G</td></tr></table></div>,ニチフ端子工業 ニチフ　裸圧着端子　R形（100P） R 1.25-3S：ビックカメラ楽天市場店,ニチフ端子工業 ニチフ　裸圧着端子　R形（100P） R 1.25-3S,ニチフ端子工業 ニチフ　裸圧着端子　R形（100P） R 1.25-3S[rn]
40-11116,http://tshop.r10s.jp/biccamera/cabinet/product/0148/00000001455400_a01.jpg?fitin=700:700,932.8000,,花・ガーデン・DIY > DIY・工具 > その他,パンドウイット ナイロン結束バンド　耐候性黒　PLT1SC0 （1袋100本）,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■電気・電子・通信・一般配線工事など幅広く使用できます。<BR><BR>■耐紫外線性に優れた製品です。<BR><BR>【用途】<BR>・ワイヤー、ケーブルなどの結束。<BR><BR>【仕様】<BR>色：黒、幅(mm)：4．8、長さ(mm)：122、厚み(mm)：1．3、最大結束径(mm)：25、引張強度(N)：222、質量(g)：123<BR>屋内・屋外用、UL規格品、使用温度範囲：-60~85℃<BR><BR>【材質/仕上】<BR>■耐候性ナイロン66<BR><BR>【原産国】<BR>シンガポール,パンドウイット ナイロン結束バンド　耐候性黒　PLT1SC0 （1袋100本）：ビックカメラ楽天市場店,パンドウイット ナイロン結束バンド　耐候性黒　PLT1SC0 （1袋100本）,AppStore/AndroidMarketでビック楽天を検索。パンドウイット ナイロン結束バンド　耐候性黒　PLT1SC0 （1袋100本）[rn]
40-11117,http://tshop.r10s.jp/biccamera/cabinet/product/0787/00000001829826_a01.jpg?fitin=700:700,428.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 裸圧着端子 丸形 φ6.4長さ27.5　TR146 （1パック6個）,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■接触面（舌部）が丸く、ねじ固定用の取り付け穴がある裸圧着端子です。<BR><BR>【用途】<BR>・軟銅のより線を接続するために使用します。<BR><BR>【仕様】<BR>電線抱合範囲単線mm：-、電線抱合範囲より線mm[[の2乗]]：10.52～16.78、電線抱合範囲AWG：6、<BR>色：シルバー、外寸(mm)：12.0、スタッド径(mm)：6.4、全長(mm)：27.5、内寸(mm)：5.8、JIS規格品：○、質量(g)：40<BR>丸形（単線非対応）<BR><BR>【材質/仕上】<BR>■無酸素銅（C1020）/電気すずメッキ<BR><BR>【原産国】<BR>日本,トラスコ中山 裸圧着端子 丸形 φ6.4長さ27.5　TR146 （1パック6個）：ビックカメラ楽天市場店,トラスコ中山 裸圧着端子 丸形 φ6.4長さ27.5　TR146 （1パック6個）,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 裸圧着端子 丸形 φ6.4長さ27.5　TR146 （1パック6個）[rn]
40-11118,http://tshop.r10s.jp/biccamera/cabinet/product/2610/00000003583961_a01.jpg?fitin=700:700,1278.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＡＰＩＳＥＬＣＯ社 SapiSelco　リリースタイ　7．5mm×250mm　RIA.2.231,,<!-- -->■仮止めとして結束したものをワンプッシュで再び開くとこができます。<BR><BR>■結束場所を間違えた場合も何度でもやり直せます。<BR><BR>■ケーブルなどの結束に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:白<BR>■幅(mm):7.5<BR>■長さ(mm):250<BR>■厚み(mm):1.63<BR>■最大結束径(mm):65<BR>■引張強度(N):360<BR>■屋内用<BR>■使用温度範囲:-15～75℃<ＢＲ>■【材質／仕上げ】　ナイロン <ＢＲ>■注意・屋内で使用してください。・ナイロン製品は乾燥し、含水量が低下すると折れやすくなりますので、開封後はお早めにご使用ください。・開封後、保管する場合は袋を密閉してください。・厳寒期はナイロン製品が固まりやすくなりますので、室温に戻してからご使用ください。<BR>■原産国:イタリア<BR>■質量:271G</td></tr></table></div>,ＳＡＰＩＳＥＬＣＯ社 SapiSelco　リリースタイ　7．5mm&times;250mm　RIA.2.231：ビックカメラ楽天市場店,ＳＡＰＩＳＥＬＣＯ社 SapiSelco　リリースタイ　7．5mm&times;250mm　RIA.2.231,ＳＡＰＩＳＥＬＣＯ社 SapiSelco　リリースタイ　7．5mm&times;250mm　RIA.2.231[rn]
40-11119,http://tshop.r10s.jp/biccamera/cabinet/product/2587/00000003588808_a01.jpg?fitin=700:700,256.8000,,花・ガーデン・DIY > DIY・工具 > その他,不易糊工業 フエキ　濡れたところに書けるマーカー　黄　MAW3-H,,<!-- -->■雨の日の作業や、水回りの作業にもしっかりマーキングできます。<BR><BR>■金属・プラスチック・ガラスなどへのマーキングに最適です。<BR><BR>■工業用素材・部品へのマーキング用。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:黄<BR>■幅(mm):19<BR>■奥行(mm):19<BR>■高さ(mm):146<ＢＲ>■【材質／仕上げ】　本体:油性顔料系　芯:ポリエステル  <BR>■原産国:日本<BR>■質量:18G</td></tr></table></div>,不易糊工業 フエキ　濡れたところに書けるマーカー　黄　MAW3-H：ビックカメラ楽天市場店,不易糊工業 フエキ　濡れたところに書けるマーカー　黄　MAW3-H,不易糊工業 フエキ　濡れたところに書けるマーカー　黄　MAW3-H[rn]
40-11120,http://tshop.r10s.jp/biccamera/cabinet/product/1792/00000003204071_a01.jpg?fitin=700:700,222.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＬＡＣＯ Markal　工業用マーカー　ペイントスティック　B 　紫　80228,,<!-- -->■クレヨンのペン先表面が乾燥しても数回ワークにこするだけで、乾燥した薄皮がめくれマーキング力が何度も回復します。<BR>■油面、水面、ザラザラした面や汚れた面などにもマーキングできます。<BR>■耐候性、耐紫外線性に優れ、鮮明なマーキングを長期間維持します。<BR><BR>【用途】<BR>・様々な建材のマーキングに。<BR>・金属、パイプ、木材、ゴム、ガラス、セメント、セラミックス、プラスチック、陶磁器、繊維製品等、あらゆる素材へのマーキングにご利用いただけます。<BR><BR>【仕様】<BR>色：紫、適用温度範囲(℃)：-46～66、寸法(ｍｍ)：17×121<BR><BR>【材質/仕上】<BR>■顔料<BR><BR>【原産国】<BR>アメリカ,ＬＡＣＯ Markal　工業用マーカー　ペイントスティック　B 　紫　80228：ビックカメラ楽天市場店,ＬＡＣＯ Markal　工業用マーカー　ペイントスティック　B 　紫　80228,ＬＡＣＯ Markal　工業用マーカー　ペイントスティック　B 　紫　80228[rn]
40-11121,http://tshop.r10s.jp/biccamera/cabinet/product/1771/00000003203419_a01.jpg?fitin=700:700,932.8000,,花・ガーデン・DIY > DIY・工具 > その他,マークテック エコチェック　現像液　ED-ST　450型　C0010012210,,<!-- -->■天然原料・化粧品原料を主成分とした、人と環境に優しい染色浸透探傷試験用の現像剤です。<BR>■乾燥性がよく、鮮明な指示模様が出ます。<BR>■ＪＩＳ Ｚ 2343-2適合品です。<BR><BR>【用途】<BR>・染色浸透探傷試験用現像剤。<BR><BR>【仕様】<BR>色：白、容量(ｍｌ)：420、質量(ｇ)：285<BR>使用温度範囲：-5～50℃、容器：エアゾール缶、適合規格：ＪＩＳ-Ｚ-2343-2・ＩＳＯ-3452-2<BR><BR>【材質/仕上】<BR>■主成分：エチルアルコール、白色無機粉末<BR><BR>【原産国】<BR>日本,マークテック エコチェック　現像液　ED-ST　450型　C0010012210：ビックカメラ楽天市場店,マークテック エコチェック　現像液　ED-ST　450型　C0010012210,マークテック エコチェック　現像液　ED-ST　450型　C0010012210[rn]
