40-10801,http://tshop.r10s.jp/biccamera/cabinet/product/1687/00000003181714_a01.jpg?fitin=700:700,1969.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＴＮ G　ベアリングユニット 　UCFC205D1,,<!-- -->●軸受箱の取り付け面に円筒状の印ろうを設け、フレームにはめ込む形式になっており、取り付けの際に偏芯が少なく、位置決めも正確です。<BR><BR>【用途】<BR>●ドラムプーリなどに。<BR><BR>【仕様】<BR>●軸径(mm)：25●全長(mm)：115●全高(mm)：115●取付ピッチ(mm)：90●取付ねじ：M10●質量(kg)：1<BR>●給油式印ろう付き丸フランジ形●止めねじ式●使用温度範囲：-15～100℃<BR><BR>【材質/仕上】<BR>●軸受：高炭素クロム軸受鋼●軸受箱：鋳鉄<BR><BR>【原産国】<BR>日本,ＮＴＮ G　ベアリングユニット 　UCFC205D1：ビックカメラ楽天市場店,ＮＴＮ G　ベアリングユニット 　UCFC205D1,ＮＴＮ G　ベアリングユニット 　UCFC205D1[rn]
40-10814,http://tshop.r10s.jp/biccamera/cabinet/product/1248/00000002103769_a01.jpg?fitin=700:700,213.6000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ノットタイ　幅2．4mmX120mm最大結束φ30　TRTV120 （1袋100個）,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■止め穴が一つのため簡単に外せます。<BR><BR>■手締めで簡単、確実に結束でき、取り外しも自在です。<BR><BR>【用途】<BR>・仮止め用に適しています。<BR><BR>【仕様】<BR>最大結束径(mm)：30、幅×長さ(mm)：2.4×120、質量(g)：43<BR>色：白、UL難燃性(94V-2）、使用温度範囲：-40～85℃<BR><BR>【材質／仕上】<BR>■66ナイロン<BR><BR>【原産国】<BR>台湾,トラスコ中山 ノットタイ　幅2．4mmX120mm最大結束φ30　TRTV120 （1袋100個）：ビックカメラ楽天市場店,トラスコ中山 ノットタイ　幅2．4mmX120mm最大結束φ30　TRTV120 （1袋100個）,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ノットタイ　幅2．4mmX120mm最大結束φ30　TRTV120 （1袋100個）[rn]
40-10815,http://tshop.r10s.jp/biccamera/cabinet/product/1817/00000003176175_a01.jpg?fitin=700:700,14506.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 生爪北川用　B用　チャック12インチ　P1．5mmH60mm　B212601.5,,<!-- -->●修正削りが容易で、しかも適当な硬さを持っているS45C鋼を使用しています。また、再取り付け後の復元精度（芯振れ）の低下とマスタージョウの取り付けゆがみが生じる原因などの点を十分考慮して綿密な加工を施しています。<BR><BR>【仕様】<BR>●チャック外径(インチ)：12●ピッチ(mm)：1.5●長さ(mm)：111.0●幅(mm)：50●高さ(mm)：60●質量(kg)：7.30<BR>●機械構造用炭素鋼(S45C)<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 生爪北川用　B用　チャック12インチ　P1．5mmH60mm　B212601.5：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 生爪北川用　B用　チャック12インチ　P1．5mmH60mm　B212601.5,【送料無料】 トラスコ中山 生爪北川用　B用　チャック12インチ　P1．5mmH60mm　B212601.5[rn]
40-10816,http://tshop.r10s.jp/biccamera/cabinet/product/0941/00000001921350_a01.jpg?fitin=700:700,6980.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ジョウナット　豊和用　M6　JTHHO27M6,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■多数のチャックを利用する加工において、交換用爪にジョウナットをセットしておくことで、段取り替えを効率化します。<BR><BR>■パレットチェンジャー・ワークグリッパーチャック用に最適です。<BR><BR>【用途】<BR>・パレットチェンジャー・ワークグリッパーチャック用に。<BR><BR>【仕様】<BR>高さ(mm)：21.5、長さ(mm)：37、底面幅(mm)：17、上段幅(mm)：12、先端幅(mm)：6、ねじ：M10、<BR>質量(g)：150<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ジョウナット　豊和用　M6　JTHHO27M6：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ジョウナット　豊和用　M6　JTHHO27M6,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 ジョウナット　豊和用　M6　JTHHO27M6[rn]
40-10817,http://tshop.r10s.jp/biccamera/cabinet/product/2573/00000003573329_a01.jpg?fitin=700:700,2488.0000,,花・ガーデン・DIY > DIY・工具 > その他,ムラキ MRA ERコレットシステム ER8コレット MRA-ERC08.0450,,<!-- -->■芯振れ精度5μm以内の高精度UP級コレットです。<BR><BR>■ヨーロッパで標準の16°テーパーコレット（片角8°）です。<BR><BR>■コレットサイズER8・ER11・ER16・ER20・ER25・ER32の6種類です。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■把握径(mm):4.0～4.5<BR>■外径(mm):8.5<BR>■全長(mm):13.5<BR>■規格:ER8<BR>■DIN6499<BR>■ISO15488<BR>■4d先端振れ精度:5μm   <BR>■原産国:台湾<BR>■質量:2.5G</td></tr></table></div>,ムラキ MRA ERコレットシステム ER8コレット MRA-ERC08.0450：ビックカメラ楽天市場店,ムラキ MRA ERコレットシステム ER8コレット MRA-ERC08.0450,ムラキ MRA ERコレットシステム ER8コレット MRA-ERC08.0450[rn]
40-10818,,5425.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ＮＴＮ NTN F ニードルベアリング NATV35LL,,<!-- -->■負荷容量が大きく、高荷重に適します。<BR><BR>■一般産機用。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■内径(mm):35<BR>■外径(mm):72<BR>■幅(mm):29<BR>■シール:合成ゴム（NBR系）<BR>■外輪:球面外輪形<BR>■精度等級:JIS B 1514 0級<BR>■使用温度範囲:-20～120℃<BR>■【材質／仕上げ】　高炭素クロム軸受鋼  <BR>■原産国:日本<BR>■質量:636.755G</td></tr></table></div>,【送料無料】 ＮＴＮ NTN F ニードルベアリング NATV35LL：ビックカメラ楽天市場店,【送料無料】 ＮＴＮ NTN F ニードルベアリング NATV35LL,【送料無料】 ＮＴＮ NTN F ニードルベアリング NATV35LL[rn]
40-10819,http://tshop.r10s.jp/biccamera/cabinet/product/0471/00000001644437_a01.jpg?fitin=700:700,1628.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 圧縮コイルばね　D11.0Xd0.70XL28.0　10個入　TCS1100070280,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■間隔をあけて線材をらせん状に巻いた、圧縮する方向に使うばねです。<BR><BR>■寸法およびばね特性の許容差はJIS B2707の2級を適用しています。<BR><BR>【用途】<BR>・圧縮する方向に使用するばね。<BR><BR>【仕様】<BR>線径d(mm)：0.70、巻数(巻)：7.00、外径D(mm)：11.0、自由高さL(mm)：28.0、ばね定数(N/mm)：0.373、<BR>許容荷重(N)：6.67、荷重時高さL1(mm)：10.11、密着高さ(mm)：5.6、質量(g)：18<BR>端末形状：クローズエンド、巻方向：任意<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304-WPB）<BR><BR>【原産国】<BR>日本,トラスコ中山 圧縮コイルばね　D11.0Xd0.70XL28.0　10個入　TCS1100070280：ビックカメラ楽天市場店,トラスコ中山 圧縮コイルばね　D11.0Xd0.70XL28.0　10個入　TCS1100070280,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 圧縮コイルばね　D11.0Xd0.70XL28.0　10個入　TCS1100070280[rn]
40-10820,http://tshop.r10s.jp/biccamera/cabinet/product/2588/00000003583118_a01.jpg?fitin=700:700,2315.2000,,花・ガーデン・DIY > DIY・工具 > その他,和気産業 WAKI　ワイルドフックL型　WW006,,<!-- -->■使わない時は折りたためてコンパクトに収納できます。<BR><BR>■限られた季節だけで使うものや床に置いておくと邪魔になる大きなものの収納に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■吊下荷重(N/kgf):30<BR>■幅(mm):390<BR>■奥行(mm):440<BR>■ねじ穴ピッチ(mm):100<BR>■耐荷重(kg):30<BR>■耐荷重：３０ｋｇ<ＢＲ>■【材質／仕上げ】　スチール <ＢＲ>■注意・フックにぶら下がらないでください。・ガラス製品等壊れやすいものは掛けないでください。<BR>■原産国:中国<BR>■質量:1528G</td></tr></table></div>,和気産業 WAKI　ワイルドフックL型　WW006：ビックカメラ楽天市場店,和気産業 WAKI　ワイルドフックL型　WW006,和気産業 WAKI　ワイルドフックL型　WW006[rn]
40-10821,http://tshop.r10s.jp/biccamera/cabinet/product/1258/00000002108110_a01.jpg?fitin=700:700,703.2000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 クリンプナット平頭スチール　板厚4.0　M6X1.0　25入　TBN6M40S,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■手の入らない箇所でも迅速簡単に取り付けることが可能です。<BR><BR>■溶接やタップ立てが無理な薄板や合板にも取り付け可能です。<BR><BR>■母材を傷つけず、しっかりと確実に取り付けできます。<BR><BR>【用途】<BR>・住宅関連：サッシ・カーテンウォール・門扉・フェンス・厨房機・スチール家具等<BR>・自動車・車両関連：バス・トラック・コンテナ車・自動車・鉄道車両等<BR>・家電関連：冷蔵庫・レンジ・洗濯機等<BR><BR>【仕様】<BR>かしめ板厚(mm)：2.5～4.0、下穴径(mm)：9.1、適用ねじ：M6×1.00、ナット外径(mm)：9、全長(mm)：16.5、<BR>フランジ厚(mm)：1.5、質量(g)：114<BR>平頭、パック入<BR><BR>【材質/仕上】<BR>■スチール（SWCH）<BR><BR>【原産国】<BR>日本,トラスコ中山 クリンプナット平頭スチール　板厚4.0　M6X1.0　25入　TBN6M40S：ビックカメラ楽天市場店,トラスコ中山 クリンプナット平頭スチール　板厚4.0　M6X1.0　25入　TBN6M40S,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 クリンプナット平頭スチール　板厚4.0　M6X1.0　25入　TBN6M40S[rn]
40-10822,http://tshop.r10s.jp/biccamera/cabinet/product/1102/00000002015926_a01.jpg?fitin=700:700,4648.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 パンドウイット 熱収縮チューブ　標準タイプ　黄　HSTT3848Q4 （1箱25本）,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■機器内配線の絶縁、保護、端末処理、識別に最適です。<BR><BR>■IP62グレード製品です。<BR><BR>【仕様】<BR>収縮前内径(mm)：9.5、収縮後内径(mm)：4.7、長さ(m)：1.219、適合電線(mm[[の2乗]])：6.00～10.00、<BR>色：黄、質量(g)：755<BR>MIL規格：AMS-DTL-23053、UL、CSA認定品、収縮率：50%（120℃加熱時）、耐電圧：600V、<BR>使用温度範囲：-55～135℃<BR><BR>【材質/仕上】<BR>■ポリオレフィン<BR><BR>【原産国】<BR>中国,【送料無料】 パンドウイット 熱収縮チューブ　標準タイプ　黄　HSTT3848Q4 （1箱25本）：ビックカメラ楽天市場店,【送料無料】 パンドウイット 熱収縮チューブ　標準タイプ　黄　HSTT3848Q4 （1箱25本）,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 パンドウイット 熱収縮チューブ　標準タイプ　黄　HSTT3848Q4 （1箱25本）[rn]
40-10823,http://tshop.r10s.jp/biccamera/cabinet/product/1681/00000003177084_a01.jpg?fitin=700:700,326.4000,,花・ガーデン・DIY > DIY・工具 > その他,スーパーツール ユニクランプ自在型（自在座金）M10用　FTZ10,,<!-- -->●ピッタリフィットする専用サイズです。<BR><BR>【用途】<BR>●FTB型ユニクランプとセットで使用します。<BR><BR>【仕様】<BR>●適合ボルト：M10●長さ(mm)：24●幅(mm)：24●高さ(mm)：13●質量(g)：30<BR><BR>【材質/仕上】<BR>●スチール（S55C）メッキ仕上げ●焼き入れ（HRC35～47）<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>日本,スーパーツール ユニクランプ自在型（自在座金）M10用　FTZ10：ビックカメラ楽天市場店,スーパーツール ユニクランプ自在型（自在座金）M10用　FTZ10,スーパーツール ユニクランプ自在型（自在座金）M10用　FTZ10[rn]
