40-10101,http://tshop.r10s.jp/biccamera/cabinet/product/1951/00000003132312_a01.jpg?fitin=700:700,1019.2000,,花・ガーデン・DIY > DIY・工具 > その他,朝日産業 ムシポンカートリッジ5個入り　緑　S20,,<!-- -->■未使用状態で5年、使用状態で2~3年粘着力が落ちません。<BR><BR>■最大捕獲数2万匹の優れた捕獲力があります。<BR><BR>■保持力が低下せず、液ダレしないムシポン専用強力のりを使用しています。<BR><BR>【用途】<BR>・印刷工場、塗装工場。<BR>・薬品工場、化学工場。<BR>・食品工場、飲料メーカー。<BR>・スーパー、外食産業。<BR><BR>【仕様】<BR>適合機種：MPS-2000、MPX-2000、質量(g)：100<BR><BR>【原産国】<BR>日本,朝日産業 ムシポンカートリッジ5個入り　緑　S20：ビックカメラ楽天市場店,朝日産業 ムシポンカートリッジ5個入り　緑　S20,朝日産業 ムシポンカートリッジ5個入り　緑　S20[rn]
40-10112,http://tshop.r10s.jp/biccamera/cabinet/product/1730/00000003193190_a01.jpg?fitin=700:700,6739.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ハマコＳＳ 両口スパナ　CBSS2126,,<!-- -->■摩擦や衝撃を加えても火花が出ない工具です。<BR>■無発火性の他、非磁性や耐蝕性にも優れています。<BR>■米国認定機関　ＦＭ　Ａｐｐｒｏｖａｌｓ認定取得済みです。<BR><BR>【用途】<BR>■化学工業、石油、製鉄、ガス産業、爆薬製造工場、造船所、航空業界、船舶搭載用、火力発電所、製薬工場、アルミ精製所、製粉工場、医療機器メンテナンス現場、クリーンルーム他。<BR><BR>【仕様】<BR>二面幅寸法（ｍｍ）：２１×２６、全長（ｍｍ）：２０５、質量（ｇ）：３０５<BR><BR>【材質/仕上】<BR>■ベリリュウム銅合金<BR><BR>【原産国】<BR>中国,【送料無料】 ハマコＳＳ 両口スパナ　CBSS2126：ビックカメラ楽天市場店,【送料無料】 ハマコＳＳ 両口スパナ　CBSS2126,【送料無料】 ハマコＳＳ 両口スパナ　CBSS2126[rn]
40-10113,http://tshop.r10s.jp/biccamera/cabinet/product/1870/00000003269820_a01.jpg?fitin=700:700,1883.2000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ 絶縁片口スパナ １３ｍｍ ＴＺＳＳ－１３,,<!-- -->■1000V絶縁仕様です。<BR>■IEC60900規格品です。<BR>■強靭なクロムバナジウム鋼鍛造品で、高いトルク値をクリアしています。<BR>■耐電圧試験済みです。<BR><BR>【仕様】<BR>二面幅寸法(mm):13、全長(mm):154、厚み(mm):10.4、質量(g):90<BR><BR>【注意】<BR>■1000V絶縁仕様はハンドル部のみです。<BR><BR>【原産国】<BR>台湾,トラスコ中山 ＴＲＵＳＣＯ 絶縁片口スパナ １３ｍｍ ＴＺＳＳ&minus;１３：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ 絶縁片口スパナ １３ｍｍ ＴＺＳＳ&minus;１３,トラスコ中山 ＴＲＵＳＣＯ 絶縁片口スパナ １３ｍｍ ＴＺＳＳ&minus;１３[rn]
40-10114,http://tshop.r10s.jp/biccamera/cabinet/product/1870/00000003269775_a01.jpg?fitin=700:700,1364.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺１０ｍｍ ＴＺ２－１０Ｓ,,<!-- -->■1000V絶縁仕様です。<BR>■IEC60900規格品です。<BR>■安全を目視で確認できるセーフティーサイン付です。<BR>■接触面が高いトルクをかけてもボルトナットを傷めにくくなっています。<BR>■耐電圧試験済みです。<BR><BR>【仕様】<BR>二面幅寸法(mm):10、差込角(mm):6.35、全長(mm):41、質量(g):26<BR>クロムメッキ仕上げ、クロムメッキ仕上げ<BR><BR>【材質/仕上】<BR>■クロムバナジウム鋼<BR><BR>【注意】<BR>■ボックス内部は絶縁ではありません。<BR><BR>【原産国】<BR>台湾,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺１０ｍｍ ＴＺ２&minus;１０Ｓ：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺１０ｍｍ ＴＺ２&minus;１０Ｓ,トラスコ中山 ＴＲＵＳＣＯ 絶縁ソケット（６角） 差込角６．３５ 対辺１０ｍｍ ＴＺ２&minus;１０Ｓ[rn]
40-10115,http://tshop.r10s.jp/biccamera/cabinet/product/1730/00000003193224_a01.jpg?fitin=700:700,24476.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ハマコＳＳ ラチェットレンチ　CBRH30,,<!-- -->■摩擦や衝撃を加えても火花が出ない工具です。<BR>■無発火性の他、非磁性や耐蝕性にも優れています。<BR>■米国認定機関　ＦＭ　Ａｐｐｒｏｖａｌｓ認定取得済みです。<BR><BR>【用途】<BR>■化学工業、石油、製鉄、ガス産業、爆薬製造工場、造船所、航空業界、船舶搭載用、火力発電所、製薬工場、アルミ精製所、製粉工場、医療機器メンテナンス現場、クリーンルーム他。<BR><BR>【仕様】<BR>二面幅寸法（ｍｍ）：３０、全長（ｍｍ）：３００、質量（ｇ）：１５３２<BR><BR>【材質/仕上】<BR>■ベリリュウム銅合金<BR><BR>【原産国】<BR>中国,【送料無料】 ハマコＳＳ ラチェットレンチ　CBRH30：ビックカメラ楽天市場店,【送料無料】 ハマコＳＳ ラチェットレンチ　CBRH30,【送料無料】 ハマコＳＳ ラチェットレンチ　CBRH30[rn]
40-10116,http://tshop.r10s.jp/biccamera/cabinet/product/0782/00000001827642_a01.jpg?fitin=700:700,3265.6000,,花・ガーデン・DIY > DIY・工具 > その他,大和合金 プラスドライバー　NO．2　BD20002,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■各種ねじの締め付け、取り外し作業に使用します。<BR><BR>■JIS相当品です。<BR><BR>■製品安全評価センターの金属火花非着火性試験を受けています。<BR><BR>■衝撃あるいは摩擦を加えても、着火源となりうる火花が出ません。<BR><BR>■非磁性です。<BR><BR>■耐腐食性が大きいです。<BR><BR>■耐摩擦性が大きいです（ベリコン）。<BR><BR>【用途】<BR>・防爆：タンカー、潜水艦、鉱山、油田、製油所、ガス作業現場、ガソリン・LPG貯蔵庫および輸送車、化学工場、石油化学工場、爆薬工場、花火工場、塗料工場、染色工場、製粉工場、抽出工場、航空機整備工場、火力発電所、製錬所。<BR>・非磁性：コンピュータ・通信機組立工場、磁気テープ工場、掃海艇。<BR>・耐蝕性：食品工場、水道設備工事現場。<BR><BR>【仕様】<BR>軸長(mm)：100、全長(mm)：210、刃先：[[（+）]]No.2、硬度：HB330以上、質量(g)：70<BR>抗張力：102～122kg/[[平方ミリメートル]]、耐熱不変度：100℃位迄、伸び：0.1～5.0%、<BR>導磁率：ベリリウム銅合金0<BR><BR>【材質/仕上】<BR>■軸：ベリリウム銅合金■柄：木・真鍮<BR><BR>【原産国】<BR>日本,大和合金 プラスドライバー　NO．2　BD20002：ビックカメラ楽天市場店,大和合金 プラスドライバー　NO．2　BD20002,AppStore/AndroidMarketでビック楽天を検索。大和合金 プラスドライバー　NO．2　BD20002[rn]
40-10117,http://tshop.r10s.jp/biccamera/cabinet/product/1844/00000003257549_a01.jpg?fitin=700:700,26239.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺２３ｍｍ ＡＭＣＩ－１／２Ｄ２３ＭＭ,,<!-- -->■インパクト用スタンダードタイプの六角ソケットです。<BR>■石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<BR>■米国認定機関FMRC認定取得しています。<BR><BR>【仕様】<BR>二面幅寸法(mm)：23、全長(mm)：38、質量(g)：205<BR><BR>【材質/仕上】<BR>■ニッケルアルミ銅合金<BR><BR>【原産国】<BR>アメリカ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺２３ｍｍ ＡＭＣＩ&minus;１／２Ｄ２３ＭＭ：ビックカメラ楽天市場店,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺２３ｍｍ ＡＭＣＩ&minus;１／２Ｄ２３ＭＭ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトソケット 差込み１２．７ｍｍ 対辺２３ｍｍ ＡＭＣＩ&minus;１／２Ｄ２３ＭＭ[rn]
40-10118,http://tshop.r10s.jp/biccamera/cabinet/product/1729/00000003193012_a01.jpg?fitin=700:700,10972.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ハマコＳＳ 片口スパナ　CBKS36,,<!-- -->■摩擦や衝撃を加えても火花が出ない工具です。<BR>■無発火性の他、非磁性や耐蝕性にも優れています。<BR>■米国認定機関　ＦＭ　Ａｐｐｒｏｖａｌｓ認定取得済みです。<BR><BR>【用途】<BR>■化学工業、石油、製鉄、ガス産業、爆薬製造工場、造船所、航空業界、船舶搭載用、火力発電所、製薬工場、アルミ精製所、製粉工場、医療機器メンテナンス現場、クリーンルーム他。<BR><BR>【仕様】<BR>二面幅寸法（ｍｍ）：３６、全長（ｍｍ）：３１０、質量（ｇ）：５３０<BR><BR>【材質/仕上】<BR>■ベリリュウム銅合金<BR><BR>【原産国】<BR>中国,【送料無料】 ハマコＳＳ 片口スパナ　CBKS36：ビックカメラ楽天市場店,【送料無料】 ハマコＳＳ 片口スパナ　CBKS36,【送料無料】 ハマコＳＳ 片口スパナ　CBKS36[rn]
40-10119,http://tshop.r10s.jp/biccamera/cabinet/product/1844/00000003257606_a01.jpg?fitin=700:700,23344.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺１４ｍｍ ＡＭＣＤＷ－１／２Ｄ１４ＭＭ,,<!-- -->■ディープタイプ六角ソケットです。<BR>■石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<BR>■米国認定機関FMRC認定取得しています。<BR><BR>【仕様】<BR>二面幅寸法(mm)：14、全長(mm)：75、質量(g)：225<BR><BR>【材質/仕上】<BR>■ニッケルアルミ銅合金<BR><BR>【原産国】<BR>アメリカ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺１４ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ１４ＭＭ：ビックカメラ楽天市場店,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺１４ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ１４ＭＭ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆ディープソケット 差込み１２．７ｍｍ 対辺１４ｍｍ ＡＭＣＤＷ&minus;１／２Ｄ１４ＭＭ[rn]
40-10120,http://tshop.r10s.jp/biccamera/cabinet/product/1868/00000003270390_a01.jpg?fitin=700:700,4820.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 京都機械工具（ＫＴＣ） ＫＴＣ 絶縁工具 ９．５ｓｑ．エクステンションバー １２５ｍｍ ＺＢＥ３－１２５,,<!-- -->■絶縁工具に関する唯一の国際規格であるＩＥＣ　６０９００：２００４規格に適合した製品です。<BR>■ＡＣ１０００Ｖ、ＤＣ１５００Ｖまでの電圧に対応します。<BR>■ソケットの脱落を防止する「落下防止ねじ」を採用しています。<BR><BR>【用途】<BR>・ハイブリッド車の整備<BR><BR>【仕様】<BR>差込角(mm):9.5、全長(mm):144、ＩＥＣ　６０９００：２００４規格に適合<BR>安全性の高い二層絶縁被膜を採用しています。<BR><BR>【原産国】<BR>ドイツ,【送料無料】 京都機械工具（ＫＴＣ） ＫＴＣ 絶縁工具 ９．５ｓｑ．エクステンションバー １２５ｍｍ ＺＢＥ３&minus;１２５：ビックカメラ楽天市場店,【送料無料】 京都機械工具（ＫＴＣ） ＫＴＣ 絶縁工具 ９．５ｓｑ．エクステンションバー １２５ｍｍ ＺＢＥ３&minus;１２５,【送料無料】 京都機械工具（ＫＴＣ） ＫＴＣ 絶縁工具 ９．５ｓｑ．エクステンションバー １２５ｍｍ ＺＢＥ３&minus;１２５[rn]
40-10121,http://tshop.r10s.jp/biccamera/cabinet/product/1844/00000003257586_a01.jpg?fitin=700:700,31484.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトディープソケット 差込み１２．７ｍｍ 対辺１０ｍｍ ＡＭＣＤＷＩ－１／２Ｄ１０ＭＭ,,<!-- -->■インパクト用ディープタイプ六角ソケットです。<BR>■石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<BR>■米国認定機関FMRC認定取得しています。<BR><BR>【仕様】<BR>二面幅寸法(mm)：10、全長(mm)：75、質量(g)：225<BR><BR>【材質/仕上】<BR>■ニッケルアルミ銅合金<BR><BR>【原産国】<BR>アメリカ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトディープソケット 差込み１２．７ｍｍ 対辺１０ｍｍ ＡＭＣＤＷＩ&minus;１／２Ｄ１０ＭＭ：ビックカメラ楽天市場店,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトディープソケット 差込み１２．７ｍｍ 対辺１０ｍｍ ＡＭＣＤＷＩ&minus;１／２Ｄ１０ＭＭ,【送料無料】 スナップオンツールズ Ａｍｐｃｏ 防爆インパクトディープソケット 差込み１２．７ｍｍ 対辺１０ｍｍ ＡＭＣＤＷＩ&minus;１／２Ｄ１０ＭＭ[rn]
40-10122,http://tshop.r10s.jp/biccamera/cabinet/product/1862/00000003259011_a01.jpg?fitin=700:700,4043.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 リョービ リョービ ガンＡＳＳＹ ＡＪＰ－１４２０シリーズ／１７００シリーズ用 Ｂ－６０８３２２４,,<!-- -->■AJP-1420/1520/1620/1700V/1700VGQ用ガンです。<BR><BR>【仕様】<BR>適合機種:AJP-1420、AJP-1520、AJP-1620、AJP-1700V、AJP-1700VGQ<BR><BR>【原産国】<BR>中国,【送料無料】 リョービ リョービ ガンＡＳＳＹ ＡＪＰ&minus;１４２０シリーズ／１７００シリーズ用 Ｂ&minus;６０８３２２４：ビックカメラ楽天市場店,【送料無料】 リョービ リョービ ガンＡＳＳＹ ＡＪＰ&minus;１４２０シリーズ／１７００シリーズ用 Ｂ&minus;６０８３２２４,【送料無料】 リョービ リョービ ガンＡＳＳＹ ＡＪＰ&minus;１４２０シリーズ／１７００シリーズ用 Ｂ&minus;６０８３２２４[rn]
40-10123,http://tshop.r10s.jp/biccamera/cabinet/product/1941/00000003140218_a01.jpg?fitin=700:700,508.0000,,花・ガーデン・DIY > DIY・工具 > その他,生産日本社 「ユニパック」　G-4　赤　200×140×0.04　100枚入　G4CR,,<!-- -->■スタンダードなフィルム厚0．04mmのチャック付ポリエチレン袋です。<BR><BR>【用途】<BR>・部品等の保管、管理。<BR><BR>【仕様】<BR>色：半透明レッド、縦(mm)：200、横(mm)：140、質量(g)：249．2<BR>厚み：0．04mm<BR><BR>【材質/仕上】<BR>■ポリエチレン（PE）<BR><BR>【原産国】<BR>日本,生産日本社 「ユニパック」　G-4　赤　200&times;140&times;0.04　100枚入　G4CR：ビックカメラ楽天市場店,生産日本社 「ユニパック」　G-4　赤　200&times;140&times;0.04　100枚入　G4CR,生産日本社 「ユニパック」　G-4　赤　200&times;140&times;0.04　100枚入　G4CR[rn]
40-10124,http://tshop.r10s.jp/biccamera/cabinet/product/0778/00000001826340_a01.jpg?fitin=700:700,5331.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 マジックバンド結束テープ　両面　幅20mmX長さ30m　黒　MKT20WBK,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■片面にプラスチックフック・片面に織物ループの付いた両面タイプのマジックテープ[[(R)]]です。<BR><BR>■プラスチックフックのため、強い係合力で結束に利用できます。<BR><BR>【用途】<BR>・コード・ホースなどの簡易仮止め。<BR><BR>【仕様】<BR>色：黒、幅(mm)：20、長さ(m)：30、厚み(mm)：2、質量(g)：430<BR>両面タイプ、引張せん断強度：3．1kgf/[[平方センチメートル]]<BR><BR>【材質/仕上】<BR>■フック面：ポリプロピレン（PP）■ループ面：ナイロン<BR><BR>【注意】<BR>・80℃以上の高温・日光に長時間当てたままの状態で放置しないでください。<BR>・途中継ぎ目が入ることがあります。ご了承ください。(使用上問題ありません)<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 マジックバンド結束テープ　両面　幅20mmX長さ30m　黒　MKT20WBK：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 マジックバンド結束テープ　両面　幅20mmX長さ30m　黒　MKT20WBK,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 マジックバンド結束テープ　両面　幅20mmX長さ30m　黒　MKT20WBK[rn]
40-10125,http://tshop.r10s.jp/biccamera/cabinet/product/2588/00000003588025_a01.jpg?fitin=700:700,9572.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 積水樹脂 積水　ポリエステルバンド1905×900M－黒　PET1905M,,<!-- -->■金具シール用ポリエステルバンドです。ＰＰバンドに比べ、結束後の伸びが少なく、強度が必要な梱包に最適です。<BR><BR>■パレットに積んだ荷物の梱包などに。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■色:黒<BR>■厚み(mm):0.48<BR>■幅(mm):19<BR>■長さ(m):900<BR>■破断伸度:12±3％<BR>■色:黒<BR>■破断伸度：12±3%<BR>■厚み：0.48mm<BR>■色：黒<ＢＲ>■【材質／仕上げ】　ポリエステル  <BR>■原産国:日本<BR>■質量:12KG</td></tr></table></div>,【送料無料】 積水樹脂 積水　ポリエステルバンド1905&times;900M&minus;黒　PET1905M：ビックカメラ楽天市場店,【送料無料】 積水樹脂 積水　ポリエステルバンド1905&times;900M&minus;黒　PET1905M,【送料無料】 積水樹脂 積水　ポリエステルバンド1905&times;900M&minus;黒　PET1905M[rn]
40-10126,http://tshop.r10s.jp/biccamera/cabinet/product/1941/00000003140215_a01.jpg?fitin=700:700,508.0000,,花・ガーデン・DIY > DIY・工具 > その他,生産日本社 「ユニパック」　G-4　緑　200×140×0.04　100枚入　G4CG,,<!-- -->■スタンダードなフィルム厚0．04mmのチャック付ポリエチレン袋です。<BR><BR>【用途】<BR>・部品等の保管、管理。<BR><BR>【仕様】<BR>色：半透明グリーン、縦(mm)：200、横(mm)：140、質量(g)：249．2<BR>厚み：0．04mm<BR><BR>【材質/仕上】<BR>■ポリエチレン（PE）<BR><BR>【原産国】<BR>日本,生産日本社 「ユニパック」　G-4　緑　200&times;140&times;0.04　100枚入　G4CG：ビックカメラ楽天市場店,生産日本社 「ユニパック」　G-4　緑　200&times;140&times;0.04　100枚入　G4CG,生産日本社 「ユニパック」　G-4　緑　200&times;140&times;0.04　100枚入　G4CG[rn]
40-10127,http://tshop.r10s.jp/biccamera/cabinet/product/0936/00000001919437_a01.jpg?fitin=700:700,9849.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 マジックテープ　縫製タイプ　100mmX5m　白　TMSH1005W,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■繊維製品なので軽く、お好みのサイズにハサミでカットできます。<BR><BR>【用途】<BR>・産業用部材、建材などの固定。部材・部品などの固定。<BR><BR>【仕様】<BR>色：白、幅(mm)：100、長さ(m)：5、質量(g)：402<BR>フック・ループ各5m入り、厚み：(フック)1．9mm、(ループ)2．5mm、厚み(フック)：1．9mm、(ループ)：2．5mm<BR><BR>【材質/仕上】<BR>■ポリエステル<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 マジックテープ　縫製タイプ　100mmX5m　白　TMSH1005W：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 マジックテープ　縫製タイプ　100mmX5m　白　TMSH1005W,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 マジックテープ　縫製タイプ　100mmX5m　白　TMSH1005W[rn]
40-10128,http://tshop.r10s.jp/biccamera/cabinet/product/1872/00000003268734_a01.jpg?fitin=700:700,256.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ボールポイント六角ビット 85L 3.0mm THBA-30,,<!-- -->■最大角３０°倒してもネジが回せるボールポイントビットです。<BR>■簡単にネジを掴めるので作業性アップします。<BR>■六角穴ねじ（キャップスクリュー・セットスクリューなど）のねじ締めに最適です。<BR><BR>【用途】<BR>・機械組み立て、解体作業、機器メンテナンス、工場内作業。<BR><BR>【仕様】<BR>全長(mm):85、対辺(mm):3.0、硬さ:H<BR>シャンク径:6.35mm<BR><BR>【材質/仕上】<BR>■特殊鋼<BR><BR>【原産国】<BR>日本,トラスコ中山 ボールポイント六角ビット 85L 3.0mm THBA-30：ビックカメラ楽天市場店,トラスコ中山 ボールポイント六角ビット 85L 3.0mm THBA-30,トラスコ中山 ボールポイント六角ビット 85L 3.0mm THBA-30[rn]
40-10129,http://tshop.r10s.jp/biccamera/cabinet/product/1841/00000003253138_a01.jpg?fitin=700:700,378.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＷＥＲＡ社 800/4Z ビット 1.6×8.0×50 059345,,<!-- -->■スタンダードタイプのドライバー用ビットです。<BR>■頑強なビットで、鉄板や金属板での加工に最適です。<BR><BR>【仕様】<BR>刃先:（-）8.0、全長(mm):50、質量(g):13.8<BR>シャンク径:6.35mm<BR><BR>【原産国】<BR>チェコ,ＷＥＲＡ社 800/4Z ビット 1.6&times;8.0&times;50 059345：ビックカメラ楽天市場店,ＷＥＲＡ社 800/4Z ビット 1.6&times;8.0&times;50 059345,ＷＥＲＡ社 800/4Z ビット 1.6&times;8.0&times;50 059345[rn]
40-10130,http://tshop.r10s.jp/biccamera/cabinet/product/1873/00000003268723_a01.jpg?fitin=700:700,196.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 六角ビット 65L 6.0mm THBI-60,,<!-- -->■六角穴ねじ（キャップスクリュー・セットスクリューなど）のねじ締めに最適です。<BR><BR>【用途】<BR>・機械組み立て、解体作業、機器メンテナンス、工場内作業。<BR><BR>【仕様】<BR>全長(mm):65、対辺(mm):6.0、硬さ:H<BR>シャンク径:6.35mm<BR><BR>【材質/仕上】<BR>■特殊鋼<BR><BR>【原産国】<BR>日本,トラスコ中山 六角ビット 65L 6.0mm THBI-60：ビックカメラ楽天市場店,トラスコ中山 六角ビット 65L 6.0mm THBI-60,トラスコ中山 六角ビット 65L 6.0mm THBI-60[rn]
40-10131,http://tshop.r10s.jp/biccamera/cabinet/product/1871/00000003268879_a01.jpg?fitin=700:700,568.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ネジに喰いつくビット2本組 +2X150mm MG付 TKB-2-150,,<!-- -->■ねじとかん合する面に形成されたダブルの突起がネジに喰いつく画期的な構造の電動用ダブルビットです。<BR>■オリジナル特殊合金鋼を使用しており、優秀な耐久性を発揮いたします。<BR>■ＪＩＳ規格及びＪＣＩＳ規格などに基づき、厳しい寸法精度で製作し、ネジとのかん合は抜群です。<BR>■表面が硬く均一で錆びに強い無電解ニッケル仕上げです。<BR><BR>【用途】<BR>・焼入れをしていないコースレッド・木ネジの取り付けに最適です。<BR><BR>【仕様】<BR>刃先:（+）2、全長(mm):150<BR>シャンク径:6.35mm<BR><BR>【材質/仕上】<BR>■オリジナル特殊合金<BR><BR>【原産国】<BR>日本,トラスコ中山 ネジに喰いつくビット2本組 +2X150mm MG付 TKB-2-150：ビックカメラ楽天市場店,トラスコ中山 ネジに喰いつくビット2本組 +2X150mm MG付 TKB-2-150,トラスコ中山 ネジに喰いつくビット2本組 +2X150mm MG付 TKB-2-150[rn]
40-10132,http://tshop.r10s.jp/biccamera/cabinet/product/1863/00000003257342_a01.jpg?fitin=700:700,404.0000,,花・ガーデン・DIY > DIY・工具 > その他,兼古製作所 アネックス ヘクスローブカラービット1本組 穴なし T20×65 ACTX-2065N,,<!-- -->■いじり止め穴なしのヘクスローブドライバービットです。<BR>■サイズを色で識別できます。<BR>■電動ドライバー装着時に塗装部分が邪魔にならない両端部非塗装です。<BR><BR>【仕様】<BR>刃先：T20、全長(mm)：65、質量(g)：11<BR>シャンク径：6.35mm<BR><BR>【材質/仕上】<BR>■クロムモリブデンバナジウム鋼<BR><BR>【原産国】<BR>日本,兼古製作所 アネックス ヘクスローブカラービット1本組 穴なし T20&times;65 ACTX-2065N：ビックカメラ楽天市場店,兼古製作所 アネックス ヘクスローブカラービット1本組 穴なし T20&times;65 ACTX-2065N,兼古製作所 アネックス ヘクスローブカラービット1本組 穴なし T20&times;65 ACTX-2065N[rn]
40-10133,http://tshop.r10s.jp/biccamera/cabinet/product/1841/00000003253129_a01.jpg?fitin=700:700,585.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＷＥＲＡ社 867/4Z トルクスビット TX10X70 060100,,<!-- -->■頑強なビットで、鉄板や金属板での加工に最適です。<BR><BR>【仕様】<BR>刃先:T10、全長(mm):70、質量(g):8.8<BR>シャンク径:6.36mm、工事作業<BR><BR>【原産国】<BR>チェコ,ＷＥＲＡ社 867/4Z トルクスビット TX10X70 060100：ビックカメラ楽天市場店,ＷＥＲＡ社 867/4Z トルクスビット TX10X70 060100,ＷＥＲＡ社 867/4Z トルクスビット TX10X70 060100[rn]
40-10134,http://tshop.r10s.jp/biccamera/cabinet/product/1841/00000003253147_a01.jpg?fitin=700:700,378.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＷＥＲＡ社 800/4Z ビット 0.6×3.5×50 059310,,<!-- -->■スタンダードタイプのドライバー用ビットです。<BR>■頑強なビットで、鉄板や金属板での加工に最適です。<BR><BR>【仕様】<BR>刃先:（-）3.5、全長(mm):50、質量(g):7.8<BR>シャンク径:6.35mm<BR><BR>【原産国】<BR>チェコ,ＷＥＲＡ社 800/4Z ビット 0.6&times;3.5&times;50 059310：ビックカメラ楽天市場店,ＷＥＲＡ社 800/4Z ビット 0.6&times;3.5&times;50 059310,ＷＥＲＡ社 800/4Z ビット 0.6&times;3.5&times;50 059310[rn]
40-10135,http://tshop.r10s.jp/biccamera/cabinet/product/1862/00000003257386_a01.jpg?fitin=700:700,1105.6000,,花・ガーデン・DIY > DIY・工具 > その他,兼古製作所 アネックス カラービット5本組 段付+2×130 ACMD5－2130,,<!-- -->■段付タイプです。<BR>■両端部非塗装で刃先精度が抜群です。<BR><BR>【仕様】<BR>刃先：（+）2、全長(mm)：130、塗装色：黄<BR>シャンク径：6.35mm、刃先：マグネット入り<BR><BR>【材質/仕上】<BR>■クロムモリブデンバナジウム鋼<BR><BR>【原産国】<BR>日本,兼古製作所 アネックス カラービット5本組 段付+2&times;130 ACMD5&minus;2130：ビックカメラ楽天市場店,兼古製作所 アネックス カラービット5本組 段付+2&times;130 ACMD5&minus;2130,兼古製作所 アネックス カラービット5本組 段付+2&times;130 ACMD5&minus;2130[rn]
