40-11001,http://tshop.r10s.jp/biccamera/cabinet/product/1645/00000003131909_a01.jpg?fitin=700:700,8068.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 アルバック機工 ニップル　ZSCK5016,,<!-- -->【仕様】<BR>フランジサイズ：KF-16、D(mm)：60、B(mm)：20．0、A(mm)：30、C(mm)：16、質量(g)：78<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304）<BR><BR>【原産国】<BR>日本,【送料無料】 アルバック機工 ニップル　ZSCK5016：ビックカメラ楽天市場店,【送料無料】 アルバック機工 ニップル　ZSCK5016,【送料無料】 アルバック機工 ニップル　ZSCK5016[rn]
40-11012,http://tshop.r10s.jp/biccamera/cabinet/product/1645/00000003132197_a01.jpg?fitin=700:700,3438.4000,,花・ガーデン・DIY > DIY・工具 > その他,アルバック機工 真空ポンプ油（SMR-100　1L）　SMR1001L,,<!-- -->■油回転真空ポンプの性能を最大限に引き出す専用オイルです。<BR><BR>■寒冷時にも始動性が良いように粘度を低くしています。<BR><BR>■ポンプ油の交換はできるだけ頻繁に行ってください。<BR><BR>【用途】<BR>・潤滑、冷却、シールを目的とした油回転真空ポンプ専用オイル。<BR><BR>【仕様】<BR>適合機種：G・GLS・GLD、内容：1L（500ml×2缶）、質量(kg)：1．1<BR><BR>【注意】<BR>・オイルの劣化は、油回転真空ポンプの到達圧力に大きく影響しますのでこまめに交換することをお薦めします。<BR><BR>【原産国】<BR>日本,アルバック機工 真空ポンプ油（SMR-100　1L）　SMR1001L：ビックカメラ楽天市場店,アルバック機工 真空ポンプ油（SMR-100　1L）　SMR1001L,アルバック機工 真空ポンプ油（SMR-100　1L）　SMR1001L[rn]
40-11013,http://tshop.r10s.jp/biccamera/cabinet/product/1760/00000003204190_a01.jpg?fitin=700:700,42404.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚水用）　WUP33250.15SLG,,<!-- -->■Ｌ・ＬＮタイプは起動・停止水位調整が可能です。<BR>■ポンプ部の樹脂化、ステンレス製モータフレームの採用により、軽くて取り扱いも容易です。<BR>■樹脂、ステンレスの採用により腐食にも強く超寿命です。<BR>■ストレーナーはワンタッチ着脱式で掃除などのメンテナンスも簡単です。<BR><BR>【用途】<BR>・雑排水用。<BR>・浄化槽排水用。<BR><BR>【仕様】<BR>吐出量(Ｌ/ｍｉｎ)：20、全揚程(ｍ)：6.5、周波数(Ｈｚ)：50、口径(ｍｍ)：32、電源(Ｖ)：単相100、電流(Ａ)：4、出力(ｋＷ)：0.15<BR>電源コード長さ：6ｍ、液質：汚水・汚物水0～40℃、ｐＨ5～9、モータ：乾式水中モータ、単相100Ｖ、三相200Ｖ、同期回転速度3000ｍｉｎ-1(三相400Ｖ品についてはお問合せ下さい。)<BR><BR>【材質/仕上】<BR>■インペラ樹脂■主軸ＳＵＳ304（接液部）■ケーシング樹脂<BR><BR>【セット内容/付属品】<BR>■相フランジ（樹脂製）■水中ケーブル（6ｍ）■液面スイッチ<BR><BR>【原産国】<BR>日本,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚水用）　WUP33250.15SLG：ビックカメラ楽天市場店,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚水用）　WUP33250.15SLG,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚水用）　WUP33250.15SLG[rn]
40-11014,http://tshop.r10s.jp/biccamera/cabinet/product/0786/00000001829364_a01.jpg?fitin=700:700,620.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM6×6　40本入　B300606,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■SCM材を使用し、高い強度があります。<BR><BR>【仕様】<BR>寸法(mm)d×L：M6×6、質量(g)：146.36<BR>強度区分：12.9、JIS B1176規格品<BR><BR>【材質/仕上】<BR>■クロムモリブデン鋼（SCM435）■表面処理：黒染め仕上げ（四三酸化鉄被膜）<BR><BR>【原産国】<BR>日本,トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM6&times;6　40本入　B300606：ビックカメラ楽天市場店,トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM6&times;6　40本入　B300606,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM6&times;6　40本入　B300606[rn]
40-11015,http://tshop.r10s.jp/biccamera/cabinet/product/0627/00000001736489_a01.jpg?fitin=700:700,480.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ナベ頭タッピングねじ　三価白　M5X12　56本入　B7070512,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■環境負荷の少ない三価クロメート品です。<BR><BR>■タップやナットを使用せず、下穴だけで締結ができる薄板鋼板用のねじです。<BR><BR>【仕様】<BR>寸法(mm)d×L：M5×12、質量(g)：118.2<BR>適合ドライバー M3～M5：プラスNo.2M6：プラスNo.3<BR><BR>【材質/仕上】<BR>■低炭素鋼（SWCH）■表面処理：三価クロメート仕上げ（白）<BR><BR>【原産国】<BR>日本,トラスコ中山 ナベ頭タッピングねじ　三価白　M5X12　56本入　B7070512：ビックカメラ楽天市場店,トラスコ中山 ナベ頭タッピングねじ　三価白　M5X12　56本入　B7070512,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ナベ頭タッピングねじ　三価白　M5X12　56本入　B7070512[rn]
40-11016,http://tshop.r10s.jp/biccamera/cabinet/product/2601/00000003583425_a01.jpg?fitin=700:700,481.6000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 TRUSCO　化粧ビス　NO．2　白　M5X15　20個入　B47-0515,,<!-- -->■手で締められるねじです。<BR><BR>■110℃の優れた耐熱性です。<BR><BR>■照明器具、ディスプレイ器具、電気機器、一般機械、事務用機器等。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■呼径(d×L):M5×15<BR>■ねじピッチ(mm):0.8<BR>■頭部外径(mm):14<BR>■頭部高さ(mm):5.5<BR>■頭部外径:NO.2(14mm)<BR>■頭部高さ:6mm<ＢＲ>■【材質／仕上げ】　頭部:ユリヤ樹脂　ねじ部:低炭素鋼(SWCH相当)三価クロメート  <BR>■原産国:日本<BR>■質量:86.8G</td></tr></table></div>,トラスコ中山 TRUSCO　化粧ビス　NO．2　白　M5X15　20個入　B47-0515：ビックカメラ楽天市場店,トラスコ中山 TRUSCO　化粧ビス　NO．2　白　M5X15　20個入　B47-0515,トラスコ中山 TRUSCO　化粧ビス　NO．2　白　M5X15　20個入　B47-0515[rn]
40-11017,http://tshop.r10s.jp/biccamera/cabinet/product/0313/00000001551311_a01.jpg?fitin=700:700,680.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ノルトロックワッシャー　ステンレス　サイズNL8（M8）　2個入　B7960008,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■あらゆる振動などにも影響されない緩み止めです。<BR><BR>■着脱が非常に簡単です。<BR><BR>■潤滑油などにも影響されない緩み止めです。<BR><BR>■市販されているあらゆるねじで使用可能です。<BR><BR>【用途】<BR>・鉄道・造船・建設・自動車など、ねじを利用するあらゆる産業。<BR><BR>【仕様】<BR>呼径：M8（NL8）、質量(g)：2.4<BR><BR>【材質/仕上】<BR>■ステンレス（SUS316相当）<BR><BR>【原産国】<BR>スウェーデン,トラスコ中山 ノルトロックワッシャー　ステンレス　サイズNL8（M8）　2個入　B7960008：ビックカメラ楽天市場店,トラスコ中山 ノルトロックワッシャー　ステンレス　サイズNL8（M8）　2個入　B7960008,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ノルトロックワッシャー　ステンレス　サイズNL8（M8）　2個入　B7960008[rn]
40-11018,http://tshop.r10s.jp/biccamera/cabinet/product/2601/00000003583443_a01.jpg?fitin=700:700,481.6000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 TRUSCO　化粧ビス　NO．2　黒　M4X16　25個入　B49-0416,,<!-- -->■手で締められるねじです。<BR><BR>■110℃の優れた耐熱性です。<BR><BR>■照明器具、ディスプレイ器具、電気機器、一般機械、事務用機器等。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■呼径(d×L):M4×16<BR>■ねじピッチ(mm):0.7<BR>■頭部外径(mm):14<BR>■頭部高さ(mm):5.5<BR>■頭部外径:NO.2(14mm)<BR>■頭部高さ:6mm<ＢＲ>■【材質／仕上げ】　頭部:フェノール樹脂　ねじ部:低炭素鋼(SWCH相当)三価クロメート  <BR>■原産国:日本<BR>■質量:79.9G</td></tr></table></div>,トラスコ中山 TRUSCO　化粧ビス　NO．2　黒　M4X16　25個入　B49-0416：ビックカメラ楽天市場店,トラスコ中山 TRUSCO　化粧ビス　NO．2　黒　M4X16　25個入　B49-0416,トラスコ中山 TRUSCO　化粧ビス　NO．2　黒　M4X16　25個入　B49-0416[rn]
40-11019,http://tshop.r10s.jp/biccamera/cabinet/product/0785/00000001829299_a01.jpg?fitin=700:700,620.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM2×3　31本入　B300203,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■SCM材を使用し、高い強度があります。<BR><BR>【仕様】<BR>寸法(mm)d×L：M2×3、質量(g)：5.89<BR>強度区分：12.9、JIS B1176規格品<BR><BR>【材質/仕上】<BR>■クロムモリブデン鋼（SCM435）■表面処理：黒染め仕上げ（四三酸化鉄被膜）<BR><BR>【原産国】<BR>日本,トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM2&times;3　31本入　B300203：ビックカメラ楽天市場店,トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM2&times;3　31本入　B300203,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 六角穴付ボルト　黒染め全ネジ　サイズM2&times;3　31本入　B300203[rn]
40-11020,http://tshop.r10s.jp/biccamera/cabinet/product/0943/00000001922613_a01.jpg?fitin=700:700,620.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 六角穴付ボルトユニクロ　半ネジ　サイズM4×50　21本入　B620450,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■全ねじタイプに比べ荷重のかかかる首下部の荷重が強くなっています。<BR><BR>【仕様】<BR>寸法(mm)d×L：M4×50、質量(g)：118.92<BR>強度区分：10.9、JIS B1176規格品<BR><BR>【材質/仕上】<BR>■クロムモリブデン鋼（SCM435）■表面処理：ユニクロムメッキ仕上げ<BR><BR>【原産国】<BR>日本,トラスコ中山 六角穴付ボルトユニクロ　半ネジ　サイズM4&times;50　21本入　B620450：ビックカメラ楽天市場店,トラスコ中山 六角穴付ボルトユニクロ　半ネジ　サイズM4&times;50　21本入　B620450,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 六角穴付ボルトユニクロ　半ネジ　サイズM4&times;50　21本入　B620450[rn]
40-11021,http://tshop.r10s.jp/biccamera/cabinet/product/1871/00000003258504_a01.jpg?fitin=700:700,740.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ ツーホールナベ頭小ねじ ステンレス Ｍ３Ｘ８ ４本入 Ｂ１０９－０３０８,,<!-- -->■２つ穴形状のため、通常の工具での取り外しができません。<BR><BR>【仕様】<BR>寸法(mm)d×L:M3×8<BR>強度区分:A2-50相当<BR><BR>【材質/仕上】<BR>■ステンレス(A2)<BR><BR>【原産国】<BR>アメリカ,トラスコ中山 ＴＲＵＳＣＯ ツーホールナベ頭小ねじ ステンレス Ｍ３Ｘ８ ４本入 Ｂ１０９&minus;０３０８：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ ツーホールナベ頭小ねじ ステンレス Ｍ３Ｘ８ ４本入 Ｂ１０９&minus;０３０８,トラスコ中山 ＴＲＵＳＣＯ ツーホールナベ頭小ねじ ステンレス Ｍ３Ｘ８ ４本入 Ｂ１０９&minus;０３０８[rn]
40-11022,http://tshop.r10s.jp/biccamera/cabinet/product/1870/00000003258575_a01.jpg?fitin=700:700,740.8000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ ５ロブボタンボルト ステンレス Ｍ５Ｘ１０ ８本入 Ｂ１０２－０５１０,,<!-- -->■５溝穴の中央にピンが立っている形状のため、通常の工具での取り外しができません。<BR><BR>【仕様】<BR>寸法(mm)d×L:M5×10<BR>強度区分:A2-50相当<BR><BR>【材質/仕上】<BR>■ステンレス(A2)<BR><BR>【原産国】<BR>日本,トラスコ中山 ＴＲＵＳＣＯ ５ロブボタンボルト ステンレス Ｍ５Ｘ１０ ８本入 Ｂ１０２&minus;０５１０：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ ５ロブボタンボルト ステンレス Ｍ５Ｘ１０ ８本入 Ｂ１０２&minus;０５１０,トラスコ中山 ＴＲＵＳＣＯ ５ロブボタンボルト ステンレス Ｍ５Ｘ１０ ８本入 Ｂ１０２&minus;０５１０[rn]
40-11023,http://tshop.r10s.jp/biccamera/cabinet/product/1696/00000003185405_a01.jpg?fitin=700:700,533.6000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 スプリングワッシャー　ユニクロム　サイズM16　33個入　B280016,,<!-- -->●ねじの緩み止めの効果がある一般的なワッシャーです。<BR><BR>【仕様】<BR>●呼径：M16●質量(g)：362.34<BR>●JISB1251一般用(2号)<BR><BR>【材質/仕上】<BR>●硬鋼線材（SWRH）●表面処理：ユニクロムメッキ仕上げ,トラスコ中山 スプリングワッシャー　ユニクロム　サイズM16　33個入　B280016：ビックカメラ楽天市場店,トラスコ中山 スプリングワッシャー　ユニクロム　サイズM16　33個入　B280016,トラスコ中山 スプリングワッシャー　ユニクロム　サイズM16　33個入　B280016[rn]
