15-163901,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061980878.jpg?fitin=700:700,49840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>


VAB WRX STI 2.0 ターボ
    ボディ型式 ： CBA-VAB
    エンジン型式 ： EJ20
    年式 ： H26.08～ 




<BR>特記事項 右側シングル出し。",FGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラー VAB WRX STI 2.0 ターボ[rn]
15-163937,http://tshop.r10s.jp/yatoh/cabinet/autoexe/mdk8y00-1.jpg?fitin=700:700,50384.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,AUTOEXE Premium Tail Muffer マツダ CX-3 4WD DK5AW用 (MDK8Y10)【マフラー】,オートエクゼ プレミアムテールマフラー,"<TABLE cellpadding=""10"" cellspacing=""1"" bgcolor=""#000080"" width=""300""><TR><TD colspan=""2"" bgcolor=""#333366""><FONT color=""#000040""><B><FONT color=""#ffffff"">商品情報</FONT></B></FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【商品名】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366"">AUTOEXE Premium Tail Muffler<br>オートエクゼ プレミアムテール マフラー</FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【設定車種】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366"">
対応車種： MAZDA CX-3<BR>
グレード：-<BR>
適応型式： DK5AW<BR>
</FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【特長】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366""><B>＜スペック＞</B><BR>
メインパイプ径： Φ50.8<BR>
テールパイプ径： Φ110×95×2<BR>
重量：9.0kg<BR><BR>
<B>＜備考＞</B><BR>
● 4WD AT車用<BR>● 新規制適合品<BR>
</FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【納期】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366"">こちらの商品はメーカー取寄せです。メーカーに在庫がある場合で2～3日程でご用意可能です。但し、メーカーが在庫を切らしている場合には商品のご用意にお時間が掛かる場合がございます。<BR><BR>※ お急ぎご入用の場合にはご注文前に一度納期をお問合せ下さい。<BR></FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【注意事項】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366""><FONT color=""#fb9306""><B>御注文をいただける際には装着可否もございますので装着予定の車種、グレード、年式、型式、をご記入下さいませ。</B></FONT><BR><BR><B>● 通信販売お取扱店舗<BR>板橋店（TEL：03-3559-0818）<BR>お電話でのお問い合わせは上記店舗宛てにお願いします。</B><BR><BR>● 店頭にご来店頂いての取付作業も可能です。（一部店舗及び一部車種は承ってません）作業工賃は別途発生します。詳しくは各店舗へと直接お問い合わせ下さい。<BR><BR>● 排気管にダブル出口、左右出口の場合、均等に排気しないことがあります。<BR><BR>● 記載対応車種でも車輌の個体差、諸条件により装着できない場合があります。<BR><BR>● 遠隔地、島嶼部など一部地域につきましては別途追加送料が掛かる場合がございますので予めご了承下さい。<BR><BR>＜車検について＞<BR>製品のご使用はユーザー様の責任において道路運送法の保安基準の合致内容をご理解の上ご使用下さい。<BR><BR>※掲載写真は商品イメージです。サイズ、仕様により現品と異なる場合がございます。</FONT></TD></TR></TABLE>",AUTOEXE Premium Tail Muffer マツダ CX-3 4WD DK5AW用 (MDK8Y10)【マフラー】：矢東タイヤ,タイヤホィールマックガードレカロジャッキホイールスタッドレスシートベルトチャイルドシート東京静岡タイヤ交換パンクアライメントサスペンションスプリングショックアブソーバートルクレンチAUTOEXE Premium Tail Muffer マツダ CX-3 4WD DK5AW用 (MDK8Y10)【マフラー】,オートエクゼ プレミアムテールマフラー。AUTOEXE Premium Tail Muffer マツダ CX-3 4WD DK5AW用 (MDK8Y10)【マフラー】[rn]
15-163938,http://tshop.r10s.jp/yatoh/cabinet/autoexe/mdk8y00-1.jpg?fitin=700:700,50384.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,AUTOEXE Premium Tail Muffer マツダ CX-3 2WD DK5FW用 (MDK8Y00)【マフラー】,オートエクゼ プレミアムテールマフラー,"<TABLE cellpadding=""10"" cellspacing=""1"" bgcolor=""#000080"" width=""300""><TR><TD colspan=""2"" bgcolor=""#333366""><FONT color=""#000040""><B><FONT color=""#ffffff"">商品情報</FONT></B></FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【商品名】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366"">AUTOEXE Premium Tail Muffler<br>オートエクゼ プレミアムテール マフラー</FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【設定車種】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366"">
対応車種： MAZDA CX-3<BR>
グレード：-<BR>
適応型式： DK5FW<BR>
</FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【特長】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366""><B>＜スペック＞</B><BR>
メインパイプ径： Φ50.8<BR>
テールパイプ径： Φ110×95×2<BR>
重量：9.5kg<BR><BR>
<B>＜備考＞</B><BR>
● 2WD AT車用<BR>● 新規制適合品<BR>
</FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【納期】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366"">こちらの商品はメーカー取寄せです。メーカーに在庫がある場合で2～3日程でご用意可能です。但し、メーカーが在庫を切らしている場合には商品のご用意にお時間が掛かる場合がございます。<BR><BR>※ お急ぎご入用の場合にはご注文前に一度納期をお問合せ下さい。<BR></FONT></TD></TR><TR><TD bgcolor=""#f4f4ff"" width=""80""><FONT color=""#333366"">【注意事項】</FONT></TD><TD bgcolor=""#f4f4ff""><FONT color=""#333366""><FONT color=""#fb9306""><B>御注文をいただける際には装着可否もございますので装着予定の車種、グレード、年式、型式、をご記入下さいませ。</B></FONT><BR><BR><B>● 通信販売お取扱店舗<BR>板橋店（TEL：03-3559-0818）<BR>お電話でのお問い合わせは上記店舗宛てにお願いします。</B><BR><BR>● 店頭にご来店頂いての取付作業も可能です。（一部店舗及び一部車種は承ってません）作業工賃は別途発生します。詳しくは各店舗へと直接お問い合わせ下さい。<BR><BR>● 排気管にダブル出口、左右出口の場合、均等に排気しないことがあります。<BR><BR>● 記載対応車種でも車輌の個体差、諸条件により装着できない場合があります。<BR><BR>● 遠隔地、島嶼部など一部地域につきましては別途追加送料が掛かる場合がございますので予めご了承下さい。<BR><BR>＜車検について＞<BR>製品のご使用はユーザー様の責任において道路運送法の保安基準の合致内容をご理解の上ご使用下さい。<BR><BR>※掲載写真は商品イメージです。サイズ、仕様により現品と異なる場合がございます。</FONT></TD></TR></TABLE>",AUTOEXE Premium Tail Muffer マツダ CX-3 2WD DK5FW用 (MDK8Y00)【マフラー】：矢東タイヤ,タイヤホィールマックガードレカロジャッキホイールスタッドレスシートベルトチャイルドシート東京静岡タイヤ交換パンクアライメントサスペンションスプリングショックアブソーバートルクレンチAUTOEXE Premium Tail Muffer マツダ CX-3 2WD DK5FW用 (MDK8Y00)【マフラー】,オートエクゼ プレミアムテールマフラー。AUTOEXE Premium Tail Muffer マツダ CX-3 2WD DK5FW用 (MDK8Y00)【マフラー】[rn]
15-163939,http://tshop.r10s.jp/rs-online/cabinet/fgk/img57582743.gif?fitin=700:700,25200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 TA-MD22S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16,■ 送料無料 FUJITSUBO Legalis マフラー ■,"・フジツボ レガリスK
・品番 450-80233
・適合車種
●スズキ ワゴンR RR 4WD ターボ
　ボディ型式 TA-MC22S
　エンジン型式 K6A
　年式 H12/12-H14/9
・出口 96x91Ф ラウンドオーバルスラッシュ
・パイプ径 45.0-50.8Ф
・付属品 有
※画像はイメージです。実際の形状とは異なる場合有ります。
・取付は車種別設定品ではありますが、車種によって諸分解作業を伴いますので、作業に不安ある方は、最寄のショップ様や整備工場様などで実施なさる事をお勧めします。
・メーカーさんからのお取寄品となります。
※お時間お急ぎなお客様は、御購入お手続き前に納期のお問合せをなさって下さい。
※離島・沖縄県のお客様は送料分「着払い」とさせて頂きます。",フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 TA-MD22S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16：アールエス,clazzio無限シートカバーケンスタイルKENSTYLEタントNBOXトムスマフラーHKSフジツボGANADORBellezzaステアリングアルファードヴェルファイアヴォクシーステップワゴン柿本S660フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 TA-MD22S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16,■ 送料無料 FUJITSUBO Legalis マフラー ■。フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 TA-MD22S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16[rn]
15-163940,http://tshop.r10s.jp/rs-online/cabinet/fgk/img57582743.gif?fitin=700:700,25200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 GF-MD21S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16,■ 送料無料 FUJITSUBO Legalis マフラー ■,"・フジツボ レガリスK
・品番 450-80233
・適合車種
●スズキ ワゴンR RR 4WD ターボ
　ボディ型式 TA-MC22S
　エンジン型式 K6A
　年式 H12/12-H14/9
・出口 96x91Ф ラウンドオーバルスラッシュ
・パイプ径 45.0-50.8Ф
・付属品 有
※画像はイメージです。実際の形状とは異なる場合有ります。
・取付は車種別設定品ではありますが、車種によって諸分解作業を伴いますので、作業に不安ある方は、最寄のショップ様や整備工場様などで実施なさる事をお勧めします。
・メーカーさんからのお取寄品となります。
※お時間お急ぎなお客様は、御購入お手続き前に納期のお問合せをなさって下さい。
※離島・沖縄県のお客様は送料分「着払い」とさせて頂きます。",フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 GF-MD21S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16：アールエス,clazzio無限シートカバーケンスタイルKENSTYLEタントNBOXトムスマフラーHKSフジツボGANADORBellezzaステアリングアルファードヴェルファイアヴォクシーステップワゴン柿本S660フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 GF-MD21S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16,■ 送料無料 FUJITSUBO Legalis マフラー ■。フジツボ 【 レガリスKマフラー 】 マツダ AZワゴン RR 2WD ターボ 型式 GF-MD21S エンジン形式 K6A 年式 H10/10-H14/9 ≪ テール 96x91Φ シングル出し仕様 ≫【 品番 450-80233 】 02P18Jun16[rn]
15-163941,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067758705.jpg?fitin=700:700,42451.2000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]FD3S RX-7用マフラー(レガリスR),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Legalis R<br>
品　　番：790-45042<br>
◆対応車種<br>
車　　名：RX-7<br>
型　　式：E,GF-FD3S<br>
エンジン：13B<br>
年　　式：H3.11～H14.08<br>
特記事項：-----<br>
備　　考：-----<br>
◆仕　様<br>
出口形状：101.6φスラッシュ（12゜）<br>
パイプ径：76.3φ<br>
最低地上高：ルーフ高1227mm（車検証1230mm）車で測定、中間パイプ(後軸)部で145mm<br>
付属品リスト：<br>
・ガスケットパッキン×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]FD3S RX-7用マフラー(レガリスR)：シート・レール専門ユニプロ,[フジツボ]FD3S RX-7用マフラー(レガリスR),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]FD3S RX-7用マフラー(レガリスR)[rn]
15-163942,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067758767.jpg?fitin=700:700,72864.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]SE3P RX-8用マフラー(レガリスR),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Legalis R<br>
品　　番：790-45051<br>
◆対応車種<br>
車　　名：RX-8<br>
型　　式：LA,ABA-SE3P<br>
エンジン：13B-MSP<br>
年　　式：H15.04～H20.03<br>
特記事項：<br>
1：6MT車、5MT車、4AT車共通<br>
備　　考：-----<br>
◆仕　様<br>
出口形状：90φスラッシュ（12°･R.L）<br>
パイプ径：76.3φ-60.5φ<br>
最低地上高：ルーフ高1340mm(車検証1340mm)車で測定、中間パイプ部（後車軸より289mm前方）で130mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×20フランジボルト・ナットセット×2 <br>
・M6ナット×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]SE3P RX-8用マフラー(レガリスR)：シート・レール専門ユニプロ,[フジツボ]SE3P RX-8用マフラー(レガリスR),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]SE3P RX-8用マフラー(レガリスR)[rn]
15-163943,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067758454.jpg?fitin=700:700,22809.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]LW5W/LW3W MPV(4WD)用マフラー(ワゴリス),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Wagolis<br>
品　　番：460-47013<br>
◆対応車種<br>
車　　名：LW5W MPV 2.5 V6 4WD(スポーツ含む) / LW3W MPV 2.3 4WD エアロリミックス<br>
型　　式：GF-LW5W・LA,ABA-LW3W<br>
エンジン：GY・L3-DE<br>
年　　式：H11.06～H14.04(LW5W)・H15.10～H18.02(LW3W)<br>
特記事項：<br>
1：純正リアアンダースポイラ-装着車共通<br>
備　　考：詳細データは2.5（LW5W)のもの<br>
◆仕　様<br>
出口形状：76.3φスラッシュ（21゜）<br>
パイプ径：60.5φ<br>
最低地上高：ルーフ高1710mm（車検証1740mm）車で測定､リアマフラー前部(後軸より595mm後方)で220mm<br>
付属品リスト：<br>
・ガスケットパッキン×2 <br>
・Ｍ10×35ボルト、ナット、SWセット×2<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]LW5W/LW3W MPV(4WD)用マフラー(ワゴリス)：シート・レール専門ユニプロ,[フジツボ]LW5W/LW3W MPV(4WD)用マフラー(ワゴリス),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]LW5W/LW3W MPV(4WD)用マフラー(ワゴリス)[rn]
15-163944,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067758604.jpg?fitin=700:700,66528.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]LY3P MPV(2.3)用マフラー(ワゴリス),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Wagolis<br>
品　　番：460-47021<br>
◆対応車種<br>
車　　名：MPV 2.3 ターボ/NA 2WD・4WD<br>
型　　式：DBA-LY3P<br>
エンジン：L3-VDT・L3-VE<br>
年　　式：H18.03～H22.03(TURBO)・H18.02～H20.01(NA)<br>
特記事項：-----<br>
備　　考：詳細データはターボ 2WDのもの<br>
◆仕　様<br>
出口形状：107×96φラウンドオーバルスラッシュ（II・R.L）<br>
パイプ径：60.5φ<br>
最低地上高：ルーフ高1694mm（車検証1680mm）車で測定､右側フランジ部で208mm<br>
付属品リスト：<br>
・平リングガスケット×2 <br>
・Ｍ10×35ボルト×4<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]LY3P MPV(2.3)用マフラー(ワゴリス)：シート・レール専門ユニプロ,[フジツボ]LY3P MPV(2.3)用マフラー(ワゴリス),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]LY3P MPV(2.3)用マフラー(ワゴリス)[rn]
15-163945,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067758720.jpg?fitin=700:700,42451.2000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]FD3S RX-7用マフラー(パワーゲッター),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：POWER Getter<br>
品　　番：100-45042<br>
◆対応車種<br>
車　　名：RX-7<br>
型　　式：E,GF-FD3S<br>
エンジン：13B<br>
年　　式：H3.11～H14.08<br>
特記事項：<br>
1：平成10年度騒音規制車適合外<br>
備　　考：スペックの標準（STD）欄はレガリスR オーバルテール（790-45041）の測定データ<br>
◆仕　様<br>
出口形状：114φストレート（穴あり）<br>
パイプ径：89.1φ<br>
最低地上高：ルーフ高1190mm（車検証1230mm）車で測定､リアマフラー前部(後軸より538mm後方)で111mm<br>
付属品リスト：<br>
・ガスケットパッキン×1 <br>
・M8×25ボルト・PW(2コ）・SW・ナットセット×1 <br>
・専用金具×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]FD3S RX-7用マフラー(パワーゲッター)：シート・レール専門ユニプロ,[フジツボ]FD3S RX-7用マフラー(パワーゲッター),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]FD3S RX-7用マフラー(パワーゲッター)[rn]
15-163946,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067758337.jpg?fitin=700:700,22809.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]LWEW/LW5W/LWFW MPV(2WD)用マフラー(ワゴリス),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：Wagolis<br>
品　　番：460-47012<br>
◆対応車種<br>
車　　名：MPV 2.0 2WD / MPV 2.5 V6 2WD / MPV 3.0 V6 2WD エアロリミックス<br>
型　　式：GF-LWEW・GF-LW5W・TA-LWFW<br>
エンジン：FS・GY・AJ<br>
年　　式：H11.06～H14.04(LWEW/LW5W)・H15.10～H18.02(LWFW)<br>
特記事項：<br>
1：純正リアアンダースポイラー装着車取付不可<br>
2：LWFW(3.0 V6)エアロリミックス共通<br>
備　　考：詳細データは2.5（LW5W)のもの<br>
◆仕　様<br>
出口形状：96×91φラウンドオーバルスラッシュ<br>
パイプ径：60.5φ<br>
最低地上高：ルーフ高1710mm（車検証1740mm）車で測定､リアマフラー前部(後軸より595mm後方)で220mm<br>
付属品リスト：<br>
・ガスケットパッキン×2 <br>
・Ｍ10×35ボルト、ナット、SWセット×2<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]LWEW/LW5W/LWFW MPV(2WD)用マフラー(ワゴリス)：シート・レール専門ユニプロ,[フジツボ]LWEW/LW5W/LWFW MPV(2WD)用マフラー(ワゴリス),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]LWEW/LW5W/LWFW MPV(2WD)用マフラー(ワゴリス)[rn]
15-163947,http://tshop.r10s.jp/unionproduce-ra/cabinet/muffler/imgrc0067758772.jpg?fitin=700:700,54489.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[フジツボ]SE3P RX-8用マフラー(RM-01A),【代引き不可商品&amp;沖縄離島は送料要問合せ】,"◆FUJITSUBO（藤壺技研）<br>
製 品 名：RM-01A<br>
品　　番：270-45051<br>
◆対応車種<br>
車　　名：RX-8<br>
型　　式：LA,ABA-SE3P<br>
エンジン：13B-MSP<br>
年　　式：H15.04～H20.03<br>
特記事項：<br>
1：左側シングル出し<br>
2：4AT車/5MT車/6MT車 共通<br>
備　　考：-----<br>
◆仕　様<br>
出口形状：99φストレート（穴あり）<br>
パイプ径：70.0φ-60.5φ<br>
最低地上高：ルーフ高1318mm(車検証1340mm)車で測定、中間パイプ部(後軸上)で110mm<br>
付属品リスト：<br>
・リングガスケット×1 <br>
・M10×20フランジボルト・ナットセット×2 <br>
・M6ナット×1<br>
<br><br>
◆納　　期<br> 
・メーカー直送商品です。メーカー在庫がある場合は「1営業日～3営業日」で発送いたします。<br>
※メーカー欠品や受注生産商品もございますので、ご購入前にお問い合わせください。<br>
ご購入後のキャンセルには対応できません。<br>
<br>
◆お支払方法<br> 
※こちらの商品はメーカー直送品のため代引きはできません。<br>
<br>
◆送料<br> 
沖縄、離島はご購入前にお問合せ下さい。<br>
<br>
◆注意事項<br>
・予想できない事情で、装着できない場合もございますので、必ず仮合わせをしてください。<br>
・装着後の返品、交換は一切お受けできません。<br>
・地上高、対応車種のデータは純正車高でのデータですので、ダウンサスや車高調装着車は除きます。<br>",[フジツボ]SE3P RX-8用マフラー(RM-01A)：シート・レール専門ユニプロ,[フジツボ]SE3P RX-8用マフラー(RM-01A),【代引き不可商品&amp;沖縄離島は送料要問合せ】。[フジツボ]SE3P RX-8用マフラー(RM-01A)[rn]
