15-106701,http://tshop.r10s.jp/santnore/cabinet/00773708/venx_treat_main_0810.jpg?fitin=700:700,1208.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ヴェンクス スーパーエクシード へアパック ヘアパック：230g 。,,"ダメージをとおり越した重傷の【シャビーヘア用】
シャビーヘアとは、ダメージをとおり越して、ボロボロ・バサバサ・ゴワゴワになった重傷の髪や、やせ細って、ツヤとハリのない髪をいいます。
このようなシャビーヘアに、ナノテクノロジーを応用した毛髪保護成分 (セラミド・ビタミン) とミネラル成分が髪一本一本に浸透し、髪と地肌を毎日新しく仕上げます。
プロ＆プロとは香りが違うだけです。こちらは甘いフローラル系の香り。
※本品は、ダメージヘアの方でもご使用できます。
<br>広告文責 サントノーレ
<br>TEL：025-377-0400 
<br>メーカー  
株式会社パシフィックプロダクツ<br>区分 日本製・化粧品  
<br>容量 230g  
<br>分類 ヘアパック",ヴェンクス スーパーエクシード へアパック ヘアパック：230g 。：サントノーレ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ブランド傘時計香水財布バッグピアスネックレスコーチグッチプラダルイヴィトンシャネルエルメスフレグランスベルトダイヤモンドミュウミュウネクタイフェンディヴェンクス スーパーエクシード へアパック ヘアパック：230g 。,ダメージをとおり越した重傷の髪質に！。ヴェンクス スーパーエクシード へアパック ヘアパック：230g 。[rn]
15-106758,http://tshop.r10s.jp/kohsuidonya/cabinet/04/60180106001.jpg?fitin=700:700,3600.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ケラスターゼ KERASTASE RE レジスタンス マスク ド フォルス アーキテクト 200g 【ヘアケア】【ヘアマスク】,,"<font size=""2"">
<b>髪を健康な状態に導くダメージケア専用のマスク。</b>
【レジスタンス マスク ド フォルス アーキテクト】<br>
髪のキューティクルをシーリング効果で覆い、外的要因からダメージの進行を抑え、枝毛、切れ毛のないスタイリングのしやすい輝きのある髪に導きます。<br>
</font>",ケラスターゼ KERASTASE RE レジスタンス マスク ド フォルス アーキテクト 200g 【ヘアケア】【ヘアマスク】：香水問屋楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ケラスターゼ KERASTASE RE レジスタンス マスク ド フォルス アーキテクト 200g 【ヘアケア】【ヘアマスク】,ケラスターゼ KERASTASE。ケラスターゼ KERASTASE RE レジスタンス マスク ド フォルス アーキテクト 200g 【ヘアケア】【ヘアマスク】[rn]
15-106759,http://tshop.r10s.jp/kohsuidonya/cabinet/03/60180103006.jpg?fitin=700:700,2560.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ケラスターゼ KERASTASE ケラスターゼ リフレクション クロマ テルミック 150g 【ヘアケア】【プロテクシオン】,,"<font size=""2"">
<b>カラーヘアにツヤと潤いを与えたい方にオススメ</b>
【リフレクションシリーズ　クロマ　テルミック】<br>ドライヤーやアイロンなどの熱の力によって、カラーヘアのダメージを補修します。<br>
髪につやを与え、手触りがなめらかなきらめく髪に導きます。<br>
</font>",ケラスターゼ KERASTASE ケラスターゼ リフレクション クロマ テルミック 150g 【ヘアケア】【プロテクシオン】：香水問屋楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ケラスターゼ KERASTASE ケラスターゼ リフレクション クロマ テルミック 150g 【ヘアケア】【プロテクシオン】,ケラスターゼ KERASTASE。ケラスターゼ KERASTASE ケラスターゼ リフレクション クロマ テルミック 150g 【ヘアケア】【プロテクシオン】[rn]
15-106760,http://tshop.r10s.jp/kohsuidonya/cabinet/03/60180103002.jpg?fitin=700:700,4000.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ケラスターゼ KERASTASE ケラスターゼ リフレクション マスク クロマリッシュ 196g 【ヘアケア】【集中トリートメント】,,"<font size=""2"">
<b>カラーヘアにツヤと潤いを与えたい方にオススメ</b>
【リフレクションシリーズ　マスク　クロマ　リッシュ】<br>
ダメージを受けて傷ついた髪を、潤いのある状態に洗い上げます。<br>
ケラスターゼ独自のテクノロジー「アクア　イオニック　システム」で高いトリートメント効果と髪にうるおいを与え、
よりまとまりやすい質感と華やかな髪へと導きます。<br>
</font>",ケラスターゼ KERASTASE ケラスターゼ リフレクション マスク クロマリッシュ 196g 【ヘアケア】【集中トリートメント】：香水問屋楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ケラスターゼ KERASTASE ケラスターゼ リフレクション マスク クロマリッシュ 196g 【ヘアケア】【集中トリートメント】,ケラスターゼ KERASTASE。ケラスターゼ KERASTASE ケラスターゼ リフレクション マスク クロマリッシュ 196g 【ヘアケア】【集中トリートメント】[rn]
15-106761,http://tshop.r10s.jp/kohsuidonya/cabinet/04/60180107001.jpg?fitin=700:700,4000.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ケラスターゼ KERASTASE マスク クロマ キャブティブ 200g 【ヘアケア】【トリートメント】,,"<font size=""2"">
<b>柔らかでまとまりのある質感と鮮やかな色味が続くカラーヘアへ導く集中ヘアトリートメント。</b>
【マスク クロマ キャブティブ】<br>
ケラスターゼ独自のテクノロジー、アクア イオニック システムで、うるおいを髪に与え、よりまとまりやすい質感と華やかな艶髪へと導きます。<br>
</font>",ケラスターゼ KERASTASE マスク クロマ キャブティブ 200g 【ヘアケア】【トリートメント】：香水問屋楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ケラスターゼ KERASTASE マスク クロマ キャブティブ 200g 【ヘアケア】【トリートメント】,ケラスターゼ KERASTASE。ケラスターゼ KERASTASE マスク クロマ キャブティブ 200g 【ヘアケア】【トリートメント】[rn]
15-106762,http://tshop.r10s.jp/kohsuidonya/cabinet/03/60180102005.jpg?fitin=700:700,2240.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ケラスターゼ KERASTASE ケラスターゼ ニュートリティブ　ウルティム オレオ リラックス 50ml 【ヘアケア】【プロテクシオン】,,"<font size=""2"">
<b>健康な髪の成長をサポートするためのベースを作り、<br>潤いを失った髪をしっとり、つややかで美しい髪へと導きます。</b>
【ニュートリティブシリーズ　ウルティム　オレオ　リラックス】<br>
洗い流さないタイプのトリートメントの集中補修バージョン！
パサつきやくせ毛や傷みが気になる方にオススメ。
潤いやツヤ、なめらかさをしっかりキープします。<br>
</font>",ケラスターゼ KERASTASE ケラスターゼ ニュートリティブ　ウルティム オレオ リラックス 50ml 【ヘアケア】【プロテクシオン】：香水問屋楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ケラスターゼ KERASTASE ケラスターゼ ニュートリティブ　ウルティム オレオ リラックス 50ml 【ヘアケア】【プロテクシオン】,ケラスターゼ KERASTASE。ケラスターゼ KERASTASE ケラスターゼ ニュートリティブ　ウルティム オレオ リラックス 50ml 【ヘアケア】【プロテクシオン】[rn]
15-106763,http://tshop.r10s.jp/kohsuidonya/cabinet/03/60180103003.jpg?fitin=700:700,2800.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ケラスターゼ KERASTASE ケラスターゼ リフレクション フルイド クロマリッシュ 125ml 【ヘアケア】【集中トリートメント】,,"<font size=""2"">
<b>カラーヘアにツヤと潤いを与えたい方にオススメ</b>
【リフレクションシリーズ　フルイド　クロマ　リッシュ】<br>
ダメージを受けて傷ついた髪を、潤いのある状態に洗い上げます。<br>
艶やかでまとまりのある髪へと導く洗い流さないヘアトリートメント。<br>
なめらかで指どおりの良い質感の髪へ。<br>
</font>",ケラスターゼ KERASTASE ケラスターゼ リフレクション フルイド クロマリッシュ 125ml 【ヘアケア】【集中トリートメント】：香水問屋楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ケラスターゼ KERASTASE ケラスターゼ リフレクション フルイド クロマリッシュ 125ml 【ヘアケア】【集中トリートメント】,ケラスターゼ KERASTASE。ケラスターゼ KERASTASE ケラスターゼ リフレクション フルイド クロマリッシュ 125ml 【ヘアケア】【集中トリートメント】[rn]
15-106764,http://tshop.r10s.jp/kohsuidonya/cabinet/04/60180105001.jpg?fitin=700:700,4640.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ケラスターゼ KERASTASE DS マスク デンシフィック 200g 【ヘアケア】【トリートメント】,,"<font size=""2"">
<b>先端研究に基づく「システムデンシファイング」採用。</b>
【マスク デンシフィック】<br>
有用成分が頭皮環境を整えながら、毛髪内部に浸透。<br>
頭皮に働きかけ、眠っている髪の美しさを最大限に引き出します。<br>
髪に豊かなボリューム感、弾むようなハリ、密度感を与え、しなやかな質感へ導くトリートメント。<br>
</font>",ケラスターゼ KERASTASE DS マスク デンシフィック 200g 【ヘアケア】【トリートメント】：香水問屋楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人ケラスターゼ KERASTASE DS マスク デンシフィック 200g 【ヘアケア】【トリートメント】,ケラスターゼ KERASTASE。ケラスターゼ KERASTASE DS マスク デンシフィック 200g 【ヘアケア】【トリートメント】[rn]
15-106765,http://tshop.r10s.jp/cosmebox/cabinet/item30/4580192833854.jpg?fitin=700:700,926.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,ファスィドール　バニラトリートメント　アミノプロ　460g　FacyDoll,,"「あらゆるダメージを高補修」と「褪色防止」で天使の艶輪と輝く髪色を実現する、サロン技術から誕生したアミノ酸補修＆カラーケアトリートメント。アミノ酸系洗浄成分配合で豊かで細かい泡で優しく洗浄し、 アミノ酸系セラミドCMCや11種のアミノ酸と33種類の美容液成分配合で 髪の内部からキューティクルまで様々なダメージを徹底的に集中補修し、 天使の艶輪に導きます。香りはバスルームに広がるスィートなバニラの香り。<br>






トリートメント<br>
460g<br>
ファスィドール/株式会社ゲンキ


<br>
[広告文責] コスメボックス 097-543-1871<br>
[発売元] 株式会社ゲンキ<br>
[区分] 日本製・ヘアケア",ファスィドール　バニラトリートメント　アミノプロ　460g　FacyDoll：コスメボックス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂ファスィドール　バニラトリートメント　アミノプロ　460g　FacyDoll,ダメージ髪がサロンメンテのさら、つや美髪に。ファスィドール　バニラトリートメント　アミノプロ　460g　FacyDoll[rn]
15-106766,http://tshop.r10s.jp/o-mom/cabinet/65tyz/65tyz-aa-0141_01.jpg?fitin=700:700,7199.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,（3本セット）（送料無料）（KERASTASE）ケラスターゼ NU ソワン オレオリラックス 125ml (並行輸入品) ヘアトリートメント トリートメント 洗い流さない【送料無料】,,"<br>
<font size=""1"">
▼商品説明▼<br>
●【3本セット】(送料無料)KERASTASE ケラスターゼ NU ソワン オレオリラックス 125ml(並行輸入品)<br>
くせや傷みで広がりやすい髪をサラサラにまとめる洗い流さないヘアトリートメント<br>
<br>
くせや乾燥による髪の広がりを抑え、くせとボリュームをダウンさせる洗い流さないヘアトリートメント。ラスティング効果によって潤い・ツヤ・なめらかさをしっかりキープします。<br>
指の間にも広げてから塗布<br>
適量(1～2プッシュ程度)を手に取り、両手のひらから指の間までしっかり伸ばす。タオルドライ後の髪に、毛先付近から手ぐしを通すように塗布し、髪の中間に向かって、<br>
徐々に上から手ぐしを通していきます。*ドライヘアにも使用できます。<br>
<br>
根元をしっかりと乾かし、中間～毛先の順番で乾かしていきます。熱で乾かすというより、風で水気を飛ばすイメージで。*毛先の乾かし過ぎに要注意。<br>
<br>
もう1プッシュを手に取り、両手のひら・指の間に広げます。毛先付近に手ぐしを通すように塗布した後、髪をかき上げるように、髪全体になじませます。<br><br>
※並行輸入品のためお届けの商品のパッケージが画像や国内販売商品と異なる場合がございます。<br>
また色・香りなどが異なる場合や成分シールの商品名と販売商品名が多少異なる場合がございます。
<br>
▼容量▼<br>
125ml×3本
<br>
▼全成分▼<br>
シクロペンタシロキサン・ジメチコノール・安息香酸アルキル・サリチル酸ベンジル・リナロール・シトロネロール・ゲラニオール・パーム油・サラソウジュ種子油・オイゲノール・香料
<br>
▼原産国▼<br>
スペイン
<br>
</font>→コスメ・香水&ヘアケアへ<br>→お洒落mama TOPへ<br><br><font size=""1""><b>【沖縄エリア及びその他離島の方の送料について】</b><br>※商品表示価格については、全て税込み価格です。<br>お洒落MAMAでは、1,990円以上のご購入で<font color=""#EE3264"">送料無料</font>となります。ただし、沖縄エリア及びその他離島は除かせていただきます。その際、別途料金をメールにてご連絡差し上げます。</font>",（3本セット）（送料無料）（KERASTASE）ケラスターゼ NU ソワン オレオリラックス 125ml (並行輸入品) ヘアトリートメント トリートメント 洗い流さない【送料無料】：お洒落Ｍａｍａ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得FILAGOLFフィラゴルフOCEAN PACIFICオーシャンパシフィックラッシュガードZuccheroズッケロJ-AXISジェイアクシススポーツウェアエスニック春夏 ストールカタツムリ パックEGF パックレビューを書いて送料無料送料無料ポイント10倍ヤーマンシャーベットカラーレインコート（3本セット）（送料無料）（KERASTASE）ケラスターゼ NU ソワン オレオリラックス 125ml (並行輸入品) ヘアトリートメント トリートメント 洗い流さない【送料無料】,KERASTASE NU ソワン オレオリラックス 3本 125ml(並行輸入品)。（3本セット）（送料無料）（KERASTASE）ケラスターゼ NU ソワン オレオリラックス 125ml (並行輸入品) ヘアトリートメント トリートメント 洗い流さない【送料無料】[rn]
15-106767,http://tshop.r10s.jp/o-mom/cabinet/65zen/65zen-aa-0046_01.jpg?fitin=700:700,2304.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2 210g トリートメント 植物エキス 保湿 保護 まとまり オブヘアー オブヘア,,"<br>
<font size=""1"">
▼商品説明▼<br>
●【送料無料】オブコスメティックス【Of cosmetics】トリートメント オブ ヘア・2 210g<br>
頭皮環境を整える厳選された植物エキスに、保湿成分として新たに「シラカンバ樹皮エキス」を採用し、よりしっとり、滑らか、まとまる髪に仕上げます。<br>
髪を補修するマトリックス成分「ヘマチン・3種のケラチン・2種のコラーゲン」配合。第二の皮膚と呼ばれる「リピジュア?」がうるおいをぎゅっと閉じ込めます。<br>
高山に自生している白樺(バーチ)の深くて甘い気持ちの安らぐ香り。<br>
<br>
効能・役割<br>
ゴマや黒砂糖、ショ糖などの植物性コンディショニング成分が、毛髪に潤いと輝きを与えしっとりと仕上げます。<br>
毛髪補修成分のヘマチン、3種のケラチン、2種のコラーゲンが、枝毛や切れ毛などのダメージを抑えてしなやかな毛髪に整えます。甘草エキス、<br>
白樺エキスなどの植物エキスが頭髪を健やかに保ちます。 日差しから髪を保護するシアバター配合です。<br>
<br>
ご使用方法<br>
傷んだところになじませるように。<br>
手傷みの気になるところから少しずつなじませていきます。髪の内部に浸透するまで少し時間がかかるので、すぐに流さず3分くらい待ちましょう。<br>
流す時は流し過ぎないように軽くすすぎます。<br>
シアバターをはじめ保湿成分や保護成分がたくさん入っているので、入浴のいちばん最後にトリートメントを流すことをおすすめします。
<br>
▼容量▼<br>
210g
<br>
▼成分▼<br>
水、グリセリン、ステアリルアルコール、水添ポリイソブテン、ジメチコノール、ベヘントリモニウムクロリド、アモジメチコン、ジメチコン、ゴマ油、トリステアリン酸スクロース、シア脂、加水分解ケラチン(羊毛)、加水分解コラーゲン、ヘマチン、ポリクオタニウム-51、ポリクオタニウム-92、黒砂糖、黒砂糖エキス、カラメル、カンゾウ根エキス、シラカンバ樹皮エキス、ウイキョウ果実エキス、ホップエキス、カミツレ花エキス、セイヨウノコギリソウエキス、セイヨウヤドリギエキス、メリッサエキス、ミリスチン酸ポリグリセリル-10、ステアラミドプロピルジメチルアミン、PCA、クエン酸、リン酸2Na、BG、エタノール、フェノキシエタノール、メチルパラベン、香料
<br><br>
■メーカー：株式会社　オブ・コスメティックス<br>
■製造国：日本<br>
■区分：化粧品<br>
■広告文責：株式会社ファンビコーポレーション　06-6264-5882<br>
<br>
→その他のヘアケア商品を見る<br>
→コスメ＆香水TOPへ<br>
→お洒落mama TOPへ
<br>
</font><br><br><font size=""1""><b>【沖縄エリア及びその他離島の方の送料について】</b><br>※商品表示価格については、全て税込み価格です。<br>お洒落MAMAでは、1,990円以上のご購入で<font color=""#EE3264"">送料無料</font>となります。ただし、沖縄エリア及びその他離島は除かせていただきます。その際、別途料金をメールにてご連絡差し上げます。</font>",送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2 210g トリートメント 植物エキス 保湿 保護 まとまり オブヘアー オブヘア：お洒落Ｍａｍａ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得FILAGOLFフィラゴルフOCEAN PACIFICオーシャンパシフィックラッシュガードZuccheroズッケロJ-AXISジェイアクシススポーツウェアエスニック春夏 ストールカタツムリ パックEGF パックレビューを書いて送料無料送料無料ポイント10倍ヤーマンシャーベットカラーレインコート送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2 210g トリートメント 植物エキス 保湿 保護 まとまり オブヘアー オブヘア,オブコスメティックス トリートメント オブ ヘア・2 210g。送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2 210g トリートメント 植物エキス 保湿 保護 まとまり オブヘアー オブヘア[rn]
15-106768,http://tshop.r10s.jp/o-mom/cabinet/65zen/65zen-aa-0047_01.jpg?fitin=700:700,2419.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2-G 210g さらさら ツヤ トリートメント グレープフルーツ オブヘアー オブヘア,,"<br>
<font size=""1"">
▼商品説明▼<br>
●【送料無料】オブコスメティックス【Of cosmetics】トリートメント オブ ヘア・2-G 210g<br>
アボカド・シア・シルク・トウモロコシなどのコンディショニング成分が指通りよく、軽やかで艶やかな髪に仕上げます。<br>
果実エキス＆果汁ベースのフルーツプロテクトで健やかな毛髪に。大好評の「グレープフルーツの香り」が、よりフレッシュな香りになりました。<br>
皮を剥いた直後のような、やや酸味のある、気分をリフレッシュさせる香りです。<br>
グレープフルーツ＆レモンの甘酸っぱくてみずみずしい柑橘系の香り。<br>
<br>
効能・役割<br>
セラミド複合体やアボカド油、アミノポリマーなどのヘアスムースエマルションが、ドライヤーの熱から髪を保護し、<br>
毛髪にツヤと輝きを与えてサラサラに仕上げます。傷んだ髪を補修するシルクとトウモロコシ、<br>
日差しから髪を保護するシアバター、ルチン誘導体配合。アボカド、グレープフルーツ、サンザシなどの天然果実成分が頭髪を健やかに保ちます。<br>
<br>
ご使用方法<br>
傷んだところになじませるように。<br>
傷みの気になるところから少しずつなじませていきます。髪の内部に浸透するまで少し時間がかかるので、すぐに流さず3分くらい待ちましょう。<br>
流す時は流し過ぎないように軽くすすぎます。<br>
シアバターをはじめ保湿成分や保護成分が　たくさん入っているので、入浴のいちばん最後にトリートメントを流すことをおすすめします。
<br>
▼容量▼<br>
210g
<br>
▼成分▼<br>
水、ステアリルアルコール、グリセリン、アモジメチコン、オレス‐2、クオタニウム‐91、セテアリルアルコール、ステアルトリモニウムクロリド、アボカド油、セトリモニウムメトサルフェート、加水分解シルク、トウモロコシグリコーゲン、グルコシルルチン、ポリクオタニウム‐64、ポリクオタニウム-92、シア脂、セラミド1、セラミド3、セラミド6II、フィトスフィンゴシン、コレステロール、グレープフルーツ果実エキス、グレープフルーツ果皮油、サンザシエキス、ナツメ果実エキス、リンゴエキス、レモン油、レモン果汁、オレンジ果汁、ライム果汁、カンゾウ根エキス、カラメル、クエン酸、ラウロイル乳酸Na、カルボマー、キサンタンガム、PG、BG、エタノール、フェノキシエタノール、メチルパラベン、香料
<br><br>
■メーカー：株式会社　オブ・コスメティックス<br>
■製造国：日本<br>
■区分：化粧品<br>
■広告文責：株式会社ファンビコーポレーション　06-6264-5882<br>
<br><br>
→その他のヘアケア商品を見る<br>
→コスメ＆香水TOPへ<br>
→お洒落mama TOPへ
<br>
</font><br><br><font size=""1""><b>【沖縄エリア及びその他離島の方の送料について】</b><br>※商品表示価格については、全て税込み価格です。<br>お洒落MAMAでは、1,990円以上のご購入で<font color=""#EE3264"">送料無料</font>となります。ただし、沖縄エリア及びその他離島は除かせていただきます。その際、別途料金をメールにてご連絡差し上げます。</font>",送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2-G 210g さらさら ツヤ トリートメント グレープフルーツ オブヘアー オブヘア：お洒落Ｍａｍａ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得FILAGOLFフィラゴルフOCEAN PACIFICオーシャンパシフィックラッシュガードZuccheroズッケロJ-AXISジェイアクシススポーツウェアエスニック春夏 ストールカタツムリ パックEGF パックレビューを書いて送料無料送料無料ポイント10倍ヤーマンシャーベットカラーレインコート送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2-G 210g さらさら ツヤ トリートメント グレープフルーツ オブヘアー オブヘア,オブコスメティックス トリートメント オブ ヘア・2-G 210g。送料無料 オブコスメティックス（ Of cosmetics ） トリートメント オブ ヘア・2-G 210g さらさら ツヤ トリートメント グレープフルーツ オブヘアー オブヘア[rn]
15-106769,http://tshop.r10s.jp/o-mom/cabinet/65zen/65zen-aa-0048_01.jpg?fitin=700:700,2764.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,送料無料 オブコスメティックス トリートメント オブ ヘア・2-EC 頭皮ケア Of cosmetics ハリ・コシ クール メントール 清涼 オブヘアー オブヘア,,"<br>
<font size=""1"">
▼商品説明▼<br>
●【送料無料】オブコスメティックス【Of cosmetics】トリートメント オブ ヘア・2-EC 210g<br>
メントールのスーッとした心地いい使用感で、地肌をやさしくマッサージすることで血行を促し、<br>
オイルバランスを整える新感覚のトリートメントです。<br>
天然ペパーミントをベースにマンダリンオレンジ・レモンで仕上げた爽やかな香り。<br>
<br>
効能・役割<br>
ダメージ毛をケアする爽快トリートメント。<br>
細い髪、ハリ・コシを失った髪に。髪のエイジングケア成分「セラキュート(R)-V」とベジタブルプロテイン(大豆・エンドウ豆)がダメージ毛や細い毛をしっかり補修。<br>
生き生きとしたハリ・コシとボリュームを与えます。また、アロエや延命草などのハーブが毛髪のベースである頭皮環境からケアするトリートメントです。<br>
<br>
ご使用方法<br>
傷んでいる毛先中心につけ毛髪ケア。<br>
油分が軽いタイプのトリートメントなので頭皮のマッサージにもご利用いただけます。<br>
マッサージにより血流を促すことで頭髪環境を整えながら、よりクールな使用感をお楽しみください。
<br>
▼容量▼<br>
210g
<br>
▼成分▼<br>
水、セテアリルアルコール、ステアラミドプロピルジメチルアミン、グリセリン、ジステアリルジモニウムクロリド、グリコシルトレハロース、アモジメチコン、加水分解水添デンプン、加水分解ダイズタンパク、加水分解エンドウタンパク、ポリクオタニウム-64、(メタクリル酸グリセリルアミドエチル/メタクリル酸ステアリル)コポリマー、ココイルアルギニンエチルPCA、アロエベラ液汁-1、ヒノキチオール、センブリエキス、イチョウエキス、ヒキオコシエキス、クマザサエキス、サボンソウエキス、ユーカリエキス、セイヨウハッカ油、マンダリンオレンジ果皮油、レモン油、ユーカリ油、メントール、クエン酸、イソプロパノール、エタノール、BG、フェノキシエタノール、メチルパラベン
<br><br>
■メーカー：株式会社　オブ・コスメティックス<br>
■製造国：日本<br>
■区分：化粧品<br>
■広告文責：株式会社ファンビコーポレーション　06-6264-5882<br>
<br>
→その他のヘアケア商品を見る<br>
→コスメ＆香水TOPへ<br>
→お洒落mama TOPへ
<br>
</font><br><br><font size=""1""><b>【沖縄エリア及びその他離島の方の送料について】</b><br>※商品表示価格については、全て税込み価格です。<br>お洒落MAMAでは、1,990円以上のご購入で<font color=""#EE3264"">送料無料</font>となります。ただし、沖縄エリア及びその他離島は除かせていただきます。その際、別途料金をメールにてご連絡差し上げます。</font>",送料無料 オブコスメティックス トリートメント オブ ヘア・2-EC 頭皮ケア Of cosmetics ハリ・コシ クール メントール 清涼 オブヘアー オブヘア：お洒落Ｍａｍａ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得FILAGOLFフィラゴルフOCEAN PACIFICオーシャンパシフィックラッシュガードZuccheroズッケロJ-AXISジェイアクシススポーツウェアエスニック春夏 ストールカタツムリ パックEGF パックレビューを書いて送料無料送料無料ポイント10倍ヤーマンシャーベットカラーレインコート送料無料 オブコスメティックス トリートメント オブ ヘア・2-EC 頭皮ケア Of cosmetics ハリ・コシ クール メントール 清涼 オブヘアー オブヘア,オブコスメティックス トリートメント オブ ヘア ２&minus;ＥＣ 210g。送料無料 オブコスメティックス トリートメント オブ ヘア・2-EC 頭皮ケア Of cosmetics ハリ・コシ クール メントール 清涼 オブヘアー オブヘア[rn]
