15-166801,http://tshop.r10s.jp/nanos-sr/cabinet/store/noimg.gif?fitin=700:700,817.6000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,Ｂｕｌｌｅｔ 超薄型シリアルATA3ケーブル flatタイプ ラッチ付 SAF50BK 目安在庫=△,【送料無料】,"超薄型シリアルATA3ケーブル flatタイプ ラッチ付 50cm。 検索キーワード:BULLET SAF50BK BULLETSAF50BK<BR><table cellpadding=""5"" cellspacing=""0"" border=""0""><tr><td align=""center""><img src=""https://www.rakuten.ne.jp/gold/nanos-sr/image/coupon/review_thanks_300_n.jpg""border=""0""></td></tr></table>",Ｂｕｌｌｅｔ 超薄型シリアルATA3ケーブル flatタイプ ラッチ付 SAF50BK 目安在庫=△：ナノズ　楽天市場店,青森県産品ソフトウェアハードウェアサプライスマートフォンアクセサリタブレットセキュリティケースフィルム会計ソフトリンゴジュースインクトナー楽器缶詰Ｂｕｌｌｅｔ 超薄型シリアルATA3ケーブル flatタイプ ラッチ付 SAF50BK 目安在庫=△,【送料無料】。Ｂｕｌｌｅｔ 超薄型シリアルATA3ケーブル flatタイプ ラッチ付 SAF50BK 目安在庫=△[rn]
15-166812,,20683.2000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-A00】(4726871)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１０ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):10<br>●質量(kg):0.8<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-A00】(4726871)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１０ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-A00】(4726871)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１０ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-A00】(4726871)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１０ｍ 受注単位1[rn]
15-166813,,13879.2000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-200-0LC】(4726774)カメラリンクケーブル アッセンブリ 標準タイプ２ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●産業用デジタルカメラのデータ伝送方式を定めたカメラリンク規格に準拠したケーブルハーネスです。<br>●高速画像信号、CCDカメラ制御信号および通信信号を1本のケーブルハーネスで伝送することが可能です。<br>●各社各様のインターフェースを統一することにより、部品入手性の改善、部品コストおよび開発コストの低減をご提案します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):2<br>●質量(kg):0.3<br>●カメラ側コネクタ:MDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:標準（ベージュ）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-200-0LC】(4726774)カメラリンクケーブル アッセンブリ 標準タイプ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-200-0LC】(4726774)カメラリンクケーブル アッセンブリ 標準タイプ２ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-200-0LC】(4726774)カメラリンクケーブル アッセンブリ 標準タイプ２ｍ 受注単位1[rn]
15-166814,,13244.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-100】(4726821)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):1<br>●質量(kg):0.2<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-100】(4726821)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-100】(4726821)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-100】(4726821)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1[rn]
15-166815,,14878.4000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-300】(4726847)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):3<br>●質量(kg):0.3<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-300】(4726847)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-300】(4726847)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-300】(4726847)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1[rn]
15-166816,,14786.4000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-200】(4726898)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):2<br>●質量(kg):0.4<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:SDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-200】(4726898)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-200】(4726898)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-200】(4726898)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1[rn]
15-166817,,13971.2000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-100】(4726880)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):1<br>●質量(kg):0.1<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:SDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-100】(4726880)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-100】(4726880)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-100】(4726880)カメラリンク ＰｏＣＬ ケーブルアッセンブリ１ｍ 受注単位1[rn]
15-166818,,16511.2000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-500】(4726855)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):5<br>●質量(kg):0.5<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-500】(4726855)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-500】(4726855)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-500】(4726855)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1[rn]
15-166819,,14061.6000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-200】(4726839)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):2<br>●質量(kg):0.3<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-200】(4726839)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-200】(4726839)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-200】(4726839)カメラリンク ＰｏＣＬ ケーブルアッセンブリ２ｍ 受注単位1[rn]
15-166820,,25672.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-A00-0LC】(4726812)カメラリンクケーブル アッセンブリ 標準タイプ１０ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●産業用デジタルカメラのデータ伝送方式を定めたカメラリンク規格に準拠したケーブルハーネスです。<br>●高速画像信号、CCDカメラ制御信号および通信信号を1本のケーブルハーネスで伝送することが可能です。<br>●各社各様のインターフェースを統一することにより、部品入手性の改善、部品コストおよび開発コストの低減をご提案します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):10<br>●質量(kg):0.6<br>●カメラ側コネクタ:MDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:標準（ベージュ）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-A00-0LC】(4726812)カメラリンクケーブル アッセンブリ 標準タイプ１０ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-A00-0LC】(4726812)カメラリンクケーブル アッセンブリ 標準タイプ１０ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-A00-0LC】(4726812)カメラリンクケーブル アッセンブリ 標準タイプ１０ｍ 受注単位1[rn]
15-166821,,15422.4000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-300-0LC】(4726782)カメラリンクケーブル アッセンブリ 標準タイプ３ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●産業用デジタルカメラのデータ伝送方式を定めたカメラリンク規格に準拠したケーブルハーネスです。<br>●高速画像信号、CCDカメラ制御信号および通信信号を1本のケーブルハーネスで伝送することが可能です。<br>●各社各様のインターフェースを統一することにより、部品入手性の改善、部品コストおよび開発コストの低減をご提案します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):3<br>●質量(kg):0.4<br>●カメラ側コネクタ:MDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:標準（ベージュ）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-300-0LC】(4726782)カメラリンクケーブル アッセンブリ 標準タイプ３ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-300-0LC】(4726782)カメラリンクケーブル アッセンブリ 標準タイプ３ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-300-0LC】(4726782)カメラリンクケーブル アッセンブリ 標準タイプ３ｍ 受注単位1[rn]
15-166822,,21319.2000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-700-0LC】(4726804)カメラリンクケーブル アッセンブリ 標準タイプ７ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●産業用デジタルカメラのデータ伝送方式を定めたカメラリンク規格に準拠したケーブルハーネスです。<br>●高速画像信号、CCDカメラ制御信号および通信信号を1本のケーブルハーネスで伝送することが可能です。<br>●各社各様のインターフェースを統一することにより、部品入手性の改善、部品コストおよび開発コストの低減をご提案します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):7<br>●質量(kg):0.6<br>●カメラ側コネクタ:MDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:標準（ベージュ）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-700-0LC】(4726804)カメラリンクケーブル アッセンブリ 標準タイプ７ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-700-0LC】(4726804)カメラリンクケーブル アッセンブリ 標準タイプ７ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【14B26-SZLB-700-0LC】(4726804)カメラリンクケーブル アッセンブリ 標準タイプ７ｍ 受注単位1[rn]
15-166823,,18868.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-700】(4726928)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):7<br>●質量(kg):0.5<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:SDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-700】(4726928)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-700】(4726928)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-700】(4726928)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1[rn]
15-166824,,15604.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-300】(4726901)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):3<br>●質量(kg):0.4<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:SDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-300】(4726901)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-300】(4726901)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-300】(4726901)カメラリンク ＰｏＣＬ ケーブルアッセンブリ３ｍ 受注単位1[rn]
15-166825,,17236.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-500】(4726910)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):5<br>●質量(kg):0.4<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:SDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-500】(4726910)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-500】(4726910)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1SD26-3120-00C-500】(4726910)カメラリンク ＰｏＣＬ ケーブルアッセンブリ５ｍ 受注単位1[rn]
15-166826,,18144.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > その他,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-700】(4726863)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カメラ電源供給線を統合した産業用デジタルカメラの伝送規格「PoCL規格」に準拠したケーブルハーネスです。<br>●ケーブル1本で映像データ出力、制御、電源供給が可能で、従来のカメラリンク規格の配線に比べて省配線、省スペースを実現します。<br>●Base/Medium Configuration用のデザインによって細径化を実現しました。<br>●柔軟性も大幅に向上します。<br>●産業用カメラ接続用ケーブルハーネス。<br>●長さ(ｍ):7<br>●質量(kg):0.6<br>●カメラ側コネクタ:SDR、26芯　ストレート<br>●ボード側コネクタ:MDR、26芯　ストレート<br>●ケーブルタイプ:細線（グレー）<br>●PVC<br>●発泡ポリエチレン<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-700】(4726863)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-700】(4726863)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1,生産加工用品\電気・電子部品\カメラリンクケーブル。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【1MD26-3560-00C-700】(4726863)カメラリンク ＰｏＣＬ ケーブルアッセンブリ７ｍ 受注単位1[rn]
