15-134801,http://tshop.r10s.jp/craftkei/cabinet/itemphoto/item2/h1602.jpg?fitin=700:700,719.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）,"※この商品は、ご注文から約2～3営業日後に出荷をさせていただきます。
<br><br>
※この商品は、「メール便対応」ではございません。通常の宅配便をご指定ください。
<br><br>
●見た目のインパクトも豪華な、上質のアンゴラ糸です。<br>
●フワフワの風合いのアンゴラうさぎの毛を、贅沢に80%使用。<br>
●イタリア製
<br><br>
<font color=""#993333"">
■構成…毛80%（アンゴラ）・ナイロン20%<br>
■仕立て…20g玉巻（約65m）<br>
■適正針・適正ゲージ…棒針7～8号・22目26段<br>
■婦人プルオーバー14～15玉、婦人半袖セーター9～10玉
</font>
<br><br>
<font color=""#FF0000"" size=""2"">
※メーカー在庫状況により、まれに品切れの場合がございます。<br>
その時はメールにてご連絡をさせていただきます。
<br>
※写真で見る商品と実物では色が違って見えることがございます。</font><br><br><img src=""http://www.rakuten.ne.jp/gold/craftkei/images/packet.jpg"">
<br><br>",リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】：クラフトケイ,毛糸ハマナカ生地フェルト羊毛羊毛フェルトダイロンルシアンローワン手芸キット手芸糸手あみ糸あみぐるみエコアンダリヤボニーエコタワシ手あみ針リッチモア特価毛糸アクリル毛糸フェルトリッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）。リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】[rn]
15-134826,http://tshop.r10s.jp/shugale/cabinet/knit_item2/086811_a.jpg?fitin=700:700,1761.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　春夏糸　リッチモア毛糸　ヘイズ　10玉パック 【数量限定】,ヘイズ10玉パック｜リッチモア毛糸｜数量限定｜,"【 パック内容 】 リッチモアヘイズ10玉、編み図<br><br>

＜透かしリーフ柄とフリルスリーブのベビードール＞<br>
●完成サイズ（約）／胸囲90cm×着丈59cm<br>　　　　　　　　
●使用糸／ヘイズ・・・7.2玉<br>
●使用針／5号2本棒針、5/0号かぎ針<br><br>

＜アレンジボーダーのプレーンプル＞<br>
●完成サイズ（約）／胸囲93cm×着丈56.5cm<br>
●使用糸／ヘイズ・・・8.4玉　　（※写真の色は完売しました）<br>
●使用針／5/0号・4/0号かぎ針<br><br><br>


≪リッチモア　ヘイズ≫<br>
天然色のリネンにシルク、レーヨン混のスラブを交撚したファンシー。リネンのナチュラルベージュと春らしいパステルカラーが調和したラスティックなテイスト。<br><br>

●25g玉巻（約90m）<br>
●麻（リネン）76％・絹12％・レーヨン12％<br><br>
●棒針4～5号<br>
●かぎ針4/0～5/0号<br><br>

メリヤス編み標準使用量（玉）<br>
●婦人プル　10～11玉<br>
●婦人半袖プル　7～8玉<br>
●婦人ベスト　6～7玉<br><br>

※数量限定！<br>
※数に限りがございます。売り切れの際はご容赦ください。<br><br>

※セール期間に割引が適用され、価格が5,400円未満になった場合、送料無料にならない場合があります。ご了承ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item2/086811_b.jpg"" width=""100%"">",編み物　春夏糸　リッチモア毛糸　ヘイズ　10玉パック 【数量限定】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　春夏糸　リッチモア毛糸　ヘイズ　10玉パック 【数量限定】,ヘイズ10玉パック｜リッチモア毛糸｜数量限定｜。編み物　春夏糸　リッチモア毛糸　ヘイズ　10玉パック 【数量限定】[rn]
15-134827,http://tshop.r10s.jp/shugale/cabinet/knit_item3/886302_a.jpg?fitin=700:700,353.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　マージ　302,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

複数のロング段染糸を組み合わせたグラデーションは、リリヤーンならではの繊細なメランジカラーが特徴です。 コットンは上質なスーピマを使用、なめらかなタッチで程良く体になじむ着心地の良さと、きれいなシルエットを作ります。シンプルなストレートヤーンは編み易く、様々な模様をくっきりと浮き立たせます。<br><br>

【 重量･形状･糸長(m) 】 30g玉巻（約111m）<br>
【 品質構成 】 綿31％・アクリル69％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針4/0～5/0号<br>
【 メリヤス編み標準ゲージ 】 24～26目･32～34段<br><br>

***　メリヤス編み標準使用量（玉）　***<br>
婦人半袖プル 10玉<br>
婦人ベスト 7玉<br>
婦人半袖カーディガン 11玉<br>
紳士半袖プル 12玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/886302_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　マージ　302：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　マージ　302,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　マージ　302[rn]
15-134828,http://tshop.r10s.jp/shugale/cabinet/knit_item/877806_a.jpg?fitin=700:700,228.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　ビオラ　806,ビオラ｜ダイヤ毛糸｜春夏糸｜,"【廃番処分品】<br><br>

2種類のロング段染を使った多彩な色変化に加えて、2色のカラーラメがランダムに現れ複雑な表情を作っています。<br>
ベースとなる段染リリヤーンの表面にラメを巻きつけていくことで、少しハリ感のある糸に仕上げています。<br>
 夏らしい強い色使いとカラーラメの効果でとても個性的な作品が生まれます。<br><br>

【 重量・形状・糸長（m） 】 30g玉巻（116m）<br>
【 品質構成 】 綿41％・アクリル44％・ポリエステル15％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針4/0～5/0号<br><br>

***　メリヤス編み標準使用量（玉）　***<br>
婦人半袖プル　9玉<br>
婦人ベスト　6玉
婦人半袖カーディガン　10玉<br>
半袖ワンピース　17玉<br>
スカート　10玉<br>
紳士半袖プル　11玉<br><br>

※在庫限り60％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/877806_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　ビオラ　806：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　ビオラ　806,ビオラ｜ダイヤ毛糸｜春夏糸｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　ビオラ　806[rn]
15-134829,http://tshop.r10s.jp/shugale/cabinet/knit_item3/876228_a.jpg?fitin=700:700,448.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　シルクドマーニ　228,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

光沢が美しく、強度が強い高級糸。吸汗性に優れ肌触りが良い。<br><br>

【 重量・形状・糸長（m） 】 25g玉巻（約157m）<br>
【 品質構成 】 絹100％<br>
【 棒針の号数 】 棒針4～5号(2本取り)<br>
【 かぎ針の号数 】 かぎ針2/0～3/0号<br>
【 メリヤス編み標準ゲージ 】 37～38目・47～49段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
婦人半袖プルオーバー　9玉<br>
 婦人ベスト　6玉<br>
 婦人半袖カーディガン　10玉<br>
 婦人半袖ワンピース　17玉<br>
 婦人スカート　10玉<br>
 紳士半袖プルオーバー　11玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。",編み物　ワゴンＳＡＬＥ　★在庫限り★　シルクドマーニ　228：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　シルクドマーニ　228,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　シルクドマーニ　228[rn]
15-134830,http://tshop.r10s.jp/shugale/cabinet/knit_item3/926305_a.jpg?fitin=700:700,336.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　シャンティ　305,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

【 重量・形状・糸長（m） 】 30ｇ玉巻（約117ｍ）<br>
【 品質構成 】 レーヨン76％・アクリル23％・ポリエステル1％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針4／0～5／0号<br>
【 メリヤス編み標準ゲージ 】 22～24目・29～31段<br><br>

***　メリヤス編み標準使用量（玉）　***<br>
婦人半袖プル　8玉<br>
婦人ベスト　6玉<br>
婦人半袖カーディガン　9玉<br>
半袖ワンピース　15玉<br>
スカート　9玉<br>
紳士半袖プル　10玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/926305_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　シャンティ　305：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　シャンティ　305,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　シャンティ　305[rn]
15-134831,http://tshop.r10s.jp/shugale/cabinet/knit_item3/886507_a.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　ジョルノ　507,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

ブークレ形状が部分的に現れることで､透け感と凹凸感の変化が楽しめるスラブヤーン｡リネンのハリ感を生かし､ややラフゲージに編むことで糸の形状がより効果的に表現できます｡糸の太さの変化は､色の流れにも強弱を生みアクセントになっています｡リネン使いとスラブ形状により､さわやかなタッチの編み上がりです。<br><br>

【 重量･形状･糸長(m) 】 30g玉巻（約108m）<br>
【 品質構成 】 麻17％・アクリル78％・ポリエステル5％<br>
【 棒針の号数 】 棒針6～7号<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br>
【 メリヤス編み標準ゲージ 】 19～21目･26～28段<br><br>

*** メリヤス編み標準使用量(玉) ***<br>
婦人半袖プル 8玉<br>
婦人半袖ベスト 5玉<br>
婦人半袖カーディガン 9玉<br>
紳士半袖プル 9玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/886507_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　ジョルノ　507：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　ジョルノ　507,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　ジョルノ　507[rn]
15-134832,http://tshop.r10s.jp/shugale/cabinet/knit_item3/922207_a.jpg?fitin=700:700,362.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　ピットーレ　207,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

たくさんの色がミックスしながら次々と入れ替わり、印象的な変化を見せるカラーファンシーです。<br>
コットンとアクリルを使った光沢のあるリリヤーンで、発色の良さがポイント、8色使いの複雑な色変化がとても華やかです。<br>
1点1点色の表情が違った、個性的な作品に仕上げます。<br><br>

【 重量・形状・糸長（m） 】 30g玉巻（106m）<br>
【 品質構成 】 綿40％・アクリル56％・ナイロン4％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針4/0～5/0号<br><br>

***   メリヤス編み標準使用量（玉） ***<br>
婦人半袖プル　9玉<br>
婦人ベスト　7玉<br>
婦人半袖カーディガン　10玉<br>
半袖ワンピース　17玉<br>
スカート　10玉<br>
紳士半袖プル　12玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/922207_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　ピットーレ　207：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　ピットーレ　207,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　ピットーレ　207[rn]
15-134833,http://tshop.r10s.jp/shugale/cabinet/knit_item3/985127_a.jpg?fitin=700:700,297.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　127,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

綿花の女王といわれる“海島綿”の遺伝子をベースにした新品種マスターシード。<br>
繊維長が極めて長く、また繊維一本一本が細い為、ソフトでやさしい風合い、さらにノーブルな光沢に優れています。<br><br>

【 重量・形状・糸長（m） 】 30g玉巻（約106m）<br>
【 品質構成 】 綿100％（マスターシード）<br>
【 棒針の号数 】 棒針4～5号<br>
【 かぎ針の号数 】 かぎ針3/0～4/0号<br>
【 メリヤス編み標準ゲージ 】 25～37目・34～36段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
ベスト　7玉<br>
半袖プル　9玉<br>
半袖カーディガン　10玉<br>
半袖ワンピース　18玉<br>
スカート　10玉<br>
紳士半袖プル　12玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。",編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　127：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　127,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　127[rn]
15-134834,http://tshop.r10s.jp/shugale/cabinet/knit_item3/922116_a.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　116,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

サマーヤーンのロングセラー「ダイヤコスタ」が、吟味した新しい素材使いでより編みやすい糸に生まれ変わりました。<br>
フェミニンな光沢、印象的な色変化はそのまま受け継いでいます。<br>
より美しい編み目、より美しいシルエットを作るスタイリッシュな糸になりました。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約136m）<br>
【 品質構成 】 レーヨン70％・アクリル30％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br>
【 メリヤス編み標準ゲージ 】 22～23目・28～30段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
婦人半袖プル　7玉<br>
婦人ベスト　5玉<br>
婦人半袖カーディガン　8玉<br>
半袖ワンピース　13玉<br>
スカート　8玉<br>
紳士半袖プル　9玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/922116_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　116：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　116,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　116[rn]
15-134835,http://tshop.r10s.jp/shugale/cabinet/knit_item3/922121_a.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　121,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

サマーヤーンのロングセラー「ダイヤコスタ」が、吟味した新しい素材使いでより編みやすい糸に生まれ変わりました。<br>
フェミニンな光沢、印象的な色変化はそのまま受け継いでいます。<br>
より美しい編み目、より美しいシルエットを作るスタイリッシュな糸になりました。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約136m）<br>
【 品質構成 】 レーヨン70％・アクリル30％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br>
【 メリヤス編み標準ゲージ 】 22～23目・28～30段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
婦人半袖プル　7玉<br>
婦人ベスト　5玉<br>
婦人半袖カーディガン　8玉<br>
半袖ワンピース　13玉<br>
スカート　8玉<br>
紳士半袖プル　9玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/922121_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　121：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　121,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　121[rn]
15-134836,http://tshop.r10s.jp/shugale/cabinet/knit_item/981617_a.jpg?fitin=700:700,283.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　ダイヤ　モヘヤドゥ　アルパカ　プリント　617,ダイヤ｜廃番特価｜在庫限り｜毛糸｜ニット｜,"【廃番処分品】<br><br>

なめらかなタッチで軽い編み上がりの「ダイヤモヘヤドゥ＜アルパカ＞」の、ランダムピッチのプリントタイプです。 棒針、かぎ針、様々な編地に、キッドモヘヤとベビーアルパカのリッチな風合いを実感できます。 深みのあるシックなミックスカラーがヘアリーな表情により一層溶け合います。手洗いOK。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約160m）<br>
【 品質構成 】 モヘヤ（キッドモヘヤ）40％・アルパカ（ベビーアルパカ）10％・アクリル50％<br>
【 棒針の号数 】 棒針6～7号<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br>
【 メリヤス編み標準ゲージ 】 19～21目・25～27段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
婦人プル　5玉<br>
婦人ベスト　4玉<br>
婦人カーディガン　6玉<br>
婦人ワンピース　10玉<br>
婦人スカート　5玉<br>
紳士プル　7玉<br>
マフラー　2玉<br><br>

※在庫限り60％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br>

※1玉のご注文でも宅配便での発送となりますのでご了承ください。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/981617_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　ダイヤ　モヘヤドゥ　アルパカ　プリント　617：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　ダイヤ　モヘヤドゥ　アルパカ　プリント　617,ダイヤ｜廃番特価｜在庫限り｜毛糸｜ニット｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　ダイヤ　モヘヤドゥ　アルパカ　プリント　617[rn]
15-134837,http://tshop.r10s.jp/shugale/cabinet/knit_item3/877506_a.jpg?fitin=700:700,345.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　シェーナ　506,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

【 重量・形状・糸長（m） 】 25g玉巻（122m）<br>
【 品質構成 】 ポリエステル100％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針4/0～5/0号<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/877506_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　シェーナ　506：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　シェーナ　506,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　シェーナ　506[rn]
15-134838,http://tshop.r10s.jp/shugale/cabinet/knit_item/985130_a.jpg?fitin=700:700,178.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　130,マスターシードコットン｜ダイヤ毛糸｜春夏糸｜,"【廃番処分品】<br><br>

綿花の女王といわれる“海島綿”の遺伝子をベースにした新品種マスターシード。<br>
繊維長が極めて長く、また繊維一本一本が細い為、ソフトでやさしい風合い、さらにノーブルな光沢に優れています。<br><br>

●30g玉巻（約106m）<br>
●綿100％（マスターシード）<br>
●棒針4～5号　25～27目・34～36段<br>
●かぎ針3/0～4/0号<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
ベスト7玉<br>
半袖プル9玉<br>
半袖カーディガン10玉<br>
半袖ワンピース18玉<br>
スカート10玉<br>
紳士半袖プル12玉<br><br>

※在庫限り60％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。",編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　130：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　130,マスターシードコットン｜ダイヤ毛糸｜春夏糸｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　マスターシードコットン　130[rn]
15-134839,http://tshop.r10s.jp/shugale/cabinet/knit_item3/922104_a.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　104,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜,"【廃番処分品】<br><br>

サマーヤーンのロングセラー「ダイヤコスタ」が、吟味した新しい素材使いでより編みやすい糸に生まれ変わりました。<br>
フェミニンな光沢、印象的な色変化はそのまま受け継いでいます。<br>
より美しい編み目、より美しいシルエットを作るスタイリッシュな糸になりました。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約136m）<br>
【 品質構成 】 レーヨン70％・アクリル30％<br>
【 棒針の号数 】 棒針5～6号<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br>
【 メリヤス編み標準ゲージ 】 22～23目・28～30段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
婦人半袖プル　7玉<br>
婦人ベスト　5玉<br>
婦人半袖カーディガン　8玉<br>
半袖ワンピース　13玉<br>
スカート　8玉<br>
紳士半袖プル　9玉<br><br>

※在庫限り50％OFF！！<br>
※在庫限りです。売り切れの際はご容赦ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/922104_b.jpg"" width=""100%"">",編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　104：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　104,ダイヤ毛糸｜春夏糸｜サマーヤン｜廃番｜処分品｜在庫限り｜。編み物　ワゴンＳＡＬＥ　★在庫限り★　コスタノーバ　104[rn]
