35-64986,http://tshop.r10s.jp/i-craft/cabinet/01906969/img60602116.jpg?fitin=700:700,139.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】,たくさん編めてお得です！,"<br>
重量・長さ * 40g・約155m<br>
　素　材　 * アクリル70％・ウール30％<br>
　対応針　 * 棒針3号<br>
<br><br>
((１玉からご注文いただけます))
<br>
<br>
<br>
１本そのままでも、糸を合わせて２本取りでも<br>
お使いいただける太さになっています。<br>
メーター数も多いので、かなりお買い得の糸です。<br><br>
小物からウェアまで、はば広くご利用いただけます☆<br>
<br>
選択できない色番号はメーカーハイバンです。<br>
ご了承くださいませ。<br>
<br>
<br>
<br>",【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】,たくさん編めてお得です！。【毛糸】【中細】　フィ　毛混中細　段染　【横田】【ダルマ】【秋冬】【手編み】【手芸】[rn]
35-65008,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin2/h144-062.jpg?fitin=700:700,5529.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手編み】アラン模様のツイードプル　【手芸用品】【手芸キット】【送料無料】【ハマナカ】【アランツイード】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
 内容 * アランツイード　　12玉、作品レシピ<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<font color=""red"">※ボタンはセットに入っていません。<br></font>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　アランツイード（約40g）<br>
　　　　　No.1　11.8玉（約470g）<br>
使用針 * 棒針10号・8号<br><br></font>
<br>
<br>
◇ハマナカ　アランツイードについて◇<br>
<br>
■重量・長さ * 40g・約82m<br>
■素　材　* ウール90％、アルパカ10％<br>
■対応針　* かぎ針8/0号、棒針8～10号<br>
<br>
<br>",【毛糸】【ハマナカ】【手編み】アラン模様のツイードプル　【手芸用品】【手芸キット】【送料無料】【ハマナカ】【アランツイード】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手編み】アラン模様のツイードプル　【手芸用品】【手芸キット】【送料無料】【ハマナカ】【アランツイード】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手編み】アラン模様のツイードプル　【手芸用品】【手芸キット】【送料無料】【ハマナカ】【アランツイード】【手芸道具】【手芸材料】【編物】【あみもの】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-65009,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin1/h154-030.gif?fitin=700:700,3048.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ブレード風編み分けプル　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * ベラーノ　7玉<br>
　　　　作品レシピ…A4用紙1枚、A3用紙1枚<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　ベラーノ(25g玉巻)<br>
　　　　　No.5(グリーン系)…6.8玉(170g)<br>
使用針 * かぎ針3/0号<br>
できあがり * 身幅48cm、着丈53.5cm<br>
<br></font>
<br>
<br>
◇ベラーノについて◇<br>
<br>
重量・長さ * 25g・約105m<br>
　素　材　 * ポリエステル70％、アクリル30％<br>
　対応針　 * かぎ針3号<br>
<br>
<br>",【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ブレード風編み分けプル　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ブレード風編み分けプル　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪ 。【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ブレード風編み分けプル　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-65010,http://tshop.r10s.jp/i-craft/cabinet/03103576/03116525/h145-175-042-top.jpg?fitin=700:700,1919.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ニット】　切り替え模様のキッズワンピース　【ハマナカ】【ウォッシュコットンクロッシェ5玉+2玉】【中細】【キット】,かぎ針編み/春夏/ニット/ウェア/レシピ付き/手編み,"<table width=""730"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/03103576/03116525/h145-175-042.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
</table>
<p>&nbsp;</p>
<table width=""400"" bgcolor=""#999999"" cellspacing=""1"" cellpadding=""3"">
<tr>
  <th align=""left"" bgcolor=""#F0E7E5""><font size=""2"">商品説明</font></th>
</tr>
<tr>
  <td bgcolor=""#FFFFFF""><font size=""2"" color=""#666666""><br>
    <font size=""2"" color=""#666666"">写真の作品が作れるように、材料とテキストをセットにした編み物の手芸パックです。<br>
<br>
◆内容　*　ウォッシュコットン《クロッシェ》（２５ｇ玉巻）<br>
ターコイズ（Ｎｏ．１３１）５玉、ライトグレー（Ｎｏ．１３２）２玉、<br>
レシピ<br>
<br>
◆サイズ　*　身幅３０ｃｍ、着丈４８ｃｍ<br>
<br>
◆使用針　*　かぎ針３／０号、毛糸とじ針<br>
<br>
◆ゲージ　*模様編みＡ２５．５目１１．５段が約１０cm角、<br>
模様編みＢ１模様４．３cm　１３．５段が約１０cm。<br>
<br>
<br>
<span style=""color: #FF0004"">ご注意ください！<br>
※この商品はメール便の規定サイズを超えますので、宅配便でのお届けとなります。<br>
※かぎ針、とじ針などの道具類はセットに含まれません。</span></font><font size=""2"" color=""#666666""><br>
  <br>
    </font></td>
</tr>
</table>

<br>",【毛糸】【ニット】　切り替え模様のキッズワンピース　【ハマナカ】【ウォッシュコットンクロッシェ5玉+2玉】【中細】【キット】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ニット】　切り替え模様のキッズワンピース　【ハマナカ】【ウォッシュコットンクロッシェ5玉+2玉】【中細】【キット】,かぎ針編み/春夏/ニット/ウェア/レシピ付き/手編み。【毛糸】【ニット】　切り替え模様のキッズワンピース　【ハマナカ】【ウォッシュコットンクロッシェ5玉+2玉】【中細】【キット】[rn]
35-65011,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin1/h145-165-033-1.jpg?fitin=700:700,3451.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸キット】　ショート丈のナチュラルカーディ　【ハマナカ】【ポーム《彩土染め》】【手編み】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<table width=""630"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/01906969/sakuhin1/h145-165-033-2.jpg"" width=""630""/></td>
  </tr>
  <tr>
    <td style=""text-align: center"">&nbsp;</td>
  </tr>
  <tr>
    <td style=""text-align: center""><img src=""http://image.rakuten.co.jp/i-craft/cabinet/01906969/sakuhin1/h145-165-033-3.jpg""/></td>
  </tr>
  <tr>
    <td style=""text-align: center"">&nbsp;</td>
  </tr>
</table>
<p>&nbsp;</p>
<table width=""400"" bgcolor=""#999999"" cellspacing=""1"" cellpadding=""3"">
<tr>
  <th align=""left"" bgcolor=""#F0E7E5""><font size=""2"">商品説明</font></th>
</tr>

<tr>
  <td bgcolor=""#FFFFFF""><font size=""2"" color=""#666666""><br>
    <font size=""2"" color=""#666666""><br>
    写真の作品を編めるぶんだけの糸と<br>
    レシピのセットです♪<br>
    <br>
    内容 * ポーム《彩土染め》　10玉、作品レシピ（145-165-033）<br>
    <span style=""color: #FC0F34"">※ボタンはセットに含まれていません。<br>
    　　（直径15mm　4個）</span><br>
    <br>
    <span style=""color: #FC0F34"">写真２より、糸の色をお選びください。</span><br>
    使用糸 *ポーム《彩土染め》（約25g）<br>
    　　　　　グレー　No.45　9.2玉（約230g）<br>
    使用針 * 2本針6号<br>
    <span style=""color: #FC0F34"">できあがり * 胸囲96cm、着丈45cm、ゆき丈34cm</span><br>
    ◇ハマナカ　ポーム《彩土染め》について<br>
    ■重量・長さ * 25g・約70m<br>
    ■素　材　*綿100％<br>
    ■対応針　* かぎ針5/0号・棒針5～6号</font><font size=""2"" color=""#666666""><br>
  <br>
    </font></td>
</tr>
</table>",【毛糸】【ハマナカ】【手芸キット】　ショート丈のナチュラルカーディ　【ハマナカ】【ポーム《彩土染め》】【手編み】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸キット】　ショート丈のナチュラルカーディ　【ハマナカ】【ポーム《彩土染め》】【手編み】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手芸キット】　ショート丈のナチュラルカーディ　【ハマナカ】【ポーム《彩土染め》】【手編み】【レシピ】【テキスト】[rn]
35-65012,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin1/h154-007.gif?fitin=700:700,3359.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｌサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * アプリコ＜ラメ＞　9玉<br>
　　　　作品レシピ…A4用紙1枚、A3用紙両面1枚<br>
<br>
<font color=""red"">※ボタンはセットに含まれていません。</font>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　アプリコ＜ラメ＞(30g玉巻)<br>
　　　　　No.112…9玉(270g)<br>
付属品 * ボタン直径13mm…6個<br>
使用針 * かぎ針3/0号<br>
できあがり * 胸囲106cm、着丈57.5cm、ゆき丈47cm<br>
<br></font>
<br>
<br>
◇アプリコ＜ラメ＞について◇<br>
<br>
重量・長さ * 30g・約115m<br>
　素　材　 * 綿(超長綿)100％（スリット糸使用）<br>
　対応針　 * かぎ針3～4号<br>
<br>
<br>
<br>",【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｌサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｌサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪ 。【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｌサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-65013,http://tshop.r10s.jp/i-craft/cabinet/amimonoyouhin/h155-011.jpg?fitin=700:700,2425.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸キット】　ラグランショート丈カーディ　【フラックスC】【手編み】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<table width=""630"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/amimonoyouhin/h155-011.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/01906969/0239_1.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
</table>
<p>&nbsp;</p>
<table width=""400"" bgcolor=""#999999"" cellspacing=""1"" cellpadding=""3"">
<tr>
  <th align=""left"" bgcolor=""#F0E7E5""><font size=""2"">商品説明</font></th>
</tr>

<tr>
  <td bgcolor=""#FFFFFF""><font size=""2"" color=""#666666""><br>
    写真の作品を編めるぶんだけの糸と<br>
    レシピのセットです♪<br>
    <br>
    内容 * フラックスC　8玉、作品レシピ（155-011）<br>
    <span style=""color: #F50408"">写真２より、糸の色をお選びください。</span><br>
    使用糸 *フラックスC（約25g）<br>
    　　　　　グリーン　No.107　7.6玉（約190g）<br>
    使用針 * かぎ針3/0号<br>
    <span style=""color: #F50408"">できあがり * 胸囲92.5cm、着丈約43cm、ゆき丈43.5ｃｍ</span><br>
    ◇ハマナカ　フラックスCについて<br>
    ■重量・長さ * 25g・約104m<br>
    ■素　材　*麻(リネン）82％、綿18％<br>
    ■対応針　* かぎ針3/0号
  </font><font size=""2"" color=""#666666""><br>
  <br>
    </font></td>
</tr>
</table>

<br>",【毛糸】【ハマナカ】【手芸キット】　ラグランショート丈カーディ　【フラックスC】【手編み】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸キット】　ラグランショート丈カーディ　【フラックスC】【手編み】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手芸キット】　ラグランショート丈カーディ　【フラックスC】【手編み】【レシピ】【テキスト】[rn]
35-65014,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin1/h154-007.gif?fitin=700:700,2985.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｍサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * アプリコ＜ラメ＞　8玉<br>
　　　　作品レシピ…A4用紙1枚、A3用紙両面1枚<br>
<br>
<font color=""red"">※ボタンはセットに含まれていません。</font>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　アプリコ＜ラメ＞(30g玉巻)<br>
　　　　　No.112…8玉(240g)<br>
付属品 * ボタン直径13mm…6個<br>
使用針 * かぎ針3/0号<br>
できあがり * 胸囲95cm、着丈53.5cm、ゆき丈47cm<br>
<br></font>
<br>
<br>
◇アプリコ＜ラメ＞について◇<br>
<br>
重量・長さ * 30g・約115m<br>
　素　材　 * 綿(超長綿)100％（スリット糸使用）<br>
　対応針　 * かぎ針3～4号<br>
<br>
<br>
<br>",【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｍサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｍサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪ 。【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　ダイヤ柄の丸ヨークカーディ　Ｍサイズ　【アプリコ＜ラメ＞】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-65015,http://tshop.r10s.jp/i-craft/cabinet/amimonoyouhin/h155-029.jpg?fitin=700:700,4276.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸用品】【手芸キット】　3パターンのショール風カーディ　【ハマナカ】【リトス】【手芸材料】【編物】【あみもの】【手編み】【手編】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<table width=""630"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/amimonoyouhin/h155-029.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/amimonoyouhin/h155-029-2.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
</table>
<p>&nbsp;</p>
<table width=""400"" bgcolor=""#999999"" cellspacing=""1"" cellpadding=""3"">
<tr>
  <th align=""left"" bgcolor=""#F0E7E5""><font size=""2"">商品説明</font></th>
</tr>

<tr>
  <td bgcolor=""#FFFFFF""><font size=""2"" color=""#666666""><br>
    写真の作品を編めるぶんだけの糸と<br>
    レシピのセットです♪<br>
    <br>
    内容 * リトス　10玉、作品レシピ（155-029）<br>
    <span style=""color: #F50408"">写真２より、糸の色をお選びください。</span><br>
    使用糸 *リトス（約25g）<br>
    　　　　　サーモンピンク　No.6　9.6玉（約240g）<br>
    使用針 * かぎ針3/0号<br>
    <span style=""color: #F50408"">できあがり *身幅80cm、着丈43.5cm、ゆき丈47ｃｍ</span><br>
    ◇ハマナカ　リトスについて<br>
    ■重量・長さ * 25g・約105m<br>
    ■素　材　*アクリル40％、ポリエステル36％、麻（リネン）21％、ナイロン3％<br>
    ■対応針　* かぎ針3/0号
  </font><font size=""2"" color=""#666666""><br>
  <br>
    </font></td>
</tr>
</table>

<br>",【毛糸】【ハマナカ】【手芸用品】【手芸キット】　3パターンのショール風カーディ　【ハマナカ】【リトス】【手芸材料】【編物】【あみもの】【手編み】【手編】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸用品】【手芸キット】　3パターンのショール風カーディ　【ハマナカ】【リトス】【手芸材料】【編物】【あみもの】【手編み】【手編】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手芸用品】【手芸キット】　3パターンのショール風カーディ　【ハマナカ】【リトス】【手芸材料】【編物】【あみもの】【手編み】【手編】【レシピ】【テキスト】[rn]
35-65016,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin1/h154-029.gif?fitin=700:700,3483.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　パイナップル模様の半円ベスト　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * ベラーノ　8玉<br>
　　　　作品レシピ…A4用紙1枚、A3用紙両面1枚<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　ベラーノ(25g玉巻)<br>
　　　　　No.6(青緑系)…7.8玉(195g)<br>
使用針 * かぎ針3/0号<br>
できあがり * 身幅46cm、着丈54.5cm<br>
<br></font>
<br>
<br>
◇ベラーノについて◇<br>
<br>
重量・長さ * 25g・約105m<br>
　素　材　 * ポリエステル70％、アクリル30％<br>
　対応針　 * かぎ針3号<br>
<br>
<br>",【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　パイナップル模様の半円ベスト　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　パイナップル模様の半円ベスト　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪ 。【毛糸】【ハマナカ】【手芸用品】【手芸用品】【手芸キット】　パイナップル模様の半円ベスト　Ｍサイズ　【ベラーノ】【手芸道具】【手芸材料】【編物】【あみもの】【手編み】【手編】【あみもの】【レシピ】【テキスト】[rn]
35-65017,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin1/h145-175-037-top.jpg?fitin=700:700,6878.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ニット】　ドルマンスリーブのカーディガン　【ハマナカ】【スパングラス12玉】【中細】【キット】,かぎ針編み/春夏/ニットコレクション/レシピ付き/てあみ,"<table width=""730"" border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/01906969/sakuhin1/h145-175-037.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><img src=""http://image.rakuten.co.jp/i-craft/cabinet/01906969/sakuhin1/h145-175-037-1.jpg"" width=""730""/></td>
  </tr>
  <tr>
    <td>&nbsp;</td>
  </tr>
</table>
<p>&nbsp;</p>
<table width=""400"" bgcolor=""#999999"" cellspacing=""1"" cellpadding=""3"">
<tr>
  <th align=""left"" bgcolor=""#F0E7E5""><font size=""2"">商品説明</font></th>
</tr>

<tr>
  <td bgcolor=""#FFFFFF""><font size=""2"" color=""#666666""><br>
    <font size=""2"" color=""#666666"">写真のウェアを編めるぶんだけの編み糸にレシピがセットされた<br>
お得な手編みのパックです♪<br>
<br>
◆セット内容 *　スパングラス12玉、作品テキスト（H145-175-037）<br>
写真２より、編み糸の色をお選びください。<br>
<br>
◆写真の使用糸 *スパングラス<br>
　　　　　　　　　　　ベージュ×金スパンコール(No.15)12玉（300ｇ）<br>
<br>
◆使用針 * かぎ針4/0号<br>
<br>
◆サイズ　*　胸囲フリーサイズ、着丈62.5cm、ゆき丈48.5cm<br>
<br>
◆ゲージ　*　模様編みA27目11.5段が約10cm角。<br>
<br>
<span style=""color: #FF0004"">ご注意ください！<br>
※この商品はメール便の規定サイズを超えますので、宅配便でのお届けとなります。<br>
※かぎ針、とじ針などの道具類、副資材はセットに含まれません。</span><br>
<br>
◇スパングラスについて<br>
●構成：ポリエステル77％、綿23％<br>
●仕立：25g玉巻(約137m)<br>
●かぎ針：3/0号（長編み）27目・12段
<br>
<br>
  <br>
    </font></td>
</tr>
</table>",【毛糸】【ニット】　ドルマンスリーブのカーディガン　【ハマナカ】【スパングラス12玉】【中細】【キット】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ニット】　ドルマンスリーブのカーディガン　【ハマナカ】【スパングラス12玉】【中細】【キット】,かぎ針編み/春夏/ニットコレクション/レシピ付き/てあみ。【毛糸】【ニット】　ドルマンスリーブのカーディガン　【ハマナカ】【スパングラス12玉】【中細】【キット】[rn]
35-65018,http://tshop.r10s.jp/i-craft/cabinet/01906969/sakuhin1/h106-032_6.gif?fitin=700:700,3638.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【ハマナカ】【手芸キット】　ポケットつきのプルオーバー　【フラックスK】【手編み】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪,"<br>
写真の作品を編めるぶんだけの糸と<br>
レシピのセットです♪<br>
<br>
<br>
内容 * フラックスK…12玉<br>
　　　　作品レシピ…A4用紙2枚<br>
<br>
<br>
写真２より、糸の色をお選びください。<br>
<br>
<br>
<br>
<font color=""brown"">
使用糸 * ハマナカ　フラックスK(25g玉巻)<br>
　　　　　色1(地の色)　No.13　8.6玉(215g)<br>
　　　　　色2(しま模様)　No.16　2.8玉(70g)<br>
<br>
使用針 * 2本針6号、4本針6号、かぎ針5/0号（作り目用）<br>
<br>
できあがりサイズ * 胸回り97cm、着丈46cm、ゆき丈約43cm<br>
<br></font>
<br>
<br>
◇フラックスKについて◇<br>
重量・長さ * 25g・約62m<br>
　素　材　 * 麻(リネン)78％、綿22％<br>
　対応針　 * 棒針5～6号／かぎ針5号<br>

<br>
<br>",【毛糸】【ハマナカ】【手芸キット】　ポケットつきのプルオーバー　【フラックスK】【手編み】【レシピ】【テキスト】：手芸用品のｉ-ｃｒａｆｔ,【毛糸】【ハマナカ】【手芸キット】　ポケットつきのプルオーバー　【フラックスK】【手編み】【レシピ】【テキスト】,レシピと写真の作品を編める量の糸をお届けします♪。【毛糸】【ハマナカ】【手芸キット】　ポケットつきのプルオーバー　【フラックスK】【手編み】【レシピ】【テキスト】[rn]
