23-46001,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065957796.jpg?fitin=700:700,132.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,積水化学工業　梱包用ＰＰテープ　48mm幅×50m長×0.052mm厚　クリア,,"★特徴★<br>
●透明性が高く、貼る場所を選びません<BR>
<BR>
★仕様★<BR>
●紙芯:再生紙使用<BR>
●粘着力:3.4N/10mm<BR>
●引張強度:50N/10mm<BR>
●芯径:3インチ(76mm)<BR>
●切断にはカッターが必要<BR>
●色:クリア<BR>
●幅(mm):48<BR>
●長さ(m):50<BR>
●厚み(mm):0.052<BR>
●質量:150g<BR>
●基材:ポリプロピレン<BR>
●粘着剤:アクリル系<br>",積水化学工業　梱包用ＰＰテープ　48mm幅&times;50m長&times;0.052mm厚　クリア：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア積水化学工業　梱包用ＰＰテープ　48mm幅&times;50m長&times;0.052mm厚　クリア,積水化学工業　梱包用ＰＰテープ　48mm幅&times;50m長&times;0.052mm厚　クリア[rn]
23-46031,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066411871.jpg?fitin=700:700,626.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,日東エルマテリアル　危険標示テープ(非粘着)　60mm×50m×0.1mm　”きけん立入禁止”,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ポリエチレンを使用のため、焼却時に有毒ガスが出ません</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●非粘着のため、どこにでも手軽に使用でき、また長期保管できます</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●非粘着タイプ</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：ポリエチレンフィルム(PE)</FONT></TD>
  </TR></TABLE>
</CENTER><br>",日東エルマテリアル　危険標示テープ(非粘着)　60mm&times;50m&times;0.1mm　&rdquo;きけん立入禁止&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日東エルマテリアル　危険標示テープ(非粘着)　60mm&times;50m&times;0.1mm　&rdquo;きけん立入禁止&rdquo;,日東エルマテリアル　危険標示テープ(非粘着)　60mm&times;50m&times;0.1mm　&rdquo;きけん立入禁止&rdquo;[rn]
23-46032,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066392374.jpg?fitin=700:700,408.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,岩田製作所　屋内用ラインテープ　Ｔタイプ　50mm幅×150mm×150mm　レッド　2枚入,,"★特徴★<br>
●剥がれにくい、破れにくい、貼りやすいプロユース仕様です<br>
●剥がしてものりが残りにくい粘着剤を使用しています<br>
●屋内用<br>
●工場内のレイアウト(通路表示、危険表示、区画表示)<br>
<br>
★仕様★<br>
●粘着力:14N/50mm<br>
●切断にはカッターが必要<br>
●色:レッド<br>
●厚み(mm):1.0<br>
●幅×縦×横(mm):50×150×150<br>
●質量(g):40<br>
●質量:40g<br>
●基材:ポリ塩化ビニール（PVC）<br>
●粘着剤:ゴム系<BR><br>",岩田製作所　屋内用ラインテープ　Ｔタイプ　50mm幅&times;150mm&times;150mm　レッド　2枚入：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア岩田製作所　屋内用ラインテープ　Ｔタイプ　50mm幅&times;150mm&times;150mm　レッド　2枚入,岩田製作所　屋内用ラインテープ　Ｔタイプ　50mm幅&times;150mm&times;150mm　レッド　2枚入[rn]
23-46033,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066386568.jpg?fitin=700:700,2721.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,TRUSCO(トラスコ)屋内用ラインテープ　50mm幅×50m長×0.16mm厚　イエロー,,"★特徴★<BR>
●面にもよくなじむ特殊な粘着剤を使用しています<BR>●接着力が強力で、汚れにくく、耐摩耗性・耐久性に優れたタイプです<BR>
●屋内用<BR>
●工場、駐車場、病院などの構内区画ライン標示<BR>
<BR>
★仕様★<BR>
●粘着力:12N/10mm<BR>
●引張強度:50N/10mm<BR>
●切断にはカッターが必要<BR>
●色:イエロー<BR>
●幅(mm):50<BR>
●長さ(m):50<BR>
●厚み(mm):0.16<BR>
●質量(g):750<BR>
●質量:750g<BR>
●基材:ポリオレフィン<BR>
●粘着剤:ゴム系<br>",TRUSCO(トラスコ)屋内用ラインテープ　50mm幅&times;50m長&times;0.16mm厚　イエロー：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)屋内用ラインテープ　50mm幅&times;50m長&times;0.16mm厚　イエロー,TRUSCO(トラスコ)屋内用ラインテープ　50mm幅&times;50m長&times;0.16mm厚　イエロー[rn]
23-46034,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066404453.jpg?fitin=700:700,570.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,日本緑十字社　スイッチング禁止テープ　30mm幅×20m長　”使用禁止・責任者●●”,,"●簡単にはがすことができ、のり跡を残しません<br>
●スイッチ類の誤操作防止<br>
●粘着力:4.4N/25mm（対ステンレス）<br>
●手で切断可能<br>
●30mm幅×20mでエンドレス印刷<br>
●幅(mm):30<br>
●長さ(m):20<br>
●厚み(mm):0.1<br>
●表示内容:使用禁止（責任者）<br>
●質量:115g<br>
●基材:上質紙（弱粘再はく離）<br>
●粘着剤:アクリル系<br>",日本緑十字社　スイッチング禁止テープ　30mm幅&times;20m長　&rdquo;使用禁止・責任者●●&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日本緑十字社　スイッチング禁止テープ　30mm幅&times;20m長　&rdquo;使用禁止・責任者●●&rdquo;,日本緑十字社　スイッチング禁止テープ　30mm幅&times;20m長　&rdquo;使用禁止・責任者●●&rdquo;[rn]
23-46035,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066413604.jpg?fitin=700:700,789.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ユタカ(Yutaka)　非粘着標識テープ　70mm×50m×0.05mm　”注意滑りやすいので足元にお気を付けください”,,"★特徴★<BR>
●危険・安全・環境整備を文字とイラストで表示できます<BR>
<BR>
★仕様★<BR>
●非粘着タイプ<br>
●50ｃｍ間隔で表示<BR>
●片面印刷タイプ<br>
●切断にはカッターが必要<br>
●表示内容:注意-足元<br>
●幅(mm):70<bR>
●長さ(m):50<bR>
●厚み(mm):0.05<br>
●色:レッド/ホワイト<br>
●質量:200g<br>",ユタカ(Yutaka)　非粘着標識テープ　70mm&times;50m&times;0.05mm　&rdquo;注意滑りやすいので足元にお気を付けください&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアユタカ(Yutaka)　非粘着標識テープ　70mm&times;50m&times;0.05mm　&rdquo;注意滑りやすいので足元にお気を付けください&rdquo;,ユタカ(Yutaka)　非粘着標識テープ　70mm&times;50m&times;0.05mm　&rdquo;注意滑りやすいので足元にお気を付けください&rdquo;[rn]
23-46036,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066411566.jpg?fitin=700:700,361.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,DENKA　表示テープ　カラリヤンラベル　50mm幅×25m長×0.12mm厚　”ガラス注意”,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●特殊基材を使用しているため、カッターなしで簡単に真っすぐ切れます</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●表面に特殊PE処理が施されているため、耐水性、耐薬品性に優れています</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●手で切断可能</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：クラフト紙+ポリエチレン(PE)フィルム</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：合成ゴム系</FONT></TD>
  </TR></TABLE>
</CENTER><br>",DENKA　表示テープ　カラリヤンラベル　50mm幅&times;25m長&times;0.12mm厚　&rdquo;ガラス注意&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアDENKA　表示テープ　カラリヤンラベル　50mm幅&times;25m長&times;0.12mm厚　&rdquo;ガラス注意&rdquo;,DENKA　表示テープ　カラリヤンラベル　50mm幅&times;25m長&times;0.12mm厚　&rdquo;ガラス注意&rdquo;[rn]
23-46037,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066416478.jpg?fitin=700:700,882.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ユニット　非粘着表示テープ　70mm×50m×0.07mm　”立入禁止入らないでください”,,"★特徴★<BR>
●環境に配慮した印刷テープを使用しています<br>
●用途に応じた立入制限箇所の表示に使用できます<br>
<br>
★仕様★<br>
●非粘着タイプ<BR>
●切断にはカッターが必要<BR>
●表示内容:立入禁止入らないでください<BR>
●幅(mm):70<Br>
●長さ(m):50<BR>
●厚み(mm):0.07<BR>
●摘要:粘着性なし・セパレーターなし<BR>
●質量:274g<BR>
●基材:ポリエチレン(PE)<br>",ユニット　非粘着表示テープ　70mm&times;50m&times;0.07mm　&rdquo;立入禁止入らないでください&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアユニット　非粘着表示テープ　70mm&times;50m&times;0.07mm　&rdquo;立入禁止入らないでください&rdquo;,ユニット　非粘着表示テープ　70mm&times;50m&times;0.07mm　&rdquo;立入禁止入らないでください&rdquo;[rn]
23-46038,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066413598.jpg?fitin=700:700,789.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ユタカ(Yutaka)　非粘着標識テープ　70mm×50m×0.05mm　”駐輪禁止ご協力お願いします”,,"★特徴★<BR>
●危険・安全・環境整備を文字とイラストで表示できます<BR>
<BR>
★仕様★<BR>
●非粘着タイプ<BR>
●50ｃｍ間隔で表示<BR>
●片面印刷タイプ<BR>
●切断にはカッターが必要<BR>
●表示内容:駐輪禁止<BR>
●幅(mm):70<BR>
●長さ(m):50<BR>
●厚み(mm):0.05<BR>
●色:イエロー/ブラック<BR>
●質量:200g<BR>
●ポリエチレン(PE)+ポリプロピレン(PP)混合フィルム<br>",ユタカ(Yutaka)　非粘着標識テープ　70mm&times;50m&times;0.05mm　&rdquo;駐輪禁止ご協力お願いします&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアユタカ(Yutaka)　非粘着標識テープ　70mm&times;50m&times;0.05mm　&rdquo;駐輪禁止ご協力お願いします&rdquo;,ユタカ(Yutaka)　非粘着標識テープ　70mm&times;50m&times;0.05mm　&rdquo;駐輪禁止ご協力お願いします&rdquo;[rn]
23-46039,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066411567.jpg?fitin=700:700,361.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,DENKA　表示テープ　カラリヤンラベル　50mm幅×25m長×0.12mm厚　”精密機械につき取扱注意”,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●特殊基材を使用しているため、カッターなしで簡単に真っすぐ切れます</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●表面に特殊PE処理が施されているため、耐水性、耐薬品性に優れています</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●手で切断可能</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：クラフト紙+ポリエチレン(PE)フィルム</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：合成ゴム系</FONT></TD>
  </TR></TABLE>
</CENTER><br>",DENKA　表示テープ　カラリヤンラベル　50mm幅&times;25m長&times;0.12mm厚　&rdquo;精密機械につき取扱注意&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアDENKA　表示テープ　カラリヤンラベル　50mm幅&times;25m長&times;0.12mm厚　&rdquo;精密機械につき取扱注意&rdquo;,DENKA　表示テープ　カラリヤンラベル　50mm幅&times;25m長&times;0.12mm厚　&rdquo;精密機械につき取扱注意&rdquo;[rn]
23-46040,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066411870.jpg?fitin=700:700,835.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,日東エルマテリアル　危険標示テープ(非粘着)　60mm×50m×0.1mm　”立入禁止”(四カ国表示),,"★特徴★<BR>
●日本語・英語・中国語・韓国語の4ケ国の文字で危険標示を表しています<BR>
●ポリエチレンを使用のため、焼却時に有毒ガスが出ません<BR>
●非粘着のため、どこにでも手軽に使用でき、また長期保管ができます<BR>
<BR>
★仕様★<BR>
●非粘着タイプ<BR>
●切断にはカッターが必要<br>
●表示内容:立入禁止（4ヶ国語）<Br>
●幅(mm):60<BR>
●長さ(m):50<BR>
●厚み(mm):0.1<BR>
●質量:330g<BR>
●基材:ポリエチレンフィルム<br>",日東エルマテリアル　危険標示テープ(非粘着)　60mm&times;50m&times;0.1mm　&rdquo;立入禁止&rdquo;(四カ国表示)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日東エルマテリアル　危険標示テープ(非粘着)　60mm&times;50m&times;0.1mm　&rdquo;立入禁止&rdquo;(四カ国表示),日東エルマテリアル　危険標示テープ(非粘着)　60mm&times;50m&times;0.1mm　&rdquo;立入禁止&rdquo;(四カ国表示)[rn]
23-46041,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066411572.jpg?fitin=700:700,414.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,積水化学工業　クラフト荷札テープ　50mm幅×50m長×0.14mm厚　”納品書在中”,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●梱包作業と表示作業が同時に行えます</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●表示シールとして使えば約400枚使えます</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●手で切断可能</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;材質&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材：クラフト紙</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：ゴム系</FONT></TD>
  </TR></TABLE>
</CENTER><br>",積水化学工業　クラフト荷札テープ　50mm幅&times;50m長&times;0.14mm厚　&rdquo;納品書在中&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア積水化学工業　クラフト荷札テープ　50mm幅&times;50m長&times;0.14mm厚　&rdquo;納品書在中&rdquo;,積水化学工業　クラフト荷札テープ　50mm幅&times;50m長&times;0.14mm厚　&rdquo;納品書在中&rdquo;[rn]
23-46042,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066411808.jpg?fitin=700:700,780.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,積水化学工業　非粘着標識テープ　70mm幅×50m長×0.07mm厚　”工事中”,,"●表示内容:工事中<br>
●幅(mm):70<br>
●長さ(m):50<br>
●厚み(mm):0.07<br>
●切断にはカッターが必要<BR>
●非粘着タイプ<br>
●質量 280 ｇ<br>
<P>
特徴<br>
●目立つ文字とカラーで効果抜群の警告テープです。<br>
<p> 
 
用途<br>
●工場や工事現場などの安全対策に最適です。<br>
<p>
材質/仕上げ<br>
●基材:ポリエチレンフィルム（PE）<br>",積水化学工業　非粘着標識テープ　70mm幅&times;50m長&times;0.07mm厚　&rdquo;工事中&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア積水化学工業　非粘着標識テープ　70mm幅&times;50m長&times;0.07mm厚　&rdquo;工事中&rdquo;,積水化学工業　非粘着標識テープ　70mm幅&times;50m長&times;0.07mm厚　&rdquo;工事中&rdquo;[rn]
23-46043,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066414440.jpg?fitin=700:700,900.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,日本緑十字社　非粘着バリケードテープ　60mm×50m×0.1mm　”きけん立入禁止”,,"★特徴★<BR>
●制限箇所を表示する、非粘着タイプの標識テープです<BR>
●危険箇所、立入制限箇所の区分けに<BR>
<BR>
★仕様★<BR>
●非粘着タイプ<BR>
●切断にはカッター・ハサミが必要<BR>
●表示内容:きけん立入禁止<BR>
●幅(mm):60<BR>
●長さ(m):50<BR>
●厚み(mm):0.1<BR>
●色:イエロー/ブラック<BR>
●質量:250g<BR>
●ポリエチレン<br>",日本緑十字社　非粘着バリケードテープ　60mm&times;50m&times;0.1mm　&rdquo;きけん立入禁止&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日本緑十字社　非粘着バリケードテープ　60mm&times;50m&times;0.1mm　&rdquo;きけん立入禁止&rdquo;,日本緑十字社　非粘着バリケードテープ　60mm&times;50m&times;0.1mm　&rdquo;きけん立入禁止&rdquo;[rn]
23-46044,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066404450.jpg?fitin=700:700,570.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,日本緑十字社　スイッチング禁止テープ　30mm幅×20m長　”操作禁止”,,"●簡単にはがすことができ、のり跡を残しません<br>
●スイッチ類の誤操作防止<br>
●粘着力:4.4N/25mm（対ステンレス）<br>
●手で切断可能<br>
●30mm幅×20mでエンドレス印刷<br>
●幅(mm):30<br>
●長さ(m):20<br>
●厚み(mm):0.1<br>
●表示内容:操作禁止<br>
●質量:115g<br>
●基材:上質紙（弱粘再はく離）<br>
●粘着剤:アクリル系<br>",日本緑十字社　スイッチング禁止テープ　30mm幅&times;20m長　&rdquo;操作禁止&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日本緑十字社　スイッチング禁止テープ　30mm幅&times;20m長　&rdquo;操作禁止&rdquo;,日本緑十字社　スイッチング禁止テープ　30mm幅&times;20m長　&rdquo;操作禁止&rdquo;[rn]
23-46045,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066414443.jpg?fitin=700:700,900.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,日本緑十字社　非粘着バリケードテープ　60mm×50m×0.1mm　”注意立入禁止”,,"★特徴★<BR>
●日本語と英語の2カ国語表記で立入制限箇所を表示する、非粘着タイプの標識テープです<BR>
●危険箇所、立入制限箇所の区分けに<BR>
<BR>
★仕様★<BR>
●非粘着タイプ<BR>
●切断にはカッター・ハサミが必要<BR>
●表示内容:注意立入禁止<BR>
●幅(mm):60<BR>
●長さ(m):50<BR>
●厚み(mm):0.1<BR>
●色:イエロー/ブラック<BR>
●質量:250g<BR>
●ポリエチレン<br>",日本緑十字社　非粘着バリケードテープ　60mm&times;50m&times;0.1mm　&rdquo;注意立入禁止&rdquo;：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア日本緑十字社　非粘着バリケードテープ　60mm&times;50m&times;0.1mm　&rdquo;注意立入禁止&rdquo;,日本緑十字社　非粘着バリケードテープ　60mm&times;50m&times;0.1mm　&rdquo;注意立入禁止&rdquo;[rn]
23-46046,http://tshop.r10s.jp/monju/cabinet/tape/328-3933.jpg?fitin=700:700,2302.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,3M(スリーエム)　スコッチ　ガラスクロステープ(耐熱固定結束テープ)19mm×10m×0.19mm,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2"" align=""center""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●基材の引張強度は強靭です</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●耐熱性、耐溶剤性・難燃性に優れています</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""2""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ダクトシール</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●耐熱固定用</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""6"" align=""center""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●使用温度範囲：-54～232℃(断続的に290℃まで使用可能)</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●難燃性：UL Flame Retardant File E124809</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着力：4.31N/10mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●引張強度：251N/10mm</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：ホワイト</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""2"" align=""center""><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●基材：ガラスクロス</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：シリコーン系</FONT></TD>
  </TR></TABLE></center><br>",3M(スリーエム)　スコッチ　ガラスクロステープ(耐熱固定結束テープ)19mm&times;10m&times;0.19mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチ　ガラスクロステープ(耐熱固定結束テープ)19mm&times;10m&times;0.19mm,3M(スリーエム)　スコッチ　ガラスクロステープ(耐熱固定結束テープ)19mm&times;10m&times;0.19mm[rn]
