19-68401,,74.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０×３０ 「９」 透明 ３枚入 受注単位1,環境安全用品\安全用品・標識\サインプレート,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●屋内外使用可能です。<br>●番号管理に便利です。<br>●表示内容:数字「９」　透明<br>●取付仕様:粘着シール<br>●縦(mm):３０<br>●横(mm):３０<br>●取付方法：貼付タイプ<br>●塩化ビニール(PVC)<br>●貼り付ける面のゴミ・油等を拭きとってください。<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０&times;３０ 「９」 透明 ３枚入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０&times;３０ 「９」 透明 ３枚入 受注単位1,環境安全用品\安全用品・標識\サインプレート。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０&times;３０ 「９」 透明 ３枚入 受注単位1[rn]
19-68433,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4962087102533.jpg?fitin=700:700,80.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＴＯＹＯ ヘルメット用シール NO.68-012 [ ヘルメット 工事用 防災用 ステッカー 安全用品 diy ] 花・ガーデン・DIY DIY・工具 作業用品 ヘルメット,先端工具：保護具・安全用品：ＴＯＹＯ製品,【用途】<br>ヘルメット　シール。<br><br>【材質】<br>●紙。<br><br>【商品サイズ】奥行60×幅85×高さ1mm　重量1g<br><br>,ＴＯＹＯ ヘルメット用シール NO.68-012 [ ヘルメット 工事用 防災用 ステッカー 安全用品 diy ] 花・ガーデン・DIY DIY・工具 作業用品 ヘルメット：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＴＯＹＯ ヘルメット用シール NO.68-012 [ ヘルメット 工事用 防災用 ステッカー 安全用品 diy ] 花・ガーデン・DIY DIY・工具 作業用品 ヘルメット,先端工具：保護具・安全用品：ＴＯＹＯ製品。ＴＯＹＯ ヘルメット用シール NO.68-012 [ ヘルメット 工事用 防災用 ステッカー 安全用品 diy ] 花・ガーデン・DIY DIY・工具 作業用品 ヘルメット[rn]
19-68434,http://tshop.r10s.jp/select-tool/cabinet/nandemo/315653.jpg?fitin=700:700,480.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,簡易インパクトカバー DT-IC-OR [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ],インパクトドライバー用の防雨・防塵カバー。雨の日の作業に！,"雨やほこりから、インパクトドライバーを守る！<BR>
■使いやすいダブルファスナー<BR>
■出し入れしやすい設計<BR>
ファスナー部カラー：オレンジ<BR>
パッケージサイズ：W140×D12×H210mm<BR>
総重量：約50ｇ",簡易インパクトカバー DT-IC-OR [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品簡易インパクトカバー DT-IC-OR [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ],インパクトドライバー用の防雨・防塵カバー。雨の日の作業に！。簡易インパクトカバー DT-IC-OR [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ][rn]
19-68435,http://tshop.r10s.jp/select-tool/cabinet/nandemo/315652.jpg?fitin=700:700,480.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,簡易インパクトカバー DT-IC-NB [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ],インパクトドライバー用の防雨・防塵カバー。雨の日の作業に！,"雨やほこりから、インパクトドライバーを守る！<BR>
■使いやすいダブルファスナー<BR>
■出し入れしやすい設計<BR>
ファスナー部カラー：ブルー<BR>
パッケージサイズ：W140×D12×H210mm<BR>
総重量：約50ｇ",簡易インパクトカバー DT-IC-NB [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品簡易インパクトカバー DT-IC-NB [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ],インパクトドライバー用の防雨・防塵カバー。雨の日の作業に！。簡易インパクトカバー DT-IC-NB [ インパクトドライバー 電動工具 電気工具 diy ねじ ねじドライバー 穴あけ ネジ締め ドリル ][rn]
19-68436,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4930510405612.jpg?fitin=700:700,5216.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ハタヤ 防雨サンデーレインボーリール SS-20 20M,電動工具：電工ドラム・コード：電工ドラム２,【用途】<br>コードリール。<br><br>【機能・特徴】<br>防雨キャップ付です。<br>新防雨型４ッ口コンセントで、内部配線部への水の侵入は皆無です。<br>防雨キャップ付です。<br>本体は強靭なオール鉄製構造です。<br><br>【仕様】<br>●屋外用。<br>●ケーブル：２０ｍ。<br>●コンセント定格：２Ｐ・１５Ａ．・１２５Ｖ。<br><br>【材質】<br>●ＶＣＴ１．２５ｍｍ２。<br><br>【商品サイズ】幅２７５×高さ３２６×奥行１７８ｍｍ　重量４４００ｇ<br><br>,ハタヤ 防雨サンデーレインボーリール SS-20 20M：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ハタヤ 防雨サンデーレインボーリール SS-20 20M,電動工具：電工ドラム・コード：電工ドラム２。ハタヤ 防雨サンデーレインボーリール SS-20 20M[rn]
19-68437,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138480142.jpg?fitin=700:700,2032.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ 防雨コード ソフト １口 KRW14-10 黒 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２,【用途】<br>延長コード。<br><br>【機能・特徴】<br>合計1500W以下で使用してください。<br><br>【仕様】<br>●125V　15A　一ツ口　安全な二重被膜　VCT　10m屋外型。<br><br>【商品サイズ】奥行10000×幅10×高さ10mm　重量1240g<br><br>,ＫＯＷＡ 防雨コード ソフト １口 KRW14-10 黒 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ 防雨コード ソフト １口 KRW14-10 黒 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２。ＫＯＷＡ 防雨コード ソフト １口 KRW14-10 黒 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ][rn]
19-68438,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138480449.jpg?fitin=700:700,4000.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ 防雨コード ポッキンＰ付１口 KRW44-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２,【用途】<br>１５Ａ１ッ口１０メートル防雨型延長コード。<br><br>【機能・特徴】<br>15A1ッ口10メートルの防雨型延長コードです。<br>耐寒性に優れたやわらかい電線を使用した延長コードです。<br>屋外型の防雨型延長コードです。<br>アース付延長コードです。<br><br>【仕様】<br>●定格：15A 125V。<br>●コンセント：2P 接地ｘ1ッ口。<br>●色：赤。<br>●電線サイズ：VCT3芯ｘ1.25sq。<br>●プラグ形状：防雨型。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行10000×幅11×高さ50mm　重量1500g<br><br>,ＫＯＷＡ 防雨コード ポッキンＰ付１口 KRW44-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ 防雨コード ポッキンＰ付１口 KRW44-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２。ＫＯＷＡ 防雨コード ポッキンＰ付１口 KRW44-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68439,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138480180.jpg?fitin=700:700,3640.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ 防雨延長コード３芯３口２２Ａ KRW18-10 [ 延長コード 屋外 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２,"【用途】<br>延長コード。<br><br>【仕様】<br>●定格：１５Ａ・１２５Ｖ。<br>●電線許容電流：２２Ａ。<br>●コンセント：３Ｐ接地×３ツ口。<br>●電線サイズ：ＶＣＴ３芯。<br>●１０Ｍ屋外型。<br><br>
【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br>●被覆：塩化ビニール。<br><br>
【商品サイズ】奥行１００００×幅１０×高さ１０ｍｍ　重量１９８０ｇ<br><br>
【注意事項ほか】<br>このコードは合計１５００Ｗ以下で使用して下さい。<br>この製品を濡れた手でのプラグなどの抜き差しは決してしないで下さい。プラグはきっちりと差し込んでお使いください。接触不良で発熱する原因となります。<br>コードは束ねて使用したり、上から物を載せないで下さい。焼損の恐れがあり、火災の原因になります。<br><br>",ＫＯＷＡ 防雨延長コード３芯３口２２Ａ KRW18-10 [ 延長コード 屋外 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ 防雨延長コード３芯３口２２Ａ KRW18-10 [ 延長コード 屋外 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２。ＫＯＷＡ 防雨延長コード３芯３口２２Ａ KRW18-10 [ 延長コード 屋外 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68440,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138480425.jpg?fitin=700:700,2960.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ 防雨コード アース付 １口 KRW42-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２,【用途】<br>１５Ａ１ッ口１０メートル防雨型延長コード。<br><br>【機能・特徴】<br>15A1ッ口10メートルの防雨型延長コードです。<br>耐寒性に優れたやわらかい電線を使用した延長コードです。<br>屋外型の防雨型延長コードです。<br>アース付延長コードです。<br><br>【仕様】<br>●定格：15A 125V。<br>●コンセント：2P 接地ｘ1ッ口。<br>●色：赤。<br>●電線サイズ：VCT3芯ｘ1.25sq。<br>●プラグ形状：防雨型。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行10000×幅11×高さ50mm　重量1500g<br><br>,ＫＯＷＡ 防雨コード アース付 １口 KRW42-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ 防雨コード アース付 １口 KRW42-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２。ＫＯＷＡ 防雨コード アース付 １口 KRW42-10 赤 [ 延長コード 屋外 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68441,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138480036.jpg?fitin=700:700,1168.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ ソフトタイプ延長コード１５Ａ KM03-10 紫 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２,【用途】<br>１５Ａ３ッ口１０メートル屋内型延長コード。<br><br>【機能・特徴】<br>15A3ッ口10メートルの屋内型延長コードです。<br>耐寒性に優れたやわらかい電線を使用した延長コードです。<br><br>【仕様】<br>●定格：15A 125V。<br>●コンセント：2Pｘ3ッ口。<br>●色：紫。<br>●電線サイズ：VCT2芯ｘ1.25sq。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行10000×幅10×高さ30mm　重量1300g<br><br>【注意事項・その他】<br>このコードは合計1500W以下で使用して下さい。この製品は屋内型です。屋外・湿気の多い場所では決して使用しないで下さい。また濡れた手でのプラグなどの抜き差しは決してしないで下さい。プラグはきっちりと差し込んでお使いください。接触不良で発熱する原因となります。コードは束ねて使用したり、上から物を載せないで下さい。焼損の恐れがあり、火災の原因になります。<br><br>,ＫＯＷＡ ソフトタイプ延長コード１５Ａ KM03-10 紫 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ ソフトタイプ延長コード１５Ａ KM03-10 紫 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２。ＫＯＷＡ ソフトタイプ延長コード１５Ａ KM03-10 紫 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68442,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138483136.jpg?fitin=700:700,1224.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ 取替え用コード１５Ａ－３Ｍ EB-310S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：電工ドラム・コードその他１,【用途】<br>１５Ａ３メートルアース付き修理用コード。<br><br>【機能・特徴】<br>15A3メートルアース付き修理用コードです。<br>耐寒性に優れたやわらかい電線を使用した延長コードです。<br><br>【仕様】<br>●定格：15A 125V。<br>●色：黒。<br>●電線サイズ：VCT3芯ｘ1.25sq。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行3000×幅11×高さ20mm　重量600g<br><br>【注意事項・その他】<br>このコードは合計1500W以下で使用して下さい。・この製品を濡れた手でのプラグなどの抜き差しは決してしないで下さい。プラグはきっちりと差し込んでお使いください。接触不良で発熱する原因となります。コードは束ねて使用したり、上から物を載せないで下さい。焼損の恐れがあり、火災の原因になります。<br><br>,ＫＯＷＡ 取替え用コード１５Ａ&minus;３Ｍ EB-310S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ 取替え用コード１５Ａ&minus;３Ｍ EB-310S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：電工ドラム・コードその他１。ＫＯＷＡ 取替え用コード１５Ａ&minus;３Ｍ EB-310S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68443,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138485161.jpg?fitin=700:700,792.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ 電動工具取替えコード１５Ａ EA-516S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：その他（電工ドラム・コード）,【用途】<br>１５Ａ３メートル２芯修理用コード。<br><br>【機能・特徴】<br>15A3メートル2芯修理用コードです。<br>端末はハンダ処理済です。<br><br>【仕様】<br>●定格：15A 125V。<br>●色：黒。<br>●電線サイズ：VCT2芯ｘ1.25sq。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行3000×幅10×高さ20mm　重量400g<br><br>【注意事項・その他】<br>このコードは合計1500W以下で使用して下さい。この製品は屋内型です。屋外・湿気の多い場所では決して使用しないで下さい。また濡れた手でのプラグなどの抜き差しは決してしないで下さい。プラグはきっちりと差し込んでお使いください。接触不良で発熱する原因となります。コードは束ねて使用したり、上から物を載せないで下さい。焼損の恐れがあり、火災の原因になります。<br><br>,ＫＯＷＡ 電動工具取替えコード１５Ａ EA-516S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ 電動工具取替えコード１５Ａ EA-516S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：その他（電工ドラム・コード）。ＫＯＷＡ 電動工具取替えコード１５Ａ EA-516S-3 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68444,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138480562.jpg?fitin=700:700,880.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ ランプ付マルチショート１５Ａ KSP56-03緑 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：ショートタップ,【用途】<br>１５Ａ３ッ口０．３メートルショートタップ。<br><br>【機能・特徴】<br>15A3ッ口０．３メートル屋内型延長コードです。<br>耐寒性に優れたやわらかい電線を使用した延長コードです。<br>通電状態を知らせるパイロットランプ付きです。<br><br>【仕様】<br>●定格：15A 125V。<br>●コンセント：2Pｘ3ッ口。<br>●色：緑。<br>●電線サイズ：VCT2芯ｘ1.25sq。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行300×幅10×高さ30mm　重量120g<br><br>【注意事項・その他】<br>このコードは合計1500W以下で使用して下さい。この製品は屋内型です。屋外・湿気の多い場所では決して使用しないで下さい。また濡れた手でのプラグなどの抜き差しは決してしないで下さい。プラグはきっちりと差し込んでお使いください。接触不良で発熱する原因となります。コードは束ねて使用したり、上から物を載せないで下さい。焼損の恐れがあり、火災の原因になります。<br><br>,ＫＯＷＡ ランプ付マルチショート１５Ａ KSP56-03緑 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ ランプ付マルチショート１５Ａ KSP56-03緑 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：ショートタップ。ＫＯＷＡ ランプ付マルチショート１５Ａ KSP56-03緑 [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68445,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4930510419183.jpg?fitin=700:700,5360.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ハタヤ ３芯延長コード ２０Ｍ SX-203K 黄色 [ 延長コード 電源コード 屋内 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２,【用途】<br>延長コード。<br><br>【機能・特徴】<br>安全性が高い防塵キャップ付です。<br>通電確認ができるパイロットランプ内蔵です。<br><br>【商品サイズ】奥行60×幅2167×高さ35mm　重量2630g<br><br>,ハタヤ ３芯延長コード ２０Ｍ SX-203K 黄色 [ 延長コード 電源コード 屋内 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ハタヤ ３芯延長コード ２０Ｍ SX-203K 黄色 [ 延長コード 電源コード 屋内 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード２。ハタヤ ３芯延長コード ２０Ｍ SX-203K 黄色 [ 延長コード 電源コード 屋内 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68446,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138488070.jpg?fitin=700:700,2688.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ Ｐランプ付コード１５Ａ２０Ｍ KMP807-20 キイロ [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード３,【用途】<br>１５Ａ３ッ口２０メートル屋内型延長コード。<br><br>【機能・特徴】<br>15A3ッ口、10メートルの屋内型延長コードです。<br>通電状態を知らせるパイロットランプ付きです。<br>耐寒性に優れたやわらかい電線を使用した延長コードです。<br><br>【仕様】<br>●定格：15A 125V。<br>●コンセント：2Pｘ3ッ口。<br>●色：黄。<br>●電線サイズ：VCT2芯ｘ1.25sq。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行20000×幅10×高さ30mm　重量2500g<br><br>【注意事項・その他】<br>このコードは合計1500W以下で使用して下さい。この製品は屋内型です。屋外・湿気の多い場所では決して使用しないで下さい。また濡れた手でのプラグなどの抜き差しは決してしないで下さい。プラグはきっちりと差し込んでお使いください。接触不良で発熱する原因となります。コードは束ねて使用したり、上から物を載せないで下さい。焼損の恐れがあり、火災の原因になります。<br><br>,ＫＯＷＡ Ｐランプ付コード１５Ａ２０Ｍ KMP807-20 キイロ [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ Ｐランプ付コード１５Ａ２０Ｍ KMP807-20 キイロ [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：延長コード３。ＫＯＷＡ Ｐランプ付コード１５Ａ２０Ｍ KMP807-20 キイロ [ 延長コード 屋内 電源コード 電工ドラム コンセントタップ タコ足 プラグ diy 作業工具 大工道具 ][rn]
19-68447,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4580138485178.jpg?fitin=700:700,1000.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,ＫＯＷＡ 電動工具取替えコード１５Ａ EA-517S-5 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：その他（電工ドラム・コード）,【用途】<br>１５Ａ３メートル２芯修理用コード。<br><br>【機能・特徴】<br>15A3メートル2芯修理用コードです。<br>端末はハンダ処理済です。<br><br>【仕様】<br>●定格：15A 125V。<br>●色：黒。<br>●電線サイズ：VCT2芯ｘ1.25sq。<br><br>【材質】<br>●導体：銅線。<br>●栓刃：黄銅。<br><br>【商品サイズ】奥行5000×幅10×高さ20mm　重量700g<br><br>【注意事項・その他】<br>このコードは合計1500W以下で使用して下さい。この製品は屋内型です。屋外・湿気の多い場所では決して使用しないで下さい。また濡れた手でのプラグなどの抜き差しは決してしないで下さい。プラグはきっちりと差し込んでお使いください。接触不良で発熱する原因となります。コードは束ねて使用したり、上から物を載せないで下さい。焼損の恐れがあり、火災の原因になります。<br><br>,ＫＯＷＡ 電動工具取替えコード１５Ａ EA-517S-5 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＫＯＷＡ 電動工具取替えコード１５Ａ EA-517S-5 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ],電動工具：電工ドラム・コード：その他（電工ドラム・コード）。ＫＯＷＡ 電動工具取替えコード１５Ａ EA-517S-5 [ 延長コード 屋内 電源コード 3口 電工ドラム コンセントタップ プラグ diy 作業工具 大工道具 ][rn]
