19-21101,,5585.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●導電性カラーマットのカラー層と同じ材質を使用した導電テープです。<br>
●作業台の導電性カラーマットや、導電床などの区画割り、各種表示用のラインテープ。<br>
●色:イエロー<br>
●幅(mm):50<br>
●長さ(m):10<br>
●厚み(mm):0.5<br>
●接地抵抗:Rg≦1×10[[の9乗]]Ω<br>
●ニトリルゴム(NBR)<br>
●同メーカーの導電性マットを併用して下さい。",■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品。■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1[rn]
19-21112,,1095.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ ペンチ【P-645-S】(8183682) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●チップは静電気対策されたエンジニアリングプラスチックを使用しています。<br>
●静電気の帯電にデリケートな電子部品、プラスチックの取り扱い。<br>
●全長(mm):125<br>
●幅(mm):10<br>
●先端幅(mm):ヘラ型6.0<br>
●接地抵抗:Rg＜1×10[[の12乗]]Ω<br>
●耐熱温度:315℃（チップ）<br>
●チップ：ポリエーテルエーテルケトン（PEEK）（導電カーボン入り）<br>
●本体：ステンレス",■〒ホーザン/ＨＯＺＡＮ ペンチ【P-645-S】(8183682) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ ペンチ【P-645-S】(8183682) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1,生産加工用品\静電気対策用品。■〒ホーザン/ＨＯＺＡＮ ペンチ【P-645-S】(8183682) ＨＯＺＡＮ ＥＳＤチップピンセット 発注単位1[rn]
19-21113,,164.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スガツネ工業/スガツネ工業 部品【T-1475725】(7867077) スガツネ工業 Ｔ－1475725 グロメット フレキシブルＭ40白(032532 発注単位1,生産加工用品\電設配線部品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ケーブルを動かしても高い防水・防じん性能を保ちます。<br>
●制御機器。<br>
●情報通信機器。<br>
●照明機器。<br>
●医療機器。<br>
●鉄道関係。<br>
●コントローラー。<br>
●分電盤。<br>
●色:ホワイト<br>
●高さ(mm):13.5<br>
●幅(mm):47.5<br>
●D2(mm):18<br>
●H2(mm):4.84<br>
●H3(mm):7.41<br>
●取付穴寸法(mm):40.5<br>
●適応板厚（mm):1.5～4.5<br>
●対応ケーブル径（mm):φ19～30<br>
●使用温度：-50～125℃<br>
●防水・防じん（IP67適合）<br>
●難燃材（UL94HB適合）使用<br>
●エラストマー（TPE）",■〒スガツネ工業/スガツネ工業 部品【T-1475725】(7867077) スガツネ工業 Ｔ&minus;1475725 グロメット フレキシブルＭ40白(032532 発注単位1：クローバー資材館,■〒スガツネ工業/スガツネ工業 部品【T-1475725】(7867077) スガツネ工業 Ｔ&minus;1475725 グロメット フレキシブルＭ40白(032532 発注単位1,生産加工用品\電設配線部品。■〒スガツネ工業/スガツネ工業 部品【T-1475725】(7867077) スガツネ工業 Ｔ&minus;1475725 グロメット フレキシブルＭ40白(032532 発注単位1[rn]
19-21114,,180.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本航空電子工業/ＪＡＥ　ダストキャップ【025-5057-000】(4175948) 受注単位：1,生産加工用品\電気・電子部品\コネクタ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●Dsubコネクタの結合面に取り付け、ほこりや塵の侵入を防ぎます。",『カード対応OK！』■〒日本航空電子工業/ＪＡＥ　ダストキャップ【025-5057-000】(4175948) 受注単位：1：クローバー資材館,『カード対応OK！』■〒日本航空電子工業/ＪＡＥ　ダストキャップ【025-5057-000】(4175948) 受注単位：1,生産加工用品\電気・電子部品\コネクタ。『カード対応OK！』■〒日本航空電子工業/ＪＡＥ　ダストキャップ【025-5057-000】(4175948) 受注単位：1[rn]
19-21115,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002664113.jpg?fitin=700:700,3758.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイセル/アイセル　メカロックＭＮ【MN-11-18】(2199483) 受注単位1,生産加工用品\駆動機器・ベアリング\カップリング,,『カード対応OK！』■〒アイセル/アイセル　メカロックＭＮ【MN-11-18】(2199483) 受注単位1：クローバー資材館,『カード対応OK！』■〒アイセル/アイセル　メカロックＭＮ【MN-11-18】(2199483) 受注単位1,生産加工用品\駆動機器・ベアリング\カップリング。『カード対応OK！』■〒アイセル/アイセル　メカロックＭＮ【MN-11-18】(2199483) 受注単位1[rn]
19-21116,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005109771.jpg?fitin=700:700,1512.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒正和電工/正和電工　同軸ケーブル　３Ｃ－２Ｖ　１０ｍ【3C10】(3753301) 受注単位：1,生産加工用品\電設配線部品\電線,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●柔軟性、加工性に優れた７６オーム形の同軸ケーブルです。",『カード対応OK！』■〒正和電工/正和電工　同軸ケーブル　３Ｃ&minus;２Ｖ　１０ｍ【3C10】(3753301) 受注単位：1：クローバー資材館,『カード対応OK！』■〒正和電工/正和電工　同軸ケーブル　３Ｃ&minus;２Ｖ　１０ｍ【3C10】(3753301) 受注単位：1,生産加工用品\電設配線部品\電線。『カード対応OK！』■〒正和電工/正和電工　同軸ケーブル　３Ｃ&minus;２Ｖ　１０ｍ【3C10】(3753301) 受注単位：1[rn]
19-21117,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659074.jpg?fitin=700:700,1696.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンコーテクノ/サンコー　Ｐレスンカー　ステンレス製【PF-4X25S-P200 (PF4X25-200P)200ｲﾘ】(2595877) 受注単位：1,生産加工用品\ファスニングツール\Ｐレスアンカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●プラグ不要のため、下穴は小径で済みます。<br>●高く鋭いねじ山と低いねじ山の両機構で相手材にしっかり固着します。",『カード対応OK！』■〒サンコーテクノ/サンコー　Ｐレスンカー　ステンレス製【PF-4X25S-P200 (PF4X25-200P)200ｲﾘ】(2595877) 受注単位：1：クローバー資材館,『カード対応OK！』■〒サンコーテクノ/サンコー　Ｐレスンカー　ステンレス製【PF-4X25S-P200 (PF4X25-200P)200ｲﾘ】(2595877) 受注単位：1,生産加工用品\ファスニングツール\Ｐレスアンカー。『カード対応OK！』■〒サンコーテクノ/サンコー　Ｐレスンカー　ステンレス製【PF-4X25S-P200 (PF4X25-200P)200ｲﾘ】(2595877) 受注単位：1[rn]
19-21118,,2279.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SC-1212BT】(7518234) オールアンカーＳＣタイプ　Ｍ１２Ｘ１２０　４本入 受注単位1,生産加工用品\ファスニングツール\打込み式アンカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ナット締め付けタイプなので取付物の取り外しが可能です。<br>●施工は芯棒を打込むだけなので施工完了がひと目で分かります。<br>●本体とねじ部が同径なのでコンクリートへの穴あけが小径で済みます。<br>●取付物の上から直接施工ができます。<br><br>●防錆が望まれる建設工事、設備工事に。<br><br>●ねじの呼び：M12<br>●全長(mm)：120<br>●ねじ長さ(mm)：50<br>●下穴径(mm)：12.7<br>●引張最大荷重(kN)：17.1<br>●埋込み深さ(mm)：50<br>●最大取付物厚(mm)：56<br>●質量(g)：474.6<br><br>●パック入(～全長80mm)<br>●袋入(全長90mm～）<br><br>●ステンレス（SUS304系）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SC-1212BT】(7518234) オールアンカーＳＣタイプ　Ｍ１２Ｘ１２０　４本入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SC-1212BT】(7518234) オールアンカーＳＣタイプ　Ｍ１２Ｘ１２０　４本入 受注単位1,生産加工用品\ファスニングツール\打込み式アンカー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SC-1212BT】(7518234) オールアンカーＳＣタイプ　Ｍ１２Ｘ１２０　４本入 受注単位1[rn]
19-21119,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004382581.jpg?fitin=700:700,3578.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイテンプレス製ウレタン車　自在Ｓ付金具付　φ１５０【HTTUJB-150】(3925820) 受注単位1,(3925820),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハイテン材を使用することにより摩耗する旋回部の耐久性が2倍以上になりました。（弊社従来品比)<br>●ラジアルベアリング採用で、静音性がアップしました。<br>●ハイテン材を使用して軽量化をはかりました。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイテンプレス製ウレタン車　自在Ｓ付金具付　φ１５０【HTTUJB-150】(3925820) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイテンプレス製ウレタン車　自在Ｓ付金具付　φ１５０【HTTUJB-150】(3925820) 受注単位1,(3925820)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイテンプレス製ウレタン車　自在Ｓ付金具付　φ１５０【HTTUJB-150】(3925820) 受注単位1[rn]
19-21120,,6643.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ ロープＫ         【TSRD10X6610-BK】(7898096) ＴＲＵＳＣＯ ソフトケーブルプロテクター 10ＸＷ66．0Ｘ10Ｍブラック 発注単位1,生産加工用品\電設配線部品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●巻いて運べるため持ち運びに便利です。<br>
●やわらかく足に優しく安全です。<br>
●屋内での床面の配線・電線保護に。<br>
●幅(mm):66.0<br>
●長さ(m):10<br>
●厚み(mm):15.3<br>
●内寸(mm):19.0×10.9<br>
●適応ケーブル径:10.9mm以下<br>
●軟質塩化ビニール（PVC)",■〒トラスコ中山/ＴＲＵＳＣＯ ロープＫ         【TSRD10X6610-BK】(7898096) ＴＲＵＳＣＯ ソフトケーブルプロテクター 10ＸＷ66．0Ｘ10Ｍブラック 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ ロープＫ         【TSRD10X6610-BK】(7898096) ＴＲＵＳＣＯ ソフトケーブルプロテクター 10ＸＷ66．0Ｘ10Ｍブラック 発注単位1,生産加工用品\電設配線部品。■〒トラスコ中山/ＴＲＵＳＣＯ ロープＫ         【TSRD10X6610-BK】(7898096) ＴＲＵＳＣＯ ソフトケーブルプロテクター 10ＸＷ66．0Ｘ10Ｍブラック 発注単位1[rn]
19-21121,,7128.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒タンガロイ/タンガロイ ＴＡＣチップ【XPMT040104R-DJ AH740】(3496058) タンガロイ ＴＡＣドリル用ＴＡＣチップ ＣＯＡＴ 発注単位10,切削工具\旋削・フライス加工工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ドリル用インサート　汎用材種",■〒タンガロイ/タンガロイ ＴＡＣチップ【XPMT040104R-DJ AH740】(3496058) タンガロイ ＴＡＣドリル用ＴＡＣチップ ＣＯＡＴ 発注単位10：クローバー資材館,■〒タンガロイ/タンガロイ ＴＡＣチップ【XPMT040104R-DJ AH740】(3496058) タンガロイ ＴＡＣドリル用ＴＡＣチップ ＣＯＡＴ 発注単位10,切削工具\旋削・フライス加工工具。■〒タンガロイ/タンガロイ ＴＡＣチップ【XPMT040104R-DJ AH740】(3496058) タンガロイ ＴＡＣドリル用ＴＡＣチップ ＣＯＡＴ 発注単位10[rn]
