19-170401,http://tshop.r10s.jp/tsuruha/cabinet/shouhin19/4987033409047.jpg?fitin=700:700,416.8000,,,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987033409047<BR>",【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ：ツルハドラッグ,ドラッグストアスキンケア化粧品ベビー薬健康ツルハツルハドラッグダイエット健康食品サプリハブラシヘアケアエゾエース入浴剤ナップルツルハグループ介護用品医薬品生コラーゲン【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ[rn]
19-170433,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62604486.jpg?fitin=700:700,1184.0000,,,【第2類医薬品】 大正胃腸薬K 錠剤 190錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大正製薬 胃腸薬 漢方 胃腸 胃 腸 もたれ 不快感 胃炎 胃痛,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>大正製薬 大正胃腸薬K 錠剤 190錠は、芍薬甘草湯エキス末と安中散を配合した、錠剤タイプの胃腸薬です。
<br>「芍薬甘草湯」と「安中散」の２種類の処方で、胃の痛みや胃もたれ、胃炎をはじめとする胃腸の諸症状の改善に効果を発揮します。
<br>「安中散」の製造方法は凍結粉砕法を採用。精油成分を逃さず、製剤化しています。錠剤なので常備用にも便利です。
<br>
<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大正胃腸薬K 錠剤 190錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大正胃腸薬K 錠剤 190錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大正製薬 胃腸薬 漢方 胃腸 胃 腸 もたれ 不快感 胃炎 胃痛。【第2類医薬品】 大正胃腸薬K 錠剤 190錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】[rn]
19-170434,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62604486.jpg?fitin=700:700,1184.0000,,,【第2類医薬品】 大正胃腸薬K 錠剤 190錠,大正製薬 胃腸薬 漢方 胃腸 胃 腸 もたれ 不快感 胃炎 胃痛,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>大正製薬 大正胃腸薬K 錠剤 190錠は、芍薬甘草湯エキス末と安中散を配合した、錠剤タイプの胃腸薬です。
<br>「芍薬甘草湯」と「安中散」の２種類の処方で、胃の痛みや胃もたれ、胃炎をはじめとする胃腸の諸症状の改善に効果を発揮します。
<br>「安中散」の製造方法は凍結粉砕法を採用。精油成分を逃さず、製剤化しています。錠剤なので常備用にも便利です。
<br>
<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大正胃腸薬K 錠剤 190錠：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大正胃腸薬K 錠剤 190錠,大正製薬 胃腸薬 漢方 胃腸 胃 腸 もたれ 不快感 胃炎 胃痛。【第2類医薬品】 大正胃腸薬K 錠剤 190錠[rn]
19-170435,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62582103.jpg?fitin=700:700,569.6000,,,【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大正製薬 胃腸薬 漢方 胃腸 胃 腸 ストレス 胃痛 胃もたれ,"区分：第2類医薬品<br><br>使用期限：使用期限まで6ヶ月以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>大正製薬 大正漢方胃腸薬 「爽和」 錠剤 40錠は、安中散と四逆散の組み合わせにより、ふだんから様々なストレスにさらされ、自律神経が乱れている現代人に適した処方として開発した胃腸薬です。
<br>ストレスをうまく発散できない方、仕事・家事が忙しく頑張っている方などの胃の痛み・もたれ等の胃腸症状を改善します。
<br>独自の製剤技術により、香り・風味が良い製剤を実現しました（芳香性健胃生薬配合）。
<br>
<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大正製薬 胃腸薬 漢方 胃腸 胃 腸 ストレス 胃痛 胃もたれ。【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】[rn]
19-170436,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62582103.jpg?fitin=700:700,569.6000,,,【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠,大正製薬 胃腸薬 漢方 胃腸 胃 腸 ストレス 胃痛 胃もたれ,"区分：第2類医薬品<br><br>使用期限：使用期限まで6カ月以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>大正製薬 大正漢方胃腸薬 「爽和」 錠剤 40錠は、安中散と四逆散の組み合わせにより、ふだんから様々なストレスにさらされ、自律神経が乱れている現代人に適した処方として開発した胃腸薬です。
<br>ストレスをうまく発散できない方、仕事・家事が忙しく頑張っている方などの胃の痛み・もたれ等の胃腸症状を改善します。
<br>独自の製剤技術により、香り・風味が良い製剤を実現しました（芳香性健胃生薬配合）。
<br>
<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠,大正製薬 胃腸薬 漢方 胃腸 胃 腸 ストレス 胃痛 胃もたれ。【第2類医薬品】 大正漢方胃腸薬 「爽和」 錠剤 40錠[rn]
19-170437,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62707888.jpg?fitin=700:700,1120.0000,,,【第2類医薬品】 ストレージ タイプH 12包,武田薬品 胃腸薬 胃腸 神経性胃炎 不安神経症 せき 漢方,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>ストレスなどで胃の調子が悪い、気分がふさいでのどがつかえた感じがする 、
不安になる、などといった症状に、漢方処方「 半夏厚朴湯 」が優れた効果をあらわします。<br>
体力中等度をめやすと して気分がふさいで 、 咽 頭・ 食道部に異物感のある方に適したお薬です。<br>
のみやすい灰かっ色の顆粒です。<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 ストレージ タイプH 12包：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 ストレージ タイプH 12包,武田薬品 胃腸薬 胃腸 神経性胃炎 不安神経症 せき 漢方。【第2類医薬品】 ストレージ タイプH 12包[rn]
19-170438,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62615553.jpg?fitin=700:700,1424.0000,,,【第2類医薬品】 第一三共胃腸薬 細粒 56包,第一三共ヘルスケア 第一三共 胃腸薬 胃腸 胃 腸,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>第一三共ヘルスケア 第一三共胃腸薬 細粒 56包は、胃のもたれ・不快感にスーッととけて効く、細粒タイプの胃腸薬です。
<br>脂肪消化酵素リパーゼAP12と消化酵素タカヂアスターゼN1が消化を助けます。６種の健胃生薬が弱った胃の働きを高め、胃の不快感・食欲不振などに効きめをあらわします。
<br>有胞子性乳酸菌（ラクボン原末）が、腸管内に到達し、腸の働きを整えます。生薬アカメガシワ、カンゾウ末が胃粘膜のあれ・ただれを修復します。
<br>塩分のもととなるナトリウムを含んでいません。
<br>
<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 第一三共胃腸薬 細粒 56包：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 第一三共胃腸薬 細粒 56包,第一三共ヘルスケア 第一三共 胃腸薬 胃腸 胃 腸。【第2類医薬品】 第一三共胃腸薬 細粒 56包[rn]
19-170439,http://tshop.r10s.jp/wellness-web/cabinet/iyakuhin01/4987028105671.jpg?fitin=700:700,488.0000,,,【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　ウェルネス,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987028105671<BR>",【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　ウェルネス：ドラッグストアウェルネス,スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　ウェルネス,【第2類医薬品】エーザイ　サクロンQ　(6錠)　ムカムカ・はきけ・胃痛に　【セルフメディケーション税制対象商品】　ウェルネス[rn]
19-170440,http://tshop.r10s.jp/wellness-web/cabinet/iyakuhin/4987033409047.jpg?fitin=700:700,416.8000,,,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ウェルネス,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987033409047<BR>",【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ウェルネス：ドラッグストアウェルネス,スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ウェルネス,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ウェルネス[rn]
19-170441,http://tshop.r10s.jp/wellness-web/cabinet/iyakuhin01/4987107170835.jpg?fitin=700:700,663.2000,,,【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ウェルネス,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987107170835<BR>",【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ウェルネス：ドラッグストアウェルネス,スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ウェルネス,【第2類医薬品】第一三共ヘルスケア　第一三共胃腸薬プラス錠剤　(50錠)　ウェルネス[rn]
19-170442,http://tshop.r10s.jp/kenkocom/cabinet/x4501/x450100h_l.jpg?fitin=700:700,1728.8000,,,【第2類医薬品】ツムラ漢方 六君子湯(1043) 24包[ケンコーコム ツムラ 胃腸薬/胃弱/顆粒・粉末]【8_k】【あす楽対応】【送料無料】,ツムラ 漢方製剤/送料無料,"<p>送料無料/ツムラ漢方 六君子湯(1043) 24包<br>ケンコーコムTOP＞医薬品＞胃腸薬＞胃弱(健胃・漢方主製剤)＞顆粒・粉末＞<br>ブランド：ツムラ 漢方製剤/製造販売元：ツムラ</p>内容量：1.875g×24包   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「ツムラ漢方 六君子湯(1043) 24包」は、胃腸が弱く、食欲がなく、疲れやすく、貧血性で日常手足が冷える方の胃炎、胃アトニー、胃下垂、食欲不振、胃痛等に用いられている六君子湯から抽出したエキスより製した胃腸薬です。服用しやすい顆粒タイプ。医薬品。<br><b>使用上の注意</b><br>●相談すること<br>1.次の人は服用前に医師または薬剤師に相談してください<br>(1)医師の治療を受けている人<br>(2)妊婦または妊娠していると思われる人<br>(3)今までに薬により発疹・発赤、かゆみ等を起こしたことがある人<br>2.次の場合は、直ちに服用を中止し、この文書を持って医師または薬剤師に相談してください<br>(1)服用後、次の症状があらわれた場合<table border=""1""><tr><td>関係部位</td><td>症 状</td></tr><tr><td>皮 ふ</td><td>発疹・発赤、かゆみ</td></tr></table>(2)1ヶ月位服用しても症状がよくならない場合<br><b>原産国</b><br>日本<br><b>効能・効果</b><br>胃腸の弱いもので、食欲がなく、みぞおちがつかえ、疲れやすく、貧血性で手足が冷えやすいものの次の諸症：<br>胃炎、胃アトニー、胃下垂、消化不良、食欲不振、胃痛、嘔吐<br><b>用法・用量</b><br>次の量を、食前にお湯または水で服用してください。<br><table border=""1""><tr><td>年 齢</td><td>1回量</td><td>1日服用回数</td></tr><tr><td>成人(15歳以上)</td><td>1包(1.875g)</td><td rowspan=""4"">2回</td></tr><tr><td>15歳未満7歳以上</td><td>2/3包</td></tr><tr><td>7歳未満4歳以上</td><td>1/2包</td></tr><tr><td>4歳未満2歳以上</td><td>1/3包</td></tr><tr><td>2歳未満</td><td colspan=""2"">服用しないでください</td></tr></table>●用法・用量に関連する注意<br>小児に服用させる場合には、保護者の指導監督のもとに服用させてください<br><b>成分・分量</b><br>本品2包(3.75g)中、下記の割合の混合生薬の乾燥エキス2.0gを含有します。<br><table border=""1""><tr><td>日局ソウジュツ</td><td>2.0g</td><td>日局タイソウ</td><td>1.0g</td></tr><tr><td>日局ニンジン</td><td>2.0g</td><td>日局チンピ</td><td>1.0g</td></tr><tr><td>日局ハンゲ</td><td>2.0g</td><td>日局カンゾウ</td><td>0.5g</td></tr><tr><td>日局ブクリョウ</td><td>2.0g</td><td>日局ショウキョウ</td><td>0.25g</td></tr></table>添加物として日局ステアリン酸マグネシウム、日局乳糖、ショ糖脂肪酸エステルを含有します。<br><b>保管および取扱い上の注意</b><br>1.直射日光の当たらない湿気の少ない涼しい所に保管してください。<br>2.小児の手の届かない所に保管してください。<br>3.1包を分割した残りを服用する場合には、袋の口を折り返して保管し、2日以内に服用してください。<br>4.本剤は生薬(薬用の草根木皮等)を用いた製品ですので、製品により多少顆粒の色調等が異なることがありますが効能・効果にはかわりありません。<br>5.使用期限を過ぎた製品は、服用しないでください。<br><b>お問い合わせ先</b><br>本製品内容について、何かお気付きの点がございましたら、お買い求めのお店または下記までご連絡いただきますようお願い申し上げます。<br><br>株式会社ツムラ<br>東京都中央区日本橋3-4-10<br><br>お客様相談窓口<br>東京都千代田区二番町12-7102-8422<br>電話0120-329-930<br>受付時間9：00-17：45(土、日、祝日を除く)<br>JANコード：　4987138466525<br><hr size=""1"" color=""#e0e0e0"" noshade><b>六君子湯(リックンシトウ)/漢方薬</b>やせ型で顔色が悪く、疲れやすい人で胃腸が弱く、食欲が少なく、食事を取ると腹が張りすぐ眠くなる状態、胃もたれ、胃のチャポチャポ、吐き気、食欲不振、お腹のゴロゴロ、軟便、悪心、嘔吐があり、貧血気味で手足の冷えやすい症状が見られる人に用いられます。 胃腸の働きをよくして、水分の停滞を改善します。中国明時代の漢方書万病回春に記載されている薬方です。<hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL：050-5577-5042<hr size=""1"" color=""#e0e0e0"" noshade>お買い上げいただける個数は3個までです。<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font><br>使用期限：出荷時100日以上<br>医薬品販売に関する記載事項",【第2類医薬品】ツムラ漢方 六君子湯(1043) 24包[ケンコーコム ツムラ 胃腸薬/胃弱/顆粒・粉末]【8_k】【あす楽対応】【送料無料】：ケンコーコム,ケンコーコムケンコーコム支店クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス湯たんぽココナッツオイルえごまこめ油サンペレグリノ暖房器具クリスタルガイザー 500ml 48本緑の魔女甘酒【第2類医薬品】ツムラ漢方 六君子湯(1043) 24包[ケンコーコム ツムラ 胃腸薬/胃弱/顆粒・粉末]【8_k】【あす楽対応】【送料無料】,ツムラ 漢方製剤/送料無料。【第2類医薬品】ツムラ漢方 六君子湯(1043) 24包[ケンコーコム ツムラ 胃腸薬/胃弱/顆粒・粉末]【8_k】【あす楽対応】【送料無料】[rn]
19-170443,http://tshop.r10s.jp/fukuyaku/cabinet/kensyoku/03334343/4544630070713_1.gif?fitin=700:700,591.2000,,,【ゆうパケット・送料無料】ファスコン下痢止めフィルム(6枚入)【第(2)医薬品】【京都薬品ＨＣ】 「セルフＭ控除商品」,水なしで飲めるフィルムタイプの下痢止め！仕事中や移動中に！,<br><br>,【ゆうパケット・送料無料】ファスコン下痢止めフィルム(6枚入)【第(2)医薬品】【京都薬品ＨＣ】 「セルフＭ控除商品」：福薬本舗,福薬本舗ふくやくほんぽ服薬本舗株式会社福田薬局フクヤクホンポ福田薬局福田薬局　坂本店福田薬局　本店福田薬局　ＥＣ事業部ハリウッド化粧品医薬品がお買得化粧品がお買得健康食品がお買得一個から送料無料皆様の救急箱くすりのフクダＤＲＵＧ　ＦＵＫＵＤＡ安心・安全比べてください福ちゃん【ゆうパケット・送料無料】ファスコン下痢止めフィルム(6枚入)【第(2)医薬品】【京都薬品ＨＣ】 「セルフＭ控除商品」,水なしで飲めるフィルムタイプの下痢止め！仕事中や移動中に！。【ゆうパケット・送料無料】ファスコン下痢止めフィルム(6枚入)【第(2)医薬品】【京都薬品ＨＣ】 「セルフＭ控除商品」[rn]
19-170444,http://tshop.r10s.jp/fukuyaku/cabinet/03368550/03491567/4955982058029_1m.jpg?fitin=700:700,4666.4000,,,【宅配便・送料無料】恵命我神散Ｓ(120包)【第2類医薬品】【胃腸・整腸剤】【恵命堂】,屋久島の大自然が育んだ「ガジュツ」が主成分の胃腸薬！,"【製品の特徴】<br>
<br>
恵命我神散は，胃の働きを活発にし，胆汁分泌を促進し脂肪の消化をたかめ胃の粘膜を修復する作用のあるガジュツ末と，消化管粘膜を保護する働きのある真昆布末に，苦味・辛味・芳香を有するウコン末とショウキョウ末を配合した生薬製剤です。<br>
<br>
特に，胃の働きが弱く，胃がもたれた感じの症状の方にききめのある胃腸薬です。 <br>
使用上の注意  <br>
<br>
■してはいけないこと<br>
（守らないと現在の症状が悪化したり，副作用が起こりやすくなります。） <br>
 <br>
・次の人は服用しないこと。<br>
　本剤による過敏症状（発疹・発赤，かゆみ，浮腫等）を起こしたことがある人。 <br>
■相談すること <br>
<br>
1．次の人は服用前に医師，薬剤師又は登録販売者に相談すること。<br>
　（1）医師の治療を受けている人。<br>
　（2）薬などによりアレルギー症状を起こしたことがある人。<br>
　（3）次の診断を受けた人。肝臓病<br>
2．次の場合は直ちに服用を中止し，この文書を持って医師，薬剤師又は登録販売者に相談すること。<br>
　（1）服用後，次の症状があらわれた場合。<br>
<br>
［関係部位：症状］<br>
皮ふ：発疹・発赤，かゆみ，はれ<br>
消化器：腹痛，悪心・嘔吐，下痢<br>
<br>
　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けること。<br>
<br>
［症状の名称：症状］<br>
アナフィラキシー様症状：服用後すぐに息苦しさ，浮腫，じんましん，発疹等があらわれる。<br>
肝機能障害：全身のだるさ，黄疸（皮ふや白目が黄色くなる）等があらわれる。<br>
<br>
　（2）1ヶ月ぐらい服用しても症状がよくならない場合。 <br>
<br>
その他の注意  <br>
 ・慢性胃腸疾患の方が恵命我神散を服用しますと，胃や腸の働きがたかまるために，一時的に腹部の膨張や音を感じたりなどの異常を感じる場合がありますが，1週間程で落ち着きます。 <br>
 <br>
【効能・効果】<br>
<br>
食欲不振（食欲減退），胃部・腹部膨満感，消化不良，胃弱，食べ過ぎ（過食），飲み過ぎ（過飲），胸やけ，もたれ（胃もたれ），胸つかえ，はきけ（むかつき，胃のむかつき，二日酔・悪酔のむかつき，嘔気，悪心），嘔吐 <br>
用法・用量  次の量を水又は白湯で服用してください。<br>
<br>
【服用回数】<br>
1日4回食後及び就寝前に服用する。1日5～6回服用しても差し支えないが，この場合には約4時間の間隔をおいて服用する。<br>
<br>
【年齢区分：1回量】<br>
15歳以上：3g<br>
11歳以上15歳未満：2g<br>
7歳以上11歳未満：1.5g<br>
3歳以上7歳未満：1g<br>
3歳未満：服用しないこと<br>
<br>
  <br>
【成分分量】  　3g中 　　　　 成分 分量 <br>
　　　　　　　ガジュツ末 　　　2500mg <br>
　　　　　　　真昆布末 　　　　100mg <br>
 <br>
添加物  ウコン末，ショウキョウ末，結晶セルロース <br>
<br>
【保管及び取扱い上の注意】<br>
<br>
1．小児の手のとどかない所に保管してください。<br>
2．直射日光をさけなるべく湿気の少ない涼しい場所に密閉して保管してください。<br>
3．誤用をさけ品質を保持するため，他の容器に入れ替えないでください。<br>
4．内包を開封後保管の際は，再封ジッパーが確実に閉じていることを確認してください。<br>
5．服用に際しアルミフィルムで手や口を切らないようご注意ください。 <br>
<br>
【消費者相談窓口】  <br>
会社名：株式会社　恵命堂<br>
問い合わせ先：お客様相談室<br>
電話：フリーダイヤル0120-119-560<br>
受付時間：（土・日・祝日を除く午前9時から午後5時迄）<br>
<br>
【区分】  第２類医薬品 <br>
<br>
【製造販売会社】  <br>
<br>
・株式会社　老舗恵命堂<br>
住所：〒891-4206　鹿児島県熊毛郡屋久島町楠川579-25 <br>
・販売会社  （株）恵命堂<br>
<br>
<br>",【宅配便・送料無料】恵命我神散Ｓ(120包)【第2類医薬品】【胃腸・整腸剤】【恵命堂】：福薬本舗,福薬本舗ふくやくほんぽ服薬本舗株式会社福田薬局フクヤクホンポ福田薬局福田薬局　坂本店福田薬局　本店福田薬局　ＥＣ事業部ハリウッド化粧品医薬品がお買得化粧品がお買得健康食品がお買得一個から送料無料皆様の救急箱くすりのフクダＤＲＵＧ　ＦＵＫＵＤＡ安心・安全比べてください福ちゃん【宅配便・送料無料】恵命我神散Ｓ(120包)【第2類医薬品】【胃腸・整腸剤】【恵命堂】,屋久島の大自然が育んだ「ガジュツ」が主成分の胃腸薬！。【宅配便・送料無料】恵命我神散Ｓ(120包)【第2類医薬品】【胃腸・整腸剤】【恵命堂】[rn]
