19-100301,http://tshop.r10s.jp/hobbytoy/cabinet/tasya32/7068553-e.jpg?fitin=700:700,481.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】,,"<b><font color=""#DCDCDC"">ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア ミニチュアペーパークラフトカワダ</font></b><br>ペーパーナノに「フレームインシリーズ」新登場<br>
別売りのフレームで壁掛けでも卓上でも飾って楽しめます。<br><br><br>●対象年齢<br>
12歳以上<br>
※のり、カッターなどは付属しておりません。<br>",ペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】：ホビーとおもちゃのほびたま,仮面ライダーホビーフィギュア戦隊プリキュアキャラクターバンダイタカラトミーエポック社ナノブロックレゴ　ブロックセガSEGALEGOおもちゃベビー　おもちゃ赤ちゃん　おもちゃセガトイズおもちゃ　ブロックカワダ　ブロックペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】,ペーパーナノPNF-001フレームインノイシュバンシュタイン城 ペーパークラフト 大人ホビー ミニチュア SmaSTATION!!で紹介されました ペーパークラフトミニチュア カワダ 【TC】[rn]
19-100327,http://tshop.r10s.jp/voice/cabinet/bungu6/003668_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「ジャーニー アソート（旅のフレーズ）」68B7-554CE　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：18mm×65mm他　厚さ1mm<br> 
○材質：紙<br>
○数量：journey,explore,joy,fun,memories 各1個ずつ<br>※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「ジャーニー アソート（旅のフレーズ）」68B7-554CE　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「ジャーニー アソート（旅のフレーズ）」68B7-554CE　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「ジャーニー アソート（旅のフレーズ）」68B7-554CE　Wycinanka　※メール便指定OK[rn]
19-100328,http://tshop.r10s.jp/voice/cabinet/bungu6/003781_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「パーティー アソート」　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：60mm×50mm他　厚さ1mm<br> 
○材質：紙<br>
○数量：約15個<br> 
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「パーティー アソート」　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「パーティー アソート」　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「パーティー アソート」　Wycinanka　※メール便指定OK[rn]
19-100329,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbkt503-1_01.jpg?fitin=700:700,1160.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【sale】【sb】クレタケ　ウエディングガーランドキット　＜グリーン＞　＜メール便指定OK＞,　,"ウェディングガーランドは大切なゲストを迎える最初のおもてなし。<br>
ペーパークラフトで作る手作りのウェディングガーランドでゲストへの感謝を伝えましょう。<br>
約1.5ｍ×約20ｃｍのサイズのガーランドができあがるキットです。<br>
<br>
＜内用品＞<br>
・三角形のペーパー（白）×7枚<br>
・お花型のペーパー（緑）×7枚<br>
・ドットタイプの強力接着剤<br>
・リボン<br>
・ハンドメイドステッカーK　3種各1枚<br>
・ハンドメイドステッカーK　タイトル「WELCOME」1枚<br>
<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい。",【sale】【sb】クレタケ　ウエディングガーランドキット　＜グリーン＞　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】クレタケ　ウエディングガーランドキット　＜グリーン＞　＜メール便指定OK＞,　。【sale】【sb】クレタケ　ウエディングガーランドキット　＜グリーン＞　＜メール便指定OK＞[rn]
19-100330,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbkt503-2_01.jpg?fitin=700:700,1160.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【sale】【sb】クレタケ　ウエディングガーランドキット　＜ピンク＞　＜メール便指定OK＞,　,"ウェディングガーランドは大切なゲストを迎える最初のおもてなし。<br>
ペーパークラフトで作る手作りのウェディングガーランドでゲストへの感謝を伝えましょう。<br>
約1.5ｍ×約20ｃｍのサイズのガーランドができあがるキットです。<br>
<br>
＜内用品＞<br>
・三角形のペーパー（ピンク）×7枚<br>
・お花型のペーパー（白）×7枚<br>
・ドットタイプの強力接着剤<br>
・リボン<br>
・ハンドメイドステッカーK　3種各1枚<br>
・ハンドメイドステッカーK　タイトル「WELCOME」1枚<br>
<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい。",【sale】【sb】クレタケ　ウエディングガーランドキット　＜ピンク＞　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】クレタケ　ウエディングガーランドキット　＜ピンク＞　＜メール便指定OK＞,　。【sale】【sb】クレタケ　ウエディングガーランドキット　＜ピンク＞　＜メール便指定OK＞[rn]
19-100331,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbot-spbg_02.jpg?fitin=700:700,384.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【sale】【sb】【アウトレット】クレタケ　手作りフォトブック　『ベビーガール』　＜メール便指定OK＞,　,"写真を貼ってデコレーションするだけで見開きの作品が完成！<br>
お気に入りの写真を可愛くデコレーションして残しましょう。<br>
サイズは、見開きで12インチ×6インチサイズ。<br>
折りたたんで、6インチ×6インチサイズのミニブックになります。<br>
プレゼントにも最適です。<br>
＊画像は作品例です。<br>
<br>
アウトレット品のため、パッケージや本体に汚れや日焼けがある場合がございます。ご了承下さい。<br>
<br>
<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい。",【sale】【sb】【アウトレット】クレタケ　手作りフォトブック　『ベビーガール』　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】【アウトレット】クレタケ　手作りフォトブック　『ベビーガール』　＜メール便指定OK＞,　。【sale】【sb】【アウトレット】クレタケ　手作りフォトブック　『ベビーガール』　＜メール便指定OK＞[rn]
19-100332,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbkt501-1.jpg?fitin=700:700,384.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【sale】【sb】クレタケ　お家型フォトクリップキット『グリーンチェック』 ＜メール便対応ＯＫ＞,　,"4インチのペーパーをつなげて作る、お家型のキットです。<br>
写真を貼ったり、ステッカーを配置するだけで、簡単に作品をつくることができます。<br>
<br>
■用意するもの<br>
写真(8.5×8.5cmにカット)5枚、画鋲(ブラッズ用)
カッター、カッターマット、はさみ、テープのり、両面テープ、接着剤、筆記用具、定規など<br>
<br>
<br>
＜内容品＞<br>
・正方形のペーパー(クラフト)　3枚<BR>
      ・正方形のパターンペーパー(チェック)　2枚<BR>
      ・フラッグペーパー(チェック)　3枚<BR>
      ・三角形のペーパー(チェック)　1枚<BR>
      ・クリップ　約4個<BR>
      ・ブラッズ　約8粒<BR>
      ・ハンドメイドステッカーK　1袋<BR>
      ・エンボスシール　1袋<br>
<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい。",【sale】【sb】クレタケ　お家型フォトクリップキット『グリーンチェック』 ＜メール便対応ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】クレタケ　お家型フォトクリップキット『グリーンチェック』 ＜メール便対応ＯＫ＞,　。【sale】【sb】クレタケ　お家型フォトクリップキット『グリーンチェック』 ＜メール便対応ＯＫ＞[rn]
19-100333,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbkt400-45_01.jpg?fitin=700:700,464.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【sale】【sb】クレタケ　お家型フォトタペストリーキット『ナチュラルライフ』 ＜メール便対応ＯＫ＞,　,"お部屋のインテリアにぴったりな、お家型のタペストリー型のキットです。<br>
写真を貼ったり、ステッカーを配置するだけで、簡単つくることができます。<br>
プレゼントにも最適です♪<br>
説明書付なので初心者の方でも安心して作れます。<br>
<br>
作品完成サイズ：約W27×H30.5cm<br>
<br>
＜内容品＞<br>
・長方形のペーパー　4枚<br>
・三角形のペーパー　1枚<br>
・カットペーパー　3枚<br>
・ブラッズ　4個 <br>
・クリップ　4個 <br>
・ステッカー（お花）　1枚<br>
・ステッカー　タイトル　1枚<br>
・リボン50ｃｍ　1本<br>
・エンボスシール　1枚<br>
・説明書 <br>
<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい。",【sale】【sb】クレタケ　お家型フォトタペストリーキット『ナチュラルライフ』 ＜メール便対応ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】クレタケ　お家型フォトタペストリーキット『ナチュラルライフ』 ＜メール便対応ＯＫ＞,　。【sale】【sb】クレタケ　お家型フォトタペストリーキット『ナチュラルライフ』 ＜メール便対応ＯＫ＞[rn]
19-100334,http://tshop.r10s.jp/voice/cabinet/scrap_ku/sbkt501-2.jpg?fitin=700:700,384.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【sale】【sb】クレタケ　お家型フォトクリップキット『ピンクチェック』 ＜メール便対応ＯＫ＞,　,"4インチのペーパーをつなげて作る、お家型のキットです。<br>
写真を貼ったり、ステッカーを配置するだけで、簡単に作品をつくることができます。<br>
<br>
■用意するもの<br>
写真(8.5×8.5cmにカット)5枚、画鋲(ブラッズ用)
カッター、カッターマット、はさみ、テープのり、両面テープ、接着剤、筆記用具、定規など<br>
<br>
<br>
＜内容品＞<br>
・正方形のペーパー(クラフト)　3枚<BR>
      ・正方形のパターンペーパー(チェック)　2枚<BR>
      ・フラッグペーパー(チェック)　3枚<BR>
      ・三角形のペーパー(チェック)　1枚<BR>
      ・クリップ　約4個<BR>
      ・ブラッズ　約8粒<BR>
      ・ハンドメイドステッカーK　1袋<BR>
      ・エンボスシール　1袋<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
メール便についてはこちらもご確認下さい。",【sale】【sb】クレタケ　お家型フォトクリップキット『ピンクチェック』 ＜メール便対応ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【sale】【sb】クレタケ　お家型フォトクリップキット『ピンクチェック』 ＜メール便対応ＯＫ＞,　。【sale】【sb】クレタケ　お家型フォトクリップキット『ピンクチェック』 ＜メール便対応ＯＫ＞[rn]
19-100335,http://tshop.r10s.jp/voice/cabinet/bungu6/003637_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「ワイルドローズ フレーム」AA6E-512FDF　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：140mm×115mm　厚さ1mm<br> 
○材質：紙<br>
○数量：1個<br> 
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「ワイルドローズ フレーム」AA6E-512FDF　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「ワイルドローズ フレーム」AA6E-512FDF　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「ワイルドローズ フレーム」AA6E-512FDF　Wycinanka　※メール便指定OK[rn]
19-100336,http://tshop.r10s.jp/voice/cabinet/bungu6/003620_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「ブルーベリーフレーム」　52E4-869A0　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：118mm×90mm　厚さ1mm<br> 
○材質：紙<br>
○数量：1個<br> 
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「ブルーベリーフレーム」　52E4-869A0　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「ブルーベリーフレーム」　52E4-869A0　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「ブルーベリーフレーム」　52E4-869A0　Wycinanka　※メール便指定OK[rn]
19-100337,http://tshop.r10s.jp/voice/cabinet/bungu6/003583_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「フォトフレーム」　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：68mm×62mm　厚さ1mm<br> 
○材質：紙<br>
○数量：3個<br>
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「フォトフレーム」　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「フォトフレーム」　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「フォトフレーム」　Wycinanka　※メール便指定OK[rn]
19-100338,http://tshop.r10s.jp/voice/cabinet/bungu6/003736_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「sweet little things」　aF5F-55367　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：25mm×80mm他　厚さ1mm<br> 
○材質：紙<br>
○数量：sweet,little,things 各1個ずつ<br> 
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「sweet little things」　aF5F-55367　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「sweet little things」　aF5F-55367　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「sweet little things」　aF5F-55367　Wycinanka　※メール便指定OK[rn]
19-100339,http://tshop.r10s.jp/voice/cabinet/bungu6/003699_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「always together（いつも一緒に）」D3C5-85590A　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：40mm×62mm　厚さ1mm<br> 
○材質：紙<br>
○数量：3個<br> 
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「always together（いつも一緒に）」D3C5-85590A　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「always together（いつも一緒に）」D3C5-85590A　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「always together（いつも一緒に）」D3C5-85590A　Wycinanka　※メール便指定OK[rn]
19-100340,http://tshop.r10s.jp/voice/cabinet/bungu6/003842_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「アルファベット ポップ」　687C-96278　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：103mm×75mm　厚さ1mm<br> 
○材質：紙<br>
○数量：1個<br>
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□シートタイプのものは手で切り離そうとすると破れます。ハサミやカッターで丁寧に切り取って下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「アルファベット ポップ」　687C-96278　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「アルファベット ポップ」　687C-96278　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「アルファベット ポップ」　687C-96278　Wycinanka　※メール便指定OK[rn]
19-100341,http://tshop.r10s.jp/voice/cabinet/scrap/paperchips/ddp17ye_01.jpg?fitin=700:700,171.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ディズニー　アシッドフリー ダイカットペーパー　プーさんフェイス　＜メール便指定OK＞,スクラップブッキングやアルバム、手作りカードに。　,"<font size=""2"">アルバム飾りにぴったり！<br>お気に入りの写真の横に1枚置くだけで<br>
楽しさ倍増です<br>
もちろんアシッドフリーなのでスクラップブッキングにもオススメ<br>
大きさ：縦58×横56mm <BR>
内容：こがね、サーモン各1枚、橙2枚の４枚入り<br>
こちらはメール便でお送りできますが、代金引換・同梱・ラッピングご希望の場合は、通常宅配便となります。</font>",ディズニー　アシッドフリー ダイカットペーパー　プーさんフェイス　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ディズニー　アシッドフリー ダイカットペーパー　プーさんフェイス　＜メール便指定OK＞,スクラップブッキングやアルバム、手作りカードに。　。ディズニー　アシッドフリー ダイカットペーパー　プーさんフェイス　＜メール便指定OK＞[rn]
19-100342,http://tshop.r10s.jp/voice/cabinet/bungu6/003866_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「デコセット２」4EEE-3366E　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：103mm×75mm　厚さ1mm<br> 
○材質：紙<br>
○数量：1個<br> 
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□シートタイプのものは手で切り離そうとすると破れます。ハサミやカッターで丁寧に切り取って下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「デコセット２」4EEE-3366E　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「デコセット２」4EEE-3366E　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「デコセット２」4EEE-3366E　Wycinanka　※メール便指定OK[rn]
19-100343,http://tshop.r10s.jp/voice/cabinet/bungu6/003835_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW♪】チップボード 「スター」　Wycinanka　※メール便指定OK,,"スクラップブッキング等に使える、タイトルや複雑なモチーフのデコレーションパーツです。<br>
素材が紙なので、のり等を使ってデコレーションを楽しめます。<br>
スクラップブッキングやウェルカムボード作りに使って、素敵な作品を作って下さいね♪<br>
<br>
<br>
○サイズ：10mm×10mm　厚さ1mm<br> 
○材質：紙<br>
○数量：約100個<br>  
※本体にのりはついておりません<br>
<br>
<br>
□レーザーカットのため、切り口にしみ等があります。ご了承下さい。<br>
□繊細な商品ですので、模様の一部が切れていることがありますが、全体のデザインに影響がない場合は良品として発送させていただきますのでご了承下さい。",【NEW♪】チップボード 「スター」　Wycinanka　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】チップボード 「スター」　Wycinanka　※メール便指定OK,【NEW♪】チップボード 「スター」　Wycinanka　※メール便指定OK[rn]
