19-168401,http://tshop.r10s.jp/akibamac/cabinet/04544162/4966307360079.jpg?fitin=700:700,544.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワHSL105WH 延長コード（1個口/5ｍ/ホワイト）,,プラグはホコリや湿気によって発生するトラッキング火災を予防する絶縁カバー付きです。,ヤザワHSL105WH 延長コード（1個口/5ｍ/ホワイト）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンヤザワHSL105WH 延長コード（1個口/5ｍ/ホワイト）,ヤザワHSL105WH 延長コード（1個口/5ｍ/ホワイト）[rn]
19-168412,http://tshop.r10s.jp/akibamac/cabinet/03169830/4953103827097.jpg?fitin=700:700,704.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコムT-ADR4WH ACアダプタ用電源延長コード（2P/4個口/0.2m/ホワイト） (TADR4WH),,隣のコンセント差込口をふさがずにACアダプタを接続できる電源延長コード。（2P・4個口・0.2m・ホワイト）,エレコムT-ADR4WH ACアダプタ用電源延長コード（2P/4個口/0.2m/ホワイト） (TADR4WH)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコムT-ADR4WH ACアダプタ用電源延長コード（2P/4個口/0.2m/ホワイト） (TADR4WH),エレコムT-ADR4WH ACアダプタ用電源延長コード（2P/4個口/0.2m/ホワイト） (TADR4WH)[rn]
19-168413,http://tshop.r10s.jp/akibamac/cabinet/04720349/4966307360048.jpg?fitin=700:700,224.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワHSL101WH 延長コード（1個口/1ｍ/ホワイト）,,プラグはホコリや湿気によって発生するトラッキング火災を予防する絶縁カバー付きです。,ヤザワHSL101WH 延長コード（1個口/1ｍ/ホワイト）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンヤザワHSL101WH 延長コード（1個口/1ｍ/ホワイト）,ヤザワHSL101WH 延長コード（1個口/1ｍ/ホワイト）[rn]
19-168414,http://tshop.r10s.jp/akibamac/cabinet/01834365/4953103035133.jpg?fitin=700:700,122.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコムT-CAP2 （2P3P両用コンセントキャップ/5個入り）,,火事の原因となる差込口へのホコリ進入や、小さなお子様が差込口にいたずらして感電することを防止するのに有効です。2ピン、3ピンどちらの差込口にもご使用頂けます。,エレコムT-CAP2 （2P3P両用コンセントキャップ/5個入り）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコムT-CAP2 （2P3P両用コンセントキャップ/5個入り）,エレコムT-CAP2 （2P3P両用コンセントキャップ/5個入り）[rn]
19-168415,http://tshop.r10s.jp/akibamac/cabinet/03074730/4953103270053.jpg?fitin=700:700,1104.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ELECOM/エレコム燃えにくいケーブルボックス （幅250mm・ブラック）　EKC-BOX002BK,,〔ケーブルボックス：4個口電源タップ（長さが230mm以下）〕電源タップまわりを整理して火災防止にも役立つ、燃えにくいケーブルボックス。（幅250mm・ブラック）■ 電源タップまわりを整理して火災防止にも役立つ、燃えにくいケーブルボックス・電源タップまわりを整理して火災防止にも役立つ、燃えにくいケーブルボックスです。電源タップの周辺は、複数のケーブルやコードが絡まるなど、雑多になりがちなスペースです。ごちゃごちゃと絡まったケーブル類 は見た目にも美しくないばかりか、コンセントとプラグの間にホコリがたまりやすいため発火する可能性もあり、大変危険です。 「燃えにくいケーブルボックス」は、電源タップまわりをスッキリと整理してキレイに見せるだけなく、難燃性プ ラスチックを採用することで、火災の防止にも役立ちます。・本製品は、一般的な4個口の電源タップにぴったりのサイズです。※ タップ本体の長さが230mm以下の電源タップをご使用ください。,ELECOM/エレコム燃えにくいケーブルボックス （幅250mm・ブラック）　EKC-BOX002BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELECOM/エレコム燃えにくいケーブルボックス （幅250mm・ブラック）　EKC-BOX002BK,ELECOM/エレコム燃えにくいケーブルボックス （幅250mm・ブラック）　EKC-BOX002BK[rn]
19-168416,http://tshop.r10s.jp/akibamac/cabinet/04121921/4901087086269.jpg?fitin=700:700,260.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ELPA安全プラグカバー (ストレートプラグタイプ・4個入り) AN-201B-W ホワイト (AN201BW),,トラッキングによるコンセント火災を予防,ELPA安全プラグカバー (ストレートプラグタイプ・4個入り) AN-201B-W ホワイト (AN201BW)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA安全プラグカバー (ストレートプラグタイプ・4個入り) AN-201B-W ホワイト (AN201BW),ELPA安全プラグカバー (ストレートプラグタイプ・4個入り) AN-201B-W ホワイト (AN201BW)[rn]
19-168417,http://tshop.r10s.jp/akibamac/cabinet/04121921/4901087086290.jpg?fitin=700:700,260.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ELPA安全プラグカバー (L形・ムービープラグ両用タイプ・4個入り) AN-202B-W ホワイト (AN202BW),,安全プラグカバー,ELPA安全プラグカバー (L形・ムービープラグ両用タイプ・4個入り) AN-202B-W ホワイト (AN202BW)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA安全プラグカバー (L形・ムービープラグ両用タイプ・4個入り) AN-202B-W ホワイト (AN202BW),ELPA安全プラグカバー (L形・ムービープラグ両用タイプ・4個入り) AN-202B-W ホワイト (AN202BW)[rn]
19-168418,http://tshop.r10s.jp/akibamac/cabinet/04121921/4901087086245.jpg?fitin=700:700,148.8000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ELPA安全コンセントキャップ (2個口用・6個入り) AN-101B-DG ダークグレー (AN101BDG),,安全コンセントキャップ,ELPA安全コンセントキャップ (2個口用・6個入り) AN-101B-DG ダークグレー (AN101BDG)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA安全コンセントキャップ (2個口用・6個入り) AN-101B-DG ダークグレー (AN101BDG),ELPA安全コンセントキャップ (2個口用・6個入り) AN-101B-DG ダークグレー (AN101BDG)[rn]
19-168419,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03189418/kctap2m46_1.jpg?fitin=700:700,1008.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,3R-KCTAP2M 【4・6個口セット】3R スリー・アール・システムズ 省エネタップ 4個口・6個口×1 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"商品名：省エネタップ4個口・6個口セット<br>
型番：3R-KCTAP2M4/3R-KCTAP2M6<br>
定格：125V　15A<br>
合計：1500Wまで<br>
サイズ：4個口：41×30×182mm<br>6個口：41×30×252mm<br>
重量：4個口：365g<br>6個口：430g<br>
・点灯式独立スイッチ付<br>
・コンセント4個口×1個<br>
・コンセント6個口×1個<br>
・1500Wまで",3R-KCTAP2M 【4・6個口セット】3R スリー・アール・システムズ 省エネタップ 4個口・6個口&times;1 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス3R-KCTAP2M 【4・6個口セット】3R スリー・アール・システムズ 省エネタップ 4個口・6個口&times;1 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。3R-KCTAP2M 【4・6個口セット】3R スリー・アール・システムズ 省エネタップ 4個口・6個口&times;1 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】[rn]
19-168420,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03189418/kctap2m4_1.jpg?fitin=700:700,456.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,3R-KCTAP2M4 3R スリー・アール・システムズ 省エネタップ 4個口 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"商品名：省エネタップ4個口<br>
型番：3R-KCTAP2M4<br>
定格：125V　15A<br>
合計：1500Wまで<br>
サイズ：41×30×182mm<br>
重量：365g<br>
・点灯式独立スイッチ付<br>
・コンセント4個口<br>
・1500Wまで",3R-KCTAP2M4 3R スリー・アール・システムズ 省エネタップ 4個口 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス3R-KCTAP2M4 3R スリー・アール・システムズ 省エネタップ 4個口 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。3R-KCTAP2M4 3R スリー・アール・システムズ 省エネタップ 4個口 ケーブル長2m 延長ケーブル 延長コード 【ゆうパケット不可】[rn]
19-168421,http://tshop.r10s.jp/akibamac/cabinet/05264069/4942322217413.jpg?fitin=700:700,2640.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,オウルテックACアダプタ付きUSB Type-Cケーブル（1.5m・ブラック） OWL-ACJTC15-BK,,"■充電器とケーブル一体型で、コンセントから直接充電<br>本製品は、充電器とUSB Type-C端子の充電用ケーブルが一体型になり、USB Type-C端子を搭載したスマートフォンやタブレットを接続するだけで、簡単に家庭用コンセントから充電が可能です。<br><br>■電気事故を防止する安全機能搭載<br>コンセントに挿した状態でも、機器に接続していなときは電流が出力されません。また、漏電などの異常電流が流された場合は、充電中でも出力を停止します。<br><br>■急速充電対応<br>本製品は、USB Type-Cを接続可能なスマートフォンを約2～2.5時間でフル充電できる「急速充電」に対応、3Aの高出力タイプなので、タブレットでも安心して充電できます。 ※接続する機器によって、供給される電流値は異なります。 ※バッテリー容量2100mAhの機器を充電する際の目安時間です。<br><br>■安心2年保証<br>本製品は2年保証付きです。ご使用中に万が一不具合などが発生した場合、無償で修理または新品交換を保証いたします。 お客様に安心してお使いいただけるように、品質だけでなくサポート体制も重視しております。<br><br>【製品仕様】<br>コネクタ形状：ACアダプタ - USB Type-C(オス)<br>入力電圧：AC100V - 240V 50 / 60Hz<br>出力電圧：DC5V , 3A出力対応<br>規格：USB2.0規格準拠　最大3A充電対応 ※ご使用になるスマートフォンや充電器などの性能によって、配給される電流値が異なります。 ※USB PD(Power-Delivery)非対応です。<br>ケーブル長：1.5m<br>重量(本体)：104g<br>保証期間：2年<br>RoHS準拠：本製品はRoHS対応商品です。",オウルテックACアダプタ付きUSB Type-Cケーブル（1.5m・ブラック） OWL-ACJTC15-BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオウルテックACアダプタ付きUSB Type-Cケーブル（1.5m・ブラック） OWL-ACJTC15-BK,オウルテックACアダプタ付きUSB Type-Cケーブル（1.5m・ブラック） OWL-ACJTC15-BK[rn]
19-168422,http://tshop.r10s.jp/akibamac/cabinet/03950460/4547441822687.jpg?fitin=700:700,347.2000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニックテーブルタップ 「延長コードX」（1個口・1m）（ブラック） WHA4911BP ブラック,,ザ･タップXの技術をフル装備した｢延長コードX｣。,パナソニックテーブルタップ 「延長コードX」（1個口・1m）（ブラック） WHA4911BP ブラック：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンパナソニックテーブルタップ 「延長コードX」（1個口・1m）（ブラック） WHA4911BP ブラック,パナソニックテーブルタップ 「延長コードX」（1個口・1m）（ブラック） WHA4911BP ブラック[rn]
19-168423,http://tshop.r10s.jp/akibamac/cabinet/03145114/4901087179633.jpg?fitin=700:700,370.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ELPA 延長コード（コード長5m） W-1515NB-W ホワイト (W1515NBW),,1500W対応。よじれにくい楕円形状のコードを採用。火災予防のトラッキングカバー付。,ELPA 延長コード（コード長5m） W-1515NB-W ホワイト (W1515NBW)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA 延長コード（コード長5m） W-1515NB-W ホワイト (W1515NBW),ELPA 延長コード（コード長5m） W-1515NB-W ホワイト (W1515NBW)[rn]
19-168424,http://tshop.r10s.jp/akibamac/cabinet/04525726/4901087004744.jpg?fitin=700:700,228.8000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ＥＬＰＡ（エルパ）テーブルタップ （2P式・3個口） A-41H-W ホワイト (A41HW),,テーブルタップ （2P式・3個口）,ＥＬＰＡ（エルパ）テーブルタップ （2P式・3個口） A-41H-W ホワイト (A41HW)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンＥＬＰＡ（エルパ）テーブルタップ （2P式・3個口） A-41H-W ホワイト (A41HW),ＥＬＰＡ（エルパ）テーブルタップ （2P式・3個口） A-41H-W ホワイト (A41HW)[rn]
19-168425,http://tshop.r10s.jp/akibamac/cabinet/04525726/4902710010101.jpg?fitin=700:700,148.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニック(Panasonic)中間スイッチ ホワイト (平形コード用・7A・300V） WH5407PK,,平形コード用中間スイッチ,パナソニック(Panasonic)中間スイッチ ホワイト (平形コード用・7A・300V） WH5407PK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンパナソニック(Panasonic)中間スイッチ ホワイト (平形コード用・7A・300V） WH5407PK,パナソニック(Panasonic)中間スイッチ ホワイト (平形コード用・7A・300V） WH5407PK[rn]
19-168426,http://tshop.r10s.jp/akibamac/cabinet/04103791/4966307218158.jpg?fitin=700:700,704.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワBKS1534BK 耐トラ付テーブルタップ（2P/4個口/3m/ブラック） 【ビックカメラグループオリジナル】,,プラグはホコリや湿気によって発生するトラッキング火災を予防する絶縁カバー付きです。,ヤザワBKS1534BK 耐トラ付テーブルタップ（2P/4個口/3m/ブラック） 【ビックカメラグループオリジナル】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンヤザワBKS1534BK 耐トラ付テーブルタップ（2P/4個口/3m/ブラック） 【ビックカメラグループオリジナル】,ヤザワBKS1534BK 耐トラ付テーブルタップ（2P/4個口/3m/ブラック） 【ビックカメラグループオリジナル】[rn]
