19-104101,http://tshop.r10s.jp/katuhara/cabinet/00861930/img61195293.jpg?fitin=700:700,396.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,サロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】,コーセーコスメポート スタイリング ワックス 泡 ウェーブ,"コーセーコスメポート サロンスタイル エアリーホイップワックス ふんわりウェーブ 150gは、ふんわりやわらかなウェーブスタイルを１日中キープするスタイリングワックスです。
<br>高保湿美容液成分（天然保湿因子）を配合。スタイルにうるおい・ツヤをプラス！髪の悩みの上位にランクインする「パサつき」を解消し、ツヤを与えて、より美しいヘアスタイルを叶えます。
<br>微細毛髪補修成分「アミノ酸」「コラーゲン」を配合してダメージを補修。さらに「紫外線カット成分」を配合することで、キューティクルの損傷による乾燥ダメージなども防ぎます。
<br>キメたスタイルが長持ちするふんわりウェーブ成分・湿気コントロール成分を配合。
<br>心地よいフルーティフローラルの香り。",サロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップサロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】,コーセーコスメポート スタイリング ワックス 泡 ウェーブ。サロンスタイル エアリーホイップワックス ふんわりウェーブ 150g 【化粧品】[rn]
19-104128,http://tshop.r10s.jp/cosmebox/cabinet/item30/4902806436457.jpg?fitin=700:700,524.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　スタイリンググリース　クラシカルアレンジ　（整髪料）　100g　GATSBY　mandom *,ツヤ髪グリース,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>ビタッとホールド　クラシカルアレンジ。グロッシーなツヤ、ハードなスタイルがキマる×持続　スタイリンググリース。立ち上げ・横わけ・クセづけ自在。ヘビーアレンジタイプ。＜アクアグリーステック＞ハードなツヤ髪キマる！伸びなじみ抜群！簡単洗い落ち！みずみずしいクリアフルーティの香り（後残りしない微香性）<br>




整髪料<br>
100g<br>
GATSBY/株式会社マンダム<br>


<br>
[広告文責] コスメボックス 097-543-1871<br>
[販売元] 株式会社マンダム<br>
[区分] 日本製・整髪料",マンダム　ギャツビー　スタイリンググリース　クラシカルアレンジ　（整髪料）　100g　GATSBY　mandom *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　スタイリンググリース　クラシカルアレンジ　（整髪料）　100g　GATSBY　mandom *,ツヤ髪グリース。マンダム　ギャツビー　スタイリンググリース　クラシカルアレンジ　（整髪料）　100g　GATSBY　mandom *[rn]
19-104129,http://tshop.r10s.jp/cosmebox/cabinet/item30/4902806436389.jpg?fitin=700:700,196.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　35g　GATSBY　mandom *,ツヤ髪グリース,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>カチッと固定、ルードロック。ツヤ＆ハードなスタイルがキマる×持続　スタイリンググリース。シャープな束感が自在につくれ、固定できる！ハードキープタイプ。＜アクアグリーステック＞ハードなツヤ髪キマる！伸びなじみ抜群！簡単洗い落ち！みずみずしいクリアフルーティの香り（後残りしない微香性）<br>




整髪料<br>
35g<br>
GATSBY/株式会社マンダム<br>


<br>
[広告文責] コスメボックス 097-543-1871<br>
[販売元] 株式会社マンダム<br>
[区分] 日本製・整髪料",マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　35g　GATSBY　mandom *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　35g　GATSBY　mandom *,ツヤ髪グリース。マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　35g　GATSBY　mandom *[rn]
19-104130,http://tshop.r10s.jp/cosmebox/cabinet/item31/4904651182596.jpg?fitin=700:700,472.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ダリヤ　サロンドプロ　ナチュラルグレイッシュ　スタイリングワックス　80g　SALON de PRO　DARIYA *,白髪を目立たなく、真っ黒にしない整髪料,"スタイリング剤で簡単白髪対策！使ったその日だけ白髪を目立たなくします。ワックスで整髪することで髪にツヤを与えて白髪の目立ちや黄ばみをぼかします。パール成分配合で、白髪・黒髪になじみやすく整髪しやすいハードタイプのワックスです。髪の上でなめらかにのび、スタイルを長時間キープ。髪型が崩れても簡単に再整髪ができます。シトラスの香り。髪にうれしいトリートメント成分配合。<br>




整髪料・毛髪着色料<br>
80g<br>
サロンドプロ/ダリヤ


<br>
[広告文責] コスメボックス 097-543-1871<br>
[発売元] 株式会社ダリヤ<br>
[区分] 日本製・ヘアケア",ダリヤ　サロンドプロ　ナチュラルグレイッシュ　スタイリングワックス　80g　SALON de PRO　DARIYA *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂ダリヤ　サロンドプロ　ナチュラルグレイッシュ　スタイリングワックス　80g　SALON de PRO　DARIYA *,白髪を目立たなく、真っ黒にしない整髪料。ダリヤ　サロンドプロ　ナチュラルグレイッシュ　スタイリングワックス　80g　SALON de PRO　DARIYA *[rn]
19-104131,http://tshop.r10s.jp/cosmebox/cabinet/03876471/m49028064-47.jpg?fitin=700:700,1912.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,●送料無料／選べるセット販売　マンダム　ギャツビー　スタイリンググリース　選べる3点,ギャツビースタイリンググリース選べる3点セット☆,"<!-- 商品情報　1  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>


<img src=""http://image.rakuten.co.jp/cosmebox/cabinet/03876471/m49028064-51.jpg"" border=0 width=""100%"">


</td></tr>
</table>

<br><br>






<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>選べるセット販売　マンダム　ギャツビー　スタイリンググリース　選べる3点</b><br>








</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">ブランド</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

ギャツビー/GATSBY




</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">商品一覧</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">




<b>※ギャツビースタイリンググリースからお好きなものを3点お選びください。</b><br><br>




●スタイリンググリース<br>





4902806436211<br>
・ギャツビー　スタイリンググリース　ルードロック　100g<br>


4902806436457<br>
・ギャツビー　スタイリンググリース　クラシカルアレンジ　100g<br>


4902806470956<br>
・ギャツビー　スタイリンググリース　フリーズバック　100g<br><br>









</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用方法＆<br>ご注意</font></td>
<td width=85%><font size=""2"" color=""#666666"">



各商品の使用方法、使用上の注意をご確認のうえお使いください。




</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%><font size=""2"" color=""#666666"">

株式会社マンダム


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">

日本製・ヘアケア


</font></td></tr>




<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",●送料無料／選べるセット販売　マンダム　ギャツビー　スタイリンググリース　選べる3点：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂●送料無料／選べるセット販売　マンダム　ギャツビー　スタイリンググリース　選べる3点,ギャツビースタイリンググリース選べる3点セット☆。●送料無料／選べるセット販売　マンダム　ギャツビー　スタイリンググリース　選べる3点[rn]
19-104132,http://tshop.r10s.jp/cosmebox/cabinet/item15/45140945.jpg?fitin=700:700,198.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　ムービングラバー　エアライズ　モバイル　15g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>激ふわ技 。髪をふんわり持ち上げて、空気を含んだような弾力のある動きがつくれます。ムービングラバー配合により、弾力のある仕上がりで思い通り何度でも再整髪が可能。スムースポリマーで、ベタつきを抑えた軽い仕上がり。のび・なじみがよく髪なじみがいいので思い通りのスタイリングができます。さり気なく香る青リンゴ系の香り（後残りしない微香性）。防腐剤フリー。<br>ワックス<br>15g<br>GATSBY/マンダム<br><br>[広告文責] コスメボックス 097-543-1871<br>[製造元] 株式会社マンダム<br>[区分] 日本製・整髪料",マンダム　ギャツビー　ムービングラバー　エアライズ　モバイル　15g　mandom　GATSBY　moving　rubber *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　ムービングラバー　エアライズ　モバイル　15g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！。マンダム　ギャツビー　ムービングラバー　エアライズ　モバイル　15g　mandom　GATSBY　moving　rubber *[rn]
19-104133,http://tshop.r10s.jp/cosmebox/cabinet/item30/4902806436211.jpg?fitin=700:700,524.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　100g　GATSBY　mandom *,ツヤ髪グリース,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>カチッと固定、ルードロック。ツヤ＆ハードなスタイルがキマる×持続。シャープな束感が自在につくれ、固定できる！スタイリンググリース　ハードキープタイプ。＜アクアグリーステック＞ハードなツヤ髪キマる！伸びなじみ抜群！簡単洗い落ち！みずみずしいクリアフルーティの香り（後残りしない微香性）<br>



整髪料<br>
100g<br>
GATSBY/株式会社マンダム<br>


<br>
[広告文責] コスメボックス 097-543-1871<br>
[販売元] 株式会社マンダム<br>
[区分] 日本製・整髪料",マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　100g　GATSBY　mandom *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　100g　GATSBY　mandom *,ツヤ髪グリース。マンダム　ギャツビー　スタイリンググリース　ルードロック　（整髪料）　100g　GATSBY　mandom *[rn]
19-104134,http://tshop.r10s.jp/cosmebox/cabinet/item15/45131639.jpg?fitin=700:700,492.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　ムービングラバー　スパイキーエッジ　80g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>チカラ技。強い整髪力でしっかり毛束をつくり、根元からがっちり立ち上げます。ムービングラバー配合により、弾力のある仕上がりで思い通り何度でも再整髪が可能。スムースポリマーで、ベタつきを抑えた軽い仕上がり。のび・なじみがよく髪なじみがいいので思い通りのスタイリングができます。クリアフローラルの香り。防腐剤フリー。<br>ワックス<br>80g<br>GATSBY/マンダム<br><br>[広告文責] コスメボックス 097-543-1871<br>[製造元] 株式会社マンダム<br>[区分] 日本製・整髪料",マンダム　ギャツビー　ムービングラバー　スパイキーエッジ　80g　mandom　GATSBY　moving　rubber *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　ムービングラバー　スパイキーエッジ　80g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！。マンダム　ギャツビー　ムービングラバー　スパイキーエッジ　80g　mandom　GATSBY　moving　rubber *[rn]
19-104135,http://tshop.r10s.jp/cosmebox/cabinet/item33/4902806470956.jpg?fitin=700:700,524.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　スタイリンググリース　フリーズバック　100g　mandom　GATSBY *,ツヤ髪グリース,"<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>

<br><font size=""3"" color=""#666660""><b>ガッチリかきあげ　3Dオールバック</b></font><br>

<font size=""2"" color=""#666660""><br>
■<b>グロッシーなツヤ　ハードなスタイルがキマル×持続　スタイリンググリース</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

かきあげた髪を急速フリーズ<br>
立体的なオールバック　一日キマル


</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>ハードなツヤ髪キマル</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

整髪成分の独自の組み合わせで、ツヤと整髪・持続力を両立。




</font>
</td></tr>
</table>


<br>
<font size=""2"" color=""#666660"">■<b>伸びなじみ抜群</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

髪へサッとなじむ、アクアゼリータイプ



</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>簡単洗い落ち </b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

オイルフリー処方。<br>
ベタつきを抑え、簡単に洗い落せる。



</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>パラベンフリー</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">



</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>みずみずしいクリアフルーティの香り</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

後残りしない微香性

</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>テクニック</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

１、前髪を後ろへかきあげ、自然な毛流れをつくる。<br>
２、サイドはおさえ、トップを中心に毛束をつまんで、動きと立体感をつくる。


</font>
</td></tr>
</table>






</td></tr></table>
<br><br>
<hr>
<br>
<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>ギャツビー　スタイリンググリース　フリーズバック</b><br>



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">内容量</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

100g




</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用方法</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">


□ 適量(500円程度)を手に取り、手のひらで十分のばしてから、髪全体に数回に分けてまんべんなくなじませ、整えてください。<br>
□ 速乾性のため、素早くスタイリングを行ってください。<br>
□ 乾いた後に髪にブラシを通すと、白い粉が出る事があるので避けてください。<br>
□ 水をつければ、簡単に再整髪ができます。<br>
□ 使用後はかならずキャップを閉めてください。




<br>
</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">ご注意</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">

□ 本品は糸を引くので、キャップを開けるときに衣服等を汚さないようご注意ください。<br>
□ お肌に異常が生じていないかよく注意して使用してください。傷や湿疹等異常のあるときは使わないでください。刺激、色抜け(白斑等)黒ずみ等の異常が出たら使用を中止し皮フ科医へご相談ください。皮フ科医等へのご相談の際は、全成分情報が必要となることがありますので、このラベルを大切に保管してください。<br>
□ 高温になるとことろには置かないでください。<br>
□ 子供の手の届かないところに置いてください。



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分</font></td>
<td width=85%><font size=""2"" color=""#666666"">


水、エタノール、ポリオキシプロピレンソルビット、PVP、(メタクリロイルオキシエチルカルボキシベタイン/メタクリル酸アルキル)コポリマー、パンテノール、ジグリセリン、カルボマー、TEA、PEG=50水添ヒマシ油、EDTA-2Na、フェノキシエタノール、香料



</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%><font size=""2"" color=""#666666"">

株式会社マンダム


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">

日本製・ヘアケア


</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",マンダム　ギャツビー　スタイリンググリース　フリーズバック　100g　mandom　GATSBY *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　スタイリンググリース　フリーズバック　100g　mandom　GATSBY *,ツヤ髪グリース。マンダム　ギャツビー　スタイリンググリース　フリーズバック　100g　mandom　GATSBY *[rn]
19-104136,http://tshop.r10s.jp/cosmebox/cabinet/item15/45140952.jpg?fitin=700:700,198.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>遊び技マット。マットな質感と高い整髪力で、パサッとしたマットな毛束感のあるヘアスタイルがつくれます。ムービングラバー配合により、弾力のある仕上がりで思い通り何度でも再整髪が可能。スムースポリマーで、ベタつきを抑えた軽い仕上がり。のび・なじみがよく髪なじみがいいので思い通りのスタイリングができます。さり気なく香る青リンゴ系の香り（後残りしない微香性）。防腐剤フリー。<br>ワックス<br>15g<br>GATSBY/マンダム<br><br>[広告文責] コスメボックス 097-543-1871<br>[製造元] 株式会社マンダム<br>[区分] 日本製・整髪料",マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！。マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *[rn]
19-104137,http://tshop.r10s.jp/cosmebox/cabinet/item32/4901872447077.jpg?fitin=700:700,188.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *,「ハードなセット力」&times;「ラフな束感」に仕上げる,"<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>

<br><font size=""3"" color=""#666660""><b>力強いセット力で根元からしっかり立ち上げ<br>ラフで遊び心のある毛束をデザイン<br>固まりすぎずマットでドライな質感を実現！</b></font><br>

<font size=""2"" color=""#666660""><br>
■<b>マットエフェクター</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">
●セット力はあるのに固まらず動かせる「スタイルパウダー」配合。<br>
●湿気に負けずスタイルを維持する「調湿成分」配合。 

 <br>

</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>グリーンフルーティーの香り</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

</font>
</td></tr>
</table>


</td></tr></table>
<br><br>
<hr>
<br>
<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>資生堂　ウーノ　マットエフェクター</b><br>



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">内容量</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

15g





</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用方法</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">


指先に適量をとり指全体と指の間にものばし、手のひらを使って散らすように髪全体になじませ、指でつまんで毛束感をつくります。


<br>
</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">ご注意</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">
□ ご使用後はキャップをきちんとしめてください。<br>
□ 日のあたるところや高温のところにおかないでください。<br>
□ 乳幼児の手の届かないところにおいてください。<br>
□ 頭皮に傷・はれもの・湿しん・色抜け（白斑等）や黒ずみなどの異常が生じていないかよく注意して使用してください。頭皮に合わないときは、使用を中止し、皮ふ科医などにご相談ください。<br>
□ 目に入らないように注意し、入った時はすぐに洗い流してください。




</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分</font></td>
<td width=85%><font size=""2"" color=""#666666"">
水、水添ポリイソブテン、エチルヘキサン酸セチル、マイクロクリスタリンワックス、シリカ、キャンデリラロウ、PG、セテス-25、ヒドロキシステアリン酸、ポリアクリル酸Na、マルチトール、ビスエチルヘキシルオキシフェノールメトキシフェニルトリアジン、水溶性コラーゲン、ステアリルアルコール、ステアリン酸グリセリル(SE)、TEA、ステアリン酸、トコフェロール、メタリン酸Na、フェノキシエタノール、香料、酸化鉄



</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%><font size=""2"" color=""#666666"">

株式会社資生堂


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">


日本製・ヘアケア・化粧品


</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *,「ハードなセット力」&times;「ラフな束感」に仕上げる。●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *[rn]
