19-68101,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449080697.jpg?fitin=700:700,192.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,キングナイロン　内装用テグス　クリア　NTS-3,お店の商品展示や看板・POP吊に用途いろいろ！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>
お店の商品展示や看板・POP吊に用途いろいろ！<BR>
アクセサリー作り、ポップ等の吊下げ、商品のディスプレイに。<BR>
<BR>
【商品詳細】<BR>内装用テグス3号<BR>
太さ：0.285mm<BR>
破断強度：3.6K<BR>
長さ：100m<BR>
重量：20g<BR>
材質：ナイロン</FONT></P>",キングナイロン　内装用テグス　クリア　NTS-3：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングキングナイロン　内装用テグス　クリア　NTS-3,お店の商品展示や看板・POP吊に用途いろいろ！。キングナイロン　内装用テグス　クリア　NTS-3[rn]
19-68112,http://tshop.r10s.jp/yminfo/cabinet/00713627/74460.jpg?fitin=700:700,1324.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　手ばかり　平面目盛・ツ（取引証明以外）　10kg　74460,目盛板が平面で見やすくなってます,"【ここがポイント！】 
 目盛板が平面で見やすくなってます。 
 持ち運びが便利。取引証明以外用です。 
 
 
 
　【商品詳細】 
本体サイズ 290×30×25mm 
重量 136g 
ひょう量 10kg 
最小目盛 100g 
使用公差 ひょう量の1/2以下：±100g
ひょう量の1/2以上：±200g 
材質 調整ネジ・目盛板端部：ABS樹脂
本体・目盛板：アルミ
取手・フック：鉄",シンワ　手ばかり　平面目盛・ツ（取引証明以外）　10kg　74460：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　手ばかり　平面目盛・ツ（取引証明以外）　10kg　74460,目盛板が平面で見やすくなってます。シンワ　手ばかり　平面目盛・ツ（取引証明以外）　10kg　74460[rn]
19-68113,http://tshop.r10s.jp/yminfo/cabinet/00713627/70163.jpg?fitin=700:700,2700.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　デジタルはかり　ミニ200g　70163　（取引証明以外）,ポケットに入るデジタルはかり！,"【ここがポイント！】 
 見やすくシンプルな白文字液晶。暗い場所でもOK。 
 容器や袋などを引いた重さを表示。郵便物や個数計算に便利です。 
 ポケットサイズなので持ち運びが便利。取引証明以外用です。 
 
 
 
　【商品詳細】 
本体サイズ 116×64×17mm 
重量 111g 
ひょう量 200kg 
目量 0.1g 
計量使用範囲 0.2～200g 
計量皿 ステンレス 
使用環境 10～30℃（湿度85%以下） 
オートパワーオフ 約1分 
表示 LCD表示　文字高13mm 
電源 単4ア",シンワ　デジタルはかり　ミニ200g　70163　（取引証明以外）：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　デジタルはかり　ミニ200g　70163　（取引証明以外）,ポケットに入るデジタルはかり！。シンワ　デジタルはかり　ミニ200g　70163　（取引証明以外）[rn]
19-68114,http://tshop.r10s.jp/yminfo/cabinet/00713627/74452.jpg?fitin=700:700,1324.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　手ばかり　平面目盛板（取引証明以外）　1kg　74452,目盛板が平面で見やすくなってます,"【ここがポイント！】 
 目盛板が平面で見やすくなってます。 
 持ち運びが便利。取引証明以外用です。 
 
 
 
　【商品詳細】 
本体サイズ 290×30×25mm 
重量 126g 
ひょう量 1kg 
最小目盛 10g 
使用公差 ひょう量の1/2以下：±10g
ひょう量の1/2以上：±20g 
材質 調整ネジ・目盛板端部：ABS樹脂
本体・目盛板：アルミ
取手・フック：鉄",シンワ　手ばかり　平面目盛板（取引証明以外）　1kg　74452：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　手ばかり　平面目盛板（取引証明以外）　1kg　74452,目盛板が平面で見やすくなってます。シンワ　手ばかり　平面目盛板（取引証明以外）　1kg　74452[rn]
19-68115,http://tshop.r10s.jp/yminfo/cabinet/00713627/74451.jpg?fitin=700:700,1324.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　手ばかり　平面目盛板（取引証明以外）　500g　74451,目盛板が平面で見やすくなってます,"【ここがポイント！】 
 目盛板が平面で見やすくなってます。 
 持ち運びが便利。取引証明以外用です。 
 
 
 
　【商品詳細】 
本体サイズ 290×30×25mm 
重量 126g 
ひょう量 500g 
最小目盛 5g 
使用公差 ひょう量の1/2以下：±5g
ひょう量の1/2以上：±10g 
材質 調整ネジ・目盛板端部：ABS樹脂
本体・目盛板：アルミ
取手・フック：鉄",シンワ　手ばかり　平面目盛板（取引証明以外）　500g　74451：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　手ばかり　平面目盛板（取引証明以外）　500g　74451,目盛板が平面で見やすくなってます。シンワ　手ばかり　平面目盛板（取引証明以外）　500g　74451[rn]
19-68116,http://tshop.r10s.jp/yminfo/cabinet/00713627/77055.jpg?fitin=700:700,30720.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　オートレベル　SA-32A　倍率32倍　球面足頭式三脚付　77055,レベル測定・墨出し作業に最適,"【ここがポイント！】 
 レベル測定・墨だし作業に最適 
 
 
 
　【商品詳細】 
標準偏差（km） ±1.0mm 
望遠鏡 正象 
倍率 32X 
対物レンズ有効径 40mm 
視界 1°30' 
最短合焦距離 0.5m 
スタジア乗数 100 
スタジア加数 0 
円形気泡管感度 8'/2mm 
最小水平目盛 1° 
自動補正機構 マグネットダンパー 
自動補正範囲 ±15' 
繰り返し精度 0.3 
サイズ 207×130×130 
重さ 1.30kg 
三脚取り付けねじ 5/8 
底板型式",シンワ　オートレベル　SA-32A　倍率32倍　球面足頭式三脚付　77055：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　オートレベル　SA-32A　倍率32倍　球面足頭式三脚付　77055,レベル測定・墨出し作業に最適。シンワ　オートレベル　SA-32A　倍率32倍　球面足頭式三脚付　77055[rn]
19-68117,http://tshop.r10s.jp/yminfo/cabinet/00713627/76390-76400.jpg?fitin=700:700,4800.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ブルーレベルPRO　マグネット付き　1200mm　76409,水平気泡管に蓄光樹脂使用！暗闇でも見える！マグネット付,"【ここがポイント！】 
 水平気泡管に蓄光樹脂を装着。クリアブルー溶液と極太ホワイトラインで視認性抜群。マグネット付なので鉄骨工事に便利。 
 全気泡管±1.0mm/mと高精度を実現 
 水平・垂直・45度はもちろんのこと、1/50・1/100勾配が測定できます。 
  
　【商品詳細】 
本体サイズ 1200×65×27mm 
重量 900g 
感度 0.35mm/m=0.0201° 
精度 ±1.0mm/m=0.0573°以内 
材質 本体：アルミ・ABS樹脂
気泡管：アクリル
液体：石油系液",シンワ　ブルーレベルPRO　マグネット付き　1200mm　76409：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ブルーレベルPRO　マグネット付き　1200mm　76409,水平気泡管に蓄光樹脂使用！暗闇でも見える！マグネット付。シンワ　ブルーレベルPRO　マグネット付き　1200mm　76409[rn]
19-68118,http://tshop.r10s.jp/yminfo/cabinet/00713627/76045.jpg?fitin=700:700,823.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ハンディレベルA100mm　76045,蓄光シート付気泡管,"【ここがポイント！】 
 超軽量で持ち運び便利。暗いところでも見える蓄光シート付。 
 V溝付でパイプも測定できます。 
 
 
 
　【商品詳細】 
本体サイズ 100×46×20mm 
重量 53g 
感度 0.5mm/m=0.0286° 
精度 ±2.5mm/m=0.1432°以内 
材質 本体：アルミ合金・プラスチック
気泡管：アクリル
液体：石油系液",シンワ　ハンディレベルA100mm　76045：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ハンディレベルA100mm　76045,蓄光シート付気泡管。シンワ　ハンディレベルA100mm　76045[rn]
19-68119,http://tshop.r10s.jp/yminfo/cabinet/00713627/76315-76306.jpg?fitin=700:700,2112.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　高級アルミH型レベル　450mm　76320写真は300mm品ですが商品は450mmです,6本線大型気泡管,"【ここがポイント！】 
 水平気泡管は基準線が左右に3本ずつあり、水平と1/50、1/100勾配測定ができます。水平垂直のほか45°も測定できます。 
 測定綿にはV字溝付。蓄光シート付気泡管です。 
 
【商品詳細】 
本体サイズ 450×55×25mm 
重量 315g 
感度 0.35mm/m=0.0201° 
精度 ±1.0mm/m=0.0573°以内 
材質 本体：アルミ
気泡管：アクリル
液体：石油系液",シンワ　高級アルミH型レベル　450mm　76320写真は300mm品ですが商品は450mmです：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　高級アルミH型レベル　450mm　76320写真は300mm品ですが商品は450mmです,6本線大型気泡管。シンワ　高級アルミH型レベル　450mm　76320写真は300mm品ですが商品は450mmです[rn]
19-68120,http://tshop.r10s.jp/yminfo/cabinet/00713627/76429.jpg?fitin=700:700,871.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ハンディレベルRevo　トリプルブルーマグネット付　76429,大型気泡管で見やすい！,"【ここがポイント！】 
 建築・土木・配管・電気・プラント設備等の工事に使用。 
 クリアブルーの溶液とホワイトラインで視認性抜群。 
 測定面にV字型溝付でパイプ測定もできます。マグネット付 
 
 
 
　【商品詳細】 
本体サイズ 120×53.5×16mm 
重量 62g 
感度 0.5mm/m=0.0286° 
精度 ±2.5mm/m=0.1432°以内 
材質 本体：ABS樹脂
気泡管：アクリル
液体：石油系液",シンワ　ハンディレベルRevo　トリプルブルーマグネット付　76429：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ハンディレベルRevo　トリプルブルーマグネット付　76429,大型気泡管で見やすい！。シンワ　ハンディレベルRevo　トリプルブルーマグネット付　76429[rn]
19-68121,http://tshop.r10s.jp/yminfo/cabinet/00713627/76062.jpg?fitin=700:700,408.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,【ネコポス可能】シンワ　ミニレベルG　キーホルダー型　76062,キーホルダーでどこにも持ち運び便利,"【ここがポイント！】 
 キーホルダーになり携帯に便利。 
 
　【商品詳細】 
本体サイズ 42×15×15mm 
重量 13g 
感度 0.5mm/m=0.0286° 
精度 ±2.5mm/m=0.1432°以内 
材質 本体：アクリル
気泡管：アクリル
液体：石油系液 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】シンワ　ミニレベルG　キーホルダー型　76062：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】シンワ　ミニレベルG　キーホルダー型　76062,キーホルダーでどこにも持ち運び便利。【ネコポス可能】シンワ　ミニレベルG　キーホルダー型　76062[rn]
19-68122,http://tshop.r10s.jp/yminfo/cabinet/00713627/77395.jpg?fitin=700:700,388.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,シンワ　ビスピッチマーカー用　ガイド定規用ストッパー　77395,ビスピッチマーカー用のガイド定規ストッパー,"【ここがポイント！】 
 ビスピッチマーカー用ガイド定規のストッパー",シンワ　ビスピッチマーカー用　ガイド定規用ストッパー　77395：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングシンワ　ビスピッチマーカー用　ガイド定規用ストッパー　77395,ビスピッチマーカー用のガイド定規ストッパー。シンワ　ビスピッチマーカー用　ガイド定規用ストッパー　77395[rn]
