19-20101,http://tshop.r10s.jp/voice/cabinet/stamp/md-07.jpg?fitin=700:700,2303.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　,"スクラップブッキングに最適な
「メメント」の<br>コンパクトタイプに１２色仲間入りしました<br>
こちらの新色１２色をまとめてお届け<BR>
201：モロッコ<BR>
302：ラブレター<BR>
507：エルダーベリー<BR>
602：ティールジール<BR>
607：ノーティカルブルー<BR>
706：ピスタチオ<BR>
708：オリーブグローブ<BR>
709：ノーザンパイン<BR>
802：ピーナッツブリトル<BR>
805：タフィークランチ<BR>
808：エスプレッソトリュフ<BR>
902：グレイフランネル<BR>
<BR>



サイズ：約縦50×横33×高さ20mm<br>
盤面サイズ：約24×39ｍｍ<br>
『メメント（MEMENTO）』（インク）の特徴<br>
透明感のある美しい発色が特徴の速乾性ダイイインクです。<br>
◎得にアート紙、コート紙などの光沢紙で、細かい図柄まで美しく発色します。<br>
◎普通紙の場合、乾きが早く、年賀状やスケジュールスタンプなど簡単に乾かしたい場合におすすめです。<br>
◎スタンプ以外にも、DTPに便利。エッジの着色をはじめ細かい塗り分けも簡単です。<br>
◎従来のダイインクに比べ、発色がより美しく、耐水性に優れています。<br>",ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　。ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】[rn]
19-20112,http://tshop.r10s.jp/voice/cabinet/stamp/es-104.jpg?fitin=700:700,464.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,スタンプエンボスインクパッド,　,,スタンプエンボスインクパッド：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スタンプエンボスインクパッド,　。スタンプエンボスインクパッド[rn]
19-20113,http://tshop.r10s.jp/voice/cabinet/stamp/5555-001.jpg?fitin=700:700,2072.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスヒーター　こどものかお　5555-001,　,"※本体カラーが、ローズピンクに変更されました<br>
エンボスパウダーをとかす時の必需品。<br>
エンボスパウダーは、オーブントースターや、
アイロン、ホットプレートなどを使って
とかすことができますが、
これらの道具を出して使うのは意外と面倒なもの。<br>
このヒーターは、軽量でコンパクトなスタイルで、
細身の先端ノズルによって効率よく作業ができます。<br>
エンボスパウダーだけでなく、マシュマロペンの
加熱にもお使いいただけます。<br>
形状が似ていますが、一般のヘアドライヤーでは温度が低すぎる上に風が強いので、エンボス加工にはお使いになれません。",エンボスヒーター　こどものかお　5555-001：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスヒーター　こどものかお　5555-001,　。エンボスヒーター　こどものかお　5555-001[rn]
19-20114,http://tshop.r10s.jp/voice/cabinet/stamp/5102-11.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜スーパーシルバー（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
<br /><br />※パウダーを溶かすには、１２０度の高温が必要です。<br />
オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
<br />
なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜スーパーシルバー（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜スーパーシルバー（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜スーパーシルバー（不透明タイプ）＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20115,http://tshop.r10s.jp/voice/cabinet/stamp/ep-303_01.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【NEW♪】エンボスパウダー　＜カッパー（不透明タイプ）＞　ツキネコ　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
      <br />
<br />
※パウダーを溶かすには、１２０度の高温が必要です。<br />
オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
<br />
なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th>
<td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
  <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",【NEW♪】エンボスパウダー　＜カッパー（不透明タイプ）＞　ツキネコ　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW♪】エンボスパウダー　＜カッパー（不透明タイプ）＞　ツキネコ　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。【NEW♪】エンボスパウダー　＜カッパー（不透明タイプ）＞　ツキネコ　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20116,http://tshop.r10s.jp/voice/cabinet/stamp2/ep-305_01.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜クリア（透明タイプ）＞　EP-305　消しゴムはんこやスクラップブッキングに　　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr>
  <th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><p><font size=""2"" color=""#333333"">スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
        <br>
        クリアは下のインクがそのまま浮き上がるパウダーです。<br>
  </font><font size=""2"" color=""#333333""><br />
      ※パウダーを溶かすには、１２０度の高温が必要です。<br />
      オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
      <br />
      なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
    </font></p></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜クリア（透明タイプ）＞　EP-305　消しゴムはんこやスクラップブッキングに　　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜クリア（透明タイプ）＞　EP-305　消しゴムはんこやスクラップブッキングに　　※宅配便のみ,　。エンボスパウダー　＜クリア（透明タイプ）＞　EP-305　消しゴムはんこやスクラップブッキングに　　※宅配便のみ[rn]
19-20117,http://tshop.r10s.jp/voice/cabinet/stamp/5102-017.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜プリズム＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
<br /><br />※パウダーを溶かすには、１２０度の高温が必要です。<br />
オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
<br />
なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜プリズム＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜プリズム＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜プリズム＞　こどものかお　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20118,http://tshop.r10s.jp/voice/cabinet/stamp/5102-05.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜スパークル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
      <br>
      スパークルは下のインクの色がそのまま浮き上がるパウダーです。<br /><br />※パウダーを溶かすには、１２０度の高温が必要です。<br />
オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
<br />
なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜スパークル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜スパークル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜スパークル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20119,http://tshop.r10s.jp/voice/cabinet/stamp/5102-08.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜ブライダル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr>
  <th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><p><font size=""2"" color=""#333333"">スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
    <br>
    ブライダルは、下のインクの色が少し白く曇ったパールカラーになります。<br>
  </font><font size=""2"" color=""#333333""><br />
      ※パウダーを溶かすには、１２０度の高温が必要です。<br />
      オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
      <br />
      なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
    </font></p></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜ブライダル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜ブライダル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜ブライダル＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20120,http://tshop.r10s.jp/voice/cabinet/stamp2/ep-301_01.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜ゴールド（不透明タイプ）＞　EP-301　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
<br /><br />※パウダーを溶かすには、１２０度の高温が必要です。<br />
オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
<br />
なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜ゴールド（不透明タイプ）＞　EP-301　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜ゴールド（不透明タイプ）＞　EP-301　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜ゴールド（不透明タイプ）＞　EP-301　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
19-20121,http://tshop.r10s.jp/voice/cabinet/scrap6/emboss_set_02.jpg?fitin=700:700,2400.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスアイテム３点セット　＜エンボスヒーター（こどものかお）、エンボスマーカー（ライター）、エンボスパウダー　ゴールド（ツキネコ）＞,スタッフおすすめ♪,"「エンボスを始めたい！」という方必見！<br>
エンボスヒーター、エンボスパウダー、エンボスマーカーのボイスオリジナル3点セットです。<br>
エンボスヒーターはエンボスパウダーをとかす時の必需品ではありますが、レジンの気泡消しに利用したり、小さなプラバンパーツ作成にも大活躍間違いなしです♪<br>
このヒーターは、軽量でコンパクトなスタイルで、細身の先端ノズルによって効率よく作業ができます。<br>
エンボスパウダーだけでなく、マシュマロペンの 加熱、さらにはシーリングワックスを溶かすのにもお使いいただけます。<br>
その他、布用ペンやスタンプのインクの加熱（ヒートセット）にも最適<br>
トールペイントの乾燥作業、プラモデルなどのモデリング作業、工作作業の補助ヒーターとしてなど、さまざまな用途にどうぞ！<br>
ちなみに、形状が似ていますが、一般のヘアドライヤーでは温度が低すぎる上に風が強いので、エンボス加工にはお使いになれません。<br>
<br>
<br>
＜セット内容＞<br>
■エンボスヒーター1点<br>
■エンボスマーカー（ライター）1点<br>
■エンボスパウダー（ゴールド）1点<br>",エンボスアイテム３点セット　＜エンボスヒーター（こどものかお）、エンボスマーカー（ライター）、エンボスパウダー　ゴールド（ツキネコ）＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスアイテム３点セット　＜エンボスヒーター（こどものかお）、エンボスマーカー（ライター）、エンボスパウダー　ゴールド（ツキネコ）＞,スタッフおすすめ♪。エンボスアイテム３点セット　＜エンボスヒーター（こどものかお）、エンボスマーカー（ライター）、エンボスパウダー　ゴールド（ツキネコ）＞[rn]
19-20122,http://tshop.r10s.jp/voice/cabinet/stamp/es-104.jpg?fitin=700:700,464.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,スタンプエンボスインクパッド,　,"エンボス加工に適した透明のインクパッドです。<br>
ゴールド、シルバー、ホワイトなどのエンボスパウダーを<br>
使用する際にお使いください。<br>
本体サイズ：97×67×19mm<br>
印面サイズ：76×47mm<br>",スタンプエンボスインクパッド：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スタンプエンボスインクパッド,　。スタンプエンボスインクパッド[rn]
19-20123,http://tshop.r10s.jp/voice/cabinet/stamp/5102-09.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,エンボスパウダー　＜プラチナ（不透明タイプ）＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　,"<table width=""453"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
スタンプした絵、あるいはエンボスペンで書いた線が乾かないうちに、このエンボスパウダーをふりかけ、エンボスヒーターなどで加熱すると、パウダーのついた部分だけが盛り上がり、定着します。
<br /><br />※パウダーを溶かすには、１２０度の高温が必要です。<br />
オーブントースター、ホットプレート、アイロンなどを使用することができますが、安全かつ簡単に作業するには エンボスヒーターのご利用をお勧めします。
<br />
なお、ヘアドライヤーはエンボスヒーターと形が似ていますが、エンボスパウダーを溶かすのに十分な高温とはならない上、 強い風によってエンボスパウダーが飛んでしまうのでこの作業には向いていません。
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">サイズ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">約32×32×70mm</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">容量</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
30ml</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td 
width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">そのほかのエンボス商品はこちらから<br>
        <br>
※こちらの商品はサイズの関係上、宅配便でのお届けとなります。<br>
あらかじめご了承くださいますようお願いいたします。</font></td></tr></table>",エンボスパウダー　＜プラチナ（不透明タイプ）＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨エンボスパウダー　＜プラチナ（不透明タイプ）＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ,　。エンボスパウダー　＜プラチナ（不透明タイプ）＞　消しゴムはんこやスクラップブッキングに　※宅配便のみ[rn]
