19-21501,http://tshop.r10s.jp/select-tool/cabinet/syoumoufukusizai/43505173.jpg?fitin=700:700,228.8000,,花・ガーデン・DIY > DIY・工具 > その他,【メール便可】建築の友 住まいのマニキュア 筆ペンタイプ単色 マホガニー [ 補修剤 フローリング 壁 木 ヒビ割れ キズ 傷 家具 大工道具 diy ],すりキズ、色あせの補修に&ldquo;住まいのマニキュア&rdquo;。,"色：17　マホガニー。　品番：MB-17<BR>■木製品のすりキズや色あせ部分を筆ペン感覚で補修できる。<BR>
■単品20 色ラインナップ。補修箇所に合った色をお選び下さい。<BR>
■床暖房OK。<BR>■通常発送日は２日～４日後です。",【メール便可】建築の友 住まいのマニキュア 筆ペンタイプ単色 マホガニー [ 補修剤 フローリング 壁 木 ヒビ割れ キズ 傷 家具 大工道具 diy ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品【メール便可】建築の友 住まいのマニキュア 筆ペンタイプ単色 マホガニー [ 補修剤 フローリング 壁 木 ヒビ割れ キズ 傷 家具 大工道具 diy ],すりキズ、色あせの補修に&ldquo;住まいのマニキュア&rdquo;。。【メール便可】建築の友 住まいのマニキュア 筆ペンタイプ単色 マホガニー [ 補修剤 フローリング 壁 木 ヒビ割れ キズ 傷 家具 大工道具 diy ][rn]
19-21532,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334480.jpg?fitin=700:700,1234.4000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　同軸ストリッパ－　バネ付　TS-5,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 同軸ケーブルの切断・芯線出し・皮むき 
 

【商品仕様】 
サイズ 100mm 
重量 50g 
適用コード 5C-2V・5C-FB",3.peaks　同軸ストリッパ&minus;　バネ付　TS-5：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　同軸ストリッパ&minus;　バネ付　TS-5,熟練の職人達がつくる3.peaksの商品です。3.peaks　同軸ストリッパ&minus;　バネ付　TS-5[rn]
19-21533,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334379.jpg?fitin=700:700,1912.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　ロングステンレスリ－ドペンチ　　165mmLS-05,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 鉄の同等製品と比較し47%もの軽量化。一回り大きいサイズです。まげる・つかむ・つまむ・ひっぱる作業に 
● 食品工場、水産加工、園芸、釣り、アウトドアなど水回りに安心して使えます。 
 

【商品仕様】 
サイズ 165mm 
重量 80g 
材質 ステンレス鋼 
硬さHRC 50～55（本体） 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　ロングステンレスリ&minus;ドペンチ　　165mmLS-05：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　ロングステンレスリ&minus;ドペンチ　　165mmLS-05,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　ロングステンレスリ&minus;ドペンチ　　165mmLS-05[rn]
19-21534,http://tshop.r10s.jp/yminfo/cabinet/diytool/wcc250.gif?fitin=700:700,3612.0000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　ワイヤ－クランプカッタ－　　250mmWCC-250,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● ワイヤーロープ3.0mm切断可能。鋭利な刃で強力に切断 
● 3種類の先端穴で各種クランプ管を圧着します 
 
【商品仕様】 
サイズ 250mm 
重量 380g 
材質 パナジウム鋼 
硬さHRC 60～65（刃部） 
穴サイズ 3.8、2.6、2.0mm 
 
 
【切断能力】 
ワイヤーロープ φ3.0mm",3.peaks　ワイヤ&minus;クランプカッタ&minus;　　250mmWCC-250：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　ワイヤ&minus;クランプカッタ&minus;　　250mmWCC-250,熟練の職人達がつくる3.peaksの商品です。3.peaks　ワイヤ&minus;クランプカッタ&minus;　　250mmWCC-250[rn]
19-21535,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334393.jpg?fitin=700:700,1249.6000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　グリ－ンカッタ－　ビニールグリップ付　200mmGC-200　強力切断,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 鍛造品ならではの強力な切断力 
 
【商品仕様】 
サイズ 200mm 
重量 270g 
材質 パナジウム鋼 
硬さHRC 60～65（刃部） 
 
 
【切断能力】 
鉄線 φ4.0mm 
銅線 φ4.0mm 
硬鋼線 φ1.5mm 
ピアノ線・ステン線 不可 
VVF3芯 不可 
IV線 不可",3.peaks　グリ&minus;ンカッタ&minus;　ビニールグリップ付　200mmGC-200　強力切断：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　グリ&minus;ンカッタ&minus;　ビニールグリップ付　200mmGC-200　強力切断,熟練の職人達がつくる3.peaksの商品です。3.peaks　グリ&minus;ンカッタ&minus;　ビニールグリップ付　200mmGC-200　強力切断[rn]
19-21536,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334343.jpg?fitin=700:700,1424.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　ミニリ－ドペンチ　　115mmSM-07　精密ミニシリーズ,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● ピンセットのように精密につかめる、素晴らしい作業精度をお約束。 
● 小型で扱いやすいサイズです。つかむ・潰す・曲げる・引っ張る作業に。 
 
 
【商品仕様】 
サイズ 115mm 
重量 65g 
材質 クロムバナジウム鋼 
硬さHRC 42～50（本体） 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　ミニリ&minus;ドペンチ　　115mmSM-07　精密ミニシリーズ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　ミニリ&minus;ドペンチ　　115mmSM-07　精密ミニシリーズ,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　ミニリ&minus;ドペンチ　　115mmSM-07　精密ミニシリーズ[rn]
19-21537,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334228.jpg?fitin=700:700,1456.0000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　強力ニッパ（穴付）　　ビニールグリップ付バネ付　150mmNP-150GH-S,熟練の職人達がつくる3.peaksの商品です,ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと,【ネコポス可能】3.peaks　強力ニッパ（穴付）　　ビニールグリップ付バネ付　150mmNP-150GH-S：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　強力ニッパ（穴付）　　ビニールグリップ付バネ付　150mmNP-150GH-S,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　強力ニッパ（穴付）　　ビニールグリップ付バネ付　150mmNP-150GH-S[rn]
19-21538,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334321.jpg?fitin=700:700,2019.2000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　ミニトップカッタ－　　115mmMTC-5,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 小型のトップカッター。連続作業が楽なコイルバネ。 
 

【商品仕様】 
サイズ 115mm 
重量 50g 
材質 バナジウム鋼 
硬さHRC 52～60（刃部） 
 
 

【切断能力】 
鉄線 不可 
銅線 不可 
ピアノ線・ステン線 不可 
ブラスチック φ1.5mm 
VVF2芯 不可 
より線 不可 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと


300円",【ネコポス可能】3.peaks　ミニトップカッタ&minus;　　115mmMTC-5：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　ミニトップカッタ&minus;　　115mmMTC-5,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　ミニトップカッタ&minus;　　115mmMTC-5[rn]
19-21539,http://tshop.r10s.jp/yminfo/cabinet/00123186/wls-620mb1.jpg?fitin=700:700,1840.0000,,花・ガーデン・DIY > DIY・工具 > その他,【smtb-TK】【頑張って送料無料！】ELPA スイッチ付耐雷サージタップ6P　2M　 WLS-LU620MB(W) コンセント6個　長さ2m,雷から家電を守るコンセントタップ,"<P><FONT size=""-1"">雷から家電を守る延長コード <BR>
【ここがポイント！】 <BR>
独立スイッチでムダな待機電力をカットします。6箇所させます <BR>
耐雷サージ付きの延長コード！ <BR>
本体は衝撃に強い難燃性ABS樹脂<BR>
差込口は熱やトラッキングに強いユリア樹脂採用<BR>
ホコリ防止の扉付<BR>
ACアダプターも使えるゆったりスペース<BR>
コードは保護被覆付き安全構造<BR>
<BR>
【商品仕様】 <BR>
コンセント 6箇所、独立スイッチ付き <BR>
長さ 2m<BR>
定格 AC125V、15A<BR>
容量 1500Wまで <BR>
使用温度範囲 -10℃～40℃<BR>
屋内専用<BR>
<BR>
関連商品<BR>
ELPA　タイマー付きあかりセンサーコンセント BA-T103SB </FONT></P>",【smtb-TK】【頑張って送料無料！】ELPA スイッチ付耐雷サージタップ6P　2M　 WLS-LU620MB(W) コンセント6個　長さ2m：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】ELPA スイッチ付耐雷サージタップ6P　2M　 WLS-LU620MB(W) コンセント6個　長さ2m,雷から家電を守るコンセントタップ。【smtb-TK】【頑張って送料無料！】ELPA スイッチ付耐雷サージタップ6P　2M　 WLS-LU620MB(W) コンセント6個　長さ2m[rn]
19-21540,http://tshop.r10s.jp/yminfo/cabinet/00700210/sa-28.jpg?fitin=700:700,7040.0000,,花・ガーデン・DIY > DIY・工具 > その他,【頑張って送料無料！】LEDソーラーセンサーライト キューブ SA-28手巻き機能付きなので緊急時でも充電できなくても使用可能置いても・持っても・取り付けても使用できます庭のセンサーライト・懐中電灯・ランタンとして使用できます,光のセンサーで自動点灯、自動消灯,"<IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/00700210/sa-28.jpg"" width=""100%""><BR>
      <IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/00700210/sa-28-1.jpg"" width=""100%""><br><IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/00700210/sa-28-2.jpg"" width=""100%""><br>

<P><FONT size=""-1"">【ここがポイント！】 <BR>
パワフルになって登場！！ちょっと変わったセンサーライト キューブ<BR>
今までは釘打ちなどが出来ず無防備だった共同住宅のベランダの防犯・照明に活躍、設置も置くだけの楽ちん使用！<BR>
キャンプ等アウトドアでの照明や緊急時・避難時の明かりにもご利用いただけます。<BR>
ランタンとして懐中電灯として防犯センサーライトして使用できます<BR>
手巻き機能(1分間回すと約5～6分点灯可能)、前方約8mの探知範囲の赤外線センサー機能、直射日光約8時間でフル充電のソーラー機能付き。<BR>
満充電でのセンサーライト使用は約700回、懐中電灯は約360分<BR>
防雨使用IP44<BR>
<BR>
【仕様一覧】<BR>
サイズ約145×142×高さ145mm<BR>
重量　約690g<BR>
材質　ABS樹脂<BR>
フル充電　直射日光8時間以上<BR>
<BR>
関連商品<BR>
センサーライト大集合<BR>
</FONT></P>",【頑張って送料無料！】LEDソーラーセンサーライト キューブ SA-28手巻き機能付きなので緊急時でも充電できなくても使用可能置いても・持っても・取り付けても使用できます庭のセンサーライト・懐中電灯・ランタンとして使用できます：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】LEDソーラーセンサーライト キューブ SA-28手巻き機能付きなので緊急時でも充電できなくても使用可能置いても・持っても・取り付けても使用できます庭のセンサーライト・懐中電灯・ランタンとして使用できます,光のセンサーで自動点灯、自動消灯。【頑張って送料無料！】LEDソーラーセンサーライト キューブ SA-28手巻き機能付きなので緊急時でも充電できなくても使用可能置いても・持っても・取り付けても使用できます庭のセンサーライト・懐中電灯・ランタンとして使用できます[rn]
19-21541,http://tshop.r10s.jp/yminfo/cabinet/00121755/led-ac2020.jpg?fitin=700:700,4960.0000,,花・ガーデン・DIY > DIY・工具 > その他,【頑張って送料無料！】ムサシ ライテックス(RITEX) 10W×2　LEDセンサーライト(2灯式) 「コンセント式」 LED-AC2020,360&deg;感知！門扉や玄関・倉庫の入り口などに,"<P><IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif"" border=""0""><BR>
<FONT size=""-1""><BR>
【ここがポイント！】 <BR>
10W高輝度LEDでシリーズ最高峰の明るさ。<BR>
電球・電池交換不要のメンテナンスフリー。<BR>
省電力で節電にも適しています。<BR>
<BR>
電球色レンズ付<BR>
付属の電球色レンズに交換すると白色光から暖かみのある電球色に変更できます。<BR>
<BR>
真横に向くから、通路を遠くまでてらせる。<BR>
※センサーに向かって左右に横切った場合は、敏感に反応しますが、センサーに向かって直進した場合は、極端に探知が鈍くなります。<BR>
夏場の周囲の温度が高く、人から出る体温との差が小さい場合は、探知が鈍くなり、ときには探知しない場合がある<BR>
<BR>
【商品仕様】 <BR>
サイズ:幅15.5×奥行12.8×高さ15.4cm(クランプ除く)<BR>
本体重量:590g(クランプ除く)<BR>
原産国:中国<BR>
電源:AC100V(50/60Hz) <BR>
消費電力:20W(待機時1W)<BR>
コード長:3m<BR>
電球:10W×2 高輝度白色LED(設計寿命約4万時間)<BR>
全光束:約1660ルーメン<BR>
電球色レンズ装着時:約1140ルーメン<BR>
センサー:(探知方式)焦電型赤外線センサー(探知範囲)約360°最長約8m<BR>
探知距離調節:遠-近<BR>
点灯時間設定:約5秒-約5分<BR>
点灯切替機能:昼(周囲が明るくても暗くても点灯)/夜(周囲が暗い時のみ点灯)<BR>
クランプ取付サイズ:(厚み)最少約15mm-最大約100mm<BR>
(パイプ径)最少約30mm-最大約85mm<BR>
設置場所:屋内・屋外用(防雨タイプIP44)<BR>
<BR>
<BR>
関連商品<BR>
LEDキャンドルライト 「ゆらめく暖色光」 乾電池式 AL-205 <BR>
LEDキャンドルライト 「7色に変化する光」 乾電池式 AL-206 <BR>
ライテックス(RITEX) 充電式LEDホームライト ホワイト AL-100 <BR>
ライテックス(RITEX) インテリアLEDセンサーライト ライトグレー ASL-080 <BR>
</FONT></P>",【頑張って送料無料！】ムサシ ライテックス(RITEX) 10W&times;2　LEDセンサーライト(2灯式) 「コンセント式」 LED-AC2020：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】ムサシ ライテックス(RITEX) 10W&times;2　LEDセンサーライト(2灯式) 「コンセント式」 LED-AC2020,360&deg;感知！門扉や玄関・倉庫の入り口などに。【頑張って送料無料！】ムサシ ライテックス(RITEX) 10W&times;2　LEDセンサーライト(2灯式) 「コンセント式」 LED-AC2020[rn]
19-21542,http://tshop.r10s.jp/yminfo/cabinet/00045481/img57143470.jpg?fitin=700:700,9752.8000,,花・ガーデン・DIY > DIY・工具 > その他,照明をエコしましょう！LED蛍光灯　Vega-Light　VLT-T18【smtb-TK】【頑張って送料無料！】（蛍光灯40W相当）,従来の蛍光灯の半分の電力で同等の明るさ！,"【ここがポイント！】 
● 従来の蛍光灯40Wに相当します。 
● 従来の蛍光管に比べ消費電力を約1/2に節約できますので、店鋪・工場・オフィス・学校・病院など、電気代を大幅にカットできます。
 
● 設計寿命約40,000時間と長寿命！取り替えの手間が省けます。 
● 蛍光管に比べあまり熱を発生しません。従来の蛍光管では難しかった環境で使用できるとともに冷房効率が上がります。 
● 外装は割れにくいポリカーボネートですので安全です。また、従来の蛍光管に比べ水銀・鉛を使用しない安全設計です。 
● 従来の蛍光管に比べ紫外線をほとんど発生しない人体にやさしい光です。また、虫が寄り付かない防虫効果があります。
 
● クリアホワイトと半透明ホワイトの2種類のカバーからお選び下さい。 
 

 

※取り付けにあたっての注意！！

・グロー管の場合
　器具についています、点灯管を外してそのままご使用いただけます。

・ラピット管の場合
　照明器具内安定器が必要なくなり、照明器具内の配線工事が必要になります。照明器具自体はそのままご使用いただけます。この工事は電気事業者でないとできません。　電気工事者にご相談願います。",照明をエコしましょう！LED蛍光灯　Vega-Light　VLT-T18【smtb-TK】【頑張って送料無料！】（蛍光灯40W相当）：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング照明をエコしましょう！LED蛍光灯　Vega-Light　VLT-T18【smtb-TK】【頑張って送料無料！】（蛍光灯40W相当）,従来の蛍光灯の半分の電力で同等の明るさ！。照明をエコしましょう！LED蛍光灯　Vega-Light　VLT-T18【smtb-TK】【頑張って送料無料！】（蛍光灯40W相当）[rn]
19-21543,http://tshop.r10s.jp/yminfo/cabinet/00123186/img57126329.jpg?fitin=700:700,739.2000,,花・ガーデン・DIY > DIY・工具 > その他,ELPA　あかりセンサースイッチ抜け止め防滴コンセント専用　BA-103SBクリスマスのイルミネーションや看板に最適,光センサー働きで暗くなるとスイッチONするコンセント！,"ここがポイント！】 
● 周囲が暗くなると自動で電源オン！
クリスマスのイルミネーションの自動点灯・消灯に！ 
● 屋外にある防雨コンセントに差し込むだけでセンサースイッチに！
※屋内でも使用可 
● 耐トラッキングカバー付プラグ 
● 夕暮れ時の明るい時・暗い時の２段階の点灯照度選択可能。 
● 防滴仕様",ELPA　あかりセンサースイッチ抜け止め防滴コンセント専用　BA-103SBクリスマスのイルミネーションや看板に最適：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングELPA　あかりセンサースイッチ抜け止め防滴コンセント専用　BA-103SBクリスマスのイルミネーションや看板に最適,光センサー働きで暗くなるとスイッチONするコンセント！。ELPA　あかりセンサースイッチ抜け止め防滴コンセント専用　BA-103SBクリスマスのイルミネーションや看板に最適[rn]
19-21544,http://tshop.r10s.jp/yminfo/cabinet/00045323/sv-5486.jpg?fitin=700:700,960.0000,,花・ガーデン・DIY > DIY・工具 > その他,【頑張って送料無料！】24LEDハンディワークライト　マグネット付SV-548624個のLEDで明るい！,懐中電灯として！明るい！,"<img src=http://image.rakuten.co.jp/yminfo/cabinet/00045323/sv-5486.jpg width=""100%"">
<P><FONT size=""-1"">【ここがポイント！】 <BR>
24個のLEDが付いています。明るさが約130ルーメンの光を放ちます。<BR>
フックと磁石が付いているので、スチールの壁などに取り付けての作業やフックを使用してつりさげての活用など様々な用途で使用できます。<BR>
コンパクトなデザインなので、車のダッシュボードの中などに収納出来ます<BR>
単3乾電池3本(別売り)で使用出来ます。<BR>
連続使用時間は、アルカリ乾電池使用で約7時間使用可能です。 <BR>
<BR>
【仕様一覧】<BR>
サイズ 210×60×30mm<BR>
重量　116g<BR>
材質　本体・フック部：ABS樹脂、滑り止め部：PVC樹脂<BR>
電源　単3乾電池3本<BR>
<BR>
関連商品<BR>
センサーライト<BR>
LEDライト<BR>
</FONT></P>",【頑張って送料無料！】24LEDハンディワークライト　マグネット付SV-548624個のLEDで明るい！：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】24LEDハンディワークライト　マグネット付SV-548624個のLEDで明るい！,懐中電灯として！明るい！。【頑張って送料無料！】24LEDハンディワークライト　マグネット付SV-548624個のLEDで明るい！[rn]
19-21545,http://tshop.r10s.jp/yminfo/cabinet/00121755/s-hb300.jpg?fitin=700:700,6000.0000,,花・ガーデン・DIY > DIY・工具 > その他,50%OFF　ライテックス(RITEX) 3WLEDライト　ハイブリッドソーラーライト電源を自動切り替え S-HB300,マグネットやフックでおてがる設置センサーライト！,"【ここがポイント！】 
 センサーで自動点灯、自動消灯。ソーラー発電+乾電池のハイブリッドソーラーライト。
  ワンタッチで連続点灯に切替可能。非常時は取り外して懐中電灯として使用できます。夜だけ点灯、昼も夜も点灯のモード切替。点灯時間切替可能。約5秒、約30秒、連続点灯に設定ができます。 
  防雨タイプ。雨に濡れる場所でも安心して設置できます。ベランダ・テラス・玄関・門扉・物置・ガレージ・事務所・店舗・工場・倉庫等の出入り口に 
 
 
 
　【商品詳細】 
ライト本体サイズ 本体/約W80×D95×",50%OFF　ライテックス(RITEX) 3WLEDライト　ハイブリッドソーラーライト電源を自動切り替え S-HB300：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング50%OFF　ライテックス(RITEX) 3WLEDライト　ハイブリッドソーラーライト電源を自動切り替え S-HB300,マグネットやフックでおてがる設置センサーライト！。50%OFF　ライテックス(RITEX) 3WLEDライト　ハイブリッドソーラーライト電源を自動切り替え S-HB300[rn]
19-21546,http://tshop.r10s.jp/yminfo/cabinet/justim/img58017315.jpg?fitin=700:700,10514.4000,,花・ガーデン・DIY > DIY・工具 > その他,【smtb-TK】【頑張って送料無料！】LED蛍光灯　20W型　φ30×580mm,従来の蛍光灯の半分の電力で同等の明るさ！,"【ここがポイント！】 
● 従来の蛍光灯20Wに相当します。 
● 従来の蛍光管に比べ消費電力を約1/2に節約できますので、店鋪・工場・オフィス・学校・病院など、電気代を大幅にカットできます。
 
● 設計寿命約40,000時間と長寿命！取り替えの手間が省けます。 
● 蛍光管に比べあまり熱を発生しません。従来の蛍光管では難しかった環境で使用できるとともに冷房効率が上がります。 
● 外装は割れにくいポリカーボネートですので安全です。また、従来の蛍光管に比べ水銀・鉛を使用しない安全設計です。 
● 従来の蛍光管に比べ紫外線をほとんど発生しない人体にやさしい光です。また、虫が寄り付かない防虫効果があります。",【smtb-TK】【頑張って送料無料！】LED蛍光灯　20W型　φ30&times;580mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】LED蛍光灯　20W型　φ30&times;580mm,従来の蛍光灯の半分の電力で同等の明るさ！。【smtb-TK】【頑張って送料無料！】LED蛍光灯　20W型　φ30&times;580mm[rn]
19-21547,http://tshop.r10s.jp/yminfo/cabinet/00123186/img57093158.jpg?fitin=700:700,968.0000,,花・ガーデン・DIY > DIY・工具 > その他,光センサー付　デジタルタイマーコンセント　ELPA　タイマー付きあかりセンサースイッチBA-T103SBクリスマスのイルミネーションや看板に最適,光センサー働きで暗くなるとスイッチONタイマーでOFF,"ここがポイント！】 
● 周囲が暗くなると自動で電源オン！
クリスマスのイルミネーションの自動点灯・消灯に！ 
● 屋外にある防雨コンセントに差し込むだけでセンサースイッチに！
※屋内でも使用可 
● 耐トラッキングカバー付プラグ 
● 夕暮れ時の明るい時・暗い時の２段階の点灯照度選択可能。 
● 3段階切替OFFタイマー付（連続・約4時間・約8時間） 
● 一度設定すると毎日くり返し作動 
● 防滴仕様",光センサー付　デジタルタイマーコンセント　ELPA　タイマー付きあかりセンサースイッチBA-T103SBクリスマスのイルミネーションや看板に最適：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング光センサー付　デジタルタイマーコンセント　ELPA　タイマー付きあかりセンサースイッチBA-T103SBクリスマスのイルミネーションや看板に最適,光センサー働きで暗くなるとスイッチONタイマーでOFF。光センサー付　デジタルタイマーコンセント　ELPA　タイマー付きあかりセンサースイッチBA-T103SBクリスマスのイルミネーションや看板に最適[rn]
19-21548,http://tshop.r10s.jp/yminfo/cabinet/00121755/led-ac507.jpg?fitin=700:700,4267.2000,,花・ガーデン・DIY > DIY・工具 > その他,50%OFF　ライテックス(RITEX) 7WLED多機能型センサーライトセンサー探知でライトが点滅 LED-AC507,AC100V+高輝度LEDセンサーライト！,"【ここがポイント！】 
 AC100V接続のLEDセンサーライトに多機能タイプが登場。あかるく省エネ長寿命。  
電気代が約1/9。低赤外線・低UVで発熱が少なく虫が集まりにくい安心の光  ほんのり点灯機能。点滅フラッシングモード
赤色LED常時点滅。24時間しっかり警戒。センサー探知時は高速点滅 
 かんたん取付け。クランプ式でネジを使わず挟むだけ。ネジ止め、市販ステンレスバンド(別売)でも可能 
 防雨タイプ。雨に濡れる場所でも安心して設置できます。ベランダ・テラス・玄関・門扉・物置・ガレージ・事務所",50%OFF　ライテックス(RITEX) 7WLED多機能型センサーライトセンサー探知でライトが点滅 LED-AC507：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング50%OFF　ライテックス(RITEX) 7WLED多機能型センサーライトセンサー探知でライトが点滅 LED-AC507,AC100V+高輝度LEDセンサーライト！。50%OFF　ライテックス(RITEX) 7WLED多機能型センサーライトセンサー探知でライトが点滅 LED-AC507[rn]
