10-24301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003871912.jpg?fitin=700:700,1084.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1[rn]
10-24312,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820578.jpg?fitin=700:700,1615.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　はんだリール台（２段式）【ST-52】(3322556) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1kg巻までのはんだを搭載可能です。<br>●ベースが重く安定性があります。<br>●はんだがもつれないガイド付です。<br>●移動に便利な取手付です。",『カード対応OK！』■〒太洋電機産業/グット　はんだリール台（２段式）【ST-52】(3322556) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　はんだリール台（２段式）【ST-52】(3322556) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒太洋電機産業/グット　はんだリール台（２段式）【ST-52】(3322556) 受注単位：1[rn]
10-24313,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805853.jpg?fitin=700:700,10854.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ハッコーＦＴ－７００　１００Ｖ　平型プラグ【FT700-01】(3597792) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●酸化したコテ先に軟らかい回転ブラシで、ダメージを与えずに酸化物の除去ができます。",『カード対応OK！』■〒白光/白光　ハッコーＦＴ&minus;７００　１００Ｖ　平型プラグ【FT700-01】(3597792) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ハッコーＦＴ&minus;７００　１００Ｖ　平型プラグ【FT700-01】(3597792) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒白光/白光　ハッコーＦＴ&minus;７００　１００Ｖ　平型プラグ【FT700-01】(3597792) 受注単位：1[rn]
10-24314,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005160555.jpg?fitin=700:700,85384.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ハッコーＦＡ－４３０　１００Ｖ　２極接地プラグ【FA430-01】(3843998) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●静音設計なのにパワフルな吸引力風量調整と自立するダクトで有害な煙をキャッチします。<br>●フィルター交換お知らせ機能付です。",『カード対応OK！』■〒白光/白光　ハッコーＦＡ&minus;４３０　１００Ｖ　２極接地プラグ【FA430-01】(3843998) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ハッコーＦＡ&minus;４３０　１００Ｖ　２極接地プラグ【FA430-01】(3843998) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒白光/白光　ハッコーＦＡ&minus;４３０　１００Ｖ　２極接地プラグ【FA430-01】(3843998) 受注単位：1[rn]
10-24315,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820577.jpg?fitin=700:700,983.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　はんだリール台【ST-51】(3322548) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1kg巻までのはんだを搭載可能です。<br>●ベースが重く安定性があります。<br>●はんだがもつれないガイド付です。<br>●移動に便利な取手付です。",『カード対応OK！』■〒太洋電機産業/グット　はんだリール台【ST-51】(3322548) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　はんだリール台【ST-51】(3322548) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒太洋電機産業/グット　はんだリール台【ST-51】(3322548) 受注単位：1[rn]
10-24316,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436173.jpg?fitin=700:700,1036.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース“ゲルベース”【CB-M5】(4131312) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊ウレタンゲルの自己粘着力で部品を保持します。<br>●表面をメッシュにすることで真空装置が無くてもデバイスをピックアップします。（フラットタイプはメッシュ無し）<br>●ゲル・ケース・トレイ共に導電性があります。<br>●ケース、トレイ共に積み重ねて搬送・保管できます。",『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-M5】(4131312) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-M5】(4131312) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-M5】(4131312) 受注単位：1[rn]
10-24317,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823796.jpg?fitin=700:700,509.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　グラウンドコードＥＰＣ１８【EPC-18】(3713733) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●マット連結ゲル（ホック付）やグラウンドタップに接続することができます。",『カード対応OK！』■〒ベッセル/ベッセル　グラウンドコードＥＰＣ１８【EPC-18】(3713733) 受注単位：1：クローバー資材館,『カード対応OK！』■〒ベッセル/ベッセル　グラウンドコードＥＰＣ１８【EPC-18】(3713733) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒ベッセル/ベッセル　グラウンドコードＥＰＣ１８【EPC-18】(3713733) 受注単位：1[rn]
10-24318,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820616.jpg?fitin=700:700,1212.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-203】(2976897) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●靴底にあたる部分がナシ面で滑りにくくなっています。<br>●太い導電繊維が入っているので導電性に優れています。<br>●かかと部分は伸縮性の高いナイロンゴム仕様です。",『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-203】(2976897) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-203】(2976897) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-203】(2976897) 受注単位：1[rn]
10-24319,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003094595.jpg?fitin=700:700,607.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＩＣフォーム【ZC-03】(3599507) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高密度10mm厚の導電ウレタンフォームです。<br>●カーボンブラックおよび脂肪酸エステルを混入したポリエチレン製です。",『カード対応OK！』■〒エンジニア/エンジニア　ＩＣフォーム【ZC-03】(3599507) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＩＣフォーム【ZC-03】(3599507) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒エンジニア/エンジニア　ＩＣフォーム【ZC-03】(3599507) 受注単位：1[rn]
10-24320,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811138.jpg?fitin=700:700,4041.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去サービスキット【AS-601】(2954818) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ちょっとした作業に便利なサービスキットです。ワークマット、グランドコード、リストストラップ付です。",『カード対応OK！』■〒カスタム/カスタム　静電気除去サービスキット【AS-601】(2954818) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去サービスキット【AS-601】(2954818) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去サービスキット【AS-601】(2954818) 受注単位：1[rn]
10-24321,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863718.jpg?fitin=700:700,12150.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ペタロ－ラ－【PR230】(2821427) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●平面上のゴミ除去に最適なノーマルタイプです。<br>●粘着剤、シリカ成分を使用していません。<br>●ゴムに付着したゴミは、洗浄再生可能な専用の転写シートで取り除きます。<br>●粘着ゴムのみの交換が可能です。",『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;【PR230】(2821427) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;【PR230】(2821427) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　ペタロ&minus;ラ&minus;【PR230】(2821427) 受注単位：1[rn]
10-24322,,1437.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1401BT25】(4718976)メタルリストストラップ アジャスタ付 受注単位1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●長さ調整のできるバンドです。<br>●バンドにステンレスを採用し発じんを抑えたアースバンドです。<br>●クリーンルーム内での人体の静電除去に。<br>●グランドコード長さ(m):2.5<br>●コード全長(cm):68<br>●コイル部長さ(cm):25<br>●質量(g):55<br>●アジャスター付バンド<br>●ステンレスバンド1ＭΩ抵抗内蔵<br>●バンド・コード・ワニ口クリップ付<br>●バンド部:ステンレス<br>",『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1401BT25】(4718976)メタルリストストラップ アジャスタ付 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1401BT25】(4718976)メタルリストストラップ アジャスタ付 受注単位1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒（株）ブラストン/ブラストン【BSC-CS1401BT25】(4718976)メタルリストストラップ アジャスタ付 受注単位1[rn]
10-24323,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436172.jpg?fitin=700:700,1555.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エクシールコーポレーション/エクシール　ゴミホコリ除去シート“半導電ゲルシート”２００Ｘ１００ｍｍ【E3030-2010】(4131363) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊ウレタンゲルの自己粘着力でホコリを除去します。<br>●汚れたら水洗いで繰り返しご使用いただけます。",『カード対応OK！』■〒エクシールコーポレーション/エクシール　ゴミホコリ除去シート&ldquo;半導電ゲルシート&rdquo;２００Ｘ１００ｍｍ【E3030-2010】(4131363) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エクシールコーポレーション/エクシール　ゴミホコリ除去シート&ldquo;半導電ゲルシート&rdquo;２００Ｘ１００ｍｍ【E3030-2010】(4131363) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒エクシールコーポレーション/エクシール　ゴミホコリ除去シート&ldquo;半導電ゲルシート&rdquo;２００Ｘ１００ｍｍ【E3030-2010】(4131363) 受注単位：1[rn]
10-24324,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820614.jpg?fitin=700:700,1102.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-201】(2954672) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●太い導電繊維が入っているので導電性に優れています。<br>●足首を任意調節できるマジックテープ付です。<br>●かかと部分と接地面部はコーティングラバー仕様です。",『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-201】(2954672) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-201】(2954672) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去フットストラップ【AS-201】(2954672) 受注単位：1[rn]
10-24325,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436173.jpg?fitin=700:700,1036.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース“ゲルベース”【CB-S7】(4131347) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊ウレタンゲルの自己粘着力で部品を保持します。<br>●表面をメッシュにすることで真空装置が無くてもデバイスをピックアップします。（フラットタイプはメッシュ無し）<br>●ゲル・ケース・トレイ共に導電性があります。<br>●ケース、トレイ共に積み重ねて搬送・保管できます。",『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-S7】(4131347) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-S7】(4131347) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒エクシールコーポレーション/精密デバイス搬送ケース&ldquo;ゲルベース&rdquo;【CB-S7】(4131347) 受注単位：1[rn]
10-24326,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002847333.jpg?fitin=700:700,918.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-10】(2954621) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ゴムバンド式で腕の太い方でも長さ調整可能なリストストラップです。",『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-10】(2954621) 受注単位：1：クローバー資材館,『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-10】(2954621) 受注単位：1,生産加工用品\はんだ・静電気対策用品\リスト・フットストラップ。『カード対応OK！』■〒カスタム/カスタム　静電気除去リストバンド【AS-105-10】(2954621) 受注単位：1[rn]
10-24327,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863722.jpg?fitin=700:700,8100.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　転写シ－ト【TS-B5】(2821575) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ペタローラー、ペタペン、ペタへらに付着したゴミを転写シートに移して、取り除きます。<br>●水洗いで何回でも使用可能です。",『カード対応OK！』■〒アトム興産/アトム　転写シ&minus;ト【TS-B5】(2821575) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　転写シ&minus;ト【TS-B5】(2821575) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策異物除去具。『カード対応OK！』■〒アトム興産/アトム　転写シ&minus;ト【TS-B5】(2821575) 受注単位：1[rn]
