10-134501,http://tshop.r10s.jp/1boxcar/cabinet/toptul/dfbb2206.jpg?fitin=700:700,2224.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,TOPTUL プロシリーズ ラジオペンチ 150mm DFBB2206 トップツル,メーカーお取り寄せ品となります。,精密機器等の組立、修理に最適です。先端部は強靭にできており、くわえ、折り曲げ作業に便利です。<br>仕様：ストレート<br>グリップ：エルゴノミック<br>サイズ：150mm,TOPTUL プロシリーズ ラジオペンチ 150mm DFBB2206 トップツル：カー用品・家電通販の1BOX,カー用品販売通販1boxアルファードエルグランドハイエースカーライフarwinアーウィンポータブルＤＶＤプレイヤーTOPTUL プロシリーズ ラジオペンチ 150mm DFBB2206 トップツル,メーカーお取り寄せ品となります。。TOPTUL プロシリーズ ラジオペンチ 150mm DFBB2206 トップツル[rn]
10-134512,,15478.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,■〒ＫＮＩＰＥＸ社/クニペックス　圧着ペンチ　プレシフォース　２２０ｍｍ【9752-37】(4469810)受注単位:1,作業用品\電設工具\圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
●てこの原理を最大限利用するデザインにより、通常の圧着プライヤーよりも30％まで握力を低減し、圧着力の再調整も可能です。●最適なハンドル位置、軽量なボディー、ショートタイプのデザイン、人間工学に基づいたハンドル形状により大変作業しやすくなっています。●ハンダ付けを必要としない端子などの圧着作業に。●圧着端子(mm[[の2乗]])接続端子用:熱収縮チューブコネクター用0.5、6.0●圧着端子(mm[[の2乗]])絶縁端子用:-●圧着端子(mm[[の2乗]])裸端子用:-●全長(mm):220●質量(g):478",■〒ＫＮＩＰＥＸ社/クニペックス　圧着ペンチ　プレシフォース　２２０ｍｍ【9752-37】(4469810)受注単位:1：クローバー資材館,■〒ＫＮＩＰＥＸ社/クニペックス　圧着ペンチ　プレシフォース　２２０ｍｍ【9752-37】(4469810)受注単位:1,作業用品\電設工具\圧着工具。■〒ＫＮＩＰＥＸ社/クニペックス　圧着ペンチ　プレシフォース　２２０ｍｍ【9752-37】(4469810)受注単位:1[rn]
10-134513,http://tshop.r10s.jp/yminfo/cabinet/00076204/hrc-d14.jpg?fitin=700:700,1760.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　丸ペンチ先細タイプ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HRC-D14,握りやすく水に濡れてもすべらない。丸め作業に。,"【ここがポイント！】 
● プロから初心者まで使えるプロホビーシリーズにヨーロッパの一流グリップメーカーと共同開発した高級グリップを搭載。スプリング付。 
● 線材の丸め加工に丸ペンチ。先細タイプ。切断能力なし。 
 
 
【商品仕様】 
サイズ 120mm 
A 121m 
B 23.4mm 
C 50mm 
D 6mm 
E -° 
重量 75g 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　丸ペンチ先細タイプ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HRC-D14：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　丸ペンチ先細タイプ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HRC-D14,握りやすく水に濡れてもすべらない。丸め作業に。。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　丸ペンチ先細タイプ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HRC-D14[rn]
10-134514,http://tshop.r10s.jp/yminfo/cabinet/00076204/pl-724.jpg?fitin=700:700,1928.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部フラット）　125mmPL-725,ジョイント部まで刃が付いている！プラスチック用！,"【ここがポイント！】 
● プラスチック専用のニッパーです。平らな刃面のフラットタイプ。開口を楽にするコイルスプリング付 
● ジョイント部まで刃がついていますので、切断物を刃元まで差し込んでも切断できます。 
 
 
【商品仕様】 
サイズ 125mm 
A 129mm 
B 18.4mm 
C 51mm 
D 9.5mm 
E 15° 
重量 85g 
 
 
【切断能力】 
ABS樹脂 φ4.0mm 
金属系 切断不可 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部フラット）　125mmPL-725：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部フラット）　125mmPL-725,ジョイント部まで刃が付いている！プラスチック用！。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部フラット）　125mmPL-725[rn]
10-134515,http://tshop.r10s.jp/yminfo/cabinet/00076204/km-037h.jpg?fitin=700:700,1783.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー付）　スプリング付　125mmKM-037H,錆に強いステンレス製、軽さと剛性を両立。,"【ここがポイント！】 
● ステンレス製で軽さと剛性を両立。錆にも強い。ハンドルは握りやすいハード仕様。リードキャッチャー付。スプリング付。 
 
 
【商品仕様】 
サイズ 125mm 
A 128mm 
B 11mm 
C 45mm 
D 7mm 
E 20° 
重量 52g 
 
 
【切断能力】 
軟鉄線 φ0.2～0.9mm 
軟銅線 φ0.2～1.2mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー付）　スプリング付　125mmKM-037H：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー付）　スプリング付　125mmKM-037H,錆に強いステンレス製、軽さと剛性を両立。。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー付）　スプリング付　125mmKM-037H[rn]
10-134516,http://tshop.r10s.jp/yminfo/cabinet/00076204/s-027.jpg?fitin=700:700,2301.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スナップリングフライヤー　軸・穴両用タイプ140mm軸用22-52mm、穴用22-52mmS-027,1丁で軸用の直・曲、穴用の直・曲4通り可能,"【ここがポイント！】 
● C型スナップリングの着脱用工具です。この1丁で軸用の直・曲、穴用の直・曲4通りに使い分け出来ます。 
 
 
【商品仕様】 
サイズ 140mm 
A 143mm 
B 80mm 
C 95mm 
D 9mm 
E 65° 
重量 85g 
 
 
【使用範囲】 
軸用 20～52mm 
穴用 20～55mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スナップリングフライヤー　軸・穴両用タイプ140mm軸用22-52mm、穴用22-52mmS-027：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スナップリングフライヤー　軸・穴両用タイプ140mm軸用22-52mm、穴用22-52mmS-027,1丁で軸用の直・曲、穴用の直・曲4通り可能。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スナップリングフライヤー　軸・穴両用タイプ140mm軸用22-52mm、穴用22-52mmS-027[rn]
10-134517,http://tshop.r10s.jp/yminfo/cabinet/00076204/hr-d34.jpg?fitin=700:700,2072.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ワイヤーループフライヤー　110mmスプリングは片側固定構造HR-D34,線材の円加工に3段階（細・中・大）,"【ここがポイント！】 
● プロから初心者まで使えるプロホビーシリーズ。線材の円加工にSφ1.5、Mφ2.0、Lφ3.0 
● スプリングは片側固定構造 
 
 
【商品仕様】 
サイズ 110mm 
A 110mm 
B 15.4mm 
C 50mm 
D 6mm 
E - 
重量 55g 
 
 
【対象線材】 
古美9ピン φ1.0mm以下 
軟銅線 φ1.0mm以下 
軟鉄線 φ0.9mm以下 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ワイヤーループフライヤー　110mmスプリングは片側固定構造HR-D34：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ワイヤーループフライヤー　110mmスプリングは片側固定構造HR-D34,線材の円加工に3段階（細・中・大）。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ワイヤーループフライヤー　110mmスプリングは片側固定構造HR-D34[rn]
10-134518,http://tshop.r10s.jp/yminfo/cabinet/00076204/hnc-d04.jpg?fitin=700:700,1889.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmツーコンポーネンツハンドルシリーズ　スプリング付HNC-D04,握りやすく水に濡れてもすべらない。線材やプラスチックの切断に,"【ここがポイント！】 
● プロから初心者まで使えるプロホビーシリーズにヨーロッパの一流グリップメーカーと共同開発した高級グリップを搭載。スプリング付。 
● 線材やプラスチックの切断に便利なニッパー 
 
 
【商品仕様】 
サイズ 110mm 
A 116mm 
B 13.5mm 
C 50mm 
D 10mm 
E 15° 
重量 70g 
 
 
【切断能力】 
軟鉄線 φ1.0mm 
軟銅線 φ1.2mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmツーコンポーネンツハンドルシリーズ　スプリング付HNC-D04：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmツーコンポーネンツハンドルシリーズ　スプリング付HNC-D04,握りやすく水に濡れてもすべらない。線材やプラスチックの切断に。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmツーコンポーネンツハンドルシリーズ　スプリング付HNC-D04[rn]
10-134519,http://tshop.r10s.jp/yminfo/cabinet/00076204/oe-0557-l.jpg?fitin=700:700,892.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ライツール　両口スパナ　12×14OE-1214-L,従来の工具に比べて大幅な軽量化,"【ここがポイント！】 
● 極限まで軽量化を測った両口スパナ 
 
 
【商品仕様】 
サイズ 12×14mm 
A 142mm 
B 29.5mm 
C 26mm 
D 6mm 
重量 51g 
 従来品70g　軽量率27.1% 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ライツール　両口スパナ　12&times;14OE-1214-L：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ライツール　両口スパナ　12&times;14OE-1214-L,従来の工具に比べて大幅な軽量化。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ライツール　両口スパナ　12&times;14OE-1214-L[rn]
10-134520,http://tshop.r10s.jp/yminfo/cabinet/00076204/pl-736l.jpg?fitin=700:700,2416.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）左用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736L,左利き・プラスチック専用,"【ここがポイント！】 
● 人間工学を追求し理想的なエルゴノミックデザインコンセプトで開発されたプラスチック用のニッパーです。手首の角度を無理のない自然体に保ち作業時の疲労を軽減します。左利き用のニッパーです。 
● プラスチック専用。丸い刃面のスタンダードタイプ。スプリング付。 
 
 
【商品仕様】 
サイズ 150mm 
A 154mm 
B 20.6mm 
C 53mm 
D 10.5mm 
E 15° 
重量 125g 
 
 
【切断能力】 
ABS樹脂 φ5.0mm 
金属系 切断不可",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）左用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736L：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）左用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736L,左利き・プラスチック専用。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）左用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736L[rn]
10-134521,http://tshop.r10s.jp/yminfo/cabinet/00076204/hbc-d04.jpg?fitin=700:700,1783.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　先曲がりラジオペンチ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HBC-D04,握りやすく入り組んでいる狭いところに便利。,"【ここがポイント！】 
● プロから初心者まで使えるプロホビーシリーズにヨーロッパの一流グリップメーカーと共同開発した高級グリップを搭載。スプリング付。 
● 入り組んでいる狭いところに便利。切断能力なし。 
 
 
【商品仕様】 
サイズ 120mm 
A 120m 
B 22.5mm 
C 50mm 
D 6mm 
E 60° 
重量 75g 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　先曲がりラジオペンチ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HBC-D04：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　先曲がりラジオペンチ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HBC-D04,握りやすく入り組んでいる狭いところに便利。。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　先曲がりラジオペンチ　120mmツーコンポーネンツハンドルシリーズ　スプリング付HBC-D04[rn]
10-134522,http://tshop.r10s.jp/yminfo/cabinet/00076204/hmc-100.jpg?fitin=700:700,10301.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハンディープロテクターモールカッター　ラチェット式　切断100mmまでHMC-100,片手で操作で切るワンタッチ開口式,"【ここがポイント！】 
● 片手で操作できるワンタッチ開口式のプロテクターモールカッターです。直角・斜め45°を正確にカット。ラチェット式です。 
 
 
【商品仕様】 
切断外径 100mmまで 
A 317mm 
B 104mm 
C 51mm 
D 18mm 
重量 670g 
 
 
<TABLE border=0>
 <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>

   <TR>
      <TD>
      <P><FONT size=-1>パイプカッター</FONT></P>
      </TD>
    </TR>

    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

    

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハンディープロテクターモールカッター　ラチェット式　切断100mmまでHMC-100：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハンディープロテクターモールカッター　ラチェット式　切断100mmまでHMC-100,片手で操作で切るワンタッチ開口式。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハンディープロテクターモールカッター　ラチェット式　切断100mmまでHMC-100[rn]
10-134523,http://tshop.r10s.jp/yminfo/cabinet/00076204/sr-306.jpg?fitin=700:700,1692.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ラジオペンチ　150mmSR-306,砲金サンドイッチ構造搭載で動きがなめらか,"【ここがポイント！】 
● 可動部の一部にに砲金を使用したスムースローテーション構造を搭載。強固な耐久性となめらかな可動！ 
● 滑りづらいエラストマーハンドル。アゴ部分はビニールコードの皮膜剥離や圧着に使用可能。 
 
 
【商品仕様】 
サイズ 150mm 
A 165mm 
B 50mm 
C 54mm 
D 10mm 
E 17mm 
重量 130g 
 
 
【切断能力】 
硬線 φ1.6mm 
軟線 φ2.0mm 
 <TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ラジオペンチ　150mmSR-306：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ラジオペンチ　150mmSR-306,砲金サンドイッチ構造搭載で動きがなめらか。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ラジオペンチ　150mmSR-306[rn]
10-134524,http://tshop.r10s.jp/yminfo/cabinet/00076204/fc-566.jpg?fitin=700:700,2263.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハイグレード　ザ・パワーコンビペンチ　180mm砲金サンドイッチ構造　X軸だけでなくY軸にも砲金を使用滑らかさが全く違います！FC-567,究極の円滑と耐久性を併せ持つフラッグシップモデル,"【ここがポイント！】 
● 可動部に砲金を使用し、世界初の砲金サンドイッチ構造（特許）。究極の円滑と耐久性を持つパワーコンビペンチ。本当になめらかさが違います！ 
 
 
【商品仕様】 
サイズ 180mm 
A 175mm 
B 33mm 
C 48mm 
D 12mm 
E 22mm 
重量 200g 
 
 
【切断能力】 
硬線 φ2.0mm 
軟線 φ2.6mm 
 <TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハイグレード　ザ・パワーコンビペンチ　180mm砲金サンドイッチ構造　X軸だけでなくY軸にも砲金を使用滑らかさが全く違います！FC-567：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハイグレード　ザ・パワーコンビペンチ　180mm砲金サンドイッチ構造　X軸だけでなくY軸にも砲金を使用滑らかさが全く違います！FC-567,究極の円滑と耐久性を併せ持つフラッグシップモデル。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ハイグレード　ザ・パワーコンビペンチ　180mm砲金サンドイッチ構造　X軸だけでなくY軸にも砲金を使用滑らかさが全く違います！FC-567[rn]
10-134525,http://tshop.r10s.jp/yminfo/cabinet/00076204/pl-714.jpg?fitin=700:700,1973.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　100mmPL-714,ジョイント部まで刃が付いている！プラスチック用！,"【ここがポイント！】 
● プラスチック専用のニッパーです。丸い刃面のスタンダードタイプ。開口を楽にするコイルスプリング付 
● ジョイント部まで刃がついていますので、切断物を刃元まで差し込んでも切断できます。 
 
 
【商品仕様】 
サイズ 100mm 
A 117mm 
B 16.8mm 
C 51mm 
D 8.5mm 
E 15° 
重量 70g 
 
 
【切断能力】 
ABS樹脂 φ3.0mm 
金属系 切断不可 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　100mmPL-714：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　100mmPL-714,ジョイント部まで刃が付いている！プラスチック用！。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　100mmPL-714[rn]
