10-66101,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275849.jpg?fitin=700:700,240.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用替刃　NO.3-W9　2本入,ジグソーの木工用替刃です！,"製品仕様　No.3-W9 
種　類 木工用 
用　途 60mm以下の一般木材用 
材　質 SK5 
山　数 9 
全長×全幅×厚さ 91×7.7×1.6mm 
質　量 5g 
入　数 2本 
発送の目安 午前中の注文で即日発送",ジグソー木工用替刃　NO.3-W9　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用替刃　NO.3-W9　2本入,ジグソーの木工用替刃です！。ジグソー木工用替刃　NO.3-W9　2本入[rn]
10-66112,http://tshop.r10s.jp/yminfo/cabinet/00045324/img51322633.jpg?fitin=700:700,1631.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　190CS190mm×1.6×52P,もう他の刃は使えない！,"ここがポイント！ 
●カラーレーザースリット採用にて、静音・制振性優れたチップソー！●薄刃設計で切り口スッキリ！ 
切断可能材料<BR>●木材●集成材●パークチルボード●MDF材●竹●合板●化粧合板●デコラ板 
外径/190mm 内径/20mm 刃厚/1.6mm 刃数/52P",木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　190CS190mm&times;1.6&times;52P：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　190CS190mm&times;1.6&times;52P,もう他の刃は使えない！。木工・竹・集成材用木工用消音チップソー　義経　MAT-TY　190CS190mm&times;1.6&times;52P[rn]
10-66113,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56172360.jpg?fitin=700:700,9296.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,【smtb-TK】【頑張って送料無料！】給水装置付　ダイヤモンドカッターDCW-105,石材・レンガ・タイル・コンクリートの切断などに威力を発揮！,"【ここがポイント！】●石材・レンガ・タイル・コンクリートの切断、筋付けに威力を発揮！●給水装置付。<BR>【商品詳細】電源：AC100V　50/60Hz　消費電力/900W　定格時間/30分　回転速度/（約）13,000min-1　最大切込深さ/（約）29mm（φ105mmダイヤモンドホイール使用時）　適用ホイール/外径105mmまたは110mm×穴径20mm　サイズ/（約）218×190×160mm　電源コード長/（約）2.0m　付属品/・105mmダイヤモンドホイール・給水装置一式（給水プラグ付）・スパナ2mm・ボックスレンチ9mm　発送の目安/即日発送",【smtb-TK】【頑張って送料無料！】給水装置付　ダイヤモンドカッターDCW-105：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】給水装置付　ダイヤモンドカッターDCW-105,石材・レンガ・タイル・コンクリートの切断などに威力を発揮！。【smtb-TK】【頑張って送料無料！】給水装置付　ダイヤモンドカッターDCW-105[rn]
10-66114,http://tshop.r10s.jp/yminfo/cabinet/00121755/lpt-187.jpg?fitin=700:700,3108.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,DANKE　10.8V　リチウムイオン充電式　丸のこ　LPT-187充電器・電池パックは別途お買い求め下さい。,電池パック1つでシリーズ全ての商品に取り付け可能！,"【ここがポイント！】 
 軽量・コンパクトで手軽に使えるDIYタイプ！ 電池パック1つでシリーズ全ての商品に取り付け可能！　あらゆるシーンで活躍します。 
 充電器・電池パックは付属しておりませんので、別途お買い求め下さい。

 
　【商品詳細】 
電圧 10.8V 
回転数 4800min (回／分) 
最大切断深さ 3～25mm/定盤90°3～12mm/定盤 
刃径 直径100mm（内径直径10mm） 
定盤角度調整 角度調整　　0～45° 
1回の充電の作業量 約5m（加工材　コンパネ　厚さ12mm） 
LEDライト 高輝度LED 
サイズ （約）長さ235ｘ幅150ｘ高さ120mm",DANKE　10.8V　リチウムイオン充電式　丸のこ　LPT-187充電器・電池パックは別途お買い求め下さい。：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングDANKE　10.8V　リチウムイオン充電式　丸のこ　LPT-187充電器・電池パックは別途お買い求め下さい。,電池パック1つでシリーズ全ての商品に取り付け可能！。DANKE　10.8V　リチウムイオン充電式　丸のこ　LPT-187充電器・電池パックは別途お買い求め下さい。[rn]
10-66115,http://tshop.r10s.jp/yminfo/cabinet/00045324/img51270086.jpg?fitin=700:700,2514.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,いろいろな材料が切断可能！スーパーオールマイティー　YSD-100 SOX100mm×1.1×32P,もう他の刃は使えない！,"丸ノコ・集塵丸ノコ　対応製品<BR>ここがポイント！ 
●新開発のパウダーメタルチップ採用にて、木材・アルミ・鉄・塩ビなど、いろいろな材料が切断可能！●超薄刃設計で切り口スッキリ！<BR>外径/100mm 内径/20mm 刃厚/1.1mm 刃数/32P",いろいろな材料が切断可能！スーパーオールマイティー　YSD-100 SOX100mm&times;1.1&times;32P：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングいろいろな材料が切断可能！スーパーオールマイティー　YSD-100 SOX100mm&times;1.1&times;32P,もう他の刃は使えない！。いろいろな材料が切断可能！スーパーオールマイティー　YSD-100 SOX100mm&times;1.1&times;32P[rn]
10-66116,http://tshop.r10s.jp/yminfo/cabinet/00601356/img55543368.jpg?fitin=700:700,4076.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,テーブルソー用　縦・横挽きチップソー　T-25580SII,直線切り・板切り・角度切り・斜め切りOK！,"【ここがポイント！】●テーブルソーに！●一般木材・合板の切断に！●鋭い切れ味！美しく仕上がる切断面！高寿命！【商品詳細】外径/約255mm　内径/約25.4mm　刃厚/約2.6mm　刃数/80P　最高使用回転数/約5,600min-1　付属品/ノコ刃内径変更カラー（φ25.4→φ15.9）　発送の目安/午前中のご注文は即日発送",テーブルソー用　縦・横挽きチップソー　T-25580SII：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングテーブルソー用　縦・横挽きチップソー　T-25580SII,直線切り・板切り・角度切り・斜め切りOK！。テーブルソー用　縦・横挽きチップソー　T-25580SII[rn]
10-66117,http://tshop.r10s.jp/yminfo/cabinet/00601356/img55544225.jpg?fitin=700:700,2544.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,テーブルソー用サイドテーブル  TBS-4106EII,テーブルソーの左右に取り付けられ、広いテーブルで作業効率UP！,【ここがポイント！】●スタンド付テーブルソー　TBS-4106STIIに取り付け可能です！●テーブルソー本体の両端どちらかにつぎだして使用します！●2つ利用して両端につぎたすことも可能です。<BR>【商品詳細】サイズ/465×203mm　付属品：六角ネジ/3個　六角ナット/3個　平ワッシャー/6個　Sワッシャー/3個　スケール（粘着シール付）/1個　発送の目安/午前中のご注文は即日発送,テーブルソー用サイドテーブル  TBS-4106EII：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングテーブルソー用サイドテーブル  TBS-4106EII,テーブルソーの左右に取り付けられ、広いテーブルで作業効率UP！。テーブルソー用サイドテーブル  TBS-4106EII[rn]
10-66118,http://tshop.r10s.jp/yminfo/cabinet/00601356/tbs-255pa.jpg?fitin=700:700,21181.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,【smtb-TK】【頑張って送料無料！】木工用スタンド付テーブルソー　チップソー付TBS-255PA,直線切り・板切り・角度切り・斜め切りOK！,"【ここがポイント！】 
● 木材を切断するのにご使用ください。※金属等は切断できません。 
● 強力なモーター内蔵で、回転低下を抑え、効率の良い作業が可能です。 
● チップソー傾斜　0～45°まで可能ですので、傾斜切断も可能です。 
● 角度切断は、0～180°まで広範囲に対応が可能です。 
● 自動閉開式の安全カバーを装置しています。 
● 安全性を配慮した電源スイッチ、チャイルドロック式機構採用です。 
● 平行ガイドや、レンチ、角度ゲージを保管できるホルダ付きです。 
● スタンド付で移動、作業効率が良い！ 
 
 
 

　【商品詳細】 
電　源 AC100V　50/60Hz 
消費電力 1,400W 
回転数 5,000回/分 
低格時間 約20分 
チップソー取付軸経 15.9mm 
適合チップソー 外径255mm×内径15.9mm 
最大切込深さ チップソー角度0° ⇒ 76mm 
チップソー角度45° ⇒ 63mm 
 
最大切断幅 255mm 
テーブル寸法 約660×415mm 
本体寸法 約W660×D600×H865mm 
重　量 約18.3kg（付属品含む） 
コード長さ 約2m 
付属品 ・縦・横挽きチップソー　255mm　60P 
・スタンド 
・平行ガイド 
・角度ゲージ 
・切断補助押し棒 
・チップソー交換用レンチ 
・六角棒レンチ 
・取扱説明書",【smtb-TK】【頑張って送料無料！】木工用スタンド付テーブルソー　チップソー付TBS-255PA：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】木工用スタンド付テーブルソー　チップソー付TBS-255PA,直線切り・板切り・角度切り・斜め切りOK！。【smtb-TK】【頑張って送料無料！】木工用スタンド付テーブルソー　チップソー付TBS-255PA[rn]
10-66119,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01482479/01704319/5331_01.jpg?fitin=700:700,16740.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,マキタ マルノコ ＜5331＞【電動工具 激安 通販 おすすめ 16200円以上は 送料無料 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機 スライド 集塵機】,ガイド 選び方 電気マルノコ 違い 比較 評判 レビュー,"特長<br>
■「滑らかな起動性」と「高速切断」を両立したソフトスタート仕様です。<br>
<br>
仕様<br>
●電源:AC100V<br>
●コード長さ:5ｍ<br>
●適用チップソー(mm)外径×穴径:147×20<br>
●切込深度(mm)45°:37<br>
●切込深度(mm)90°:57<br>
●質量(kg):2.8<br>
●無負荷回転数(min[[の-1乗]]):5500<br>
<br>
付属品<br>
●ボックスレンチ10ｍｍ（782223-9）<br>
●平行定規<br>
<br>
生産国<br>
日本<br>",マキタ マルノコ ＜5331＞【電動工具 激安 通販 おすすめ 16200円以上は 送料無料 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機 スライド 集塵機】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーマキタ マルノコ ＜5331＞【電動工具 激安 通販 おすすめ 16200円以上は 送料無料 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機 スライド 集塵機】,ガイド 選び方 電気マルノコ 違い 比較 評判 レビュー 。マキタ マルノコ ＜5331＞【電動工具 激安 通販 おすすめ 16200円以上は 送料無料 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機 スライド 集塵機】[rn]
10-66120,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01661949/02586713/cc16_01.jpg?fitin=700:700,40278.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,【送料無料】日立工機 高速切断機 405mm 100V ＜CC16＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機】,スライド 集塵機 ガイド 選び方 電気マルノコ 違い,"■単相電源で使用できる405mm！<br>
<br>
仕様<br>
●電源(V):単相100<br>
●電流(A)50/60Hz:15.0<br>
●消費電力(W):1,450<br>
●回転数min-1[回/分]50/60Hz:3,100<br>
●バイス開き:217<br>
●質量(kg):23<br>
●コード(m):3心・4<br>
<br>
標準付属品<br>
●トイシ(本体装着)<br>
●17mm型口スパナ<br>
●6mm棒スパナ<br>",【送料無料】日立工機 高速切断機 405mm 100V ＜CC16＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー【送料無料】日立工機 高速切断機 405mm 100V ＜CC16＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機】,スライド 集塵機 ガイド 選び方 電気マルノコ 違い。【送料無料】日立工機 高速切断機 405mm 100V ＜CC16＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 作業台 丸のこ 丸鋸 丸ノコ まるのこ 鉄切チップソー 切断機】[rn]
10-66121,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01661949/02586713/c6mbya2_01.jpg?fitin=700:700,16456.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,【送料無料】日立工機 深切り丸のこ 165mm ＜C6MBYA2(L) ・ アグレッシブグリーン＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い定規 作業台 丸のこ 丸鋸 丸ノコ まるのこ 刃 鉄切チップソー 切断機 部品 替え刃 電動】,電気マルノコ 電子マルノコ 内装 リフォーム 切断,"■作業に合わせてコードの出口を通常の横だしから工法だしへ簡単に切替えが可能。<br>
■新形状のレバーで、ゆるみにくく確実にリンクを固定。<br>
■墨線をベースの前後で合わせられ、窓抜き切断に便利。<br>
■墨線上の切り粉をブロワで吹き飛ばし、見やすく作業しやすい。<br>
■平行度微調整機構付き。<br>
<br>
仕様<br>
●ベース素材：アルミ<br>
●能力(mm)：<br>
　　のこ刃直径　165<br>
　　取り付け穴径　20<br>
　　切込み深さ　90°　0～66(2寸2分)<br>
　　　　　　　　45°　0～44(1寸5分)<br>
●電源(V)：単相100<br>
●電流(A)：11.0<br>
●消費電力(W)：1,050<br>
●回転数min-1[回/分]：5,000<br>
●質量(kg)：2.7<br>
●コード(m)：2心・4.5<br>
<br>
標準付属品<br>
●165mmチップソー(刃数52 コードNo.0032-0267)<br>
●ボックスパナ<br>
●六角棒スパナ<br>",【送料無料】日立工機 深切り丸のこ 165mm ＜C6MBYA2(L) ・ アグレッシブグリーン＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い定規 作業台 丸のこ 丸鋸 丸ノコ まるのこ 刃 鉄切チップソー 切断機 部品 替え刃 電動】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー【送料無料】日立工機 深切り丸のこ 165mm ＜C6MBYA2(L) ・ アグレッシブグリーン＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い定規 作業台 丸のこ 丸鋸 丸ノコ まるのこ 刃 鉄切チップソー 切断機 部品 替え刃 電動】,電気マルノコ 電子マルノコ 内装 リフォーム 切断  。【送料無料】日立工機 深切り丸のこ 165mm ＜C6MBYA2(L) ・ アグレッシブグリーン＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い定規 作業台 丸のこ 丸鋸 丸ノコ まるのこ 刃 鉄切チップソー 切断機 部品 替え刃 電動】[rn]
10-66122,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01661949/02586713/cb12va2_01.jpg?fitin=700:700,35213.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,【送料無料】日立工機 ロータリバンドソー パイプ外径120mm＜CB12VA2＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 切断 曲げ 電動 のこぎり 鋸 ブレード 帯鋸 レシプロソー セーバソー】,,"■帯ノコ寿命をのばし、消費電力が少ない定速度制御を採用しています。<br>
■材料に適した帯のこ刃周速が簡単に設定可能！<br>
<br>
仕様<br>
●切断角度：－<br>
●能力(幅×高さ)(mm)：<br>
　　丸パイプ　φ120<br>
　　角パイプ　□120<br>
　　形鋼　－<br>
　　丸棒　φ30<br>
●電源(V)：単相100<br>
●電流(A)：3.5<br>
●出力(W)：340(消費電力)<br>
●帯のこ刃周速m/s[m/分]：0.4～1.3[25～80]<br>
●バイス方式：－<br>
●質量(kg)：6.4<br>
●コード(m)：2心・2.5<br>
<br>
標準付属品<br>
●帯のこNo.2（合金18山）　1本<br>",【送料無料】日立工機 ロータリバンドソー パイプ外径120mm＜CB12VA2＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 切断 曲げ 電動 のこぎり 鋸 ブレード 帯鋸 レシプロソー セーバソー】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー【送料無料】日立工機 ロータリバンドソー パイプ外径120mm＜CB12VA2＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 切断 曲げ 電動 のこぎり 鋸 ブレード 帯鋸 レシプロソー セーバソー】,【送料無料】日立工機 ロータリバンドソー パイプ外径120mm＜CB12VA2＞ 【電動工具 激安 通販 おすすめ 人気 価格 安い 切断 曲げ 電動 のこぎり 鋸 ブレード 帯鋸 レシプロソー セーバソー】[rn]
10-66123,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01661949/02586713/img62848562.jpg?fitin=700:700,2528.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,日立工機 丸のこ・集じん丸のこ 一般木材用チップソー 外径185 内径20 刃数48 ＜0098-7954＞ 【研磨機 切断機 替え刃 交換 125 四ツ目印 チップソー切断機 草刈り 芝刈り 砥石 種類 サイズ おすすめ ステンレス】,チップソーカッタ 丸鋸 丸のこ 丸ノコ マルノコ まるのこ 違い,,日立工機 丸のこ・集じん丸のこ 一般木材用チップソー 外径185 内径20 刃数48 ＜0098-7954＞ 【研磨機 切断機 替え刃 交換 125 四ツ目印 チップソー切断機 草刈り 芝刈り 砥石 種類 サイズ おすすめ ステンレス】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー日立工機 丸のこ・集じん丸のこ 一般木材用チップソー 外径185 内径20 刃数48 ＜0098-7954＞ 【研磨機 切断機 替え刃 交換 125 四ツ目印 チップソー切断機 草刈り 芝刈り 砥石 種類 サイズ おすすめ ステンレス】,チップソーカッタ 丸鋸 丸のこ 丸ノコ マルノコ まるのこ 違い。日立工機 丸のこ・集じん丸のこ 一般木材用チップソー 外径185 内径20 刃数48 ＜0098-7954＞ 【研磨機 切断機 替え刃 交換 125 四ツ目印 チップソー切断機 草刈り 芝刈り 砥石 種類 サイズ おすすめ ステンレス】[rn]
10-66124,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01661949/02586713/img62840360.jpg?fitin=700:700,2080.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,日立工機 湾曲タイプ セーバソーブレード マトリックス2（SKH56） No.142 厚物・ステンレス管材用 全長200mm 山数14インチ （5枚入） ＜0032-2603＞ 【セーバーソーブレード 替え刃 電動工具 おすすめ 比較 16200円以上送料無料】,ステンレス コンクリート用 電動のこぎり コードレス 小型 軽量,"・湾曲＋刃先材質［バイメタル〈マトリックス2〉］効果で<br>
&nbsp;&nbsp;作業効率大幅アップ！ さらに経済的！<br>
・切断スピード約1.5倍！ 切断寿命約3倍！<br>
&nbsp;&nbsp;＜SUSパイプ40A＞（日立製ストレートタイプ比）<br><br>

［切断目安mm］<br>
厚さ：2mm以上 <br>
適用管材：厚物、ステンレス管材<br><br>

［山数］<br>
14インチ<br><br>

［寸法］<br>
全長：200mm<br>
刃厚：0.9mm<br><br>

［切断能力］<br>
ステンレス管材：外径115以下  厚さ2.5以下<br>
ステンレス板材：厚さ2.5以下<br>
軟鋼管材：外径115以下 厚さ2.5～6<br>
軟鋼板材：厚さ2.5～19<br>
アルミ・黄銅・銅：5～20<br>
塩ビ管材：外径115以下 厚さ2.2～15<br>
塩ビ板材：厚さ10～60<br>",日立工機 湾曲タイプ セーバソーブレード マトリックス2（SKH56） No.142 厚物・ステンレス管材用 全長200mm 山数14インチ （5枚入） ＜0032-2603＞ 【セーバーソーブレード 替え刃 電動工具 おすすめ 比較 16200円以上送料無料】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー日立工機 湾曲タイプ セーバソーブレード マトリックス2（SKH56） No.142 厚物・ステンレス管材用 全長200mm 山数14インチ （5枚入） ＜0032-2603＞ 【セーバーソーブレード 替え刃 電動工具 おすすめ 比較 16200円以上送料無料】,ステンレス コンクリート用 電動のこぎり コードレス 小型 軽量。日立工機 湾曲タイプ セーバソーブレード マトリックス2（SKH56） No.142 厚物・ステンレス管材用 全長200mm 山数14インチ （5枚入） ＜0032-2603＞ 【セーバーソーブレード 替え刃 電動工具 おすすめ 比較 16200円以上送料無料】[rn]
10-66125,http://tshop.r10s.jp/amcom/cabinet/banner1/tool/tool-27970.jpg?fitin=700:700,504.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 オフセット砥石 鉄工・ステン 100×4×15mm,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"【用途】ステンレス鋼・一般鋼材・鋳鉄の研削　　
【機能・特徴】
●研削力のあるＷＡ砥材配合で、ステンレス鋼も強力に研削できます。　　
【仕様】
●外径：１００ｍｍ
●厚さ：４.０ｍｍ
●孔径：１５ｍｍ
●最高使用周速度：７２ｍ／ｓ
●砥材・粒度・硬度：ＷＡ３６Ｌ
●ディスクグランダー専用　　
【材質】
●結合剤：ＢＦ　　

【注意事項ほか】
●グラインダーの砥石カバーを装着してください
●保護メガネ・マスク等を必ず着用してください
●湿気・水濡れに注意し、平らな所で保管してください<table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",SK11 オフセット砥石 鉄工・ステン 100&times;4&times;15mm：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23LSK11 オフセット砥石 鉄工・ステン 100&times;4&times;15mm,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。SK11 オフセット砥石 鉄工・ステン 100&times;4&times;15mm[rn]
10-66126,http://tshop.r10s.jp/amcom/cabinet/banner1/tool/tool-27974.jpg?fitin=700:700,800.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 オフセット砥石 鉄工・ステン 180×6×22mm,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"【用途】ステンレス鋼・一般鋼材・鋳鉄の研削　　
【機能・特徴】
研削力のあるＷＡ砥材配合で、ステンレス鋼も強力に研削できます。　
【仕様】
●外径：１８０ｍｍ
●厚さ：６.０ｍｍ
●孔径：２２ｍｍ
●最高使用周速度：７２ｍ／ｓ
●砥材・粒度・硬度：ＷＡ２４Ｌ
●ディスクグランダー専用　　
【材質】
●結合剤：ＢＦ　　
　
【注意事項ほか】
●グラインダーの砥石カバーを装着してください
●保護メガネ・マスク等を必ず着用してください
●湿気・水濡れに注意し、平らな所で保管してください<table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",SK11 オフセット砥石 鉄工・ステン 180&times;6&times;22mm：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23LSK11 オフセット砥石 鉄工・ステン 180&times;6&times;22mm,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。SK11 オフセット砥石 鉄工・ステン 180&times;6&times;22mm[rn]
10-66127,http://tshop.r10s.jp/amcom/cabinet/banner1/tool/tool-28281.jpg?fitin=700:700,1244.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 カップワイヤー 75mm,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"【用途】塗装前のサビ取り、溶接ビート削り、鉄板の研磨作業　　
【機能・特徴】
●ワイヤ線の外周をウレタンで覆っていますのでワイヤ折れが少なく長寿命です。
●使用時の振動が非常に少なく安定した作業ができます。　
【仕様】
●外径：７５ｍｍ
●ネジ径：Ｍ１０ＸＰ１.５
●最高使用回転数：１２０００ｍｉｎ－１
●適用機種：ディスクグラインダー　　
【材質】
●ワイヤー：硬鋼線に真鍮メッキ　　

【注意事項ほか】
●ブラシ取付け時にはスピンドルに砥石取付け用ワッシャ（座金）及びナットのいずれも絶対に装着しないで下さい
●最高使用回転数以下でご使用下さい。
●グラインダーの安全カバーは絶対に外さないで下さい。<table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",SK11 カップワイヤー 75mm：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23LSK11 カップワイヤー 75mm,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。SK11 カップワイヤー 75mm[rn]
