10-21101,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002615077.jpg?fitin=700:700,17665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1[rn]
10-21112,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811610.jpg?fitin=700:700,22032.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マイト工業/マイト　スケーラ焼け取り用電解液【SUS2004L】(3517934) 受注単位1,工事用品\溶接用品\電気溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●効率の良い還元剤の配合により6価クロムを3価クロムに変換しますので安全です。<br>●中性液SUS2004Lは電解処理後、水拭きで大丈夫です。",『カード対応OK！』■〒マイト工業/マイト　スケーラ焼け取り用電解液【SUS2004L】(3517934) 受注単位1：クローバー資材館,『カード対応OK！』■〒マイト工業/マイト　スケーラ焼け取り用電解液【SUS2004L】(3517934) 受注単位1,工事用品\溶接用品\電気溶接用品。『カード対応OK！』■〒マイト工業/マイト　スケーラ焼け取り用電解液【SUS2004L】(3517934) 受注単位1[rn]
10-21113,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002808073.jpg?fitin=700:700,18863.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ－ブル　１次側　２０ｍ【TWC-8020】(2561778) 受注単位1,(2561778),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●このケーブルは、弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　２０ｍ【TWC-8020】(2561778) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　２０ｍ【TWC-8020】(2561778) 受注単位1,(2561778)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　２０ｍ【TWC-8020】(2561778) 受注単位1[rn]
10-21114,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004577486.jpg?fitin=700:700,9436.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　ホルダ丸端子付　１０ｍ【TCT-2210KH】(3265935) 受注単位1,(3265935),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　ホルダ丸端子付　１０ｍ【TCT-2210KH】(3265935) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　ホルダ丸端子付　１０ｍ【TCT-2210KH】(3265935) 受注単位1,(3265935)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル　ホルダ丸端子付　１０ｍ【TCT-2210KH】(3265935) 受注単位1[rn]
10-21115,,11303.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ【TWC-1405】(3272753) 受注単位1,(3272753),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●このケーブルは、弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ【TWC-1405】(3272753) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ【TWC-1405】(3272753) 受注単位1,(3272753)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ【TWC-1405】(3272753) 受注単位1[rn]
10-21116,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004584066.jpg?fitin=700:700,10465.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャップタイヤケーブル２次線アース付き　１０ｍ【TWC-2210KE】(2731100) 受注単位1,(2731100),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャップタイヤケーブル２次線アース付き　１０ｍ【TWC-2210KE】(2731100) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャップタイヤケーブル２次線アース付き　１０ｍ【TWC-2210KE】(2731100) 受注単位1,(2731100)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャップタイヤケーブル２次線アース付き　１０ｍ【TWC-2210KE】(2731100) 受注単位1[rn]
10-21117,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002808073.jpg?fitin=700:700,6754.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ－ブル　１次側　１０ｍ【TWC-5510】(2561735) 受注単位1,(2561735),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●このケーブルは、弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　１０ｍ【TWC-5510】(2561735) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　１０ｍ【TWC-5510】(2561735) 受注単位1,(2561735)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　１０ｍ【TWC-5510】(2561735) 受注単位1[rn]
10-21118,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005396775.jpg?fitin=700:700,1081.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSS308-325】(2562022) 受注単位1,(2562022),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。<br>●ステンレス用溶接棒の欠点である棒焼け性についても良好です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSS308-325】(2562022) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSS308-325】(2562022) 受注単位1,(2562022)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSS308-325】(2562022) 受注単位1[rn]
10-21119,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005396774.jpg?fitin=700:700,802.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TST10-3210】(2561883) 受注単位1,(2561883),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。<br>●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。<br>●溶け込みが浅く、光沢のある美しいビードが得られます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TST10-3210】(2561883) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TST10-3210】(2561883) 受注単位1,(2561883)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TST10-3210】(2561883) 受注単位1[rn]
10-21120,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005396774.jpg?fitin=700:700,789.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-145】(2561794) 受注単位1,(2561794),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。<br>●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。<br>●溶け込みが浅く、光沢のある美しいビードが得られます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-145】(2561794) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-145】(2561794) 受注単位1,(2561794)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-145】(2561794) 受注単位1[rn]
10-21121,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005396774.jpg?fitin=700:700,455.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-142】(2561786) 受注単位1,(2561786),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。<br>●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。<br>●溶け込みが浅く、光沢のある美しいビードが得られます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-142】(2561786) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-142】(2561786) 受注単位1,(2561786)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ【TST10-142】(2561786) 受注単位1[rn]
10-21122,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005396773.jpg?fitin=700:700,710.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSR2-3210】(2561964) 受注単位1,(2561964),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●被覆剤中に約30%の鉄粉を含有したライムチタニヤ系溶接棒で、再アーク性に優れ、ビード伸びも良く、断続溶接、すみ肉溶接、タック溶接（仮付け）など全姿勢で溶接できます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSR2-3210】(2561964) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSR2-3210】(2561964) 受注単位1,(2561964)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ【TSR2-3210】(2561964) 受注単位1[rn]
10-21123,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005396776.jpg?fitin=700:700,1523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．６ｍｍ　棒長３００ｍｍ【TSS309-265】(2723441) 受注単位1,(2723441),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。<br>●ステンレス用溶接棒の欠点である棒焼け性についても良好です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．６ｍｍ　棒長３００ｍｍ【TSS309-265】(2723441) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．６ｍｍ　棒長３００ｍｍ【TSS309-265】(2723441) 受注単位1,(2723441)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス異材用溶接棒２．６ｍｍ　棒長３００ｍｍ【TSS309-265】(2723441) 受注単位1[rn]
