10-102301,http://tshop.r10s.jp/kohsuidonya/cabinet/40300304037.jpg?fitin=700:700,648.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g,セクシーボーイ,香りで選ぶワックスシリーズ（業界初）強力なセット力を実現！（ナカノワックス７　採用！）香調：マリン系香水の香り,セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g：香水問屋楽天市場店,香水香水問屋フレグランス人気シャネルディオールランキングメンズ女性サムライ通販激安おすすめ芸能人ジバンシー付け方コスメ練り香水クロノス進撃の巨人セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g,セクシーボーイ。セクシーボーイ フレグランスファイバー７ ワイルドマリン 45g[rn]
10-102322,http://tshop.r10s.jp/cosmebox/cabinet/item15/45140952.jpg?fitin=700:700,198.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>遊び技マット。マットな質感と高い整髪力で、パサッとしたマットな毛束感のあるヘアスタイルがつくれます。ムービングラバー配合により、弾力のある仕上がりで思い通り何度でも再整髪が可能。スムースポリマーで、ベタつきを抑えた軽い仕上がり。のび・なじみがよく髪なじみがいいので思い通りのスタイリングができます。さり気なく香る青リンゴ系の香り（後残りしない微香性）。防腐剤フリー。<br>ワックス<br>15g<br>GATSBY/マンダム<br><br>[広告文責] コスメボックス 097-543-1871<br>[製造元] 株式会社マンダム<br>[区分] 日本製・整髪料",マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！。マンダム　ギャツビー　ムービングラバー　グランジマット　モバイル　15g　mandom　GATSBY　moving　rubber *[rn]
10-102323,http://tshop.r10s.jp/cosmebox/cabinet/item32/4901872447077.jpg?fitin=700:700,188.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *,「ハードなセット力」&times;「ラフな束感」に仕上げる,"<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>

<br><font size=""3"" color=""#666660""><b>力強いセット力で根元からしっかり立ち上げ<br>ラフで遊び心のある毛束をデザイン<br>固まりすぎずマットでドライな質感を実現！</b></font><br>

<font size=""2"" color=""#666660""><br>
■<b>マットエフェクター</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">
●セット力はあるのに固まらず動かせる「スタイルパウダー」配合。<br>
●湿気に負けずスタイルを維持する「調湿成分」配合。 

 <br>

</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>グリーンフルーティーの香り</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

</font>
</td></tr>
</table>


</td></tr></table>
<br><br>
<hr>
<br>
<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>資生堂　ウーノ　マットエフェクター</b><br>



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">内容量</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

15g





</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用方法</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">


指先に適量をとり指全体と指の間にものばし、手のひらを使って散らすように髪全体になじませ、指でつまんで毛束感をつくります。


<br>
</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">ご注意</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">
□ ご使用後はキャップをきちんとしめてください。<br>
□ 日のあたるところや高温のところにおかないでください。<br>
□ 乳幼児の手の届かないところにおいてください。<br>
□ 頭皮に傷・はれもの・湿しん・色抜け（白斑等）や黒ずみなどの異常が生じていないかよく注意して使用してください。頭皮に合わないときは、使用を中止し、皮ふ科医などにご相談ください。<br>
□ 目に入らないように注意し、入った時はすぐに洗い流してください。




</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分</font></td>
<td width=85%><font size=""2"" color=""#666666"">
水、水添ポリイソブテン、エチルヘキサン酸セチル、マイクロクリスタリンワックス、シリカ、キャンデリラロウ、PG、セテス-25、ヒドロキシステアリン酸、ポリアクリル酸Na、マルチトール、ビスエチルヘキシルオキシフェノールメトキシフェニルトリアジン、水溶性コラーゲン、ステアリルアルコール、ステアリン酸グリセリル(SE)、TEA、ステアリン酸、トコフェロール、メタリン酸Na、フェノキシエタノール、香料、酸化鉄



</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%><font size=""2"" color=""#666666"">

株式会社資生堂


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">


日本製・ヘアケア・化粧品


</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *,「ハードなセット力」&times;「ラフな束感」に仕上げる。●在庫限り　資生堂　ウーノ　マットエフェクター　15g　uno　shiseido *[rn]
10-102324,http://tshop.r10s.jp/cosmebox/cabinet/item33/4902806468441.jpg?fitin=700:700,524.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ルシード　ワックスジェリー　スーパーハード　150g　LUCIDO　mandom *,40才からのスタイリングシリーズ,"<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>

<br><font size=""3"" color=""#666660""><b>立ち上げ＆タイト　スーパーハード</b></font><br>

<font size=""2"" color=""#666660""><br>
■<b>細くパサついた髪でも！</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

立ち上げ＆タイト、パサつかない、崩れない


</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>高い整髪力とまとまりを両立するクリーミージェルタイプ</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">






</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>程よいツヤ感</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

保湿性高整髪成分で髪にうるおいと上品なツヤを与えながらきっちりと整髪。

</font>
</td></tr>
</table>
<br>
<font size=""2"" color=""#666660"">■<b>エイジングケア処方</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">


浸透性アミノ酸※が髪の内側から弾力を与え、元気なハリ・コシのある髪へ。<br>
※ジラウロイルグルタミン酸リシンNa



</font>
</td></tr>
</table><br>
<font size=""2"" color=""#666660"">■<b>無香料</b><br></font>
<font size=""2"" color=""#666660"">■<b>無着色</b><br></font>
<font size=""2"" color=""#666660"">■<b>防腐剤無配合</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">



</font>
</td></tr>
</table>


</td></tr></table>
<br><br>
<hr>
<br>
<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>ルシード　ワックスジェリー　スーパーハード</b><br>



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">内容量</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

150g




</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用方法</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">


□ 適量を髪になじませセットしてください。<br>
□ 乾いた後に髪にブラシ等を通すと、白い粉が出ることがあるので避けてください。



</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">ご注意</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">

□ お肌に異常が生じていないかよく注意して使用してください。<br>
□ 傷や湿疹等異常のあるときは使わないでください。<br>
□ 刺激、色抜け(白斑等)、黒ずみ等の異常が出たら使用を中止し、皮フ科医へご相談ください。<br>
□ 高温になるところや直射日光のあたるところには置かないでください。<br>
□ 子供の手の届かないところに置いてください。






</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分</font></td>
<td width=85%><font size=""2"" color=""#666666"">




水、エタノール、PEG-50水添ヒマシ油、ジグリセリン、PEG-75、PEG-40水添ヒマシ油、PEG-20、パンテノール、(ビニルピロリドン／VA)コポリマー、ポリオキシプロピレンソルビット、TEA、(アクリル酸アルキル／メタクリル酸ステアレス-20)コポリマー、カルボマー、亜硫酸Na、ジラウロイルグルタミン酸リシンNa、EDTA-2Na


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%><font size=""2"" color=""#666666"">


株式会社マンダム



</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">


日本製・ヘアケア


</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",マンダム　ルシード　ワックスジェリー　スーパーハード　150g　LUCIDO　mandom *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ルシード　ワックスジェリー　スーパーハード　150g　LUCIDO　mandom *,40才からのスタイリングシリーズ。マンダム　ルシード　ワックスジェリー　スーパーハード　150g　LUCIDO　mandom *[rn]
10-102325,http://tshop.r10s.jp/cosmebox/cabinet/item11/4903018211184.jpg?fitin=700:700,444.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,柳屋　プレクシード　ムガ（無我）　アレンジハードワックス　PREXCEED　MUGA　85g　yanagiya *,動き・束感、超持続！,"粘性に優れたJAPAN WAX(モクロウ)を配合したヘアワックス。整髪性と持続力に優れ、どのようなヘアスタイルにも適したハードタイプです。スタイリング時に便利なワンタッチキャップ。ほのかに香るマリンフローラルの香り。<br>
ヘアワックス<br>
85g<br>
PREXCEED/柳屋<br>
<br>
[広告文責] コスメボックス 097-543-1871<br>
[製造元] 株式会社柳屋本店<br>
[区分] 日本製・整髪料",柳屋　プレクシード　ムガ（無我）　アレンジハードワックス　PREXCEED　MUGA　85g　yanagiya *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂柳屋　プレクシード　ムガ（無我）　アレンジハードワックス　PREXCEED　MUGA　85g　yanagiya *,動き・束感、超持続！。柳屋　プレクシード　ムガ（無我）　アレンジハードワックス　PREXCEED　MUGA　85g　yanagiya *[rn]
10-102326,http://tshop.r10s.jp/cosmebox/cabinet/item33/4902806468526.jpg?fitin=700:700,524.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ルシード　ワックスジェリー　スーパーボリュームアップ　150g　LUCIDO　mandom *,40才からのスタイリングシリーズ,"<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td>

<br><font size=""3"" color=""#666660""><b>ボリューム＆まとまり　スーパーボリュームアップ</b></font><br>

<font size=""2"" color=""#666660""><br>
■<b>細くパサついた髪でも！</b><br></font>

<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

ボリューム＆まとまり、広がらない、崩れない

</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>高い整髪力とまとまりを両立するクリーミージェルタイプ</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">






</font>
</td></tr>
</table>

<br>
<font size=""2"" color=""#666660"">■<b>自然な仕上がり</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">

スムースパウダー整髪機構でベタつかずふんわりとしたスタイルが指通り良くキマる。

</font>
</td></tr>
</table>
<br>
<font size=""2"" color=""#666660"">■<b>エイジングケア処方</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">


浸透性アミノ酸※が髪の内側から弾力を与え、元気なハリ・コシのある髪へ。<br>
※ジラウロイルグルタミン酸リシンNa



</font>
</td></tr>
</table><br>
<font size=""2"" color=""#666660"">■<b>無香料</b><br></font>
<font size=""2"" color=""#666660"">■<b>無着色</b><br></font>
<font size=""2"" color=""#666660"">■<b>防腐剤無配合</b><br></font>
<table width=""90%"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center"">
<tr><td><font size=""2"" color=""#666660"">



</font>
</td></tr>
</table>


</td></tr></table>
<br><br>
<hr>
<br>
<!-- 商品情報　2  -->
<table width=""100%"" border=""1"" bordercolor=""#FFFFFF"">
<tr bordercolor=""#CCCCCC""><td align=""center"" width=100>
<font size=""2"" color=""#666666"">商品名</font></td>
<td><font size=""2"" color=""#666666"">
<b>ルシード　ワックスジェリー　スーパーボリュームアップ</b><br>



</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=100><font size=""2"" color=""#666666"">内容量</font>
</td>
<td width=410><font size=""2"" color=""#666666"">

150g




</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">使用方法</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">


□ 適量を髪になじませセットしてください。<br>
□ 乾いた後に髪にブラシ等を通すと、白い粉が出ることがあるので避けてください。



</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">ご注意</font></td>
<td width=85%>
<font size=""2"" color=""#666666"">

□ お肌に異常が生じていないかよく注意して使用してください。<br>
□ 傷や湿疹等異常のあるときは使わないでください。<br>
□ 刺激、色抜け(白斑等)、黒ずみ等の異常が出たら使用を中止し、皮フ科医へご相談ください。<br>
□ 高温になるところや直射日光のあたるところには置かないでください。<br>
□ 子供の手の届かないところに置いてください。






</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">成分</font></td>
<td width=85%><font size=""2"" color=""#666666"">




水、DPG、エタノール、PPG-75-PEG-300ヘキシレングリコール、イソステアリン酸PEG-20グリセリル、(アクリル酸ヒドロキシエチル／アクリル酸メトキシエチル)コポリマー、シリカ、フルオロケイ酸(Na／Mg)、ベタイン、パンテノール、グリコシルトレハロース、加水分解水添デンプン、キサンタンガム、酢酸トコフェロール、シメチコン、クエン酸、EDTA-2Na、亜硫酸Na、ジラウロイルグルタミン酸リシンNa、ステアリン酸ソルビタン、ステアリン酸グリセリル、オレイン酸ポリグリセリル-10、クエン酸Na、セルロースガム


</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">メーカー</font></td>
<td width=85%><font size=""2"" color=""#666666"">


株式会社マンダム



</font></td></tr>
<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">区分</font></td>
<td width=85%><font size=""2"" color=""#666666"">


日本製・ヘアケア


</font></td></tr>

<tr bordercolor=""#CCCCCC""><td align=""center"" width=15%><font size=""2"" color=""#666666"">広告文責</font></td>
<td width=85%><font size=""2"" color=""#666666"">

コスメボックス 097-543-1871

</font></td></tr>
</table><br>",マンダム　ルシード　ワックスジェリー　スーパーボリュームアップ　150g　LUCIDO　mandom *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ルシード　ワックスジェリー　スーパーボリュームアップ　150g　LUCIDO　mandom *,40才からのスタイリングシリーズ。マンダム　ルシード　ワックスジェリー　スーパーボリュームアップ　150g　LUCIDO　mandom *[rn]
10-102327,http://tshop.r10s.jp/cosmebox/cabinet/item15/45131677.jpg?fitin=700:700,492.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　ムービングラバー　グランジマット　80g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！,"※パッケージリニューアルのため、画像と商品が異なる場合がございます。ご了承ください。

<br>遊び技マット。マットな質感と高い整髪力で、パサッとしたマットな毛束感のあるヘアスタイルがつくれます。ムービングラバー配合により、弾力のある仕上がりで思い通り何度でも再整髪が可能。スムースポリマーで、ベタつきを抑えた軽い仕上がり。のび・なじみがよく髪なじみがいいので思い通りのスタイリングができます。さり気なく香る青リンゴ系の香り（後残りしない微香性）。防腐剤フリー。<br>ワックス<br>80g<br>GATSBY/マンダム<br><br>[広告文責] コスメボックス 097-543-1871<br>[製造元] 株式会社マンダム<br>
[区分] 日本製・整髪料",マンダム　ギャツビー　ムービングラバー　グランジマット　80g　mandom　GATSBY　moving　rubber *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　ムービングラバー　グランジマット　80g　mandom　GATSBY　moving　rubber *,新世代スタイリングシリーズ「ムービングラバー」！！。マンダム　ギャツビー　ムービングラバー　グランジマット　80g　mandom　GATSBY　moving　rubber *[rn]
10-102328,http://tshop.r10s.jp/cosmebox/cabinet/item32/4901872447008.jpg?fitin=700:700,556.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,資生堂　ウーノ　ハイブリッドハード　80g　uno　shiseido *,「完璧ハード」&times;「ナチュラルな素髪質感」に仕上げる,"ハードなセット力でスタイルをしっかりキープ。 固まりすぎず、まるで素髪のようなナチュラルな仕上りを実現。セット力はあるのに固まらず動かせる「スタイルパウダー」配合。湿気に負けずスタイルを維持する「調湿成分」配合。グリーンフルーティーの香り。<br>




整髪料<br>
80g<br>
ウーノ/資生堂


<br>
[広告文責] コスメボックス 097-543-1871<br>
[発売元] 株式会社資生堂<br>
[区分] 日本製・ヘアケア",資生堂　ウーノ　ハイブリッドハード　80g　uno　shiseido *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂資生堂　ウーノ　ハイブリッドハード　80g　uno　shiseido *,「完璧ハード」&times;「ナチュラルな素髪質感」に仕上げる。資生堂　ウーノ　ハイブリッドハード　80g　uno　shiseido *[rn]
10-102329,http://tshop.r10s.jp/cosmebox/cabinet/item10/4902806196443.jpg?fitin=700:700,560.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,マンダム　ギャツビー　パーフェクトホールドワックス　エクストラハード　60g　mandom　GATSBY *,最硬ホールド！キメたスタイルを徹底持続,NO.1耐久性(当社従来品比)スタイルを徹底持続するウルトラハードタイプ。ベリーショートヘアに最適。高いセット力で根元からしっかりクセづけ、スプレー成分がつくったスタイルを一日中持続します。最強レベルの超硬い仕上がり。伸び・なじみがよく髪なじみがいいので思い通りのスタイリングができます。ヘアケア成分が髪の傷みを抑えツヤとうるおいを与えます。スッキリしたラ・フランスの香り(微香性)<br>ワックス<br>60g<br>GATSBY/マンダム<br><br>[広告文責] コスメボックス 097-543-1871<br>[製造元] 株式会社マンダム<br>[区分] 日本製・整髪料,マンダム　ギャツビー　パーフェクトホールドワックス　エクストラハード　60g　mandom　GATSBY *：コスメボックス,コスメボックスミネラルウォーター炭酸水九州エコラクエコラクノンラベルヘアカバースプレー化粧品ショッピング太陽油脂パックス資生堂マンダム　ギャツビー　パーフェクトホールドワックス　エクストラハード　60g　mandom　GATSBY *,最硬ホールド！キメたスタイルを徹底持続。マンダム　ギャツビー　パーフェクトホールドワックス　エクストラハード　60g　mandom　GATSBY *[rn]
10-102330,http://tshop.r10s.jp/momotaroucrub/cabinet/01783585/02821895/imgrc0067365842.jpg?fitin=700:700,385.6000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,NAPLAナプラケアテクトＨＢグロスメイク 50g ＜ヘアスタイリング＞【ナプラケアテクトＨＢグロスメイク、ナプラケアテクトＨＢ、ナプラグロスメイク、ナプラケアテクト、グロスメイク、ナプラケアテクトグロスメイク】,ツヤ感とふんわりとした、やわらかい質感に仕上げます♪,"【商品説明】<br>
◆ノンシリコーン・天然油分配合で自然なツヤとまとまりを与える、スタイリングクリーム。<br>
◆ホールド力が異なる5つのアイテムで、ツヤ感、ニュアンスづくり、がっちりキープまでなりたいスタイルをかなえます。<br>
◆頭皮・毛髪にうるおいを与えるホホバ油をはじめとした天然油分、ラベルデザインにちなんだフローラルハーブエキス、6種類のナチュラルハーブを配合。<br>
◆毎日スタイリングをしながら髪をいたわることができます。<br>
配合されたフローラルハーブエキスが髪をいたわります。<br>
UVカット成分配合により髪のダメージケアにも…。<br>
<br>
＜ツヤ感とふんわりとした、やわらかい質感に仕上げます♪＞<br>
セット力・・・★☆☆☆☆<br>
<br>
【商品内容】<br>
内容量／50ｇ<br>
成分／水、キャンデリラロウ、イソノナン酸イソノニル、ポリエチレン、セテス-15、水添ポリイソブテン、マイクロクリスタリンワックス、ステアリン酸、ステアリン酸グリセリル、パラフィン、コメヌカロウ、ポリアクリルアミド、BG、カルボマー、水酸化Na、エタノール、フェノキシエタノール、リン酸2Na、クエン酸、EDTA-2Na、ラウレス-7、ホホバ油、メトキシケイヒ酸エチルヘキシル、ｔ-ブチルメトキシジベンゾイルメタン、ジラウロイルグルタミン酸リシンNa、加水分解ケラチン、加水分解ヒアルロン酸、ポリクオタニウム-51、オトギリソウエキス、カミツレエキス、シナノキエキス、トウキンセンカエキス、ヤグルマギクエキス、ローマカミツレエキス、サトウキビエキス、ラベンダーエキス、メチルパラベン、ブチルパラベン、プロピルパラベン、エチルパラベン、香料<br>
<br>
【ご使用方法】<br>
適量を手のひらにとりよくのばしてからスタイリングしてください。<br>
<br>
【ご使用上の注意】<br>
●お肌に合わないときは、ご使用をお止め下さい。そのままご使用を続けますと、症状を悪化させることがありますので皮膚科専門医等にご相談されることをお進め致します。<br>
●傷やはれもの、湿疹等、異常のある部位にはお使いにならないで下さい。<br>
●乳幼児の手の届かないところに保管して下さい。<br>
●直射日光の当たる場所、極端に高温や低温になる場所には保管しないで下さい。<br>
●その他、本商品の取り扱いをよく読んでご使用下さい。<br>
<br>
【ショップ在庫及び納期】<br>
注文個数上側在庫表示参照。<br>
在庫数が表示されていない場合は、お取り寄せとなりますので、メーカーに在庫が無い場合など、さらにお時間を頂く場合や入荷不可となる場合がございます。<br>
<br>
【発売元】<br>
株式会社ナプラ<br>
<br>
【広告文責】<br>
株式会社ブレーン<br>
086-250-8159（連絡先電話番号）<br>",NAPLAナプラケアテクトＨＢグロスメイク 50g ＜ヘアスタイリング＞【ナプラケアテクトＨＢグロスメイク、ナプラケアテクトＨＢ、ナプラグロスメイク、ナプラケアテクト、グロスメイク、ナプラケアテクトグロスメイク】：ももたろうCRUB,NAPLAナプラケアテクトＨＢグロスメイク 50g ＜ヘアスタイリング＞【ナプラケアテクトＨＢグロスメイク、ナプラケアテクトＨＢ、ナプラグロスメイク、ナプラケアテクト、グロスメイク、ナプラケアテクトグロスメイク】,ツヤ感とふんわりとした、やわらかい質感に仕上げます♪。NAPLAナプラケアテクトＨＢグロスメイク 50g ＜ヘアスタイリング＞【ナプラケアテクトＨＢグロスメイク、ナプラケアテクトＨＢ、ナプラグロスメイク、ナプラケアテクト、グロスメイク、ナプラケアテクトグロスメイク】[rn]
10-102331,http://tshop.r10s.jp/momotaroucrub/cabinet/01783585/02821895/img65084348.jpg?fitin=700:700,528.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ファインコスメティクスCoolgreaseシリーズクールワックスSシャイニングベース　110g【COOLWAXS、クールグリス、クールグリース】,いつまでもウエット感の残るワックス!!★1!!,"ロックな人もロックじゃない人も、定番のクールグリースシリーズ!!<br>
●いつまでもウエット感の残るワックス!!★1!!<br>
<br>
*****商品内容*****<br>
容量／110g<br>
表示成分／グリセリン、水、カルボマー、PEG-60水添ヒマシ油、EDTA-2、Na、水酸化Na、メチルバラベン、青1、香料<br>
<br>
*****ご使用方法*****<br>
適量を手に取り、頭髪につけてクシ等でスイタリングしてください。<br>
<br>
※お取り寄せ商品となりますので、商品発送まで3～7営業日頂きます。<br>
※1回のお買い上げ合計金額5,250円(税込)以上で送料無料。ただし、発送先が北海道及び沖縄県の場合はお買い上げ金額にかかわらず1,260円の送料がかかります。離島のお客様は、お問い合わせください。<br>",ファインコスメティクスCoolgreaseシリーズクールワックスSシャイニングベース　110g【COOLWAXS、クールグリス、クールグリース】：ももたろうCRUB,ファインコスメティクスCoolgreaseシリーズクールワックスSシャイニングベース　110g【COOLWAXS、クールグリス、クールグリース】,いつまでもウエット感の残るワックス!!★1!!。ファインコスメティクスCoolgreaseシリーズクールワックスSシャイニングベース　110g【COOLWAXS、クールグリス、クールグリース】[rn]
