10-141201,,10444.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 溶接・熱工具 > 溶接機器,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1,工事用品\溶接用品\溶接遮光フェンス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接遮光フェンス用のフレームです。<br>●枠内寸法(横×高さ)(mm):1500×1500<br>●足形状:固定足<br>●適合シート:D15-3<br>●タイプ:単体型<br>●樹脂被覆スチールパイプフレーム<br>●フレーム径: ２８mm<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1,工事用品\溶接用品\溶接遮光フェンス。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1[rn]
10-141212,http://tshop.r10s.jp/amcom/cabinet/banner1/tool/tool-22007.jpg?fitin=700:700,1392.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,【 東洋金属工業 】 エアーチャック５５Ｃ 両口 グリップなし,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"＜仕様＞ 
●エアーチャック55C 
●両口タイプ 
●グリップなし 
●乗用車用 <table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",【 東洋金属工業 】 エアーチャック５５Ｃ 両口 グリップなし：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23L【 東洋金属工業 】 エアーチャック５５Ｃ 両口 グリップなし,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。【 東洋金属工業 】 エアーチャック５５Ｃ 両口 グリップなし[rn]
10-141213,http://tshop.r10s.jp/amcom/cabinet/banner1/tool/tool-22008.jpg?fitin=700:700,2132.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,【 東洋金属工業 】 エアーチャック５９ＧＣ 手放し両口 グリップ付,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"＜特長＞ 
●クローズタイプのロックオン式エアーチャックです。チャックをバルブ口に押し当てて少し傾けるとバルブの外ネジとエアーチャックの内ネジが噛み合い固定される為、手を離してもタイヤにエアーを充填することができます。トラックのダブルタイヤにもご使用頂けます。 
●ホースニップルは1/4で内径8～8.5mmのエアーホースにご使用頂けます。 
●直接エアーカプラを取り付ける場合はタケノコ部分を取り外して20PFが接続出来ます。クローズタイプとは、エアーを通してもバルブに当てないとエアーが出ない形状の事です。 

＜仕様＞ 
●エアーチャック59GC 
●手放し両口 
●グリップ付き 
●トラック・バス用 <table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",【 東洋金属工業 】 エアーチャック５９ＧＣ 手放し両口 グリップ付：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23L【 東洋金属工業 】 エアーチャック５９ＧＣ 手放し両口 グリップ付,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。【 東洋金属工業 】 エアーチャック５９ＧＣ 手放し両口 グリップ付[rn]
10-141214,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_022/4560128126694_ll.jpg?fitin=700:700,3283.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,イノック さし込み溶接フランジ 304FF10K80A [304FF10K80A],,□商品仕様<br>●JIS B2220規格品<br>●呼び径(A):80<br>●外径(mm):185<br>●厚み(mm):18<br>●ボルト穴数:8<br>●ボルト穴径(mm):19<br>●内径(mm):90.0<br>●呼び径(B):3<br>●使用圧力(K):10<br>●質量(kg):2.62,イノック さし込み溶接フランジ 304FF10K80A [304FF10K80A]：エディオン　楽天市場店,イノック さし込み溶接フランジ 304FF10K80A [304FF10K80A],イノック さし込み溶接フランジ 304FF10K80A [304FF10K80A][rn]
10-141215,http://tshop.r10s.jp/ii-sakura/cabinet/youki4/fm-sv-30a.jpg?fitin=700:700,27764.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,FMバルブ製作所【FMスクリーンバルブ SV型 40A】取付タイプ：ねじ込み型（Rc) ストレーナ付ストップバルブ 本体材質：CAC901,当店おすすめ商品\☆当店おすすめ商品,●本体材質：CAC901<br>,FMバルブ製作所【FMスクリーンバルブ SV型 40A】取付タイプ：ねじ込み型（Rc) ストレーナ付ストップバルブ 本体材質：CAC901：あいあいショップさくら,FMバルブ製作所【FMスクリーンバルブ SV型 40A】取付タイプ：ねじ込み型（Rc) ストレーナ付ストップバルブ 本体材質：CAC901,当店おすすめ商品\☆当店おすすめ商品。FMバルブ製作所【FMスクリーンバルブ SV型 40A】取付タイプ：ねじ込み型（Rc) ストレーナ付ストップバルブ 本体材質：CAC901[rn]
10-141216,,2648.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-80A】(4446071)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５６０ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプの末端の閉止に。<br>●呼び径(A):80A<br>●外径(mm):180<br>●厚み(mm):14<br>●ボルト穴数:4<br>●ボルト穴径(mm):19<br>●呼び径(B):3<br>●使用圧力(k):5<br>●質量(ｋｇ):2.67<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-80A】(4446071)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５６０ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-80A】(4446071)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５６０ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-80A】(4446071)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５６０ 受注単位1[rn]
10-141217,,672.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-40A】(4445490)９０°エルボ（ショート）Ｓ１０Ｓ ０９１０００４３ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):40<br>●呼び径(B):1 1/2<br>●外径D(mm):48.6<br>●F(mm):38.1<br>●T(mm):2.8<br>●質量(ｋｇ):0.189<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-40A】(4445490)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４３ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-40A】(4445490)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４３ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-40A】(4445490)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４３ 受注単位1[rn]
10-141218,,370.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-10A】(4422708)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●気密性、耐圧性に優れております。<br>●表面に特殊処理を施す事により、フランジへの固着を大幅に軽減しております。<br>●ユニオン継手用ガスケット。<br>●呼び径(A):10<br>●外径(mm):28<br>●厚み(mm):1.5<br>●内径(mm):21<br>●呼び径(B):3/8<br>●規格:ユニオン<br>●質量(ｇ):0.7<br>●使用温度範囲：-240～420℃（蒸気：650℃まで）<br>●圧力限界：25MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ガスケットが破損しやすくなりますので、ガスケットペーストを使用しないで下さい。<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-10A】(4422708)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-10A】(4422708)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-10A】(4422708)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1[rn]
10-141219,,3195.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-80A】(4445899)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７７ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプの末端の閉止に。<br>●呼び径(A):80A<br>●外径(mm):185<br>●厚み(mm):18<br>●ボルト穴数:8<br>●ボルト穴径(mm):19<br>●呼び径(B):3<br>●使用圧力(k):10<br>●質量(ｋｇ):3.48<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-80A】(4445899)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７７ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-80A】(4445899)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７７ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-80A】(4445899)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７７ 受注単位1[rn]
10-141220,,19051.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5X65X2M】(4547381)ステンレス管 ５Ｘ６５Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的に広く使用されている配管用のステンレス管です。<br>●呼び径(A):65<br>●呼び径(B):2 1/2<br>●外径(mm):76.3<br>●長さ(m):2<br>●JIS G3459規格品<br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5X65X2M】(4547381)ステンレス管 ５Ｘ６５Ｘ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5X65X2M】(4547381)ステンレス管 ５Ｘ６５Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5X65X2M】(4547381)ステンレス管 ５Ｘ６５Ｘ２ｍ 受注単位1[rn]
10-141221,,26282.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒アサダ（株）/アサダ 【S784003】(4402448)フランジスプレッダ ３ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●固着したフランジを楽に分離することができます。<br>●クサビをフランジの間に挿入しハンドルを回して押し広げるため、安全に作業ができます。<br>●クサビは熱処理がされており、フランジ面を傷つけない形状です。<br>●配管取り換えなど、メンテナンス時のフランジの分離に。<br>●固着したフランジの分離に。<br>●長さ×幅×高さ(mm):235×52×345<br>●質量(kg):5.5<br>●適応フランジ穴径(mm):16<br>●フランジ圧力:63K<br>",『カード対応OK！』■〒アサダ（株）/アサダ 【S784003】(4402448)フランジスプレッダ ３ 受注単位1：クローバー資材館,『カード対応OK！』■〒アサダ（株）/アサダ 【S784003】(4402448)フランジスプレッダ ３ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒アサダ（株）/アサダ 【S784003】(4402448)フランジスプレッダ ３ 受注単位1[rn]
10-141222,,2438.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-80A】(4445988)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２６ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプ同士の接続に。<br>●呼び径(A):80A<br>●外径(mm):185<br>●厚み(mm):18<br>●ボルト穴数:8<br>●ボルト穴径(mm):19<br>●内径(mm):90.0<br>●呼び径(B):3<br>●使用圧力(k):10<br>●質量(ｋｇ):2.58<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-80A】(4445988)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２６ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-80A】(4445988)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２６ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-80A】(4445988)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２６ 受注単位1[rn]
10-141223,,22679.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-10.0-3M】(4423127)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・耐圧性に優れております。<br>●高温・高圧バルブに。<br>●幅(mm):10<br>●長さ(m):3<br>●高さ(mm):10<br>●色:黒<br>●質量(ｇ):359<br>●最高使用温度：420℃（蒸気：600℃）<br>●圧力(バルブ):43.1MPa<br>●装着箇所の寸法に合わせリング成形品も別途製作可能ですのでご相談下さい。<br>●膨張黒鉛（インコネル線材補強） 、特殊潤滑剤<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-10.0-3M】(4423127)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-10.0-3M】(4423127)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-10.0-3M】(4423127)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1[rn]
10-141224,,2366.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8851ND-3.0-FF-10K-50A】(4423241)ジャパンマテックス 蒸気用高密度膨張黒鉛ガスケット 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高シール性を実現し、耐熱性・耐薬品性にも優れたガスケットです。<br>●表面に特殊処理を施す事により、フランジへの固着を大幅に軽減しております。<br>●一般産業用フランジガスケット、熱交換器、ボイラーなど。<br>●呼び径(A):50<br>●外径(mm):155<br>●厚み(mm):3<br>●内径(mm):61<br>●呼び径(B):2<br>●使用圧力(k):10<br>●穴数:4<br>●穴径(mm):19<br>●使用圧力(K):10<br>●質量(ｇ):86<br>●使用温度範囲：-240～420℃（蒸気：650℃まで）<br>●圧力限界：5MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●膨張黒鉛<br>●ガスケットが破損しやすくなりますので、ガスケットペーストを使用しないで下さい。<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8851ND-3.0-FF-10K-50A】(4423241)ジャパンマテックス 蒸気用高密度膨張黒鉛ガスケット 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8851ND-3.0-FF-10K-50A】(4423241)ジャパンマテックス 蒸気用高密度膨張黒鉛ガスケット 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8851ND-3.0-FF-10K-50A】(4423241)ジャパンマテックス 蒸気用高密度膨張黒鉛ガスケット 受注単位1[rn]
10-141225,,8278.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3.5X40X2M】(4547331)ステンレス管 ３．５Ｘ４０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的に広く使用されている配管用のステンレス管です。<br>●呼び径(A):40<br>●呼び径(B):1 1/2<br>●外径(mm):48.6<br>●長さ(m):2<br>●JIS G3459規格品<br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3.5X40X2M】(4547331)ステンレス管 ３．５Ｘ４０Ｘ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3.5X40X2M】(4547331)ステンレス管 ３．５Ｘ４０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3.5X40X2M】(4547331)ステンレス管 ３．５Ｘ４０Ｘ２ｍ 受注単位1[rn]
10-141226,,2919.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-32A】(4422830)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●金属ガスケット並の耐圧性をもっており、短納期対応が可能です。<br>●表面に特殊処理を施す事により、フランジへの固着を大幅に軽減しております。<br>●一般産業用フランジガスケット、熱交換器、バルブボンネットなど。<br>●呼び径(A):32<br>●外径(mm):84<br>●厚み(mm):4<br>●内径(mm):43<br>●呼び径(B):1 1/4<br>●使用圧力(k):10<br>●使用圧力(K):10<br>●質量(ｇ):29<br>●使用温度範囲：-240～420℃（蒸気：650℃まで）<br>●圧力限界：25MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ガスケットが破損しやすくなりますので、ガスケットペーストを使用しないで下さい。<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-32A】(4422830)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-32A】(4422830)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-32A】(4422830)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1[rn]
10-141227,,1980.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-65A】(4446062)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５９ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプの末端の閉止に。<br>●呼び径(A):65A<br>●外径(mm):155<br>●厚み(mm):14<br>●ボルト穴数:4<br>●ボルト穴径(mm):15<br>●呼び径(B):2 1/2<br>●使用圧力(k):5<br>●質量(ｋｇ):2.00<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-65A】(4446062)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５９ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-65A】(4446062)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５９ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-65A】(4446062)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５９ 受注単位1[rn]
10-141228,,49744.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒巴バルブ（株）/巴【700G-7E-80-S-N】(4536207)７００Ｇ－７Ｅ ＪＩＳ１０Ｋ ＦＣ４５０／ＳＣＳ１４／ＮＢＲ  ８０Ａ 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コンパクト・軽量・高出力シリンダータイプです。<br>●スピードコントローラーを標準装備しています。<br>●空気配管接続部はNUMURマウントを採用しています。<br>●工場ユーティリティ用。<br>●呼び径(A):80<br>●呼び径(B):3 1/2<br>●高さ(mm):410<br>●L(mm):46<br>●d (mm):84<br>●質量(kg):7.4<br>●複作動式シリンダー式<br>●適用フランジ規格：JIS10K<br>●最高許容圧力：1.0MPa<br>●使用温度範囲：0～80℃<br>●連続使用温度範囲：0～60℃<br>●JIS B 2032適合品<br>●本体：ダクタイル鋳鉄(FCD450)<br>●弁体：ステンレス(SCS14)<br>●シートリング：ゴム(NBR)<br>",『カード対応OK！』■〒巴バルブ（株）/巴【700G-7E-80-S-N】(4536207)７００Ｇ&minus;７Ｅ ＪＩＳ１０Ｋ ＦＣ４５０／ＳＣＳ１４／ＮＢＲ  ８０Ａ 受注単位1：クローバー資材館,『カード対応OK！』■〒巴バルブ（株）/巴【700G-7E-80-S-N】(4536207)７００Ｇ&minus;７Ｅ ＪＩＳ１０Ｋ ＦＣ４５０／ＳＣＳ１４／ＮＢＲ  ８０Ａ 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒巴バルブ（株）/巴【700G-7E-80-S-N】(4536207)７００Ｇ&minus;７Ｅ ＪＩＳ１０Ｋ ＦＣ４５０／ＳＣＳ１４／ＮＢＲ  ８０Ａ 受注単位1[rn]
10-141229,,731.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX25A】(4445619)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７７ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):40A×25A<br>●呼び径(B):1 1/2×1<br>●H(mm):63.5<br>●外径D1×D2(mm):48.6×34.0<br>●T1(mm):2.8<br>●T2(mm):2.8<br>●質量(ｋｇ):0.170<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX25A】(4445619)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７７ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX25A】(4445619)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７７ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX25A】(4445619)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７７ 受注単位1[rn]
10-141230,,4416.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-50X2M】(4547284)ＳＧＰ 白パイプ ねじ無し ５０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的に広く使用されている配管用の鋼管です。<br>●白管は黒管の内外面に溶融亜鉛めっきが均一にほどこされています。<br>●呼び径(A):50<br>●呼び径(B):2<br>●外径(mm):60.5<br>●長さ(m):2<br>●JIS G3442規格品<br>●配管用炭素鋼（ＳＧＰ）<br>",『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-50X2M】(4547284)ＳＧＰ 白パイプ ねじ無し ５０Ｘ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-50X2M】(4547284)ＳＧＰ 白パイプ ねじ無し ５０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-50X2M】(4547284)ＳＧＰ 白パイプ ねじ無し ５０Ｘ２ｍ 受注単位1[rn]
