10-22601,,114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.11<br>●S(mm)：38<br>●L(mm)：150<br>●D(mm)：5.0<br>●A(mm)：15<br>●質量(g)：22<br>●色：黒<br><br>●150mm<br>●黒<br><br>●塩ビ被覆線<br>",『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1[rn]
10-22612,,1440.0000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒イノアックコーポレーション/イノアック【E1-TAPE】(7625278) 断熱イソシアヌレートボード　サーマックス用テープ　２５×１０ｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透湿が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br><br>●長さ(m)：10<br>●幅(mm)：25<br><br><br>",【カード対応OK！】■〒イノアックコーポレーション/イノアック【E1-TAPE】(7625278) 断熱イソシアヌレートボード　サーマックス用テープ　２５&times;１０ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒イノアックコーポレーション/イノアック【E1-TAPE】(7625278) 断熱イソシアヌレートボード　サーマックス用テープ　２５&times;１０ｍ 受注単位1,生産加工用品\建築金物\建築資材。【カード対応OK！】■〒イノアックコーポレーション/イノアック【E1-TAPE】(7625278) 断熱イソシアヌレートボード　サーマックス用テープ　２５&times;１０ｍ 受注単位1[rn]
10-22613,,1700.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-RF25】(7627866) クリンセルター 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●乾式塗装ブース用背面フィルターです。<br>●ハニカム構造のため、低圧損でありながら高保持量をも可能にした製品です。<br><br>●吹付け塗装時の余剰塗料を吸着させる背面フィルター。<br><br>●厚み(mm)：55<br>●縦(mm)：500<br>●横(mm)：500<br><br>●45度傾斜切断ペーパーハニカム交互積層<br><br>●中芯原紙　<br>●天然ヤシ繊維<br>",『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-RF25】(7627866) クリンセルター 受注単位1：クローバー資材館,『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-RF25】(7627866) クリンセルター 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-RF25】(7627866) クリンセルター 受注単位1[rn]
10-22614,,5862.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒イノアックコーポレーション/イノアック【E1-20】(7625260) 断熱イソシアヌレートボード　サーマックス　２０×９１０×１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品は規格外の商品の為、送料が別途発生致します。配送地域によって送料が異なりますので詳しくはお問い合わせください。</b></font><br><br>※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透湿が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br>●省エネ、遮熱などの断熱ボードとして。<br><br>●厚み(mm)：20<br>●長さ(m)：1.82<br>●幅(mm)：910<br><br>●不燃認定品（NM-0755）<br><br>",『カード対応OK！』###■〒イノアックコーポレーション/イノアック【E1-20】(7625260) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』###■〒イノアックコーポレーション/イノアック【E1-20】(7625260) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』###■〒イノアックコーポレーション/イノアック【E1-20】(7625260) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1[rn]
10-22615,,2592.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒アオイ化学工業/ＡＯＩ【KT20】(4835573) ケンタイト２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●高い復元性とはみ出しの無い目地板です。<br>●グリーン購入法の特定調達品目該当品で、環境に配慮した商品です。<br>●軽量で切断も容易です。<br><br>●コンクリート舗装、構造物の目地に。<br>●機械据付時の基礎に。<br>●防水用下地材に。（防音・防露用）<br><br>●厚み(mm)：20<br>●縦(mm)：1000<br>●横(mm)：1000<br>●質量(kg)：7.4<br>●板状<br><br>●ASTMD1751、NEXCO規格合格<br><br>●瀝青繊維質（木質チップ繊維＋特殊改質アスファルト）<br>",『カード対応OK！』###■〒アオイ化学工業/ＡＯＩ【KT20】(4835573) ケンタイト２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』###■〒アオイ化学工業/ＡＯＩ【KT20】(4835573) ケンタイト２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』###■〒アオイ化学工業/ＡＯＩ【KT20】(4835573) ケンタイト２０ｍｍ 受注単位1[rn]
10-22616,,11404.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●保水性良好でコンクリートの散水養生に最適です。<br>●寒冷時には、保温養生に使用できます。<br>●軽量で取り扱いしやすいマットです。<br><br>●コンクリートの散水養生に。<br>●コンクリートの保温養生に。<br><br>●長さ(m)：30<br>●幅(mm)：1000<br>●質量(kg)：5<br>●巻径６０cm<br><br>●NETIS登録番号：CG-090027-V(1号-A)<br><br>●ウレタンフォーム<br>●合成繊維<br>",【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1：クローバー資材館,【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1,生産加工用品\建築金物\建築資材。【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1[rn]
10-22617,,3129.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０×９１０×１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透室が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br>●省エネ、遮熱などの断熱ボードとして。<br><br>●厚み(mm)：20<br>●長さ(m)：1.82<br>●幅(mm)：910<br><br>●不燃認定品（NM-2616）<br><br>",『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1[rn]
10-22618,,2885.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０×９１０×１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透室が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br>●省エネ、遮熱などの断熱ボードとして。<br><br>●厚み(mm)：20<br>●長さ(m)：1.82<br>●幅(mm)：910<br><br><br>",『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1[rn]
10-22619,,567.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ペーパーからアルミまで、様々な材質で作られたハニカム材のサンプルキットです。<br><br>●パネル化試験、接着試験、対圧縮試験、整流試験等。<br><br>●厚み(mm)：22<br>●縦(mm)：220<br>●横(mm)：305<br><br><br>●中芯原紙<br>●水酸化アルミ紙<br>●E-段ボール<br>●PP<br>●塩化ビニル<br>●アルミニウム<br>",『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1：クローバー資材館,『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1[rn]
10-22620,,1519.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●乾式塗装ブース用背面フィルターです。<br>●ハニカム構造のため、低圧損でありながら高保持量をも可能にした製品です。<br><br>●吹付け塗装時の余剰塗料を吸着させる背面フィルター。<br><br>●厚み(mm)：50<br>●縦(mm)：500<br>●横(mm)：500<br><br>●45度傾斜切断ペーパーハニカム交互積層<br><br>●中芯原紙<br>",『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1：クローバー資材館,『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1[rn]
10-22621,,6996.0000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０×５０ｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透湿が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br><br>●長さ(m)：50<br>●幅(mm)：50<br><br><br>",【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０&times;５０ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０&times;５０ｍ 受注単位1,生産加工用品\建築金物\建築資材。【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０&times;５０ｍ 受注単位1[rn]
10-22622,,7544.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：80<br>●車輪幅B(mm)：22<br>●適合機種：FS-80V<br>●軸径(mm)：12<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br>",『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1[rn]
10-22623,,11436.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：90<br>●車輪幅B(mm)：24<br>●適合機種：FS-90V<br>●軸径(mm)：14<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br>",『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1[rn]
10-22624,,3652.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：50<br>●車輪幅B(mm)：18<br>●適合機種：FS-50V<br>●軸径(mm)：10<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br>",『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1[rn]
10-22625,,16465.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：250<br>●車輪径(mm)：100<br>●車輪幅(mm)：24<br>●取付高H(mm)：105<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：165×34<br>●取付ピッチX(mm)：130<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br>",『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1[rn]
10-22626,,6406.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：100<br>●車輪径(mm)：70<br>●車輪幅(mm)：22<br>●取付高H(mm)：80<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：145×34<br>●取付ピッチX(mm)：110<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br>",『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1[rn]
10-22627,,4070.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：60<br>●車輪幅B(mm)：20<br>●適合機種：FS-60V<br>●軸径(mm)：10<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br>",『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1[rn]
10-22628,,12274.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：200<br>●車輪径(mm)：90<br>●車輪幅(mm)：24<br>●取付高H(mm)：100<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：165×34<br>●取付ピッチX(mm)：130<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br>",『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1[rn]
10-22629,,14968.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：100<br>●車輪幅B(mm)：24<br>●適合機種：FS-100V<br>●軸径(mm)：14<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br>",『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1[rn]
10-22630,,5688.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-70V】(7596294) ステンレス製重量戸車用車　車径Φ７０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：70<br>●車輪幅B(mm)：22<br>●適合機種：FS-70V<br>●軸径(mm)：12<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br>",『カード対応OK！』■〒ダイケン【DS-70V】(7596294) ステンレス製重量戸車用車　車径Φ７０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-70V】(7596294) ステンレス製重量戸車用車　車径Φ７０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-70V】(7596294) ステンレス製重量戸車用車　車径Φ７０ 受注単位1[rn]
10-22631,,8681.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-80V】(7596367) ステンレス製重量戸車　車径Φ８０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：150<br>●車輪径(mm)：80<br>●車輪幅(mm)：22<br>●取付高H(mm)：85<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：145×34<br>●取付ピッチX(mm)：110<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br>",『カード対応OK！』■〒ダイケン【FS-80V】(7596367) ステンレス製重量戸車　車径Φ８０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-80V】(7596367) ステンレス製重量戸車　車径Φ８０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-80V】(7596367) ステンレス製重量戸車　車径Φ８０ 受注単位1[rn]
