10-24101,,5457.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br>●全長(mm):600<br>●質量(g):429<br>●先端内径:3mm<br>●100mm単位加工<br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置。『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1[rn]
10-24112,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939626.jpg?fitin=700:700,665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　Ｈ型【900M-T-H】(2554950) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●900シリーズの交換コテ先です。",『カード対応OK！』■〒白光/白光　こて先　Ｈ型【900M-T-H】(2554950) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　こて先　Ｈ型【900M-T-H】(2554950) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　Ｈ型【900M-T-H】(2554950) 受注単位：1[rn]
10-24113,,4899.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新潟精機/ＳＫ【SC-PDXD】(4954785) ダイヤケガキ（商品コード：２５５） 受注単位1,生産加工用品\測定工具\ケガキ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ダイヤモンドチップ付のケガキ針でガラス等の硬い表面にもケガキができます。<br><br>●ケガキ作業に。<br><br>●全長(mm)：134<br>●軸径(mm)：8<br>●先端チップ径(mm)：2.2<br>●先端形状：ダイヤモンドチップ付<br>●質量(g)：25<br><br><br>●先端部：ダイヤモンドチップ<br>●本体：真鍮<br>",『カード対応OK！』■〒新潟精機/ＳＫ【SC-PDXD】(4954785) ダイヤケガキ（商品コード：２５５） 受注単位1：クローバー資材館,『カード対応OK！』■〒新潟精機/ＳＫ【SC-PDXD】(4954785) ダイヤケガキ（商品コード：２５５） 受注単位1,生産加工用品\測定工具\ケガキ用品。『カード対応OK！』■〒新潟精機/ＳＫ【SC-PDXD】(4954785) ダイヤケガキ（商品コード：２５５） 受注単位1[rn]
10-24114,,19181.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【LLP-5RG】(7736517) ラインレーザープロジェクター５ＲＧ 受注単位1,生産加工用品\測定工具\ケガキ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●マーキングできない場所にレーザーでガイドラインをくっきり表示します。<br>●3ヶ所の回転部分があるため、上下、左右、360度あらゆる方向へラインを照射可能です。<br>●台座がマグネットになっているため、簡単に取付可能です。<br>●マーキングできない場所にレーザーでガイドラインをくっきり表示します。<br>●3ヶ所の回転部分があるため、上下、左右、360度あらゆる方向へラインを照射可能です。<br>●台座がマグネットになっているため、簡単に取付可能です。<br><br>●石こうボードや木材などの切断の際の目安として。<br>●石こうボードや木材などの切断の際の目印として。<br><br>●サイズ(mm)：60×55×40<br><br>●光出力：5mW以下<br>●光源：532nm緑色半導体レーザー<br>●光出力：1mW以下<br>●光源：515nm緑色半導体レーザー<br>●ライン指示精度：±1mm/5m(直線性)<br>●動作温度：-10℃～+50℃<br><br>",『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【LLP-5RG】(7736517) ラインレーザープロジェクター５ＲＧ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【LLP-5RG】(7736517) ラインレーザープロジェクター５ＲＧ 受注単位1,生産加工用品\測定工具\ケガキ用品。『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ【LLP-5RG】(7736517) ラインレーザープロジェクター５ＲＧ 受注単位1[rn]
10-24115,,10015.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2400NK】(4728041)サイドクランプ Ｔ溝２４用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●サブテーブルなどのテーブルに差し込みむだけでセット出来ます。<br>●クランプボルトを５°傾けているのでクランプ時の浮上り防止になります。<br>●クランプボルト用のネジ穴位置を3か所設けているので、必要に応じ変更できます。<br>●位置決めや平行出し、クランプ作業などに。<br>●幅(mm):63<br>●高さ(mm):135<br>●奥行(mm):24（0～-0.02）<br>●クランプストローク(mm):43<br>●底面からのネジの位置(mm)：85・110・135<br>●Ｔ溝に差し込みために厚みを 0～-0.02に仕上げております。<br>●ねじ寸法：M16<br>●ねじ長さ：70mm<br>●本体:S50C<br>●クランプボルト:S45C<br>●本体・クランプボルト(CBA-1670NK）<br>",『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2400NK】(4728041)サイドクランプ Ｔ溝２４用 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2400NK】(4728041)サイドクランプ Ｔ溝２４用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス。『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2400NK】(4728041)サイドクランプ Ｔ溝２４用 受注単位1[rn]
10-24116,,6459.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2200NK】(4728033)サイドクランプ Ｔ溝２２用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●サブテーブルなどのテーブルに差し込みむだけでセット出来ます。<br>●クランプボルトを５°傾けているのでクランプ時の浮上り防止になります。<br>●クランプボルト用のネジ穴位置を3か所設けているので、必要に応じ変更できます。<br>●位置決めや平行出し、クランプ作業などに。<br>●幅(mm):63<br>●高さ(mm):135<br>●奥行(mm):22（0～-0.02）<br>●クランプストローク(mm):45<br>●底面からのネジの位置(mm)：70・95・120<br>●Ｔ溝に差し込みために厚みを 0～-0.02に仕上げております。<br>●ねじ寸法：M16<br>●ねじ長さ：70mm<br>●本体:S50C<br>●クランプボルト:S45C<br>●本体・クランプボルト(CBA-1670NK）<br>",『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2200NK】(4728033)サイドクランプ Ｔ溝２２用 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2200NK】(4728033)サイドクランプ Ｔ溝２２用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス。『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2200NK】(4728033)サイドクランプ Ｔ溝２２用 受注単位1[rn]
10-24117,,6389.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2000NK】(4728025)サイドクランプ Ｔ溝２０用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●サブテーブルなどのテーブルに差し込みむだけでセット出来ます。<br>●クランプボルトを５°傾けているのでクランプ時の浮上り防止になります。<br>●クランプボルト用のネジ穴位置を3か所設けているので、必要に応じ変更できます。<br>●位置決めや平行出し、クランプ作業などに。<br>●幅(mm):63<br>●高さ(mm):120<br>●奥行(mm):20（0～-0.02）<br>●クランプストローク(mm):47<br>●底面からのネジの位置(mm)：70・95・120<br>●Ｔ溝に差し込みために厚みを 0～-0.02に仕上げております。<br>●ねじ寸法：M16<br>●ねじ長さ：70mm<br>●本体:S50C<br>●クランプボルト:S45C<br>●本体・クランプボルト(CBA-1670NK）<br>",『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2000NK】(4728025)サイドクランプ Ｔ溝２０用 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2000NK】(4728025)サイドクランプ Ｔ溝２０用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス。『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC2000NK】(4728025)サイドクランプ Ｔ溝２０用 受注単位1[rn]
10-24118,,5140.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC1800NK】(4728017)サイドクランプ Ｔ溝１８用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●サブテーブルなどのテーブルに差し込みむだけでセット出来ます。<br>●クランプボルトを５°傾けているのでクランプ時の浮上り防止になります。<br>●クランプボルト用のネジ穴位置を3か所設けているので、必要に応じ変更できます。<br>●位置決めや平行出し、クランプ作業などに。<br>●幅(mm):63<br>●高さ(mm):120<br>●奥行(mm):18（0～-0.02）<br>●クランプストローク(mm):49<br>●底面からのネジの位置(mm)：55・80・105<br>●Ｔ溝に差し込みために厚みを 0～-0.02に仕上げております。<br>●ねじ寸法：M16<br>●ねじ長さ：70mm<br>●本体:S50C<br>●クランプボルト:S45C<br>●本体・クランプボルト(CBA-1670NK）<br>",『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC1800NK】(4728017)サイドクランプ Ｔ溝１８用 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC1800NK】(4728017)サイドクランプ Ｔ溝１８用 受注単位1,生産加工用品\ツーリング・治工具\マシンバイス。『カード対応OK！』■〒（株）ニューストロング/ニューストロング 【SDC1800NK】(4728017)サイドクランプ Ｔ溝１８用 受注単位1[rn]
10-24119,,1060.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV8TB】(7624808) ＨＶ－８用Ｔ型ボルト 受注単位1,生産加工用品\ツーリング・治工具\ロータリーテーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●基準目盛り位置調整の為のＴ型ボルトです。<br><br><br>●適合機種：HV8<br>●質量(g)：150<br><br>●ＨＶ８専用<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV8TB】(7624808) ＨＶ&minus;８用Ｔ型ボルト 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV8TB】(7624808) ＨＶ&minus;８用Ｔ型ボルト 受注単位1,生産加工用品\ツーリング・治工具\ロータリーテーブル。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV8TB】(7624808) ＨＶ&minus;８用Ｔ型ボルト 受注単位1[rn]
10-24120,,1060.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV6TB】(7624794) ＨＶ－６用Ｔ型ボルト 受注単位1,生産加工用品\ツーリング・治工具\ロータリーテーブル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●基準目盛り位置調整の為のＴ型ボルトです。<br><br><br>●適合機種：HV6<br>●質量(g)：150<br><br>●ＨＶ６専用<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV6TB】(7624794) ＨＶ&minus;６用Ｔ型ボルト 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV6TB】(7624794) ＨＶ&minus;６用Ｔ型ボルト 受注単位1,生産加工用品\ツーリング・治工具\ロータリーテーブル。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【HV6TB】(7624794) ＨＶ&minus;６用Ｔ型ボルト 受注単位1[rn]
10-24121,,8584.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDS-15Y】(7681666) ドリルスリーブ焼入内径ＭＴ－１外径ＭＴ－５研磨品 受注単位1,生産加工用品\ツーリング・治工具\ドリルスリーブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ドリルやリーマーのモールステーパサイズを小さくするときに使用します。（使用ボール盤の主軸テーパサイズに合わすためなど）<br><br><br>●内側テーパ：MT1<br>●外側テーパ：MT5<br>●内径(mm)：12.1<br>●外径(mm)：44.4<br>●全長(mm)：156<br>●質量(kg)：1.4<br><br><br>●クロムモリブデン鋼（SCM415）<br>●焼き入れ研磨品<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDS-15Y】(7681666) ドリルスリーブ焼入内径ＭＴ&minus;１外径ＭＴ&minus;５研磨品 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDS-15Y】(7681666) ドリルスリーブ焼入内径ＭＴ&minus;１外径ＭＴ&minus;５研磨品 受注単位1,生産加工用品\ツーリング・治工具\ドリルスリーブ。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDS-15Y】(7681666) ドリルスリーブ焼入内径ＭＴ&minus;１外径ＭＴ&minus;５研磨品 受注単位1[rn]
10-24122,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002796523.jpg?fitin=700:700,256.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ－４１用交換チップ（標準先細）【PTZ91】(3335216) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ&minus;４１用交換チップ（標準先細）【PTZ91】(3335216) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ&minus;４１用交換チップ（標準先細）【PTZ91】(3335216) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ＰＴＺ&minus;４１用交換チップ（標準先細）【PTZ91】(3335216) 受注単位：1[rn]
10-24123,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002818431.jpg?fitin=700:700,1203.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＩＣ抜き【SS-08】(3027210) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●8～42ピンのICを縦方向から挟み込んで、各ピンを同時に引き抜くことができます。<br>●ローレットねじを締め込むことにより、はさんだICをそのままの状態で確実に保持します。",『カード対応OK！』■〒エンジニア/エンジニア　ＩＣ抜き【SS-08】(3027210) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ＩＣ抜き【SS-08】(3027210) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ＩＣ抜き【SS-08】(3027210) 受注単位：1[rn]
