10-20301,,1621.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。<br><br>●ラミネートフローリング材用。<br><br>●山数：15<br>●全長(mm)：82<br>●厚み(mm)：1.25<br>●有効刃長(mm)：59<br>●切断タイプ：直線<br>●パック入数(本)：5<br>●切断能力(mm)木材・合板：1.5～15<br>●切断能力(mm)フローリング材：1.5～15<br>●質量(g)：36<br><br>●適合機種：ボッシュ、マキタ、日立、リョービなどのTシャンク形状のジグソー<br><br>●バイメタル<br>",『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1[rn]
10-20312,,1768.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【T-308B】(7336632) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。<br><br>●化粧板・木材の仕上げ用。<br><br>●山数：11<br>●全長(mm)：117<br>●厚み(mm)：1.5<br>●有効刃長(mm)：91<br>●切断タイプ：直線<br>●パック入数(本)：5<br>●切断能力(mm)木材・合板：5～50<br>●切断能力(mm)化粧板：5～50<br>●質量(g)：50<br><br>●適合機種：ボッシュ、マキタ、日立、リョービなどのTシャンク形状のジグソー<br><br>●炭素工具鋼<br>",『カード対応OK！』■〒ボッシュ【T-308B】(7336632) ジグソーブレード５本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【T-308B】(7336632) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ【T-308B】(7336632) ジグソーブレード５本 受注単位1[rn]
10-20313,,20088.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒盛光/盛光 鈑金機器【BKOR-5613】(7772009) 盛光 折台 15×60×1350 発注単位1,作業用品\板金用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●作業台の辺に組付けてエッジを使用します。<br>
●トタン板の折り曲げを拍子木で叩いて使用します。<br>
●全長(mm):1350<br>
●厚み(mm):15<br>
●寸法(mm):15×63(55)×1350<br>
●幅(mm):63(55)<br>
●SS400",■〒盛光/盛光 鈑金機器【BKOR-5613】(7772009) 盛光 折台 15&times;60&times;1350 発注単位1：クローバー資材館,■〒盛光/盛光 鈑金機器【BKOR-5613】(7772009) 盛光 折台 15&times;60&times;1350 発注単位1,作業用品\板金用工具。■〒盛光/盛光 鈑金機器【BKOR-5613】(7772009) 盛光 折台 15&times;60&times;1350 発注単位1[rn]
10-20314,,1456.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1211MRCS】(7551045) スタッビー　ラチェッティングコンビネーションレンチ　１１ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デュアルパウル設計で細かいギアと高い耐久性を同時に実現しています。<br>●クロームメッキ仕上げなので汚れから守ります。<br>●切替レバーで簡単に回転方向を切り替えられます。<br>●面接触なのでトルクを確実に伝えます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：11<br>●厚み(mm)スパナ：5.56<br>●厚み(mm)めがね：8.73<br>●全長(mm)：100<br>●質量(g)：54<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1211MRCS】(7551045) スタッビー　ラチェッティングコンビネーションレンチ　１１ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1211MRCS】(7551045) スタッビー　ラチェッティングコンビネーションレンチ　１１ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1211MRCS】(7551045) スタッビー　ラチェッティングコンビネーションレンチ　１１ｍｍ 受注単位1[rn]
10-20315,,9752.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フナソー/フナソー　ポータブルバンドソーＨＳ１３Ｘ１４Ｘ１４２５　１４山【HS13X14X142514】(3315223) 受注単位10,作業用品\切断用品\バンドソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●経済性に優れ、切れ味も良好です。<br>●あらゆるバンドソー機械メーカーに対応可能です。",『カード対応OK！』■〒フナソー/フナソー　ポータブルバンドソーＨＳ１３Ｘ１４Ｘ１４２５　１４山【HS13X14X142514】(3315223) 受注単位10：クローバー資材館,『カード対応OK！』■〒フナソー/フナソー　ポータブルバンドソーＨＳ１３Ｘ１４Ｘ１４２５　１４山【HS13X14X142514】(3315223) 受注単位10,作業用品\切断用品\バンドソー。『カード対応OK！』■〒フナソー/フナソー　ポータブルバンドソーＨＳ１３Ｘ１４Ｘ１４２５　１４山【HS13X14X142514】(3315223) 受注単位10[rn]
10-20316,,1258.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　金工用パウダーメタルハイス　５本入り【T-118GFS】(3519805) 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。",『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　金工用パウダーメタルハイス　５本入り【T-118GFS】(3519805) 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　金工用パウダーメタルハイス　５本入り【T-118GFS】(3519805) 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　金工用パウダーメタルハイス　５本入り【T-118GFS】(3519805) 受注単位1[rn]
10-20317,,16200.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒盛光/盛光 切箸【HSLD-2827】(7811420) 盛光 本職板金鋏 ＳＬＤ新縦切 270mm 発注単位1,作業用品\板金用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●砂鉄系刃金日立安来ＳＬＤ鋼を刃に使用しています。<br>
●表面はクロニッケルメッキ仕上げです。<br>
●本職用板金鋏です。<br>
●板金加工用本職鋏。<br>
●切断能力(mm)鉄板:0.6<br>
●切断能力(mm)銅板:0.6<br>
●切断能力(mm)ステンレス板:0.5<br>
●全長(mm):295<br>
●刃長(mm):70<br>
●主対応素材:ステンレス・GL鋼板<br>
●本体:極軟鋼SAE1006<br>
●刃:日立安来刃金SLD鋼",■〒盛光/盛光 切箸【HSLD-2827】(7811420) 盛光 本職板金鋏 ＳＬＤ新縦切 270mm 発注単位1：クローバー資材館,■〒盛光/盛光 切箸【HSLD-2827】(7811420) 盛光 本職板金鋏 ＳＬＤ新縦切 270mm 発注単位1,作業用品\板金用工具。■〒盛光/盛光 切箸【HSLD-2827】(7811420) 盛光 本職板金鋏 ＳＬＤ新縦切 270mm 発注単位1[rn]
10-20318,,1408.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRCS】(7551002) スタッビー　ラチェッティングコンビネーションレンチ　１０ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デュアルパウル設計で細かいギアと高い耐久性を同時に実現しています。<br>●クロームメッキ仕上げなので汚れから守ります。<br>●切替レバーで簡単に回転方向を切り替えられます。<br>●面接触なのでトルクを確実に伝えます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：10<br>●厚み(mm)スパナ：4.76<br>●厚み(mm)めがね：8.73<br>●全長(mm)：95<br>●質量(g)：48<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRCS】(7551002) スタッビー　ラチェッティングコンビネーションレンチ　１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRCS】(7551002) スタッビー　ラチェッティングコンビネーションレンチ　１０ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRCS】(7551002) スタッビー　ラチェッティングコンビネーションレンチ　１０ｍｍ 受注単位1[rn]
10-20319,,1384.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用ジグソー替刃　１０枚入り　アルミ用　ＮＯ１２１４【N01214】(3092321) 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ビス止方式ジグソーメーカーに取り付け可能シャンクです。",『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用ジグソー替刃　１０枚入り　アルミ用　ＮＯ１２１４【N01214】(3092321) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用ジグソー替刃　１０枚入り　アルミ用　ＮＯ１２１４【N01214】(3092321) 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用ジグソー替刃　１０枚入り　アルミ用　ＮＯ１２１４【N01214】(3092321) 受注単位1[rn]
10-20320,,3421.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TFT-8332】(8188061) ＴＲＵＳＣＯ 板金ヒラツカミ 発注単位1,作業用品\板金用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●薄板の折り返し曲部をつぶせます。<br>
●全長(mm):230<br>
●口幅（mm）:83",■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TFT-8332】(8188061) ＴＲＵＳＣＯ 板金ヒラツカミ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TFT-8332】(8188061) ＴＲＵＳＣＯ 板金ヒラツカミ 発注単位1,作業用品\板金用工具。■〒トラスコ中山/ＴＲＵＳＣＯ 鋏Ｊ【TFT-8332】(8188061) ＴＲＵＳＣＯ 板金ヒラツカミ 発注単位1[rn]
10-20321,,2143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モトユキ/モトユキ　グローバルソー万能刃【ARB-165】(4096100) 受注単位1,作業用品\切断用品\チップソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ホワイトフッ素樹脂コーティングが、ヤニ・サビ・接着剤の付着を抑制します。<br>●レーザースリットが不快音をカットします。<br>●耐摩耗チップ採用で長寿命を実現します。<br>●いろいろ切れる万能刃です。",『カード対応OK！』■〒モトユキ/モトユキ　グローバルソー万能刃【ARB-165】(4096100) 受注単位1：クローバー資材館,『カード対応OK！』■〒モトユキ/モトユキ　グローバルソー万能刃【ARB-165】(4096100) 受注単位1,作業用品\切断用品\チップソー。『カード対応OK！』■〒モトユキ/モトユキ　グローバルソー万能刃【ARB-165】(4096100) 受注単位1[rn]
