10-21301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659938.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８×８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1：クローバー資材館,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1[rn]
10-21320,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939119.jpg?fitin=700:700,204.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き替芯【SKHS-BLA  (ｸﾛ 3ﾎﾞﾝｲﾘ)】(3358640) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き替芯【SKHS-BLA  (ｸﾛ 3ﾎﾞﾝｲﾘ)】(3358640) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き替芯【SKHS-BLA  (ｸﾛ 3ﾎﾞﾝｲﾘ)】(3358640) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き替芯【SKHS-BLA  (ｸﾛ 3ﾎﾞﾝｲﾘ)】(3358640) 受注単位1[rn]
10-21321,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825199.jpg?fitin=700:700,924.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　材木チョーク　赤【6213】(3352854) 受注単位24,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●マーキングチョークの普及品です。",『カード対応OK！』■〒たくみ/たくみ　材木チョーク　赤【6213】(3352854) 受注単位24：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　材木チョーク　赤【6213】(3352854) 受注単位24,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒たくみ/たくみ　材木チョーク　赤【6213】(3352854) 受注単位24[rn]
10-21322,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825159.jpg?fitin=700:700,190.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き【SKH-KYEL  (ｹｲｺｳｲｴﾛｰ)】(3358623) 受注単位1,工事用品\測量用品\建築用筆記具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ぬれた面にも筆記可能です。（油性）<br>●削り不要の4mm芯です。<br>●ノック型ホルダで汚れず最後まで使用可能です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き【SKH-KYEL  (ｹｲｺｳｲｴﾛｰ)】(3358623) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き【SKH-KYEL  (ｹｲｺｳｲｴﾛｰ)】(3358623) 受注単位1,工事用品\測量用品\建築用筆記具。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　すみつけクレヨン細書き【SKH-KYEL  (ｹｲｺｳｲｴﾛｰ)】(3358623) 受注単位1[rn]
10-21323,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004694045.jpg?fitin=700:700,21128.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタル水平器６０ＩＰ【DL-60IP】(4046145) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●容器保護等級:IP65です。<br>●バックライト機能付です。<br>●温度変化に強い肉厚アクリル気泡管を採用しています。<br>●上面と側面の２面デジタル液晶パネルです。",『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタル水平器６０ＩＰ【DL-60IP】(4046145) 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタル水平器６０ＩＰ【DL-60IP】(4046145) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタル水平器６０ＩＰ【DL-60IP】(4046145) 受注単位1[rn]
10-21324,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002855345.jpg?fitin=700:700,4799.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ　レーザービームレベル４５０ｍｍ【76476】(3099636) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●回転台を使用すれば、360°スムーズな水平出しができます。<br>●LED搭載、レーザービームのスイッチを入れると水平気泡管が光ります。",『カード対応OK！』■〒シンワ測定/シンワ　レーザービームレベル４５０ｍｍ【76476】(3099636) 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ　レーザービームレベル４５０ｍｍ【76476】(3099636) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒シンワ測定/シンワ　レーザービームレベル４５０ｍｍ【76476】(3099636) 受注単位1[rn]
10-21325,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005467770.jpg?fitin=700:700,2332.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５°【TL-300M】(4158245) 受注単位1,(4158245),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●レンズ効果で大きく見えるカマボコ型気泡管です。（水平）<br>●４５°測定可能です。<br>●箱型フレーム・スケール目盛付です。<br>●端面カバーが平らですので壁などにしっかりあてて測定が可能です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５&deg;【TL-300M】(4158245) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５&deg;【TL-300M】(4158245) 受注単位1,(4158245)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　３００ｍｍ　水平・垂直・４５&deg;【TL-300M】(4158245) 受注単位1[rn]
10-21326,,589.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　アイベル・マルダイガタ【RT-15】(4100123) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●機械、機器への取り付けに最適です。<br>●取付穴付です。",『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　アイベル・マルダイガタ【RT-15】(4100123) 受注単位1：クローバー資材館,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　アイベル・マルダイガタ【RT-15】(4100123) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　アイベル・マルダイガタ【RT-15】(4100123) 受注単位1[rn]
10-21327,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002804767.jpg?fitin=700:700,1548.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　箱型アルミレベル　３００ｍｍ【LAB-300  (300MM)】(2297035) 受注単位1,(2297035),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●レンズ効果で大きく見えるカマボコ型気泡管です。（水平）<br>●箱型フレーム・スケール目盛付です。<br>●蓄光シート、精度保持耐ショックカバー付です。<br>●4本目盛入です。<br>●調整方法:水平・垂直精度はそれぞれトルクスドライバーT10番で調節してください。（LAB-100、LABM-100の垂直は除く）<br>●垂直測定用端面マド付です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　箱型アルミレベル　３００ｍｍ【LAB-300  (300MM)】(2297035) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　箱型アルミレベル　３００ｍｍ【LAB-300  (300MM)】(2297035) 受注単位1,(2297035)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　箱型アルミレベル　３００ｍｍ【LAB-300  (300MM)】(2297035) 受注単位1[rn]
10-21328,,1949.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル（赤×黒）【RB-270300MM】(4050801) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●レンズ効果で大きく見えるカマボコ型気泡管を搭載しています。<br>●ロングセラーL-270アルミレベルの赤×黒バージョンです。<br>●精度補正機構付です。",『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル（赤&times;黒）【RB-270300MM】(4050801) 受注単位1：クローバー資材館,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル（赤&times;黒）【RB-270300MM】(4050801) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル（赤&times;黒）【RB-270300MM】(4050801) 受注単位1[rn]
10-21329,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005021374.jpg?fitin=700:700,660.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エビス/エビスダイヤモンド　カードレベル・ブルー【ED-CDBL】(4105401) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●いろいろな角度・勾配を測れます。<br>●便利な目盛付です。<br>●カードサイズなので携帯に便利です。",『カード対応OK！』■〒エビス/エビスダイヤモンド　カードレベル・ブルー【ED-CDBL】(4105401) 受注単位1：クローバー資材館,『カード対応OK！』■〒エビス/エビスダイヤモンド　カードレベル・ブルー【ED-CDBL】(4105401) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒エビス/エビスダイヤモンド　カードレベル・ブルー【ED-CDBL】(4105401) 受注単位1[rn]
10-21330,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820687.jpg?fitin=700:700,414.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ　ハンディレベルＲｅｖｏダブル【76426】(3099555) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●測定面がV溝加工のため、円状の上でも測定できます。",『カード対応OK！』■〒シンワ測定/シンワ　ハンディレベルＲｅｖｏダブル【76426】(3099555) 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ　ハンディレベルＲｅｖｏダブル【76426】(3099555) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒シンワ測定/シンワ　ハンディレベルＲｅｖｏダブル【76426】(3099555) 受注単位1[rn]
10-21331,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376644.jpg?fitin=700:700,2173.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　マグネット付　３８０ｍｍ【LAHM-380  (380MM)】(2296543) 受注単位1,(2296543),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●アイビーム型フレームの定番品です。大径気泡管で見やすいです。<br>●4本目盛入です。<br>●45°測定可能です。（150mmは45°測定用気泡管なし）<br>●V溝付です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　マグネット付　３８０ｍｍ【LAHM-380  (380MM)】(2296543) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　マグネット付　３８０ｍｍ【LAHM-380  (380MM)】(2296543) 受注単位1,(2296543)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミレベル　マグネット付　３８０ｍｍ【LAHM-380  (380MM)】(2296543) 受注単位1[rn]
10-21332,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005021405.jpg?fitin=700:700,1189.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ１２・取付タイプ【R12T】(4105788) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●機器に取り付けができます。<br>●ホルダー付でねじ止めできます。",『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ１２・取付タイプ【R12T】(4105788) 受注単位1：クローバー資材館,『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ１２・取付タイプ【R12T】(4105788) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ１２・取付タイプ【R12T】(4105788) 受注単位1[rn]
10-21333,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005021405.jpg?fitin=700:700,1520.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ２０・取付タイプ【R20T】(4105877) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●機器に取り付けができます。<br>●ホルダー付でねじ止めできます。",『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ２０・取付タイプ【R20T】(4105877) 受注単位1：クローバー資材館,『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ２０・取付タイプ【R20T】(4105877) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒エビス/エビスダイヤモンド　丸型気泡管φ２０・取付タイプ【R20T】(4105877) 受注単位1[rn]
10-21334,,1388.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル【L-550450MM】(4050649) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●見やすい大型気泡管を搭載しています。<br>●仮枠大工さんに便利な垂直測定マド付です。",『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル【L-550450MM】(4050649) 受注単位1：クローバー資材館,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル【L-550450MM】(4050649) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　箱型アルミレベル【L-550450MM】(4050649) 受注単位1[rn]
10-21335,,4296.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　配管職人用水平器【HL-330】(4050568) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1本で6役。1/50・1/100・水平・垂直・45°・マスレベルが測定できます。<br>●Iビーム型フレームです。<br>●V溝付測定面です。",『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　配管職人用水平器【HL-330】(4050568) 受注単位1：クローバー資材館,『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　配管職人用水平器【HL-330】(4050568) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒アカツキ製作所/ＫＯＤ　配管職人用水平器【HL-330】(4050568) 受注単位1[rn]
10-21336,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002809738.jpg?fitin=700:700,953.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ　ブルーレベルＪｒ１５０ｍｍ【76334】(3367894) 受注単位1,工事用品\測量用品\水平器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高精度でコンパクトです。",『カード対応OK！』■〒シンワ測定/シンワ　ブルーレベルＪｒ１５０ｍｍ【76334】(3367894) 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ　ブルーレベルＪｒ１５０ｍｍ【76334】(3367894) 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒シンワ測定/シンワ　ブルーレベルＪｒ１５０ｍｍ【76334】(3367894) 受注単位1[rn]
10-21337,,18290.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【DISTO-D110】(7537671) レーザー距離計　ライカディストＤ１１０ 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量・コンパクト、ＤＩＳＴＯシリーズ最小です。<br>●iPhone/AndroidアプリLeica DISTO sketchに対応しています。<br>●暗いところでの測定に便利なバックライト付です。<br>●基本機能を距離測定、面積測定に絞り、シンプルで直感的な操作感。<br>●スマートフォンやPC端末の仕様は、その製品の販売元ホームページで確認ください。<br><br>●距離測定用レーザー距離計<br><br>●測定範囲(m)：0.2～60<br>●測定精度(mm)：±1.5<br>●最小表示(mm)：0.1<br>●高さ(mm)：120<br>●幅(mm)：37<br>●厚み(mm)：23<br><br>●測定項目：距離、面積、連続測定<br>●測定基準位置の設定：１ヵ所<br>●容器保護等級：ＩＰ５４<br>●保証期間：３年（要WEB登録）<br>●電源：単４アルカリ乾電池×２本（付属）<br>●レーザー安全基準：クラス2<br>●規格：国際標準化機構規格ＩＳＯ16331－1適合品<br>●保証：3年間保証（WEB登録）<br>●標準測定範囲：0.2m～60m<br>●標準測定公差：±1.5mm<br>●インターフェース：USB出力/BluetoothRsmart<br>●電源：単4形乾電池×2本<br><br>●外装：ABS樹脂・エラストマー樹脂<br>",『カード対応OK！』■〒ＴＪＭデザイン/タジマ【DISTO-D110】(7537671) レーザー距離計　ライカディストＤ１１０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【DISTO-D110】(7537671) レーザー距離計　ライカディストＤ１１０ 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ＴＪＭデザイン/タジマ【DISTO-D110】(7537671) レーザー距離計　ライカディストＤ１１０ 受注単位1[rn]
10-21338,http://tshop.r10s.jp/clover9608/cabinet/youki10/n600a.jpg?fitin=700:700,19184.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日動工業/日動【N600A】携帯型 レーザー距離計 (600mまで) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
ゴルフやレジャーに。<br>
<br>
屋外型（IP65）<br>
赤外線レーザー光で距離・速度・角度・高さを測定します。<br>
 距離の単位はメートル・ヤード表示切替式です。<br>
<br>
※ 本製品は簡易距離計です。<br>
 測定結果は公的な証明には使用できません。<br>
レジャー用商品です。 <br>
<br>
<br>
<img src=""http://image.rakuten.co.jp/clover9608/cabinet/youki10/nichido-n600-1200a-1.jpg"" alt="""" ><br>

<img src=""http://image.rakuten.co.jp/clover9608/cabinet/youki10/nichido-n600-1200a-2.jpg"" alt="""" ><br>",■〒日動工業/日動【N600A】携帯型 レーザー距離計 (600mまで) 受注単位1：クローバー資材館,■〒日動工業/日動【N600A】携帯型 レーザー距離計 (600mまで) 受注単位1,工事用品\測量用品\レーザー距離計。■〒日動工業/日動【N600A】携帯型 レーザー距離計 (600mまで) 受注単位1[rn]
10-21339,,5830.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02R】(7537751) レーザー距離計タジマＦ０２レッド 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小さくても高性能なISO適合レーザー距離計です。<br>●簡単・安全に距離測定が可能です。（PSＣマーク認定）<br>●暗がりでも見やすいバックライト付です。<br>●大工仕事に活かせる尺相当（10／33ｍ）表示切り替えが可能です。<br>●小さくても高性能なISO適合レーザー距離計です。<br>●胸ポケットに入る手のひらサイズです。<br>●連続測定で距離をタイムリーに表示できます。<br>●距離・面積の測定が簡単にできます。<br><br><br>●測定範囲(m)：0.2～20<br>●測定精度(mm)：±3.0<br>●最小表示(mm)：1<br>●高さ(mm)：111<br>●幅(mm)：35.4<br>●厚み(mm)：22.3<br><br>●測定項目：距離、面積、連続測定<br>●測定基準位置の設定：１ヵ所<br>●容器保護等級：ＩＰ40<br>●保証期間：2年<br>●電源：単４アルカリ乾電池×２本（付属）<br>●レーザー安全基準：クラス2<br><br>●外装：ABS樹脂・エラストマー樹脂<br>",『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02R】(7537751) レーザー距離計タジマＦ０２レッド 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02R】(7537751) レーザー距離計タジマＦ０２レッド 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02R】(7537751) レーザー距離計タジマＦ０２レッド 受注単位1[rn]
10-21340,,5830.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02BK】(7537743) レーザー距離計タジマＦ０２ブラック 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小さくても高性能なISO適合レーザー距離計です。<br>●簡単・安全に距離測定が可能です。（PSＣマーク認定）<br>●暗がりでも見やすいバックライト付です。<br>●大工仕事に活かせる尺相当（10／33ｍ）表示切り替えが可能です。<br>●小さくても高性能なISO適合レーザー距離計です。<br>●胸ポケットに入る手のひらサイズです。<br>●連続測定で距離をタイムリーに表示できます。<br>●距離・面積の測定が簡単にできます。<br><br><br>●測定範囲(m)：0.2～20<br>●測定精度(mm)：±3.0<br>●最小表示(mm)：1<br>●高さ(mm)：111<br>●幅(mm)：35.4<br>●厚み(mm)：22.3<br><br>●測定項目：距離、面積、連続測定<br>●測定基準位置の設定：１ヵ所<br>●容器保護等級：ＩＰ40<br>●保証期間：2年<br>●電源：単４アルカリ乾電池×２本（付属）<br>●レーザー安全基準：クラス2<br><br>●外装：ABS樹脂・エラストマー樹脂<br>",『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02BK】(7537743) レーザー距離計タジマＦ０２ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02BK】(7537743) レーザー距離計タジマＦ０２ブラック 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ＴＪＭデザイン/タジマ【LKT-F02BK】(7537743) レーザー距離計タジマＦ０２ブラック 受注単位1[rn]
10-21341,,8450.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【GLM40】(4954882) レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●簡単操作で正確な測定ができます。<br>●実用的機能を搭載したベーシックモデルです。<br>●簡単操作で正確な測定ができます。<br>●実用的機能を搭載したベーシックモデルです。<br><br>●距離測定に<br><br>●測定範囲(m)：0.15～40<br>●測定精度(mm)：±2<br>●最小表示(mm)：1<br>●高さ(mm)：105<br>●幅(mm)：41<br>●厚み(mm)：24<br>●質量(g)：90<br><br>●測定項目：距離、面積、容積体積、ピタゴラス測定<br>●測定基準位置の設定：１ヵ所<br>●容器保護等級：IP54<br>●保証期間：１年<br>●電源：単4アルカリ乾電池×2本（付属）<br>●レーザー安全基準：クラス２<br>●光源：レーザーダイオード　<br>●波長：635nm  <br>●出力：１ｍW以下（クラス２）　<br>●測定範囲：0.15m～40m  <br>●測定単位：1mm  <br>●測定精度　±2mm(標準測定時）<br>●使用温度範囲：-10℃～＋50℃　<br>●保管温度範囲：-20℃～＋70℃　<br>●電源：単４アルカリ電池×2本<br>●自動電源オフ：約５分<br>●防塵防水性能：　ＩＰ５４　　<br>●サイズ：105ｍｍ×41ｍｍ×24ｍｍ<br>●本体重量100ｇ（三脚取り付けアダプター含む）<br><br>",『カード対応OK！』■〒ボッシュ【GLM40】(4954882) レーザー距離計 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【GLM40】(4954882) レーザー距離計 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ボッシュ【GLM40】(4954882) レーザー距離計 受注単位1[rn]
10-21342,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004392843.jpg?fitin=700:700,36774.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM250VF】(3875091) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●簡単操作で正確な測定ができます。<br>●光学ファインダーを内蔵し、屋外でもレーザーの測距点を確認できます。",『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM250VF】(3875091) 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM250VF】(3875091) 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒ボッシュ/ボッシュ　レーザー距離計【GLM250VF】(3875091) 受注単位1[rn]
