10-92501,http://tshop.r10s.jp/hotroadtoyohashi/cabinet/1610/7161013407_1.jpg?fitin=700:700,7128.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102,【10000円～送料無料】【定番商品】,ツライチ！に決めるワイトレシリーズに10mmタイプ登場<br>通常のスペーサーでは対応が難しい大幅なオフセット・トレッドの変更に対応可能！<br> 足元がキラリと光る！ワイドトレッドスペーサーです。<br> <br><br>耐久に優れたスチール製です。<br> ボルト、ナットは純正以上の強度と安心の浸炭焼き入れクロムモリブデン鋼　<br><br> <br> ■仕様<br><br> 厚さ：10mm<br> P.C.D：114.3<br> 穴数：5<br> ピッチ：1.5<br> ハブ径：約73mm<br> 入数：2個<br> <br> <br> 【注意事項】<br> ・本製品はショーカー及び競技車両専用パーツです。一般公道での使用はおやめ下さい。<br> ・本製品は2個1セットです。4輪に使用する場合、2セット必要となります。<br> ・本製品はアルミホール専用です。鉄ホイールには使用できません。<br> ・本製品を装着することでタイヤ及びホイールがボディよりはみ出したり、フェンダーやタイヤハウスと接触したりする場合があります。必ず充分に確認した上でご使用下さい。<br> ・本製品は必ず単独でご使用下さい。他のスペーサー類との併用は絶対におやめ下さい。<br><br><br>,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102：カー用品のHot Road Second Shop,ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102,【10000円～送料無料】【定番商品】。ワイドトレッドスペーサー ワイトレ 10mm PCD114.3 5H PT1.5 スチール製 ブレイス：BZ-102[rn]
10-92559,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgp-005-2p.jpg?fitin=700:700,560.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 P-005-2P 4穴、5穴ホイールスペーサー 2枚入り,【メール便可能】,"ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを確認の上装着して下さい。
スペーサー取付後、ナット・ボルトのネジ山が10mm以上締まらない場合は使用しないで下さい。 

■仕様
・HOLE：4H&5H
・P.C.D.：98～114.3
・外径：135mm
・内径：73mm
・厚み：5mm
●φ73「ツバ付」ハブリング（U品番/P品番）の取付けが可能です。
※ハブリング対応スペーサーは、取り付けの際「WHEEL SIDE」を表（ホイール側）に取り付けて下さい。
※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 P-005-2P 4穴、5穴ホイールスペーサー 2枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 P-005-2P 4穴、5穴ホイールスペーサー 2枚入り,【メール便可能】。KYO-EI 協永 P-005-2P 4穴、5穴ホイールスペーサー 2枚入り[rn]
10-92560,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgp-008-2p.jpg?fitin=700:700,720.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 P-008-2P 4穴、5穴ホイールスペーサー 2枚入り,【メール便可能】,"ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを確認の上装着して下さい。
スペーサー取付後、ナット・ボルトのネジ山が10mm以上締まらない場合は使用しないで下さい。 

■仕様
・HOLE：4H&5H
・P.C.D.：98～114.3
・外径：135mm
・内径：75mm
・厚み：8mm",KYO-EI 協永 P-008-2P 4穴、5穴ホイールスペーサー 2枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 P-008-2P 4穴、5穴ホイールスペーサー 2枚入り,【メール便可能】。KYO-EI 協永 P-008-2P 4穴、5穴ホイールスペーサー 2枚入り[rn]
10-92561,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgp-010-2p.jpg?fitin=700:700,960.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 P-010-2P 4穴、5穴ホイールスペーサー 2枚入り,【メール便可能】,"ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを確認の上装着して下さい。
スペーサー取付後、ナット・ボルトのネジ山が10mm以上締まらない場合は使用しないで下さい。 

■仕様
・HOLE：4H&5H
・P.C.D.：98～114.3
・外径：135mm
・内径：75mm
・厚み：10mm",KYO-EI 協永 P-010-2P 4穴、5穴ホイールスペーサー 2枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 P-010-2P 4穴、5穴ホイールスペーサー 2枚入り,【メール便可能】。KYO-EI 協永 P-010-2P 4穴、5穴ホイールスペーサー 2枚入り[rn]
10-92562,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgp-056-2p.jpg?fitin=700:700,880.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 P-056-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り,【メール便可能】,"ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを確認の上装着して下さい。
スペーサー取付後、ナット・ボルトのネジ山が10mm以上締まらない場合は使用しないで下さい。 

■仕様
・HOLE：5H&6H
・P.C.D.：139.7
・外径：165mm
・内径：111mm
・厚み：5mm

 
※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 P-056-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 P-056-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り,【メール便可能】。KYO-EI 協永 P-056-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り[rn]
10-92563,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgp-016-2p.jpg?fitin=700:700,1040.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 P-016-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り,【メール便可能】,"ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを確認の上装着して下さい。
スペーサー取付後、ナット・ボルトのネジ山が10mm以上締まらない場合は使用しないで下さい。 

■仕様
・HOLE：5H&6H
・P.C.D.：139.7
・外径：165mm
・内径：111mm
・厚み：10mm

 
※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 P-016-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 P-016-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り,【メール便可能】。KYO-EI 協永 P-016-2P 5穴、6穴ホイールスペーサー4WD用 2枚入り[rn]
10-92564,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgp-155.jpg?fitin=700:700,1840.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 P-155 5穴ホイールスペーサー ランクル用 1枚入り,【メール便可能】,"■適応車種：ランドクルーザー100、200用
ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを確認の上装着して下さい。
スペーサー取付後、ナット・ボルトのネジ山が１０mm以上締まらない場合は使用しないで下さい。 

■仕様
・HOLE：5H
・P.C.D.：150
・外径：175mm
・内径：112mm
・厚み：5mm

 
※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 P-155 5穴ホイールスペーサー ランクル用 1枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 P-155 5穴ホイールスペーサー ランクル用 1枚入り,【メール便可能】。KYO-EI 協永 P-155 5穴ホイールスペーサー ランクル用 1枚入り[rn]
10-92565,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgp-115.jpg?fitin=700:700,2320.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 P-115 5穴ホイールスペーサー ランクル用 1枚入り,【メール便可能】,"■適応車種：ランドクルーザー100、200用
ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを確認の上装着して下さい。
スペーサー取付後、ナット・ボルトのネジ山が１０mm以上締まらない場合は使用しないで下さい。 

■仕様
・HOLE：5H
・P.C.D.：150
・外径：175mm
・内径：112mm
・厚み：10mm

 
※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 P-115 5穴ホイールスペーサー ランクル用 1枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 P-115 5穴ホイールスペーサー ランクル用 1枚入り,【メール便可能】。KYO-EI 協永 P-115 5穴ホイールスペーサー ランクル用 1枚入り[rn]
10-92566,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgwp02.jpg?fitin=700:700,760.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 WP02 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み2mm 1枚入り,【メール便可能】,"ワイド本体は5mm幅単位。
微妙なところはこの専用アジャスタブルプレートにより緻密にセッティングできます。
サイズは2, 3, 4mm幅の3種類を用意しております。

■仕様
・HOLE：4H&5H
・P.C.D.：98～114.3
・外径：145mm
・内径：73mm
・厚み：2mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 WP02 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み2mm 1枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 WP02 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み2mm 1枚入り,【メール便可能】。KYO-EI 協永 WP02 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み2mm 1枚入り[rn]
10-92567,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgwp03.jpg?fitin=700:700,760.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 WP03 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み3mm 1枚入り,【メール便可能】,"ワイド本体は5mm幅単位。
微妙なところはこの専用アジャスタブルプレートにより緻密にセッティングできます。
サイズは2, 3, 4mm幅の3種類を用意しております。

■仕様
・HOLE：4H&5H
・P.C.D.：98～114.3
・外径：145mm
・内径：73mm
・厚み：3mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 WP03 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み3mm 1枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 WP03 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み3mm 1枚入り,【メール便可能】。KYO-EI 協永 WP03 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み3mm 1枚入り[rn]
10-92568,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgwp04.jpg?fitin=700:700,760.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 WP04 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み4mm 1枚入り,【メール便可能】,"ワイド本体は5mm幅単位。
微妙なところはこの専用アジャスタブルプレートにより緻密にセッティングできます。
サイズは2, 3, 4mm幅の3種類を用意しております。

■仕様
・HOLE：4H&5H
・P.C.D.：98～114.3
・外径：145mm
・内径：73mm
・厚み：4mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 WP04 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み4mm 1枚入り：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 WP04 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み4mm 1枚入り,【メール便可能】。KYO-EI 協永 WP04 ワイドトレッドスペーサー専用アジャスタブルプレート 厚み4mm 1枚入り[rn]
10-92569,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp55112m.jpg?fitin=700:700,3600.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP5 5112M ハブセントリックホイールスペーサー 厚み5mm 2枚入り メルセデスベンツ、アウディ用,【メール便可能】,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：112
・ハブ形状：ハブ無
・内径：66.5mm
・厚み：5mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP5 5112M ハブセントリックホイールスペーサー 厚み5mm 2枚入り メルセデスベンツ、アウディ用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP5 5112M ハブセントリックホイールスペーサー 厚み5mm 2枚入り メルセデスベンツ、アウディ用,【メール便可能】。KYO-EI 協永 Bimecc ビメック SP5 5112M ハブセントリックホイールスペーサー 厚み5mm 2枚入り メルセデスベンツ、アウディ用[rn]
10-92570,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp110steel.jpg?fitin=700:700,8400.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP110 Steel ハブセントリックホイールスペーサー 厚み10mm 2枚入り メルセデスベンツ用,,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：112
・ハブ形状：ハブ付
・内径：66.5mm
・厚み：10mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP110 Steel ハブセントリックホイールスペーサー 厚み10mm 2枚入り メルセデスベンツ用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP110 Steel ハブセントリックホイールスペーサー 厚み10mm 2枚入り メルセデスベンツ用,KYO-EI 協永 Bimecc ビメック SP110 Steel ハブセントリックホイールスペーサー 厚み10mm 2枚入り メルセデスベンツ用[rn]
10-92571,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp100a.jpg?fitin=700:700,9000.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP100A ハブセントリックホイールスペーサー 厚み15mm 2枚入り メルセデスベンツ用,,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：112
・ハブ形状：ハブ付
・内径：66.5mm
・厚み：15mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP100A ハブセントリックホイールスペーサー 厚み15mm 2枚入り メルセデスベンツ用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP100A ハブセントリックホイールスペーサー 厚み15mm 2枚入り メルセデスベンツ用,KYO-EI 協永 Bimecc ビメック SP100A ハブセントリックホイールスペーサー 厚み15mm 2枚入り メルセデスベンツ用[rn]
10-92572,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp100.jpg?fitin=700:700,10200.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP100 ハブセントリックホイールスペーサー 厚み20mm 2枚入り メルセデスベンツ、アウディ用,,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：112
・ハブ形状：ハブ付
・内径：66.5mm
・厚み：20mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP100 ハブセントリックホイールスペーサー 厚み20mm 2枚入り メルセデスベンツ、アウディ用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP100 ハブセントリックホイールスペーサー 厚み20mm 2枚入り メルセデスベンツ、アウディ用,KYO-EI 協永 Bimecc ビメック SP100 ハブセントリックホイールスペーサー 厚み20mm 2枚入り メルセデスベンツ、アウディ用[rn]
10-92573,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp55120.jpg?fitin=700:700,3600.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP5 5120 ハブセントリックホイールスペーサー 厚み5mm 2枚入り BMW用,【メール便可能】,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：120
・ハブ形状：ハブ無
・内径：72.6mm
・厚み：5mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP5 5120 ハブセントリックホイールスペーサー 厚み5mm 2枚入り BMW用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP5 5120 ハブセントリックホイールスペーサー 厚み5mm 2枚入り BMW用,【メール便可能】。KYO-EI 協永 Bimecc ビメック SP5 5120 ハブセントリックホイールスペーサー 厚み5mm 2枚入り BMW用[rn]
10-92574,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp80c.jpg?fitin=700:700,8400.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP80C ハブセントリックホイールスペーサー 厚み12mm 2枚入り BMW用,,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：120
・ハブ形状：ハブ付
・内径：72.6mm
・厚み：12mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP80C ハブセントリックホイールスペーサー 厚み12mm 2枚入り BMW用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP80C ハブセントリックホイールスペーサー 厚み12mm 2枚入り BMW用,KYO-EI 協永 Bimecc ビメック SP80C ハブセントリックホイールスペーサー 厚み12mm 2枚入り BMW用[rn]
10-92575,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp80d.jpg?fitin=700:700,9000.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP80D ハブセントリックホイールスペーサー 厚み15mm 2枚入り BMW用,,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：120
・ハブ形状：ハブ付
・内径：72.6mm
・厚み：15mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP80D ハブセントリックホイールスペーサー 厚み15mm 2枚入り BMW用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP80D ハブセントリックホイールスペーサー 厚み15mm 2枚入り BMW用,KYO-EI 協永 Bimecc ビメック SP80D ハブセントリックホイールスペーサー 厚み15mm 2枚入り BMW用[rn]
10-92576,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp80.jpg?fitin=700:700,10200.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP80 ハブセントリックホイールスペーサー 厚み20mm 2枚入り BMW用,,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：5
・P.C.D.：120
・ハブ形状：ハブ付
・内径：72.6mm
・厚み：20mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP80 ハブセントリックホイールスペーサー 厚み20mm 2枚入り BMW用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP80 ハブセントリックホイールスペーサー 厚み20mm 2枚入り BMW用,KYO-EI 協永 Bimecc ビメック SP80 ハブセントリックホイールスペーサー 厚み20mm 2枚入り BMW用[rn]
10-92577,http://tshop.r10s.jp/cps-mm/cabinet/tire/imgsp55x100-112.jpg?fitin=700:700,3600.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI 協永 Bimecc ビメック SP5 5×100-112 ハブセントリックホイールスペーサー 厚み5mm 2枚入り アウディ、フォルクスワーゲン用,【メール便可能】,"高品質、高精度を誇る信頼のブランド「Bimecc」のハブ付きスペーサー。
輸入車の足下を理想のトレッド幅（5・10・15・20mm）に調節できます。
スペーサーは各カーメーカーごとに専用設計の製品となり車両とのフィッティングも抜群です。

2枚1セットとなります。
製品は、アルミ製アルマイト仕上げ。 
5mmスペーサーとポルシェ7mmスペーサーはハブが付いていません。

■仕様
・HOLE：10Hマルチ
・P.C.D.：100/112
・ハブ形状：ハブ無
・内径：57.1mm
・厚み：5mm

※適合情報は必ずメーカーサイトにてご確認ください。",KYO-EI 協永 Bimecc ビメック SP5 5&times;100-112 ハブセントリックホイールスペーサー 厚み5mm 2枚入り アウディ、フォルクスワーゲン用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOKYO-EI 協永 Bimecc ビメック SP5 5&times;100-112 ハブセントリックホイールスペーサー 厚み5mm 2枚入り アウディ、フォルクスワーゲン用,【メール便可能】。KYO-EI 協永 Bimecc ビメック SP5 5&times;100-112 ハブセントリックホイールスペーサー 厚み5mm 2枚入り アウディ、フォルクスワーゲン用[rn]
10-92578,http://tshop.r10s.jp/hotroadparts/cabinet/1404/7140424503_1.jpg?fitin=700:700,1680.0000,,車用品・バイク用品 > カー用品 > ホイール・タイヤ周辺用品 > ホイールスペーサー,KYO-EI ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P P-010-2P/,【メール便選択で送料200円】,ツライチなど、ホイールのインセット(オフセット)を調整するためのスペーサー<br><br>■仕様<br>HOLE：4H&5H<br>P.C.D.：98～114.3<br>外形：135mm<br>内径：75mm<br>厚み：10mm<br><br>■注意<br>ディスクの取付面突起物がある場合は、本スペーサーが密着するかどうかを<br>確認の上装着して下さい<br><br>■インセットとは？<br>ホイールを縦に見てホイールの中心と車への取り付け面のズレのこと(旧オフセット)<br>2007年7月11日より国際基準に基づき、従来のオフセットという名称がインセットに変更<br><br><br>,KYO-EI ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P P-010-2P/：カー用品通販のホットロードパーツ,KYO-EI ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P P-010-2P/,【メール便選択で送料200円】。KYO-EI ホイールスペーサー 10mm PCD98～114.3 4/5H 2枚入り P-010-2P P-010-2P/[rn]
