8-10205,http://tshop.r10s.jp/clover9608/cabinet/kotomi4/nbh7377si.jpg?fitin=700:700,41277.6000,,花・ガーデン・DIY > DIY・工具 > その他,###サンウェーブ/LIXIL【NBH-7377SI】富士工業製 レンジフード NBH シロッコファン （高さ70cm） 間口75cm シルバー,換気扇\サンウェーブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<p>寸法：W75×D60.5×H70cm<br>
重量：17kg<br>
仕様50/60Hz<br>
スイッチ　強<br>
電力消費量：101/111W<br>
排気風量：590/550m3/h［0Pa］<br>
480/450m3/h［100Pa］<br>
運転音：42/40dB<br>
スイッチ　弱<br>
電力消費量：45/45W<br>
排気風量：315/290m3/h［0Pa］<br>
運転音：29/27dB</p>
●フッ素加工フィルター　● ミニ電球 40W<br>
●金属幕板（高さ30cm）<br>
○横幕板別売 ○L型ダクト別売（LD-15）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",###サンウェーブ/LIXIL【NBH-7377SI】富士工業製 レンジフード NBH シロッコファン （高さ70cm） 間口75cm シルバー：クローバー資材館,###サンウェーブ/LIXIL【NBH-7377SI】富士工業製 レンジフード NBH シロッコファン （高さ70cm） 間口75cm シルバー,換気扇\サンウェーブ。###サンウェーブ/LIXIL【NBH-7377SI】富士工業製 レンジフード NBH シロッコファン （高さ70cm） 間口75cm シルバー[rn]
8-10216,http://tshop.r10s.jp/clover9608/cabinet/nobe-9/tfd15.jpg?fitin=700:700,6495.2000,,花・ガーデン・DIY > DIY・工具 > その他,サンウェーブ/LIXIL【TFD15】回転式フレキシブルダクト,換気扇\サンウェーブ\レンジフード,"<p><font size=""4"" color=""#0033ff""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font></p><br><br><font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",サンウェーブ/LIXIL【TFD15】回転式フレキシブルダクト：クローバー資材館,サンウェーブ/LIXIL【TFD15】回転式フレキシブルダクト,換気扇\サンウェーブ\レンジフード。サンウェーブ/LIXIL【TFD15】回転式フレキシブルダクト[rn]
8-10217,,647.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-100】(7548575) 空調用４５°プレスエルボ１００φ 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●建設省告示第1400号で定められた金属板に該当する不燃材料です。<br>●現場で手軽に伸ばすことができ、狭い場所でも簡単に施工できます。<br>●亜鉛めっき鋼板を使用しているので防錆性、耐熱性に優れています。<br>●3m品を0.8mに圧縮しているので、収納・保管・搬入・輸送が容易です。<br><br>●集合住宅の厨房・浴室・トイレの換気ダクト・冷暖房用ダクト。<br>●オフィスビル・店舗ビルのダクト。<br>●産業用建物のダクトなど。<br><br>●長さ(m)：0.1×0.1<br>●内径(mm)：100<br>●外径(mm)：101.2<br>●許容曲げ半径(mm)：100<br>●質量(kg)：0.4<br><br>●使用温度範囲：-10～100℃<br><br>●溶融亜鉛メッキ鋼板<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-100】(7548575) 空調用４５&deg;プレスエルボ１００φ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-100】(7548575) 空調用４５&deg;プレスエルボ１００φ 受注単位1,工事用品\管工機材\空調ダクト。『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-100】(7548575) 空調用４５&deg;プレスエルボ１００φ 受注単位1[rn]
8-10218,,252.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-100】(7548559) 空調用ニップル１００φ 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●建設省告示第1400号で定められた金属板に該当する不燃材料です。<br>●現場で手軽に伸ばすことができ、狭い場所でも簡単に施工できます。<br>●亜鉛めっき鋼板を使用しているので防錆性、耐熱性に優れています。<br>●3m品を0.8mに圧縮しているので、収納・保管・搬入・輸送が容易です。<br><br>●集合住宅の厨房・浴室・トイレの換気ダクト・冷暖房用ダクト。<br>●オフィスビル・店舗ビルのダクト。<br>●産業用建物のダクトなど。<br><br>●長さ(m)：0.12<br>●内径(mm)：100<br>●外径(mm)：101.2<br>●許容曲げ半径(mm)：-<br>●質量(kg)：0.2<br><br>●使用温度範囲：-10～100℃<br><br>●溶融亜鉛メッキ鋼板<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-100】(7548559) 空調用ニップル１００φ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-100】(7548559) 空調用ニップル１００φ 受注単位1,工事用品\管工機材\空調ダクト。『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-100】(7548559) 空調用ニップル１００φ 受注単位1[rn]
8-10219,,5670.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オリエント商事/ＯＲＩＥＮＴ【C-50】(7597282) クランプ　５０個入 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●締め付けは、ドライバー1本だけ(プラス・マイナス両方可）で可能です。<br><br>●ダクトバンドリール用クランプ<br><br>●質量(g)：650<br><br><br>●ニッケルメッキ(ねじ部のみ亜鉛メッキ）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オリエント商事/ＯＲＩＥＮＴ【C-50】(7597282) クランプ　５０個入 受注単位1：クローバー資材館,『カード対応OK！』■〒オリエント商事/ＯＲＩＥＮＴ【C-50】(7597282) クランプ　５０個入 受注単位1,工事用品\管工機材\空調ダクト。『カード対応OK！』■〒オリエント商事/ＯＲＩＥＮＴ【C-50】(7597282) クランプ　５０個入 受注単位1[rn]
8-10220,,5670.4000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒オリエント商事/ＯＲＩＥＮＴ【DBR-30】(7597291) ダクトバンドリール　３０ｍ 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●様々な種類の口径のダクトに対応できます。<br>●ケースの周囲に各サイズが記してますので、ガイドで長さを測り、ジャストサイズでカットできます。<br>●持ち運び便利で在庫管理も軽減できます。<br><br>●ダクト用締めバンド。<br><br>●長さ(m)：30<br>●質量(kg)：1.52<br>●幅×長さ(mm×m)：9×30<br>●厚み(mm)：0.6<br><br><br>●ステンレス(SUS430)<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒オリエント商事/ＯＲＩＥＮＴ【DBR-30】(7597291) ダクトバンドリール　３０ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒オリエント商事/ＯＲＩＥＮＴ【DBR-30】(7597291) ダクトバンドリール　３０ｍ 受注単位1,工事用品\管工機材\空調ダクト。【カード対応OK！】■〒オリエント商事/ＯＲＩＥＮＴ【DBR-30】(7597291) ダクトバンドリール　３０ｍ 受注単位1[rn]
8-10221,,737.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-100】(7548591) 空調用９０°プレスエルボ１００φ 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●建設省告示第1400号で定められた金属板に該当する不燃材料です。<br>●現場で手軽に伸ばすことができ、狭い場所でも簡単に施工できます。<br>●亜鉛めっき鋼板を使用しているので防錆性、耐熱性に優れています。<br>●3m品を0.8mに圧縮しているので、収納・保管・搬入・輸送が容易です。<br><br>●集合住宅の厨房・浴室・トイレの換気ダクト・冷暖房用ダクト。<br>●オフィスビル・店舗ビルのダクト。<br>●産業用建物のダクトなど。<br><br>●長さ(m)：0.16×0.16<br>●内径(mm)：100<br>●外径(mm)：101.2<br>●許容曲げ半径(mm)：100<br>●質量(kg)：0.6<br><br>●使用温度範囲：-10～100℃<br><br>●溶融亜鉛メッキ鋼板<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-100】(7548591) 空調用９０&deg;プレスエルボ１００φ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-100】(7548591) 空調用９０&deg;プレスエルボ１００φ 受注単位1,工事用品\管工機材\空調ダクト。『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-100】(7548591) 空調用９０&deg;プレスエルボ１００φ 受注単位1[rn]
8-10222,,1475.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-150】(7548605) 空調用９０°プレスエルボ１５０φ 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●建設省告示第1400号で定められた金属板に該当する不燃材料です。<br>●現場で手軽に伸ばすことができ、狭い場所でも簡単に施工できます。<br>●亜鉛めっき鋼板を使用しているので防錆性、耐熱性に優れています。<br>●3m品を0.8mに圧縮しているので、収納・保管・搬入・輸送が容易です。<br><br>●集合住宅の厨房・浴室・トイレの換気ダクト・冷暖房用ダクト。<br>●オフィスビル・店舗ビルのダクト。<br>●産業用建物のダクトなど。<br><br>●長さ(m)：0.21×0.21<br>●内径(mm)：150<br>●外径(mm)：151.2<br>●許容曲げ半径(mm)：150<br>●質量(kg)：1.0<br><br>●使用温度範囲：-10～100℃<br><br>●溶融亜鉛メッキ鋼板<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-150】(7548605) 空調用９０&deg;プレスエルボ１５０φ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-150】(7548605) 空調用９０&deg;プレスエルボ１５０φ 受注単位1,工事用品\管工機材\空調ダクト。『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-90-150】(7548605) 空調用９０&deg;プレスエルボ１５０φ 受注単位1[rn]
8-10223,,396.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-150】(7548567) 空調用ニップル１５０φ 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●建設省告示第1400号で定められた金属板に該当する不燃材料です。<br>●現場で手軽に伸ばすことができ、狭い場所でも簡単に施工できます。<br>●亜鉛めっき鋼板を使用しているので防錆性、耐熱性に優れています。<br>●3m品を0.8mに圧縮しているので、収納・保管・搬入・輸送が容易です。<br><br>●集合住宅の厨房・浴室・トイレの換気ダクト・冷暖房用ダクト。<br>●オフィスビル・店舗ビルのダクト。<br>●産業用建物のダクトなど。<br><br>●長さ(m)：0.12<br>●内径(mm)：150<br>●外径(mm)：151.2<br>●許容曲げ半径(mm)：-<br>●質量(kg)：0.3<br><br>●使用温度範囲：-10～100℃<br><br>●溶融亜鉛メッキ鋼板<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-150】(7548567) 空調用ニップル１５０φ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-150】(7548567) 空調用ニップル１５０φ 受注単位1,工事用品\管工機材\空調ダクト。『カード対応OK！』■〒フジモリ産業/フジフレキ【F-NP-150】(7548567) 空調用ニップル１５０φ 受注単位1[rn]
8-10224,,1224.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-150】(7548583) 空調用４５°プレスエルボ１５０φ 受注単位1,工事用品\管工機材\空調ダクト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●建設省告示第1400号で定められた金属板に該当する不燃材料です。<br>●現場で手軽に伸ばすことができ、狭い場所でも簡単に施工できます。<br>●亜鉛めっき鋼板を使用しているので防錆性、耐熱性に優れています。<br>●3m品を0.8mに圧縮しているので、収納・保管・搬入・輸送が容易です。<br><br>●集合住宅の厨房・浴室・トイレの換気ダクト・冷暖房用ダクト。<br>●オフィスビル・店舗ビルのダクト。<br>●産業用建物のダクトなど。<br><br>●長さ(m)：0.12×0.12<br>●内径(mm)：150<br>●外径(mm)：151.2<br>●許容曲げ半径(mm)：150<br>●質量(kg)：0.8<br><br>●使用温度範囲：-10～100℃<br><br>●溶融亜鉛メッキ鋼板<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-150】(7548583) 空調用４５&deg;プレスエルボ１５０φ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-150】(7548583) 空調用４５&deg;プレスエルボ１５０φ 受注単位1,工事用品\管工機材\空調ダクト。『カード対応OK！』■〒フジモリ産業/フジフレキ【FP-45-150】(7548583) 空調用４５&deg;プレスエルボ１５０φ 受注単位1[rn]
8-10225,,1720.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立金属/日立　ブッシング【BU-65AX50A  (BU-2 1/2X2  35)】(1634445) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●粘り強く強靭さが特徴な「マレブル」製の継手です。<br>●表面処理は環境負荷を軽減した「優めっき」（RoHS対応）を採用しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立金属/日立　ブッシング【BU-65AX50A  (BU-2 1/2X2  35)】(1634445) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立金属/日立　ブッシング【BU-65AX50A  (BU-2 1/2X2  35)】(1634445) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒日立金属/日立　ブッシング【BU-65AX50A  (BU-2 1/2X2  35)】(1634445) 受注単位1[rn]
8-10226,,476.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フローバル【VMF-0201】(7341083) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４０１ 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ステンレス配管に対応しています。<br>●従来のねじ込み継手を更にグレードアップし、より使い易い継手として開発された商品です。<br><br>●蒸気・空気・ガス・油用。<br><br>●呼び径(A)：8×6<br>●呼び径(B)：1/4×1/8<br>●質量(g)：22<br>●L(mm)：27.0<br>●D(mm)：17<br>●A(mm)：11.0<br><br>●JIS B0203準拠<br>●最高使用圧力：300℃以下の蒸気・空気・ガス・油 1.0MPa、120℃以下の静流水 2.0MPa<br><br>●ステンレス（SCS13A）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フローバル【VMF-0201】(7341083) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４０１ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル【VMF-0201】(7341083) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４０１ 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒フローバル【VMF-0201】(7341083) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４０１ 受注単位1[rn]
8-10227,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659956.jpg?fitin=700:700,156.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノック/イノック　両ニップル【304N10A】(1756257) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イノック/イノック　両ニップル【304N10A】(1756257) 受注単位1：クローバー資材館,『カード対応OK！』■〒イノック/イノック　両ニップル【304N10A】(1756257) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒イノック/イノック　両ニップル【304N10A】(1756257) 受注単位1[rn]
8-10228,,1761.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　ニップル【PN-65A  (PN-2 1/2)】(1640135) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒キッツ/キッツ　ニップル【PN-65A  (PN-2 1/2)】(1640135) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　ニップル【PN-65A  (PN-2 1/2)】(1640135) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒キッツ/キッツ　ニップル【PN-65A  (PN-2 1/2)】(1640135) 受注単位1[rn]
8-10229,,2262.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　エルボ【PL-32A  (PL-1 1/4)】(1639323) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒キッツ/キッツ　エルボ【PL-32A  (PL-1 1/4)】(1639323) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　エルボ【PL-32A  (PL-1 1/4)】(1639323) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒キッツ/キッツ　エルボ【PL-32A  (PL-1 1/4)】(1639323) 受注単位1[rn]
8-10230,,5373.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　キャップ【PC-80A  (PC-3)】(1640666) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒キッツ/キッツ　キャップ【PC-80A  (PC-3)】(1640666) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　キャップ【PC-80A  (PC-3)】(1640666) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒キッツ/キッツ　キャップ【PC-80A  (PC-3)】(1640666) 受注単位1[rn]
8-10231,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659959.jpg?fitin=700:700,1042.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノック/イノック　径違いエルボ【304RL20AX15A】(1755412) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イノック/イノック　径違いエルボ【304RL20AX15A】(1755412) 受注単位1：クローバー資材館,『カード対応OK！』■〒イノック/イノック　径違いエルボ【304RL20AX15A】(1755412) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒イノック/イノック　径違いエルボ【304RL20AX15A】(1755412) 受注単位1[rn]
8-10232,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659961.jpg?fitin=700:700,330.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S20A】(1755676) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S20A】(1755676) 受注単位1：クローバー資材館,『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S20A】(1755676) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S20A】(1755676) 受注単位1[rn]
8-10233,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659534.jpg?fitin=700:700,2868.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノック/イノック　４５°エルボ【304･45L40A  (45ﾄﾞ)】(1753657) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イノック/イノック　４５&deg;エルボ【304･45L40A  (45ﾄﾞ)】(1753657) 受注単位1：クローバー資材館,『カード対応OK！』■〒イノック/イノック　４５&deg;エルボ【304･45L40A  (45ﾄﾞ)】(1753657) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒イノック/イノック　４５&deg;エルボ【304･45L40A  (45ﾄﾞ)】(1753657) 受注単位1[rn]
8-10234,,1137.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フローバル【VMF-0804】(7341164) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４１１ 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ステンレス配管に対応しています。<br>●従来のねじ込み継手を更にグレードアップし、より使い易い継手として開発された商品です。<br><br>●蒸気・空気・ガス・油用。<br><br>●呼び径(A)：25×15<br>●呼び径(B)：1×1/2<br>●質量(g)：129<br>●L(mm)：42.5<br>●D(mm)：38<br>●A(mm)：17.5<br><br>●JIS B0203準拠<br>●最高使用圧力：300℃以下の蒸気・空気・ガス・油 1.0MPa、120℃以下の静流水 2.0MPa<br><br>●ステンレス（SCS13A）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フローバル【VMF-0804】(7341164) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４１１ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル【VMF-0804】(7341164) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４１１ 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒フローバル【VMF-0804】(7341164) メスオスソケット（ＳＣＳ１３Ａ）　０４１０１４１１ 受注単位1[rn]
8-10235,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002606204.jpg?fitin=700:700,1643.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　配管支持用対面兼用三角ブラケット　スチール　３００Ｘ３００【TKL4-SB300-U  (ﾕﾆｸﾛﾒｯｷ)】(2872811) 受注単位1,(2872811),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●プレスフォーミングで高精度です。<br>●丈夫で美麗な表面処理加工が施されています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　配管支持用対面兼用三角ブラケット　スチール　３００Ｘ３００【TKL4-SB300-U  (ﾕﾆｸﾛﾒｯｷ)】(2872811) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　配管支持用対面兼用三角ブラケット　スチール　３００Ｘ３００【TKL4-SB300-U  (ﾕﾆｸﾛﾒｯｷ)】(2872811) 受注単位1,(2872811)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　配管支持用対面兼用三角ブラケット　スチール　３００Ｘ３００【TKL4-SB300-U  (ﾕﾆｸﾛﾒｯｷ)】(2872811) 受注単位1[rn]
