17-119599,http://tshop.r10s.jp/beautykura/cabinet/feau-fleur/item-for11.jpg?fitin=700:700,1280.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,フォーフルール フルールパフェ ローズシャワーミスト RSM 全身化粧水,【在庫処分】,,フォーフルール フルールパフェ ローズシャワーミスト RSM 全身化粧水：Ｂｅａｕｔｙ　Ｋｕｒａ,ミルボンセフィーヌレブロンナカノイオニートスセビオナプラハツモールビバニーズビーバンジョアクレイツノビィーシュワルツコフゲルマニウムクリアッシュリゲッタバーネルハホニコ米ぬか美人リアルケラスターゼフォーフルール フルールパフェ ローズシャワーミスト RSM 全身化粧水,【在庫処分】。フォーフルール フルールパフェ ローズシャワーミスト RSM 全身化粧水[rn]
17-119625,http://tshop.r10s.jp/naturavie/cabinet/mama/set/syo_b_lotion_3set.jpg?fitin=700:700,4320.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,【３本セット】ママ＆キッズ ベビーミルキーローション 150ml 乳液 ミルク ママアンドキッズ mama&kids ベビークリーム ベビー☆,3本セット!,"<!-- スマホ用画像 -->
<img src=""http://image.rakuten.co.jp/naturavie/cabinet/mama/s/4530025008928-s1a.jpg"" width=""100%"">
<img src=""http://image.rakuten.co.jp/naturavie/cabinet/mama/s/4530025008928-s2a.jpg"" width=""100%"">
<img src=""http://image.rakuten.co.jp/naturavie/cabinet/mama/s/4530025008928-s3a.jpg"" width=""100%"">
<img src=""http://image.rakuten.co.jp/naturavie/cabinet/mama/s/4530025008928-s4.jpg"" width=""100%"">
<br><br>
<!-- スマホ用画像　END -->

■ 商品名 ママ＆キッズ ベビーミルキーローション 150ml 3本セット <br>
■ ブランド ママ＆キッズ <br>
■ 製造元 株式会社ナチュラルサイエンス <br>
■ 原産地 日本 <br>
■ 容量 150ml×3本 <br>
■ 使用上の注意 ※お肌に合わない場合は、ご使用をおやめください。 <br>
■ 成分表示   <br>
●無香料●無着色●弱酸性●低刺激●パラベンフリー●アルコール（エタノール）フリー●鉱物油フリー●石油系界面活性剤フリー<br>
肌にうるおいを与える成分／8種のうるおいアミノ酸・スーパーオリゴ（エクストラオリゴピュア）<br>
肌の水分を補う成分／ミネラルイオン・トレハロース<br>
肌のバリア機能をサポートする成分／ベビーズエマルジョン（胎脂様成分） 他  <br>
<br>
製造元：株式会社ナチュラルサイエンス 原産国：日本 商品区分：化粧品<br>
広告文責：株式会社コスメランド 076-461-7885<br> 
<br>
【ママ＆キッズ カテゴリ一覧】<br>
・お得なセット商品<br>
・妊娠線予防ナチュラルマーククリーム<br>
・ベビーミルキーローション<br>
・バスト用美容液ビーアップホワイト<br>
・日焼け止め用<br>
・ベビーシャンプー<br>
・モイスチャーオリゴ<br>
・オリゴミルク<br>
・ファーミングリフト（産後のたるみ対策に）<br>
・ベビーギフトセット<br>
・バリアオイル（保湿オイル）<br>
・ムースマイルドソープ（赤ちゃんから使える）<br>
・ハンドクリーム<br>
・ママ＆キッズその他の商品<br>
・モイストオイルコンディショナーEX（自然派万能オイル）<br>
・オリゴモイストシャンプー<br>
・オリゴトリートメントミルク<br>
・出産準備セット<br>
・ベビーミルキークリーム<br>
・★全商品ラインナップ<br>

<br>
<br>
<img src=""http://image.rakuten.co.jp/naturavie/cabinet/sm/bnr_top.jpg"">

<br><br>
■ 商品名 ママ＆キッズ ベビーミルキーローション 150ml 3本セット <br>",【３本セット】ママ＆キッズ ベビーミルキーローション 150ml 乳液 ミルク ママアンドキッズ mama&amp;kids ベビークリーム ベビー☆：ナチュラヴィ,【３本セット】ママ＆キッズ ベビーミルキーローション 150ml 乳液 ミルク ママアンドキッズ mama&amp;kids ベビークリーム ベビー☆,3本セット!。【３本セット】ママ＆キッズ ベビーミルキーローション 150ml 乳液 ミルク ママアンドキッズ mama&amp;kids ベビークリーム ベビー☆[rn]
17-119626,http://tshop.r10s.jp/naturavie/cabinet/soaper/s_bon_bmk_nl.jpg?fitin=700:700,2000.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ボンヌプランツ ボディミルク ネロリ ＜ネロリ＆収斂＞ 200ml 【スウィーツソーパー】☆,,"こだわりの植物オイルに美肌成分のヒアルロン酸をブレンド<br>

お肌に潤いを与えるコメヌカオイルを中心に美肌成分である植物由来のヒアルロン酸をブレンドしました。<br>
オールシーズン使えるように、軽くなめらかな使い心地を追及。<br>
お肌にスーッとなじみ、べたつきのない潤いが持続します。<br>
シーン別にブレンドされたアロマオイルが<br>
フレグランス感覚でお肌を包みその芳醇な香りに癒されます。",ボンヌプランツ ボディミルク ネロリ ＜ネロリ＆収斂＞ 200ml 【スウィーツソーパー】☆：ナチュラヴィ,ボンヌプランツ ボディミルク ネロリ ＜ネロリ＆収斂＞ 200ml 【スウィーツソーパー】☆,ボンヌプランツ ボディミルク ネロリ ＜ネロリ＆収斂＞ 200ml 【スウィーツソーパー】☆[rn]
17-119627,http://tshop.r10s.jp/naturavie/cabinet/soaper/s_bon_bmk_cr.jpg?fitin=700:700,1600.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ボンヌプランツ ボディミルク シトラス ＜シトラス＆輝き＞ 200ml 【スウィーツソーパー】☆,,"こだわりの植物オイルに美肌成分のヒアルロン酸をブレンド<br>

お肌に潤いを与えるコメヌカオイルを中心に美肌成分である植物由来のヒアルロン酸をブレンドしました。<br>
オールシーズン使えるように、軽くなめらかな使い心地を追及。<br>
お肌にスーッとなじみ、べたつきのない潤いが持続します。<br>
シーン別にブレンドされたアロマオイルが<br>
フレグランス感覚でお肌を包みその芳醇な香りに癒されます。",ボンヌプランツ ボディミルク シトラス ＜シトラス＆輝き＞ 200ml 【スウィーツソーパー】☆：ナチュラヴィ,ボンヌプランツ ボディミルク シトラス ＜シトラス＆輝き＞ 200ml 【スウィーツソーパー】☆,ボンヌプランツ ボディミルク シトラス ＜シトラス＆輝き＞ 200ml 【スウィーツソーパー】☆[rn]
17-119628,http://tshop.r10s.jp/naturavie/cabinet/soaper/s_bon_bmk_mt.jpg?fitin=700:700,1600.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ボンヌプランツ ボディミルク ミント ＜ミント＆クリーン＞ 200ml 【スウィーツソーパー】☆,,"こだわりの植物オイルに美肌成分のヒアルロン酸をブレンド<br>

お肌に潤いを与えるコメヌカオイルを中心に美肌成分である植物由来のヒアルロン酸をブレンドしました。<br>
オールシーズン使えるように、軽くなめらかな使い心地を追及。<br>
お肌にスーッとなじみ、べたつきのない潤いが持続します。<br>
シーン別にブレンドされたアロマオイルが<br>
フレグランス感覚でお肌を包みその芳醇な香りに癒されます。",ボンヌプランツ ボディミルク ミント ＜ミント＆クリーン＞ 200ml 【スウィーツソーパー】☆：ナチュラヴィ,ボンヌプランツ ボディミルク ミント ＜ミント＆クリーン＞ 200ml 【スウィーツソーパー】☆,ボンヌプランツ ボディミルク ミント ＜ミント＆クリーン＞ 200ml 【スウィーツソーパー】☆[rn]
17-119629,http://tshop.r10s.jp/naturavie/cabinet/soaper/s_bon_bmk_rs.jpg?fitin=700:700,2000.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ボンヌプランツ ボディミルク ローズ ＜ローズ＆美しさ＞ 200ml 【スウィーツソーパー】☆,,"こだわりの植物オイルに美肌成分のヒアルロン酸をブレンド<br>

お肌に潤いを与えるコメヌカオイルを中心に美肌成分である植物由来のヒアルロン酸をブレンドしました。<br>
オールシーズン使えるように、軽くなめらかな使い心地を追及。<br>
お肌にスーッとなじみ、べたつきのない潤いが持続します。<br>
シーン別にブレンドされたアロマオイルが<br>
フレグランス感覚でお肌を包みその芳醇な香りに癒されます。",ボンヌプランツ ボディミルク ローズ ＜ローズ＆美しさ＞ 200ml 【スウィーツソーパー】☆：ナチュラヴィ,ボンヌプランツ ボディミルク ローズ ＜ローズ＆美しさ＞ 200ml 【スウィーツソーパー】☆,ボンヌプランツ ボディミルク ローズ ＜ローズ＆美しさ＞ 200ml 【スウィーツソーパー】☆[rn]
17-119630,http://tshop.r10s.jp/naturavie/cabinet/soaper/s_bon_bmk_as.jpg?fitin=700:700,1600.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ボンヌプランツ ボディミルク 赤紫蘇 ＜赤紫蘇＆活力＞ 200ml 【スウィーツソーパー】☆,,"こだわりの植物オイルに美肌成分のヒアルロン酸をブレンド<br>

お肌に潤いを与えるコメヌカオイルを中心に美肌成分である植物由来のヒアルロン酸をブレンドしました。<br>
オールシーズン使えるように、軽くなめらかな使い心地を追及。<br>
お肌にスーッとなじみ、べたつきのない潤いが持続します。<br>
シーン別にブレンドされたアロマオイルが<br>
フレグランス感覚でお肌を包みその芳醇な香りに癒されます。",ボンヌプランツ ボディミルク 赤紫蘇 ＜赤紫蘇＆活力＞ 200ml 【スウィーツソーパー】☆：ナチュラヴィ,ボンヌプランツ ボディミルク 赤紫蘇 ＜赤紫蘇＆活力＞ 200ml 【スウィーツソーパー】☆,ボンヌプランツ ボディミルク 赤紫蘇 ＜赤紫蘇＆活力＞ 200ml 【スウィーツソーパー】☆[rn]
17-119631,http://tshop.r10s.jp/naturavie/cabinet/soaper/s_bon_bmk_lv.jpg?fitin=700:700,1600.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ボンヌプランツ ボディミルク ラベンダー ＜ラベンダー＆寛ぎ＞ 200ml 【スウィーツソーパー】☆,,"こだわりの植物オイルに美肌成分のヒアルロン酸をブレンド<br>

お肌に潤いを与えるコメヌカオイルを中心に美肌成分である植物由来のヒアルロン酸をブレンドしました。<br>
オールシーズン使えるように、軽くなめらかな使い心地を追及。<br>
お肌にスーッとなじみ、べたつきのない潤いが持続します。<br>
シーン別にブレンドされたアロマオイルが<br>
フレグランス感覚でお肌を包みその芳醇な香りに癒されます。",ボンヌプランツ ボディミルク ラベンダー ＜ラベンダー＆寛ぎ＞ 200ml 【スウィーツソーパー】☆：ナチュラヴィ,ボンヌプランツ ボディミルク ラベンダー ＜ラベンダー＆寛ぎ＞ 200ml 【スウィーツソーパー】☆,ボンヌプランツ ボディミルク ラベンダー ＜ラベンダー＆寛ぎ＞ 200ml 【スウィーツソーパー】☆[rn]
17-119632,http://tshop.r10s.jp/naturavie/cabinet/pubicare/s_pubicaredm.jpg?fitin=700:700,1840.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ピュビケア オーガニクス デリケート ミルク 125ml 【送料無料】☆,デリケートゾーンのお手入れピュビケア,"黒ずみにくく、ハリと潤いのある肌へ
実は悩んでいる女性が多い、Vゾーンの黒ずみ。
これは、ランジェリーなどの摩擦による刺激が原因です。
「デリケート ミルク」には、保湿効果に優れたオーガニック植物成分をたっぷりと配合し、
デリケートゾーンをしっかりと保湿ケアすることで摩擦を軽減。
さらに美白効果のあるアルブチンを加え、黒ずみを抑えます。
また、デリケートゾーンも皮膚なので、顔と同様、年齢とともにシワやたるみなどのエイジングは避けられません。
たっぷりと保湿をすることで、ハリのある柔らかい肌を保つことができます。
アロマはデリケート ソープ同様、フェミニンなダマスクローズ。",ピュビケア オーガニクス デリケート ミルク 125ml 【送料無料】☆：ナチュラヴィ,ピュビケア オーガニクス デリケート ミルク 125ml 【送料無料】☆,デリケートゾーンのお手入れピュビケア。ピュビケア オーガニクス デリケート ミルク 125ml 【送料無料】☆[rn]
17-119633,http://tshop.r10s.jp/smilehouse/cabinet/nbiyo5/b2161.jpg?fitin=700:700,960.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,NEWパイナップル豆乳ローション,【代引料無料】ムダ毛のお手入れ後のケアでしっとりつるつる肌♪,"<!--納期・返品-->
<font color=""#ff0000"">※開封後の返品、交換は一切お受けできません。予めご了承下さい。※</font><br><br>

<center>
<!--説明画像-->
<img src=""http://image.rakuten.co.jp/smilehouse/cabinet/nbiyo5/b2161suma1.jpg""><br>
<img src=""http://image.rakuten.co.jp/smilehouse/cabinet/nbiyo5/b2161suma2.jpg""><br>
<img src=""http://image.rakuten.co.jp/smilehouse/cabinet/nbiyo5/b2161suma3.jpg""><br><br>


<!--スペック-->
<table width=""100%"" border=""1"" cellpadding=""3"" cellspacing=""0"" bordercolor=""#CDCDCD"">
<tr bgcolor=""#CEE8FB"">
    <td colspan=""2"" align=""left"">商品番号 <b>b2161</b></td>
  </tr>
<tr>
  <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">商品名</font></td>
  <td align=""left""><font size=""1"">NEWパイナップル豆乳ローション</font></td>
</tr>
 <tr>
   <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">内容量</font></td>
   <td align=""left""><font size=""1"">200ml</font></td>
 </tr>
 <tr>
    <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">成分</font></td>
    <td align=""left""><font size=""1"">水、グリセリン、BG 、ダイズ種子エキス、ヒオウギエキス、ブロメライン、プラセンタエキス、カルボマー、キシリトール、ヒアルロン酸Na、メチルパラベン、ボタンエキス、ドクダミエキス、カミツレ花エキス、サンショウ果皮エキス、オランダガラシ葉／茎エキス、ゴボウ根エキス、セージ葉エキス、レモン果実エキス、セイヨウキズタ葉／茎エキス、サボンソウ葉エキス、パパイン、グリチルリチン酸2K 、アラントイン、デキストリン、エタノール、ペンチレングリコール、フェノキシエタノール、水酸化K</font></td>
  </tr>
  <tr>
    <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">使用方法</font></td>
    <td align=""left""><font size=""1"">手のひらに適量をとり、マッサージする様にお肌になじませてください。</font></td>
  </tr>
  <tr>
    <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">使用上の注意</font></td>
    <td align=""left""><font size=""1"">●お肌に異常が生じていないかよく注意して使用してください。化粧品がお肌に合わないとき、即ち次のような場合には、使用を中止してください。そのまま化粧品類の使用を続けますと、症状を悪化させることがありますので、皮膚科専門医等にご相談されることをおすすめします。<br>
      　（１）使用中、赤み、はれ、かゆみ、刺激、色抜け（白斑等）や黒ずみ等の異常があらわれた場合<br>
      　（２）使用したお肌に、直射日光があたって上記のような異常があらわれた場合<br>
      ●傷やはれもの、しっしん等、異常のある部位にはお使いにならないでください。<br>
      ●使用後は必ずしっかりキャップをしめてください。<br>
      ●乳幼児の手の届かないところに保管してください。<br>
      ●極端に高温又は低温の場所、直射日光のあたる場所には保管しないでください。<br>
      ●目に入らない様にご注意ください。目に入った場合は決してこすらずに直ちに洗い流してください。<br>
      ●本製品は飲み物ではありません。決して口に含まないでください。</font></td>
  </tr>
  <tr>
    <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">JANコード</font></td>
    <td align=""left""><font size=""1"">4571102674902</font></td>
  </tr>
  <tr>
    <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">販売者</font></td>
    <td align=""left""><font size=""1"">株式会社ニーズ</font></td>
  </tr>
  <tr>
    <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">広告文責</font></td>
    <td align=""left""><font size=""1"">株式会社ドリームwebシステム　050-3821-6873</font></td>
  </tr>
  <tr>
    <td width=""60"" align=""left"" bgcolor=""#f3f3f3""><font size=""1"">区分</font></td>
    <td align=""left""><font size=""1"">ボディローション（ムダ毛ケア）</font></td>
  </tr>
</table>
</center><br><br>


<!--商品説明テキスト-->
ムダ毛のお手入れ後のケアでしっとりつるつる素肌美人♪ 顔はもちろん脚、腕、ワキ、ビキニライン、手の甲、うなじなど、全身にご使用いただけます。無香料・無着色。手のひらに適量をとり、マッサージする様にお肌になじませてください。
<br><br>

<!--セットへのリンク・検索URLなど-->
お得♪⇒3個で送料無料はこちら！<br><br><!--注意事項--><br><br><div class=""menu"" =""""><label for=""Panel1"" =""""><img src=""http://image.rakuten.co.jp/smilehouse/cabinet/ntop/chui-1606-30843.gif""></label =""""><input type=""checkbox"" id=""Panel1"" class=""on-off"" =""""><ul =""""><li =""""><img src=""http://image.rakuten.co.jp/smilehouse/cabinet/ntop/chui-1608-308239.gif""></li =""""></ul =""""></div =""""><!--注意事項end-->",NEWパイナップル豆乳ローション：ナデシコの森,コスメダイエットバストケア美容機器ヘアケア格安通販通信販売NEWパイナップル豆乳ローション,【代引料無料】ムダ毛のお手入れ後のケアでしっとりつるつる肌♪。NEWパイナップル豆乳ローション[rn]
17-119634,http://tshop.r10s.jp/smilehouse/cabinet/nkenko3/na1816.jpg?fitin=700:700,1600.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,【代引料無料】モデム パーシモン ローション,日本古来の柿渋パワーで男を上げる！柿渋エキス配合化粧品,"★モデム シリーズはこちら！<br><br>日本古来の柿渋パワー！柿渋エキス配合化粧品。柿の果実から得られた化粧品用カキタンニンを配合。お肌を整え、スッキリとすこやかに保ちます。<br><br>▼日本製<br><br>お得♪⇒2個で送料無料はこちら!<br><br><font color=""#ff0000"">※開封後の返品、交換は一切お受けできません。予めご了承下さい。※</font><!--注意事項--><br><br><div class=""menu"" =""""><label for=""Panel1"" =""""><img src=""http://image.rakuten.co.jp/smilehouse/cabinet/ntop/chui-1606-30843.gif""></label =""""><input type=""checkbox"" id=""Panel1"" class=""on-off"" =""""><ul =""""><li =""""><img src=""http://image.rakuten.co.jp/smilehouse/cabinet/ntop/chui-1608-308239.gif""></li =""""></ul =""""></div =""""><!--注意事項end-->",【代引料無料】モデム パーシモン ローション：ナデシコの森,コスメダイエットバストケア美容機器ヘアケア格安通販通信販売【代引料無料】モデム パーシモン ローション,日本古来の柿渋パワーで男を上げる！柿渋エキス配合化粧品。【代引料無料】モデム パーシモン ローション[rn]
17-119635,http://tshop.r10s.jp/rikaryo/cabinet/cmgd/skcr/beauty-arte-l-m1.jpg?fitin=700:700,1600.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,500円クーポン☆選べるおまけ★ アルテニーニローション アルテニーニローション300ml 送料無料 よもぎローション ＜全身用＞ しっしん・かゆみ ヨモギエキス・ビワ葉エキス 無香料・無色素  あせも 対策 しっしん 湿疹 かゆみ　ヨモギローション 【りかの良品】,最大500円クーポン★4/19(水)9：59迄！【りかの良品】,"【選べるおまけ＆レビューで300円クーポンプレゼント】<br>
《レビュー特典有！》アルテニーニ　ローション<br>
【送料無料】※沖縄・離島は差額送料必要。<br>
【広告文責】<br>
株式会社マサオコーポレーション<br>
06-6942-6911<br>
【製造販売元】<br>
株式会社ジョセフィン社<br>
【生産国】<br>
日本<br>
【商品区分】<br>
化粧品<br>
<br>
体が痒くて夜も眠れないという入院患者たちの苦痛をやわらげたい・・という思いから、昭和61年京都の看護婦グループが考案。その後かぶれ止めの成分を配合したり、よもぎの抽出液の濁りをなくすためミクロフィルターでこすなどの、改良をかさね現在に至ります。お肌の弱い方、アトピーの子供たち、寝たきりのご老人かいるご家庭など、家族が安心して使っていただける長年愛されているローションです。<br>
天然のよもぎだからお肌にとびっきりの優しさです。<br><br>【成分】水、エタノール、ヨモギエキス、ビワ葉エキス、アラントイン、メントール<br><br>　　
<br>★「アルテニーニ石鹸」のページへ⇒⇒　 <br><br>
<br>★「香りの紅茶付・アルテニーニ３点セット」のページへ⇒⇒　 <br>
<br>※詳しくはＰＣページをご参照ください。",500円クーポン☆選べるおまけ★ アルテニーニローション アルテニーニローション300ml 送料無料 よもぎローション ＜全身用＞ しっしん・かゆみ ヨモギエキス・ビワ葉エキス 無香料・無色素  あせも 対策 しっしん 湿疹 かゆみ　ヨモギローション 【りかの良品】：りかの良品,ダイエット美容雑貨りかの良品500円クーポン☆選べるおまけ★ アルテニーニローション アルテニーニローション300ml 送料無料 よもぎローション ＜全身用＞ しっしん・かゆみ ヨモギエキス・ビワ葉エキス 無香料・無色素  あせも 対策 しっしん 湿疹 かゆみ　ヨモギローション 【りかの良品】,最大500円クーポン★4/19(水)9：59迄！【りかの良品】。500円クーポン☆選べるおまけ★ アルテニーニローション アルテニーニローション300ml 送料無料 よもぎローション ＜全身用＞ しっしん・かゆみ ヨモギエキス・ビワ葉エキス 無香料・無色素  あせも 対策 しっしん 湿疹 かゆみ　ヨモギローション 【りかの良品】[rn]
17-119636,http://tshop.r10s.jp/alzamas/cabinet/200/62/04/6274071-11201.jpg?fitin=700:700,2271.2000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,【プロウォーター・ジェル】■送料無料■大容量1kg入り！エステサロン用高級マッサージジェル！fs04gm,,"<table width=100% ><tr><th>発送目安</th><td>約7～10日</td></tr><tr><th>特記事項</th><td><br><br>キャンセル・返品不可<br><br></td></tr></table><br><br><img src=""http://image.rakuten.co.jp/alcnet/cabinet/s/201212/s21212kprowatergel01.jpg""><br><img src=""http://image.rakuten.co.jp/alcnet/cabinet/s/201212/s21212kprowatergel02.jpg""><br><img src=""http://image.rakuten.co.jp/alcnet/cabinet/s/201212/s21212kprowatergel03.jpg""><br><br><br><img src=""http://image.rakuten.co.jp/alcnet/cabinet/s/201212/s21212kprowatergel04.jpg""><br><br><br><img src=""http://image.rakuten.co.jp/alcnet/cabinet/s/201212/s21212kprowatergel01.jpg""><br><br><br><br>▼内容量:1kg▼成分:水、BG、グリセリン、グリチルリチン酸2K、マグワ根皮エキス、ヒバマタエキス、クレマティス葉エキス、スギナエキス、セイヨウキズタ葉/茎エキス、カルボマー、水酸化K、他▼ご使用方法:●適量を取り、必要な部分にご使用ください。●浸透しにくいのでマッサージ、超音波、脱毛器等に最適です。▼製造国:日本",【プロウォーター・ジェル】■送料無料■大容量1kg入り！エステサロン用高級マッサージジェル！fs04gm：アルザマス,限定訳ありアコーディオンカーテンアーノルド・パーマーヤワラギーナsinano トレッキングポールトレッキングポールキッチンマットフレキシリードすっぽりしっかりAG折りたたみフタsinano シナノ フォールダーおし花教室ねむねむプレミアムのれん ロング丈グリルパンバッグインバッグメカアリゲーターアルティジャーノアロマ キフィ【プロウォーター・ジェル】■送料無料■大容量1kg入り！エステサロン用高級マッサージジェル！fs04gm,【プロウォーター・ジェル】■送料無料■大容量1kg入り！エステサロン用高級マッサージジェル！fs04gm[rn]
17-119637,http://tshop.r10s.jp/tsuruha/cabinet/shouhin41/4901301321107.jpg?fitin=700:700,1987.2000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,花王　キュレル　ローション　ポンプ　(410mL)　全身用乳液　【医薬部外品】　ツルハドラッグ,　,"●名　称
：キュレル　ローション　ポンプタイプ
<BR>

●内容量
：410ml
<BR>

●特　徴
：◆のびがよく、ベタつかない全身用乳液。<br>
<br>
◆365日、調子のいい肌のために「 肌荒れやカサつきトラブルをくり返す。どうにかしたい…」乾燥性敏感肌は、健やかな肌のために必須の成分「セラミド」が不足しがちで、外部刺激を受けやすい状態です。<br>
<br>
◆キュレル薬用ローションに、さっと出せるポンプタイプが新登場！<br>
<br>
◆顔・からだ用<br>
<br>
◆「潤浸保湿セラミドケア」で、外部刺激で肌荒れしにくい、健やかな「潤い高密度肌」に保ちます。<br>
<br>
◆潤い成分（潤浸保湿セラミド機能成分※、ユーカリエキス）が、角層の深部まで浸透。外部刺激から肌を守る働きを助けて、潤いで満たします。<br>
<br>
◆荒れ性に。肌荒れを防ぎます。消炎剤（有効成分）配合。<br>
<br>
※ヘキサデシロキシPGヒドロキシエチルヘキサデカナミド<br>
<br>
◆赤ちゃんのデリケートな肌にもお使いいただけます。<br>
<br>◆弱酸性、無香料、無着色<br>
<br>
◆アルコールフリー（エチルアルコール無添加）<br>
<br>
◆アレルギーテスト済み<br>
（すべての方にアレルギーが起こらないというわけではありません。）
<BR>

●成　分
：アラントイン＊、精製水、グリセリン、スクワラン、ヘキサデシロキシPGヒドロキシエチルヘキサデカナミド、ユーカリエキス、ステアリン酸POEソルビタン、ジメチコン、BG、長鎖二塩基酸ビス3-メトキシプロピルアミド、ジイソステアリン酸ポリグリセリル、コレステロール、イソステアリン酸コレステリル、キサンタンガム、ステアリン酸ソルビタン、ステアロイルメチルタウリンNa、コハク酸、セタノール、ステアリルアルコール、パラベン<br>
＊は「有効成分」 無表示は「その他の成分」
<BR>

●使い方
：適量を手にとり、顔やからだにやさしくなじませます。
<BR>

●区　分
：医薬部外品/ボディケア（保湿用）ローション、全身用乳液/原産国 日本
<BR>

●ご注意
：●傷、はれもの、湿疹等異常のある所には使わない<br>
●肌に異常が生じていないかよく注意して使う。肌に合わない時、使用中に赤み、はれ、かゆみ、刺激、色抜け（白斑等）や黒ずみ等の異常が出た時、直射日光があたって同様の異常が出た時は使用を中止し、皮フ科医へ相談する。使い続けると症状が悪化することがある<br>
●目に入らないよう注意し、入った時は、すぐに充分洗い流す。異常が残る場合は、眼科医に相談する<br>
●誤飲等を防ぐため、置き場所に注意する<br>
<br>
◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：花王株式会社　東京都中央区日本橋茅場町1－14－10<BR>電話：0120-165-692
<BR>

●広告文責
：株式会社ツルハグループマーチャンダイジング<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>
<BR>JANコード：4901301321107<BR>",花王　キュレル　ローション　ポンプ　(410mL)　全身用乳液　【医薬部外品】　ツルハドラッグ：ツルハドラッグ,ドラッグストアスキンケア化粧品ベビー薬健康ツルハツルハドラッグダイエット健康食品サプリハブラシヘアケアエゾエース入浴剤ナップルツルハグループ介護用品医薬品生コラーゲン花王　キュレル　ローション　ポンプ　(410mL)　全身用乳液　【医薬部外品】　ツルハドラッグ,　。花王　キュレル　ローション　ポンプ　(410mL)　全身用乳液　【医薬部外品】　ツルハドラッグ[rn]
17-119638,http://tshop.r10s.jp/tsuruha/cabinet/shouhin43/4513574025912.jpg?fitin=700:700,343.2000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,熊野油脂　麗白　ハトムギボディローション　(250g)　ボディローション,　,"●名　称
：麗白　ハトムギボディローション
<BR>

●内容量
：250g
<BR>

●特　徴
：◆天然保湿成分　ハトムギエキス配合。<br>
<br>
◆透き通るようなみずみずしい素肌に。<br>
<br>
◆かさつきがちなお肌のうるおいを守り、１日中みずみずしくしっとりとしたお肌に保ちます。<br>
<br>
◆肌なじみがよく、すっとのびて、ベタつかない仕上がりです。 
<BR>

●使用方法
：適量を手にとり、体全体にやさしくマッサージするようになじませてください。
<BR>

●成　分
：水、グリセリン、ミネラルオイル、BG、スクワラン、ベタイン、ジメチコン、ハトムギ種子エキス、ヒアルロン酸Na、カルボマー、ステアレス-6、EDTA-4Na、水酸化Na、フェノキシエタノール、安息香酸Na、メチルパラベン、香料
<BR>

●区　分
：化粧品、ボディローション、ボディ用化粧水/原産国　日本
<BR>

●ご注意
：◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：熊野油脂株式会社　愛知県瀬戸市熊野35<br>
0561-82-9245
<BR>

●広告文責
：株式会社ツルハグループマーチャンダイジング<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>

<BR>JANコード：4513574025912<BR>",熊野油脂　麗白　ハトムギボディローション　(250g)　ボディローション：ツルハドラッグ,ドラッグストアスキンケア化粧品ベビー薬健康ツルハツルハドラッグダイエット健康食品サプリハブラシヘアケアエゾエース入浴剤ナップルツルハグループ介護用品医薬品生コラーゲン熊野油脂　麗白　ハトムギボディローション　(250g)　ボディローション,　。熊野油脂　麗白　ハトムギボディローション　(250g)　ボディローション[rn]
