17-21699,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371388.jpg?fitin=700:700,8425.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10[rn]
17-21712,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005475332.jpg?fitin=700:700,18880.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ９．８×３Ｄ【MQS0980X3DBDP3020】 (6609945) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●鋼・鋳鉄加工用に特化したWSTARドリルシリーズの新ラインナップです。<br>●新材種「DP3020」により、鋼・鋳鉄加工において従来の2倍以上の工具寿命を実現しています。<br>●トリプルマージン採用により、ガイド性の向上、クーラント清流化によるマージン部の損傷抑制で、優れた加工穴精度の維持が可能です。<br>●新クーラント穴形状（TRI CoolingテクノロジーR）により刃先の冷却・潤滑効率がアップ、特にMQL加工において優れた効果を発揮します。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ９．８&times;３Ｄ【MQS0980X3DBDP3020】 (6609945) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ９．８&times;３Ｄ【MQS0980X3DBDP3020】 (6609945) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ９．８&times;３Ｄ【MQS0980X3DBDP3020】 (6609945) 受注単位1[rn]
17-21713,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004839891.jpg?fitin=700:700,7667.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【MT-SUS-GDR-13.5  (65135)】(6333567) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【MT-SUS-GDR-13.5  (65135)】(6333567) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【MT-SUS-GDR-13.5  (65135)】(6333567) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスドリル【MT-SUS-GDR-13.5  (65135)】(6333567) 受注単位1[rn]
17-21714,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004841969.jpg?fitin=700:700,7807.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【XPM-EDN-20  (71430)】(6361871) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【XPM-EDN-20  (71430)】(6361871) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【XPM-EDN-20  (71430)】(6361871) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【XPM-EDN-20  (71430)】(6361871) 受注単位1[rn]
17-21715,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872806.jpg?fitin=700:700,6447.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート２４【EDS-24 (80034)】 (2006197) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●使い勝手の良いスタンダードタイプのスクエアエンドミルです。",『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート２４【EDS-24 (80034)】 (2006197) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート２４【EDS-24 (80034)】 (2006197) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート２４【EDS-24 (80034)】 (2006197) 受注単位1[rn]
17-21716,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867823.jpg?fitin=700:700,1514.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD0200 (2MS-2)】 (1101714) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●使用範囲の広い刃長、全長を採用しており、最も汎用性に富んだシリーズです。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD0200 (2MS-2)】 (1101714) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD0200 (2MS-2)】 (1101714) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋ２枚刃汎用エンドミル (Ｍタイプ）【2MSD0200 (2MS-2)】 (1101714) 受注単位1[rn]
17-21717,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872854.jpg?fitin=700:700,8639.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧＸＰＭエンドミル２刃ショート２２【XPM-EDS-22 (89032)】 (2002281) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●粉末ハイスXPMを母材に採用した2枚刃のショート刃シリーズです。",『カード対応OK！』■〒オーエスジー/ＯＳＧＸＰＭエンドミル２刃ショート２２【XPM-EDS-22 (89032)】 (2002281) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧＸＰＭエンドミル２刃ショート２２【XPM-EDS-22 (89032)】 (2002281) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧＸＰＭエンドミル２刃ショート２２【XPM-EDS-22 (89032)】 (2002281) 受注単位1[rn]
17-21718,,5806.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ＮＫレギュラー刃ＥＭ【2NKR17.5(NK02175)  (2F 17.5MM)】(4276213) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,,『カード対応OK！』■〒日立ツール　ＮＫレギュラー刃ＥＭ【2NKR17.5(NK02175)  (2F 17.5MM)】(4276213) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ＮＫレギュラー刃ＥＭ【2NKR17.5(NK02175)  (2F 17.5MM)】(4276213) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒日立ツール　ＮＫレギュラー刃ＥＭ【2NKR17.5(NK02175)  (2F 17.5MM)】(4276213) 受注単位1[rn]
17-21719,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004840956.jpg?fitin=700:700,8476.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【V-XPM-EML-15  (8452650)】(6351123) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【V-XPM-EML-15  (8452650)】(6351123) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【V-XPM-EML-15  (8452650)】(6351123) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【V-XPM-EML-15  (8452650)】(6351123) 受注単位1[rn]
17-21720,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872806.jpg?fitin=700:700,1252.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート４【EDS-4 (80008)】 (2005760) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●使い勝手の良いスタンダードタイプのスクエアエンドミルです。",『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート４【EDS-4 (80008)】 (2005760) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート４【EDS-4 (80008)】 (2005760) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート４【EDS-4 (80008)】 (2005760) 受注単位1[rn]
17-21721,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872796.jpg?fitin=700:700,8523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ロング２４【EDL-24 (80134)】 (2006995) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●使い勝手の良いスタンダードタイプのスクエアエンドミルです。",『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ロング２４【EDL-24 (80134)】 (2006995) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ロング２４【EDL-24 (80134)】 (2006995) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ロング２４【EDL-24 (80134)】 (2006995) 受注単位1[rn]
17-21722,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004842061.jpg?fitin=700:700,3466.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-9(89168)】(2010101) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-9(89168)】(2010101) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-9(89168)】(2010101) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-9(89168)】(2010101) 受注単位1[rn]
17-21723,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002855884.jpg?fitin=700:700,5096.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミルＴＩＮ２刃ショート１７【EX-TIN-EDS-17 (88027)】 (6314091) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●幅広い被削材に対して安定した加工が可能です。",『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミルＴＩＮ２刃ショート１７【EX-TIN-EDS-17 (88027)】 (6314091) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミルＴＩＮ２刃ショート１７【EX-TIN-EDS-17 (88027)】 (6314091) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミルＴＩＮ２刃ショート１７【EX-TIN-EDS-17 (88027)】 (6314091) 受注単位1[rn]
17-21724,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838051.jpg?fitin=700:700,22368.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EDS-42X32(80082)】(6300782) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EDS-42X32(80082)】(6300782) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EDS-42X32(80082)】(6300782) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EDS-42X32(80082)】(6300782) 受注単位1[rn]
17-21725,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004842033.jpg?fitin=700:700,8476.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-18(89178)】(2010194) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-18(89178)】(2010194) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-18(89178)】(2010194) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　４刃ロングエンドミル【XPM-EML-18(89178)】(2010194) 受注単位1[rn]
