17-133199,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269347.jpg?fitin=700:700,456.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸,"重さ：40ｇ<br>
糸長：約120ｍ<br>
太さ：棒針5～6号、かぎ針4/0～5/0号<br>
素材：ウール　100％（タスマニアンメリノ）<br>
その他：メリヤス編標準ゲージ22～23目/30～32段<br>
婦人セーター　約9玉、婦人ベスト　約6玉、紳士セーター約12玉<br>
<br>
糸の特徴：豊かな自然の中で育てられた高級ウール、タスマニアンメリノ100％の上質ストレートヤーンです。<br>ぬめり感のあるソフトなタッチは、編みやすく、着心地の良さを実感できます。<br>白度に優れたウールですから、美しい発色を生み出しています。またトップ染で素材の風合いが生き、ロット表示もありません。
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　　タスマニアンメリノ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸。ダイヤ毛糸　　　タスマニアンメリノ[rn]
17-133220,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/imgrc0068240000.jpg?fitin=700:700,469.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　マスターシードコットン,ソフトで光沢のある上質コットン,重さ：30ｇ<br>糸長：106ｍ<br>太さ：棒針4～5号、かぎ針3/0～4/0号<br>素材：綿100％（マスターシード）<br>その他：メリヤス編標準ゲージ25～27目/34～36段<br>婦人セーター　半袖約9玉、婦人ベスト　約7玉、紳士セーター半袖約12玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　　マスターシードコットン：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　マスターシードコットン,ソフトで光沢のある上質コットン。ダイヤ毛糸　　　マスターシードコットン[rn]
17-133221,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269276.jpg?fitin=700:700,296.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　ダイヤブリリオ　（　廃盤品　）在庫限り,ラメと単色のウールがランダムに切り替わるファンシーヤーン,重さ：25ｇ<br>糸長：105m<br>太さ：棒針8～10号、かぎ針5/0～6/0号<br>素材：ウール　92％、ポリエステ　ル8％<br>その他：メリヤス編標準ゲージ17～19目/26～28段<br>婦人セーター　約8玉、婦人ベスト　約5玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　ダイヤブリリオ　（　廃盤品　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　ダイヤブリリオ　（　廃盤品　）在庫限り,ラメと単色のウールがランダムに切り替わるファンシーヤーン。ダイヤ毛糸　　ダイヤブリリオ　（　廃盤品　）在庫限り[rn]
17-133222,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/imgrc0067387401.jpg?fitin=700:700,843.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　ポッシュ,なめらかなタッチの　美しいファーヤーン　,重さ：40ｇ<br>糸長：56ｍ<br>太さ：棒針12～14号、かぎ針10/0号<br>素材：ポリエステル　72%、レーヨン　28％　<br>その他：メリヤス編標準ゲージ14～16目/20～22段<br>婦人セーター　約13玉、婦人ベスト　約8玉、<br>紳士セーター　約18玉　<br>　<br>糸の特徴：ベースカラーのファーの中に部分的に異色のアクセントが入り込みます。<br>近似の色合わせでナチュラルな表現をしたものや、ヒョウ柄のようにコントラストを効かせたものなど、表情は様々です。　　<br>編み上がりは光沢が美しくとても上品、衿まわりの小物の他、別素材と組み合わせたおしゃれなデザインを作るのもたのしみです。　<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　ポッシュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　ポッシュ,なめらかなタッチの　美しいファーヤーン　。ダイヤ毛糸　　ポッシュ[rn]
17-133223,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img60415004.jpg?fitin=700:700,537.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　ドミナノーム,カラーファンシーの定番　人気のダイヤドミナの単色タイプ,重さ：40ｇ<br>糸長：108ｍ<br>太さ：棒針6～8号、かぎ針6/0～7/0号<br>素材：ウール　58%、モヘア　15%（キッドモヘア）、ナイロン　27％<br>その他：メリヤス編標準ゲージ19～21目/25～27段<br>婦人セーター　約8玉、婦人ベスト　約5玉、紳士セーター約11玉<br><br>ダイヤドミナのふっくらとした温かみのある素材感や編みやすさはそのままに、単色調でさらに用途の広い糸に仕上げました。<br>キッドモヘアの細かい黒芯が、深みのあるカラーに微妙な奥行を待たせています。<br>　<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます,ダイヤ毛糸　　　ドミナノーム：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　ドミナノーム,カラーファンシーの定番　人気のダイヤドミナの単色タイプ。ダイヤ毛糸　　　ドミナノーム[rn]
17-133224,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img62140614.jpg?fitin=700:700,571.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　カーラ,複雑なカラーグラデーションが美しいファンシーヤーン,"重さ：30ｇ<br>
糸長：105ｍ<br>
太さ：棒針5～6号、かぎ針5/0～6/0号<br>
素材：ウール　62%、アクリル　38％　<br>

その他：メリヤス編標準ゲージ21～23目/29～31段<br>婦人セーター　約10玉、婦人ベスト　約6玉、<br>紳士セーター　約13玉<br>

糸の特徴：ベースとなるロンググラデーションは色が混ざり合いながらゆったりと変化しています。<br>そこにさらにショートピッチ段染を2種撚り合わせることで、たくさんの色が溶け合った美しい表情を作っています。　<br>ソフトなウール使いで　とても編みやすく、すっきり薄い仕上がりで着心地の良い作品になります。　<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　カーラ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　カーラ,複雑なカラーグラデーションが美しいファンシーヤーン。ダイヤ毛糸　　カーラ[rn]
17-133225,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/imgrc0069772211.jpg?fitin=700:700,503.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　ラーナモヘア,ソフトなウールとキッドモヘアのストレートヤーン,"重さ：30ｇ<br>糸長：96ｍ<br>太さ：棒針5～7号、かぎ針5/0～6/0号<br>素材：ウール86%、モヘア7％、ナイロン7％<br>その他：メリヤス編標準ゲージ23～24目/30～32段<br>婦人セーター　約11玉、婦人ベスト　約7玉、紳士セーター約15玉<br>糸の特徴：ソフトでなめらかなメリノウールと、優しい風合いのキッドモヘアを組み合わせました。<br>モヘアの繊細なヘアリー感が編地表面を覆い、優しい印象の模様をつくります。<br>ナチュラルカラーを中心に、大人の女性らしい色揃えです。

<br>
<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　　ラーナモヘア：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　ラーナモヘア,ソフトなウールとキッドモヘアのストレートヤーン。ダイヤ毛糸　　　ラーナモヘア[rn]
17-133226,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067807982.jpg?fitin=700:700,608.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーＥメルヘンパワー段染,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD> </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">綿42%・アクリル33%<br>アセテート21％・ポリエステル4％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g王巻（約69m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーＥメルヘンパワー段染：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーＥメルヘンパワー段染,パーキー　エクトリーＥメルヘンパワー段染[rn]
17-133227,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067808723.jpg?fitin=700:700,505.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリージュエリーリボン,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>      　”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD> </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ポリエステル100％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g王巻（約75m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリージュエリーリボン：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリージュエリーリボン,パーキー　エクトリージュエリーリボン[rn]
17-133228,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067808897.jpg?fitin=700:700,819.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリークイーンアルバトロス,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>      　”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD> </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ポリエステル59％・ウール29％<br>ナイロン12％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">50g王巻（約115m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリークイーンアルバトロス：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリークイーンアルバトロス,パーキー　エクトリークイーンアルバトロス[rn]
17-133229,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067877589.jpg?fitin=700:700,608.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーE・クイーンノーブル隠し段染め,,重さ：30ｇ<br>糸長：111ｍ<br>素材：毛（ウール）44％、レーヨン36％、ナイロン20％<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,パーキー　エクトリーE・クイーンノーブル隠し段染め：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーE・クイーンノーブル隠し段染め,パーキー　エクトリーE・クイーンノーブル隠し段染め[rn]
17-133230,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067951963.jpg?fitin=700:700,441.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーアルパカストレッチ,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD>    </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">アルパカ86%・ナイロン13%<br>ポリウレタン1%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g王巻（約129m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーアルパカストレッチ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーアルパカストレッチ,パーキー　エクトリーアルパカストレッチ[rn]
17-133231,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067953411.jpg?fitin=700:700,800.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーＥニューボン単色,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD>    </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ファインベビーアルパカ72％<br>ナイロン28％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g王巻（約64m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーＥニューボン単色：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーＥニューボン単色,パーキー　エクトリーＥニューボン単色[rn]
17-133232,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068045603.jpg?fitin=700:700,371.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリータスマニアウール太,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛100％（タスマニウール30％）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">50ｇ玉巻（約110m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリータスマニアウール太：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリータスマニアウール太,パーキー　エクトリータスマニアウール太[rn]
17-133233,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067889674.jpg?fitin=700:700,505.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーヴァンテアン100太,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛100％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g玉巻（約80ｍ）<br></FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーヴァンテアン100太：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーヴァンテアン100太,パーキー　エクトリーヴァンテアン100太[rn]
17-133234,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067891797.jpg?fitin=700:700,563.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーニューストレッチヤーン太段染,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛84％・アクリル14％<br>ポリウレタン2％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g玉巻（約100ｍ）<br></FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーニューストレッチヤーン太段染：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーニューストレッチヤーン太段染,パーキー　エクトリーニューストレッチヤーン太段染[rn]
17-133235,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068205984.jpg?fitin=700:700,691.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーソフトコード,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""76"" height=""99"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD></TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">アクリル100％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40ｇコーン巻（約50ｍ）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーソフトコード：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーソフトコード,パーキー　エクトリーソフトコード[rn]
17-133236,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068044310.jpg?fitin=700:700,896.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーインペリアルシルクウール,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">絹50%・毛50％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">25ｇ玉巻（約450m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーインペリアルシルクウール：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーインペリアルシルクウール,パーキー　エクトリーインペリアルシルクウール[rn]
