17-26199,http://tshop.r10s.jp/kys/cabinet/ts-31/t010005396672.jpg?fitin=700:700,125828.8000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 KSK ハンドリフト HL300,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●京町産業車輌（株）<br>
<br>
【特長】<br>
●リンクチェーンを使用し、メンテナンスも簡単です。<br>
<br>
【用途】<br>
●荷物の上げ下げや運搬に。<br>
<br>
【仕様】<br>
●均等荷重(kg):300<br>
●全高(mm):1650<br>
●荷重中心距離(mm):250<br>
●フォーク寸法(mm)スライド外幅:90～580<br>
●フォーク高さ(mm):90～1200<br>
●ハンドル回転数(回):53<br>
●ストローク(mm):1110<br>
●車輪径(mm)前輪/後輪:90（ウレタン）/125（ゴム）<br>
●フォーク寸法(mm)幅×長さ:40×500<br>
●手動走行式<br>
●昇降方式:手巻式<br>
●前車輪:固定キャスター2個、後車輪:自在ストッパー付キャスター2個<br>
<br>
【注意】<br>
●車上渡しになります。重量物ですのでご注意ください。<br>
<br>
【質量】<br>
●70KG</p>",運賃見積り 直送品 KSK ハンドリフト HL300：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 KSK ハンドリフト HL300,運賃見積り 直送品 KSK ハンドリフト HL300[rn]
17-26210,,5664.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ FP-10　ﾚﾝｶﾗｲﾄ20W（屋外用）　10m,10000円以上送料無料,,ハタヤ FP-10　ﾚﾝｶﾗｲﾄ20W（屋外用）　10m：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ FP-10　ﾚﾝｶﾗｲﾄ20W（屋外用）　10m,10000円以上送料無料。ハタヤ FP-10　ﾚﾝｶﾗｲﾄ20W（屋外用）　10m[rn]
17-26211,,34560.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ ALU-154　ｴﾔｰﾏｯｸL（自動巻）　標準ウレタンホース仕様　15m,10000円以上送料無料,,ハタヤ ALU-154　ｴﾔｰﾏｯｸL（自動巻）　標準ウレタンホース仕様　15m：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ ALU-154　ｴﾔｰﾏｯｸL（自動巻）　標準ウレタンホース仕様　15m,10000円以上送料無料。ハタヤ ALU-154　ｴﾔｰﾏｯｸL（自動巻）　標準ウレタンホース仕様　15m[rn]
17-26212,,1824.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ RY-500　作業灯（屋外用）　500W　0.3m,10000円以上送料無料,,ハタヤ RY-500　作業灯（屋外用）　500W　0.3m：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ RY-500　作業灯（屋外用）　500W　0.3m,10000円以上送料無料。ハタヤ RY-500　作業灯（屋外用）　500W　0.3m[rn]
17-26213,,21440.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ RXL-205W　LED作業灯200V（42W広角タイプ）（屋外用）5m,10000円以上送料無料,,ハタヤ RXL-205W　LED作業灯200V（42W広角タイプ）（屋外用）5m：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ RXL-205W　LED作業灯200V（42W広角タイプ）（屋外用）5m,10000円以上送料無料。ハタヤ RXL-205W　LED作業灯200V（42W広角タイプ）（屋外用）5m[rn]
17-26214,,792.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ V-3(E)　ﾊﾞｲｽ,10000円以上送料無料,,ハタヤ V-3(E)　ﾊﾞｲｽ：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ V-3(E)　ﾊﾞｲｽ,10000円以上送料無料。ハタヤ V-3(E)　ﾊﾞｲｽ[rn]
17-26215,,5664.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ BJ・-101　ｺｰﾄﾞﾘｰﾙ　10m　地絡保護専用型,10000円以上送料無料,,ハタヤ BJ・-101　ｺｰﾄﾞﾘｰﾙ　10m　地絡保護専用型：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ BJ・-101　ｺｰﾄﾞﾘｰﾙ　10m　地絡保護専用型,10000円以上送料無料。ハタヤ BJ・-101　ｺｰﾄﾞﾘｰﾙ　10m　地絡保護専用型[rn]
17-26216,,7448.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ GY-130S　ｻﾝﾃﾞｰﾃﾓｰﾄﾘｰﾙ（温度センサー付）　27m+3m,10000円以上送料無料,,ハタヤ GY-130S　ｻﾝﾃﾞｰﾃﾓｰﾄﾘｰﾙ（温度センサー付）　27m+3m：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ GY-130S　ｻﾝﾃﾞｰﾃﾓｰﾄﾘｰﾙ（温度センサー付）　27m+3m,10000円以上送料無料。ハタヤ GY-130S　ｻﾝﾃﾞｰﾃﾓｰﾄﾘｰﾙ（温度センサー付）　27m+3m[rn]
17-26217,,22480.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ PH-1010K　ﾊﾛｹﾞﾝﾗｲﾄ（屋外用）　1000W　10m　接地付,10000円以上送料無料,,ハタヤ PH-1010K　ﾊﾛｹﾞﾝﾗｲﾄ（屋外用）　1000W　10m　接地付：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ PH-1010K　ﾊﾛｹﾞﾝﾗｲﾄ（屋外用）　1000W　10m　接地付,10000円以上送料無料。ハタヤ PH-1010K　ﾊﾛｹﾞﾝﾗｲﾄ（屋外用）　1000W　10m　接地付[rn]
17-26218,,45040.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ GDX-20 ｶﾞｽﾘｰﾙ,10000円以上送料無料,,ハタヤ GDX-20 ｶﾞｽﾘｰﾙ：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ GDX-20 ｶﾞｽﾘｰﾙ,10000円以上送料無料。ハタヤ GDX-20 ｶﾞｽﾘｰﾙ[rn]
17-26219,http://tshop.r10s.jp/plus1tools/cabinet/ts-23/t010004574410.jpg?fitin=700:700,11613.6000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO フレキシブルダクト Φ280X長さ5m RFD-280S,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●いろいろな口径の送風機に対応する絞り口タイプのレデューサー付です。<br>
●折り曲げてもつぶれにくく、ダクト同士の接続が簡単にできます。<br>
<br>
<br>
<br>
【仕様】<br>
●ダクト径(mm):280<br>
●長さ(m):5<br>
●本体生地厚み(mm):0.33<br>
●適合送風機最大口径(mm):280<br>
●レデューサー径(mm):310<br>
●風管・スタンダードタイプ<br>
●耐熱温度:50℃<br>
●（財）日本防炎協会認定品<br>
●レデューサー付<br>
●吊り金具<br>
<br>
【材質・仕上げ】<br>
●基布:ポリエステル繊維織物<br>
●表面加工:塩ビシートをラミネート加工<br>
<br>
【質量】<br>
●4.1KG</p>",TRUSCO フレキシブルダクト Φ280X長さ5m RFD-280S：プラスワンツールズ,TRUSCO フレキシブルダクト Φ280X長さ5m RFD-280S,【代表画像 色/サイズ等注意】。TRUSCO フレキシブルダクト Φ280X長さ5m RFD-280S[rn]
17-26220,,2776.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ HM-054Q　ﾏﾙﾁﾀｯﾌﾟ延長ｺｰﾄﾞ5m,10000円以上送料無料,,ハタヤ HM-054Q　ﾏﾙﾁﾀｯﾌﾟ延長ｺｰﾄﾞ5m：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ HM-054Q　ﾏﾙﾁﾀｯﾌﾟ延長ｺｰﾄﾞ5m,10000円以上送料無料。ハタヤ HM-054Q　ﾏﾙﾁﾀｯﾌﾟ延長ｺｰﾄﾞ5m[rn]
17-26221,http://tshop.r10s.jp/plus1tools/cabinet/ts-23/t010004574436.jpg?fitin=700:700,12668.8000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO フレキシブルダクト Φ320X長さ5m RFD-320S,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●いろいろな口径の送風機に対応する絞り口タイプのレデューサー付です。<br>
●折り曲げてもつぶれにくく、ダクト同士の接続が簡単にできます。<br>
<br>
<br>
<br>
【仕様】<br>
●ダクト径(mm):320<br>
●長さ(m):5<br>
●本体生地厚み(mm):0.33<br>
●適合送風機最大口径(mm):320<br>
●レデューサー径(mm):350<br>
●風管・スタンダードタイプ<br>
●耐熱温度:50℃<br>
●（財）日本防炎協会認定品<br>
●レデューサー付<br>
●吊り金具<br>
<br>
【材質・仕上げ】<br>
●基布:ポリエステル繊維織物<br>
●表面加工:塩ビシートをラミネート加工<br>
<br>
【質量】<br>
●4.6KG</p>",TRUSCO フレキシブルダクト Φ320X長さ5m RFD-320S：プラスワンツールズ,TRUSCO フレキシブルダクト Φ320X長さ5m RFD-320S,TRUSCO フレキシブルダクト Φ320X長さ5m RFD-320S[rn]
17-26222,,1056.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ RL-5-R　ﾘｰﾗｰ（ﾚｯﾄﾞ）手巻き（温度センサー付）　5m,10000円以上送料無料,,ハタヤ RL-5-R　ﾘｰﾗｰ（ﾚｯﾄﾞ）手巻き（温度センサー付）　5m：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ RL-5-R　ﾘｰﾗｰ（ﾚｯﾄﾞ）手巻き（温度センサー付）　5m,10000円以上送料無料。ハタヤ RL-5-R　ﾘｰﾗｰ（ﾚｯﾄﾞ）手巻き（温度センサー付）　5m[rn]
17-26223,http://tshop.r10s.jp/plus1tools/cabinet/ts-12/t010002903075.jpg?fitin=700:700,176712.0000,,花・ガーデン・DIY > DIY・工具 > その他,個別送料1000円 直送品 スイデン どでかファン大型キャスタ扇 SJF-600A-3,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）スイデン<br>
<br>
【特長】<br>
●大風量型タイプです。<br>
●風の到達距離が最大65mと長く、広い範囲に送風します。（ダクトは使用不可）<br>
●風向きは俯仰角方向90°調節が可能です。<br>
●ブレーキ付大型4輪キャスタータイプで移動が容易です。<br>
●風の拡散範囲を調節できるエアガイド付です。（SJF-600Aのみ）<br>
<br>
【用途】<br>
●大工場の涼風供給・換気・循環。<br>
●体育館、ジムなどの涼風送風。<br>
<br>
【仕様】<br>
●電源(V):三相200<br>
●騒音値(dB(A))(50/60Hz):80.0/83.0<br>
●出力(kW)(50/60Hz):1.04/1.66<br>
●標準消費電力料金(50Hz):14.04円/h<br>
●標準消費電力料金(60Hz):22.41円/h<br>
●消費電力(W)(50/60Hz):1040/1660<br>
●適合ダクト径(mm):適合ダクトなし<br>
●ハネ径(mm):600<br>
●ファン翼数(枚):9<br>
●風量([[立米]]/min)(50/60Hz):480/550<br>
●出力(W):1500<br>
●電源コード:10m（プラグなし）<br>
●50/60Hz兼用<br>
●軸流ファン<br>
●ファン外径(mm):600<br>
<br>
【注意】<br>
●電源コードのみでプラグは付いていませんので、ご使用場所のコンセントにあわせてプラグを取り付けてください。<br>
<br>
【質量】<br>
●79KG</p>",個別送料1000円 直送品 スイデン どでかファン大型キャスタ扇 SJF-600A-3：プラスワンツールズ,個別送料1000円 直送品 スイデン どでかファン大型キャスタ扇 SJF-600A-3,個別送料1000円 直送品 スイデン どでかファン大型キャスタ扇 SJF-600A-3[rn]
17-26224,,5776.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ SG-20K　ｻﾝﾃﾞｰﾚｲﾝﾎﾞｰﾘｰﾙ（屋外用）　20m　接地付,10000円以上送料無料,,ハタヤ SG-20K　ｻﾝﾃﾞｰﾚｲﾝﾎﾞｰﾘｰﾙ（屋外用）　20m　接地付：プラウ　ホンダウォーク,耕運機耕うん機ユキオス発電機刈払機草刈機HONDAポンプsnowpeak除雪機アウトドア芝刈機精米機インバーター発電機薪割り機ヤマハ非常用クボタ耕運機家庭用YAMAHAハタヤ SG-20K　ｻﾝﾃﾞｰﾚｲﾝﾎﾞｰﾘｰﾙ（屋外用）　20m　接地付,10000円以上送料無料。ハタヤ SG-20K　ｻﾝﾃﾞｰﾚｲﾝﾎﾞｰﾘｰﾙ（屋外用）　20m　接地付[rn]
17-26225,http://tshop.r10s.jp/plus1tools/cabinet/ts-23/t010004574401.jpg?fitin=700:700,9124.8000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO フレキシブルダクト Φ230X長さ5m RFD-230S,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●いろいろな口径の送風機に対応する絞り口タイプのレデューサー付です。<br>
●折り曲げてもつぶれにくく、ダクト同士の接続が簡単にできます。<br>
<br>
<br>
<br>
【仕様】<br>
●ダクト径(mm):230<br>
●長さ(m):5<br>
●本体生地厚み(mm):0.33<br>
●適合送風機最大口径(mm):230<br>
●レデューサー径(mm):260<br>
●風管・スタンダードタイプ<br>
●耐熱温度:50℃<br>
●（財）日本防炎協会認定品<br>
●レデューサー付<br>
●吊り金具<br>
<br>
【材質・仕上げ】<br>
●基布:ポリエステル繊維織物<br>
●表面加工:塩ビシートをラミネート加工<br>
<br>
【質量】<br>
●3.1KG</p>",TRUSCO フレキシブルダクト Φ230X長さ5m RFD-230S：プラスワンツールズ,TRUSCO フレキシブルダクト Φ230X長さ5m RFD-230S,【代表画像 色/サイズ等注意】。TRUSCO フレキシブルダクト Φ230X長さ5m RFD-230S[rn]
17-26226,http://tshop.r10s.jp/plus1tools/cabinet/ts-04/t010002605707.jpg?fitin=700:700,13724.8000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO フレキシブルダクト ファスナー接続タイプ Φ320X5m TFD-320FA,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●ダクト同士の取り付けがファスナー式なので延長するときに最適です。<br>
<br>
【用途】<br>
●送風機に接続し、吸気、排気を行うダクト。<br>
●排気する現場が遠いときに延長して使用することが可能。<br>
<br>
【仕様】<br>
●ダクト径(mm):320<br>
●長さ(m):5<br>
●本体生地厚み(mm):0.35<br>
●適合送風機最大口径(mm):320<br>
●レデューサー径(mm):350<br>
●硬鋼線(mm):3<br>
●（財）日本防炎協会認定品<br>
●ファスナー接続タイプ<br>
●レデューサー付<br>
●吊り金具（ＳＵＳ４３０）<br>
●ダクト径320mm専用<br>
●耐熱温度:80度<br>
<br>
【材質・仕上げ】<br>
●基布:ポリエステルターポリン<br>
●表面加工:塩ビシートをラミネート加工<br>
<br>
【質量】<br>
●5.3KG</p>",TRUSCO フレキシブルダクト ファスナー接続タイプ Φ320X5m TFD-320FA：プラスワンツールズ,TRUSCO フレキシブルダクト ファスナー接続タイプ Φ320X5m TFD-320FA,TRUSCO フレキシブルダクト ファスナー接続タイプ Φ320X5m TFD-320FA[rn]
17-26227,http://tshop.r10s.jp/plus1tools/cabinet/ts-23/t010004569638.jpg?fitin=700:700,20973.6000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO ハンディジェット ハネ外径290mm HJF-300,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●持ち運びに便利な、大きなハンドグリップを採用しています。<br>
●両端部が空気抵抗を低減するために釣鐘型にした両面ベルマウス仕様で低騒音化を実現しました。<br>
●吸気・排気側どちらにもフレキシブルダクト取付可能で、1台で送風・排風のいずれも使用できます。<br>
<br>
【用途】<br>
●大口径鋼管内の送排風。<br>
●マンホール・トンネル内の酸欠事故防止。<br>
●タンク内の送排風用。<br>
<br>
【仕様】<br>
●電源(V):単相100<br>
●騒音値(dB(A))(50/60Hz):78/81<br>
●標準消費電力料金(50Hz):10.94円/h<br>
●標準消費電力料金(60Hz):15.12円/h<br>
●消費電力(W)(50/60Hz):405/560<br>
●適合ダクト径(mm):320<br>
●ハネ径(mm):290<br>
●ファン翼数(枚):4<br>
●出力(kW):0.405/0.56<br>
●風量([[立米]]/min)(50/60Hz):52/60<br>
●電流値(50Hz/60Hz):5.0A/5.5A<br>
●電源コード:1.8m（アースクリップ付）<br>
●ハネの材質:樹脂<br>
●ファン外径(mm):290<br>
<br>
【材質・仕上げ】<br>
●羽根:ナイロンGF20・PA6（グラスファイバー20%混入）<br>
●ハンドグリップ（取手）:アルミダイカスト<br>
<br>
【注意】<br>
●防爆タイプではありません。<br>
<br>
【質量】<br>
●12.5KG</p>",TRUSCO ハンディジェット ハネ外径290mm HJF-300：プラスワンツールズ,TRUSCO ハンディジェット ハネ外径290mm HJF-300,TRUSCO ハンディジェット ハネ外径290mm HJF-300[rn]
17-26228,http://tshop.r10s.jp/plus1tools/cabinet/ts-14/t010002981373.jpg?fitin=700:700,199816.0000,,花・ガーデン・DIY > DIY・工具 > その他,個別送料1000円 直送品 スイデン 送風機 どでかファン ハネ径φ710 SJF-700A-3,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）スイデン<br>
<br>
【特長】<br>
●大風量型タイプです。<br>
●風の到達距離が最大65mと長く、広い範囲に送風します。（ダクトは使用不可）<br>
●風向きは俯仰角方向90°調節が可能です。<br>
●ブレーキ付大型4輪キャスタータイプで移動が容易です。<br>
●風の拡散範囲を調節できるエアガイド付です。（SJF-600Aのみ）<br>
<br>
【用途】<br>
●大工場の涼風供給・換気・循環。<br>
●体育館、ジムなどの涼風送風。<br>
<br>
【仕様】<br>
●電源(V):三相200<br>
●騒音値(dB(A))(50/60Hz):87.0/89.5<br>
●出力(kW)(50/60Hz):1.75/2.70<br>
●標準消費電力料金(50Hz):23.62円/h<br>
●標準消費電力料金(60Hz):36.45円/h<br>
●消費電力(W)(50/60Hz):1750/2700<br>
●適合ダクト径(mm):適合ダクトなし<br>
●ハネ径(mm):710<br>
●ファン翼数(枚):6<br>
●風量([[立米]]/min)(50/60Hz):740/930<br>
●出力(W):2200<br>
●電源コード:10m（プラグなし）<br>
●50/60Hz兼用<br>
●軸流ファン<br>
●ファン外径(mm):710<br>
●騒音値(dB(A))(50Hz/60Hz):87.0/89.5<br>
●風量(m3/min)(50Hz/60Hz):740/930<br>
<br>
【注意】<br>
●電源コードのみでプラグは付いていませんので、ご使用場所のコンセントにあわせてプラグを取り付けてください。<br>
<br>
【質量】<br>
●106KG</p>",個別送料1000円 直送品 スイデン 送風機 どでかファン ハネ径φ710 SJF-700A-3：プラスワンツールズ,個別送料1000円 直送品 スイデン 送風機 どでかファン ハネ径φ710 SJF-700A-3,個別送料1000円 直送品 スイデン 送風機 どでかファン ハネ径φ710 SJF-700A-3[rn]
17-26229,http://tshop.r10s.jp/plus1tools/cabinet/ts-23/t010004569617.jpg?fitin=700:700,18086.4000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO ハンディジェット ハネ外径200mm HJF-200,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●持ち運びに便利な、大きなハンドグリップを採用しています。<br>
●両端部が空気抵抗を低減するために釣鐘型にした両面ベルマウス仕様で低騒音化を実現しました。<br>
●吸気・排気側どちらにもフレキシブルダクト取付可能で、1台で送風・排風のいずれも使用できます。<br>
<br>
【用途】<br>
●大口径鋼管内の送排風。<br>
●マンホール・トンネル内の酸欠事故防止。<br>
●タンク内の送排風用。<br>
<br>
【仕様】<br>
●電源(V):単相100<br>
●騒音値(dB(A))(50/60Hz):71/74<br>
●標準消費電力料金(50Hz):3.65円/h<br>
●標準消費電力料金(60Hz):5.4円/h<br>
●消費電力(W)(50/60Hz):135/200<br>
●適合ダクト径(mm):230<br>
●ハネ径(mm):200<br>
●ファン翼数(枚):6<br>
●出力(kW):0.135/0.2<br>
●風量([[立米]]/min)(50/60Hz):19/23<br>
●電流値(50Hz/60Hz):1.7A/2.1A<br>
●電源コード:1.8m（アースクリップ付）<br>
●ハネの材質:樹脂<br>
●ファン外径(mm):200<br>
<br>
【材質・仕上げ】<br>
●羽根:ナイロンGF20・PA6（グラスファイバー20%混入）<br>
●ハンドグリップ（取手）:アルミダイカスト<br>
<br>
【注意】<br>
●防爆タイプではありません。<br>
<br>
【質量】<br>
●7KG</p>",TRUSCO ハンディジェット ハネ外径200mm HJF-200：プラスワンツールズ,TRUSCO ハンディジェット ハネ外径200mm HJF-200,TRUSCO ハンディジェット ハネ外径200mm HJF-200[rn]
17-26230,http://tshop.r10s.jp/plus1tools/cabinet/ts-46/t010006120146.jpg?fitin=700:700,12668.8000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO フレキシブルダクト ファスナー接続タイプ Φ280X5m TFD-280FA,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●ダクト同士の取り付けがファスナー式なので延長するときに最適です。<br>
<br>
【用途】<br>
●送風機に接続し、吸気、排気を行うダクト。<br>
●排気する現場が遠いときに延長して使用することが可能。<br>
<br>
【仕様】<br>
●ダクト径(mm):280<br>
●長さ(m):5<br>
●本体生地厚み(mm):0.35<br>
●適合送風機最大口径(mm):280<br>
●レデューサー径(mm):310<br>
●硬鋼線(mm):3<br>
●（財）日本防炎協会認定品<br>
●ファスナー接続タイプ<br>
●レデューサー付<br>
●吊り金具（ＳＵＳ４３０）<br>
●ダクト径280mm専用<br>
●耐熱温度:80度<br>
<br>
【材質・仕上げ】<br>
●基布:ポリエステルターポリン<br>
●表面加工:塩ビシートをラミネート加工<br>
<br>
【質量】<br>
●4.5KG</p>",TRUSCO フレキシブルダクト ファスナー接続タイプ Φ280X5m TFD-280FA：プラスワンツールズ,TRUSCO フレキシブルダクト ファスナー接続タイプ Φ280X5m TFD-280FA,【代表画像 色/サイズ等注意】。TRUSCO フレキシブルダクト ファスナー接続タイプ Φ280X5m TFD-280FA[rn]
17-26231,http://tshop.r10s.jp/plus1tools/cabinet/ts-23/t010004569631.jpg?fitin=700:700,19176.0000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO ハンディジェット ハネ外径250mm HJF-250,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●持ち運びに便利な、大きなハンドグリップを採用しています。<br>
●両端部が空気抵抗を低減するために釣鐘型にした両面ベルマウス仕様で低騒音化を実現しました。<br>
●吸気・排気側どちらにもフレキシブルダクト取付可能で、1台で送風・排風のいずれも使用できます。<br>
<br>
【用途】<br>
●大口径鋼管内の送排風。<br>
●マンホール・トンネル内の酸欠事故防止。<br>
●タンク内の送排風用。<br>
<br>
【仕様】<br>
●電源(V):単相100<br>
●騒音値(dB(A))(50/60Hz):76/77<br>
●標準消費電力料金(50Hz):5.67円/h<br>
●標準消費電力料金(60Hz):8.1円/h<br>
●消費電力(W)(50/60Hz):210/300<br>
●適合ダクト径(mm):280<br>
●ハネ径(mm):250<br>
●ファン翼数(枚):6<br>
●出力(kW):0.21/0.3<br>
●風量([[立米]]/min)(50/60Hz):34/37<br>
●電流値(50Hz/60Hz):2.9A/3.2A<br>
●電源コード:1.8m（アースクリップ付）<br>
●ハネの材質:樹脂<br>
●ファン外径(mm):250<br>
<br>
【材質・仕上げ】<br>
●羽根:ナイロンGF20・PA6（グラスファイバー20%混入）<br>
●ハンドグリップ（取手）:アルミダイカスト<br>
<br>
【注意】<br>
●防爆タイプではありません。<br>
<br>
【質量】<br>
●9KG</p>",TRUSCO ハンディジェット ハネ外径250mm HJF-250：プラスワンツールズ,TRUSCO ハンディジェット ハネ外径250mm HJF-250,TRUSCO ハンディジェット ハネ外径250mm HJF-250[rn]
