17-100499,http://tshop.r10s.jp/voice/cabinet/stamp/stamp2/kh-rhs_1.jpg?fitin=700:700,481.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,消しゴムはんこ　ラクほりセット　シード,　【つまようじで彫る？！】,"つまようじで彫れる新素材の消しゴム<br />
  大きさ：W105×H15×D157<br>
<br>
＜セット内容＞<br>
1.けしごむ（オレンジの香り付き）<br>
2.掘りクズのお掃除ねりけし<br>
3.説明書<br>
4.トレーシングペーパー<br>
5.スタンプ用特製ヘラ＆つまようじ",消しゴムはんこ　ラクほりセット　シード：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨消しゴムはんこ　ラクほりセット　シード,　【つまようじで彫る？！】。消しゴムはんこ　ラクほりセット　シード[rn]
17-100510,http://tshop.r10s.jp/voice/cabinet/icon/kh-hn12.jpg?fitin=700:700,304.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ,　しっかり彫れてかけにくい！,"<br>
<font color=""#FF0000"" size=""4"">小さな図案、細かい線、細かい個所までしっかり彫れて<br>
かけにくい消しゴムはんこです。</font><br>
ダブルカラー（2階層）の彫りやすい消しゴムです。<br />　スクラップブッキングにも<br>
本体サイズ：W100×D148×H10<BR>
※トレーシングペーパーは別売りとなっております。<br>
　※メール便は4個まで対応です。<br>
5個～8個の場合は、送料360円でお届けします。<br>",【消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ,　しっかり彫れてかけにくい！。【消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ[rn]
17-100511,http://tshop.r10s.jp/voice/cabinet/bungu/kh-hn-cnp3_1.jpg?fitin=700:700,336.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,猫野ぺすかさんのほるナビ＜CNP3＞消しゴムはんこ　シード　＜メール便指定OK＞　スクラップブッキングにも,人気の作家さんとコラボレーション！,"●猫野ぺすかさん<br>
ミルクティーカラーの二層式。<br>
<br>

メール便は4個まで<br>
5個～8個・・送料360円でお送りできます。<br>
　　<br>（配送方法は必ずメール便をお選びください）
9個以上・・通常宅配便<br>
同梱商品がある場合は、メール便の対象から除外されます。",猫野ぺすかさんのほるナビ＜CNP3＞消しゴムはんこ　シード　＜メール便指定OK＞　スクラップブッキングにも：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨猫野ぺすかさんのほるナビ＜CNP3＞消しゴムはんこ　シード　＜メール便指定OK＞　スクラップブッキングにも,人気の作家さんとコラボレーション！。猫野ぺすかさんのほるナビ＜CNP3＞消しゴムはんこ　シード　＜メール便指定OK＞　スクラップブッキングにも[rn]
17-100512,http://tshop.r10s.jp/voice/cabinet/carlpunch/cn12160.jpg?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール ミニクラフトパンチ　＜ベビーボトル＞　カーラクラフト　Carlacraft,,"<font size=""4"" color=""#FF0000"">スクラップブッキングやペーパークラフトに</font><br>
<br>
文字の大きさ：約８mm<br>
適正紙圧：コピー用紙２枚程度です。<br>",カール ミニクラフトパンチ　＜ベビーボトル＞　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール ミニクラフトパンチ　＜ベビーボトル＞　カーラクラフト　Carlacraft,カール ミニクラフトパンチ　＜ベビーボトル＞　カーラクラフト　Carlacraft[rn]
17-100513,http://tshop.r10s.jp/gold/voice/gazo/carl1/cn12094.gif?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール ミニクラフトパンチ　＜ハート （Heart）＞　カーラクラフト　Carlacraft,,"<font size=""4"" color=""#FF0000"">スクラップブッキングやペーパークラフトに</font><br>
<br>
絵柄の大きさ：縦約10mmx横約11mm<br>
適正紙圧：コピー用紙２枚程度です。<br>",カール ミニクラフトパンチ　＜ハート （Heart）＞　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール ミニクラフトパンチ　＜ハート （Heart）＞　カーラクラフト　Carlacraft,カール ミニクラフトパンチ　＜ハート （Heart）＞　カーラクラフト　Carlacraft[rn]
17-100514,http://tshop.r10s.jp/voice/cabinet/carlpunch/12110_1.jpg?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール ミニクラフトパンチ　＜チューリップTULIP＞　カーラクラフト　Carlacraft,,"<font size=""4"" color=""#FF0000"">スクラップブッキングやペーパークラフトに</font><br>
<br>
文字の大きさ：約８mm<br>
適正紙圧：コピー用紙２枚程度です。<br>",カール ミニクラフトパンチ　＜チューリップTULIP＞　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール ミニクラフトパンチ　＜チューリップTULIP＞　カーラクラフト　Carlacraft,カール ミニクラフトパンチ　＜チューリップTULIP＞　カーラクラフト　Carlacraft[rn]
17-100515,http://tshop.r10s.jp/voice/cabinet/hb32304.jpg?fitin=700:700,1033.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス 2本セット ゴールド,　,"手軽に試せる2本セット（約30押し分）。
<br>長さ約12cm<font color=""red"">ご好評いただき完売しました。</font>",ＨＥＲＢＩＮ シーリングワックス 2本セット ゴールド：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス 2本セット ゴールド,　。ＨＥＲＢＩＮ シーリングワックス 2本セット ゴールド[rn]
17-100516,http://tshop.r10s.jp/voice/cabinet/hb33012.jpg?fitin=700:700,1551.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス パーリーブルー,　,"手書きの手紙の醍醐味、封ろうに使うワックス。
<br>色バリエーション豊かな４本セット
<br>（約40押し分）。長さ約8cm",ＨＥＲＢＩＮ シーリングワックス パーリーブルー：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス パーリーブルー,　。ＨＥＲＢＩＮ シーリングワックス パーリーブルー[rn]
17-100517,http://tshop.r10s.jp/voice/cabinet/stamp/stamp2/kh-bs-4.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,楽しく作るけしごむすたんぷおたすけBOOK“２”「けしごむスタンプ図案集」＜メール便指定ＯＫ＞,　【図案たっぷり！】,"フルカラー38ページ<br>
トレーシングペーパー<br>
　（はがきサイズ5枚入り）<br>
かわいい図案が、なんと360点以上収録されています<BR>
初心者向けの簡単な図案や、<br>
季節ごとの図案など<br>
総勢13名の作家さんによるかわいい図案集です<br>",楽しく作るけしごむすたんぷおたすけBOOK&ldquo;２&rdquo;「けしごむスタンプ図案集」＜メール便指定ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨楽しく作るけしごむすたんぷおたすけBOOK&ldquo;２&rdquo;「けしごむスタンプ図案集」＜メール便指定ＯＫ＞,　【図案たっぷり！】。楽しく作るけしごむすたんぷおたすけBOOK&ldquo;２&rdquo;「けしごむスタンプ図案集」＜メール便指定ＯＫ＞[rn]
17-100518,http://tshop.r10s.jp/voice/cabinet/stamp2/kh-hnc-m.jpg?fitin=700:700,379.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,けしごむスタンプ　彫刻刀セットビギナーにもオススメ！図案付き＜メール便指定OK＞,　【期間限定大特価】,"<font color=""red"">※彫刻刀の種類を必ずお選びください。</font><BR>

扱いやすい彫刻刀だから、ビギナーさんでも気軽に楽しめます。<BR>
簡単な図形の組み合わせでいろんなアレンジが楽しめる図案付き<BR>
<BR>
このセットに入っているスタンプ作り専用の消しゴムは<br>
あらかじめ上面の薄い層だけに色がついているので<br>
彫った場所がわかりやすい　と好評です<br>
<br>
<br>

内容：ほるナビA7サイズ×１枚<br>
トレーシングペーパー<BR>
説明書+図案用紙<BR>
彫刻刀（三角刀または丸刀）<BR>
いずれか種類をお選びください。
<br>

<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら
<br>
<br>",けしごむスタンプ　彫刻刀セットビギナーにもオススメ！図案付き＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨けしごむスタンプ　彫刻刀セットビギナーにもオススメ！図案付き＜メール便指定OK＞,　【期間限定大特価】。けしごむスタンプ　彫刻刀セットビギナーにもオススメ！図案付き＜メール便指定OK＞[rn]
17-100519,http://tshop.r10s.jp/voice/cabinet/bungu5/hanahanko_1.jpg?fitin=700:700,131.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【色工房voiceオリジナル】はなはんこ（3個入り）　★メール便対応ＯＫ　　スクラップブッキングにも,ちっちゃなデイジーの消しゴムはんこ,"ボイスオリジナルの消しゴムはんこです。
<br>
<BR>
□大きさ　直径　約24mm<br>
□3個入り<br><br>",【色工房voiceオリジナル】はなはんこ（3個入り）　★メール便対応ＯＫ　　スクラップブッキングにも：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【色工房voiceオリジナル】はなはんこ（3個入り）　★メール便対応ＯＫ　　スクラップブッキングにも,ちっちゃなデイジーの消しゴムはんこ。【色工房voiceオリジナル】はなはんこ（3個入り）　★メール便対応ＯＫ　　スクラップブッキングにも[rn]
17-100520,http://tshop.r10s.jp/voice/cabinet/bungu2/d-401p-b_1.jpg?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,NTカッター　デザインナイフ　ブルー　D-401P（Ｂ）消しゴムはんこに最適スクラップブッキングに最適！※メール便対応OK,　,"<font color=""red"">
メール便ご希望の場合は、クイック購入を使わず<br>
配送方法として必ずメール便をお選びください。<br></font>
デザインナイフのベーシックモデル<br>
先端は回転しないので、自分の力加減が直接伝わります<br>
消しゴムスタンプ作家のさくらんぼさんもご愛用のツール<br>
グリップ部は滑り止め加工されていて安心！<br>
鉛筆間隔で使える直径９ｍｍ<br>
全長：132ｍｍ<br>
材質：本体＝PP製<br>
30°,45°の替刃各5枚付<br>
<br>
スクラップブッキングや、消しゴムはんこに大活躍！<br>
※メール便対象商品。メール便ご希望の方は御注文の際にメール便をご選択下さい。メール便は代金引換をご利用いただけません。ご注意ください。<BR>",NTカッター　デザインナイフ　ブルー　D-401P（Ｂ）消しゴムはんこに最適スクラップブッキングに最適！※メール便対応OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨NTカッター　デザインナイフ　ブルー　D-401P（Ｂ）消しゴムはんこに最適スクラップブッキングに最適！※メール便対応OK,　。NTカッター　デザインナイフ　ブルー　D-401P（Ｂ）消しゴムはんこに最適スクラップブッキングに最適！※メール便対応OK[rn]
17-100521,http://tshop.r10s.jp/voice/cabinet/bungu/kh-hn-k4y_1.jpg?fitin=700:700,207.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,消しゴムはんこ　ほるナビ　30×30（イエロー）　シード　K4Y　★メール便対応ＯＫ,ハンドメイドの雑貨作りに,"ダブルカラー（2階層）の彫りやすい消しゴムです。<br />
  本体サイズ：W30×D30×H10<BR>",消しゴムはんこ　ほるナビ　30&times;30（イエロー）　シード　K4Y　★メール便対応ＯＫ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨消しゴムはんこ　ほるナビ　30&times;30（イエロー）　シード　K4Y　★メール便対応ＯＫ,ハンドメイドの雑貨作りに。消しゴムはんこ　ほるナビ　30&times;30（イエロー）　シード　K4Y　★メール便対応ＯＫ[rn]
