17-109699,,1398.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も同時に兼ね備えており、工具には最適な材質です。<br>●剪定鋏１１０４の下部替刃です。<br>●全長(mm):95<br>●タイプ:下部<br>●高炭素刃物鍛造鋼（クロムコーティング）<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1[rn]
17-109710,http://tshop.r10s.jp/yminfo/cabinet/00121755/di-27-1.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　ワンタッチ式　DIY・大工鋸　替刃　27　DI-27-1,内装大工や幅広い用途に,"【ここがポイント！】 
 内装大工や工作など幅広い用途に
 
 高炭素刃物鋼、アサリわけ、特殊表面処理、衝撃焼入、ワンタッチストッパー 
 こちらは替刃です 
 
 
　【商品詳細】 
全長 330mm 
刃渡 270mm 
ピッチ 4.5mm 
重量 55g 
切幅 0.95mm",アルス　ワンタッチ式　DIY・大工鋸　替刃　27　DI-27-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　ワンタッチ式　DIY・大工鋸　替刃　27　DI-27-1,内装大工や幅広い用途に。アルス　ワンタッチ式　DIY・大工鋸　替刃　27　DI-27-1[rn]
17-109711,http://tshop.r10s.jp/yminfo/cabinet/00121755/kz-24-1.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　ワンタッチ式　金属鋸　替刃　24　KZ-24-1,金属用,"【ここがポイント！】 
 金属用です
 
 高炭素刃物鋼、アサリわけ、特殊表面処理、衝撃焼入、ワンタッチストッパー 
 こちらは替刃です。DIY・大工用・生木剪定用・塩ビパイプ用・金属用・竹挽用がありそれぞれに付け替えることができます 
 
 
　【商品詳細】 
全長 300mm 
刃渡 240mm 
ピッチ 1.4mm 
重量 50g 
切幅 1.0mm",アルス　ワンタッチ式　金属鋸　替刃　24　KZ-24-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　ワンタッチ式　金属鋸　替刃　24　KZ-24-1,金属用。アルス　ワンタッチ式　金属鋸　替刃　24　KZ-24-1[rn]
17-109712,http://tshop.r10s.jp/yminfo/cabinet/00121755/nk-24-1.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　ワンタッチ式　生木鋸　替刃　27　NK-24-1,生木剪定用,"【ここがポイント！】 
 生木剪定用
 
 高炭素刃物鋼、アサリわけ、特殊表面処理、衝撃焼入、ワンタッチストッパー 
 こちらは替刃です。DIY・大工用・生木剪定用・塩ビパイプ用・金属用・竹挽用がありそれぞれに付け替えることができます 
 
 
　【商品詳細】 
全長 300mm 
刃渡 240mm 
ピッチ 6.0mm 
重量 35g 
切幅 1.0mm",アルス　ワンタッチ式　生木鋸　替刃　27　NK-24-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　ワンタッチ式　生木鋸　替刃　27　NK-24-1,生木剪定用。アルス　ワンタッチ式　生木鋸　替刃　27　NK-24-1[rn]
17-109713,http://tshop.r10s.jp/yminfo/cabinet/00121755/tb-27-1.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　ワンタッチ式　竹挽鋸　替刃　27　TB-27-1,竹挽き用,"【ここがポイント！】 
 竹挽き用です。垣根つくりなどに便利です
 
 高炭素刃物鋼、アサリわけ、特殊表面処理、衝撃焼入、ワンタッチストッパー 
 こちらは替刃です。DIY・大工用・生木剪定用・塩ビパイプ用・金属用・竹挽用がありそれぞれに付け替えることができます 
 
 
　【商品詳細】 
全長 300mm 
刃渡 240mm 
ピッチ 3.5mm 
重量 52g 
切幅 0.9mm",アルス　ワンタッチ式　竹挽鋸　替刃　27　TB-27-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　ワンタッチ式　竹挽鋸　替刃　27　TB-27-1,竹挽き用。アルス　ワンタッチ式　竹挽鋸　替刃　27　TB-27-1[rn]
17-109714,http://tshop.r10s.jp/yminfo/cabinet/00121755/es-24-1.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　ワンタッチ式　アルスパイパー　替刃　24　ES-24-1,塩ビパイプ・樹脂用,"【ここがポイント！】 
 塩ビパイプ・樹脂材・合板などに
 
 高炭素刃物鋼、アサリわけ、特殊表面処理、衝撃焼入、ワンタッチストッパー 
 こちらは替刃です。DIY・大工用・生木剪定用・塩ビパイプ用・金属用・竹挽用がありそれぞれに付け替えることができます 
 
 
　【商品詳細】 
全長 300mm 
刃渡 240mm 
ピッチ 3.0mm 
重量 36g 
切幅 0.8mm",アルス　ワンタッチ式　アルスパイパー　替刃　24　ES-24-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　ワンタッチ式　アルスパイパー　替刃　24　ES-24-1,塩ビパイプ・樹脂用。アルス　ワンタッチ式　アルスパイパー　替刃　24　ES-24-1[rn]
17-109715,http://tshop.r10s.jp/yminfo/cabinet/00121755/kl-30a-1.jpg?fitin=700:700,1584.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　りんご鋸　替刃　300mm　KL-30A-1,果樹剪定に切れ味を発揮,"【ここがポイント！】 
 リンゴ樹などの果樹剪定に切れ味を発揮します
 
 高炭素刃物鋼、アサリわけ、UVカット、特殊表面処理、衝撃焼入。 
 こちら替刃です 
 
 
　【商品詳細】 
全長 370mm 
刃渡 300mm 
ピッチ 5.0mm 
重量 51g 
切幅 1.0mm",アルス　りんご鋸　替刃　300mm　KL-30A-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　りんご鋸　替刃　300mm　KL-30A-1,果樹剪定に切れ味を発揮。アルス　りんご鋸　替刃　300mm　KL-30A-1[rn]
17-109716,http://tshop.r10s.jp/yminfo/cabinet/00121755/s-27-1.jpg?fitin=700:700,1857.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　サンリン27　替刃　S-27-1,山林の枝打ちに,"【ここがポイント！】 
 山林の枝打ち作業がスムーズです。鞘つき
 
 高炭素刃物鋼、アサリわけ、リブつき研磨、UVカット、特殊表面処理、衝撃焼入 
 こちらは替刃です 
 
 
　【商品詳細】 
全長 340mm 
刃渡 270mm 
ピッチ 7.0mm 
重量 68g 
切幅 1.05mm",アルス　サンリン27　替刃　S-27-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　サンリン27　替刃　S-27-1,山林の枝打ちに。アルス　サンリン27　替刃　S-27-1[rn]
17-109717,http://tshop.r10s.jp/yminfo/cabinet/00121755/250z-3.jpg?fitin=700:700,13181.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　伸縮長柄鋸　250Z-3,スライド式で使いよい、伸縮タイプの高枝用長柄鋸です,"【ここがポイント！】 
 スライド式で使いよい、伸縮タイプの高枝用長柄鋸です。 
 高炭素刃物鋼 、ハ―ドクロ―ム仕上げ、鏡面研磨目立て 、荒目仕様 
 替刃式です 
 
 
　【商品詳細】 
全長 2353-5112mm 
刃渡 450mm 
重量 2450g",アルス　伸縮長柄鋸　250Z-3：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　伸縮長柄鋸　250Z-3,スライド式で使いよい、伸縮タイプの高枝用長柄鋸です。アルス　伸縮長柄鋸　250Z-3[rn]
17-109718,http://tshop.r10s.jp/yminfo/cabinet/00121755/x-24.jpg?fitin=700:700,1943.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルス　大工用鋸ニュー豪傑24　X-24,研磨スキ加工で切粉の排出がスムーズ,"【ここがポイント！】 
 研磨スキ加工で切粉の排出がスムーズ
 
 高炭素刃物鋼、アサリわけなし、アルステックカット、UVカット、ハードクロム仕上げ、衝撃焼入、ワンタッチストッパー、セーフティーロック、エラストマーグリップ 
 替刃式です
 
 
 
　【商品詳細】 
全長 折込時281mm使用時509mm 
刃渡 240mm 
ピッチ 6mm 
重量 250g 
切幅 1.05mm",アルス　大工用鋸ニュー豪傑24　X-24：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアルス　大工用鋸ニュー豪傑24　X-24,研磨スキ加工で切粉の排出がスムーズ。アルス　大工用鋸ニュー豪傑24　X-24[rn]
17-109719,http://tshop.r10s.jp/yminfo/cabinet/00121755/340h-m.jpg?fitin=700:700,1472.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【ネコポス可能】アルス　ロングクラフト　ソリ刃　340H-M,愛され続けて30年。スグレモノです。,"【ここがポイント！】 
 愛され続けて30年、園芸・ホビー・手芸・工作・事務・料理等々いろんなシーンで大活躍 
 クラフトチョキの長刃タイプです。 
封筒の開封、布を大きく裁つときには刃の長いはさみが便利です。 
 高炭素刃物鋼・ソフトグリップ 
 
 
　【商品詳細】 
全長 190m 
刃渡 65mm 
重量 65g",【ネコポス可能】アルス　ロングクラフト　ソリ刃　340H-M：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】アルス　ロングクラフト　ソリ刃　340H-M,愛され続けて30年。スグレモノです。。【ネコポス可能】アルス　ロングクラフト　ソリ刃　340H-M[rn]
17-109720,http://tshop.r10s.jp/yminfo/cabinet/00121755/340h-t.jpg?fitin=700:700,1472.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【ネコポス可能】アルス　ロングクラフト　直刃　340H-T,愛され続けて30年。スグレモノです。,"【ここがポイント！】 
 愛され続けて30年、園芸・ホビー・手芸・工作・事務・料理等々いろんなシーンで大活躍 
 クラフトチョキの長刃タイプです。 
封筒の開封、布を大きく裁つときには刃の長いはさみが便利です。 
 高炭素刃物鋼・ソフトグリップ 
 
 
　【商品詳細】 
全長 190m 
刃渡 65mm 
重量 65g",【ネコポス可能】アルス　ロングクラフト　直刃　340H-T：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】アルス　ロングクラフト　直刃　340H-T,愛され続けて30年。スグレモノです。。【ネコポス可能】アルス　ロングクラフト　直刃　340H-T[rn]
