9-12803,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ブラシ形状が円盤型で、外面に向かって放射状に毛が植わっています。<br>●円盤状のブラシの中心に10mmの穴が開いていて工具、機械などに同径の軸がついていれば取り付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1[rn]
9-12814,,2653.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユーコー・コーポレーション/ＹＵＫＯ【BC-12.0 AO120】(7567774) フレックスホーン＃ＡＯ１２０ 受注単位1,作業用品\研削研磨用品\軸付ブラシ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●シャフトから出ているファイバー樹脂製の足に人口砥粒を焼結させた玉をつけた構造です。<br>●足がナイロン樹脂で弾力性に富み、ワークの内面のバリ、凹凸のあるワークの内面も研磨可能です。<br><br>●SC（シリコンカーバイト）ワークの材質が比較的硬いもの（鋳鉄、炭素鋼、焼き入れした鉄など）<br>●AO（酸化アルミナ）ワークの材質が比較的柔らかいもの（アルミニウム、ステンレス、銅など）＜粗い粒度＞＃60、120、180、主にバリ取り用＜細かい粒度＞＃240、320、600、主に研磨用＜LAルビゲートアルミナ＞＃1000相当（鏡面仕上用）（＃20、＃40、＃80、＃400、＃800、は特注品として申し受けます）<br><br>●砥粒：酸化アルミナ<br>●適用内径(mm)：11.5～12.5<br>●軸径(mm)：4.3<br>●砥粒部長さ(mm)：63<br>●全長(mm)：203<br>●シャフト径(mm)：4.3<br>●質量(g)：35<br><br>●回転数は、ワークによって異なるがおよそ300～1200rpmの間で使用<br>●作業時間はワークの材質および使用目的によって異なるが目安として10～20秒、往復運動は目安として2秒に1往復位<br>●研削液は、水溶液（ソリューブタイプ）またはスピンドル油を使用<br><br>●砥粒：アルミオキサイド<br>●シャフト：亜鉛メッキ線<br>●ブラシ部：ナイロン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ユーコー・コーポレーション/ＹＵＫＯ【BC-12.0 AO120】(7567774) フレックスホーン＃ＡＯ１２０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ユーコー・コーポレーション/ＹＵＫＯ【BC-12.0 AO120】(7567774) フレックスホーン＃ＡＯ１２０ 受注単位1,作業用品\研削研磨用品\軸付ブラシ。『カード対応OK！』■〒ユーコー・コーポレーション/ＹＵＫＯ【BC-12.0 AO120】(7567774) フレックスホーン＃ＡＯ１２０ 受注単位1[rn]
9-12815,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002605628.jpg?fitin=700:700,624.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軸付ホイールブラシ　Φ３８Ｘ軸６．３５　鋼線０．３【TB-6212-60】(3521095) 受注単位1,(3521095),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ブラシ形状が円盤型で、外側に向かって放射状に毛が植わっています。<br>●電動インパクトドライバーで使用するため、ワンタッチで取り外しができます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軸付ホイールブラシ　Φ３８Ｘ軸６．３５　鋼線０．３【TB-6212-60】(3521095) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軸付ホイールブラシ　Φ３８Ｘ軸６．３５　鋼線０．３【TB-6212-60】(3521095) 受注単位1,(3521095)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軸付ホイールブラシ　Φ３８Ｘ軸６．３５　鋼線０．３【TB-6212-60】(3521095) 受注単位1[rn]
9-12816,,3722.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イチグチ/ＡＣ　テクノディスクＡ－Ｅ【TDE10015-A-400】(3061949) 受注単位5,作業用品\研削研磨用品\ディスクペーパー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●研磨布の並びに工夫をこらし、空冷効果を高めました。<br>●一般研削、研磨用として仕上がりも美しく、幅広い用途に対応できます。<br>●空冷作用に優れたシャープな切れ味です。<br>●自生作用が大きく、目づまりが少なく、面粗度が均一です。<br>●研磨時の騒音や振動が少ないため作業が快適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イチグチ/ＡＣ　テクノディスクＡ&minus;Ｅ【TDE10015-A-400】(3061949) 受注単位5：クローバー資材館,『カード対応OK！』■〒イチグチ/ＡＣ　テクノディスクＡ&minus;Ｅ【TDE10015-A-400】(3061949) 受注単位5,作業用品\研削研磨用品\ディスクペーパー。『カード対応OK！』■〒イチグチ/ＡＣ　テクノディスクＡ&minus;Ｅ【TDE10015-A-400】(3061949) 受注単位5[rn]
9-12817,,2385.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【5028901】(4971574) エアマイクログラインダー用３．０ｍｍコレット 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●適用：3.0mmコレット<br>●質量(g)：1<br><br>●マイクロエアグラインダーTMAG10SN専用<br><br>●SCM435<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【5028901】(4971574) エアマイクログラインダー用３．０ｍｍコレット 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【5028901】(4971574) エアマイクログラインダー用３．０ｍｍコレット 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【5028901】(4971574) エアマイクログラインダー用３．０ｍｍコレット 受注単位1[rn]
9-12818,,30618.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【M-112】(1069560) ゼムニューモータ１２０°タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型軽量化を追求したボディーデザインにより使いやすく、作業能率が大幅に向上します。<br>●特殊エアホースと精密ギアの採用により、回転音が大変低くなりました。<br><br>●金属のバリ取り、面取り、研削、研磨に。<br><br>●チャック内径(mm)：3<br>●無負荷回転数(rpm)：45000<br>●空気消費量([[立米]]/min)：0.16<br>●ホース取入口：R1/4<br>●排気：後方<br>●全長(mm)：128<br>●無負荷回転数(min[[の-1乗]])：45000<br>●質量(g)：120<br><br>●使用空気圧力：0.5MPa<br>●スロットル方式：ON/OFF<br>●適用軸径：3mm(別売コレット交換で1.6・2.35mm軸対応可能)<br>●排気方向：後方<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【M-112】(1069560) ゼムニューモータ１２０&deg;タイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【M-112】(1069560) ゼムニューモータ１２０&deg;タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【M-112】(1069560) ゼムニューモータ１２０&deg;タイプ 受注単位1[rn]
9-12819,,2808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【PD-320】(3900819) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミナ系砥粒を使用しており、主に鉄鋼や焼き入れ鋼などの鉄系材質を削るのに適しています。<br><br>●金属バリ取り、面取り、研削、研磨。<br><br>●粒度(#)：320<br>●外径(mm)：30<br>●内径(mm)：12<br>●質量(g)：75<br><br>●適合機種：M-109、M-111<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【PD-320】(3900819) ペーパディスク（専用ホルダー付） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【PD-320】(3900819) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【PD-320】(3900819) ペーパディスク（専用ホルダー付） 受注単位1[rn]
9-12820,,940.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【260420】(2765616) Ｇ・Ｍ用エキゾーストホース 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●排気エアが人体にあたるのを防ぎます。<br><br>●排気エアが人体にあたるのを防ぎます。<br><br>●適合機種：U-101、M-109、M-100、M-101E、M-111、M-112<br>●品名：エキゾーストホース<br>●全長(m)：0.5<br>●質量(g)：29<br>●ホース(mm)内径×外径：16×18<br><br>●ホース：内径16mm×外径18mm×全長0.5m<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【260420】(2765616) Ｇ・Ｍ用エキゾーストホース 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【260420】(2765616) Ｇ・Ｍ用エキゾーストホース 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【260420】(2765616) Ｇ・Ｍ用エキゾーストホース 受注単位1[rn]
9-12821,,4025.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【260304】(2765608) ３・３０１用コレットφ６ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●適合機種：U-3、MODEL-301<br>●コレット径×全長(mm)：6×31<br>●品名：コレット<br>●質量(g)：9.5<br><br><br>●工具鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【260304】(2765608) ３・３０１用コレットφ６ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【260304】(2765608) ３・３０１用コレットφ６ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【260304】(2765608) ３・３０１用コレットφ６ 受注単位1[rn]
9-12822,,29767.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【U-M】(1066846) マッハモータ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●超小型でわずか140gの軽さ、使いやすく長時間の使用でも疲れません。<br>●毎分60000回転の超高速回転で素晴らしい切削効果です。<br>●精密設計のベーンモーターは安定した性能を長時間にわたり維持します。<br><br>●各種金型の研削、金属加工後のバリ取りに。<br><br>●チャック内径(mm)：3<br>●無負荷回転数(rpm)：60000<br>●空気消費量([[立米]]/min)：0.18<br>●ホース取入口：R1/4<br>●排気：後方<br>●全長(mm)：144<br>●無負荷回転数(min[[の-1乗]])：60000<br>●質量(g)：140<br><br>●使用空気圧力：0.5MPa<br>●スロットル方式：ON/OFFバルブ<br>●適用軸径：3mm<br>●排気方向：後方<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【U-M】(1066846) マッハモータ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【U-M】(1066846) マッハモータ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【U-M】(1066846) マッハモータ 受注単位1[rn]
9-12823,,2808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【PD-80】(3900827) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミナ系砥粒を使用しており、主に鉄鋼や焼き入れ鋼などの鉄系材質を削るのに適しています。<br><br>●金属バリ取り、面取り、研削、研磨。<br><br>●粒度(#)：80<br>●外径(mm)：30<br>●内径(mm)：12<br>●質量(g)：85<br><br>●適合機種：M-109、M-111<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【PD-80】(3900827) ペーパディスク（専用ホルダー付） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【PD-80】(3900827) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【PD-80】(3900827) ペーパディスク（専用ホルダー付） 受注単位1[rn]
9-12824,,29767.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【M-101E】(2883775) エコゼムモータ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型軽量化を追求、超軽量100gを実現しました。<br>●エア消費量40%削減（当社比較）、環境対応商品として推奨します。<br>●強制給油システムにより過酷な条件下でも長寿命を実現しました。<br>●標準付属品のラバー・スリーブはグリップ力を高め、さらに振動を吸収し疲労を軽減します。<br><br>●金属のバリ取り、面取り、研磨、彫刻、内面加工の後処理。<br>●木材、石、プラスチックなどの切削加工。<br>●溶接後の面仕上げ。<br><br>●チャック内径(mm)：3<br>●無負荷回転数(rpm)：48000<br>●空気消費量([[立米]]/min)：0.1<br>●ホース取入口：R1/4<br>●排気：後方<br>●全長(mm)：137<br>●無負荷回転数(min[[の-1乗]])：48000<br>●質量(g)：100<br><br>●使用空気圧力：0.4MPa<br>●スロットル方式：ON/OFFバルブ<br>●適用軸径：3mm(別売コレット交換で1.6・2.35mm軸対応可能)<br>●排気方向：後方<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【M-101E】(2883775) エコゼムモータ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【M-101E】(2883775) エコゼムモータ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【M-101E】(2883775) エコゼムモータ 受注単位1[rn]
9-12825,,47230.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【U-3】(1071475) ニューモータ３型前方排気型 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コレットチャックの高精密化により回転時の振れがありません。<br>●高トルク・高速回転・超精密設計のベーンモーターを採用しています。<br>●研削および研磨工具に適した回転数に無段変速可能です。<br><br>●ダイカスト金型、鋳造金型、プレス金型、プラスチック金型の精密仕上げ。<br>●バリ取り、面取り、研磨、彫刻、内面加工、板金溶接の後処理。<br><br>●チャック内径(mm)：3・6<br>●無負荷回転数(rpm)：35000<br>●空気消費量([[立米]]/min)：0.25<br>●ホース取入口：R1/4<br>●排気：前方<br>●全長(mm)：173<br>●無負荷回転数(min[[の-1乗]])：35000<br>●質量(g)：280<br><br>●使用空気圧力：0.5MPa<br>●スロットル方式：フローコントロールバルブ<br>●適用軸径：3mm/6mm<br>●排気方向：前方<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【U-3】(1071475) ニューモータ３型前方排気型 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【U-3】(1071475) ニューモータ３型前方排気型 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【U-3】(1071475) ニューモータ３型前方排気型 受注単位1[rn]
9-12826,,30618.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【M-109】(1069543) ゼムニューモータ９０°タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型軽量化を追求したボディーデザインにより使いやすく、作業能率が大幅に向上します。<br>●特殊エアホースと精密ギアの採用により、回転音が大変低くなりました。<br><br>●金属のバリ取り、面取り、研削、研磨。<br><br>●無負荷回転数(rpm)：25000<br>●空気消費量([[立米]]/min)：0.16<br>●ホース取入口：R1/4<br>●排気：後方<br>●全長(mm)：124<br>●適合砥石(mm)：30(M7×0.75)<br>●ヘッド角(度)：90<br>●無負荷回転数(min[[の-1乗]])：25000<br>●質量(g)：140<br><br>●使用空気圧力：0.5MPa<br>●排気方向：後方<br>●適合砥石：径30mm(M7×0.75mm)<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【M-109】(1069543) ゼムニューモータ９０&deg;タイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【M-109】(1069543) ゼムニューモータ９０&deg;タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【M-109】(1069543) ゼムニューモータ９０&deg;タイプ 受注単位1[rn]
9-12827,,43375.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【MODEL-301】(1696386) ゼムニューモータ（ストレート） 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●6mm軸用ゼムニューモータの重研削用エアモータータイプです。<br>●重切削時の振動、曲げ圧力がモータースピンドルに直接かからない構造で耐久性を実現しました。<br><br>●金属のバリ取り、面取り、研削、研磨に。<br><br>●チャック内径(mm)：6<br>●無負荷回転数(rpm)：30000<br>●空気消費量([[立米]]/min)：0.18<br>●ホース取入口：R1/4<br>●排気：後方<br>●全長(mm)：200<br>●無負荷回転数(min[[の-1乗]])：30000<br>●質量(g)：400<br><br>●使用空気圧力：0.5MPa<br>●スロットル方式：ON/OFFバルブ<br>●適用軸径：6mm(別売コレット交換で3mm軸に対応可能)<br>●排気方式：後方<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【MODEL-301】(1696386) ゼムニューモータ（ストレート） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【MODEL-301】(1696386) ゼムニューモータ（ストレート） 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【MODEL-301】(1696386) ゼムニューモータ（ストレート） 受注単位1[rn]
9-12828,,2160.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＵＨＴ【5132】(7646551) ロータリーバー　３ＳＡＬ　アルミ向け　軸径３ｍｍ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミなど目詰まりしやすい非鉄金属を効率的に研削できる超硬ロータリーバーです。<br><br>●金属の研削（軽金属向け）<br><br>●質量（ｇ）：5<br>●最高使用回転数（ｒｐｍ）：65000<br>●軸径（ｍｍ）：3<br>●刃形状：3SALタイプ<br>●全長（mm)：38<br><br><br>●超硬<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＵＨＴ【5132】(7646551) ロータリーバー　３ＳＡＬ　アルミ向け　軸径３ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＵＨＴ【5132】(7646551) ロータリーバー　３ＳＡＬ　アルミ向け　軸径３ｍｍ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ＵＨＴ【5132】(7646551) ロータリーバー　３ＳＡＬ　アルミ向け　軸径３ｍｍ 受注単位1[rn]
9-12829,,29767.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【U-101】(1066838) ゼムニューモータ超軽量タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●特殊エアホースの採用により、従来品より騒音値を10ホーン音を低減しました。<br>●標準付属品のラバー・スリーブはグリップ力を高め、振動を吸収し疲労を軽減します。<br><br>●金属のバリ取り、面取り、研磨に。<br><br>●チャック内径(mm)：3<br>●無負荷回転数(rpm)：60000<br>●空気消費量([[立米]]/min)：0.16<br>●ホース取入口：R1/4<br>●排気：後方<br>●全長(mm)：137<br>●無負荷回転数(min[[の-1乗]])：60000<br>●質量(g)：100<br><br>●使用空気圧力：0.5MPa<br>●スロットル方式：ON/OFFバルブ<br>●適用軸径：3mm(別売コレット交換で1.6・2.35mm軸対応可能)<br>●排気方向：後方<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【U-101】(1066838) ゼムニューモータ超軽量タイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【U-101】(1066838) ゼムニューモータ超軽量タイプ 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【U-101】(1066838) ゼムニューモータ超軽量タイプ 受注単位1[rn]
9-12830,,725.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【260421】(2765624) １０１・１１２用スパナセット 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ムラキマイクログラインダーの工具着脱専用スパナセットです。<br><br>●ムラキマイクログラインダーの工具着脱専用スパナセットです。<br><br>●適合機種：U-101、M-112、M-101E<br>●品名：ボックススパナ・グリップスパナセット<br>●質量(g)：50<br><br>●対象機種：ニューモータ U-101・M-112、エコゼムモータ M-101E<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【260421】(2765624) １０１・１１２用スパナセット 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【260421】(2765624) １０１・１１２用スパナセット 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【260421】(2765624) １０１・１１２用スパナセット 受注単位1[rn]
9-12831,,2808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【PD-120】(3900797) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミナ系砥粒を使用しており、主に鉄鋼や焼き入れ鋼などの鉄系材質を削るのに適しています。<br><br>●金属バリ取り、面取り、研削、研磨。<br><br>●粒度(#)：120<br>●外径(mm)：30<br>●内径(mm)：12<br>●質量(g)：80<br><br>●適合機種：M-109、M-111<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【PD-120】(3900797) ペーパディスク（専用ホルダー付） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【PD-120】(3900797) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【PD-120】(3900797) ペーパディスク（専用ホルダー付） 受注単位1[rn]
9-12832,,2808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ【PD-180】(3900801) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミナ系砥粒を使用しており、主に鉄鋼や焼き入れ鋼などの鉄系材質を削るのに適しています。<br><br>●金属バリ取り、面取り、研削、研磨。<br><br>●粒度(#)：180<br>●外径(mm)：30<br>●内径(mm)：12<br>●質量(g)：80<br><br>●適合機種：M-109、M-111<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ムラキ【PD-180】(3900801) ペーパディスク（専用ホルダー付） 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ【PD-180】(3900801) ペーパディスク（専用ホルダー付） 受注単位1,作業用品\空圧工具\エアマイクログラインダー。『カード対応OK！』■〒ムラキ【PD-180】(3900801) ペーパディスク（専用ホルダー付） 受注単位1[rn]
