13-6601,,4762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●10.8Vリチウムイオン用充電器。",『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1：クローバー資材館,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー。『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1[rn]
13-6612,,6244.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミニター/ミニモ【MC1253】(4996933) 電着ダイヤモンドカッティングディスク　Φ３０ 受注単位1,作業用品\電動工具・油圧工具\マイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スピーディーで優れた切断能力を持つカッティング工具です。<br>●ステンレス基板により安全性と安定性を高め、磨耗によるサイズ変化もありません。<br><br>●適合素材：セラミックス、ガラス、工具鋼、合金鋼、超硬合金、サーメット<br><br>●最高使用回転数(rpm)：12000<br>●粒度(#)：200<br>●刃径(mm)：30<br>●刃長(mm)：0.6<br>●軸径(mm)：3.0<br>●全長(mm)：46.5<br>●質量(g)：17<br>●タイプ：電着<br><br><br>",『カード対応OK！』■〒ミニター/ミニモ【MC1253】(4996933) 電着ダイヤモンドカッティングディスク　Φ３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミニター/ミニモ【MC1253】(4996933) 電着ダイヤモンドカッティングディスク　Φ３０ 受注単位1,作業用品\電動工具・油圧工具\マイクログラインダー。『カード対応OK！』■〒ミニター/ミニモ【MC1253】(4996933) 電着ダイヤモンドカッティングディスク　Φ３０ 受注単位1[rn]
13-6613,,3240.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日立工機/日立 電動工具パーツ【939747】(7926421) 日立 ＳＢ8Ｖ2用ベルト ＡＡ240 10本入り 発注単位1,作業用品\電動工具・油圧工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ベルト寸法(mm):76×533<br>
●粒度(#):AA240<br>
●適合機種:SB8V2",■〒日立工機/日立 電動工具パーツ【939747】(7926421) 日立 ＳＢ8Ｖ2用ベルト ＡＡ240 10本入り 発注単位1：クローバー資材館,■〒日立工機/日立 電動工具パーツ【939747】(7926421) 日立 ＳＢ8Ｖ2用ベルト ＡＡ240 10本入り 発注単位1,作業用品\電動工具・油圧工具。■〒日立工機/日立 電動工具パーツ【939747】(7926421) 日立 ＳＢ8Ｖ2用ベルト ＡＡ240 10本入り 発注単位1[rn]
13-6614,,5890.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【14MP-L6B】(7925093) 育良 ＩＳ－14ＭＰＳ用替刃セット 6mm(51207) 発注単位1,作業用品\電動工具・油圧工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●IS-14MPS用替刃です。<br>
●穴サイズ(mm):丸穴6<br>
●適合機種:14MPS",■〒育良精機/育良 パンチャー【14MP-L6B】(7925093) 育良 ＩＳ&minus;14ＭＰＳ用替刃セット 6mm(51207) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【14MP-L6B】(7925093) 育良 ＩＳ&minus;14ＭＰＳ用替刃セット 6mm(51207) 発注単位1,作業用品\電動工具・油圧工具。■〒育良精機/育良 パンチャー【14MP-L6B】(7925093) 育良 ＩＳ&minus;14ＭＰＳ用替刃セット 6mm(51207) 発注単位1[rn]
13-6615,,5714.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立　１０．８Ｖリチウムイオン電池【BCL1015】(3543269) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒日立工機/日立　１０．８Ｖリチウムイオン電池【BCL1015】(3543269) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立　１０．８Ｖリチウムイオン電池【BCL1015】(3543269) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー。『カード対応OK！』■〒日立工機/日立　１０．８Ｖリチウムイオン電池【BCL1015】(3543269) 受注単位1[rn]
13-6616,,3428.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミニター/ミニモ【RD3062】(4999690) ファイバーストーンスティック＃１４０　１×１０ｍｍ 受注単位1,作業用品\電動工具・油圧工具\マイクログラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●セラミックス繊維を切り刃とした特殊砥石で、豊富なサイズと粒度をラインナップしました。<br>●一般のスティック砥石に比べ、衝撃に強く折れにくく曲げにも強い砥石です。<br><br>●適合素材：工具鋼、合金鋼、一般鋼、ステンレス<br>●折れにくい構造から狭いリブや複雑な形状が多いプラスチック金型の精密研削に。<br><br>●粒度(#)：140<br>●長さ(mm)：100<br>●幅(mm)：10<br>●厚み(mm)：1<br>●色：赤茶<br><br><br>",『カード対応OK！』■〒ミニター/ミニモ【RD3062】(4999690) ファイバーストーンスティック＃１４０　１&times;１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミニター/ミニモ【RD3062】(4999690) ファイバーストーンスティック＃１４０　１&times;１０ｍｍ 受注単位1,作業用品\電動工具・油圧工具\マイクログラインダー。『カード対応OK！』■〒ミニター/ミニモ【RD3062】(4999690) ファイバーストーンスティック＃１４０　１&times;１０ｍｍ 受注単位1[rn]
13-6617,,8716.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アーム産業/ＡＲＭ クリッパー【HAJ-1050】(7766467) ＡＲＭ ボルトクリッパー替刃1050mm用 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●取付ボルトナット付です。<br>
●適合本体:HA-1050<br>
●刃部:特殊鋼<br>
●取付ボルトナット×２組<br>
●軟鉄線切断専用です。ピアノ線、焼き入れの入った線材、帯鉄は切断できません。<br>
●可動部へは時々注油して下さい。<br>
●切断能力以上の線材は切らないでください。",■〒アーム産業/ＡＲＭ クリッパー【HAJ-1050】(7766467) ＡＲＭ ボルトクリッパー替刃1050mm用 発注単位1：クローバー資材館,■〒アーム産業/ＡＲＭ クリッパー【HAJ-1050】(7766467) ＡＲＭ ボルトクリッパー替刃1050mm用 発注単位1,作業用品\ハサミ・カッター・鋸。■〒アーム産業/ＡＲＭ クリッパー【HAJ-1050】(7766467) ＡＲＭ ボルトクリッパー替刃1050mm用 発注単位1[rn]
13-6618,,184.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC303RBL】(8134379) タジマ Ａ型赤 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●薄物切りに最適です。<br>
●握りやすいグリップ（樹脂製）採用しました。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●刃折り器（スナッパー）付です。<br>
●スナッパーはクリップタイプでポケットに差し込めます。<br>
●薄物切りに最適です。<br>
●握りやすいグリップ（樹脂製）を採用しています。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●刃折り器（スナッパー）付です。<br>
●スナッパーはクリップタイプでポケットに差し込めます。<br>
●薄物切断用カッター<br>
●全長(mm):130<br>
●適合替刃:LB-30P・LB-30-50<br>
●刃厚(mm):0.38<br>
●刃長(mm):80<br>
●ロック方式:ワンタッチ<br>
●刃幅(mm):9<br>
●刃厚:0.38mm<br>
●替刃2枚内蔵<br>
●本体:ABS樹脂<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【LC303RBL】(8134379) タジマ Ａ型赤 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【LC303RBL】(8134379) タジマ Ａ型赤 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【LC303RBL】(8134379) タジマ Ａ型赤 発注単位1[rn]
13-6619,,1641.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アーム産業/ＡＲＭ クリッパー【HAJ-300】(7766475) ＡＲＭ ボルトクリッパー替刃300mm用 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●取付ボルトナット付です。<br>
●適合本体:HA-300、BC-300、AL-300<br>
●刃部:特殊鋼<br>
●取付ボルトナット×２組<br>
●軟鉄線切断専用です。ピアノ線、焼き入れの入った線材、帯鉄は切断できません。<br>
●可動部へは時々注油して下さい。<br>
●切断能力以上の線材は切らないでください。",■〒アーム産業/ＡＲＭ クリッパー【HAJ-300】(7766475) ＡＲＭ ボルトクリッパー替刃300mm用 発注単位1：クローバー資材館,■〒アーム産業/ＡＲＭ クリッパー【HAJ-300】(7766475) ＡＲＭ ボルトクリッパー替刃300mm用 発注単位1,作業用品\ハサミ・カッター・鋸。■〒アーム産業/ＡＲＭ クリッパー【HAJ-300】(7766475) ＡＲＭ ボルトクリッパー替刃300mm用 発注単位1[rn]
13-6620,,2196.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【HN-240】(8134351) タジマ はね丸240 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ワンタッチ自動飛び出し機構付です。<br>
●仮枠・剪定用に。<br>
●仮枠・剪定用鋸<br>
●刃長(mm):240<br>
●全長(mm):485<br>
●摘要:仮枠・剪定用鋸<br>
●用途:仮枠・剪定用鋸（アサリなし）<br>
●刃先の厚み:1.2mm<br>
●切り溝幅:1.2mm<br>
●歯ピッチ:3.0mm<br>
●刃:スチール<br>
●本製品は刃物ですので作業中及び替刃を交換する際は、手袋をするなど安全に十分心がけて下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【HN-240】(8134351) タジマ はね丸240 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【HN-240】(8134351) タジマ はね丸240 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【HN-240】(8134351) タジマ はね丸240 発注単位1[rn]
13-6621,,349.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500AYCL】(8134893) タジマ ドライバーカッター Ｌ500 オーロライエロー クリアケース 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●オートロック式（ロック力25キロ）です。<br>
●ホルダー全体に焼入したステンレス鋼を採用しています。<br>
●ホルダー部がドライバーと同等の硬度なので、ねじを締めたり、つく、こじるが可能になりカッター本体を多機能工具として使用できます。<br>
●オートロック式（ロック力25キロ）です。<br>
●ドライバーと同等の硬度なので、ネジを締めたりつく、こじるが可能になりカッター本体を多機能工具として使用できます。<br>
●ホルダー先端部が通常品より3.5倍の硬度でつぶれにくくて長持ちします。<br>
●厚物切断用カッター<br>
●全長(mm):186<br>
●適合替刃:CBL-SG10・CBL-SG50・CBL-SK10・CBL-SK50・CB-50D<br>
●ロック方式:オートロック<br>
●刃厚:0.5mm<br>
●安全ロープ取り付け環付<br>
●凄刃黒標準装備<br>
●本体:ABS樹脂<br>
●ブレードホルダー:ステンレス鋼<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500AYCL】(8134893) タジマ ドライバーカッター Ｌ500 オーロライエロー クリアケース 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500AYCL】(8134893) タジマ ドライバーカッター Ｌ500 オーロライエロー クリアケース 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【DCL500AYCL】(8134893) タジマ ドライバーカッター Ｌ500 オーロライエロー クリアケース 発注単位1[rn]
13-6622,,1588.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-H700S】(8134717) タジマ オートロックＨ アルミニストシルバー 発注単位1,作業用品\ハサミ・カッター・鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●オートロック式（ロック力25キロ）です。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●重厚感があり、使い込むほどに味が出る、アルミダイカストボディです。<br>
●ブレードはグリップセンターに位置し、使い慣れたブレードポジションでバランスが良いです。<br>
●刃折り器（スナッパー）付です。<br>
●オートロック式（ロック力25キロ）です。<br>
●ボディ内に2枚の替刃を内蔵できます。<br>
●重厚感があり、使い込むほどに味が出る、アルミダイカストボディです。<br>
●ブレードはグリップセンターに位置使い慣れたブレードポジションでバランスが良いです。<br>
●刃折り器（スナッパー）付です。<br>
●超厚物切断用カッター<br>
●全長(mm):200<br>
●適合替刃:LB-65BL<br>
●刃厚(mm):0.7<br>
●刃長(mm):126<br>
●ロック方式:オートロック<br>
●刃幅(mm):25<br>
●刃厚:0.7mm<br>
●替刃2枚内蔵<br>
●本体:アルミダイカスト<br>
●刃物ですので取り扱いにご注意下さい。<br>
●使用後の折れ刃は、適切な処理をして下さい。",■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-H700S】(8134717) タジマ オートロックＨ アルミニストシルバー 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-H700S】(8134717) タジマ オートロックＨ アルミニストシルバー 発注単位1,作業用品\ハサミ・カッター・鋸。■〒ＴＪＭデザイン/タジマ カッター・鋸【AC-H700S】(8134717) タジマ オートロックＨ アルミニストシルバー 発注単位1[rn]
