11-72601,http://tshop.r10s.jp/hatawa-koko/cabinet/05113867/imgrc0077581250.jpg?fitin=700:700,1728.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,メルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】,ヘンプやマイクロラメ、ロゼッタコードにも使えます,"<BR><font size=""3"" color=""#F006666""><B>

<BR><BR>
こちらはお取り寄せ商品になります。
<br><br>発送までに10日間程度お時間を頂戴いたします。<BR>
*ご注文の数によっては発送が遅くなる場合があります。メールにてご連絡いたします。<br>
*予告なくメーカー廃盤となる場合がございます。</font></B>
<br>
<BR><br>",メルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】：旗の村松・手芸の村松,手芸毛糸旗生地ファスナー染料のぼり旗国旗手芸材料裁縫スチボール動眼梵天バラ徽章送料無料クロバーエコクラフトリッチモアはさみダイロンメルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】,ヘンプやマイクロラメ、ロゼッタコードにも使えます。メルヘンアート　ヘンプトゥワイン糸立て27本糸立て【宅急便】[rn]
11-72612,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1289_1.jpg?fitin=700:700,2016.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,ジェルレジン　＜７５ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】,ジェルレジン　２種類の駅を混ぜ合わせるレジンクラフト,"◆２種類の液体を混ぜ合わせて製作するレジンクラフトです。立体物ができ、本格的な作品が製作出来ます。
◆セット内容<Br>
      ・樹脂液（主液）　・硬化液　・手袋１枚　・カップ１個　・マドラー１本　・取扱説明書<br><Br>
成分：主液／エポキシ樹脂　硬化液／ポリエーテルアミン

【ジェルレジン　基本の作り方】
１.　作業をする前に手袋をします。
２.　クラフトカップを使用し、先に主液を量り、次に硬化液を2：1の割合で計量しいれます。
３.　付属のマドラーで一方向に混ぜ合わせます。初めは気泡により白く濁っていますが次第に透明になります。混ぜムラが無くなるまでよく混ぜ合わせましょう。
４.液をそそぐ　
立体作品に使用する場合：シリコン型等の型抜きに３の混合液をレジンマドラーに伝わせて静かに流し込みます。深さ3ｃｍ以上の場合は数回に分けて固めましょう。
平面作品のコーティングに使用する場合：作品の中央から静かに流します

５.　ご使用前に付属の説明書をお読み下さい。




●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",ジェルレジン　＜７５ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼジェルレジン　＜７５ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】,ジェルレジン　２種類の駅を混ぜ合わせるレジンクラフト。ジェルレジン　＜７５ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】[rn]
11-72613,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1286_1.jpg?fitin=700:700,432.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,専用交換ライト　（スーパーレジンUVクリスタルランプ９Ｗ専用換え球）　【レジン】【レジンクラフトシリーズ】,スーパーレジンＵＶクリスタルランプ換え,"◆９Ｗ専用交換ライト
UVクラフトレジン液が硬化しにくくなったら新しいライトに替えてください。

●本体に換え球をカチッと音がするまで差し込みます。点灯しない場合は初期不良の可能性があります。お手数ですが商品到着後7日以内にご連絡ください

【レジンクラフト基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、ＵＶクリスタルランプ9ＷもしくはＵＶクリスタルランプ３６Ｗにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。



●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",専用交換ライト　（スーパーレジンUVクリスタルランプ９Ｗ専用換え球）　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼ専用交換ライト　（スーパーレジンUVクリスタルランプ９Ｗ専用換え球）　【レジン】【レジンクラフトシリーズ】,スーパーレジンＵＶクリスタルランプ換え。専用交換ライト　（スーパーレジンUVクリスタルランプ９Ｗ専用換え球）　【レジン】【レジンクラフトシリーズ】[rn]
11-72614,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1288_1.jpg?fitin=700:700,2016.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,ジュエルレジン　＜２７０ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】,ジェルレジン　２種類の駅を混ぜ合わせるレジンクラフト,"◆２種類の液体を混ぜ合わせて製作するレジンクラフトです。立体物ができ、本格的な作品が製作出来ます。
◆セット内容<Br>
      ・樹脂液（主液）　・硬化液　・手袋１枚　・カップ１個　・マドラー１本　・取扱説明書<br><Br>
成分：主液／エポキシ樹脂　硬化液／ポリエーテルアミン

【ジェルレジン　基本の作り方】
１.　作業をする前に手袋をします。
２.　クラフトカップを使用し、先に主液を量り、次に硬化液を2：1の割合で計量しいれます。
３.　付属のマドラーで一方向に混ぜ合わせます。初めは気泡により白く濁っていますが次第に透明になります。混ぜムラが無くなるまでよく混ぜ合わせましょう。
４.液をそそぐ　
立体作品に使用する場合：シリコン型等の型抜きに３の混合液をレジンマドラーに伝わせて静かに流し込みます。深さ3ｃｍ以上の場合は数回に分けて固めましょう。
平面作品のコーティングに使用する場合：作品の中央から静かに流します

５.　ご使用前に付属の説明書をお読み下さい。




●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",ジュエルレジン　＜２７０ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼジュエルレジン　＜２７０ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】,ジェルレジン　２種類の駅を混ぜ合わせるレジンクラフト。ジュエルレジン　＜２７０ｇ＞　２種類の駅を混ぜ合わせて製作するレジンクラフト！　立体物ができ本格的な作品が製作可能　【ジェルレジン】【レジンクラフトシリーズ】[rn]
11-72615,http://tshop.r10s.jp/yanagiya/cabinet/item7/yng2013-1280_1.jpg?fitin=700:700,1080.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,UVソフトレジン液　＜２５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】,ＵＶソフトレジン液　ソフトな感触の仕上,"内容量：２５ｇ
成分：特殊アクリレート樹脂
ＵＶソフトレジン液　ソフトな感触の仕上がりでコーティング等に最適

◆太陽光にあてる場合は晴天日で約５～３０分で固まります。
（液の厚み、紫外線光量により異なります）
◆先細の形状で、流しやすい！
◆紫外線に当てないと硬化しないため、作業しやすい


【基本の作り方】
１.　型やアクセサリーのフレーム等を用意し液を注入します。
２.　液を流し込んだところにビーズ・切り絵など好きなパーツを配置します。
３.　UVクラフトレジン液を流し込みます。
（気泡はつまようじ等でとり、レイアウトを調整します。）
４.　太陽光もしくは、ＵＶクリスタルランプにて硬化させます。
５.　ご使用前に付属の説明書をお読み下さい。

【注意事項】
火気厳禁　第四類第三石油類
取扱いには十分ご注意ください

●こちらの商品はお取り寄せになります。
お取り寄せには５～７営業日かかります。",UVソフトレジン液　＜２５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼUVソフトレジン液　＜２５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】,ＵＶソフトレジン液　ソフトな感触の仕上。UVソフトレジン液　＜２５ｇ＞　ソフトな感触の仕上がり！　コーティングに最適　【レジン】【レジンクラフトシリーズ】[rn]
11-72616,http://tshop.r10s.jp/yanagiya/cabinet/item12/yng2011-2165_1.jpg?fitin=700:700,200.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,【在庫限り廃番】デコレーションシール　うつし金蒔絵　貼ってこするだけシール！【ハットリ】,携帯や　家具　パソコン等デコレーション簡単デコレーション,,【在庫限り廃番】デコレーションシール　うつし金蒔絵　貼ってこするだけシール！【ハットリ】：毛糸・手芸・コットン 柳屋,毛糸エコアンダリヤ手芸用品編み物輸入生地ハマナカお買い得毛糸羊毛フェルト布生地ダブルガーゼ編み物パッチワークレザークラフトエコアンダリアカッティングマットロータリーカッターソーイングボックスリップルダブルガーゼ【在庫限り廃番】デコレーションシール　うつし金蒔絵　貼ってこするだけシール！【ハットリ】,携帯や　家具　パソコン等デコレーション簡単デコレーション。【在庫限り廃番】デコレーションシール　うつし金蒔絵　貼ってこするだけシール！【ハットリ】[rn]
11-72617,http://tshop.r10s.jp/nakanotetsu/cabinet/no-syon/img58024040.jpg?fitin=700:700,1200.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,【UVクラフトレジン液25ｇ】紫外線硬化樹脂液（ハードタイプ)【アクセサリー製作に】,硬化スピードが速い！アクセサリーを作ってみませんか？,※1個までメール便可能（同梱不可）<br>好きなパーツを封入して誰でもかんたん！オリジナルアクセサリーを作りましょう。<br>ボトルが直接注入できるように先が細くなっていますので流し込みやすい。紫外線に当てないと硬化しないので作業に優れています。<br>内容量：25ｇ（日本製）<br>製作上の注意：紙、布、革等の染み込み易い素材や、柔軟性のある素材は不向きです。素焼きの陶器や塗装処理をしていない木材などには使えません。ご使用の際は同封の説明書をよくお読みになってご利用下さい。*注意*画面上と実物では多少色具合が異なって見える場合もございます。また、注文が集中した場合など、発送が遅れたり在庫切れで販売できなくなる可能性がございます。,【UVクラフトレジン液25ｇ】紫外線硬化樹脂液（ハードタイプ)【アクセサリー製作に】：ホビー家コテツ,リバティ生地LIBERTYechinoソレイアードKOKKAnaniIROYUWAマジックテープバイアステープリネンフェルト羊毛入園入学ウェディングミシンUSAコットンカットクロス毛糸クロバーハマナカ【UVクラフトレジン液25ｇ】紫外線硬化樹脂液（ハードタイプ)【アクセサリー製作に】,硬化スピードが速い！アクセサリーを作ってみませんか？。【UVクラフトレジン液25ｇ】紫外線硬化樹脂液（ハードタイプ)【アクセサリー製作に】[rn]
11-72618,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/cp124-linen18.gif?fitin=700:700,296.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,麻バイアステープ　【無地】,両折18ｍｍ&times;2.5ｍ巻き,"ティーコゼー、ティーマット、ミトン、エプロンなどのキッチングッズやバッグ、ポーチ、ティッシュケース、ブックカバーなどのリネンで作る雑貨に最適！
・綿50％麻50％・18ｍｍ巾×2.5ｍ巻き
※お洗濯時、塩素サラシはご使用しないで下さい。
※素材の性質上、多少の縮みや色あせがあります。
絞ったままや、水につけたままでの長時間にわたる放置はさけて下さい。
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",麻バイアステープ　【無地】：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料麻バイアステープ　【無地】,両折18ｍｍ&times;2.5ｍ巻き。麻バイアステープ　【無地】[rn]
11-72619,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/koiiro-bias-tape12.jpg?fitin=700:700,344.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,CAPTAIN　Koiiro バイアステープ,cottonとhalf-linenのバイアステープ♪ふちどり10ｍｍ&times;2.5ｍ,"『色』にこだわったバイアステープ！
洋裁やバッグ、ポーチなどの小物作りにおススメです♪
ナチュラルでもオシャレな色の組み合わせを楽しめる使い方が出来ます！
綿とハーフリネンなので質感も柔らかく手作りに縫いやすいテープになっています。
優れた吸水性・吸湿性で肌触りのよい涼感素材です。
けばの立たない清潔素材で高い洗濯耐久性があります。
■綿50％　麻50％■10ｍｍ巾×2.5ｍ巻き
※普通地用のミシン針と糸で大丈夫です。
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",CAPTAIN　Koiiro バイアステープ：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料CAPTAIN　Koiiro バイアステープ,cottonとhalf-linenのバイアステープ♪ふちどり10ｍｍ&times;2.5ｍ。CAPTAIN　Koiiro バイアステープ[rn]
11-72620,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/wafu-kasuri.jpg?fitin=700:700,320.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,CAPTAIN88両折バイアステープ和布『かすり』,両折巾20ｍｍ&times;2.5ｍ巻き,"両折のバイアステープです。
日本の伝統美を生かした四季を飾る和風の味わい。
バッグ、ランチョンマット、なべつかみ、小物入れ、ポーチ等におススメです！
■綿100％■20ｍｍ巾×2.5ｍ巻き
※普通地用のミシン針と糸で大丈夫です。
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",CAPTAIN88両折バイアステープ和布『かすり』：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料CAPTAIN88両折バイアステープ和布『かすり』,両折巾20ｍｍ&times;2.5ｍ巻き。CAPTAIN88両折バイアステープ和布『かすり』[rn]
11-72621,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/bias-metallic25.jpg?fitin=700:700,560.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,バイアステープ【メタリック25ｍｍ】,CAPTAIN 両折25ｍｍバイアステープ♪,"衣装やティッシュカバーなどの他にもポーチやバッグなどの小物のアクセントに最適ですよ♪
■ポリエステル100％■両折25ｍｍ巾×2.75ｍ巻き■MAID IN JAPAN
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",バイアステープ【メタリック25ｍｍ】：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料バイアステープ【メタリック25ｍｍ】,CAPTAIN 両折25ｍｍバイアステープ♪。バイアステープ【メタリック25ｍｍ】[rn]
11-72622,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/gauze-ryouori-bias5.gif?fitin=700:700,296.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,やわらかガーゼ バイアステープ,二重ガーゼのバイアステープ♪両折12.7ｍｍ&times;2.5ｍ巻き,"ガーゼ、ニット、タオルワッフルなどのやわらか素材に最適！その他いろいろな生地にも使えます。スタイやベスト・ベビードレスなどのアクセントに最適ですよ♪バイアステープと同じように縫えます。ミシンで縫う前に、しつけをすればよりきれいに仕上がります！二重ガーゼは肌に優しいやわらか素材、抜群の吸水性、優れた通気性・吸湿性なのでベビー・子供用品の手作りにオススメです！■コットン100％（スムースニット）■12.7ｍｍ巾×2.5ｍ巻き■ノンホルマリン
※普通地用のミシン針と糸で大丈夫です。
※素材の性質上、多少の縮みや色あせがあります。
※宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",やわらかガーゼ バイアステープ：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料やわらかガーゼ バイアステープ,二重ガーゼのバイアステープ♪両折12.7ｍｍ&times;2.5ｍ巻き。やわらかガーゼ バイアステープ[rn]
11-72623,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/bias-metallic18.jpg?fitin=700:700,400.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,バイアステープ【メタリック18ｍｍ】,CAPTAIN 両折18ｍｍバイアステープ♪,"衣装やティッシュカバーなどの他にもポーチやバッグなどの小物のアクセントに最適ですよ♪
■ポリエステル100％■両折18ｍｍ巾×2.75ｍ巻き■MAID IN JAPAN
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",バイアステープ【メタリック18ｍｍ】：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料バイアステープ【メタリック18ｍｍ】,CAPTAIN 両折18ｍｍバイアステープ♪。バイアステープ【メタリック18ｍｍ】[rn]
11-72624,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/blanket-bias-tape6.jpg?fitin=700:700,384.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,CAPTAIN88 毛布のふち補修テープ,ぬいつけ簡単補修！ふちどり約38ｍｍ&times;2ｍ巻き,"毛布、ペット用毛布、こたつ敷、カバー、はんてん等の
ふちどりや補修にどうぞ♪
毛布、ボア、フリース、コールテン、ネル等の起毛素材におススメです！
■素材：ポリエステル100％■約3.8ｃｍ巾×2ｍ巻き（広巾タイプ）
※ネコポスは4個まで全国一律270円、定形外は16個まで、それ以上は宅配便発送です。
※宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※上記料金は同商品の場合です。他商品との同梱は送料が変わる場合がございますのでご了承下さい。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",CAPTAIN88 毛布のふち補修テープ：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料CAPTAIN88 毛布のふち補修テープ,ぬいつけ簡単補修！ふちどり約38ｍｍ&times;2ｍ巻き。CAPTAIN88 毛布のふち補修テープ[rn]
11-72625,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/gauze-bias5-5.gif?fitin=700:700,400.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,やわらかガーゼ バイアステープ,二重ガーゼのバイアステープ♪ふちどり11ｍｍ&times;2.5ｍ巻き,"ガーゼ、ニット、タオルワッフルなどのやわらか素材に最適！その他いろいろな生地にも使えます。スタイやベスト・ベビードレスなどのアクセントに最適ですよ♪バイアステープと同じように縫えます。ミシンで縫う前に、しつけをすればよりきれいに仕上がります！二重ガーゼは肌に優しいやわらか素材、抜群の吸水性、優れた通気性・吸湿性なのでベビー・子供用品の手作りにオススメです！■コットン100％（スムースニット）■11ｍｍ巾×2.5ｍ巻き■ノンホルマリン
※普通地用のミシン針と糸で大丈夫です。
※素材の性質上、多少の縮みや色あせがあります。
※宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",やわらかガーゼ バイアステープ：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料やわらかガーゼ バイアステープ,二重ガーゼのバイアステープ♪ふちどり11ｍｍ&times;2.5ｍ巻き。やわらかガーゼ バイアステープ[rn]
11-72626,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/synthetic-leather-b.jpg?fitin=700:700,392.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,合皮バイアステープ,テフロン押えなしでも縫えます♪両折22ｍｍ&times;1.7ｍ巻き,"バッグ、ポーチ、ポシェット、帽子、小物入れのふちどりやアクセントにどうぞ♪
家庭用ミシンで、しかもテフロン押えなしで簡単に縫えます。
汗等での変色、変形がしにくい合皮です。
■表：ポリウレタン100％/裏：ポリエステル80％・綿20％■22ｍｍ巾×1.7ｍ巻き
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※上記料金は同商品の場合です。他商品との同梱は送料が変わる場合がございますのでご了承下さい。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",合皮バイアステープ：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料合皮バイアステープ,テフロン押えなしでも縫えます♪両折22ｍｍ&times;1.7ｍ巻き。合皮バイアステープ[rn]
11-72627,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/pattern/03709832/p-rain-poncho.jpg?fitin=700:700,400.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,SUNパターン　【こどもレインポンチョ】,実物大型紙と説明書付！,"雨の日の通園・通学に活躍する、動きやすいレインポンチョ♪
Aはひざ丈、Bはランドセルやリュックの上からも着用出来るできる様、後ろ中心にタックがあり、後身頃着丈が長くなっています。
寸法と用布量は左画像2・3番目をご参考になさって下さい。
※宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※上記料金は同じパターンの場合の数量です。違うパターンの同梱は送料が変わる場合がございますのでご了承下さい。
※発送はお1人様1梱包での発送となります。2つに分けての別送は対応しておりません。",SUNパターン　【こどもレインポンチョ】：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料SUNパターン　【こどもレインポンチョ】,実物大型紙と説明書付！。SUNパターン　【こどもレインポンチョ】[rn]
11-72628,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/bias-tape/cp74-knit17.gif?fitin=700:700,376.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,ふちどりニットテープ11,肌に優しくストレッチ♪ふりどり11ｍｍ&times;2.5ｍ巻き,"おくるみ・お昼寝マット、よだれかけなどのベビー・子供用品、スポーツウェア、ワンピース、キャミソールなどの簡単ソーイングやりフォームに最適です！バイアステープと同じように縫えます。ミシンで縫う前に、しつけをすればよりきれいに仕上がります！ニット、ジャージなどのストレッチ素材、パイル、ネルなどのソフト素材に最適！その他いろいろな生地にも使えます。
■コットン100％（スムースニット）■11ｍｍ巾×2.5ｍ巻き■ノンホルマリン
※縫い目切れ、目飛びを防ぐ為、なるべくニット用の糸・針をお使い下さい。
※素材の性質上、多少の縮みや色あせがあります。
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※上記料金は1枚にカットした場合の長さです。数枚にカットした商品は送料が変わる場合がございますのでご了承下さい。
※分けてご注文頂いても発送はお１人様1梱包の発送です。別送は対応しておりません。",ふちどりニットテープ11：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料ふちどりニットテープ11,肌に優しくストレッチ♪ふりどり11ｍｍ&times;2.5ｍ巻き。ふちどりニットテープ11[rn]
11-72629,http://tshop.r10s.jp/e-mabuchi/cabinet/fuku/pattern/baby-kids/p-baby-saruerupants.jpg?fitin=700:700,360.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > アクサリーパーツ > その他,Craft楽園パターン　【ベビーサルエルパンツ】,,"ゆったりしたシルエットで履き心地の良いパンツ♪
前後1枚ずつを縫い合わせて出来るので初心者でも超簡単！
寸法と用布量は画像をご参考になさって下さい。
※ネコポスは全国一律270円、宅配便432円は東北6県のみで、北海道・沖縄・離島を除く他県が540円となります。
※上記料金は同じパターンの場合の数量です。違うパターンの同梱は送料が変わる場合がございますのでご了承下さい。
※発送はお1人様1梱包での発送となります。2つに分けての別送は対応しておりません。",Craft楽園パターン　【ベビーサルエルパンツ】：マブチネットショップ,マブチ抜きキャンバス　布生地洋裁手芸ラミネート綿麻帆布コスプレ衣装撥水加工ミシン針糸入園入学グッズファブリック10ｃｍから販売刺しゅう送料無料Craft楽園パターン　【ベビーサルエルパンツ】,Craft楽園パターン　【ベビーサルエルパンツ】[rn]
