16-156501,http://tshop.r10s.jp/auc-matsuyamakikou/cabinet/2900/2a01amu0005713.jpg?fitin=700:700,95.2000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【トリムクリップ MU000571】 三菱系　3個,,"数多くのショップの中からお越しいただきありがとうございます。<br><br>
===========<br>この商品の「お得なパック価格比較一覧」は<br>
→ こちら ←からご参照いただけます。<br>ぜひ価格比較の上ご検討ください。<br>
===========<br><br>【互換純正部品番号】MU000571<br><br>【代表型式・使用箇所】<br>
車種型式は現在調査中です。<br>
適合や詳細な使用箇所などご不明な点はお気軽にお問合せください。<br><br>
是非ご検討よろしくお願いいたします。<br>",【トリムクリップ MU000571】 三菱系　3個：パネルクリップ販売のマツヤマ機工,【トリムクリップ MU000571】 三菱系　3個,【トリムクリップ MU000571】 三菱系　3個[rn]
16-156522,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579517.gif?fitin=700:700,1928.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K112】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(16cm)用 <br><br>
・主な適用メーカー(車種)：ホンダ車(オデッセィなど)<br>
※2個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K112】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K112】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K112】[rn]
16-156523,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579516.gif?fitin=700:700,3134.4000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K110】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(17cm/16cm)用 <br><br>
・主な適用メーカー(車種)：フォルクスワーゲン車(ゴルフIVなど)<br>
※フロント・リア用4個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
★品薄につき、在庫切れになる場合があります。<br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K110】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K110】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K110】[rn]
16-156524,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579511.gif?fitin=700:700,1888.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K105】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(17cm/16cm)用 <br><br>
・主な適用メーカー(車種)：トヨタ車(ウィッシュなど)<br>
※2個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K105】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K105】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K105】[rn]
16-156525,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579521.gif?fitin=700:700,1824.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K116】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(17cm/16cm)用 <br><br>
・主な適用メーカー(車種)：ホンダ車(ステップワゴン/シビックなど)<br>
※2個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K116】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K116】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K116】[rn]
16-156526,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579509.gif?fitin=700:700,1886.4000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K103】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(16cm)用 <br><br>
・主な適用メーカー(車種)：トヨタ車(イプサムなど)<br>
※2個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。
車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては
上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K103】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K103】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(16cm)用取付キット【UD-K103】[rn]
16-156527,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579515.gif?fitin=700:700,3208.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K109】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(17cm/16cm)用 <br><br>
・主な適用メーカー(車種)：スバル車(レガシィなど)<br>
※フロント・リア用4個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K109】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K109】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K109】[rn]
16-156528,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579524.gif?fitin=700:700,2600.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カースピーカー(フロント17cm/16×24cm)用取付キット【UD-K119】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(フロント：17cm/16cm×24cm)用 <br><br>
・主な適用メーカー(車種)：トヨタ車(ヴェルファイア/プリウス)<br>
※2個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カースピーカー(フロント17cm/16&times;24cm)用取付キット【UD-K119】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カースピーカー(フロント17cm/16&times;24cm)用取付キット【UD-K119】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カースピーカー(フロント17cm/16&times;24cm)用取付キット【UD-K119】[rn]
16-156529,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579520.gif?fitin=700:700,1880.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K115】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(17cm/16cm)用 <br><br>
・主な適用メーカー(車種)：スズキ車(スイフトなど)<br>
※2個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K115】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K115】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(17cm/16cm)用取付キット【UD-K115】[rn]
16-156530,http://tshop.r10s.jp/ainekusu/cabinet/02220046/imgrc0064579518.gif?fitin=700:700,1904.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > カロッツェリア,【Pioneer パイオニア】カーオーディオ関連カースピーカー(12cm/10cm)用取付キット【UD-K113】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"カスタムフィットスピーカー(12cm/10cm)用 <br><br>
・主な適用メーカー(車種)：三菱車(eKワゴンなど)<br>
※2個1組 <br>
※上記はカロッツェリアの主なカスタムフィットスピーカーについての取付対応の目安です。<br>
　 車種、年式、グレード取付けるスピーカー、また純正オーディオシステムによっては<br>
　 上記の取付キットが使用できない場合や、簡単な加工が必要な場合もあります。 <br>
※商品写真は、モノクローム写真です。<br><br>",【Pioneer パイオニア】カーオーディオ関連カースピーカー(12cm/10cm)用取付キット【UD-K113】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【Pioneer パイオニア】カーオーディオ関連カースピーカー(12cm/10cm)用取付キット【UD-K113】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【Pioneer パイオニア】カーオーディオ関連カースピーカー(12cm/10cm)用取付キット【UD-K113】[rn]
16-156531,http://tshop.r10s.jp/haruonlinestore/cabinet/spk/spk-03top4.gif?fitin=700:700,2104.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > ビートソニック,C-HR 専用　スマートポケット　SPK-03BK　ブラックビートソニック【シートのすきまを有効活用】,,"<font size=5 color=#800040><b>もう落とさない！すき間がポケット化</b></font><br><br>

運転席／助手席とセンターコンソールのすき間がポケットに早変わり！携帯電話や小物等がすき間から落ちるアクシデントを防ぎます。<br><br>

<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-03bk-1.jpg"" border=""0"" width=""100%""><br><br>



<font size=5 color=#800040><b>シート形状に合わせたデザイン</b></font><br><br>

トヨタ C-HR専用設計なのでシートの形状にジャストフィット！シートベルトバックルも邪魔になりません！
専用設計の為、すわりごこちも変わりません。<br><br>

<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-02-3.jpg"" border=""0"" width=""100%""><br><br>




<font size=5 color=#800040><b>スマホ・タブレットが手の届きやすいところに</b></font><br><br>

センターコンソールとの間に設置するので空間が広く、ドアポケットよりモノの出し入れが楽になります。<br><br>

<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-03bk-2.jpg"" border=""0"" width=""100%""><br><br>





<font size=5 color=#800040><b>仕切板で小物も大丈夫</b></font><br><br>

付属の仕切りウレタンを使用する事でペンなどの細長い小物を縦に置けます。<br><br>

<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-03bk-6.jpg"" border=""0"" width=""100%""><br><br>




<font size=5 color=#800040><b>営業ファイルもラクラク収納</b></font><br><br>

スマートポケットはA4クリアファイルが横置きに収納できるよう設計されており、よく使われる営業ファイルやiPad Pro（12.9インチ）もラクラク収納する事ができます。<br><br>

<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-02-6.jpg"" border=""0"" width=""100%""><br><br>




<font size=5 color=#800040><b>傷防止ベルベットシール</b></font><br><br>

<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-03bk-8.jpg"" border=""0"" width=""100%""><br><br>


<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-03bk-5.jpg"" border=""0"" width=""100%""><br><br>





<table border=""2"" width=""100%"" height=""50"" cellspacing=""2"" cellpadding=""3"">
<tr>
<td>

SPK-03BK<br><br>

本体サイズ/57（幅）×100（高）×347（奥行）mm<br><br>

本体素材/ABS<br><br>

仕切板/ 41（幅）×65（高）×10（奥行）mm<br><br>

仕切板素材/ウレタンフォーム（黒）

</td>
</tr>
</table>
<br><br>


<img src=""http://image.rakuten.co.jp/haruonlinestore/cabinet/spk/spk-02-8.jpg"" border=""0"" width=""100%""><br><br>





<table border=""2"" width=""100%"" height=""50"" cellspacing=""2"" cellpadding=""3"">
<tr>
<td>

・運転の妨げとなる場所には設置しないでください。<br><br>
    
・火を近づけないようご注意ください。<br><br>
    
・お子様の手の届かないところに保管してください。<br><br>
    
・弊社は本製品を使用して発生した事故、違法行為、車両の故障または破損等の責任は一切負いません。<br><br>
    
・ポケット背面にあるベルベットシールは外さないでください。（ポケットを差込んだり、差込んだままシートをスライドさせる時、コンソール側の傷防止となります。）

</td>
</tr>
</table>
<br><br>






<table border=""2"" width=""100%"" height=""50"" cellspacing=""2"" cellpadding=""3"">
<tr>
<td><br><b>【ビートソニックお問い合わせ窓口】</b><br><br>

<b>TEL  ０５６１－７５－１６５５  　０５６１－７４－５５９２　 FAX　０５６１－７４－５５９５<br><br>

受付時間　　月～金 １０：００～１２：００　１３：００～１７：００<br><br>

 (土曜、日・祝祭日、年末年始、盆休みは除く)</b><br><br>




※ お問い合わせにて発生する通話料はお客様ご負担となります。<br>
※ 商品名と品番をご確認頂きお電話頂きますとスムーズにご相談いただけます。<br><br><br>


<b>【商品の適合に関するお問い合わせ】</b><br><br>

商品の適合に関するお問い合わせを受けた場合は、正確なサポートする為に必ず下記3点の内容を確認させていただきます。<br><br>

お問い合わせをされる前に、メモなどで控えをご準備の上ご連絡ください。<br><br>

・商品をお使いになられる車の名前、または車種形式<br><br>

・商品をお使いになられる車の年式<br><br>

・商品をお使いになられる車についているナビ・オーディオ機器の商品名、または型番<br><br><br>

<b>【適合表について】</b><br><br>

商品の適合につきましては、随時変更があり次第、ビートソニックホームページにて確認をおこなう事が可能となっております。<br><br>
</td>
</tr>
<tr>
<td><br><b>【ハルオンラインストア　お問い合わせ窓口】</b><br><br>

商品に関するお問い合わせや適合確認など、ハルオンラインストアでも対応させていただきます。<br><br>

メーカーコールセンターが混雑などでつながらない場合など、また、取り付けでお困りの際にご利用ください。<br><br>

<b>TEL  ０５２－６８０－８４３１　　 FAX　０５２－６８０－８４３２<br><br>

受付時間　　月～金 １０：００～１２：００　１３：００～１８：００<br><br>

 (土曜、日・祝祭日、年末年始、盆休みは除く)</b><br><br>
</td>
</tr>
</table>",C-HR 専用　スマートポケット　SPK-03BK　ブラックビートソニック【シートのすきまを有効活用】：HARU online store,C-HR 専用　スマートポケット　SPK-03BK　ブラックビートソニック【シートのすきまを有効活用】,C-HR 専用　スマートポケット　SPK-03BK　ブラックビートソニック【シートのすきまを有効活用】[rn]
16-156532,http://tshop.r10s.jp/creer/cabinet/bs2/imgrc0063277723.jpg?fitin=700:700,15526.4000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > ビートソニック,Beat-Sonic ビートソニック IF27 インターフェースアダプター 【Android Miracast/iPhone AirPlay】 【スマホの画面を無線でモニター出力】,【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/bs2/imgrc0063276757.jpg width=100%>
<BR><IMG SRC=http://image.rakuten.co.jp/creer/cabinet/bs2/imgrc0063276758.jpg width=100%>


<BR><BR>
・Beat-Sonicのインターフェースアダプター、IF27です。
<BR>・Apple AirPlay対応したiPhoneやiPad、iPod Touchなら無線接続するだけで地図ソフトやナビソフト等のスマートフォン画面をそのままナビに映すこと(ミラーリング)ができます。Androidの場合はYouTubeの動画再生も可能です。
<BR>・SamsungやAQUOSに最適なMiracast、Screen Mirroringに対応しているので、車内でスマートフォンのアプリをナビに表示したり、スマートフォン内の音楽を車のスピーカで楽むこともできます。
<BR>・USB電源ポート搭載で、スマートフォン付属の充電ケーブルを使用すればスマートフォンを充電しながら使用可能です。
<BR>・ナビの接続に必要なRCAケーブルを付属しているので別途用意する必要がなく、ナビに映像入力端子があれば接続できます。また、純正ナビ等映像入力端子がない純正ナビ等は映像入力アダプター(AVCシリーズ)と併用すれば純正ナビにスマホの映像と音声が無線で出力できます。


<BR><BR>
対応機種
<BR>iPhone 5以降、iPad 2/3/4/Air以降、iPad mini以降、iPodTouch 第5世代以降(iOS7以降)、Androidスマートフォン(Androi 4.2以降)でMiracastに対応しているもの。
<BR>※全ての機種がAirPlay/Miracastに対応しているわけではありません。お使いのスマートフォンがirPlay/Miracastに対応しているかどうかお客様自身でご確認の上ご使用ください。




<BR><BR>
主な仕様
<BR>●電源電圧：DC12V/24V(動作範囲10V～30V)
<BR>●消費電流：500mA
<BR>●USB出力電流：最大1A
<BR>●出力端子：RCA出力、アナログ音声出力
<BR>●外形寸法：64mm×99mm×22mm(突起物含まず)
<BR>●ケーブル長：約0.7m
<BR>●WiFi規格：IEEE802.11b/g/n20　ARIB STD-T66(2.4GHｚ帯小電力データ通信システム)
<BR>●伝送方式：DS-SS方式、OFDM方式
<BR>●周波数範囲(中心周波数)：2.412～2.472GHz
<BR>●チャンネル：1～13ch
<BR>●通信可能距離：約130m(環境により通信距離は異なります)
<BR>●対応プロトコル：AirPlay(Apple)、Miracast、Screen Mirroring、DLNA
<BR>●セキュリティ：無し
<BR>●PIN code：自動生成


<BR><BR>
同梱品
<BR>IF27本体 / アンテナ / 専用アナログAVケーブル / 取扱説明書



<BR><BR>
<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/bs2/imgrc0063276760.jpg width=100%>


●本製品のお取付けは必ず専門技術のあるお店にご依頼ください。
●本製品のUSB電源ポートは、急速充電には対応していません。
●地デジ放送はスマホ側の機能制限により外部表示できない場合があります。
●使用するアプリケーションによっては、外部出力に対応していないものがあります。
●スマートフォンの車内への固定には弊社製Q-BANシリーズをご利用ください。
●本製品には、特定無線設備の技術基準適合証明等のマーク(技適マーク)が付いています。技適マークが付いていない無線機は、基本的に日本国内で使用することができません。
●iPhone/iPad/iPod Touchの場合、処理能力が不足する場合には、うまく映像・音声が出力できない場合があります。
●Androidの場合、機種によっては最初の接続が失敗したり、電源を切った際にスマホ画面にエラーが表示/動画を表示し続けたり、電波状況がよくない場合に画面ノイズ等が発生する場合がありますが、本製品の異常ではありません。",Beat-Sonic ビートソニック IF27 インターフェースアダプター 【Android Miracast/iPhone AirPlay】 【スマホの画面を無線でモニター出力】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングBeat-Sonic ビートソニック IF27 インターフェースアダプター 【Android Miracast/iPhone AirPlay】 【スマホの画面を無線でモニター出力】,【在庫あり即納!!】【送料無料!カードOK!】。Beat-Sonic ビートソニック IF27 インターフェースアダプター 【Android Miracast/iPhone AirPlay】 【スマホの画面を無線でモニター出力】[rn]
16-156533,http://tshop.r10s.jp/creer/cabinet/bs2/imgrc0063998515.jpg?fitin=700:700,23556.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > ビートソニック,Beat-Sonic ビートソニック NSX-05 2DINオーディオ/ナビ取り付けキット 【日産車汎用タイプ メーカーOPナビ付+BOSEサウンドシステム付車 NSA-05後継品】,【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


<BR><IMG SRC=http://image.rakuten.co.jp/creer/cabinet/ra6/imgrc0067751762.jpg width=100%>
<BR><FONT SIZE=5 COLOR=RED><B>楽天ランキング１位獲得!!</B></FONT>
<BR><B>当店の人気商品です♪</B>
<BR>
<BR>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/bs2/imgrc0063998516.jpg width=100%>

<BR>

本キットの主な適合
<BR>

<br>
<br>車種
<br>年式
<br>型式
<br>タイプ
<br>最大取付数
<br>その他


<br>
<br>エルグランド
<br>H16/8～H19/10
<br>E51
<br>メーカオプションナビ付＋10スピーカー
<br>2D一体or1+1D
<br>-


<br>
<br>スカイラインクーペ
<br>H13/6～H18/11
<br>CPV35
<br>メーカオプションナビ付＋7スピーカー
<br>2D一体or1+1D
<br>-


<br>
<br>スカイラインセダン
<br>H15/1～H19/10
<br>V35/HV35/NV35/PV35
<br>メーカオプションナビ付＋8スピーカー
<br>2D一体or1+1D
<br>-


<br>
<br>ステージア
<br>H13/10～H19/6
<br>M35/HM35/NM35/PNM35P
<br>メーカオプションナビ付＋7スピーカー
<br>2D一体or1+1D
<br>-


<br>
<br>フェアレディZ ロードスター
<br>H14/7～H20/12
<br>Z33/HZ33
<br>メーカオプションナビ付＋7スピーカー
<br>2D一体or1+1D
<br>-



<BR>


<BR>

取付イメージ
<BR><IMG SRC=http://image.rakuten.co.jp/creer/cabinet/bs2/imgrc0063998517.jpg width=100%>


<br>
・Beat-Sonic製のオーディオ/ナビ取付キット、NSX-05です。
<br>・日産車のメーカーオプションナビ付車＋BOSEサウンドシステム付車(ツインモニター含む)のオーディオ交換が可能になるキットです。
<br>・取り付け後も純正アンプ、スピーカーはそのまま使うことができます。
<br>・純正ナビ/アナログTV(外部入力)/カーウイングス/ハンズフリーフォンも使用可能です。
<BR>・適合は上記表に対応いたします。下記注意事項もご参照ください。




<br>


<BR>キット構成

<br>アダプター本体 / 6P変換カプラー / ウレタン(2個) / アンテナ変換コード(フェアレディZでは使用しません) / 保証書 / 取扱説明書


<BR><BR>

注意事項
<BR>●新デッキとの組み合わせによってはポップノイズがでることがあります。
<BR>●このアダプターで、純正ナビ、モニターの交換はできません。
<br>
<br>●2015年6月発売





<BR>



<br><br>
取付キット購入時のご注意
<br>

・例外を除き、純正ナビ、スーパーライブなどの特殊オーディオ付には対応いたしません。<BR>
・適合につきましては、<BR>
　　車種<BR>
　　年式（○年○月）<BR>
　　現在のオーディオの仕様（オーディオレス、パネル一体型等）<BR>
　　取付予定のオーディオ（商品型番もしくは1DIN or 2DIN、ナビorデッキ等）<BR>
　をお書き添えの上、お問い合わせください。<BR><BR>
お問い合わせ無しでご注文いただいた場合、適合間違いなどの理由があっても返品交換には一切応じられません。ご了承くださいませ。",Beat-Sonic ビートソニック NSX-05 2DINオーディオ/ナビ取り付けキット 【日産車汎用タイプ メーカーOPナビ付+BOSEサウンドシステム付車 NSA-05後継品】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングBeat-Sonic ビートソニック NSX-05 2DINオーディオ/ナビ取り付けキット 【日産車汎用タイプ メーカーOPナビ付+BOSEサウンドシステム付車 NSA-05後継品】,【在庫あり即納!!】【送料無料!カードOK!】。Beat-Sonic ビートソニック NSX-05 2DINオーディオ/ナビ取り付けキット 【日産車汎用タイプ メーカーOPナビ付+BOSEサウンドシステム付車 NSA-05後継品】[rn]
