16-27301,,3032.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1,作業用品\ハンマー・刻印・ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ＳＫＨ鋼（ハイス）を刃部に溶接し、耐久性、耐磨耗性、靭性に優れています。<br>
●レンガ、ブロックのハツリ作業に。<br>
●頭径(mm):20×22<br>
●頭長(mm):117<br>
●全長(mm):330<br>
●呼称:21mm<br>
●頭部：炭素鋼<br>
●刃部：ＳＫＨ<br>
●柄：白樫<br>
●頭部や柄部に亀裂又はガタツキがないか、確認してください。<br>
●ご使用時には、必ずヘルメット、安全メガネ手袋を着用してください。<br>
●周囲の安全を確認し用途にあった形状、サイズで正しくご使用下さい。",■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1：クローバー資材館,■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1,作業用品\ハンマー・刻印・ポンチ。■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1[rn]
16-27312,,1020.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25K-CYUTEN】(4776461)ハイス組合せ刻印２．５ｍｍバラ 記号・ 中点 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●16桁（1.5mm）から6桁（6.0mm）までの数字・文字が、一度に刻印できます。<br>●呼称:2.5<br>●文字高さA(mm):2.5<br>●文字幅B(mm):1.7<br>●文字ピッチP(mm):2.7<br>●質量(g):4.37<br>●文字:・<br>●高速度鋼（ＳＫＨ５１）<br>",『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25K-CYUTEN】(4776461)ハイス組合せ刻印２．５ｍｍバラ 記号・ 中点 受注単位1：クローバー資材館,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25K-CYUTEN】(4776461)ハイス組合せ刻印２．５ｍｍバラ 記号・ 中点 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印。『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25K-CYUTEN】(4776461)ハイス組合せ刻印２．５ｍｍバラ 記号・ 中点 受注単位1[rn]
16-27313,,935.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25B-W】(4737440)ハイス組合せ刻印２．５ｍｍバラ 英字Ｗ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●16桁（1.5mm）から6桁（6.0mm）までの数字・文字が、一度に刻印できます。<br>●呼称:2.5<br>●文字高さA(mm):2.5<br>●文字幅B(mm):1.7<br>●文字ピッチP(mm):2.7<br>●質量(g):4.37<br>●文字:W<br>●高速度鋼（ＳＫＨ５１）<br>",『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25B-W】(4737440)ハイス組合せ刻印２．５ｍｍバラ 英字Ｗ 受注単位1：クローバー資材館,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25B-W】(4737440)ハイス組合せ刻印２．５ｍｍバラ 英字Ｗ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印。『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-25B-W】(4737440)ハイス組合せ刻印２．５ｍｍバラ 英字Ｗ 受注単位1[rn]
16-27314,,1232.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-50B-Z】(4738551)ハイス組合せ刻印５．０ｍｍバラ 英字Ｚ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●16桁（1.5mm）から6桁（6.0mm）までの数字・文字が、一度に刻印できます。<br>●呼称:5.0<br>●文字高さA(mm):5.0<br>●文字幅B(mm):3.3<br>●文字ピッチP(mm):4.3<br>●質量(g):6.25<br>●文字:Z<br>●高速度鋼（ＳＫＨ５１）<br>",『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-50B-Z】(4738551)ハイス組合せ刻印５．０ｍｍバラ 英字Ｚ 受注単位1：クローバー資材館,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-50B-Z】(4738551)ハイス組合せ刻印５．０ｍｍバラ 英字Ｚ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印。『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-50B-Z】(4738551)ハイス組合せ刻印５．０ｍｍバラ 英字Ｚ 受注単位1[rn]
16-27315,,935.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-30B-P】(4737733)ハイス組合せ刻印３．０ｍｍバラ 英字Ｐ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●16桁（1.5mm）から6桁（6.0mm）までの数字・文字が、一度に刻印できます。<br>●呼称:3.0<br>●文字高さA(mm):3.0<br>●文字幅B(mm):2.0<br>●文字ピッチP(mm):3.0<br>●質量(g):4.8<br>●文字:P<br>●高速度鋼（ＳＫＨ５１）<br>",『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-30B-P】(4737733)ハイス組合せ刻印３．０ｍｍバラ 英字Ｐ 受注単位1：クローバー資材館,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-30B-P】(4737733)ハイス組合せ刻印３．０ｍｍバラ 英字Ｐ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印。『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-30B-P】(4737733)ハイス組合せ刻印３．０ｍｍバラ 英字Ｐ 受注単位1[rn]
16-27316,,7658.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【755BCN】(7646194) ７５５ＢＣＮ　平行ピンポンチ（八角胴）セット　ホルダー付 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●スプリングピンの抜き作業に。<br><br>●質量（ｇ）：429<br>●セット内容：755-2・3・4・5・6・7<br>●セット内容（本）：6<br><br>●ホルダー付。<br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【755BCN】(7646194) ７５５ＢＣＮ　平行ピンポンチ（八角胴）セット　ホルダー付 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【755BCN】(7646194) ７５５ＢＣＮ　平行ピンポンチ（八角胴）セット　ホルダー付 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【755BCN】(7646194) ７５５ＢＣＮ　平行ピンポンチ（八角胴）セット　ホルダー付 受注単位1[rn]
16-27317,,476.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PP-04】(4981537) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平行ピン・スプリングピン・テーパーピンの抜き差し作業に最適です。<br>●握りやすくすべりにくい凹凸形状グリップです。<br>●転がりにくい六角形状です。<br><br>●スプリングピンなどの抜き取り作業に。<br><br>●全長(mm)：150<br>●幅(mm)：8<br>●先端径(mm)：4.0<br>●質量(g)：45<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【PP-04】(4981537) ピンポンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【PP-04】(4981537) ピンポンチ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＴＯＮＥ【PP-04】(4981537) ピンポンチ 受注単位1[rn]
16-27318,,953.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPO-S】(4901819)ポンチ台 １００Ｘ１５０ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ポンチの刃をいためずに綺麗に抜けます。<br>●ポンチ使用時の下敷き。<br>●横(mm):150<br>●縦(mm):100<br>●厚さ(mm):10<br>●質量(kg):0.155。<br>●100X150X10<br>●ポリエチレン<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPO-S】(4901819)ポンチ台 １００Ｘ１５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPO-S】(4901819)ポンチ台 １００Ｘ１５０ 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPO-S】(4901819)ポンチ台 １００Ｘ１５０ 受注単位1[rn]
16-27319,,1753.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-4】(7645872) ７１０－４　センターポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●センター打ち。<br>●穴あけポンチング。<br><br>●全長(mm)：140<br>●幅(mm)：14<br>●先端径(mm)：4.5<br>●質量（ｇ）：137<br>●タイプ：八角胴<br><br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-4】(7645872) ７１０&minus;４　センターポンチ（八角胴） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-4】(7645872) ７１０&minus;４　センターポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【710-4】(7645872) ７１０&minus;４　センターポンチ（八角胴） 受注単位1[rn]
16-27320,,2580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-11】(7646046) ７５０－１１　平行ピンポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●スプリングピンの抜き作業に。<br><br>●全長(mm)：210<br>●幅(mm)：14<br>●先端径(mm)：11.0<br>●質量（ｇ）：218<br><br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-11】(7646046) ７５０&minus;１１　平行ピンポンチ（八角胴） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-11】(7646046) ７５０&minus;１１　平行ピンポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-11】(7646046) ７５０&minus;１１　平行ピンポンチ（八角胴） 受注単位1[rn]
16-27321,,1842.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-8】(7646178) ７５０－８　平行ピンポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面に施されたニッケルクロームメッキにより、握りやすく、耐錆性に優れ、美しい外観となっています。<br><br>●スプリングピンの抜き作業に。<br><br>●全長(mm)：190<br>●幅(mm)：12<br>●先端径(mm)：8.0<br>●質量（ｇ）：140<br><br>●先端硬度：HRC58°<br>●打撃部硬度：HRC45°～48°<br><br>●クロームバナジウム鋼<br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-8】(7646178) ７５０&minus;８　平行ピンポンチ（八角胴） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-8】(7646178) ７５０&minus;８　平行ピンポンチ（八角胴） 受注単位1,作業用品\ハンマー・刻印・ポンチ\ポンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【750-8】(7646178) ７５０&minus;８　平行ピンポンチ（八角胴） 受注単位1[rn]
