16-95901,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4902430710060.jpg?fitin=700:700,358.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,P＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ),,「アリエールジェルボールS」誕生！製品大幅アップグレードで、なんと3つの効果を1粒で実感！1）デュアルバイオ抗菌処方で「50倍抗菌」を実現！2）汚れ落ちを阻む金属イオンを除去する「キレート剤」を増やし「100種の汚れを、一発洗浄！」3）しかも衣類の「ダメージケア」を実現！,P＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneP＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ),P＆Gアリエール リビングドライジェルボール 本体 18個 (ｱﾘｴﾙｼﾞｴﾙBSﾘﾋﾞﾝｸ)[rn]
16-95956,http://tshop.r10s.jp/soukai/cabinet/80/4904740607580.jpg?fitin=700:700,800.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,さらさ 本体＋つめかえ用 超特大サイズ(1セット)【さらさ】,さらさ★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞洗濯洗剤＞洗濯洗剤(液体)＞さらさ 本体＋つめかえ用 超特大サイズ (1セット)<br><br>★税抜1900円以上で送料無料★<br><br>【さらさ 本体＋つめかえ用 超特大サイズの商品詳細】<br>●アリエールさらさ、蛍光剤・漂白剤・着色料無添加<br>●アリエールから得たヒントをもとに自然由来の洗浄成分を新配合。「シミ汚れ」「でんぷん汚れ」を従来以上に分解します<br>●すすぎ1回OK<br>●やさしい柑橘系の香り<br>●天然由来の香料成分使用<br>●皮膚科医の監修のもと肌テスト済み<br>※全ての方の皮膚に影響がないわけではありません。<br><br>【セット詳細】<br>さらさ 本体・・・850g*1本入<br>さらさ つめかえ用 超特大サイズ・・・1.35kg*1本入<br>【成分】<br>界面活性剤(24％ アルキルエーテル硫酸エステル塩、純せっけん分(脂肪酸ナトリウム)、ポリオキシエチレンアルキルエーテル、LAS)安定化剤、pH調整剤、水軟化剤(クエン酸)、ケア成分(コットンミルク)※、酵素<br>※コットンミルク・・・コットンにも含まれる植物由来のケア成分のこと。(蛍光剤・着色料を配合していませんが、生産設備が蛍光剤・着色料配合の洗剤と共用のため、微量に検出されることがあります)<br>【注意事項】<br>・子供の手の届くところに置かない。<br>・認知症の方などの誤飲を防ぐため、置き場所に注意する。<br>・上記用途以外に使用しない。<br>・荒れ性の方や長時間使う場合、また原液で使う場合は炊事用手袋を使う。<br>・使用後は水で手をよく洗い、クリームなどでお手入れをお勧めします。<br>・原液が洗濯機のフタについた時は、水ですぐ拭き取る。<br>・小さくして捨てやすい、やわらかい素材を使用しています。開封前の破損や液漏れに注意してお取り扱い下さい。<br>・これは飲み物ではありません。<br>・パッケージ等、予告なく変更される場合がございます。予めご了承ください。<br><br>【応急処置説明】<br>・目に入った場合はこすらずに水でよく洗う等応急処置をし、医師に相談する。<br>・万一飲み込んだ場合は水を飲ませる。<br><br>【ブランド】<br>さらさ<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br>(サラサ 詰替 詰め替え用 詰替え用 詰替用 つめかえ用 ほんたい ホンタイ ちょうとくだいさいずせっと sarasa)<br><br>/(/F321301/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[洗濯洗剤/ブランド：さらさ/],さらさ 本体＋つめかえ用 超特大サイズ(1セット)【さらさ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションさらさ 本体＋つめかえ用 超特大サイズ(1セット)【さらさ】,さらさ★税抜1900円以上で送料無料★。さらさ 本体＋つめかえ用 超特大サイズ(1セット)【さらさ】[rn]
16-95957,http://tshop.r10s.jp/soukai/cabinet/cam/1703jelb_prd.jpg?fitin=700:700,1556.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,アリエール・ボールド　ジェルボール詰替え超特大2コセット [(48コ入/940g)×2コセット],,"<img src=""http://image.rakuten.co.jp/soukai/cabinet/1700331marason_sub.jpg"" width=""100%""><br><br><img src=""http://www.rakuten.ne.jp/gold/soukai/image/rms/1701jelb_z.jpg"" width=""100%"">
<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg'
border='0'><br><br>
【ブランド】<br>アリエール パワージェルボール<br>ボールド<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br><font color='red'>ヘアケア製品：0120-021327<br>ウエラ製品：0120-308168<br>乳幼児用紙おむつ・生理用品：0120-021329<br>食器用洗剤・布製品消臭剤・置き型消臭剤・衣料用洗剤・柔軟仕上げ剤：0120-021321<br>ブラウン：0120-136343<br>ジレット：0120-113937</font><br><br>(ARIEL Bold 詰換え用 詰め換え用 詰め替え用 詰替用 詰換用 つめかえ用)<br><br>/(/F248301/F236601/F227601/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br><br>[洗濯洗剤/ブランド：アリエール パワージェルボール/]",アリエール・ボールド　ジェルボール詰替え超特大2コセット [(48コ入/940g)&times;2コセット]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションアリエール・ボールド　ジェルボール詰替え超特大2コセット [(48コ入/940g)&times;2コセット],アリエール・ボールド　ジェルボール詰替え超特大2コセット [(48コ入/940g)&times;2コセット][rn]
16-95958,http://tshop.r10s.jp/soukai/cabinet/17/20617.jpg?fitin=700:700,1063.2000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg*3コセット)【アリエール イオンパワージェル】,アリエール イオンパワージェル★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞洗濯洗剤＞洗濯洗剤(液体)＞アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ (1.35kg*3コセット)<br><br>★税抜1900円以上で送料無料★<br><br>【アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズの商品詳細】<br>●今まで抑えられなかったニオイ菌まで抗菌<br>●漂白剤なしでも強力洗浄<br>●優れた洗浄力はもちろん、洗濯後でも、こすったりすると消臭マイクロカプセルがはじけて、消臭できます。<br>●ファブリーズ共同開発<br>●溶け残りがないのでドラム式にもおすすめ。すすぎ1回でOK<br>●洗濯槽のカビ防止<br>●爽快なクリアグリーンの香り<br>●経済的な詰め替え、超特大サイズ<br>●保管に便利なキャップ式<br><br>【使用方法】<br>使用量の目安・・・洗濯機／水30Lに25g(24mL)<br>★お洗濯アドバイス<br>・ウールやデリケートな衣類など(製品に絵表示で記載)には使わないでください。<br>・きなりや淡い色物、「無蛍光洗剤使用」表示のある衣類は、蛍光剤を含まない洗剤でのお洗濯をおすすめします。<br>・すすぎ一回の場合も、効果に影響なく柔軟剤・漂白剤と併用いただけます。<br>・すすぎ(2回以上の場合は最後のすすぎ)には水道水の使用をお勧めします。<br><br>【成分】<br>界面活性剤(22％ 直鎖アルキルベンゼンスルホン酸、ポリオキシエチレンアルキルエーテル)、安定化剤、アルカリ剤、水軟化剤、分散剤、酵素、蛍光増白剤<br>【規格概要】<br>液性・・・弱アルカリ性<br>【注意事項】<br>・子供の手の届くところに置かない<br>・用途以外に使用しない<br>・荒れ性の方や長時間使う場合、また原液で使う場合は炊事用手袋を使う<br>・使用後は水で手を良く洗い、クリームなどでお手入れをおすすめします。<br>・原液が洗濯機のフタに付いた場合は、水ですぐに拭き取る<br><br>【応急処置説明】<br>・万一飲み込んだ場合は水を飲ませる<br>・又、目に入った場合はこすらずに水でよく洗う等応急処置をし、医師に相談する<br><br>【ブランド】<br>アリエール イオンパワージェル<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br><font color='red'>予告なくパッケージ変更する場合がございます。予めご了承ください。<br>ヘアケア製品：0120-021327<br>ウエラ製品：0120-308168<br>乳幼児用紙おむつ・生理用品：0120-021329<br>食器用洗剤・布製品消臭剤・置き型消臭剤・衣料用洗剤・柔軟仕上げ剤：0120-021321<br>ブラウン：0120-136343<br>ジレット：0120-113937<br>※説明文は単品の内容です。</font><br><br>【用途】<br>・綿、麻、合成繊維用<br><br>(ARIEL サイエンスplus サイエンス+ 詰換え用 詰替え用 詰め換え用 詰め替え用 詰替用 詰換用 つめかえ用)<br><br>・単品JAN：4902430653367<br><br>/(/F248301/F323301/F321301/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[洗濯洗剤/ブランド：アリエール イオンパワージェル/],アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg*3コセット)【アリエール イオンパワージェル】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションアリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg*3コセット)【アリエール イオンパワージェル】,アリエール イオンパワージェル★税抜1900円以上で送料無料★。アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg*3コセット)【アリエール イオンパワージェル】[rn]
16-95959,http://tshop.r10s.jp/soukai/cabinet/87/4902430720687.jpg?fitin=700:700,737.6000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,レノアオードリュクスアロマジュエル 香り付け専用剤 ル・マリアージュビジュの香り(520mL)【レノア】,レノア★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞加香剤＞レノアオードリュクスアロマジュエル 香り付け専用剤 ル・マリアージュビジュの香り (520mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z87/z4902430720687.jpg' width='100%'><br><br>【レノアオードリュクスアロマジュエル 香り付け専用剤 ル・マリアージュビジュの香りの商品詳細】<br>●3Dアロマ体験<br>●普段と違う特別な仕上がりにしたい時、お持ちの柔軟剤と合わせるだけで、より奥行きのある複雑な香りに<br><br>【使用方法】<br>・お洗濯のはじめに入れるだけ。<br>(1)キャップにジュエルを測りとります。<br>(2)洗濯槽に直接投入！<br>※ジュエルは、洗剤や柔軟剤の投入口には絶対に入れないでください！<br>(3)いつも通り洗剤・柔軟剤を入れて、お洗濯してください。<br>★縦型ドラム式<br>・ジュエルは洗濯槽に直接入れてください！<br>使用量の目安・・・衣料1kgに対して12mL、キャップ1杯は約85mL<br>*最大2倍まで<br>・上記は目安ですので、お好みの香りの強さになるように、量を調節できます。<br>・「すすぎ1回」のお洗濯にもお使いいただけます。<br>・溶け残る場合は、製品を良く溶かしてから、衣類を入れてください。<br><br>【成分】<br>安定化剤、香料<br>【注意事項】<br>・食べ物ではありません。<br>・子供の手の届くところに置かない<br>・認知症の方などの誤飲を防ぐため、置き場所に注意する<br>・用途外に使用しない<br>・高温、および直射日光などをさけて保管する<br>・万が一、溶け残った場合は、水でよく洗い流してください。<br>・まれに、シミなどができてしまった場合、中性洗剤などでよく洗い流してください。<br><br>【応急処置説明】<br>・万が一、飲み込んだ場合は水を飲ませる、又、目に入った場合はこすらずに水でよく洗う等応急処置をし、医師に相談する<br><br>【ブランド】<br>レノア<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br>(LENOR EAU DE LUXE Aroma Jewel MARIAGE BIJOU)<br><br>/(/F228810/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[加香剤/ブランド：レノア/],レノアオードリュクスアロマジュエル 香り付け専用剤 ル・マリアージュビジュの香り(520mL)【レノア】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションレノアオードリュクスアロマジュエル 香り付け専用剤 ル・マリアージュビジュの香り(520mL)【レノア】,レノア★税抜1900円以上で送料無料★。レノアオードリュクスアロマジュエル 香り付け専用剤 ル・マリアージュビジュの香り(520mL)【レノア】[rn]
16-95960,http://tshop.r10s.jp/soukai/cabinet/00/4902430720700.jpg?fitin=700:700,737.6000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,レノアオードリュクスアロマジュエル 香り付け専用剤 イノセントビジュの香り(520mL)【レノア】,レノア★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞加香剤＞レノアオードリュクスアロマジュエル 香り付け専用剤 イノセントビジュの香り (520mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z00/z4902430720700.jpg' width='100%'><br><br>【レノアオードリュクスアロマジュエル 香り付け専用剤 イノセントビジュの香りの商品詳細】<br>●3Dアロマ体験<br>●普段と違う特別な仕上がりにしたい時、お持ちの柔軟剤と合わせるだけで、より奥行きのある複雑な香りに<br><br>【使用方法】<br>・お洗濯のはじめに入れるだけ。<br>(1)キャップにジュエルを測りとります。<br>(2)洗濯槽に直接投入！<br>※ジュエルは、洗剤や柔軟剤の投入口には絶対に入れないでください！<br>(3)いつも通り洗剤・柔軟剤を入れて、お洗濯してください。<br>★縦型ドラム式<br>・ジュエルは洗濯槽に直接入れてください！<br>使用量の目安・・・衣料1kgに対して12mL、キャップ1杯は約85mL<br>*最大2倍まで<br>・上記は目安ですので、お好みの香りの強さになるように、量を調節できます。<br>・「すすぎ1回」のお洗濯にもお使いいただけます。<br>・溶け残る場合は、製品を良く溶かしてから、衣類を入れてください。<br><br>【成分】<br>安定化剤、香料<br>【注意事項】<br>・食べ物ではありません。<br>・子供の手の届くところに置かない<br>・認知症の方などの誤飲を防ぐため、置き場所に注意する<br>・用途外に使用しない<br>・高温、および直射日光などをさけて保管する<br>・万が一、溶け残った場合は、水でよく洗い流してください。<br>・まれに、シミなどができてしまった場合、中性洗剤などでよく洗い流してください。<br><br>【応急処置説明】<br>・万が一、飲み込んだ場合は水を飲ませる、又、目に入った場合はこすらずに水でよく洗う等応急処置をし、医師に相談する<br><br>【ブランド】<br>レノア<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br>(LENOR EAU DE LUXE Aroma Jewel INNOCENT BIJOU)<br><br>/(/F228810/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[加香剤/ブランド：レノア/],レノアオードリュクスアロマジュエル 香り付け専用剤 イノセントビジュの香り(520mL)【レノア】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションレノアオードリュクスアロマジュエル 香り付け専用剤 イノセントビジュの香り(520mL)【レノア】,レノア★税抜1900円以上で送料無料★。レノアオードリュクスアロマジュエル 香り付け専用剤 イノセントビジュの香り(520mL)【レノア】[rn]
16-95961,http://tshop.r10s.jp/soukai/cabinet/92/21392.jpg?fitin=700:700,878.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,アリエール サイエンスプラス 洗たく槽クリーナー(250g*5コセット)【アリエール】,アリエール★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞洗濯用品＞洗濯槽用洗剤＞アリエール サイエンスプラス 洗たく槽クリーナー (250g*5コセット)<br><br>★税抜1900円以上で送料無料★<br><br>【アリエール サイエンスプラス 洗たく槽クリーナーの商品詳細】<br>●防臭効果がアップした新アリエールサイエンスプラス洗たく槽クリーナーは、目に見えない洗たく槽のカビ・バイ菌も強力除去<br>●活性酵素パワーでカビ胞子除去率99.9％(ステンレスプレートによる試験)<br>●簡単！つけおきなし<br>●ファブリーズと共同開発<br>●除菌・消臭<br>●ステンレス・プラスチック両用<br><br>【使用方法】<br>(1)水を入れる前に本製品を全量入れる。<br>(2)高水位に水量をあわせる。<br>(3)標準コース(洗濯→すすぎ→脱水)で洗濯槽を洗浄する。<br>※洗浄後、洗たく槽を確認し、汚れや泡が残っているようであればもう一度標準コースで洗たく機をすすいでください。<br>★汚れがひどい場合は・・・<br>・ぬるま湯(40度程度)を使うと効果的です。<br>・すすぎを繰り返しても汚れが出てくる場合は、汚れがひどく取りきれなかった可能性があります。本製品を再度使用することをお勧めします。<br>・ドラム式洗たく機では、一部不具合が起こる可能性があるため、ご使用をお控えください。<br>・洗たく槽を清潔に保つために、3-4ヶ月に一度の使用をお勧めします。<br><br>【成分】<br>界面活性剤(10％直鎖アルキルベンゼンスルホン酸ナトリウム、アルカノイルオキシベンゼンスルホン酸ナトリウム)、漂白剤(過炭酸塩)、アルカリ剤(炭酸塩)、工程剤(硫酸塩)、再付着防止剤、酵素<br>【注意事項】<br>・本製品で衣類は洗えません。本製品を使用前に洗たく槽に洗たく物が入っていないかご確認ください。<br>・洗たく槽のクリーニング以外の用途に使用しない。<br>・洗たく物と共に使用しない。衣類等が脱色することがある。<br>・他の製品と併用・混合しない。<br>・使用のときは、粉や液が目に入らないように注意する。<br>・使用のときは、粉や液が肌につかないように注意する。<br>・使用の際には炊事用の手袋を着用することをお勧めします。<br>・粉を吸い込まないように、開封・投入するときは顔を近づけない。<br>・子供の手の届くところに置かない。ペットのいたずらに注意する。<br><br>【ブランド】<br>アリエール<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br><font color='red'>ヘアケア製品：0120-021327<br>ウエラ製品：0120-308168<br>乳幼児用紙おむつ・生理用品：0120-021329<br>食器用洗剤・布製品消臭剤・置き型消臭剤・衣料用洗剤・柔軟仕上げ剤：0120-021321<br>ブラウン：0120-136343<br>※説明文は単品の内容です。</font><br><br>(サイエンス+7 洗濯槽クリーナー)<br><br>・単品JAN：4902430523547<br><br>/(/F321301/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[洗濯用品/ブランド：アリエール/],アリエール サイエンスプラス 洗たく槽クリーナー(250g*5コセット)【アリエール】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションアリエール サイエンスプラス 洗たく槽クリーナー(250g*5コセット)【アリエール】,アリエール★税抜1900円以上で送料無料★。アリエール サイエンスプラス 洗たく槽クリーナー(250g*5コセット)【アリエール】[rn]
16-95962,http://tshop.r10s.jp/soukai/cabinet/30/4903301094630.jpg?fitin=700:700,1027.2000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,無リントップ(4.1kg)ライオン【トップ】[洗濯洗剤 粉洗剤 粉末洗剤 衣類用 業務用 粉末洗剤],トップ / 洗濯洗剤 粉洗剤 粉末洗剤 衣類用 業務用 粉末洗剤,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞掃除・洗濯＞洗濯洗剤＞洗濯洗剤(粉末)＞無リントップ (4.1kg)<br><br>★税抜1900円以上で送料無料★<br><br>【無リントップの商品詳細】<br>●酵素配合で高洗浄力の洗剤<br>●タンパク汚れ分解酵素の働きで、たくましい酵素パワーを発揮します。<br>●汚れをとりこむ力の強い主成分AO(アルファオレフィン)と酵素のパワーで激しい汚れをすばやく落します。<br>●使用量は40g／水30L<br><br>【使用量の目安】<br>・水30L(洗濯物量1.5Kg)に対し40g<br><br>【ブランド】<br>トップ<br><br>【発売元、製造元、輸入元又は販売元】<br>ライオン(株)<br><br><font color='red'>歯とお口、カラダのケアに使用する製品（ハミガキ、ハブラシ、ハンドソープなど）： 0120-556-913<br>衣類、住まいのケア、調理に使用する製品（洗剤、柔軟仕上げ剤、台所用洗剤、クッキングペーパーなど）：0120-556-973<br>メディカルケア（バファリン、ストッパ、スマイル、ライオデント、グロモントなど）：0120-813-752<br>害虫の退治（バルサン）：0120-592-803</font><br><br>(4100g)<br><br>ライオン(株)<br>130-8645 東京都墨田区本所1-3-7 ※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br><br>[洗濯洗剤/ブランド：トップ/],無リントップ(4.1kg)ライオン【トップ】[洗濯洗剤 粉洗剤 粉末洗剤 衣類用 業務用 粉末洗剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーション無リントップ(4.1kg)ライオン【トップ】[洗濯洗剤 粉洗剤 粉末洗剤 衣類用 業務用 粉末洗剤],トップ / 洗濯洗剤 粉洗剤 粉末洗剤 衣類用 業務用 粉末洗剤。無リントップ(4.1kg)ライオン【トップ】[洗濯洗剤 粉洗剤 粉末洗剤 衣類用 業務用 粉末洗剤][rn]
16-95963,http://tshop.r10s.jp/soukai/cabinet/67/4902430653367.jpg?fitin=700:700,354.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 洗剤・柔軟剤 > 洗濯用洗剤・柔軟剤 > 洗濯用洗剤,アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg)【アリエール イオンパワージェル】,アリエール イオンパワージェル★税抜1900円以上で送料無料★,お店TOP＞掃除・洗濯＞洗濯洗剤＞洗濯洗剤(液体)＞アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ (1.35kg)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z67/z4902430653367.jpg' width='100%'><br><br>【アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズの商品詳細】<br>●今まで抑えられなかったニオイ菌まで抗菌<br>●漂白剤なしでも強力洗浄<br>●優れた洗浄力はもちろん、洗濯後でも、こすったりすると消臭マイクロカプセルがはじけて、消臭できます。<br>●ファブリーズ共同開発<br>●溶け残りがないのでドラム式にもおすすめ。すすぎ1回でOK<br>●洗濯槽のカビ防止<br>●爽快なクリアグリーンの香り<br>●経済的な詰め替え、超特大サイズ<br>●保管に便利なキャップ式<br><br>【使用方法】<br>使用量の目安・・・洗濯機／水30Lに25g(24mL)<br>★お洗濯アドバイス<br>・ウールやデリケートな衣類など(製品に絵表示で記載)には使わないでください。<br>・きなりや淡い色物、「無蛍光洗剤使用」表示のある衣類は、蛍光剤を含まない洗剤でのお洗濯をおすすめします。<br>・すすぎ一回の場合も、効果に影響なく柔軟剤・漂白剤と併用いただけます。<br>・すすぎ(2回以上の場合は最後のすすぎ)には水道水の使用をお勧めします。<br><br>【成分】<br>界面活性剤(22％ 直鎖アルキルベンゼンスルホン酸、ポリオキシエチレンアルキルエーテル)、安定化剤、アルカリ剤、水軟化剤、分散剤、酵素、蛍光増白剤<br>【規格概要】<br>液性・・・弱アルカリ性<br>【注意事項】<br>・子供の手の届くところに置かない<br>・用途以外に使用しない<br>・荒れ性の方や長時間使う場合、また原液で使う場合は炊事用手袋を使う<br>・使用後は水で手を良く洗い、クリームなどでお手入れをおすすめします。<br>・原液が洗濯機のフタに付いた場合は、水ですぐに拭き取る<br><br>【応急処置説明】<br>・万一飲み込んだ場合は水を飲ませる<br>・又、目に入った場合はこすらずに水でよく洗う等応急処置をし、医師に相談する<br><br>【ブランド】<br>アリエール イオンパワージェル<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br><font color='red'>予告なくパッケージ変更する場合がございます。予めご了承ください。<br>ヘアケア製品：0120-021327<br>ウエラ製品：0120-308168<br>乳幼児用紙おむつ・生理用品：0120-021329<br>食器用洗剤・布製品消臭剤・置き型消臭剤・衣料用洗剤・柔軟仕上げ剤：0120-021321<br>ブラウン：0120-136343<br>ジレット：0120-113937</font><br><br>【用途】<br>・綿、麻、合成繊維用<br><br>(ARIEL サイエンスplus サイエンス+ 詰換え用 詰替え用 詰め換え用 詰め替え用 詰替用 詰換用 つめかえ用)<br><br>/(/F248302/F221201/F323303/F236601/F321301/F227601/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[洗濯洗剤/ブランド：アリエール イオンパワージェル/],アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg)【アリエール イオンパワージェル】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションアリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg)【アリエール イオンパワージェル】,アリエール イオンパワージェル★税抜1900円以上で送料無料★。アリエール イオンパワージェル サイエンスプラス 詰替え用 超特大サイズ(1.35kg)【アリエール イオンパワージェル】[rn]
