16-26301,,412.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4”プラスビットＥ63型 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●1/4インチ（6.35mm）のE6.3型プラスビットです。<br>
●あらゆる産業のねじ締め<br>
●刃先:[[(+)]]3<br>
●全長(mm):50<br>
●塗装色:クローム<br>
●差込角(mm):6.35<br>
●シャンク径:6.35mm<br>
●DIN3126、ISO1173、E6.3型<br>
●クロムバナジウム鋼<br>
●全身焼き入れ",■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1：クローバー資材館,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1,作業用品\ドライバービット。■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1[rn]
16-26313,,305.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACS-3345】(7536534) 四角カラービット２本組　■＃３×４５ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●両頭タイプです。<br>●カラーで先端サイズの見分けが簡単です。<br><br>●四角ネジ回しに<br><br>●刃先：SQ3<br>●全長(mm)：45<br>●塗装色：緑<br>●質量(g)22<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACS-3345】(7536534) 四角カラービット２本組　■＃３&times;４５ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACS-3345】(7536534) 四角カラービット２本組　■＃３&times;４５ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACS-3345】(7536534) 四角カラービット２本組　■＃３&times;４５ 受注単位1[rn]
16-26314,,296.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-110】(7686978) ネジに喰いつくビット２本組　＋２Ｘ１１０ｍｍ　ＭＧ付 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ねじとかん合する面に形成されたダブルの突起がネジに喰いつく画期的な構造の電動用ダブルビットです。<br>●オリジナル特殊合金鋼を使用しており、優秀な耐久性を発揮いたします。<br>●ＪＩＳ規格及びＪＣＩＳ規格などに基づき、厳しい寸法精度で製作し、ネジとのかん合は抜群です。<br>●表面が硬く均一で錆びに強い無電解ニッケル仕上げです。<br><br>●焼入れをしていないコースレッド・木ネジの取り付けに最適です。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：110<br><br>●シャンク径：6.35mm<br><br>●オリジナル特殊合金<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-110】(7686978) ネジに喰いつくビット２本組　＋２Ｘ１１０ｍｍ　ＭＧ付 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-110】(7686978) ネジに喰いつくビット２本組　＋２Ｘ１１０ｍｍ　ＭＧ付 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-110】(7686978) ネジに喰いつくビット２本組　＋２Ｘ１１０ｍｍ　ＭＧ付 受注単位1[rn]
16-26315,,356.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACM-2130】(4709977) カラービット２本組　＋２×１３０ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カラーで先端サイズの見分けが簡単です。<br>●両端部非塗装で刃先精度が抜群です。<br><br><br>●刃先：[[(+)]]2<br>●全長(mm)：130<br>●質量(g)：70<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACM-2130】(4709977) カラービット２本組　＋２&times;１３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACM-2130】(4709977) カラービット２本組　＋２&times;１３０ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACM-2130】(4709977) カラービット２本組　＋２&times;１３０ 受注単位1[rn]
16-26316,,714.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACS5-3345】(7536542) 四角カラービット５本組　■＃３×４５ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●両頭タイプです。<br>●カラーで先端サイズの見分けが簡単です。<br><br>●四角ネジ回しに<br><br>●刃先：SQ3<br>●全長(mm)：45<br>●塗装色：緑<br>●質量(g)51<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACS5-3345】(7536542) 四角カラービット５本組　■＃３&times;４５ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACS5-3345】(7536542) 四角カラービット５本組　■＃３&times;４５ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACS5-3345】(7536542) 四角カラービット５本組　■＃３&times;４５ 受注単位1[rn]
16-26317,,1326.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-65】(7536518) 四角カラービット１０本組　両頭　□＃３×６５ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●両頭タイプです。<br>●カラーで先端サイズの見分けが簡単です。<br><br>●四角ネジ回しに<br><br>●刃先：SQ3<br>●全長(mm)：65<br>●塗装色：緑<br>●質量(g)135<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-65】(7536518) 四角カラービット１０本組　両頭　□＃３&times;６５ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-65】(7536518) 四角カラービット１０本組　両頭　□＃３&times;６５ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-65】(7536518) 四角カラービット１０本組　両頭　□＃３&times;６５ 受注単位1[rn]
16-26318,,1479.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-85】(7536526) 四角カラービット１０本組　両頭　□＃３×８５ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●両頭タイプです。<br>●カラーで先端サイズの見分けが簡単です。<br><br>●四角ネジ回しに<br><br>●刃先：SQ3<br>●全長(mm)：85<br>●塗装色：緑<br>●質量(g)189<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-85】(7536526) 四角カラービット１０本組　両頭　□＃３&times;８５ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-85】(7536526) 四角カラービット１０本組　両頭　□＃３&times;８５ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-85】(7536526) 四角カラービット１０本組　両頭　□＃３&times;８５ 受注単位1[rn]
16-26319,,560.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACS-3330】(4719727) 四角カラービット１本組　■＃３×３００ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●両頭タイプです。<br>●カラーで先端サイズの見分けが簡単です。<br><br>●四角ネジ回しに<br><br>●刃先：SQ3<br>●全長(mm)：300<br>●塗装色：緑<br>●質量(g)88<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACS-3330】(4719727) 四角カラービット１本組　■＃３&times;３００ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACS-3330】(4719727) 四角カラービット１本組　■＃３&times;３００ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACS-3330】(4719727) 四角カラービット１本組　■＃３&times;３００ 受注単位1[rn]
16-26320,,484.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACPM-2300】(4709993) カラービット２本組　＋２×－６×３００ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●カラーで先端サイズの見分けが簡単です。<br>●[[(+)]][[(-)]]の両頭タイプです。<br>●両端部非塗装で刃先精度が抜群です。<br><br>●プラス・マイナスネジ回しに<br><br>●刃先：[[(+)]]2、[[(-)]]6<br>●全長(mm)：300<br>●質量(g)：88<br><br>●シャンク径：6.35mm<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACPM-2300】(4709993) カラービット２本組　＋２&times;&minus;６&times;３００ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACPM-2300】(4709993) カラービット２本組　＋２&times;&minus;６&times;３００ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACPM-2300】(4709993) カラービット２本組　＋２&times;&minus;６&times;３００ 受注単位1[rn]
16-26321,,233.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-65】(7728255) ネジに喰いつくビット２本組　＋２Ｘ６５ｍｍ　ＭＧ付 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ねじとかん合する面に形成されたダブルの突起がネジに喰いつく画期的な構造の電動用ダブルビットです。<br>●オリジナル特殊合金鋼を使用しており、優秀な耐久性を発揮いたします。<br>●ＪＩＳ規格及びＪＣＩＳ規格などに基づき、厳しい寸法精度で製作し、ネジとのかん合は抜群です。<br>●表面が硬く均一で錆びに強い無電解ニッケル仕上げです。<br><br>●焼入れをしていないコースレッド・木ネジの取り付けに最適です。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：65<br><br>●シャンク径：6.35mm<br><br>●オリジナル特殊合金<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-65】(7728255) ネジに喰いつくビット２本組　＋２Ｘ６５ｍｍ　ＭＧ付 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-65】(7728255) ネジに喰いつくビット２本組　＋２Ｘ６５ｍｍ　ＭＧ付 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TKB-2-65】(7728255) ネジに喰いつくビット２本組　＋２Ｘ６５ｍｍ　ＭＧ付 受注単位1[rn]
16-26322,,1657.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-110】(7536500) 四角カラービット１０本組　両頭　□＃３×１１０ 受注単位1,作業用品\ドライバービット\両頭ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●両頭タイプです。<br>●カラーで先端サイズの見分けが簡単です。<br><br>●四角ネジ回しに<br><br>●刃先：SQ3<br>●全長(mm)：110<br>●塗装色：緑<br>●質量(g)256<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>",『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-110】(7536500) 四角カラービット１０本組　両頭　□＃３&times;１１０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-110】(7536500) 四角カラービット１０本組　両頭　□＃３&times;１１０ 受注単位1,作業用品\ドライバービット\両頭ビット。『カード対応OK！』■〒兼古製作所/アネックス【ACS-14M-3-110】(7536500) 四角カラービット１０本組　両頭　□＃３&times;１１０ 受注単位1[rn]
16-26323,,458.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARTM-2130】(7536712) 龍靭ビット２本組　両頭＋２×１３０ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トーション部で衝撃を吸収します。<br>●驚異の耐久性で長寿命です。<br>●先端欠けに強いです。<br>●カムアウトを抑制します。<br>●サビに強い光沢表面仕上げをしています。<br><br><br>●刃先：[[(+)]]2<br>●全長(mm)：130<br>●質量(g)：62<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARTM-2130】(7536712) 龍靭ビット２本組　両頭＋２&times;１３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARTM-2130】(7536712) 龍靭ビット２本組　両頭＋２&times;１３０ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARTM-2130】(7536712) 龍靭ビット２本組　両頭＋２&times;１３０ 受注単位1[rn]
16-26324,,795.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【SST5P2082】(7545258) サキスボトーションビットＳＳＴ　５本組（両頭）＋２×８２ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●くびれ部のクッション効果で電動インパクトの衝撃を吸収し、ビットが跳ねる事がなく、スムーズに打ち込めます。<br>●トーション効果により耐久性もUPします。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●ダクト、サイディングなどでのドリルネジ作業。<br>●根太打ち、コンパネ取り付け、2X4などのロングビス、プラグレスビスもOK。<br>●各種リフォーム向けのロングサイズも用意。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：82<br>●質量(g)：72<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●マグネット入り <br>●両頭ビット<br><br>●工業用特殊合金鋼<br>",『カード対応OK！』■〒ベッセル【SST5P2082】(7545258) サキスボトーションビットＳＳＴ　５本組（両頭）＋２&times;８２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【SST5P2082】(7545258) サキスボトーションビットＳＳＴ　５本組（両頭）＋２&times;８２ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【SST5P2082】(7545258) サキスボトーションビットＳＳＴ　５本組（両頭）＋２&times;８２ｍｍ 受注単位1[rn]
16-26325,,600.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【NMCS16215】(7545207) 段付サキスボビット　ネジマグキャッチャー付　＋２×１５０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●段付ビットとの組み合わせにより、狭く限られた箇所でのネジ締めやドライウォールなどの連続作業に最適です。<br>●2枚のネオジウム磁石を内蔵したネジマグキャッチャーは、強力にネジを保持します。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●内装造作、家具・木工、コンパネ取り付けやボード、ドライウォール作業。<br>●設備、電気工事に。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：150<br>●質量(g)：40<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●段付きビット<br><br>●工業用特殊合金鋼<br>●ネジマグキャッチャー：樹脂、ネオジウムマグネット<br>",『カード対応OK！』■〒ベッセル【NMCS16215】(7545207) 段付サキスボビット　ネジマグキャッチャー付　＋２&times;１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【NMCS16215】(7545207) 段付サキスボビット　ネジマグキャッチャー付　＋２&times;１５０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【NMCS16215】(7545207) 段付サキスボビット　ネジマグキャッチャー付　＋２&times;１５０ｍｍ 受注単位1[rn]
16-26326,,397.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARS-3065】(4709969) 龍靭ビット　四角タイプ　２本組　片頭■＃３×６５ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アンビルに噛み込まない片頭ビットです。<br><br>●２×４建築・合板床・ALCボード・筋かい金具などで使用される四角穴ビスに<br><br>●刃先：SQ3<br>●全長(mm)：65<br>●塗装色：緑<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARS-3065】(4709969) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;６５ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARS-3065】(4709969) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;６５ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARS-3065】(4709969) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;６５ 受注単位1[rn]
16-26327,,1086.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARTM5-2130】(7536721) 龍靭ビット５本組　両頭＋２×１３０ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トーション部で衝撃を吸収します。<br>●驚異の耐久性で長寿命です。<br>●先端欠けに強いです。<br>●カムアウトを抑制します。<br>●サビに強い光沢表面仕上げをしています。<br><br><br>●刃先：[[(+)]]2<br>●全長(mm)：130<br>●質量(g)：150<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARTM5-2130】(7536721) 龍靭ビット５本組　両頭＋２&times;１３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARTM5-2130】(7536721) 龍靭ビット５本組　両頭＋２&times;１３０ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARTM5-2130】(7536721) 龍靭ビット５本組　両頭＋２&times;１３０ 受注単位1[rn]
16-26328,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARS-3150】(4709942) 龍靭ビット　四角タイプ　２本組　片頭■＃３×１５０ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アンビルに噛み込まない片頭ビットです。<br><br>●２×４建築・合板床・ALCボード・筋かい金具などで使用される四角穴ビスに<br><br>●刃先：SQ3<br>●全長(mm)：150<br>●塗装色：緑<br><br>●シャンク径：6.35mm<br>●刃先：マグネット入り<br><br>●クロムモリブデンバナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARS-3150】(4709942) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;１５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARS-3150】(4709942) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;１５０ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARS-3150】(4709942) 龍靭ビット　四角タイプ　２本組　片頭■＃３&times;１５０ 受注単位1[rn]
16-26329,,1632.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-85】(7536691) ハイパー龍靭ビット１０本組　両頭＋２×８５ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐久性抜群で長寿命です。<br>●トーション部で衝撃吸収します。<br>●先端欠けに強く、カムアウトを抑制します。<br><br><br>●刃先：[[(+)]]2<br>●全長(mm)：85<br>●質量(g)：156<br><br>●シャンク径：6.35mm<br><br>●クロム・モリブデン・バナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-85】(7536691) ハイパー龍靭ビット１０本組　両頭＋２&times;８５ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-85】(7536691) ハイパー龍靭ビット１０本組　両頭＋２&times;８５ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-85】(7536691) ハイパー龍靭ビット１０本組　両頭＋２&times;８５ 受注単位1[rn]
16-26330,,1453.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-65】(7536682) ハイパー龍靭ビット１０本組　両頭＋２×６５ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐久性抜群で長寿命です。<br>●トーション部で衝撃吸収します。<br>●先端欠けに強く、カムアウトを抑制します。<br><br><br>●刃先：[[(+)]]2<br>●全長(mm)：65<br>●質量(g)：111<br><br>●シャンク径：6.35mm<br><br>●クロム・モリブデン・バナジウム鋼<br>●アセテート樹脂<br>",『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-65】(7536682) ハイパー龍靭ビット１０本組　両頭＋２&times;６５ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-65】(7536682) ハイパー龍靭ビット１０本組　両頭＋２&times;６５ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒兼古製作所/アネックス【ARH-14M-2-65】(7536682) ハイパー龍靭ビット１０本組　両頭＋２&times;６５ 受注単位1[rn]
16-26331,,521.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【NMCS16210】(7545193) 段付サキスボビット　ネジマグキャッチャー付　＋２×１００ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●段付ビットとの組み合わせにより、狭く限られた箇所でのネジ締めやドライウォールなどの連続作業に最適です。<br>●2枚のネオジウム磁石を内蔵したネジマグキャッチャーは、強力にネジを保持します。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●内装造作、家具・木工、コンパネ取り付けやボード、ドライウォール作業。<br>●設備、電気工事に。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：100<br>●質量(g)：32<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●段付きビット<br><br>●工業用特殊合金鋼<br>●ネジマグキャッチャー：樹脂、ネオジウムマグネット<br>",『カード対応OK！』■〒ベッセル【NMCS16210】(7545193) 段付サキスボビット　ネジマグキャッチャー付　＋２&times;１００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【NMCS16210】(7545193) 段付サキスボビット　ネジマグキャッチャー付　＋２&times;１００ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【NMCS16210】(7545193) 段付サキスボビット　ネジマグキャッチャー付　＋２&times;１００ｍｍ 受注単位1[rn]
16-26332,,376.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【SST142110】(4940555) サキスボトーションビットＳＳＴ　２本組（両頭）＋２×１１０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●くびれ部のクッション効果で電動インパクトの衝撃を吸収し、ビットが跳ねる事がなく、スムーズに打ち込めます。<br>●トーション効果により耐久性もUPします。<br>●大工さんへ向けた建築木工用ビットです。<br><br>●ダクト、サイディングなどでのドリルネジ作業。<br>●根太打ち、コンパネ取り付け、2X4などのロングビス、プラグレスビスもOK。<br>●各種リフォーム向けのロングサイズも用意。<br><br>●刃先：[[(+)]]2<br>●全長(mm)：110<br>●質量(g)：46<br><br>●シャンク径：6.35mm<br>●18Vインパクト対応 <br>●マグネット入り <br>●両頭ビット<br><br>●工業用特殊合金鋼<br>",『カード対応OK！』■〒ベッセル【SST142110】(4940555) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;１１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【SST142110】(4940555) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;１１０ｍｍ 受注単位1,作業用品\ドライバービット\トーションビット。『カード対応OK！』■〒ベッセル【SST142110】(4940555) サキスボトーションビットＳＳＴ　２本組（両頭）＋２&times;１１０ｍｍ 受注単位1[rn]
