16-132501,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/imgrc0070131103.jpg?fitin=700:700,352.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　メリノスタイル極太,,"<font color=""#2f4f4f"" size=""3"">
手編み糸に最適なクリンプの多いミクロンタイプの特別にセレクトされたメリノウールを使用。<br></font>
<BR>
<FONT color=""#000066"">[素材]</FONT>
<FONT color=""#660033"">　　　：ウール(メリノ)100%<BR></FONT>
<BR>
<FONT color=""#000066"">[重さ・長さ]</FONT>
<FONT color=""#660033"">：40g　約65m</FONT><BR>
<FONT color=""#000066"">[使用針]</FONT>
<FONT color=""#660033"">　　：棒針　9～11号<BR>
　　　　　　　かぎ針　8/0～9/0号</FONT><BR>
<FONT color=""#000066"">[標準ゲージ]</FONT>
<FONT color=""#660033"">：　</FONT><BR>
<FONT color=""#000066"">[使用糸量]</FONT>
<FONT color=""#660033"">　：婦人プルオーバー　10玉<BR>
　　　　　　　紳士プルオーバー　12～13玉</FONT><BR>
<BR>
<FONT color=""#ff0000"">ご注意</FONT>
<FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と<BR>
異なることがございます。また注文が集中した場合など、<BR>
発送が遅れたり、店頭販売と在庫が重複しているため在庫<BR>
切れで販売できなくなる場合がございます。
</FONT>
<br>クロネコＤＭ便　不可<br><br>",ダルマ毛糸　メリノスタイル極太：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　メリノスタイル極太,ダルマ毛糸　メリノスタイル極太[rn]
16-132528,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0067462368.jpg?fitin=700:700,489.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）ソフアルパカ　Soff Alpaca,,"<font color=""#6a1917"" size=""2"">ナイロンリリヤーンにアルパカのスライバーを吹き込み、糸表面を起毛。<br>アルパカならではの風合いを活かした超軽量素材。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛54%、ナイロン46%<br>（※毛はアルパカ100%使用）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">25g玉巻（約115m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　5～7号<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">19目27段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　7～8玉<BR>婦人ベスト　3～4玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）ソフアルパカ　Soff Alpaca：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）ソフアルパカ　Soff Alpaca,リッチモア毛糸（ハマナカ毛糸）ソフアルパカ　Soff Alpaca[rn]
16-132529,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0069899027.jpg?fitin=700:700,921.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）カウニス　KAUNISイタリア製,,"<font color=""#6a1917"" size=""2"">ベビーアルパカとエクストラファインメリノが主原料<br>中空状の糸構造で、大変軽くソフト。<br>ダークなニュアンスカラーが魅力的。<br>トップ染めのグラデーションヤーン。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">アルパカ53%・ウール35%<br>ナイロン12%<br>（アルパカはベビーアルパカ、ウールはエクストラファインメリノを使用）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g玉巻（約88m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　11～12号<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">14.5目22段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　9～10玉<BR>婦人ベスト　5～6玉<BR>紳士プルオーバー　11～12玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）カウニス　KAUNISイタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）カウニス　KAUNISイタリア製,リッチモア毛糸（ハマナカ毛糸）カウニス　KAUNISイタリア製[rn]
16-132530,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063593471.jpg?fitin=700:700,561.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）アルノ　Arno,,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""3"">スレートとブークレの形状変化を芯糸に、モヘヤの起毛糸を交撚。<br>両方にはロングピッチの段染めを施したグラデーションヤーン。<br>デリケートでミクスチャーな絶品編み地が・・・。<br><br></font>      </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛75%・ナイロン25%<br>（※毛はウール40%・モヘヤ35%の割合い）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g　約90m</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針6～8号</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">16目21段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　7～8玉<BR>紳士プルオーバー　9～10玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）アルノ　Arno：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）アルノ　Arno,リッチモア毛糸（ハマナカ毛糸）アルノ　Arno[rn]
16-132531,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0067532997.jpg?fitin=700:700,372.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）カナール2番色のみ（　廃盤品　）在庫限り,★★（廃盤品）在庫処分★★,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛60％　アクリル35％<br>ナイロン5％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">50g王巻（約45m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　15号～8mm<br>かぎ針　号</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">10.5目16段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　9～10玉<br>婦人ベスト　5～6玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）カナール2番色のみ（　廃盤品　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）カナール2番色のみ（　廃盤品　）在庫限り,★★（廃盤品）在庫処分★★。リッチモア毛糸（ハマナカ毛糸）カナール2番色のみ（　廃盤品　）在庫限り[rn]
16-132532,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067951871.jpg?fitin=700:700,505.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーエクトリーブークレ,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD>    </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛42％・アクリル42％<br>ナイロン16%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g王巻（約360m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーエクトリーブークレ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーエクトリーブークレ,パーキー　エクトリーエクトリーブークレ[rn]
16-132533,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063574474.jpg?fitin=700:700,576.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10Excellent Mohair Count10,,"★40・78番は廃盤色です。★<br><TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""3"">生後半年目に刈り取った子ヤギの産毛（スーパーキッドモヘア）を使用。<br>アンゴラタッチでチクチク肌を刺しにくいモヘアです。<br>非常に軽く、作品が仕上がるのも魅力。<br>リッチモアの定番モヘアです。引き揃えにも最適です。<br></font>      </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛76%<br>　（スーパーキッドモヘヤ71%・ラムウール5%）<br>ナイロン24%</FONT></TD>    </TR>    <TR>      <TD width=""150"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">20g　約200m</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針4～5号（1本どり）<br>　　6～8号（2本どり）</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">25目36段（4～5号）<br>19目28段（6～8号）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　8～9玉<BR>婦人ベスト　4～5玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE>
<br><br>クロネコＤＭ便便　不可<br><br>",リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10Excellent Mohair Count10：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10Excellent Mohair Count10,リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10Excellent Mohair Count10[rn]
16-132534,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/imgrc0065849982.jpg?fitin=700:700,707.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　シルクドマーニ,シルク100％の美しい艶とタッチ,重さ：25ｇ<br>糸長：157ｍ<br>太さ：棒針2本取り4～5号、かぎ針2/0～3/0号<br>素材：絹100%<br>その他：メリヤス編標準ゲージ37～38目/47～49段<br>婦人セーター　半袖約9玉、婦人ベスト　約6玉、紳士セーター半袖約11玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　　シルクドマーニ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　シルクドマーニ,シルク100％の美しい艶とタッチ。ダイヤ毛糸　　　シルクドマーニ[rn]
16-132535,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067888934.jpg?fitin=700:700,505.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリー普及用スパンコールレース,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ポリエステル100%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">25g玉巻（約155ｍ）<br>マルチカラーは（約130ｍ）</FONT></TD>    </TR>    </TABLE><br><font color=""#6a1917"" size=""2"">カラー001=（クロ） クロ（糸）×クロ（スパンコール）<br>カラー002=（シロ） シロ（糸）×ライトグレー（スパンコール）<br>カラー003=(マルチカラー）ベージュ（糸）×マルチカラー（スパンコールは、パープル、ブルー、グリーン、ゴールド、アカ、ピンクの６色）</font><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリー普及用スパンコールレース：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリー普及用スパンコールレース,パーキー　エクトリー普及用スパンコールレース[rn]
16-132536,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0067510501.jpg?fitin=700:700,489.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）サスペンス　SUSPENSE,,"<font color=""#6a1917"" size=""2"">棒針にもカギ針にも使えるスタンダードラメ。<br>ラメの定番のシルバー、ゴールドカラーだけでなく豊富なビビッドカラーを用意し、個性あふれる作品作りを応援します。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">レーヨン66%・ポリエステル34%<br>（スリット糸使用）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">    25g玉巻（約105m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　6～8号<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">26目38段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　10～11玉<BR>婦人ベスト　7～8玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）サスペンス　SUSPENSE：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）サスペンス　SUSPENSE,リッチモア毛糸（ハマナカ毛糸）サスペンス　SUSPENSE[rn]
16-132537,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img62142264.jpg?fitin=700:700,240.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　モヘアパレ　（　廃盤色の504番のみ　）在庫限り,なめらかなタッチの、少し太めで編みやすい定番モヘア,重さ：30ｇ<br>糸長：88ｍ<br>太さ：棒針9～10号、かぎ針7/0～8/0号<br>素材：モヘア　30%（キッドモヘア）、アルパカ　10％（ベビーアルパカ）、アクリル　60％　<br>その他：メリヤス編標準ゲージ15～17目/21～23段<br>婦人セーター　約8玉、婦人ベスト　約5玉、<br>紳士セーター　約10玉<br>糸の特徴：キッドモヘアと、アルパカをブレンドし、ぬめり感のあるやさしい風合いを作っています。<br>太い針で編めるので仕上がりが早いのもうれしいポイントです。<br>少し抑えた起毛感で程よいボリュームに編み上がり、とても軽い着心地です。<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　モヘアパレ　（　廃盤色の504番のみ　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　モヘアパレ　（　廃盤色の504番のみ　）在庫限り,なめらかなタッチの、少し太めで編みやすい定番モヘア。ダイヤ毛糸　　モヘアパレ　（　廃盤色の504番のみ　）在庫限り[rn]
16-132538,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img59291773.jpg?fitin=700:700,312.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　マスターシードコットン（グラデ）（　廃盤色　）在庫限り,上質コットン、マスターシードのグラデーションタイプ,重さ：30ｇ<br>糸長：106ｍ<br>太さ：棒針4～5号、かぎ針3/0～4/0号<br>素材：綿71％（マスターシード）、アクリル29%<br>その他：メリヤス編標準ゲージ25～27目/32～34段<br>婦人セーター　半袖約9玉、婦人ベスト　約7玉、紳士セーター半袖約12玉<br><br>優しい風合いでとても編みやすく、光沢のある美しい編地は様々なデザインに対応し、どんな作品も仕上がりに上品さを感じます。<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　マスターシードコットン（グラデ）（　廃盤色　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　マスターシードコットン（グラデ）（　廃盤色　）在庫限り,上質コットン、マスターシードのグラデーションタイプ。ダイヤ毛糸　　マスターシードコットン（グラデ）（　廃盤色　）在庫限り[rn]
16-132539,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/imgrc0066581059.jpg?fitin=700:700,598.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　パサージュ,ロンググラデーションにカラーネップ入りのツィード糸,重さ：30ｇ<br>糸長：102ｍ<br>太さ：棒針6～7号、かぎ針5/0～6/0号<br>素材：ウール　72%、モヘア　5％（キッドモヘア）、アクリル　14％、ナイロン　10％、ポリエステル　1％　<br>その他：メリヤス編標準ゲージ19～21目28～30段<br>婦人セーター　約10玉、婦人ベスト　約6玉、<br>紳士セーター　約13玉　<br>　<br>糸の特徴：ふっくらとしたグラデーション糸とカラフルネップのツィード糸を合わせ、さらに表面に細かい起毛糸を巻くことで、ナチュラル感と軽さ、ソフトな風合いを作っています。　<br>　全体を落ち着いた色調でまとめ、どんな場面にも着こなしやすい作品となります。<br>　<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　パサージュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　パサージュ,ロンググラデーションにカラーネップ入りのツィード糸。ダイヤ毛糸　　パサージュ[rn]
16-132540,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063556520.jpg?fitin=700:700,489.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）モヘアアルディMohair　Hardi,,"<font color=""#ff0000"" size=""4"">★★限定色のみ在庫処分★★</font><br><font color=""#2f4f4f"" size=""4"">ナチュラル素材のまろやかな光沢と、合成繊維ならではの<br>シャープな光沢をミックスさせたシンセティック(合成)な起毛糸。<br>特殊加工により毛が抜けにくく、かぎ針にも適した番手設定の超軽量素材。</font><br><font color=""#6a1917"" size=""4"">[素材]：毛60%、アクリル40% <br>　　　　　（毛はモヘヤ83%、ウール17%の割合で使用）<br>[重さ・長さ]：30g　約75m<br>[使用針]：棒針6～7号<br>　　　　　かぎ針6/0～7/0号<br>[標準ゲージ]：17目　24段 （棒針）<br>[使用糸量]：婦人プルオーバー9～10玉<br>　　　　　　婦人ベスト6～7玉</FONT><br><font color=""#ff0000"" size=""4"">ご注意</FONT><font color=""#191970"" size=""4"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため<br>在庫切れで販売できなくなる場合がございます。</FONT><br>",リッチモア毛糸（ハマナカ毛糸）モヘアアルディMohair　Hardi：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）モヘアアルディMohair　Hardi,リッチモア毛糸（ハマナカ毛糸）モヘアアルディMohair　Hardi[rn]
