16-66601,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616_003/img10445157558.jpg?fitin=700:700,792.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,ミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】,,"テフロンはとても滑りがよいため、ニット・合成皮革・
ゴム・ビニール・シート地など引っ掛かり易く
滑り難い生地を縫う場合、スムースに引きつれを
起こすことなく素晴らしい効果を発揮します。
テフロンが摩耗したらお買い替えください。<BR>
ミシンの押え金が斜めのものには使用できません。<br>",ミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】,ミシンのアタッチメントテフロン押え（直線用）【工業ミシン用】[rn]
16-66627,http://tshop.r10s.jp/ky-kanariya/cabinet/kokka/01584043/imgrc0068638250.jpg?fitin=700:700,800.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,パターン 型紙　2016　naniIRO　ナニイロ Kids French Sleeve one piece ＦＪＧ２５３５－１Ａキッズ フレンチスリーブワンピース サイズ８０、９０、１００ｃｍ 商用利用不可,パターン 型紙　2016　naniIRO　ナニイロ　キッズ ワンピース,"カジュアルにもお出かけにも使える<br>お子様のワンピースの新しい実物型紙ができました！<br>生地を変えてシーンに合わせて着ていただけます<br>80・90・100サイズの3サイズ展開<br>襟元の切り替えとひかえめなギャザーがポイントです<br>Kids　Frech Sleeve ome piece <br>80cm・90cm・100cmサイズ（子供）の実物大パターン付き<br><br>【セット内容】　<br>実物大型紙、説明書<br><br>【仕上がりサイズ】　<br>80cm<br>身丈→約48cm　バスト→約70cm<br>90cm<br>身丈→約52cm　バスト→約74cm<br>100cm<br>身丈→約56cm　バスト→約78cm<br><br>【ご用意頂くもの】　<br>材料<br>生地　80cm　106cm幅×110cm<br>　　　90cm　106cm幅×120cm<br>　　　100cm　　106cm幅×130cm<br>接着芯(薄芯)縦15cm×横10cm<br>11mm巾ボタン　１個<br>用具<BR>ミシン、ミシン糸、ミシン針、紙切りばさみ、裁ちばさみ、アイロン、糸切りばさみ、縫い針、マチ針、ルレット、メジャー、鉛筆、片面チャコペーパー、チャコペン、方眼定規、アイロン台<br>発売元：株式会社コッカ<br>生産国：日本製<br><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送可能。<br>注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。",パターン 型紙　2016　naniIRO　ナニイロ Kids French Sleeve one piece ＦＪＧ２５３５&minus;１Ａキッズ フレンチスリーブワンピース サイズ８０、９０、１００ｃｍ 商用利用不可：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパターン 型紙　2016　naniIRO　ナニイロ Kids French Sleeve one piece ＦＪＧ２５３５&minus;１Ａキッズ フレンチスリーブワンピース サイズ８０、９０、１００ｃｍ 商用利用不可,パターン 型紙　2016　naniIRO　ナニイロ　キッズ ワンピース。パターン 型紙　2016　naniIRO　ナニイロ Kids French Sleeve one piece ＦＪＧ２５３５&minus;１Ａキッズ フレンチスリーブワンピース サイズ８０、９０、１００ｃｍ 商用利用不可[rn]
16-66628,http://tshop.r10s.jp/ky-kanariya/cabinet/kokka/01584043/imgrc0064360406.jpg?fitin=700:700,800.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,パターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ チュニックワンピース ＦＪＧ２４９９－１ＡサイズＭ～Ｌ 商用利用不可,パターン 型紙 2015 naniIRO ナニイロ チュニックワンピース,"ｎａｎｉＩＲＯの型紙ができました！<br>待望の実物大オリジナル型紙は、ソーイング初心者にもおすすめです！<br>チュニックワンピース サイズＭ～Ｌ<br><br>【セット内容】　<br>実物大型紙、説明書<br><br>【仕上がりサイズ】　<br>着丈：約95cm、バスト：約134cm<br><br>【参考寸法】　<br>身長154～164cm、バスト79～94cm<br><br>【ご用意頂くもの】　<br>材料<br>生地　106cm幅×220cm<br>配色布　15cm×15cm<br><br>用具<br>ミシン、ミシン糸、紙切りばさみ、裁ちばさみ、糸切りばさみ、縫い針、マチ針、方眼定規、ルレット、メジャー、鉛筆、片面チャコペーパー、チャコペン<br>発売元：株式会社コッカ<br>生産国：日本製<br><br><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送可能。<br>注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>",パターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ チュニックワンピース ＦＪＧ２４９９&minus;１ＡサイズＭ～Ｌ 商用利用不可：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ チュニックワンピース ＦＪＧ２４９９&minus;１ＡサイズＭ～Ｌ 商用利用不可,パターン 型紙 2015 naniIRO ナニイロ チュニックワンピース 。パターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ チュニックワンピース ＦＪＧ２４９９&minus;１ＡサイズＭ～Ｌ 商用利用不可[rn]
16-66629,http://tshop.r10s.jp/ky-kanariya/cabinet/kokka/01584043/imgrc0064360410.jpg?fitin=700:700,800.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,パターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ Baby ロンパース甚平＆こども甚平 ＦＪＧ２５００－１Ａサイズ：Babyロンパース70cm　こども甚平80～100cm 商用利用不可,パターン 実物大型紙 naniIRO Babyロンパース甚平＆こども甚平,"ｎａｎｉＩＲＯの型紙ができました！<br>待望の実物大オリジナル型紙は、ソーイング初心者にもおすすめです！<br>Baby ロンパース甚平＆こども甚平 <br>サイズ：Babyロンパース70cm　こども甚平80～100cm <br><br>【セット内容】　<br>実物大型紙、説明書<br><br>【仕上がりサイズ】　<br>サイズ 70cm：身幅 約29cm、ヒップ回り －<br>サイズ 80cm：身幅 約36cm、ヒップ回り 約71cm<br>サイズ 90cm：身幅 約38cm、ヒップ回り 約75cm<br>サイズ100cm：身幅 約29cm、ヒップ回り 約79cm<br><br>【参考寸法】　<br>サイズ  70cm：身長  70cm、体重  9kg<br>サイズ  80cm：身長  80cm、体重 11kg<br>サイズ  90cm：身長  90cm、体重 13kg<br>サイズ 100cm：身長 100cm、体重 16kg<br><br>【ご用意頂くもの】　<br>材料<br>生地　102cm幅以上<br>　70cm:120cm、80cm:170cm、90cm:180cm、100cm:190cm<br>綾テープ12mm幅<br>　70cm: 58cm、80cm: 62cm、90cm: 64cm、100cm: 66cm<br>平ゴム15mm幅<br>　70cm: －　、80cm: 約38cm、90cm: 約42cm、100cm: 約46cm<br>スナップボタン9mm幅<br>　70cm: ５組<br>ソフトゴム６コール<br>　70cm: 約44cm<br>※ゴムの長さは目安です。<br><br>用具<br>ミシン、ミシン糸、紙切りばさみ、裁ちばさみ、糸切りばさみ、しつけ糸、縫い針、マチ針、方眼定規、ルレット、メジャー、鉛筆、両面チャコペーパー、片面チャコペーパー<br>発売元：株式会社コッカ<br>生産国：日本製<br><br><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送可能。<br>注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。",パターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ Baby ロンパース甚平＆こども甚平 ＦＪＧ２５００&minus;１Ａサイズ：Babyロンパース70cm　こども甚平80～100cm 商用利用不可：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ Baby ロンパース甚平＆こども甚平 ＦＪＧ２５００&minus;１Ａサイズ：Babyロンパース70cm　こども甚平80～100cm 商用利用不可,パターン 実物大型紙 naniIRO Babyロンパース甚平＆こども甚平。パターン 型紙 2015 ｎａｎｉＩＲＯ ナニイロ Baby ロンパース甚平＆こども甚平 ＦＪＧ２５００&minus;１Ａサイズ：Babyロンパース70cm　こども甚平80～100cm 商用利用不可[rn]
16-66630,http://tshop.r10s.jp/ky-kanariya/cabinet/01938048/img62137883.jpg?fitin=700:700,120.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,河口　なまえペン　極細　黒　  品番１１－１５４,なまえ書き用ペン,なまえ書き用ペン。鮮明に書け、水や汗にもにじまない油性ペンです。ネームテープやゼッケンの名入れに最適な一本です。《用途》●衣類、ビニール、革、プラスチック、金属、木製品、紙への記入に。●ネームテープへの記入は、きれいに書けます。●学用品の名前書きなどに。,河口　なまえペン　極細　黒　  品番１１&minus;１５４：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン河口　なまえペン　極細　黒　  品番１１&minus;１５４,なまえ書き用ペン。河口　なまえペン　極細　黒　  品番１１&minus;１５４[rn]
16-66631,http://tshop.r10s.jp/ky-kanariya/cabinet/01938048/img62137692.jpg?fitin=700:700,160.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,河口　なまえペン　太字　黒　 品番１１－１５９,名前書き用・ゼッケン用ペン,なまえ書き用・ゼッケン用ペン。鮮明に書け、水や汗にもにじまない油性ペンです。ネームテープやゼッケンの名入れに最適な一本です。《用途》●衣類、ビニール、革、プラスチック、金属、木製品、紙への記入に。●ネームテープへの記入は、きれいに書けます。●学用品の名前書きなどに。,河口　なまえペン　太字　黒　 品番１１&minus;１５９：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン河口　なまえペン　太字　黒　 品番１１&minus;１５９,名前書き用・ゼッケン用ペン。河口　なまえペン　太字　黒　 品番１１&minus;１５９[rn]
16-66632,http://tshop.r10s.jp/ky-kanariya/cabinet/01938048/img62135209.jpg?fitin=700:700,120.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,河口　なまえペン　細字　黒　  品番１１－１５８,なまえ書き用ペン,なまえ書き用ペン。鮮明に書け、水や汗にもにじまない油性ペンです。ネームテープやゼッケンの名入れに最適な一本です。《用途》●衣類、ビニール、革、プラスチック、金属、木製品、紙への記入に。●ネームテープへの記入は、きれいに書けます。●学用品の名前書きなどに。,河口　なまえペン　細字　黒　  品番１１&minus;１５８：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン河口　なまえペン　細字　黒　  品番１１&minus;１５８,なまえ書き用ペン。河口　なまえペン　細字　黒　  品番１１&minus;１５８[rn]
16-66633,http://tshop.r10s.jp/ky-kanariya/cabinet/kokka/01584043/img59666367.jpg?fitin=700:700,720.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,パターン型紙　2013　ｎａｎｉＩＲＯ　ナニイロ　スモックワンピース　ＪＧＫ２３９２－１Ａ 商用利用不可,パターン型紙　2013　naniIRO　ナニイロ　スモックワンピース,"ｎａｎｉＩＲＯの型紙ができました！<br>待望の実物大オリジナル型紙は、ソーイング初心者にもおすすめです！<br>スモックワンピース　サイズＭ～Ｌ<br><br>【セット内容】　<br>実物大型紙、説明書<br><br>【仕上がりサイズ】　<br>着丈：約１００ｃｍ、身幅：約８７ｃｍ<br>【ヌード寸法】　<br>バスト：７９ｃｍ～９４ｃｍ<br><br>【ご用意頂くもの】　<br>材料<br>生地　１０６ｃｍ幅×　２６０ｃｍ<br>１１ｍｍ巾ボタン　１個<br>用具<BR>ミシン、ミシン糸、紙切りばさみ、裁ちばさみ、糸切りばさみ、縫い針、マチ針、直角定規、ルレット、メジャー、鉛筆、両面チャコペーパー<br>発売元：株式会社コッカ<br><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送可能。<br>注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。",パターン型紙　2013　ｎａｎｉＩＲＯ　ナニイロ　スモックワンピース　ＪＧＫ２３９２&minus;１Ａ 商用利用不可：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパターン型紙　2013　ｎａｎｉＩＲＯ　ナニイロ　スモックワンピース　ＪＧＫ２３９２&minus;１Ａ 商用利用不可,パターン型紙　2013　naniIRO　ナニイロ　スモックワンピース。パターン型紙　2013　ｎａｎｉＩＲＯ　ナニイロ　スモックワンピース　ＪＧＫ２３９２&minus;１Ａ 商用利用不可[rn]
16-66634,http://tshop.r10s.jp/ky-kanariya/cabinet/kokka/01584043/img61700104.jpg?fitin=700:700,560.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,パターン型紙　2014　ｎａｎｉＩＲＯ　ナニイロ　スリムパンツ　ＦＪＧ２４３９－１ＡサイズＭ＋Ｌ 商用利用不可,パターン型紙　2014　naniIRO　ナニイロ　スリムパンツ,"ｎａｎｉＩＲＯの型紙ができました！<br>待望の実物大オリジナル型紙は、ソーイング初心者にもおすすめです！<br>スリムパンツ　サイズＭ＋Ｌ<br><br>【セット内容】　<br>実物大型紙、説明書<br><br>【仕上がりサイズ】　<br>Ｍサイズ<br>丈：88.4cm、ウエスト：95.5cm、ヒップ：96.2cm<br>Ｌサイズ<br>丈：90.4cm、ウエスト：101.5cm、ヒップ：102.2cm<br><br>【ヌード寸法】　<br>Ｍサイズ<br>身長154～162cm、ウエスト64～68cm、ヒップ88～91cm<br>Ｌサイズ<br>身長154～162cm、ウエスト68～72cm、ヒップ91～94cm<br><br>【ご用意頂くもの】　<br>材料<br>生地　(ＭＬ共通)　106cm幅×220cm<br>2cm幅平ゴム　Ｍサイズ：38cm、Ｌサイズ：42cm<br>用具<BR>ミシン、ミシン糸、紙切りばさみ、裁ちばさみ、アイロン、糸切りばさみ、縫い針、マチ針、直角定規、ルレット、メジャー、鉛筆、両面チャコペーパー、チャコペン、しつけ糸<br>発売元：株式会社コッカ<br><FONT color=""#ff0000"">ご注意</FONT>：　クロネコＤＭ便発送可能。<br>注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>",パターン型紙　2014　ｎａｎｉＩＲＯ　ナニイロ　スリムパンツ　ＦＪＧ２４３９&minus;１ＡサイズＭ＋Ｌ 商用利用不可：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパターン型紙　2014　ｎａｎｉＩＲＯ　ナニイロ　スリムパンツ　ＦＪＧ２４３９&minus;１ＡサイズＭ＋Ｌ 商用利用不可,パターン型紙　2014　naniIRO　ナニイロ　スリムパンツ。パターン型紙　2014　ｎａｎｉＩＲＯ　ナニイロ　スリムパンツ　ＦＪＧ２４３９&minus;１ＡサイズＭ＋Ｌ 商用利用不可[rn]
16-66635,http://tshop.r10s.jp/ky-kanariya/cabinet/02153211/img58120872.jpg?fitin=700:700,201.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,クロバーソーメニュゴムカタン　＃４０/２０ｍ巻,　　　　　　　　　　　　　　　　　,ボビンに巻いて下糸とし、上糸に５０～３０番のミシン糸を使って使用します。<br>ミシンを使って簡単にシャーリング。ニットの伸び止めなど、いろいろな用途に。　　　　　　　　<br>使用方法　　　　　　　　　　　　　　　　　<br>１．ゴムカタンをボビンに巻いて、下糸にします。その時、強く引っ張らないようにします。　　<br>２.上糸にはミシン糸を使用し、大きめの針目でミシンをかけます。シャーリングの調節はボビンケースの下糸調整ネジで行います。ボビンケースがないミシンでは上糸をややゆるめにします。　　　　　　　　<br>*ラテックスアレルギーなど、体質に合わないことがありますので、ご注意下さい。　　　　　　　　<br>パツケージサイズ　　５５×１２５×２０ｍｍ<br>                                          <br>発売元 ： クロバー株式会社<br>ご注意　：　モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,クロバーソーメニュゴムカタン　＃４０/２０ｍ巻：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンクロバーソーメニュゴムカタン　＃４０/２０ｍ巻,　　　　　　　　　　　　　　　　　。クロバーソーメニュゴムカタン　＃４０/２０ｍ巻[rn]
16-66636,http://tshop.r10s.jp/ky-kanariya/cabinet/01880578/img57379118.jpg?fitin=700:700,144.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,金天馬すそあげテープ　２３ｍｍ巾　１．２ｍ巻　ＫＷ００４９０～００５０６,すそあげテープ　ズボンやスカートのすそあげに,"アイロンだけでズボンやスカートのすそあげが簡単に出来上ります。<br>厚地・薄地を選ばない万能タイプ、さまざまな衣料にお使いいただけます。<br>ご使用方法 ： 1.接着させるサイズよりも2～3cmテープを長く切ります。<br>2.カットしたテープを水につけて軽くしぼり、接着面(白い面)を下にして置きます。<br>3.アイロン台を使い約20秒間体重をかけ、動かさずにテープの端から順にプレスします。<br>(アイロンは中温にします。)<br>4.プレス後はしっかり接着させる為、布地が冷えるまで動かさないよう注意します。<br>※低温表示のある生地は使用しなしでください。<br>※生地によっては風合いをそこねたり、接着面から接着剤のしみが出ることもありますので端切れなどで試してからご使用ください。<br>材質 ： ポリエステル80%　ナイロン20%<br>サイズ ： 23mm巾　1.2mｍ巻<br>発売元 ： 川村製紐工業株式会社<br><br><FONT color=""#ff0000"">ご注意</FONT>：<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>",金天馬すそあげテープ　２３ｍｍ巾　１．２ｍ巻　ＫＷ００４９０～００５０６：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン金天馬すそあげテープ　２３ｍｍ巾　１．２ｍ巻　ＫＷ００４９０～００５０６,すそあげテープ　ズボンやスカートのすそあげに。金天馬すそあげテープ　２３ｍｍ巾　１．２ｍ巻　ＫＷ００４９０～００５０６[rn]
16-66637,http://tshop.r10s.jp/ky-kanariya/cabinet/01880578/img57371283.jpg?fitin=700:700,129.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,金天馬伸び止めテープ　９ｍｍ巾　ＫＷ０８０１１　旧品番ＫＡ８１０９,伸び止めテープ　綾テープ　衣類の伸び止めに、エプロンの紐にも,"伸び止めテープ<br>スパンレーヨンを使用し綾織にしていますので肌に優しく、耐候性に優れています。<br>袖山、身頃、肩など衣類の伸び止め用に、又、カーテンやニット地の伸び止めに、エプロンの紐としてもお使いいただけます。<br>その他特性を生かして色々な用途にお使い下さい。<br>材質 ： スパンレーヨン１００％<br>サイズ ： ９ｍｍ巾　５ｍ巻<br>発売元 ： 川村製紐工業株式会社<br><br><FONT color=""#ff0000"">ご注意</FONT>：<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br><br><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>",金天馬伸び止めテープ　９ｍｍ巾　ＫＷ０８０１１　旧品番ＫＡ８１０９：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン金天馬伸び止めテープ　９ｍｍ巾　ＫＷ０８０１１　旧品番ＫＡ８１０９,伸び止めテープ　綾テープ　衣類の伸び止めに、エプロンの紐にも。金天馬伸び止めテープ　９ｍｍ巾　ＫＷ０８０１１　旧品番ＫＡ８１０９[rn]
16-66638,http://tshop.r10s.jp/ky-kanariya/cabinet/01880578/img57371283.jpg?fitin=700:700,144.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,金天馬伸び止めテープ　１２ｍｍ巾　ＫＷ０８００１　旧品番ＫＡ８１１０,伸び止めテープ　綾テープ　衣類の伸び止めに、エプロンの紐にも,"伸び止めテープ<br>スパンレーヨンを使用し綾織にしていますので肌に優しく、耐候性に優れています。<br>袖山、身頃、肩など衣類の伸び止め用に、又、カーテンやニット地の伸び止めに、エプロンの紐としてもお使いいただけます。<br>その他特性を生かして色々な用途にお使い下さい。<br>材質 ： スパンレーヨン１００％<br>サイズ ： １２ｍｍ巾　５ｍ巻<br>発売元 ： 川村製紐工業株式会社<br><br><FONT color=""#ff0000"">ご注意</FONT>：<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br><br><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>",金天馬伸び止めテープ　１２ｍｍ巾　ＫＷ０８００１　旧品番ＫＡ８１１０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン金天馬伸び止めテープ　１２ｍｍ巾　ＫＷ０８００１　旧品番ＫＡ８１１０,伸び止めテープ　綾テープ　衣類の伸び止めに、エプロンの紐にも。金天馬伸び止めテープ　１２ｍｍ巾　ＫＷ０８００１　旧品番ＫＡ８１１０[rn]
16-66639,http://tshop.r10s.jp/ky-kanariya/cabinet/01880578/img57371283.jpg?fitin=700:700,158.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,金天馬伸び止めテープ　１５ｍｍ巾　ＫＷ０８１０１ＫＡ８１１１,伸び止めテープ　綾テープ　衣類の伸び止めに、エプロンの紐にも,"伸び止めテープ<br>スパンレーヨンを使用し綾織にしていますので肌に優しく、耐候性に優れています。<br>袖山、身頃、肩など衣類の伸び止め用に、又、カーテンやニット地の伸び止めに、エプロンの紐としてもお使いいただけます。<br>その他特性を生かして色々な用途にお使い下さい。<br>材質 ： スパンレーヨン１００％<br>サイズ ： １５ｍｍ巾　５ｍ巻<br>発売元 ： 川村製紐工業株式会社<br><br><FONT color=""#ff0000"">ご注意</FONT>：<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br><br><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>",金天馬伸び止めテープ　１５ｍｍ巾　ＫＷ０８１０１ＫＡ８１１１：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン金天馬伸び止めテープ　１５ｍｍ巾　ＫＷ０８１０１ＫＡ８１１１,伸び止めテープ　綾テープ　衣類の伸び止めに、エプロンの紐にも。金天馬伸び止めテープ　１５ｍｍ巾　ＫＷ０８１０１ＫＡ８１１１[rn]
