16-99701,http://tshop.r10s.jp/voice/cabinet/hb33160.jpg?fitin=700:700,1378.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス ローズ,　,"手書きの手紙の醍醐味、封ろうに使うワックス。
<br>色バリエーション豊かな４本セット
<br>（約40押し分）。長さ約8cm",ＨＥＲＢＩＮ シーリングワックス ローズ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス ローズ,　。ＨＥＲＢＩＮ シーリングワックス ローズ[rn]
16-99712,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-2l-04_1.jpg?fitin=700:700,1382.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ハート＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦127×横85×高さ67mm<br>
抜き型のサイズ　縦41×横48mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ハート＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ハート＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ハート＞[rn]
16-99713,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-3l-03_1.jpg?fitin=700:700,1641.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　３L（本体若草色）　＜ハート＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦132×横95×高さ77mm<br>
抜き型のサイズ　縦51×横61mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　３L（本体若草色）　＜ハート＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　３L（本体若草色）　＜ハート＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　３L（本体若草色）　＜ハート＞[rn]
16-99714,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-4l-02_1.jpg?fitin=700:700,1982.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　４L（本体ピンク）　＜プライスタグ＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦152×横110×高さ85mm<br>
抜き型のサイズ　縦67×横45mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　４L（本体ピンク）　＜プライスタグ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　４L（本体ピンク）　＜プライスタグ＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　４L（本体ピンク）　＜プライスタグ＞[rn]
16-99715,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-2l-06_1.jpg?fitin=700:700,1382.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜クラウン（王冠）＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦127×横85×高さ67mm<br>
抜き型のサイズ　縦30×横45mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜クラウン（王冠）＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜クラウン（王冠）＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜クラウン（王冠）＞[rn]
16-99716,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-2l-05_1.jpg?fitin=700:700,1382.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ポストスタンプ＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦127×横85×高さ67mm<br>
抜き型のサイズ　縦横36mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ポストスタンプ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ポストスタンプ＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜ポストスタンプ＞[rn]
16-99717,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-2l-01_1.jpg?fitin=700:700,1382.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜２インチサークル＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦127×横85×高さ67mm<br>
抜き型のサイズ　直径51mm（2インチ）<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜２インチサークル＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜２インチサークル＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　２L（本体ラベンダー）　＜２インチサークル＞[rn]
16-99718,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-4l-03_1.jpg?fitin=700:700,1982.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　４L（本体ピンク）　＜ハート＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦152×横110×高さ85mm<br>
抜き型のサイズ　縦65×横73mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　４L（本体ピンク）　＜ハート＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　４L（本体ピンク）　＜ハート＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　４L（本体ピンク）　＜ハート＞[rn]
16-99719,http://tshop.r10s.jp/voice/cabinet/carlpunch/pas-4l-05_1.jpg?fitin=700:700,1982.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　パンチャー　４L（本体ピンク）　＜マルチタグ＞,スクラップブッキングやオリジナルスタンプのアレンジに　,"スクラップブッキングやカードメイキングに。<br>
コピー用紙2枚程度の紙をパンチするのに適しています。<br>
それ以外の厚さの紙や、シール用紙などには<br>
不向きの場合がありますのでご了承ください。<br><br>
紙をはさんで、真上からレバーを押すタイプ。<br>
大きなレバーは、両手で力を入れやすく、<br>
タグ作りにも最適です。<br>
本体サイズ　縦152×横110×高さ85mm<br>
抜き型のサイズ　大　縦65×横31mm<br>
　　　　　　　　中　縦39×横24mm<br>
　　　　　　　　小　縦23×横14mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
お届けは宅配便で承ります。<br>",クラフトパンチ　パンチャー　４L（本体ピンク）　＜マルチタグ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　パンチャー　４L（本体ピンク）　＜マルチタグ＞,スクラップブッキングやオリジナルスタンプのアレンジに　。クラフトパンチ　パンチャー　４L（本体ピンク）　＜マルチタグ＞[rn]
16-99720,http://tshop.r10s.jp/voice/cabinet/bungu5/d-1000.jpg?fitin=700:700,688.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,NTデザインナイフリバーシブル　スクラップブッキングに最適！,　,"細かな部分の切り抜き用デザインナイフ<br>
<br>
カッターのほか、インレタ（ラブオン）こすりと<br>
ステンレスニードルがついているのでとても便利！<br>
ゴムグリップで握りやすく、<br>
本体は上部なアルミ製<br>
刃は４５°タイプ、３０°タイプが各５枚付属<br>
使わないときは刃を本体ホルダー側に収納可能なので安全です<br>
サイズ（刃収納時）：146×13mm<br><br>
スクラップブッキングや、消しゴムはんこに大活躍！<br>
<font color=""red"">
メール便ではお届けできません<br>
宅配便でのみお届けいたしますので、ご了承ください</font>",NTデザインナイフリバーシブル　スクラップブッキングに最適！：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨NTデザインナイフリバーシブル　スクラップブッキングに最適！,　。NTデザインナイフリバーシブル　スクラップブッキングに最適！[rn]
16-99721,http://tshop.r10s.jp/voice/cabinet/stamp/vk-k1.jpg?fitin=700:700,435.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,たっぷり使える！　バーサクラフトL単色　布用スタンプインク　VersaCraft　こまけいこセレクション【Ｌサイズ】　ツキネコ　＜メール便指定ＯＫ＞,　Ｌサイズが新登場！,"消しゴムはんこ作家　こまけいこさんがセレクトしたスタンプインク<br>
ご要望が多かった『Ｌサイズ』が入荷しました。<br>
全１２色。カラーをお選びください<BR>
布にスタンプしたあとアイロンをかけるか、<br>
エンボスヒーターで15秒以上加熱すれば<br>
定着がよくなります。<br>
布だけでなく、紙にも使えますので、<br>
スクラップブッキングやカード作りにもどうぞ<br>
<br>
本体サイズ：W96×D63××H20<br>
盤面サイズ：W76×47<BR>
ホルムアルデヒドは使用しておりません。<BR>",たっぷり使える！　バーサクラフトL単色　布用スタンプインク　VersaCraft　こまけいこセレクション【Ｌサイズ】　ツキネコ　＜メール便指定ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨たっぷり使える！　バーサクラフトL単色　布用スタンプインク　VersaCraft　こまけいこセレクション【Ｌサイズ】　ツキネコ　＜メール便指定ＯＫ＞,　Ｌサイズが新登場！。たっぷり使える！　バーサクラフトL単色　布用スタンプインク　VersaCraft　こまけいこセレクション【Ｌサイズ】　ツキネコ　＜メール便指定ＯＫ＞[rn]
