16-27601,,660.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●トップランナー制度対応、2017年度省エネ法目標基準達成のLED電球です。<br>
●口金サイズがE26口金なので、照明器具を替えることなくご使用いただけます。<br>
●密閉形器具にもご使用可能です。<br>
●長寿命約40000時間でランプ交換の手間が少ないLED電球です。<br>
●明るさ(lm):485<br>
●外径(mm):58<br>
●全長(mm):107<br>
●定格寿命(時間):40000<br>
●消費電力(W):4.9<br>
●標準消費電力料金:0.13円/h<br>
●口金:E26<br>
●相当電球(W形):40<br>
●配光角度:120度<br>
●光源色:電球色<br>
●光源色:電球色相当<br>
●電源:AC100V(50/60Hz)<br>
●配光角度:120度<br>
●定格寿命：40001時間<br>
●アルミ、ポリカーボネート、PBT",■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1[rn]
16-27612,,23328.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ジェフコム/デンサン 電設工具【DLC-AP60M】(8275551) デンサン アルミポール 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●別売りキャッチヘッドと組み合わせることで、高所のランプ交換が可能です。<br>
●ふみ台や脚立を使わず、床に立ったまま安全に高所作業ができます。<br>
●作業しやすい長さを微調節できる「フリーストップ構造」です。<br>
●先端部品を替えることで、ランプ交換以外にも高所クリーニング、計測器の支持等ができます。<br>
●高天井の照明器具のランプを交換する際に便利です。<br>
●ポールとキャッチヘッドを組み合わせることで様々な電球に対応できます。<br>
●全長(m):1.9～6.0<br>
●段数：4 段<br>
●ポール最大径：φ53mm",■〒ジェフコム/デンサン 電設工具【DLC-AP60M】(8275551) デンサン アルミポール 発注単位1：クローバー資材館,■〒ジェフコム/デンサン 電設工具【DLC-AP60M】(8275551) デンサン アルミポール 発注単位1,工事用品\作業灯・照明用品。■〒ジェフコム/デンサン 電設工具【DLC-AP60M】(8275551) デンサン アルミポール 発注単位1[rn]
16-27613,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003004924.jpg?fitin=700:700,453.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　耐震ハロゲン球５００Ｗ【H500W-S】(3355608) 受注単位1,工事用品\作業灯・照明用品\投光器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●日動ハロゲンライト用の交換球です。",『カード対応OK！』■〒日動工業/日動　耐震ハロゲン球５００Ｗ【H500W-S】(3355608) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　耐震ハロゲン球５００Ｗ【H500W-S】(3355608) 受注単位1,工事用品\作業灯・照明用品\投光器。『カード対応OK！』■〒日動工業/日動　耐震ハロゲン球５００Ｗ【H500W-S】(3355608) 受注単位1[rn]
16-27614,,11140.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フェニックス電機（株）/ＰＨＯＥＮＩＸ【LDR100/200V14D-H-E26/12-M】(4858549)屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ 受注単位1,工事用品\作業灯・照明用品\電球,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ランプ交換のみでの省エネが可能です。<br>●従来の水銀灯に比べ電源投入後すぐに明るく点灯します。<br>●建築現場や工事現場での投光器照明、看板照明<br>●全光束(lm):1400<br>●消費電力(W):14<br>●標準消費電力料金:0.38円/h<br>●口金:E26<br>●外径(mm):121<br>●全長(mm):155<br>●明るさ(lm):1400<br>●電源(V):100/200<br>●質量(g):520<br>●光源色:昼光色<br>●防水仕様（IPX4レベル）<br>●配光角度:110度<br>●電源：100/200V<br>●筐体：アルミ<br>●フロントカバー：アクリル樹脂<br>",『カード対応OK！』■〒フェニックス電機（株）/ＰＨＯＥＮＩＸ【LDR100/200V14D-H-E26/12-M】(4858549)屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ 受注単位1：クローバー資材館,『カード対応OK！』■〒フェニックス電機（株）/ＰＨＯＥＮＩＸ【LDR100/200V14D-H-E26/12-M】(4858549)屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ 受注単位1,工事用品\作業灯・照明用品\電球。『カード対応OK！』■〒フェニックス電機（株）/ＰＨＯＥＮＩＸ【LDR100/200V14D-H-E26/12-M】(4858549)屋外レフ電球・レフ型バラストレス水銀灯替ＬＥＤランプ 受注単位1[rn]
16-27615,,3326.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シームーン/ＮｉｔｅＩｚｅ【NI03107】(7581815) Ｎｅｗイノーバ　ＸＳ　フラッシュライト　ブラック 受注単位1,工事用品\作業灯・照明用品\懐中電灯,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●航空機に使用される高密度アルミニウムを本体に採用してます。<br>●コンパクトなボディに頑丈さと軽量化を両立した小型のハンディライトです。<br>●エスビナー付です。<br><br><br>●外径(mm)：15<br>●全長(mm)：73<br>●明るさ(lm)：80<br>●色：ブラック<br>●照射距離(m)：59<br>●質量(g)：31<br>●全光束（lm）：80<br><br>●連続照射時間：29時間<br>●照射距離：59m<br>●電池：単4アルカリ電池1個（付属）<br><br>●高密度アルミニウム<br>",『カード対応OK！』■〒シームーン/ＮｉｔｅＩｚｅ【NI03107】(7581815) Ｎｅｗイノーバ　ＸＳ　フラッシュライト　ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒シームーン/ＮｉｔｅＩｚｅ【NI03107】(7581815) Ｎｅｗイノーバ　ＸＳ　フラッシュライト　ブラック 受注単位1,工事用品\作業灯・照明用品\懐中電灯。『カード対応OK！』■〒シームーン/ＮｉｔｅＩｚｅ【NI03107】(7581815) Ｎｅｗイノーバ　ＸＳ　フラッシュライト　ブラック 受注単位1[rn]
16-27616,,68796.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ティーネットジャパン/ネオビーナス 照明器具【NV700EVW-S60C】(8192727) ネオビーナス 700省エネタイプ(Ｅ) ソケット型 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●安心の日本製です。<br>
●-40℃～+60℃と広い使用環境温度です。<br>
●レンズ選択で自由な照明設計ができます。<br>
●日亜化学工業（株）製LEDチップを採用しています。<br>
●超軽量化を実現（マグネシウム合金採用）しました。<br>
●高効率専用電源（日本製）を採用しております。<br>
●屋内の照明にお使い頂けます。<br>
●屋内の照明にお使い頂けます。<br>
●明るさ(lm):17000<br>
●消費電力(W):142W(AC200V)/145W(AC100V)<br>
●標準消費電力料金:2.27円/h<br>
●電源(V):AC100～254<br>
●配光角度(度):60<br>
●幅(mm):340<br>
●高さ(mm):300<br>
●相当水銀灯(W形):700<br>
●外径(mm):340<br>
●全長(mm):300<br>
●口金:E39<br>
●長さ(mm):340<br>
●タイプ:ソケット型<br>
●配光角度:60<br>
●演色性:Ra70<br>
●定格寿命(時間):60000h(55℃)/50000h(60℃)<br>
●光源色:白色<br>
●相当W数:HF700<br>
●定格電圧(V):AC100～254<br>
●電圧(V):AC100～254<br>
●相当水銀灯(W形):700W形<br>
●全光束(lm):17000<br>
●光源色:白色(5000K)<br>
●電源周波数：50/60Hz<br>
●電源別<br>
●口金:E39<br>
●定格電圧：AC100V～AC254V（許容範囲AC90V～AC279V）<br>
●筐体：マグネシウム合金<br>
●取り付けには別途工事が必要です。",■〒ティーネットジャパン/ネオビーナス 照明器具【NV700EVW-S60C】(8192727) ネオビーナス 700省エネタイプ(Ｅ) ソケット型 発注単位1：クローバー資材館,■〒ティーネットジャパン/ネオビーナス 照明器具【NV700EVW-S60C】(8192727) ネオビーナス 700省エネタイプ(Ｅ) ソケット型 発注単位1,工事用品\作業灯・照明用品。■〒ティーネットジャパン/ネオビーナス 照明器具【NV700EVW-S60C】(8192727) ネオビーナス 700省エネタイプ(Ｅ) ソケット型 発注単位1[rn]
16-27617,,3182.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【LDA7N-G-D-V1】(7633734) ＥＣＯＨｉＬＵＸ　ＬＥＤ電球　広配光　調光　昼白色　６００ｌｍ 受注単位1,工事用品\作業灯・照明用品\電球,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般白熱球と同じ大きさなので照明器具がそのまま使えます。<br><br><br>●明るさ(lm)：600<br>●外径(mm)：55<br>●全長(mm)：98<br>●消費電力(W)：7.0<br>●標準消費電力料金：0.19円/h<br>●口金：E26<br>●相当電球(W形)：40<br>●定格寿命(時間)：40000<br>●光源色：昼白色<br>●質量(g)：85<br>●全光束(lm)：600<br><br>●光源色：昼白色相当<br>●電源：AC100V(50/60Hz)<br>●配光角度：225度<br>●定格寿命：40000時間<br><br>●PBT、ポリカーボネート<br>",『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【LDA7N-G-D-V1】(7633734) ＥＣＯＨｉＬＵＸ　ＬＥＤ電球　広配光　調光　昼白色　６００ｌｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【LDA7N-G-D-V1】(7633734) ＥＣＯＨｉＬＵＸ　ＬＥＤ電球　広配光　調光　昼白色　６００ｌｍ 受注単位1,工事用品\作業灯・照明用品\電球。『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【LDA7N-G-D-V1】(7633734) ＥＣＯＨｉＬＵＸ　ＬＥＤ電球　広配光　調光　昼白色　６００ｌｍ 受注単位1[rn]
16-27618,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790380.jpg?fitin=700:700,2740.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミＬＥＤライト　０．５Ｗ　ＬＥＤ１球　３０Ｘ１０４【TAL-8053A】(3292681) 受注単位1,(3292681),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●明るさ2段階（強、弱）、点滅機能付です。<br>●集光レンズで、光のロスを最小限に抑えます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミＬＥＤライト　０．５Ｗ　ＬＥＤ１球　３０Ｘ１０４【TAL-8053A】(3292681) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミＬＥＤライト　０．５Ｗ　ＬＥＤ１球　３０Ｘ１０４【TAL-8053A】(3292681) 受注単位1,(3292681)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミＬＥＤライト　０．５Ｗ　ＬＥＤ１球　３０Ｘ１０４【TAL-8053A】(3292681) 受注単位1[rn]
16-27619,,48195.2000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDRSP122N-120BS】(8278805) ＩＲＩＳ ＬＥＤ投光器122Ｗ 水銀灯400Ｗ代替 ビーム角120° 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●看板照明、屋外の売り場スペースなどに最適です。(屋内・屋外兼用)<br>
●設計寿命60000時間と長寿命なLED投光機です。<br>
●明るさ(lm):16000<br>
●消費電力(W):122<br>
●標準消費電力料金:3.3円/ｈ<br>
●本体寸法(mm)幅×奥行×高さ:240×289×300<br>
●定格寿命(時間):60000<br>
●高さ(mm):300<br>
●幅(mm):240<br>
●奥行(mm):289<br>
●定格電圧:100～242V<br>
●電源外付け<br>
●防塵・防湿性能:ＩＰ55<br>
●質量(kg)：本体:4.6電源:1.85<br>
●光源色:昼白色相当<br>
●演色性:70<br>
●定格寿命:60000時間<br>
●動作環境温度:-40℃～40℃<br>
●配光角度:120度<br>
●電圧:100～242V<br>
●取り付けには別途工事が必要です。",###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDRSP122N-120BS】(8278805) ＩＲＩＳ ＬＥＤ投光器122Ｗ 水銀灯400Ｗ代替 ビーム角120&deg; 発注単位1：クローバー資材館,###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDRSP122N-120BS】(8278805) ＩＲＩＳ ＬＥＤ投光器122Ｗ 水銀灯400Ｗ代替 ビーム角120&deg; 発注単位1,工事用品\作業灯・照明用品。###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDRSP122N-120BS】(8278805) ＩＲＩＳ ＬＥＤ投光器122Ｗ 水銀灯400Ｗ代替 ビーム角120&deg; 発注単位1[rn]
16-27620,,2789.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ジェフコム/デンサン【DLC-CH17】(4961129) キャッチヘッド 受注単位1,工事用品\作業灯・照明用品\電球,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●レフランプ（100Wタイプ）専用ランプチェンジャー用キャッチヘッドです。<br>●レフランプ（100Wタイプ）専用ランプチェンジャー用キャッチヘッドです。<br>●レフランプ（100Wタイプ）交換用です。<br><br>●別売のランプチェンジャー・ポールにとりつけてランプ交換できるキャッチヘッドです。<br><br>●適合ランプ：レフランプ（100形）<br>●適合ランプバルブ径：φ80mm<br>●質量(g)：130<br><br><br>",『カード対応OK！』■〒ジェフコム/デンサン【DLC-CH17】(4961129) キャッチヘッド 受注単位1：クローバー資材館,『カード対応OK！』■〒ジェフコム/デンサン【DLC-CH17】(4961129) キャッチヘッド 受注単位1,工事用品\作業灯・照明用品\電球。『カード対応OK！』■〒ジェフコム/デンサン【DLC-CH17】(4961129) キャッチヘッド 受注単位1[rn]
16-27621,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790411.jpg?fitin=700:700,2650.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＬＥＤクリップライト　（ＬＥＤ１球・強力タイプ）【TLC-2711L】(2828774) 受注単位1,(2828774),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ベルトなどに装着しハンドフリーでさまざまな作業ができます。<br>●フレキシブルワイヤが320mmと長いので照明方向、角度は自由自在です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＬＥＤクリップライト　（ＬＥＤ１球・強力タイプ）【TLC-2711L】(2828774) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＬＥＤクリップライト　（ＬＥＤ１球・強力タイプ）【TLC-2711L】(2828774) 受注単位1,(2828774)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＬＥＤクリップライト　（ＬＥＤ１球・強力タイプ）【TLC-2711L】(2828774) 受注単位1[rn]
16-27622,,944.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【2420350000】(7589352) マイティライト　２４３０　　替球 受注単位1,工事用品\作業灯・照明用品\懐中電灯,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ペリカンキセノン球タイプの懐中電灯の替球です。<br><br><br>●適合機種：2430<br><br><br>",『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【2420350000】(7589352) マイティライト　２４３０　　替球 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【2420350000】(7589352) マイティライト　２４３０　　替球 受注単位1,工事用品\作業灯・照明用品\懐中電灯。『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【2420350000】(7589352) マイティライト　２４３０　　替球 受注単位1[rn]
16-27623,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005448085.jpg?fitin=700:700,2188.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　小型クリップライト【KLFG-95】(4143922) 受注単位1,(4143922),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●クリップ付でポケット・バッグなどにしっかり固定できます。<br>●3色カラーレンズ付です。<br>●付属のナイロンバックでライト＆レンズの携帯も便利です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　小型クリップライト【KLFG-95】(4143922) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　小型クリップライト【KLFG-95】(4143922) 受注単位1,(4143922)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　小型クリップライト【KLFG-95】(4143922) 受注単位1[rn]
16-27624,,2268.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【3320350000】(7589441) ＰＭ６－３３２０　ライト　替球 受注単位1,工事用品\作業灯・照明用品\懐中電灯,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ペリカンキセノン球タイプの懐中電灯の替球です。<br><br><br>●適合機種：PM63320<br><br><br>",『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【3320350000】(7589441) ＰＭ６&minus;３３２０　ライト　替球 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【3320350000】(7589441) ＰＭ６&minus;３３２０　ライト　替球 受注単位1,工事用品\作業灯・照明用品\懐中電灯。『カード対応OK！』■〒ＰＥＬＩＣＡＮ　ＰＲＯＤＵＣＴＳ社/ＰＥＬＩＣＡＮ【3320350000】(7589441) ＰＭ６&minus;３３２０　ライト　替球 受注単位1[rn]
16-27625,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790394.jpg?fitin=700:700,1855.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　カラーアルミＬＥＤライト　ＢＫ（ブラック）【TCL-5BK】(3011305) 受注単位1,(3011305),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●1球、3球、5球点灯切換式です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　カラーアルミＬＥＤライト　ＢＫ（ブラック）【TCL-5BK】(3011305) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　カラーアルミＬＥＤライト　ＢＫ（ブラック）【TCL-5BK】(3011305) 受注単位1,(3011305)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　カラーアルミＬＥＤライト　ＢＫ（ブラック）【TCL-5BK】(3011305) 受注単位1[rn]
16-27626,,3402.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＦＤＫ/ＦＤＫ　富士通　スーパーＬＥＤ強力ライト【HGH1411F-(BX)】(2974061) 受注単位1,工事用品\作業灯・照明用品\懐中電灯,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●スーパーLED（1ワットクラス）を採用しています。<br>●大口径レンズです。<br>●防滴構造なので、雨中でも安心です。",『カード対応OK！』■〒ＦＤＫ/ＦＤＫ　富士通　スーパーＬＥＤ強力ライト【HGH1411F-(BX)】(2974061) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＦＤＫ/ＦＤＫ　富士通　スーパーＬＥＤ強力ライト【HGH1411F-(BX)】(2974061) 受注単位1,工事用品\作業灯・照明用品\懐中電灯。『カード対応OK！』■〒ＦＤＫ/ＦＤＫ　富士通　スーパーＬＥＤ強力ライト【HGH1411F-(BX)】(2974061) 受注単位1[rn]
16-27627,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003839511.jpg?fitin=700:700,2721.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤライト【LED-36PF】(3686230) 受注単位1,工事用品\作業灯・照明用品\懐中電灯,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●超高輝度白LED36個、赤LED8個付です。<br>●30m先で新聞が読めます。<br>●ストラップ付きです。",『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤライト【LED-36PF】(3686230) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤライト【LED-36PF】(3686230) 受注単位1,工事用品\作業灯・照明用品\懐中電灯。『カード対応OK！』■〒日動工業/日動　スーパーＬＥＤライト【LED-36PF】(3686230) 受注単位1[rn]
16-27628,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659331.jpg?fitin=700:700,1360.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　ＬＥＤライト　スーパーＬＥＤライト　１２Ｐ【LED-12P】(3990168) 受注単位1,工事用品\作業灯・照明用品\懐中電灯,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●LEDを12球使用しています。<br>●15m先で新聞が読めます",『カード対応OK！』■〒日動工業/日動　ＬＥＤライト　スーパーＬＥＤライト　１２Ｐ【LED-12P】(3990168) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　ＬＥＤライト　スーパーＬＥＤライト　１２Ｐ【LED-12P】(3990168) 受注単位1,工事用品\作業灯・照明用品\懐中電灯。『カード対応OK！』■〒日動工業/日動　ＬＥＤライト　スーパーＬＥＤライト　１２Ｐ【LED-12P】(3990168) 受注単位1[rn]
16-27629,,5009.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SPL-500】(7644787) ＬＥＤスポットライト 受注単位1,工事用品\作業灯・照明用品\懐中電灯,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●明るさは３段階(強・中・弱)調整、点滅機能付です。<br>●扱いやすいセフティロック付ガンタイプ。スタンド付、ショルダーストラップ付なので様々な使い方が可能です。<br><br><br>●外径(mm)：75<br>●全長(mm)：146<br>●質量(g)：554<br>●全光束(lm)：500<br><br>●電源：単2形乾電池(3個)別売<br>●最大点灯時間：約10時間(強)、約30時間(中)、約100時間(弱)<br>●保護等級：IP67<br><br>●ポリマー樹脂<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SPL-500】(7644787) ＬＥＤスポットライト 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SPL-500】(7644787) ＬＥＤスポットライト 受注単位1,工事用品\作業灯・照明用品\懐中電灯。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【SPL-500】(7644787) ＬＥＤスポットライト 受注単位1[rn]
16-27630,,18273.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX460KENCLE9】(8185905) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●従来蛍光灯と比較して同等以上の明るさで約48％省エネです。<br>
●本体の電源端子台からの配線を直接電源ユニットに接続することができるダイレクトコネクタ接続で施工性が向上しました。<br>
●高効率から機能付きまで用途に応じて選べるライトバーです。<br>
●明るさ(lm):6900<br>
●消費電力(W):45.9<br>
●幅(mm):150<br>
●高さ(mm):60<br>
●長さ(mm):1225<br>
●電圧(V):100～242<br>
●タイプ:40形2灯タイプ<br>
●光源色:昼白色<br>
●LED内蔵・電源ユニット内蔵<br>
●ライトバータイプ：一般タイプ・非調光<br>
●光源寿命：40000時間<br>
●直付型<br>
●本体：亜鉛鋼板（白色）<br>
●ライトバー：ポリカーボネート（乳白）",■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX460KENCLE9】(8185905) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1：クローバー資材館,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX460KENCLE9】(8185905) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1,工事用品\作業灯・照明用品。■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX460KENCLE9】(8185905) 一体型ＬＥＤベースライト ＩＤシリーズ 40形 発注単位1[rn]
16-27631,,48600.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ハタヤリミテッド/ハタヤ ランプ【LBM-240】(8194037) ハタヤ ＬＥＤジューデンライト専用予備バッテリー 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●LEDジューデンライト用予備バッテリーです。<br>
●LEDジューデンライト専用予備バッテリー<br>
●リチウムイオン電池パック",■〒ハタヤリミテッド/ハタヤ ランプ【LBM-240】(8194037) ハタヤ ＬＥＤジューデンライト専用予備バッテリー 発注単位1：クローバー資材館,■〒ハタヤリミテッド/ハタヤ ランプ【LBM-240】(8194037) ハタヤ ＬＥＤジューデンライト専用予備バッテリー 発注単位1,工事用品\作業灯・照明用品。■〒ハタヤリミテッド/ハタヤ ランプ【LBM-240】(8194037) ハタヤ ＬＥＤジューデンライト専用予備バッテリー 発注単位1[rn]
