16-27201,,1360.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-60B-7】(4738632)ハイス組合せ刻印６．０ｍｍバラ 数字７ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●16桁（1.5mm）から6桁（6.0mm）までの数字・文字が、一度に刻印できます。<br>●呼称:6.0<br>●文字高さA(mm):6.0<br>●文字幅B(mm):4.0<br>●文字ピッチP(mm):5.0<br>●質量(g):7.5<br>●文字:7<br>●高速度鋼（ＳＫＨ５１）<br>",『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-60B-7】(4738632)ハイス組合せ刻印６．０ｍｍバラ 数字７ 受注単位1：クローバー資材館,『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-60B-7】(4738632)ハイス組合せ刻印６．０ｍｍバラ 数字７ 受注単位1,作業用品\ハンマー・刻印・ポンチ\刻印。『カード対応OK！』■〒浦谷商事（株）/浦谷【UC-60B-7】(4738632)ハイス組合せ刻印６．０ｍｍバラ 数字７ 受注単位1[rn]
16-27212,,924.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PGPD-003】(7733577) パワーグリップドライバー（貫通）　（＋）Ｎｏ．３ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づき、握りやすさと回しやすさを追求しており、作業性が抜群です。<br>●ソフトグリップは手にフィットし、パワーを余すことなく先端に伝えます。<br>●先端は、強力マグネット付きです。<br><br><br>●刃先：[[(+)]]No.3<br>●軸長(mm)：150<br>●全長(mm)：258<br>●質量(g)：210<br><br>●貫通タイプ<br>●刃先：マグネット入り<br><br>●本体：構造用鋼<br>●グリップ：樹脂<br>",『カード対応OK！』■〒ＴＯＮＥ【PGPD-003】(7733577) パワーグリップドライバー（貫通）　（＋）Ｎｏ．３ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【PGPD-003】(7733577) パワーグリップドライバー（貫通）　（＋）Ｎｏ．３ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒ＴＯＮＥ【PGPD-003】(7733577) パワーグリップドライバー（貫通）　（＋）Ｎｏ．３ 受注単位1[rn]
16-27213,,7491.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW100P-5MD】(7550499) スクリュードライバーセット　５本 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●メッキ加工されたブレードは錆びにくく折れにくいです。<br>●コンフォートグリップは確実に締めたいトルクを伝えることができます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●縦×横×高さ(mm)：315×100×75<br>●質量(ｇ)：704<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW100P-5MD】(7550499) スクリュードライバーセット　５本 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW100P-5MD】(7550499) スクリュードライバーセット　５本 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW100P-5MD】(7550499) スクリュードライバーセット　５本 受注単位1[rn]
16-27214,,924.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PGMD-150】(7733542) パワーグリップドライバー（貫通）　（－）１．２Ｘ８．０ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づき、握りやすさと回しやすさを追求しており、作業性が抜群です。<br>●ソフトグリップは手にフィットし、パワーを余すことなく先端に伝えます。<br>●先端は、強力マグネット付きです。<br><br><br>●刃先：[[(-)]]1.2×8.0<br>●軸長(mm)：150<br>●全長(mm)：258<br>●質量(g)：210<br><br>●貫通タイプ<br>●刃先：マグネット入り<br><br>●本体：構造用鋼<br>●グリップ：樹脂<br>",『カード対応OK！』■〒ＴＯＮＥ【PGMD-150】(7733542) パワーグリップドライバー（貫通）　（&minus;）１．２Ｘ８．０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【PGMD-150】(7733542) パワーグリップドライバー（貫通）　（&minus;）１．２Ｘ８．０ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒ＴＯＮＥ【PGMD-150】(7733542) パワーグリップドライバー（貫通）　（&minus;）１．２Ｘ８．０ 受注単位1[rn]
16-27215,,1031.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【100-3】(4850718) マイナスドライバー１００－３ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端は平行に加工されていますので、カムアウトを防ぎ、ネジ溝を損傷させることなく、高トルクを伝えることができます。<br>●グリップは木やコットンから生まれた自然素材を含むＣＡＢ（セルロース・アセト・ブチレイト）で作られています。<br>●ブレードはＰＢ独自の特殊合金でできており、優れた硬度と靭性を兼ね備えています。<br>●ブレード部には５桁の生産番号が記されており、この番号で原料段階の製造過程まで遡ることができます。<br>●グリップは肌に優しく、握るのに理想的で、耐衝撃性に優れまた、手入れも簡単です。<br>●何十年にも渡って支持されている、溝を設けたグリップは握るのに最適な形状で、高いトルクを確実に伝えることができます。<br><br><br>●刃先：[[（-）]]5.5×0.8<br>●軸長(mm)：120<br>●全長(mm)：220<br>●刃先幅(mm)：5.5<br>●刃先厚(mm)：0.8<br>●軸径(φmm)：5<br>●質量(g)：58<br>●適合ネジ：M3<br><br><br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【100-3】(4850718) マイナスドライバー１００&minus;３ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【100-3】(4850718) マイナスドライバー１００&minus;３ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【100-3】(4850718) マイナスドライバー１００&minus;３ 受注単位1[rn]
16-27216,,1176.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDP-2-ST】(7553986) スクリュードライバー　プラス　＃２　１‐１／２インチ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プレミアムコンフォートグリップで手が痛くならず、またサムストップで親指が滑らないのでしっかり回転力を伝えることができます。<br>●ブレード部は錆びや汚れに強いクロームメッキを施しています。<br>●先端チップは噴射加工でボルト・ナットをしっかり捉え、また欠けを防止し、長寿命を実現しています。<br>●ブレードは特殊鋼製です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●刃先：[[(+)]]2<br>●軸長(mm)：38<br>●全長(mm)：86<br>●質量(ｇ)：54<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDP-2-ST】(7553986) スクリュードライバー　プラス　＃２　１‐１／２インチ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDP-2-ST】(7553986) スクリュードライバー　プラス　＃２　１‐１／２インチ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDP-2-ST】(7553986) スクリュードライバー　プラス　＃２　１‐１／２インチ 受注単位1[rn]
16-27217,,351.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PGSD-P2】(7733593) パワーグリップスタビードライバー　（＋）Ｎｏ．２ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づき、握りやすさと回しやすさを追求しており、作業性が抜群です。<br>●ソフトグリップは手にフィットし、パワーを余すことなく先端に伝えます。<br>●先端は、強力マグネット付きです。<br><br><br>●刃先：[[(+)]]No.2<br>●軸長(mm)：25<br>●全長(mm)：82<br>●質量(g)：40<br><br>●刃先：マグネット入り<br><br>●本体：構造用鋼<br>●グリップ：樹脂<br>",『カード対応OK！』■〒ＴＯＮＥ【PGSD-P2】(7733593) パワーグリップスタビードライバー　（＋）Ｎｏ．２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【PGSD-P2】(7733593) パワーグリップスタビードライバー　（＋）Ｎｏ．２ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒ＴＯＮＥ【PGSD-P2】(7733593) パワーグリップスタビードライバー　（＋）Ｎｏ．２ 受注単位1[rn]
16-27218,,1272.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-22】(7554010) スクリュードライバー　マイナス　３インチ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プレミアムコンフォートグリップで手が痛くならず、またサムストップで親指が滑らないのでしっかり回転力を伝えることができます。<br>●ブレード部は錆びや汚れに強いクロームメッキを施しています。<br>●先端チップは噴射加工でボルト・ナットをしっかり捉え、また欠けを防止し、長寿命を実現しています。<br>●ブレードは特殊鋼製です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●刃先：[[(-)]]4.76<br>●軸長(mm)：76<br>●全長(mm)：156<br>●質量(ｇ)：76<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-22】(7554010) スクリュードライバー　マイナス　３インチ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-22】(7554010) スクリュードライバー　マイナス　３インチ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-22】(7554010) スクリュードライバー　マイナス　３インチ 受注単位1[rn]
16-27219,,4211.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDS-62】(7554061) スクリュードライバー　スタッビー　マイナス　１‐１／２×１／４ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プレミアムコンフォートグリップで手が痛くならず、またサムストップで親指が滑らないのでしっかり回転力を伝えることができます。<br>●ブレード部は錆びや汚れに強いクロームメッキを施しています。<br>●先端チップは噴射加工でボルト・ナットをしっかり捉え、また欠けを防止し、長寿命を実現しています。<br>●ブレードは特殊鋼製です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●刃先：[[(-)]]6.35<br>●軸長(mm)：45<br>●全長(mm)：89<br>●質量(ｇ)：54<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDS-62】(7554061) スクリュードライバー　スタッビー　マイナス　１‐１／２&times;１／４ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDS-62】(7554061) スクリュードライバー　スタッビー　マイナス　１‐１／２&times;１／４ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDS-62】(7554061) スクリュードライバー　スタッビー　マイナス　１‐１／２&times;１／４ 受注単位1[rn]
16-27220,,180.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSD-238】(7607121) スタビードライバー　＋２×３８ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スペースの限定された狭い場所での作業に最適です。<br><br><br>●刃先：[[（+）]]2<br>●軸長(mm)：38<br>●全長(mm)：87<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>●軸部：工具鋼　<br>●ハンドル部：アクリル樹脂<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSD-238】(7607121) スタビードライバー　＋２&times;３８ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSD-238】(7607121) スタビードライバー　＋２&times;３８ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSD-238】(7607121) スタビードライバー　＋２&times;３８ 受注単位1[rn]
16-27221,,1200.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新亀製作所/サンフラッグ【7150】(7706120) サンフラッグ　ロータリーアクショングリップ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●6.35mm軸のビットが使えます。<br>●先端はビットの落下防止ワンタッチチャック式です。<br>●T型バーは移動、取り外しが可能です。<br>●ハンドル部を握ったままで、軸部のみが回転します。<br><br><br>●全長(mm)：200<br>●質量(g)：220<br><br>●差込角：6.35mm<br><br>●軸部：特殊鋼<br>",『カード対応OK！』■〒新亀製作所/サンフラッグ【7150】(7706120) サンフラッグ　ロータリーアクショングリップ 受注単位1：クローバー資材館,『カード対応OK！』■〒新亀製作所/サンフラッグ【7150】(7706120) サンフラッグ　ロータリーアクショングリップ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー。『カード対応OK！』■〒新亀製作所/サンフラッグ【7150】(7706120) サンフラッグ　ロータリーアクショングリップ 受注単位1[rn]
16-27222,,1580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB01】(4966147) システムドライバー２　カラービット＃１ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハンドルに6種類のカラービットを内蔵しています。<br>●6色カラー展開で先端サイズの見分けが簡単です。<br>●ビットを無くす心配がありません。<br><br><br>●軸長(mm)：78<br>●全長(mm)：197<br>●セット内容：[[(+)]]1、[[(+)]]2、[[(-)]]5、[[(-)]]6、スクリュー、キリ<br>●ビット全長(mm)：110<br>●質量(g)：200<br><br><br>●ビット：クロームバナジウム鋼<br>●グリップ：ガラス繊維入り強化ナイロン樹脂<br>",『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB01】(4966147) システムドライバー２　カラービット＃１ 受注単位1：クローバー資材館,『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB01】(4966147) システムドライバー２　カラービット＃１ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー。『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB01】(4966147) システムドライバー２　カラービット＃１ 受注単位1[rn]
16-27223,,1275.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【3350-H】(4942591) スーパーアクショングリップ　ハンドルのみ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ストレート型とＴ型ハンドルの２種類の使い分けができます。<br>●対辺6.35mmの電動ドライバー用ビットを使用できます。<br><br><br>●全長(mm)：72<br>●質量(ｇ)：115<br><br><br>",『カード対応OK！』■〒兼古製作所/アネックス【3350-H】(4942591) スーパーアクショングリップ　ハンドルのみ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【3350-H】(4942591) スーパーアクショングリップ　ハンドルのみ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー。『カード対応OK！』■〒兼古製作所/アネックス【3350-H】(4942591) スーパーアクショングリップ　ハンドルのみ 受注単位1[rn]
16-27224,,867.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス【395-H】(4942604) クイックボール６０　ラチェットハンドルのみ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●片手で作業ができるラチェット機構です。<br>●60枚ギアでなめらかに回転し、回転ロスが少なく作業性抜群です。<br>●対辺6.35mmの電動ドライバー用ビットに使用できます。<br><br><br>●全長(mm)：95<br><br><br>",『カード対応OK！』■〒兼古製作所/アネックス【395-H】(4942604) クイックボール６０　ラチェットハンドルのみ 受注単位1：クローバー資材館,『カード対応OK！』■〒兼古製作所/アネックス【395-H】(4942604) クイックボール６０　ラチェットハンドルのみ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー。『カード対応OK！』■〒兼古製作所/アネックス【395-H】(4942604) クイックボール６０　ラチェットハンドルのみ 受注単位1[rn]
16-27225,,1580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB07】(4966163) システムドライバー２　カラービット＃７ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハンドルに6種類のカラービットを内蔵しています。<br>●6色カラー展開で先端サイズの見分けが簡単です。<br>●ビットを無くす心配がありません。<br><br><br>●軸長(mm)：78<br>●全長(mm)：197<br>●セット内容：[[(+)]]1、[[(+)]]2、[[(+)]]3、[[(-)]]4、[[(-)]]5、[[(-)]]6<br>●ビット全長(mm)：110<br>●質量(g)：200<br><br><br>●ビット：クロームバナジウム鋼<br>●グリップ：ガラス繊維入り強化ナイロン樹脂<br>",『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB07】(4966163) システムドライバー２　カラービット＃７ 受注単位1：クローバー資材館,『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB07】(4966163) システムドライバー２　カラービット＃７ 受注単位1,作業用品\ドライバー・六角棒レンチ\差替式ドライバー。『カード対応OK！』■〒ツインズ/スイストゥール【SD2-CB07】(4966163) システムドライバー２　カラービット＃７ 受注単位1[rn]
16-27226,,740.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057530】(7618468) ８４０／２Ｚ　ビット　１０Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクトドライバー用のビットです。<br><br><br>●刃先：対辺10.0<br>●全長(mm)：30<br>●刃先(mm)：10<br>●シャンク径：5/16<br><br>●シャンク径：5/16インチ<br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057530】(7618468) ８４０／２Ｚ　ビット　１０Ｘ３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057530】(7618468) ８４０／２Ｚ　ビット　１０Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057530】(7618468) ８４０／２Ｚ　ビット　１０Ｘ３０ 受注単位1[rn]
16-27227,,516.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057515】(7618433) ８４０／２Ｚ　ビット　５Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクトドライバー用のビットです。<br><br><br>●刃先：対辺5.0<br>●全長(mm)：30<br>●刃先(mm)：5<br>●シャンク径：5/16<br><br>●シャンク径：5/16インチ<br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057515】(7618433) ８４０／２Ｚ　ビット　５Ｘ３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057515】(7618433) ８４０／２Ｚ　ビット　５Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057515】(7618433) ８４０／２Ｚ　ビット　５Ｘ３０ 受注単位1[rn]
16-27228,,238.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TMID-BA】(7647662) ＴＭＩＤ－２Ｓ用ビットアダプター 受注単位1,作業用品\ドライバー・六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手動インパクトドライバー用アダプターです。<br><br><br>●全長(mm)：31<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TMID-BA】(7647662) ＴＭＩＤ&minus;２Ｓ用ビットアダプター 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TMID-BA】(7647662) ＴＭＩＤ&minus;２Ｓ用ビットアダプター 受注単位1,作業用品\ドライバー・六角棒レンチ。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TMID-BA】(7647662) ＴＭＩＤ&minus;２Ｓ用ビットアダプター 受注単位1[rn]
16-27229,,516.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057520】(7618441) ８４０／２Ｚ　ビット　６Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクトドライバー用のビットです。<br><br><br>●刃先：対辺6.0<br>●全長(mm)：30<br>●刃先(mm)：6<br>●シャンク径：5/16<br><br>●シャンク径：5/16インチ<br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057520】(7618441) ８４０／２Ｚ　ビット　６Ｘ３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057520】(7618441) ８４０／２Ｚ　ビット　６Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057520】(7618441) ８４０／２Ｚ　ビット　６Ｘ３０ 受注単位1[rn]
16-27230,,619.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057725】(7618506) ８５１／２Ｚ　ビット　＋４Ｘ３８ 受注単位1,作業用品\ドライバー・六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクトドライバー用のビットです。<br><br><br>●刃先：[[（+）]]No.4<br>●全長(mm)：38<br>●シャンク径：5/16<br><br>●シャンク径：5/16インチ<br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057725】(7618506) ８５１／２Ｚ　ビット　＋４Ｘ３８ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057725】(7618506) ８５１／２Ｚ　ビット　＋４Ｘ３８ 受注単位1,作業用品\ドライバー・六角棒レンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057725】(7618506) ８５１／２Ｚ　ビット　＋４Ｘ３８ 受注単位1[rn]
16-27231,,1104.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057240】(7618417) ８００／２Ｚ　ビット　２．０Ｘ１２．０ 受注単位1,作業用品\ドライバー・六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクトドライバー用のビットです。<br><br><br>●刃先：[[（-）]]12.0<br>●全長(mm)：41<br>●シャンク径：5/16<br><br>●シャンク径：5/16インチ<br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057240】(7618417) ８００／２Ｚ　ビット　２．０Ｘ１２．０ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057240】(7618417) ８００／２Ｚ　ビット　２．０Ｘ１２．０ 受注単位1,作業用品\ドライバー・六角棒レンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057240】(7618417) ８００／２Ｚ　ビット　２．０Ｘ１２．０ 受注単位1[rn]
16-27232,,627.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057525】(7618450) ８４０／２Ｚ　ビット　８Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクトドライバー用のビットです。<br><br><br>●刃先：対辺8.0<br>●全長(mm)：30<br>●刃先(mm)：8<br>●シャンク径：5/16<br><br>●シャンク径：5/16インチ<br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057525】(7618450) ８４０／２Ｚ　ビット　８Ｘ３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057525】(7618450) ８４０／２Ｚ　ビット　８Ｘ３０ 受注単位1,作業用品\ドライバー・六角棒レンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【057525】(7618450) ８４０／２Ｚ　ビット　８Ｘ３０ 受注単位1[rn]
