18-28201,http://tshop.r10s.jp/akibamac/cabinet/05059652/4970925568533.jpg?fitin=700:700,598.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,アサヒペンアスペンラッカースプレー420ml 銀 568533,,■タレにくて作業性が良く、美しいツヤに仕上がります。<br><br>【用途】<br>・電気器具（非昇温部）・家具・自転車・工作品の鉄部・木部。<br><br>【仕様】<br>色：銀、容量(L)：0.42、質量(g)：450<br>塗布面積：0.8～1.5［［平米］］、乾燥時間20～30分（夏期）、40～60分（冬期）<br><br>【注意】<br>・【保管上の注意】直射日光のあたるところ、自動車内などの温度の高くなるところ、容器がさびやすいことろには置かないで下さい。<br><br>【原産国】<br>日本,アサヒペンアスペンラッカースプレー420ml 銀 568533：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンアサヒペンアスペンラッカースプレー420ml 銀 568533,アサヒペンアスペンラッカースプレー420ml 銀 568533[rn]
18-28212,http://tshop.r10s.jp/akibamac/cabinet/05059652/4972883117044.jpg?fitin=700:700,74.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,インダストリーコーワ11704 KOWA OCTA丸筆1号,,●絵画に使用したり、工作の細かい部分塗りに適しています。<br>●刷毛塗りでは難しい模様・文字などを描くのに最適です。<br>●規格:1号<br>●全長(mm):178<br>●質量(g):5<br>●金具幅(mm):2<br>●材質／仕上：○毛:馬毛○柄:木<br><br>●ご注意：※ラッカーシンナーには使用しないでください。,インダストリーコーワ11704 KOWA OCTA丸筆1号：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンインダストリーコーワ11704 KOWA OCTA丸筆1号,インダストリーコーワ11704 KOWA OCTA丸筆1号[rn]
18-28213,http://tshop.r10s.jp/akibamac/cabinet/05065119/4975364018007.jpg?fitin=700:700,1148.8000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ＴＪＭデザインステンヘッドスクレーパ斜95 SCRN95,,■貫通型のステンレスヘッドなので、ハンマーで叩いて使えます。<br><br>■刃こぼれしにくい高熱焼き入れブレード、刃厚1.8mm厚ステンレスです。<br><br>【用途】<br>・一般的なはがし、削り作業。<br><br>【仕様】<br>全長(mm)：250、刃幅(mm)：95、刃長(mm)：96、刃厚(mm)：1.8、質量(g)：185<br>貫通型<br><br>【材質／仕上】<br>■刃:ステンレス（SUS420J2）■グリップ:エラストマー樹脂<br><br>【注意】<br>・SUS420J2は磁気を帯びます。<br><br>【原産国】<br>台湾,ＴＪＭデザインステンヘッドスクレーパ斜95 SCRN95：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンＴＪＭデザインステンヘッドスクレーパ斜95 SCRN95,ＴＪＭデザインステンヘッドスクレーパ斜95 SCRN95[rn]
18-28214,http://tshop.r10s.jp/akibamac/cabinet/05066154/4989999468038.jpg?fitin=700:700,685.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山ハンマーへら Y型 斜め刃 65mm TS406,,■ハンドルは衝撃に強く、滑り止めチェッカリング加工、鍔形状PP樹脂製です。<br><br>■ハンマーで叩いて使えます。<br><br>■あらゆる場所に対応できる斜め刃タイプです。<br><br>■ハンドルは衝撃に強く、滑り止めチェッカリング加工、鍔形状PP樹脂製です。<br><br>■刃は先端から打撃部までの貫通型のため、衝撃がダイレクトに伝わります。<br><br>【用途】<br>・1斗缶切り作業・さび落とし。<br>・ペンキはがし・ガムはがし。<br><br>【仕様】<br>全長(mm)：220、刃幅(mm)：65、刃長(mm)：95、刃厚(mm)：2、形状：斜め刃、質量(g)：150<br>貫通型、硬度HRC50度<br><br>【材質／仕上】<br>■刃：ステンレス刃物鋼（SUS420J2）■グリップ：ポリプロピレン（PP）<br><br>【注意】<br>・SUS420J2は磁気を帯びます。<br><br>【原産国】<br>中国,トラスコ中山ハンマーへら Y型 斜め刃 65mm TS406：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山ハンマーへら Y型 斜め刃 65mm TS406,トラスコ中山ハンマーへら Y型 斜め刃 65mm TS406[rn]
18-28215,http://tshop.r10s.jp/akibamac/cabinet/05002039/4538995006517.jpg?fitin=700:700,190.4000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,アネスト岩田コーティングAJQ-02PM アネスト岩田 クイックジョイント(プラグ) (AJQ02PM),,アネスト岩田 クイックジョイント(プラグ),アネスト岩田コーティングAJQ-02PM アネスト岩田 クイックジョイント(プラグ) (AJQ02PM)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンアネスト岩田コーティングAJQ-02PM アネスト岩田 クイックジョイント(プラグ) (AJQ02PM),アネスト岩田コーティングAJQ-02PM アネスト岩田 クイックジョイント(プラグ) (AJQ02PM)[rn]
18-28216,http://tshop.r10s.jp/akibamac/cabinet/05039503/4954183160135.jpg?fitin=700:700,740.8000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,ムラテックKDSSC-M35 KDS ステンレススクレーパーM35 (SCM35),,●刃部分を折りたたみ収納する事が可能で持ち運びにも大変便利です。<br>●削る、剥がす用途に。<br>●栓抜き、パイプ・ローラーに、簡易釘抜きに、異形・曲面に、壁際・コーナーに。<br>●全長(mm):204<br>●刃幅(mm):35<br>●刃長(mm):98<br>●刃厚(mm):1.8<br>●質量(g):113<br>●材質／仕上：○刃：ステンレス（ＳＵＳ４２０相当）○グリップ:エラストマー樹脂<br><br>,ムラテックKDSSC-M35 KDS ステンレススクレーパーM35 (SCM35)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンムラテックKDSSC-M35 KDS ステンレススクレーパーM35 (SCM35),ムラテックKDSSC-M35 KDS ステンレススクレーパーM35 (SCM35)[rn]
18-28217,http://tshop.r10s.jp/akibamac/cabinet/04960162/4580157660877.jpg?fitin=700:700,3481.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,大田製作所NO10275 大田 ハイウレタンローラー(ベアリング入),,従来のウレタンローラーより軟らかく特別加工を行っています。通常のクロスから柔らかいクロスまで使用でき、光沢の心配もありません。,大田製作所NO10275 大田 ハイウレタンローラー(ベアリング入)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン大田製作所NO10275 大田 ハイウレタンローラー(ベアリング入),大田製作所NO10275 大田 ハイウレタンローラー(ベアリング入)[rn]
18-28218,http://tshop.r10s.jp/akibamac/cabinet/05065985/4989999352092.jpg?fitin=700:700,8571.2000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【送料無料】トラスコ中山SSG-15 TRUSCO スプレーガン吸上式 ガンのみ ノズル径Φ1.5 (SSG15),,●特に微粒化に注意を払って製作されています。<br>●使用範囲も広く、美しく仕上がります。<br>●塗料噴出量に重点をおいたガン。作業性が良く、スピーディーに仕事ができます。<br>●小物塗装、上塗、アクリルラッカー塗装。<br>●ノズル径(mm):1.5<br>●所要圧縮機(kW):0.75～1.5<br>●空気使用量(L/min):150<br>●パターン開き(mm):200<br>●霧化段階:汎用<br>●質量(g):450<br>●吸上式<br>●カップ取付口:G1/4<br>●エア取入口:G1/4<br>●材質／仕上：○本体:アルミダイカスト○接液部:ステンレス（SUS303）・真鍮・アルミダイカスト<br><br>,【送料無料】トラスコ中山SSG-15 TRUSCO スプレーガン吸上式 ガンのみ ノズル径Φ1.5 (SSG15)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】トラスコ中山SSG-15 TRUSCO スプレーガン吸上式 ガンのみ ノズル径Φ1.5 (SSG15),【送料無料】トラスコ中山SSG-15 TRUSCO スプレーガン吸上式 ガンのみ ノズル径Φ1.5 (SSG15)[rn]
18-28219,http://tshop.r10s.jp/akibamac/cabinet/04999998/0000049365559.jpg?fitin=700:700,213.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,日本ペイント水性エナメルミニ（アイボリー） 25ml (ｽｲｾｲｴﾅﾒﾙﾐﾆ25ML),,工作ホビー用に最適です。木・紙・粘土・プラスティック製品（PE、PPは除く）・ホビーこう作品・おもちゃ・家具など。,日本ペイント水性エナメルミニ（アイボリー） 25ml (ｽｲｾｲｴﾅﾒﾙﾐﾆ25ML)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン日本ペイント水性エナメルミニ（アイボリー） 25ml (ｽｲｾｲｴﾅﾒﾙﾐﾆ25ML),日本ペイント水性エナメルミニ（アイボリー） 25ml (ｽｲｾｲｴﾅﾒﾙﾐﾆ25ML)[rn]
18-28220,http://tshop.r10s.jp/akibamac/cabinet/05065664/4989999011029.jpg?fitin=700:700,1664.0000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山スモールローラー 外装用 6インチ 10本入 TPR20610,,■塗料の含み、吐き出しがよく作業性に優れています。<br><br>【仕様】<br>全長(mm)：150、寸法(インチ)：6、毛丈(mm)：20、質量(g)：300<br>適合ハンドル：TRF-S、TRF-L、ローラー内径：φ7mm、適応塗料：水性 ◎、油性 ◎、アクリル ○、塩化ビニール ○<br><br>【材質／仕上】<br>■ポリエステル<br><br>【原産国】<br>中国,トラスコ中山スモールローラー 外装用 6インチ 10本入 TPR20610：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山スモールローラー 外装用 6インチ 10本入 TPR20610,トラスコ中山スモールローラー 外装用 6インチ 10本入 TPR20610[rn]
18-28221,http://tshop.r10s.jp/akibamac/cabinet/05065985/4989999416466.jpg?fitin=700:700,308.8000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山高級ニス刷毛 10号 TPB421,,■仕上げ塗りに最適です。<br><br>■粘度が低く、うすくのばして塗ることができます。<br><br>【用途】<br>・ニス用。<br><br>【仕様】<br>刷毛幅(mm)：30、毛丈(mm)：30、全長(mm)：210、質量(g)：15、玉厚（mm）：14<br><br>【材質／仕上】<br>■毛：山羊毛■柄：木<br><br>【原産国】<br>中国,トラスコ中山高級ニス刷毛 10号 TPB421：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山高級ニス刷毛 10号 TPB421,トラスコ中山高級ニス刷毛 10号 TPB421[rn]
18-28222,http://tshop.r10s.jp/akibamac/cabinet/05065886/4989999233346.jpg?fitin=700:700,3291.2000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山万能用刷毛 20号 50mm 10本入 TPB36210,,■日曜大工、工場関係、船舶などの一般用です。<br><br>【用途】<br>・油性用、塗料用、万能刷毛。<br><br>【仕様】<br>刷毛幅(mm)：50、毛丈(mm)：44、全長(mm)：230、質量(g)：370、玉厚（mm）：16<br><br>【材質/仕上】<br>■毛：馬毛・豚毛■柄：木<br><br>【原産国】<br>中国,トラスコ中山万能用刷毛 20号 50mm 10本入 TPB36210：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山万能用刷毛 20号 50mm 10本入 TPB36210,トラスコ中山万能用刷毛 20号 50mm 10本入 TPB36210[rn]
