18-8901,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_23/t010005772053.jpg?fitin=700:700,215880.0000,,花・ガーデン・DIY > DIY・工具 > その他,【廃番】アルインコ 移動式作業台 天板高さ2.96m 最大使用質量120kg CSD300AS,【条件付き送料無料】,【特長】<br>大型移動式作業台で、4輪ブレーキ付キャスター(φ150)標準装備で移動も可能です。<br>フル手すりがセットされています。<br><br>【仕様】<br>最大使用質量(kg):120<br>天板高さ(m):2.96<br>作業床寸法(mm):500×520<br>設置寸法(mm):1300×2305<br>最大作業床高さ(m):2.96<br>質量(kg):55.5<br>組立式<br><br>【材質／仕上】<br>アルミ<br><br>【メーカー名】<br>アルインコ（株）<br><br>【原産国】日本<br><br>,【廃番】アルインコ 移動式作業台 天板高さ2.96m 最大使用質量120kg CSD300AS：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー【廃番】アルインコ 移動式作業台 天板高さ2.96m 最大使用質量120kg CSD300AS,【条件付き送料無料】。【廃番】アルインコ 移動式作業台 天板高さ2.96m 最大使用質量120kg CSD300AS[rn]
18-8912,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/05191905/sxn_01.jpg?fitin=700:700,141480.8000,,花・ガーデン・DIY > DIY・工具 > その他,昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-220-30-10＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】,【条件付き送料無料】,"<font color=""#FF0000""><b>
＜注意＞<br />
・画像は代表画像になります。<br />
　長さ、フック形状、のりこみの形状については商品説明をご参照ください。<br />
・商品特性上、個人宅への配送ができません。必ず送付先は法人様名でお願いいたします。<br />　また、送付先まで配送が行えず、配送会社の営業所留めとなるエリアがございます。<br />
　その場合はご連絡させて頂きます。<br />
・配送先によって送料が変わります。<br />
　そのため、送料が発生する場合はご注文確認後に別途送料を加算させて頂きます。<br />
・本商品は「受注生産品」です。納期はメーカー確認後折り返しご連絡いたします。<br />
</b></font>
<br />
<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/05191905/sxn_02.jpg""><br />
<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/05191905/sxn_03.jpg""><br />
<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/05191905/sxn_04.jpg""><br />
<br />",昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-220-30-10＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-220-30-10＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】,【条件付き送料無料】 。昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-220-30-10＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】[rn]
18-8913,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_23/t010006148550.jpg?fitin=700:700,4600.8000,,花・ガーデン・DIY > DIY・工具 > その他,KYC フラワーサポート SF-90CZ,,【特長】<br>表面処理は溶融亜鉛メッキですので防錆能力に優れています。<br>台板の釘穴が4ヵ所にありますので、釘穴の向きに関係なく建て込みできます。<br>台板の凹部にパイプ部がぴったりとフィットしますので荷崩れしません。<br>（社）仮設工業会認定品です。<br><br>【用途】<br>コンクリート型枠工事。<br>側溝建設工事。<br>天井・床などの仮支え（仮補強）。<br><br>【仕様】<br>使用長(mm):3940～2620<br>ストローク(mm):1320<br>下部外寸(mm):140×140<br>上部外寸(mm):140×140<br>耐荷重(t):2<br>質量(kg):14.5<br><br>【メーカー名】<br>光洋機械産業（株）<br><br>【原産国】日本<br><br>,KYC フラワーサポート SF-90CZ：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーKYC フラワーサポート SF-90CZ,KYC フラワーサポート SF-90CZ[rn]
18-8914,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_23/t010006483375.jpg?fitin=700:700,291.2000,,花・ガーデン・DIY > DIY・工具 > その他,hory TOPクランプ兼用 自在 HK-F-M,,【特長】<br>単管と単管又は建枠をつなぐためのクランプです。<br>ナット抜け止め仕様です。<br><br>【仕様】<br>適用パイプ径(mm):48.6・42.7<br>タイプ:自在型<br>質量(g):700<br>（社）仮設工業会認定品<br><br>【材質／仕上】<br>スチール<br><br>【メーカー名】<br>エスアールジータカミヤ（株）<br><br>【原産国】韓国<br><br>,hory TOPクランプ兼用 自在 HK-F-M：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーhory TOPクランプ兼用 自在 HK-F-M,hory TOPクランプ兼用 自在 HK-F-M[rn]
18-8915,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/05191905/sxn_01.jpg?fitin=700:700,72959.2000,,花・ガーデン・DIY > DIY・工具 > その他,昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-180-24-3.0＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】,【条件付き送料無料】,"<font color=""#FF0000""><b>
＜注意＞<br />
・画像は代表画像になります。<br />
　長さ、フック形状、のりこみの形状については商品説明をご参照ください。<br />
・商品特性上、個人宅への配送ができません。必ず送付先は法人様名でお願いいたします。<br />　また、送付先まで配送が行えず、配送会社の営業所留めとなるエリアがございます。<br />
　その場合はご連絡させて頂きます。<br />
・配送先によって送料が変わります。<br />
　そのため、送料が発生する場合はご注文確認後に別途送料を加算させて頂きます。<br />
・本商品は「受注生産品」です。納期はメーカー確認後折り返しご連絡いたします。<br />
</b></font>
<br />
<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/05191905/sxn_02.jpg""><br />
<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/05191905/sxn_03.jpg""><br />
<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/05191905/sxn_04.jpg""><br />
<br />",昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-180-24-3.0＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-180-24-3.0＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】,【条件付き送料無料】 。昭和ブリッジ販売 SXN型アルミブリッジ2本1組 ＜SXN-180-24-3.0＞ 【アルミブリッジ２本セット 最安値挑戦 激安 通販 おすすめ 人気 価格 安い SHOWA 鉄シュー ローラー 専用 耐久性 アピトン材 建機用 スムーズ 軽量 薄型 特注 建設現場 トラック のりこみ 軽トラ】[rn]
18-8916,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_23/t010006147682.jpg?fitin=700:700,12480.0000,,花・ガーデン・DIY > DIY・工具 > その他,アラオ オレンジキャップ AR-005 (200個),,【特長】<br>軟質タイプなのでフィットしやすいオレンジ色のキャップです。<br><br>【用途】<br>単管の先端保護。<br><br>【仕様】<br>適用パイプ径(mm):48.6φ<br>色:オレンジ<br>質量(g):19<br><br>【材質／仕上】<br>塩化ビニール<br><br>【メーカー名】<br>アラオ（株）<br><br>【原産国】日本<br><br>,アラオ オレンジキャップ AR-005 (200個)：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーアラオ オレンジキャップ AR-005 (200個),アラオ オレンジキャップ AR-005 (200個)[rn]
18-8917,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_23/t010006326698.jpg?fitin=700:700,241.6000,,花・ガーデン・DIY > DIY・工具 > その他,大洋 単管クランプ 同径型（直交） DK,,【特長】<br>支柱と単管をつなぐためのクランプです。<br><br>【仕様】<br>適用パイプ径(mm):48.6<br>タイプ:直交型<br>質量(g):700<br>（社）仮設工業会認定品<br><br>【メーカー名】<br>大洋製器工業（株）<br><br>【原産国】日本<br><br>,大洋 単管クランプ 同径型（直交） DK：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー大洋 単管クランプ 同径型（直交） DK,大洋 単管クランプ 同径型（直交） DK[rn]
18-8918,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010003805428.jpg?fitin=700:700,17875.2000,,花・ガーデン・DIY > DIY・工具 > その他,日動 電流コントロールドラム FC-EB32,【条件付き送料無料】,【特長】<br>電流値を自由自在にコントロールできます。<br>設定した電流以上使用するとドラムの電源をカットします。<br>電流設定を控えめにしておくことで建物の元ブレーカーを落とさず作業できます。<br>ケーブルとドラムの回転を同時に止める「ドラムストッパー」付です。<br><br>【用途】<br>過電流防止区域。（ビルメンテ他に。）<br>リフォーム工事に。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:2<br>温度センサー:手動復帰型<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>過負荷保護:-<br>漏電保護:-<br>質量(kg):7.9<br>AC100V<br>電線種:VCT<br>プラグ形状:ポッキンプラグ×1<br>電源ランプ付<br>屋内型<br>電線色:黒<br>側板直径(φ):290<br>側板色:紺<br>電線材質:VCT<br><br>【注意】<br>屋内型です。雨天の屋外では使用しないでください。<br>巻いたまま使用すると焼損するおそれがあります。<br><br>【メーカー名】<br>日動工業（株）<br><br>【原産国】JP<br><br>,日動 電流コントロールドラム FC-EB32：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー日動 電流コントロールドラム FC-EB32,【条件付き送料無料】。日動 電流コントロールドラム FC-EB32[rn]
18-8919,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010002825263.jpg?fitin=700:700,9878.4000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ サンタイガーリール 単相100V型 30m アース・ブレーカー付 BG-301KX,,【特長】<br>ハタヤのロングセラーのサンタイガーリールです。<br>漏電・過負荷（使いすぎ）・短絡（ショート）を保護する漏電遮断器付です。<br>しなやかなソフトムケーブルです。<br><br>【用途】<br>建設・建築現場。<br>土木工事。<br>保全作業。<br>プラント工事。<br>設備工事。<br>電気工事。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:-<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>電線溶解防止機能:-<br>質量(kg):8.1<br>AC100V<br>電線種:VCTソフトムケーブル<br>ブレーカー付<br>コンセントキャップ付<br>漏電過負荷短絡保護兼用型<br><br>【メーカー名】<br>（株）ハタヤリミテッド<br><br>【原産国】日本<br><br>,ハタヤ サンタイガーリール 単相100V型 30m アース・ブレーカー付 BG-301KX：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーハタヤ サンタイガーリール 単相100V型 30m アース・ブレーカー付 BG-301KX,ハタヤ サンタイガーリール 単相100V型 30m アース・ブレーカー付 BG-301KX[rn]
18-8920,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010002940915.jpg?fitin=700:700,12042.4000,,花・ガーデン・DIY > DIY・工具 > その他,日動 電工ドラム 標準型100Vドラム アース過負荷漏電しゃ断器付 30m NF-EK34,【条件付き送料無料】,【特長】<br>長さ、保護機能、電線種など多種多様のコードリールです。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:手動復帰型<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>質量(kg):7.5<br>AC100V<br>ブレーカー付<br>限度電流:15A<br>ケーブルとドラムの回転を同時に止める「ドラムストッパー」付<br>漏電遮断器仕様:過負荷漏電保護兼用<br><br>【注意】<br>屋内型です。雨天の屋外では使用しないでください。<br>巻いたまま使用すると焼損するおそれがあります。<br><br>【メーカー名】<br>日動工業（株）<br><br>【原産国】日本<br><br>,日動 電工ドラム 標準型100Vドラム アース過負荷漏電しゃ断器付 30m NF-EK34：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー日動 電工ドラム 標準型100Vドラム アース過負荷漏電しゃ断器付 30m NF-EK34,【条件付き送料無料】。日動 電工ドラム 標準型100Vドラム アース過負荷漏電しゃ断器付 30m NF-EK34[rn]
18-8921,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010006350749.jpg?fitin=700:700,8789.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ 業務用戦力リール 単相100Vアース・ブレーカー付 30m BM-30K,,【特長】<br>メンテナンスが容易な業務用タイプです。<br>コンセントはホコリの侵入を防ぐシャッター付です。<br>コンパクト設計、実用性と堅牢性、ハイコストパフォーマンスのコードリールです。<br>BM-30Kはブレーカー付です。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):6<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:○<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>質量(kg):7.6<br>AC100V<br>電線種:VCT<br>漏電地絡保護専用型<br>アース・ブレーカー付<br>漏電地絡保護専用型(漏電15mA感度)<br>電線溶解防止機能<br><br>【メーカー名】<br>（株）ハタヤリミテッド<br><br>【原産国】JP<br><br>,ハタヤ 業務用戦力リール 単相100Vアース・ブレーカー付 30m BM-30K：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーハタヤ 業務用戦力リール 単相100Vアース・ブレーカー付 30m BM-30K,ハタヤ 業務用戦力リール 単相100Vアース・ブレーカー付 30m BM-30K[rn]
18-8922,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010005097054.jpg?fitin=700:700,11289.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ サンタイガーリール 単相100V型30m 温度センサー・アースチェック付 TBG-301KGX,【条件付き送料無料】,【特長】<br>電線温度感知器付です。<br>アースチェックパイロットランプ付です。<br>電線や内部の温度が70℃以上になると警報ブザーが鳴ります。<br>80℃になると自動的に電源が遮断します。つまりブザーが鳴ってから、電線を冷やすと電源が遮断しません（連続使用が可能）。<br>コンセントキャップ付です。<br>ブレーキストッパー付です。<br>アースのチェック機能により接地の状態をチェックします。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:○<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>漏電遮断器:○<br>質量(kg):8.1<br>AC100V<br>ブレーキストッパー付<br>コンセント防じんキャップ<br>アース付<br><br>【メーカー名】<br>（株）ハタヤリミテッド<br><br>【原産国】日本<br><br>,ハタヤ サンタイガーリール 単相100V型30m 温度センサー・アースチェック付 TBG-301KGX：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーハタヤ サンタイガーリール 単相100V型30m 温度センサー・アースチェック付 TBG-301KGX,【条件付き送料無料】。ハタヤ サンタイガーリール 単相100V型30m 温度センサー・アースチェック付 TBG-301KGX[rn]
18-8923,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010004028238.jpg?fitin=700:700,17055.2000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ 単相100V型ブレーカーリール 30m アース付 とび出しプラグ付 BR-301KX,【条件付き送料無料】,【特長】<br>安全作業の必需品、漏電遮断器付タイプです。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):6<br>コンセント仕様定格:2P・15A・125Vアース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:3<br>温度センサー:○<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>質量(kg):8.8<br>AC100V<br>電線種:ソフトンケーブルVCT<br>ブレーカー付<br>アース付<br><br>【メーカー名】<br>（株）ハタヤリミテッド<br><br>【原産国】日本<br><br>,ハタヤ 単相100V型ブレーカーリール 30m アース付 とび出しプラグ付 BR-301KX：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーハタヤ 単相100V型ブレーカーリール 30m アース付 とび出しプラグ付 BR-301KX,【条件付き送料無料】。ハタヤ 単相100V型ブレーカーリール 30m アース付 とび出しプラグ付 BR-301KX[rn]
18-8924,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010002833620.jpg?fitin=700:700,10348.8000,,花・ガーデン・DIY > DIY・工具 > その他,日動 電工ドラム 標準型100Vドラム アース漏電しゃ断器付 30m NF-EB34,,【特長】<br>長さ、保護機能、電線種など多種多様のコードリールです。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:手動復帰型<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>質量(kg):7.5<br>AC100V<br>ブレーカー付<br>限度電流:15A<br>ケーブルとドラムの回転を同時に止める「ドラムストッパー」付<br>漏電遮断器仕様:漏電保護専用<br><br>【注意】<br>屋内型です。雨天の屋外では使用しないでください。<br>巻いたまま使用すると焼損するおそれがあります。<br><br>【メーカー名】<br>日動工業（株）<br><br>【原産国】日本<br><br>,日動 電工ドラム 標準型100Vドラム アース漏電しゃ断器付 30m NF-EB34：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー日動 電工ドラム 標準型100Vドラム アース漏電しゃ断器付 30m NF-EB34,日動 電工ドラム 標準型100Vドラム アース漏電しゃ断器付 30m NF-EB34[rn]
18-8925,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010006332781.jpg?fitin=700:700,16128.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ サンタイガーリール 単相100V型50m アース付過負荷ブレーカー付 BG-501KX,【条件付き送料無料】,【特長】<br>ハタヤのロングセラーのサンタイガーリールです。<br>漏電・過負荷（使いすぎ）・短絡（ショート）を保護する漏電遮断器付です。<br>しなやかなソフトムケーブルです。<br><br>【用途】<br>建設・建築現場。<br>土木工事。<br>保全作業。<br>プラント工事。<br>設備工事。<br>電気工事。<br><br>【仕様】<br>電線仕様長さ(m):50<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:○<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>電線溶解防止機能:○<br>質量(kg):11.6<br>AC100V<br>電線種:VCTソフトムケーブル<br>ブレーカー付<br>コンセントキャップ付<br>漏電過負荷短絡保護兼用型<br><br>【メーカー名】<br>（株）ハタヤリミテッド<br><br>【原産国】日本<br><br>,ハタヤ サンタイガーリール 単相100V型50m アース付過負荷ブレーカー付 BG-501KX：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーハタヤ サンタイガーリール 単相100V型50m アース付過負荷ブレーカー付 BG-501KX,【条件付き送料無料】。ハタヤ サンタイガーリール 単相100V型50m アース付過負荷ブレーカー付 BG-501KX[rn]
18-8926,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010005814673.jpg?fitin=700:700,8279.2000,,花・ガーデン・DIY > DIY・工具 > その他,日動 100V漏電遮断器付電工ドラム NP-EB24,,【特長】<br>長さ、保護機能、電線種など多種多様のコードリールです。<br><br>【仕様】<br>電線仕様長さ(m):20<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125V アース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:ー<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>質量(kg):5.5<br>AC100V<br>ブレーカー付<br>限度電流:15A<br>ケーブルとドラムの回転を同時に止める「ドラムストッパー」付<br>漏電遮断器仕様:漏電保護専用<br><br>【注意】<br>屋内型です。雨天の屋外では使用しないでください。<br>巻いたまま使用すると焼損するおそれがあります。<br><br>【メーカー名】<br>日動工業（株）<br><br>【原産国】JP<br><br>,日動 100V漏電遮断器付電工ドラム NP-EB24：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー日動 100V漏電遮断器付電工ドラム NP-EB24,日動 100V漏電遮断器付電工ドラム NP-EB24[rn]
18-8927,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010003804813.jpg?fitin=700:700,11436.8000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO プロソフトケーブルコードリール 30m 漏電防止付き BG-301KXT,,【特長】<br>ブレーキストッパー付です。防じんキャップ、ネームプレート付です。<br>冬場でも巻きぐせのつきにくいソフトケーブルを採用しました。<br><br>【仕様】<br>電線仕様長さ(m):30<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):3<br>定格電流(A):5<br>コンセント仕様定格:2P・15A・125Vアース付<br>コンセント仕様形状:[[三芯]]<br>コンセント仕様個数:4<br>温度センサー:-<br>通電ランプ:○<br>接地端子:○<br>2P・3P兼用プラグ:○<br>質量(kg):8.1<br>AC100V<br>電線種:VCT<br>漏電過負荷短絡保護兼用型<br>ブレーカー付<br>コンセントキャップ付<br>アース付<br>漏電遮断機器(漏電15mA感度過負荷15A感度)<br><br>【メーカー名】<br>トラスコ中山（株）<br><br>【原産国】日本<br><br>,TRUSCO プロソフトケーブルコードリール 30m 漏電防止付き BG-301KXT：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーTRUSCO プロソフトケーブルコードリール 30m 漏電防止付き BG-301KXT,TRUSCO プロソフトケーブルコードリール 30m 漏電防止付き BG-301KXT[rn]
18-8928,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/ob2016/3_21/t010006332783.jpg?fitin=700:700,13184.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ 単相100V型ブレーカーリール 20m（抜止め） BR-201,【条件付き送料無料】,【特長】<br>安全作業の必需品、漏電遮断器付タイプです。<br><br>【仕様】<br>電線仕様長さ(m):20<br>電線仕様太さ(mm[[の2乗]]):2.0<br>電線仕様芯数(C):2<br>定格電流(A):7<br>コンセント仕様定格:2P・15A・125V<br>コンセント仕様形状:[[二芯]]抜止め型<br>コンセント仕様個数:3<br>温度センサー:○<br>通電ランプ:○<br>接地端子:-<br>2P・3P兼用プラグ:-<br>質量(kg):6.6<br>AC100V<br>電線種:ソフトンケーブルVCT<br>ブレーカー付<br>アース付<br><br>【メーカー名】<br>（株）ハタヤリミテッド<br><br>【原産国】日本<br><br>,ハタヤ 単相100V型ブレーカーリール 20m（抜止め） BR-201：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダーハタヤ 単相100V型ブレーカーリール 20m（抜止め） BR-201,【条件付き送料無料】。ハタヤ 単相100V型ブレーカーリール 20m（抜止め） BR-201[rn]
