21-9401,http://tshop.r10s.jp/monju/cabinet/00564959/img56531993.jpg?fitin=700:700,481.6000,,花・ガーデン・DIY > DIY・工具 > その他,コンドル　庭ほうきブルロン 700mm,,"＜用途＞
●屋外用掃き掃除<br><p>

＜材質＞<br>
●ハンドル：スチールパイプ<br>
●甲・毛：ポリプロピレン<br>
●毛：ポロプロピレン50％<br>
　　　アレンファイバー50％<br><p>

サイズ：220×700mm<br>
質量：220g<br>",コンドル　庭ほうきブルロン 700mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアコンドル　庭ほうきブルロン 700mm,コンドル　庭ほうきブルロン 700mm[rn]
21-9412,http://tshop.r10s.jp/monju/cabinet/anex/8200-00-75.jpg?fitin=700:700,158.4000,,花・ガーデン・DIY > DIY・工具 > その他,ANEX(兼古製作所)No.8200フォーラインプラスドライバー精密タイプ+0×100,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/anex/8200-00.jpg""></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">◆力が入りやすい4本溝ハンドル</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">◆マグネット付(刃先)</font></td>
  </tr><tr>
    <td align=""left"">
    <hr>
    </td>
  </tr><tr>
    <td align=""center"">
    <table border=""1"">
      <tr>
        <td align=""center""><b><font size=""-1"">種類</font></b></td>
        <td align=""center""><font size=""-1""><b>品番</b></font></td>
        <td align=""center""><font size=""-1""><b>刃幅(mm)</b></font></td>
        <td align=""center""><b><font size=""-1"">軸長(mm)</font></b></td>
        <td align=""center""><b><font size=""-1"">軸径(mm)</font></b></td>
        <td align=""center""><b><font size=""-1"">全長(mm)</font></b></td>
      </tr><tr>
        <td align=""center"" rowspan=""3"">マイナス</td>
        <td align=""center"">8200-25-75</td>
        <td align=""center"" rowspan=""3"">2.5</td>
        <td align=""center"">75</td>
        <td align=""center"" rowspan=""3"">3</td>
        <td align=""center"">125</td>
      </tr><tr>
        <td align=""center"">8200-25-100</td>
        <td align=""center"">100</td>
        <td align=""center"">150</td>
      </tr><tr>
        <td align=""center"">8200-25-150</td>
        <td align=""center"">150</td>
        <td align=""center"">200</td>
      </tr><tr>
        <td align=""center"" rowspan=""3"">プラス</td>
        <td align=""center"">8200-00-75</td>
        <td align=""center"">No.00</td>
        <td align=""center"" rowspan=""2"">75</td>
        <td align=""center"" rowspan=""3"">3</td>
        <td align=""center"">125</td>
      </tr><tr>
        <td align=""center"">8200-0-75</td>
        <td align=""center"" rowspan=""2"">No.0</td>
        <td align=""center"">125</td>
      </tr><tr>
        <td align=""center"">8200-0-100</td>
        <td align=""center"">100</td>
        <td align=""center"">150</td>
      </tr>
    </table>
    </td>
  </tr>
</table>
</center><br>",ANEX(兼古製作所)No.8200フォーラインプラスドライバー精密タイプ+0&times;100：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアANEX(兼古製作所)No.8200フォーラインプラスドライバー精密タイプ+0&times;100,ANEX(兼古製作所)No.8200フォーラインプラスドライバー精密タイプ+0&times;100[rn]
21-9413,http://tshop.r10s.jp/monju/cabinet/00564959/img56530399.jpg?fitin=700:700,332.0000,,花・ガーデン・DIY > DIY・工具 > その他,3M(スリーエム)　スコッチブライト　抗菌ウレタンスポンジ2個(リーフ型、三層タイプ)70×115×35,,"特長<BR>
●傷をつけずにプラスチック、ステンレスの汚れを落とします。<BR>
●ウレタンスポンジにナイロン不織布を両面に貼り合わせたスポンジたわしです。<BR>
●リーフ型の使い勝手の良さが好評です。<BR>
●研磨粒子はついていません。<BR>
<BR>
<BR>
材質<BR>
●ナイロン不織布・ウレタンスポンジ<BR>
●サイズ：70×115×35mm 2個入り<BR><br>",3M(スリーエム)　スコッチブライト　抗菌ウレタンスポンジ2個(リーフ型、三層タイプ)70&times;115&times;35：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチブライト　抗菌ウレタンスポンジ2個(リーフ型、三層タイプ)70&times;115&times;35,3M(スリーエム)　スコッチブライト　抗菌ウレタンスポンジ2個(リーフ型、三層タイプ)70&times;115&times;35[rn]
21-9414,http://tshop.r10s.jp/monju/cabinet/00564959/img56530497.jpg?fitin=700:700,452.0000,,花・ガーデン・DIY > DIY・工具 > その他,New　カラークリーナー160×80×35,,"特長<BR>
●HACCP対策としてエリアごとの色分け使用に最適です。<BR>
●無機系抗菌スポンジを使用し衛生的です。<BR>
●ポリエステル特殊加工で傷が付きません。<BR>
<BR>
<BR>
材質<BR>
●ポリエステルフィルム<BR>
●ポリエステル丸系。無機系抗菌スポンジ<BR>
●サイズ：160×80×35mm <BR><br>",New　カラークリーナー160&times;80&times;35：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアNew　カラークリーナー160&times;80&times;35,New　カラークリーナー160&times;80&times;35[rn]
21-9415,http://tshop.r10s.jp/monju/cabinet/esco12/img61258779.jpg?fitin=700:700,1768.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＩＶアースコード(単線)  20m,,"●カラー…グリーン<BR>
●耐熱…60℃<br>
●定格容量…15A 600V(1.6mm×単心)<br>
●長さ…20m<br>
●仕様…単線<br>",ＩＶアースコード(単線)  20m：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアＩＶアースコード(単線)  20m,ＩＶアースコード(単線)  20m[rn]
21-9416,http://tshop.r10s.jp/monju/cabinet/00058755/img04041450.gif?fitin=700:700,780.0000,,花・ガーデン・DIY > DIY・工具 > その他,正和電工　電線アースコード（ＶＳＦコード）2．0×10ｍ,,"★特徴★<BR>
●主に室内で使用する交流300V以下の、小型電気器具に用いる電線で、より線の導体にビニール絶縁を施したものです。（単芯ビニールコード）<BR>
●アース線や、電気器具内のリード線として使用されます<BR>
<P>
★仕様★<BR>
●JIS C3306規格品<BR>
●導体（より線） 断面積:2.0mm[[の2乗]] 素線数（本）/素線径:37/0.26mm 外径:1.8mm<BR>
●絶縁体厚さ:0.8mm<BR>
●外寸:3.4mm<BR>
●VSF（単芯）ビニールコード<BR>
●色:緑<BR>
●芯数:1<BR>
●全長(m):10<BR>
●定格:125V-15A<BR><br>",正和電工　電線アースコード（ＶＳＦコード）2．0&times;10ｍ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア正和電工　電線アースコード（ＶＳＦコード）2．0&times;10ｍ,正和電工　電線アースコード（ＶＳＦコード）2．0&times;10ｍ[rn]
21-9417,http://tshop.r10s.jp/monju/cabinet/00058755/img04041484.gif?fitin=700:700,1784.8000,,花・ガーデン・DIY > DIY・工具 > その他,正和電工　電線ビニールキャプタイヤコード（VCTFK平型コード）　1.25×2芯×20m,,"小巻の電線です★特徴★<BR>
●主に室内で使用する交流300V以下の電気器具などに用いる電線で、2芯を平行にし、外装としてビニールシースを施したものです。<BR>
●家庭用または、業務用電気器具のプラグ付電源コードおよび延長コードとして使用されています<BR>
<P>
★仕様★<BR>
●JIS C3306規格品<BR>
●導体（より線） 断面積:1.25mm[[の2乗]] 素線数（本）/素線径:50/0.18mm 外径:1.5mm<BR>
●絶縁体厚さ:0.6mm<BR>
●外寸:4.7×7.4mm<BR>
●電気器具用VCTFKビニールキャブタイヤコード<BR> ●色:灰<BR>
●芯数:2<BR>
●全長(m):20<BR>
●定格:125V-12A<br>",正和電工　電線ビニールキャプタイヤコード（VCTFK平型コード）　1.25&times;2芯&times;20m：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア正和電工　電線ビニールキャプタイヤコード（VCTFK平型コード）　1.25&times;2芯&times;20m,正和電工　電線ビニールキャプタイヤコード（VCTFK平型コード）　1.25&times;2芯&times;20m[rn]
21-9418,http://tshop.r10s.jp/monju/cabinet/00058755/img04041267.gif?fitin=700:700,1530.4000,,花・ガーデン・DIY > DIY・工具 > その他,正和電工　電線600V絶縁ビニールシースケーブル（VVFケーブル）　2.0×2芯×5m,,"★特徴★<BR>
●定格600Vの屋内配線、動力用配線などとして広く使用されるビニール絶縁、ビニールシース（外装被覆）の平形ケーブルです<BR>
<P>
★使用条件★<BR>
●VVFケーブルを使用しての屋内配線工事、動力配線工事は法令により電気工事士の有資格者以外の方は、工事施工することはできません。<BR>
<P>
★仕様★<BR>
●JIS C3342規格品<br>
●導体（単線）抵抗（20℃）:5.65Ω/km 外径:2.0mm<br>
●絶縁体厚さ:0.8mm<br>
●外寸:約6.6×10.5mm<br>
●色:灰<br>
●芯数:2<br>
●全長(m):5<br>
●定格:600V-23A<br>",正和電工　電線600V絶縁ビニールシースケーブル（VVFケーブル）　2.0&times;2芯&times;5m：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア正和電工　電線600V絶縁ビニールシースケーブル（VVFケーブル）　2.0&times;2芯&times;5m,正和電工　電線600V絶縁ビニールシースケーブル（VVFケーブル）　2.0&times;2芯&times;5m[rn]
21-9419,http://tshop.r10s.jp/monju/cabinet/esco12/img61259179.jpg?fitin=700:700,1200.0000,,花・ガーデン・DIY > DIY・工具 > その他,スピーカーコード(赤/黒)  10m,,"●長さ…10m<br>
●定格容量…7A 125V(0.75mm2×2心)<br>
●カラー…レッド・ブラック<br>",スピーカーコード(赤/黒)  10m：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアスピーカーコード(赤/黒)  10m,スピーカーコード(赤/黒)  10m[rn]
21-9420,http://tshop.r10s.jp/monju/cabinet/00308061/img55321092.jpg?fitin=700:700,2587.2000,,花・ガーデン・DIY > DIY・工具 > その他,TASCO（タスコ）アルミフィンの清掃に　フィンクリーナーブラシ　TA504FB,,"ステンレス製ワイヤー<br>
全長・・・２４０ｍｍ<br>
ブラシ幅・・・１００ｍｍ<br><br>",TASCO（タスコ）アルミフィンの清掃に　フィンクリーナーブラシ　TA504FB：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTASCO（タスコ）アルミフィンの清掃に　フィンクリーナーブラシ　TA504FB,TASCO（タスコ）アルミフィンの清掃に　フィンクリーナーブラシ　TA504FB[rn]
21-9421,http://tshop.r10s.jp/monju/cabinet/00564959/img56530495.jpg?fitin=700:700,383.2000,,花・ガーデン・DIY > DIY・工具 > その他,3M(スリーエム)　スコッチブライト　抗菌パワフルネットスポンジ2個入　150×80×20,,"特長<BR>
●網み目が細かいパワフルネットです。<BR>
●こびりつきや油汚れを傷つけずに落とせます。<BR>
●研磨粒子はついていません。<BR>
<BR>
<BR>
材質<BR>
●ポリエステルフィルム<BR>
●ウレタンスポンジ<BR>
●色：グリーン/イエロー2個入り<BR>
●サイズ：150×80×20mm <BR><br>",3M(スリーエム)　スコッチブライト　抗菌パワフルネットスポンジ2個入　150&times;80&times;20：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチブライト　抗菌パワフルネットスポンジ2個入　150&times;80&times;20,3M(スリーエム)　スコッチブライト　抗菌パワフルネットスポンジ2個入　150&times;80&times;20[rn]
21-9422,http://tshop.r10s.jp/monju/cabinet/00564959/img56530488.jpg?fitin=700:700,532.8000,,花・ガーデン・DIY > DIY・工具 > その他,カウゼル　ルースターLS-3ロング170×85×40,,"特長<BR>
●特殊加工したアルミ微粒子が金属クレンザーの役目をします。<BR>
●樹脂、テフロン、ステンレス、ガラス等に傷が付きにくく、汚れを簡単に落とします。<BR>
●泡立ちが良い、ソフトタイプです。<BR>
<BR>
<BR>
材質<BR>
●ルースターフラット(高純度アルミ)<BR>
●ナイロンヤーン・ウレタンスポンジ<BR>
●サイズ：170×95×45mm <BR><br>",カウゼル　ルースターLS-3ロング170&times;85&times;40：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアカウゼル　ルースターLS-3ロング170&times;85&times;40,カウゼル　ルースターLS-3ロング170&times;85&times;40[rn]
