27-9901,http://tshop.r10s.jp/egaos/cabinet/trusco-a/4/4044584.jpg?fitin=700:700,9882.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＯＧＡ　２－４２内径用ブレード６０°刃先１４°ＨＳＳ　ＫＰ０１３４０１４,,■用途<br>●２―４２内径カウンターシンク６０°用替刃<br><br>■仕様<br>●材質:高速度鋼<br>●適用本体:KP01-116<br>●刃先すくい角(°):14<br>●コーナー数:2<br>●面取り角度(°):60<br>●型式タイプ:2-42<br><br>■材質・仕上げ<br>●ハイス鋼,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４：GAOS　楽天市場店,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４[rn]
27-9912,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4326822.jpg?fitin=700:700,1458.4000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　ハンディレベル　ＭＥＧＡ－ＭＡＧ　１５０ｍｍ黒マグネット付　７３１３３,,■用途<br>●水平、垂直、45°の測定に。<br><br>■特長<br>●吸着力３倍（従来品比）の超強力マグネット付で鉄骨工事に最適です。<br>●カラビナや落下防止コードを取り付けられる両端ステンフック付です。<br>●蓄光シート付水平気泡管です。<br><br>■仕様<br>●長さ(mm):150<br>●高さ(mm):50<br>●厚み(mm):30<br>●マグネット:2ヵ所<br>●色:黒<br>●感度:0.35mm/m<br>●精度:±1.0mm/m<br>●精度:±1mm/m＝±0.0573°以内<br>●感度:0.35mm/m＝0.0201°<br><br>■材質・仕上げ<br>●本体：アルミニウム・ABS樹脂<br>●気泡管：アクリル樹脂（PMMA)<br>●気泡液：石油系液<br>●磁石：ネオジム磁石<br>●フック：ステンレス<br><br>■注意事項<br>●落下等による衝撃を与えないでください。<br>●強力なマグネットが付いているので精密機器には近づけないでください。,シンワ　ハンディレベル　ＭＥＧＡ&minus;ＭＡＧ　１５０ｍｍ黒マグネット付　７３１３３：GAOS　楽天市場店,シンワ　ハンディレベル　ＭＥＧＡ&minus;ＭＡＧ　１５０ｍｍ黒マグネット付　７３１３３,シンワ　ハンディレベル　ＭＥＧＡ&minus;ＭＡＧ　１５０ｍｍ黒マグネット付　７３１３３[rn]
27-9913,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4158261.jpg?fitin=700:700,3484.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　９００ｍｍ　水平・垂直・４５°　ＴＬ９００Ｍ,,■用途<br>●傾き測定に。<br><br>■特長<br>●レンズ効果で大きく見えるカマボコ型気泡管です。（水平）<br>●４５°測定可能です。<br>●箱型フレーム・スケール目盛付です。<br>●端面カバーが平らですので壁などにしっかりあてて測定が可能です。<br>●磁石付で鉄骨工事の測定に便利です。<br><br>■仕様<br>●長さ(mm):900<br>●高さ(mm):50.5<br>●厚み(mm):19<br>●マグネット:2ヵ所<br>●精度:±1.5mm/m=±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br>●マグネット付<br><br>■材質・仕上げ<br>●本体:アルミニウム<br>●気泡管：アクリル樹脂(PMMA),ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　９００ｍｍ　水平・垂直・４５&deg;　ＴＬ９００Ｍ：GAOS　楽天市場店,ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　９００ｍｍ　水平・垂直・４５&deg;　ＴＬ９００Ｍ,ＴＲＵＳＣＯ　アルミレベル　箱型　マグネット付　９００ｍｍ　水平・垂直・４５&deg;　ＴＬ９００Ｍ[rn]
27-9914,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4050711.jpg?fitin=700:700,1739.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　マグネット付　箱型アルミレベル　Ｌ５５０Ｍ３８０ＭＭ,,■用途<br>●大工工事、機械据付、排水電気工事　その他全般に。<br><br>■特長<br>●見やすい大型気泡管を搭載しています。<br>●仮枠大工さんに便利な垂直測定マド付です。<br>●磁石付で鉄骨工事の測定に便利です。<br>●配管工事対応V溝マグネット付です。<br><br>■仕様<br>●長さ(mm):380<br>●高さ(mm):50.5<br>●厚み(mm):19<br>●マグネット:2ヵ所<br>●精度:±1.5ｍｍ／ｍ＝±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br>●箱型フレーム<br><br>■材質・仕上げ<br>●本体：アルミ<br>●気泡管：アクリル樹脂（PMMA),ＫＯＤ　マグネット付　箱型アルミレベル　Ｌ５５０Ｍ３８０ＭＭ：GAOS　楽天市場店,ＫＯＤ　マグネット付　箱型アルミレベル　Ｌ５５０Ｍ３８０ＭＭ,ＫＯＤ　マグネット付　箱型アルミレベル　Ｌ５５０Ｍ３８０ＭＭ[rn]
27-9915,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2197243.jpg?fitin=700:700,3741.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　アルミスタッフ５ｍ５段　Ｋ５５２Ｗ,,■用途<br>●測量作業。<br><br>■特長<br>●計測・記録写真などのあらゆる用途で大活躍です。<br><br>■仕様<br>●タイプ(段):5<br>●幅(mm):50<br>●縮長～全長(mm):1243～5000<br>●表目盛:5mm単位 10mm単位追番数字、1m単位黄・白色分け<br>●裏目盛:50・100mm単位、1m単位紅白色分け<br><br>■材質・仕上げ<br>●アルミ合金,ＫＤＳ　アルミスタッフ５ｍ５段　Ｋ５５２Ｗ：GAOS　楽天市場店,ＫＤＳ　アルミスタッフ５ｍ５段　Ｋ５５２Ｗ,ＫＤＳ　アルミスタッフ５ｍ５段　Ｋ５５２Ｗ[rn]
27-9916,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7515294.jpg?fitin=700:700,604.8000,,花・ガーデン・DIY > DIY・工具 > その他,たくみ　７ＣＯＬＯＲ　極太　イエロー　１３０Ｍ　４８０２,,■用途<br>●基礎工事、一般測量用に。<br>●土木、建築、一般測量用。<br><br>■特長<br>●伸縮ハンドルで、２通りの持ち方ができます。<br>●糸の残量がわかるABS樹脂製リールです。<br>●水糸専用の高品質ナイロンを使用しています。<br><br>■仕様<br>●色:蛍光イエロー<br>●線径(mm):約1.2mm<br>●糸長さ(m):130<br><br>■材質・仕上げ<br>●水糸：ナイロン<br>●リール：ＡＢＳ<br>●回転軸：ＰＳ,たくみ　７ＣＯＬＯＲ　極太　イエロー　１３０Ｍ　４８０２：GAOS　楽天市場店,たくみ　７ＣＯＬＯＲ　極太　イエロー　１３０Ｍ　４８０２,たくみ　７ＣＯＬＯＲ　極太　イエロー　１３０Ｍ　４８０２[rn]
27-9917,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4198361.jpg?fitin=700:700,64260.0000,,花・ガーデン・DIY > DIY・工具 > その他,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１０１Ｐ,,■用途<br>●内装、設備、大工工事<br><br>■特長<br>●小型軽量です。<br>●耐衝撃が向上しました。<br>●壁十文字（水平＋鉛直タイプ）です。<br><br>■仕様<br>●縦(mm):160<br>●横(mm):32<br>●精度:±3mm/10m<br>●自動補正範囲:±4°<br>●色:ピンク<br>●電源:単3アルカリ乾電池×1本（別売）<br>●使用時間８時間(アルカリ単３×１)<br><br>■材質・仕上げ<br>●外郭部ＰＣ及びＡＢＳ樹脂<br><br>■セット内容・付属品<br>●レーザー墨出器<br>●回転台<br>●アルミケース<br>●測量器用三脚取付金具（5/8インチ）<br>●三脚は付いておりません。,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１０１Ｐ：GAOS　楽天市場店,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１０１Ｐ,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１０１Ｐ[rn]
27-9918,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4146468.jpg?fitin=700:700,4899.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　現場写真用スチール製ホワイトボード　Ｈ５９５ＸＨ４４５　縦型　ＴＳＷＢ２,,<br><br>■特長<br>●立てかけ式ホワイトボードタイプの工事用表示板です。<br>●木製タイプよりも丈夫で繰り返し使用に向きます。<br>●スチール製ですのでマグネットも使用できます。（裏面は使用できません）<br><br>■仕様<br>●縦(mm):595<br>●横(mm):445<br><br>■セット内容・付属品<br>●マーカーペン黒赤各１本<br>●ラーフル1個<br><br>■注意事項<br>●ボード裏面にはマグネットが吸着しません。,ＴＲＵＳＣＯ　現場写真用スチール製ホワイトボード　Ｈ５９５ＸＨ４４５　縦型　ＴＳＷＢ２：GAOS　楽天市場店,ＴＲＵＳＣＯ　現場写真用スチール製ホワイトボード　Ｈ５９５ＸＨ４４５　縦型　ＴＳＷＢ２,ＴＲＵＳＣＯ　現場写真用スチール製ホワイトボード　Ｈ５９５ＸＨ４４５　縦型　ＴＳＷＢ２[rn]
27-9919,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4718828.jpg?fitin=700:700,2186.4000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　セフＧ７ロックマグ爪２５　５．０ｍ　ホワイト　ＳＦＧ７ＬＭ２５５０Ｗ,,■用途<br>●長さ測定用<br><br>■特長<br>●片手で簡単脱着できる、落下防止用ベルトホルダ付です。<br>●剛性力アップのためテープを厚くした剛厚テープを採用しています。<br>●コンパクトなケースを採用しています。<br>●鉄にガッチリ付く、マグ爪採用です。<br><br>■仕様<br>●テープ長さ(m):5<br>●テープ幅(mm):25<br>●水平保持(m):2.6<br>●メートル目盛<br>●JIS1級<br>●両面目盛<br>●剛厚ホワイトテープ<br>●ヨンゴーゴーピッチ表示付<br>●ストラップ付<br>●落下防止ベルトホルダー付、取り付け可能ベルトサイズ 幅60mm以内/厚み5.5mm以内<br>●爪飛び防止用プロテクター付<br><br>■材質・仕上げ<br>●テープ：スチール<br><br>■注意事項<br>●本製品には通電性があります。感電に注意して下さい。<br>●テープのエッジで手を切る恐れがありますので、手袋を着用して下さい。,タジマ　セフＧ７ロックマグ爪２５　５．０ｍ　ホワイト　ＳＦＧ７ＬＭ２５５０Ｗ：GAOS　楽天市場店,タジマ　セフＧ７ロックマグ爪２５　５．０ｍ　ホワイト　ＳＦＧ７ＬＭ２５５０Ｗ,タジマ　セフＧ７ロックマグ爪２５　５．０ｍ　ホワイト　ＳＦＧ７ＬＭ２５５０Ｗ[rn]
27-9920,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2298244.jpg?fitin=700:700,936.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　下げ振りキャッチ本体　ＴＳＨ４５,,■用途<br>●鉄骨・柱・丸セパ・アルミサッシなどの垂直測定に。<br><br>■特長<br>●糸通し穴1.8mm。<br><br>■仕様<br>●糸長さ(m):4.5<br>●適用下げ振り重量(g):100～750<br>●適用:キャッチのみ<br>●縦(mm):95<br>●横(mm):82<br>●キャッチ寸法:95×82mm,ＴＲＵＳＣＯ　下げ振りキャッチ本体　ＴＳＨ４５：GAOS　楽天市場店,ＴＲＵＳＣＯ　下げ振りキャッチ本体　ＴＳＨ４５,ＴＲＵＳＣＯ　下げ振りキャッチ本体　ＴＳＨ４５[rn]
27-9921,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2853345.jpg?fitin=700:700,4850.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ロードカウンター　シングル車輪　ＴＲＣ５０,,<br><br>■特長<br>●ハンドル部はアルミ伸縮タイプで調節可能です。<br>●収納・携帯に便利な収納バッグ（ショルダーバッグ型）付です。<br><br>■仕様<br>●測定範囲:1cm～999.99m<br>●車輪径(mm):97<br>●縮長～全長(mm):500～1030<br>●表示桁数:5<br>●ハンドル伸縮式,ＴＲＵＳＣＯ　ロードカウンター　シングル車輪　ＴＲＣ５０：GAOS　楽天市場店,ＴＲＵＳＣＯ　ロードカウンター　シングル車輪　ＴＲＣ５０,ＴＲＵＳＣＯ　ロードカウンター　シングル車輪　ＴＲＣ５０[rn]
27-9922,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4064593.jpg?fitin=700:700,9234.4000,,花・ガーデン・DIY > DIY・工具 > その他,宣真　　デジタルメジャー４型　Ｄ４,,■用途<br>●道路、土木、配管、建築各工場。<br>●交通事故処理。<br>●学校教材。<br>●造園、レクリエーション設備のレイアウト。<br>●ゴルフ場。<br>●内装。<br>●不動産。<br>●運動場。<br>●保険の調査。<br>●各官庁の調査。<br><br>■特長<br>●一人で歩きながら、簡単に距離測定ができます。<br>●測定作業が安全・迅速・正確にできます。<br>●測定距離は一目でわかる自動表示です。<br>●測定単位は１cm～１ｋｍまで測れます。（５ケタ表示）。<br>●カウンターは防滴箱型密閉式です。<br>●軽量設計だから距離測定はもちろん持ち運びにも便利です。<br>●部品交換が簡単に出来ます。<br>●ピンロック式のステッキですからワンタッチでコンパクトに収納できます。<br><br>■仕様<br>●測定範囲:1cm～999.99m<br>●車輪径(mm):100<br>●縮長～全長(mm):260～1030<br>●表示桁数:5<br>●表示方法:カウンター表示<br>●車輪円周(m):0.3085<br>●ステッキ:伸縮ピンロック式<br><br>■材質・仕上げ<br>●車輪素材：寸法安定性、耐薬品性、耐衝撃性にすぐれたプラスチックを採用。<br>●ステッキ：真鍮<br><br>■セット内容・付属品<br>●ケース<br><br>■注意事項<br>●このメートル測定機は概測用としてご使用下さい。<br>●普通の歩行速度で歩いて測定して下さい。<br>●使用前カウンターのゼロ戻しボタンを押して数列を０にして下さい。<br>●ゼロ戻しボタンは、足などで乱暴に扱わないで下さい。<br>●使用温度範囲０℃～４０℃。,宣真　　デジタルメジャー４型　Ｄ４：GAOS　楽天市場店,宣真　　デジタルメジャー４型　Ｄ４,宣真　　デジタルメジャー４型　Ｄ４[rn]
27-9923,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4050584.jpg?fitin=700:700,4725.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　配管職人用水平器　ＨＬ４５０,,■用途<br>●排水設備工事に。<br><br>■特長<br>●1本で6役。1/50・1/100・水平・垂直・45°・マスレベル・勾配が測定できます。<br>●Iビーム型フレームです。<br>●V溝付測定面です。<br><br>■仕様<br>●長さ(mm):450<br>●高さ(mm):56<br>●厚み(mm):26<br>●マグネット:なし<br>●精度:±1.5ｍｍ／ｍ＝±0.0859°以内<br>●水平・勾配気泡管　感度:0.5ｍｍ／ｍ＝0.0286°<br>●垂直・45°気泡管　感度:0.5ｍｍ／ｍ＝0.0286°<br>●丸型マス測定気泡管　感度:1.33ｍｍ／ｍ＝0.0746°<br><br>■材質・仕上げ<br>●本体:アルミ<br>●気泡管：アクリル樹脂（PMMA),ＫＯＤ　配管職人用水平器　ＨＬ４５０：GAOS　楽天市場店,ＫＯＤ　配管職人用水平器　ＨＬ４５０,ＫＯＤ　配管職人用水平器　ＨＬ４５０[rn]
27-9924,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4105605.jpg?fitin=700:700,1944.0000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　トビレベル－２　シルバー／レッド　ＥＤＴＢ２ＮＲ,,■用途<br>●足場組立用に。<br>●水平・垂直の測定に。<br><br>■特長<br>●大型シャックルでスピーディーに収納と取り出しができます。<br>●カラビナ対応シャックルを内蔵しています。<br>●落下防止コード対応シャックルを内蔵しています。<br>●超強力磁石付で鉄骨工事に便利です。<br>●測定基準面にV溝付でパイプなどが測定できます。<br><br>■仕様<br>●長さ(mm):120<br>●高さ(mm):43<br>●厚み(mm):16<br>●マグネット:1ヵ所<br>●本体色:シルバー<br>●気泡管色:レッド<br>●精度:±1.00mm/m=±0.0573°以内<br>●感度:0.50mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA）<br>●カバー：PC樹脂<br>●シャックル：真鍮,エビスダイヤモンド　トビレベル&minus;２　シルバー／レッド　ＥＤＴＢ２ＮＲ：GAOS　楽天市場店,エビスダイヤモンド　トビレベル&minus;２　シルバー／レッド　ＥＤＴＢ２ＮＲ,エビスダイヤモンド　トビレベル&minus;２　シルバー／レッド　ＥＤＴＢ２ＮＲ[rn]
27-9925,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4326954.jpg?fitin=700:700,364.0000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　粉付３倍太糸　２０ｍ巻　チョークライン用　７７５６２,,■用途<br>●チョークライン5倍速手巻用替糸に。<br><br>■特長<br>●従来の3倍粉付きが良い特殊繊維を使用してます。<br>●切れにくい太糸タイプです。<br><br>■仕様<br>●色:白<br>●線径(mm):1<br>●糸長さ(m):20<br><br>■材質・仕上げ<br>●糸：ポリエステル<br><br>■注意事項<br>●墨つぼには使えません。,シンワ　粉付３倍太糸　２０ｍ巻　チョークライン用　７７５６２：GAOS　楽天市場店,シンワ　粉付３倍太糸　２０ｍ巻　チョークライン用　７７５６２,シンワ　粉付３倍太糸　２０ｍ巻　チョークライン用　７７５６２[rn]
27-9926,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3981878.jpg?fitin=700:700,353.6000,,花・ガーデン・DIY > DIY・工具 > その他,たくみ　ノック式鉛筆替え芯　２Ｂ　７７８７,,■用途<br>●建築マーキング用に。<br>●木材・コンクリート・石材用に。<br><br>■特長<br>●水濡れにも強い耐熱２ｍｍ替芯です。<br><br>■仕様<br>●色:黒（2B）<br>●芯径:2mm<br><br>■材質・仕上げ<br>●黒鉛,たくみ　ノック式鉛筆替え芯　２Ｂ　７７８７：GAOS　楽天市場店,たくみ　ノック式鉛筆替え芯　２Ｂ　７７８７,たくみ　ノック式鉛筆替え芯　２Ｂ　７７８７[rn]
27-9927,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7569050.jpg?fitin=700:700,777.6000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　　　　　　　ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック　７３２８４,,■用途<br>●墨液を使用した基準出しに。<br><br>■特長<br>●新ロック機構採用のタンク蓋で開閉がし易くなりました。<br>●ナスカン対応のフック穴付で高所作業で必須の落下防止コードも取り付け可能です。<br>●セイフティリングで糸の出し入れがスムーズです。<br><br>■仕様<br>●糸長さ(m):30<br>●色:黒<br>●糸径(mm):0.6<br>●墨タンク最大容量(ml):約10<br>●全長(mm):160<br>●手動巻<br>●幅ｘ奥行ｘ高さ:70ｘ38ｘ160mm<br><br>■材質・仕上げ<br>●ABS樹脂、ポリアセタール樹脂、シリコンゴム,シンワ　　　　　　　ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック　７３２８４：GAOS　楽天市場店,シンワ　　　　　　　ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック　７３２８４,シンワ　　　　　　　ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ブラック　７３２８４[rn]
27-9928,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3634493.jpg?fitin=700:700,1858.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　ダブルジーエックス２５巾５．５ｍ　ＧＧＸ２５５５,,<br><br>■特長<br>●砂やホコリの発生する悪環境下での使用にも耐えるよう、耐摩耗性を重視した高耐久テープを採用しています。<br>●握りやすく不意の落下にも対象物や爪を傷付けないプロテクトケースです。<br>●高さ測定に強い両面目盛です。<br>●人間工学に基づき、優しい指掛かりを実現したエラストマーケースです。<br><br>■仕様<br>●テープ長さ(m):5.5<br>●テープ幅(mm):25<br>●水平保持(m):2.4<br>●移動爪<br>●ロックタイプ<br>●JIS1級<br>●両面目盛<br>●455mmピッチ表示:あり<br>●減速ボタン:なし<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール<br>●バネ:ステンレス,ＫＤＳ　ダブルジーエックス２５巾５．５ｍ　ＧＧＸ２５５５：GAOS　楽天市場店,ＫＤＳ　ダブルジーエックス２５巾５．５ｍ　ＧＧＸ２５５５,ＫＤＳ　ダブルジーエックス２５巾５．５ｍ　ＧＧＸ２５５５[rn]
27-9929,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3636011.jpg?fitin=700:700,1919.2000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　Ｇ３ゴールドロック　２５－５５　メートル目盛　Ｇ３ＧＬ２５５５ＢＬ,,■用途<br>●長さ測定用。<br><br>■特長<br>●弾性樹脂で全身をガードしています。<br>●衝撃吸収力に優れたバンパー付です。<br>●新アーマードケースを採用しています。<br>●爪は曲げに強い焼き入れ爪です。<br><br>■仕様<br>●テープ長さ(m):5.5<br>●テープ幅(mm):25<br>●水平保持(m):2.4<br>●移動爪<br>●ロックタイプ<br>●JIS1級<br>●両面目盛<br>●455mmピッチ表示:あり<br>●減速ボタン:なし<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール,タジマ　Ｇ３ゴールドロック　２５&minus;５５　メートル目盛　Ｇ３ＧＬ２５５５ＢＬ：GAOS　楽天市場店,タジマ　Ｇ３ゴールドロック　２５&minus;５５　メートル目盛　Ｇ３ＧＬ２５５５ＢＬ,タジマ　Ｇ３ゴールドロック　２５&minus;５５　メートル目盛　Ｇ３ＧＬ２５５５ＢＬ[rn]
27-9930,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3981789.jpg?fitin=700:700,3899.2000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　モバイルレベル１６０　赤　ＭＬ１６０,,■用途<br>●水平、垂直の測定に。<br><br>■特長<br>●磁石付携帯型アルミ製水平器です。<br>●パイプにしっかり固定できるV字溝測定面です。<br>●大型通し孔付です。<br>●暗所でも読める蓄光プレートを採用しています。<br>●磁束密度約330ミリテスラ（mT）の強力ネオジ磁石を搭載しています。<br><br>■仕様<br>●長さ(mm):160<br>●高さ(mm):45<br>●厚み(mm):18<br>●マグネット:1ヵ所<br>●色:赤<br>●精度:0.0859°<br>●精度:1.50mm/m=0.08590°<br>●感度:-<br>●磁束密度約330ミリテスラ(mT)<br>●※10ガウス(G)＝1ミリテスラ(mT)<br>●＜指標線数＞ 水平:6本リング<br>●＜気泡管精度＞±1.5mm／1m(±0.0859°以内)<br>●アルミダイカストボディ<br><br>■材質・仕上げ<br>●本体：アルミダイカスト<br>●気泡管：アクリル樹脂(PMMA)<br><br>■注意事項<br>●万が一気泡管の破損等による液漏れで身体に液が付着した場合は直ちに清浄な水で洗い流して下さい。目に入った場合は眼科医の手当てを受けて下さい。,タジマ　モバイルレベル１６０　赤　ＭＬ１６０：GAOS　楽天市場店,タジマ　モバイルレベル１６０　赤　ＭＬ１６０,タジマ　モバイルレベル１６０　赤　ＭＬ１６０[rn]
27-9931,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3636020.jpg?fitin=700:700,2473.6000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　Ｇ３ゴールド　ロック２５－７５　メートル目盛　Ｇ３ＧＬ２５７５ＢＬ,,■用途<br>●長さ測定用。<br><br>■特長<br>●弾性樹脂で全身をガードしています。<br>●衝撃吸収力に優れたバンパー付です。<br>●新アーマードケースを採用しています。<br>●爪は曲げに強い焼き入れ爪です。<br><br>■仕様<br>●テープ長さ(m):7.5<br>●テープ幅(mm):25<br>●水平保持(m):2.4<br>●移動爪<br>●ロックタイプ<br>●JIS1級<br>●両面目盛<br>●455mmピッチ表示:あり<br>●減速ボタン:なし<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール,タジマ　Ｇ３ゴールド　ロック２５&minus;７５　メートル目盛　Ｇ３ＧＬ２５７５ＢＬ：GAOS　楽天市場店,タジマ　Ｇ３ゴールド　ロック２５&minus;７５　メートル目盛　Ｇ３ＧＬ２５７５ＢＬ,タジマ　Ｇ３ゴールド　ロック２５&minus;７５　メートル目盛　Ｇ３ＧＬ２５７５ＢＬ[rn]
27-9932,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4872347.jpg?fitin=700:700,35640.0000,,花・ガーデン・DIY > DIY・工具 > その他,マイゾックス　ＮＥＷエレベーター三脚　ＮＥＬ１８ＳＬ,,■用途<br>●レーザーレベル・オートレベルの設置に。<br><br>■特長<br>●シフティング機構で設置が簡単です。（シフティングの範囲：直径20mmの範囲）<br><br>■仕様<br>●ねじ径(インチ):5/8<br>●全長(mm):1180<br>●縮長～全長(mm):830～1180<br><br>■材質・仕上げ<br>●アルミ合金,マイゾックス　ＮＥＷエレベーター三脚　ＮＥＬ１８ＳＬ：GAOS　楽天市場店,マイゾックス　ＮＥＷエレベーター三脚　ＮＥＬ１８ＳＬ,マイゾックス　ＮＥＷエレベーター三脚　ＮＥＬ１８ＳＬ[rn]
27-9933,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4050916.jpg?fitin=700:700,4336.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　マグネット付　箱型アルミレベル（黒×赤）　ＲＢ２７０Ｍ９００ＭＭ,,■用途<br>●大工工事、機械据付、排水電気工事　その他全般に。<br><br>■特長<br>●レンズ効果で大きく見えるカマボコ型気泡管を搭載しています。<br>●ロングセラーL-270アルミレベルの赤×黒バージョンです。<br>●精度補正機構付です。<br>●調整方法：水平・垂直精度はそれぞれトルクドライバーＴ10番で調整してください。<br>●磁石付で鉄骨工事の測定に便利です。<br><br>■仕様<br>●長さ(mm):900<br>●高さ(mm):50.5<br>●厚み(mm):19<br>●マグネット:2ヵ所<br>●精度:±1.5ｍｍ／ｍ＝±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br>●箱型フレーム<br><br>■材質・仕上げ<br>●本体:アルミ<br>●気泡管：アクリル樹脂(PMMA),ＫＯＤ　マグネット付　箱型アルミレベル（黒&times;赤）　ＲＢ２７０Ｍ９００ＭＭ：GAOS　楽天市場店,ＫＯＤ　マグネット付　箱型アルミレベル（黒&times;赤）　ＲＢ２７０Ｍ９００ＭＭ,ＫＯＤ　マグネット付　箱型アルミレベル（黒&times;赤）　ＲＢ２７０Ｍ９００ＭＭ[rn]
27-9934,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2297248.jpg?fitin=700:700,3265.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　鉄製レベル　３８０ｍｍ　ＬＳ３８０,,■用途<br>●溶接作業などでの水平の確認に。<br><br>■特長<br>●水平精度補正機構付です。<br>●V溝付です。<br><br>■仕様<br>●長さ(mm):380<br>●高さ(mm):42.0<br>●厚み(mm):22.0<br>●マグネット:なし<br>●精度:±1.5mm/m=±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体:鋳鉄<br>●気泡管:アクリル樹脂（PMMA）<br><br>■注意事項<br>●鉄製レベルはマグネット付は製作できません。<br>●気泡管の液色は、紫外線の影響で退色することがありますが、精度、感度への影響はありません。,ＴＲＵＳＣＯ　鉄製レベル　３８０ｍｍ　ＬＳ３８０：GAOS　楽天市場店,ＴＲＵＳＣＯ　鉄製レベル　３８０ｍｍ　ＬＳ３８０,ＴＲＵＳＣＯ　鉄製レベル　３８０ｍｍ　ＬＳ３８０[rn]
