27-9401,http://tshop.r10s.jp/egaos/cabinet/trusco-h/2/12/3986161.jpg?fitin=700:700,756.0000,,花・ガーデン・DIY > DIY・工具 > その他,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,,■用途<br>●工事写真の分類・整理・保管や官公庁や施工主様への提出用にもご利用頂けます。<br><br>■特長<br>●工事写真の分類整理、提出用に最適です。<br><br>■仕様<br>●色:白<br>●タイプ:25穴<br>●ロッ骨式<br>●サイズ:四ツ切＋方眼入フリー台紙(7枚）<br>●台紙:四ツ切判・方眼入フリー台紙7枚(貼付有効サイズ：タテ314×ヨコ245mm),ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ：GAOS　楽天市場店,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ[rn]
27-9412,http://tshop.r10s.jp/egaos/cabinet/trusco-f/8/2/3158756.jpg?fitin=700:700,466.4000,,花・ガーデン・DIY > DIY・工具 > その他,ハンマー　Ｇ型　固定　ウレタン車７５ｍｍ　４２０ＲＵＲ７５ＢＡＲ０１,,<br><br>■特長<br>●耐油性、耐摩耗性に優れています。<br>●RoHS適合品です。<br><br>■仕様<br>●許容荷重(kgf):66.3<br>●車輪径D(mm):75<br>●車輪幅(mm):27<br>●取付高H(mm):90<br>●取付座A×B(mm):70×47<br>●取付ピッチX×Y(mm):55×28<br>●取付穴径P(mm):8.8<br>●許容荷重(N):650<br>●許容荷重(daＮ):65<br>●プレート式<br>●固定式<br><br>■材質・仕上げ<br>●金具:スチール<br>●金具表面処理:三価クロムメッキ仕上げ<br>●車輪:ナイロンホイール、熱可塑性ウレタン,ハンマー　Ｇ型　固定　ウレタン車７５ｍｍ　４２０ＲＵＲ７５ＢＡＲ０１：GAOS　楽天市場店,ハンマー　Ｇ型　固定　ウレタン車７５ｍｍ　４２０ＲＵＲ７５ＢＡＲ０１,ハンマー　Ｇ型　固定　ウレタン車７５ｍｍ　４２０ＲＵＲ７５ＢＡＲ０１[rn]
27-9413,http://tshop.r10s.jp/egaos/cabinet/trusco-a/2/2/6703631.jpg?fitin=700:700,4627.2000,,花・ガーデン・DIY > DIY・工具 > その他,三菱　超硬ドリル　スーパーバニッシュドリル　アルミ・鋳鉄用　外部給油形　ＭＡＥ０３６５ＭＢ,,■用途<br>●被削材:アルミニウム合金、鋳鉄。<br><br>■特長<br>●転造タップ下穴に使用可能です。<br>●ねじれクーラント穴付きにより高速加工可能（ＭＡＳ形）です。<br><br>■仕様<br>●刃径(mm):3.65<br>●溝長(mm):28<br>●全長(mm):68<br>●シャンク径(mm):4<br>●有効加工深さ(l/d):3<br>●スパーバニッシュドリル<br><br>■材質・仕上げ<br>●超硬合金:HTI10,三菱　超硬ドリル　スーパーバニッシュドリル　アルミ・鋳鉄用　外部給油形　ＭＡＥ０３６５ＭＢ：GAOS　楽天市場店,三菱　超硬ドリル　スーパーバニッシュドリル　アルミ・鋳鉄用　外部給油形　ＭＡＥ０３６５ＭＢ,三菱　超硬ドリル　スーパーバニッシュドリル　アルミ・鋳鉄用　外部給油形　ＭＡＥ０３６５ＭＢ[rn]
27-9414,http://tshop.r10s.jp/egaos/cabinet/trusco-b/5/6/3638481.jpg?fitin=700:700,4612.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＯＮＶＵＭ　チューブ　１２ＭＭＸ８．０ＭＭ　２０Ｍ　黒色　ＷＵ１２０８０ＢＫ,,<br><br>■特長<br>●柔軟性に優れ、曲げ半径が非常に小さく、取り扱いが容易です。<br>●機械的強度、特に耐摩耗性に優れています。<br>●非常に軽量です。<br><br>■仕様<br>●色:黒<br>●外径(mm):12<br>●内径(mm):8.0<br>●全長(m):20<br>●最小曲げ半径(mm):150<br>●本体:ポリウレタン<br>●使用流体:空気<br>●使用温度範囲:0～60℃<br>●最高使用圧力:0.8MPa<br><br>■材質・仕上げ<br>●ポリウレタン,ＣＯＮＶＵＭ　チューブ　１２ＭＭＸ８．０ＭＭ　２０Ｍ　黒色　ＷＵ１２０８０ＢＫ：GAOS　楽天市場店,ＣＯＮＶＵＭ　チューブ　１２ＭＭＸ８．０ＭＭ　２０Ｍ　黒色　ＷＵ１２０８０ＢＫ,ＣＯＮＶＵＭ　チューブ　１２ＭＭＸ８．０ＭＭ　２０Ｍ　黒色　ＷＵ１２０８０ＢＫ[rn]
27-9415,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/12/1279670.jpg?fitin=700:700,11383.2000,,花・ガーデン・DIY > DIY・工具 > その他,サンドビック　Ｔ－Ｍａｘ　Ｐ　ネガチップ用シャンクバイト　ＭＷＬＮＲ３２２５Ｐ０８,,■用途<br>●外径旋削・ネガチップ対応。<br>●荒加工から仕上げ加工まで対応。<br><br>■特長<br>●外径荒削りおよび仕上げ用第一推奨旋削工具、チップはネガでセンター穴のため素早く正確な割り出しができます。<br><br>■仕様<br>●適合チップ:WN08<br>●ゲージチップ:WNMG 08 04 08<br>●切り込み角:95<br>●b:25<br>●h:32<br>●f1:32<br>●l1:170<br>●l3:35<br>●クランプ型式:Tmax Pウェッジクランプ,サンドビック　Ｔ&minus;Ｍａｘ　Ｐ　ネガチップ用シャンクバイト　ＭＷＬＮＲ３２２５Ｐ０８：GAOS　楽天市場店,サンドビック　Ｔ&minus;Ｍａｘ　Ｐ　ネガチップ用シャンクバイト　ＭＷＬＮＲ３２２５Ｐ０８,サンドビック　Ｔ&minus;Ｍａｘ　Ｐ　ネガチップ用シャンクバイト　ＭＷＬＮＲ３２２５Ｐ０８[rn]
27-9416,http://tshop.r10s.jp/egaos/cabinet/trusco-b/4/2/3924840.jpg?fitin=700:700,11232.0000,,花・ガーデン・DIY > DIY・工具 > その他,テストー　折りたたみ式防水型温度計　ＴＥＳＴＯ１０４,,<br><br>■特長<br>●折りたたみ式なので持ち運びが手軽で安全です。<br>●防水仕様（IP65）のため流水ですすぐことが可能です。<br>●食品の温度管理に適しています。<br><br>■仕様<br>●測定温度範囲(℃):-50～250<br>●温度最小表示(℃):0.1<br>●容器保護等級:IP65<br>●電源:単4乾電池×2本（付属）<br>●幅×奥行×高さ:48×19×265mm<br>●センサー:NTC<br>●プローブ長:3×106mm<br>●プローブ先端長:32mm/φ2.3mm,テストー　折りたたみ式防水型温度計　ＴＥＳＴＯ１０４：GAOS　楽天市場店,テストー　折りたたみ式防水型温度計　ＴＥＳＴＯ１０４,テストー　折りたたみ式防水型温度計　ＴＥＳＴＯ１０４[rn]
27-9417,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/12/2090635.jpg?fitin=700:700,1084.8000,,花・ガーデン・DIY > DIY・工具 > その他,京セラ　部品　ＬＬ４,,■用途<br>●部品：レバーロックピン<br><br>■特長<br>●部品：レバーロックピンです。<br><br>■仕様<br>●部品：レバーロックピン,京セラ　部品　ＬＬ４：GAOS　楽天市場店,京セラ　部品　ＬＬ４,京セラ　部品　ＬＬ４[rn]
27-9418,http://tshop.r10s.jp/egaos/cabinet/trusco-c/9/4904583.jpg?fitin=700:700,52358.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＵＲＥＦＩＲＥ　Ｍ６ＬＴ　ガーディアン　Ｍ６ＬＴＢ,,<br><br>■特長<br>●1200lmの高品質のLEDおよびTIRレンズとタービン形状のヘッドによってフォーカスされた光線が広範囲まで届きます。<br>●典型的でシンプルなつくりです。<br><br>■仕様<br>●全光束(lm):1200<br>●外径(mm):64<br>●全長(mm):208<br>●電源：リチウム電池123A(6個)付属<br>●最大点灯時間:2時間45分<br>●タクティカルスイッチ<br>●スウィッチ方式:タクティカル<br>●TIR(特殊集光レンズ)<br><br>■材質・仕上げ<br>●6020-T8（航空宇宙用アルミ鋼材）,ＳＵＲＥＦＩＲＥ　Ｍ６ＬＴ　ガーディアン　Ｍ６ＬＴＢ：GAOS　楽天市場店,ＳＵＲＥＦＩＲＥ　Ｍ６ＬＴ　ガーディアン　Ｍ６ＬＴＢ,ＳＵＲＥＦＩＲＥ　Ｍ６ＬＴ　ガーディアン　Ｍ６ＬＴＢ[rn]
27-9419,http://tshop.r10s.jp/egaos/cabinet/trusco-c/4/4706269.jpg?fitin=700:700,7283.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＯＫＵ　ＴＰＢ－４０用アスファルトカッタ４５０×７５（幅）　Ａ０００６００７０,,■用途<br>●土木、建設、建築構造物のコンクリートハツリ作業に。<br>●バリ取り作業に。<br>●土木、建設、建築構造物のコンクリートハツリ作業に。<br>●バリ取り作業に。<br><br>■仕様<br>●全長(mm):450<br>●シャンクサイズ(mm):25.4<br>●適合機種:TPB-40SV<br>●シャンク長さ(ｍｍ):108<br>●カッタ寸法(ｍｍ):75<br>●シャンク形状:六角,ＴＯＫＵ　ＴＰＢ&minus;４０用アスファルトカッタ４５０&times;７５（幅）　Ａ０００６００７０：GAOS　楽天市場店,ＴＯＫＵ　ＴＰＢ&minus;４０用アスファルトカッタ４５０&times;７５（幅）　Ａ０００６００７０,ＴＯＫＵ　ＴＰＢ&minus;４０用アスファルトカッタ４５０&times;７５（幅）　Ａ０００６００７０[rn]
27-9420,http://tshop.r10s.jp/egaos/cabinet/trusco-c/7/4346734.jpg?fitin=700:700,18371.2000,,花・ガーデン・DIY > DIY・工具 > その他,ヒーター付圧力調整器　ＹＲ－５０７Ｖ　ＹＲ５０７Ｖ,,■用途<br>●イナートガス溶接・ハウス栽培・廃水中和<br><br>■特長<br>●減圧時に温度降下するガスに最適です。<br>●出口バルブ付です。<br><br>■仕様<br>●入口接続:W22-14(右)<br>●標準流量:40L/min(炭酸ガス)<br>●圧力計:なし<br>●流体:炭酸ガス・MAGガス<br>●1次側使用圧力:2～15MPa<br>●2次側使用圧力:0.1～0.3MPa<br>●AC100V　190W　電源コード3ｍ<br>●出口接続:Φ8ホース口<br><br>■材質・仕上げ<br>●本体：真鍮<br><br>■注意事項<br>●サイフォン容器では使用不可です。,ヒーター付圧力調整器　ＹＲ&minus;５０７Ｖ　ＹＲ５０７Ｖ：GAOS　楽天市場店,ヒーター付圧力調整器　ＹＲ&minus;５０７Ｖ　ＹＲ５０７Ｖ,ヒーター付圧力調整器　ＹＲ&minus;５０７Ｖ　ＹＲ５０７Ｖ[rn]
27-9421,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/6/2266563.jpg?fitin=700:700,3533.6000,,花・ガーデン・DIY > DIY・工具 > その他,フジトク　ユニオン　ＯＵＰＴ４０Ａ,,■用途<br>●油圧配管（鉄鋼・機械・造船など）の接続に。<br><br>■仕様<br>●L(mm):74<br>●呼び径(A):40<br>●呼び径(B):1 1/2<br>●B(mm):63<br>●呼び径(mm):48.60<br>●使用圧力:12MPa<br><br>■材質・仕上げ<br>●炭素鋼,フジトク　ユニオン　ＯＵＰＴ４０Ａ：GAOS　楽天市場店,フジトク　ユニオン　ＯＵＰＴ４０Ａ,フジトク　ユニオン　ＯＵＰＴ４０Ａ[rn]
27-9422,http://tshop.r10s.jp/egaos/cabinet/trusco-c/12/4/4486307.jpg?fitin=700:700,19116.0000,,花・ガーデン・DIY > DIY・工具 > その他,ネツレン　ＤＤ－Ｂ型　１ＴＯＮ　フック　Ｅ２６８１,,■用途<br>●水平吊り運搬作業。<br><br>■特長<br>●幅を広くし、安定した吊り方ができるよう形状が工夫されています。<br><br>■仕様<br>●基本使用荷重(t):1<br>●寸法(mm)C:45<br>●寸法(mm)D:176<br>●寸法(mm)B:22<br>●寸法(mm)A:68<br>●寸法(mm)E:219<br>●寸法(mm)F:105<br>●寸法(mm)G:149<br>●ワイヤ外れ止め付<br><br>■材質・仕上げ<br>●特殊合金鋼,ネツレン　ＤＤ&minus;Ｂ型　１ＴＯＮ　フック　Ｅ２６８１：GAOS　楽天市場店,ネツレン　ＤＤ&minus;Ｂ型　１ＴＯＮ　フック　Ｅ２６８１,ネツレン　ＤＤ&minus;Ｂ型　１ＴＯＮ　フック　Ｅ２６８１[rn]
27-9423,http://tshop.r10s.jp/egaos/cabinet/trusco-c/12/3/3790134.jpg?fitin=700:700,630.4000,,花・ガーデン・DIY > DIY・工具 > その他,水本　ステンレス　アイナット　ブネジ　捻子径Ｗ－３／８　Ｂ３４９,,■用途<br>●機械器具類の吊り上げなど、一般の荷役に。<br><br>■特長<br>●ナットの頭部がリング状になっているので、ロープ・鎖・ワイヤなどを通して使用できます。<br><br>■仕様<br>●D(mm):8<br>●L(mm):25<br>●H(mm):32<br>●B(mm):17<br>●ねじ径:W3/8<br>●使用荷重(kN):1.47<br>●A(mm):20<br><br>■材質・仕上げ<br>●ステンレス（SUS304）<br>●仕上げ：バレル研磨仕上げ,水本　ステンレス　アイナット　ブネジ　捻子径Ｗ&minus;３／８　Ｂ３４９：GAOS　楽天市場店,水本　ステンレス　アイナット　ブネジ　捻子径Ｗ&minus;３／８　Ｂ３４９,水本　ステンレス　アイナット　ブネジ　捻子径Ｗ&minus;３／８　Ｂ３４９[rn]
27-9424,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/8/4462301.jpg?fitin=700:700,464.8000,,花・ガーデン・DIY > DIY・工具 > その他,トーエー　ＨＩ継手　インサート水栓ソケット　２０　ＨＩＭＷＳ２０,,■用途<br>●HIパイプ（硬質塩ビパイプ）専用継手。<br><br>■特長<br>●普通の工具で簡単に切ったり削ったりできます。<br>●パイプの接続は専用の接着剤で容易に接合でき、漏水の心配がありません。<br><br>■仕様<br>●塩ビ管呼び径:20<br>●寸法(mm)L:59<br>●寸法(mm)D:33<br>●ねじ:Rp3/4<br>●寸法(mm)D2:42<br>●寸法(mm)D1:37<br>●使用温度範囲：0～40℃<br>●最高使用圧力：0.98MPa<br>●JIS　K6743規格<br><br>■材質・仕上げ<br>●耐衝撃性硬質塩化ビニール（HI-PVC）<br><br>■注意事項<br>●給水栓やねじ切り鋼管等と接続する場合は、技術資料やｶﾀﾛｸﾞに記載されている施工方法及び標準締付けﾄﾙｸを守り、過度な締付けを行わないで下さい。,トーエー　ＨＩ継手　インサート水栓ソケット　２０　ＨＩＭＷＳ２０：GAOS　楽天市場店,トーエー　ＨＩ継手　インサート水栓ソケット　２０　ＨＩＭＷＳ２０,トーエー　ＨＩ継手　インサート水栓ソケット　２０　ＨＩＭＷＳ２０[rn]
27-9425,http://tshop.r10s.jp/egaos/cabinet/trusco-c/8/1054376.jpg?fitin=700:700,18617.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　ＡＰ３０２Ｍ,,<br><br>■特長<br>●複数の機器を同時に使用できるので作業効率がアップします。<br>●油やホコリの浸入を防ぐコンセントキャップ付です。<br><br>■仕様<br>●電線仕様長さ(m):30<br>●電線仕様太さ(mm[[の2乗]]):2.0<br>●電線仕様芯数(C):4<br>●定格電流(A):5<br>●コンセント仕様定格:3P・20A・250V アース付<br>●コンセント仕様形状:[[四芯]]<br>●コンセント仕様個数:3<br>●温度センサー:-<br>●通電ランプ:○<br>●接地端子:-<br>●2P・3P兼用プラグ:-<br>●三相200V<br>●電線種:ソフトンVCT<br>●コンセント1個のみ逆配線仕様<br>●アース付,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　ＡＰ３０２Ｍ：GAOS　楽天市場店,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　ＡＰ３０２Ｍ,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　ＡＰ３０２Ｍ[rn]
27-9426,http://tshop.r10s.jp/egaos/cabinet/trusco-c/6/4717635.jpg?fitin=700:700,552.8000,,花・ガーデン・DIY > DIY・工具 > その他,ロック　元気アクリルラッカースプレー　みどり　３００ｍｌ　Ｈ６２８８２７６５,,■用途<br>●電気製品、自転車、家具、工作品などの鉄部、木部、コンクリート。<br><br>■特長<br>●ダブル霧化ノズルで霧が細かくたれにくいです。<br>●つやが良く、速乾性です。<br><br>■仕様<br>●色:みどり<br>●容量(L):0.3<br>●塗布面積:0.8[[平米]]<br>●乾燥時間:20～30分(夏)、30分～1時間(冬)<br>●塗り重ね可能時間:30分以上(20℃)<br><br>■材質・仕上げ<br>●アクリルラッカー,ロック　元気アクリルラッカースプレー　みどり　３００ｍｌ　Ｈ６２８８２７６５：GAOS　楽天市場店,ロック　元気アクリルラッカースプレー　みどり　３００ｍｌ　Ｈ６２８８２７６５,ロック　元気アクリルラッカースプレー　みどり　３００ｍｌ　Ｈ６２８８２７６５[rn]
