6-12303,,2041.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●切断スピードが速くステンレスの切断に最適です。<br><br>●ステンレス・金属の切断に。<br><br>●砥材：AZ<br>●粒度(#)：60<br>●硬度：SBF<br>●外径(mm)：105<br>●刃厚(mm)：1.0<br>●穴径(mm)：15<br>●最高使用回転数(rpm)：14500<br>●質量(g)：300<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石。『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1[rn]
6-12314,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004391944.jpg?fitin=700:700,577.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　ストレートノズル１３５ｍｍ【HSP-3 (800701)】(1128159) 受注単位1,作業用品\作業工具\注油器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●打ち込みニップル用です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　ストレートノズル１３５ｍｍ【HSP-3 (800701)】(1128159) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　ストレートノズル１３５ｍｍ【HSP-3 (800701)】(1128159) 受注単位1,作業用品\作業工具\注油器。『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　ストレートノズル１３５ｍｍ【HSP-3 (800701)】(1128159) 受注単位1[rn]
6-12315,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476420.jpg?fitin=700:700,524.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ロッド【FTR-009】(4147928) 受注単位1,(4147928),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ロッド【FTR-009】(4147928) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ロッド【FTR-009】(4147928) 受注単位1,(4147928)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ロッド【FTR-009】(4147928) 受注単位1[rn]
6-12316,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476419.jpg?fitin=700:700,439.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　下ハンドル【FTK-021-1】(4148894) 受注単位1,(4148894),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　下ハンドル【FTK-021-1】(4148894) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　下ハンドル【FTK-021-1】(4148894) 受注単位1,(4148894)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　下ハンドル【FTK-021-1】(4148894) 受注単位1[rn]
6-12317,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476420.jpg?fitin=700:700,7872.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　シリンダー【FTR-008】(4147910) 受注単位1,(4147910),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　シリンダー【FTR-008】(4147910) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　シリンダー【FTR-008】(4147910) 受注単位1,(4147910)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　シリンダー【FTR-008】(4147910) 受注単位1[rn]
6-12318,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004381992.jpg?fitin=700:700,3392.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　レバー式グリスガン４００ｍｌ【KH-35 (853923)】(1127616) 受注単位1,作業用品\作業工具\注油器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●カートリッジグリス・手詰め兼用です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　レバー式グリスガン４００ｍｌ【KH-35 (853923)】(1127616) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　レバー式グリスガン４００ｍｌ【KH-35 (853923)】(1127616) 受注単位1,作業用品\作業工具\注油器。『カード対応OK！』■〒ヤマダコーポレーション/ヤマダ　レバー式グリスガン４００ｍｌ【KH-35 (853923)】(1127616) 受注単位1[rn]
6-12319,,1839.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オートグリスカップ　６０ｇ【G60N (60G)】(1265661) 受注単位1,(1265661),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●一回の注油で1～3週間自動的にグリスを供給します。<br>●中身が見える透明ボディーを採用しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オートグリスカップ　６０ｇ【G60N (60G)】(1265661) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オートグリスカップ　６０ｇ【G60N (60G)】(1265661) 受注単位1,(1265661)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オートグリスカップ　６０ｇ【G60N (60G)】(1265661) 受注単位1[rn]
6-12320,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476420.jpg?fitin=700:700,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ボルト【FTR-055】(4148304) 受注単位1,(4148304),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ボルト【FTR-055】(4148304) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ボルト【FTR-055】(4148304) 受注単位1,(4148304)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＲ６５Ｇ用　ボルト【FTR-055】(4148304) 受注単位1[rn]
6-12321,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002812130.jpg?fitin=700:700,283.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エーゼット/エーゼット　グリースニップル真鍮６７－６×Ｐ１．０　３個入【GB704】(3349837) 受注単位1,作業用品\作業工具\注油器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒エーゼット/エーゼット　グリースニップル真鍮６７&minus;６&times;Ｐ１．０　３個入【GB704】(3349837) 受注単位1：クローバー資材館,『カード対応OK！』■〒エーゼット/エーゼット　グリースニップル真鍮６７&minus;６&times;Ｐ１．０　３個入【GB704】(3349837) 受注単位1,作業用品\作業工具\注油器。『カード対応OK！』■〒エーゼット/エーゼット　グリースニップル真鍮６７&minus;６&times;Ｐ１．０　３個入【GB704】(3349837) 受注単位1[rn]
6-12322,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005476419.jpg?fitin=700:700,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　カーブワッシャー【FTK-043】(4149181) 受注単位1,(4149181),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　カーブワッシャー【FTK-043】(4149181) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　カーブワッシャー【FTK-043】(4149181) 受注単位1,(4149181)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＦＴＫ７０用　カーブワッシャー【FTK-043】(4149181) 受注単位1[rn]
6-12323,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005085352.jpg?fitin=700:700,2467.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ　グリースガン【CG-400】(3733441) 受注単位1,作業用品\作業工具\注油器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●グリスの充填が楽なカートリッジ式で、グリスの節約にもなります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒京都機械工具/ＫＴＣ　グリースガン【CG-400】(3733441) 受注単位1：クローバー資材館,『カード対応OK！』■〒京都機械工具/ＫＴＣ　グリースガン【CG-400】(3733441) 受注単位1,作業用品\作業工具\注油器。『カード対応OK！』■〒京都機械工具/ＫＴＣ　グリースガン【CG-400】(3733441) 受注単位1[rn]
