14-134301,http://tshop.r10s.jp/kurashikenkou/cabinet/arata/9401820-e.jpg?fitin=700:700,748.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,【M’s one】エア・ケミストリ（スプレー）　300ml【D】（エムズワン　えむずわん　部屋）,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















室内空間に漂うウィルス・菌・臭いに!!<br>
気になる場所に手軽にスプレーできます☆<br><br>
●内容量：300ml<br>
●香り：無香料<br>
●広告文責：e-net shop株式会社　0120-166-353<br>
●区分：医薬部外品(消臭・除菌スプレー)<br>
※本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。<br><br>",【M&rsquo;s one】エア・ケミストリ（スプレー）　300ml【D】（エムズワン　えむずわん　部屋）：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶【M&rsquo;s one】エア・ケミストリ（スプレー）　300ml【D】（エムズワン　えむずわん　部屋）,【税込3990円以上で送料無料】。【M&rsquo;s one】エア・ケミストリ（スプレー）　300ml【D】（エムズワン　えむずわん　部屋）[rn]
14-134327,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762119.jpg?fitin=700:700,464.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,大日本除蟲菊 ゴンゴンアロマ　洋服ダンス用 スウィートカクテル　4個【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















●1年間優雅に香る「ロングラスティング処方」<br>ロングラスティング処方とは<br>残香性の高いベースノートに、独自の配合で厚みを持たせ、奥深い香りが1年間続く新開発の処方です。<br><br>●森をモチーフにしたかわいい容器<br><br>●便利な「おとりかえサイン」<br>取替え時期が一目でわかります。<br><br>●におわない防カビ成分配合<br>カビの発育を抑え、衣類を守ります。<br><br>●「落下防止フック」で落ちにくい<br>フック先端に突起を設けました。<br><br>●香りと防虫、ふたつの効果の「防虫アロマ」<br>防虫アロマとエムペントリンのダブル効果で、使いはじめから最後まで高い防虫効果を発揮します。<br><br>●その他の特長<br>上質な香りを作り出す天然エッセンシャルオイル配合<br><br>【有効成分】<br>防虫成分 : 蒸散性ピレスロイド（エムペントリン）、ハーブ成分（主としてテルピネオール）<br>防カビ成分 <br><br>【適用害虫】イガ、コイガ、ヒメカツオブシムシ、ヒメマルカツオブシムシ <br><br>【有効期間】約1年間<br><br>【使用の目安】 600Lに2個 <br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",大日本除蟲菊 ゴンゴンアロマ　洋服ダンス用 スウィートカクテル　4個【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶大日本除蟲菊 ゴンゴンアロマ　洋服ダンス用 スウィートカクテル　4個【D】,【税込3990円以上で送料無料】。大日本除蟲菊 ゴンゴンアロマ　洋服ダンス用 スウィートカクテル　4個【D】[rn]
14-134328,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762125.jpg?fitin=700:700,212.8000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,大日本除蟲菊 ゴン＆ハーブクローゼット用 3P  【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















●防虫ハーブ成分で効きめが素早く広がる！<br>ゴンの防虫成分「エムペントリン」に効き目が素早く広がる防虫ハーブ成分をプラス。<br>使い始めから最後までしっかり衣類を守りながら、アロマハーブの香りがやさしく包み込みます。 <br>●消臭効果<br>緑茶エキス（消臭成分）配合で、収納空間にこもったニオイも消臭します。<br>●防カビ効果<br>当社独自の臭いのない防カビ成分を配合、カビの発育を抑え、衣類を守ります。<br>※毛皮、金糸・銀糸、ラメ加工・皮革製品等にも使用できます。<br><br>●薬剤揮散通路<br>衣類に挟まれても、完全に揮散口がふさがれないよう段差を設けています。<br>●お取替えサイン
取替え時期が一目でわかるサイン付き。<br>色の変化と文字でお知らせします。<br>●地球にやさしいエコ容器<br>廃棄の際、プラスチック容器と紙の分別が簡単です。容器は再生PETを使用、又従来の容器に比べ70％プラスチック量を軽減しました。（メーカー比）［洋服ダンス用・クローゼット用］<br><br>【適用害虫】イガ、コイガ、ヒメカツオブシムシ、ヒメマルカツオブシムシ<br><br>【有効成分】防虫成分： 蒸散性ピレスロイド(エムペントリン) 、ハーブ成分(主としてテルピネオール) <br>消臭成分：緑茶エキス <br>防カビ成分<br><br>【有効期限】使用開始後　約6カ月<br><br>【使用の目安】クローゼット（2,700L）3個、クローゼット（1,800L）2個<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",大日本除蟲菊 ゴン＆ハーブクローゼット用 3P  【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶大日本除蟲菊 ゴン＆ハーブクローゼット用 3P  【D】,【税込3990円以上で送料無料】。大日本除蟲菊 ゴン＆ハーブクローゼット用 3P  【D】[rn]
14-134329,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762112.jpg?fitin=700:700,302.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ワインレッド【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=green>妖精のおくりもの　アロマでダニよけ（ローズフラワー）！<br>設置方法は吊るすだけ。アロマの力でダニよけ。効果は約1か月(使用状況により異なります)</font><br><br>【用途】室内、自動車用<br>【本体材質】紙<br>【成分】香料、DPG<br>【使用の目安】4?6畳の部屋に1?2枚　※使用状況により異なります。<br>【原産国】日本<br><br>「防ダニ」について　全てのダニを抑制するわけではありません。 <br><br>「消臭」について　※アンモニア臭等の消臭<br><br>【使用上の注意】<br>食べられません。誤食に注意してくだ・ｳい。 <br>車内で使用の際は、落下した場台も含め、エアバッグの作動や運転操作、視界の妨げにならない場所で使用してください。 <br>子供の手の届くところに置かないでください。 <br>引火性がありますので火気付近に置かないでください。 <br>高温になる場所、直射日光のあたる場所、凍結する場所での使用、保管はお避けください。 <br>本体を壁、家具、車の内装、衣類、布製品、マット、プラスチックから3cm以上離してください。変色、変形などを起こす恐れがあります。 <br>万一触れた場合はすぐに布等で拭き取ってください。 <br>人体に使用しないでください。 <br>用途以外に使用しないでください。 <br>ご使用後は各自治体の方法に従って廃棄してください。 <br><br>【製造会社】木村石鹸工業株式会社<br><br>【内容量】1枚<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ワインレッド【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ワインレッド【D】,【税込3990円以上で送料無料】。木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ワインレッド【D】[rn]
14-134330,http://tshop.r10s.jp/kurashikenkou/cabinet/okabe4/9141068-e.jpg?fitin=700:700,168.8000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,消臭タンスシート ブルー 40×360cm【D】【タンスシート 箪笥シート 消臭タンスシート 消臭たん笥シート 抗菌タンスシート 抗菌たん笥シート 防カビタンスシート 防カビたん笥シート 防カビ箪笥シート 消臭シート 抗菌シート 防カビシート】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















消臭・抗菌・防カビ！ イヤなニオイを消し、雑菌・カビの繁殖を防ぐ！<br>
下からの湿気、汚れを防ぎます。 また、汚れは水拭きで簡単に落ちます。<br>
90cm幅の引き出しで4枚、120cm幅の引き出しで3枚取れるフリーカットタイプです。<br>
サイズはハサミで自由にカットできます（たて・よこのカットの目安に便利なデザインの、型押し（凹凸加工）タイプです）。<br>
幅の広い棚等にもカットしてご利用ください（市販の防虫剤・除湿剤と併用できます）。<br>
【消臭・抗菌・防カビ加工の特徴】<br>
・タンスの中の不快な臭いを消し、シート表面の雑菌や裏面のカビの繁殖を防ぎます。<br>
・不快臭（悪臭）だけを科学的作用により消臭します。<br>
・効果は開封後約6ヶ月を目安にしてください<br><br>
●商品サイズ（cm）：幅約40×長さ約360<br>
●重量（g）：約60<br>
●材質：ポリエチレン<br>
●成分<br>
天然植物消臭剤<br>
有機系抗菌剤<br>
有機窒素硫黄系防カビ剤
<br><br>◇◆★消臭タンスシート 関連商品◆◇<br>
イエロー 40×360cm<br>
ブルー 40×360cm<br>",消臭タンスシート ブルー 40&times;360cm【D】【タンスシート 箪笥シート 消臭タンスシート 消臭たん笥シート 抗菌タンスシート 抗菌たん笥シート 防カビタンスシート 防カビたん笥シート 防カビ箪笥シート 消臭シート 抗菌シート 防カビシート】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶消臭タンスシート ブルー 40&times;360cm【D】【タンスシート 箪笥シート 消臭タンスシート 消臭たん笥シート 抗菌タンスシート 抗菌たん笥シート 防カビタンスシート 防カビたん笥シート 防カビ箪笥シート 消臭シート 抗菌シート 防カビシート】,【税込3990円以上で送料無料】。消臭タンスシート ブルー 40&times;360cm【D】【タンスシート 箪笥シート 消臭タンスシート 消臭たん笥シート 抗菌タンスシート 抗菌たん笥シート 防カビタンスシート 防カビたん笥シート 防カビ箪笥シート 消臭シート 抗菌シート 防カビシート】[rn]
14-134331,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762121.jpg?fitin=700:700,932.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,大日本除蟲菊 ゴンゴンアロマ　クローゼット用 リッチフローラル6個【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















●1年間優雅に香る「ロングラスティング処方」<br>ロングラスティング処方とは<br>残香性の高いベースノートに、独自の配合で厚みを持たせ、奥深い香りが1年間続く新開発の処方です。<br><br>●森をモチーフにしたかわいい容器<br><br>●便利な「おとりかえサイン」<br>取替え時期が一目でわかります。<br><br>●におわない防カビ成分配合<br>カビの発育を抑え、衣類を守ります。<br><br>●「落下防止フック」で落ちにくい<br>フック先端に突起を設けました。<br><br>●香りと防虫、ふたつの効果の「防虫アロマ」<br>防虫アロマとエムペントリンのダブル効果で、使いはじめから最後まで高い防虫効果を発揮します。<br><br>●その他の特長<br>上質な香りを作り出す天然エッセンシャルオイル配合<br><br>【有効成分】<br>防虫成分 : 蒸散性ピレスロイド（エムペントリン）、ハーブ成分（主としてテルピネオール）<br>防カビ成分 <br><br>【適用害虫】イガ、コイガ、ヒメカツオブシムシ、ヒメマルカツオブシムシ <br><br>【有効期間】約1年間<br><br>【使用の目安】2,700Lに3個 <br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",大日本除蟲菊 ゴンゴンアロマ　クローゼット用 リッチフローラル6個【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶大日本除蟲菊 ゴンゴンアロマ　クローゼット用 リッチフローラル6個【D】,【税込3990円以上で送料無料】。大日本除蟲菊 ゴンゴンアロマ　クローゼット用 リッチフローラル6個【D】[rn]
14-134332,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762113.jpg?fitin=700:700,302.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ライトブルー【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=green>妖精のおくりもの　アロマでダニよけ（ローズフラワー）！<br>設置方法は吊るすだけ。アロマの力でダニよけ。効果は約1か月(使用状況により異なります)</font><br><br>【用途】室内、自動車用<br>【本体材質】紙<br>【成分】香料、DPG<br>【使用の目安】4?6畳の部屋に1?2枚　※使用状況により異なります。<br>【原産国】日本<br><br>「防ダニ」について　全てのダニを抑制するわけではありません。 <br><br>「消臭」について　※アンモニア臭等の消臭<br><br>【使用上の注意】<br>食べられません。誤食に注意してください。 <br>車内で使用の際は、落下した場台も含め、エアバッグの作動や運転操作、視界の妨げにならない場所で使用してください。 <br>子供の手の届くところに置かないでください。 <br>引火性がありますので火気付近に置かないでください。 <br>高温になる場所、直射日光のあたる場所、凍結する場所での使用、保管はお避けください。 <br>本体を壁、家具、車の内装、衣類、布製品、マット、プラスチックから3cm以上離してください。変色、変形などを起こす恐れがあります。 <br>万一触れた場合はすぐに布等で拭き取ってください。 <br>人体に使用しないでください。 <br>用途以外に使用しないでください。 <br>ご使用後は各自治体の方法に従って廃棄してください。 <br><br>【製造会社】木村石鹸工業株式会社<br><br>【内容量】1枚<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ライトブルー【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ライトブルー【D】,【税込3990円以上で送料無料】。木村石鹸工業 アロマでダニよけ　ローズフラワーの香り　 ライトブルー【D】[rn]
14-134333,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762103.jpg?fitin=700:700,458.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,アース製薬 ピレパラアース　洋服ダンス用 柔軟剤の香り　シルキーアロマ【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















●凸凹シートから有効成分が効率よく揮散するので大型の洋服ダンスも1コでしっかり効きます。<br>●有効成分のエムペントリンがすばやく広がるので、吊り下げたその日から高い防虫効果が得られます。<br>●消臭成分配合で、タンス内のこもったニオイを衣類につきにくくします。<br>●防カビ剤配合で、カビの発育を抑え、衣類をカビから守ります。<br>●黄ばみ防止成分配合の凸凹シートが、衣類保管時の黄ばみの発生を防ぎます。<br><br>【使用方法】<br>・袋から取り出し、そのまま洋服ダンス(500～800L)に1コ吊り下げて使用してください。<br>・金糸、銀糸、和服、ラメ加工製品、ボタン類(金属、プラスチック類)、毛皮や革製品にも使えます。<br>・パラジクロルベンゼン、ナフタリン、しょうのうなどのあらゆる防虫剤と一緒に使えます。<br>・お取り替えサインの窓に「おしまい」の文字が出たらお取り替えください。<br><br>【成分】<br>エムペントリン(ピレスロイド系)、3-メチル-4-イソプロピルフェノール(防カビ成分)、香料、緑茶エキス(消臭成分)、無機系吸着剤(黄ばみ防止成分) <br><br>【使用量の目安】洋服ダンス(800L)に1コ <br><br>【注意事項】<br>・子供の手の届くところに置かないでください。誤食の原因となります。<br>・衣類の入れ替えをするときは、部屋の適当な換気をしてください。<br>・記載されている使用量を守って使用してください。<br>・本品は食べられません。万一食べたときは、本品がピレスロイド系の防虫剤であることを告げて、医師に相談してください。<br>・使用開始後約12ヵ月もちますが、温度、収納容器及び使用状態で一定しません。<br>・定められた用途以外に使用しないでください。<br>・密封して温度の低い直射日光のあたらないところに保存してください。<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",アース製薬 ピレパラアース　洋服ダンス用 柔軟剤の香り　シルキーアロマ【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶アース製薬 ピレパラアース　洋服ダンス用 柔軟剤の香り　シルキーアロマ【D】,【税込3990円以上で送料無料】。アース製薬 ピレパラアース　洋服ダンス用 柔軟剤の香り　シルキーアロマ【D】[rn]
14-134334,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762107.jpg?fitin=700:700,310.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,アース製薬 ピレパラアース　柔軟剤の香り　シルキーアロマ クローゼット用2個【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















たっぷり大型クローゼットにも使える<br>防虫シートから有効成分が効率よく揮散するので、1個で800～1200Lのクローゼットに、2個で大型サイズのクローゼット（2400L）にしっかり効きます。<br>※本品はパラジクロベンゼン製剤ではありません。<br><br>【使用方法】<br>袋から取り出し、そのままクローゼットに吊り下げて使用してください。<br>● 金糸、銀糸、和服、ラメ加工製品、ボタン類（金属、プラスチック類）、毛皮や革製品にも使えます。 <br>● パラジクロルベンゼン、ナフタリン、しょうのうなどのあらゆる防虫剤と一緒に使えます。 <br>【標・g用量】クローゼット （800～1200L）に1個、クローゼット （1200～2400L）に2個 <br><br>【使用目安】<br>クローゼットの大きさに合わせて、800～1200Lに対し1個を目安としてご使用ください。
<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",アース製薬 ピレパラアース　柔軟剤の香り　シルキーアロマ クローゼット用2個【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶アース製薬 ピレパラアース　柔軟剤の香り　シルキーアロマ クローゼット用2個【D】,【税込3990円以上で送料無料】。アース製薬 ピレパラアース　柔軟剤の香り　シルキーアロマ クローゼット用2個【D】[rn]
14-134335,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9762101.jpg?fitin=700:700,382.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,アース製薬 防虫力　炭入り 【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















■炭入りゲルで強力消臭<br>洋服ダンス、クローゼットのこもったニオイを衣類につきにくくします。<br>衣類についたタバコや汗の嫌なニオイを強力に消臭します。<br><br>■天然植物成分によるフィトンチッド効果で衣類を守る防虫剤<br>植物が虫から身を守るために作り出す成分『フィトンチッド』が大切な衣類をしっかり守ります。<br>アース独自のマイクロエマルジョンゲルだから天然植物成分が効果的に拡散し、ウォークインクローゼットなど広い空間にも置くだけでよく効きます。大容量だから、約6ヵ月長持ち。（温湿度により変わることがあります）<br><br>■殺虫剤は使用していません！<br>天然防虫成分なので、薬剤に敏感な方にもお使いいただけます。<br><br>＜ 用途 ＞ 洋服ダンス、クローゼット用 <br>＜使用量＞ 洋服ダンス（500L）に1個<br>クローゼット（1500L）に1個<br>【使用上の注意】<br>● 子供の手の届くところに置かないこと。 <br>● 衣類の入れ替えの際は、部屋を換気すること。 <br>● 使用量を守り、定められた用途以外に使用しないこと。 <br>● 本品は食べられません。食べた時は医師に相談すること。 <br>● 使用開始後、約6ヵ月もちますが、温湿度等により変わる事があります。 <br>● 開封前に、内容器の中が結露している時がありますが、そのまま使用できます。 <br>● 内容器の中の薬剤に触れないこと。手についた時は石けんでよく洗うこと。 <br>● 外容器側面のフックは確実に閉めること。 <br>● 他の防虫剤と併用できます。 <br>● 洋服ダンス、クローゼット等の密閉性のあるところで使用してください。 <br><br>＜保存方法＞ <br>● 密封して、直射日光、凍結を避け涼しいところに保管すること。<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",アース製薬 防虫力　炭入り 【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶アース製薬 防虫力　炭入り 【D】,【税込3990円以上で送料無料】。アース製薬 防虫力　炭入り 【D】[rn]
14-134336,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9761575.jpg?fitin=700:700,524.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,エステー かおりムシューダ1年用　洋服ダンス やわらかフローラル　2個入【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=green>1年続く♪かおり収納♪</font><br><br>●洗いたてのような清潔感のある香りが収納空間内に広がり、ふわっとやさしく香ります。<br>
●ニオイがつかない防虫成分が、衣類を虫からしっかり守ります。<br>●取り替え時期がわかるおとりかえサインつき。<br>●効果は約1年間持続するので、長期の衣類収納に最適です。<br><br>【使用方法】<br><br>＜衣類の収納前に＞<br>※虫害やカビの原因となるので、下記のことをご確認ください。<br>
●衣類の汚れをきちんと落としてください。<br>●衣類はしっかり乾燥させてください。<br>●クリーニングのカバーなどは外して収納してください。袋から取り出し、洋服ダンスのパイプに吊り下げてください。2個使用する場合は、等間隔で吊り下げてください。<br>※本品と除湿剤（ドライペット）を一緒に使用すると、防虫・除湿の効果で、大切な衣類を守ります。<br><br>【保存方法】<br>温度が低く、直射日光の当たらない場所に密封したまま保存すること。<br><br>
【標準使用量】<br>洋服ダンス　500L・・・1個、1,000L・・・2個。<br>洋服ダンスの大きさにあわせて500Lに対し1個を目安としてご使用ください。<br><br>
【おとりかえサイン】<br>正面と側面の両方のおとりかえサインの窓に「おわり」の文字が出たら、新しいかおりムシューダにお取り替えください。<br>※使用環境により「おわり」の文字は、同時に出ないことがあります。<br><br>【成分】プロフルトリン（防虫成分）、香料<br><br>【内容量】2個（洋服ダンス2本分）<br><br>【有効期限】使用開始後 約1年間（温度、収納容器及び使用状態などで一定しない場合がある。）<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",エステー かおりムシューダ1年用　洋服ダンス やわらかフローラル　2個入【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶エステー かおりムシューダ1年用　洋服ダンス やわらかフローラル　2個入【D】,【税込3990円以上で送料無料】。エステー かおりムシューダ1年用　洋服ダンス やわらかフローラル　2個入【D】[rn]
14-134337,http://tshop.r10s.jp/kurashikenkou/cabinet/commodity-u/9761581.jpg?fitin=700:700,258.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > 消臭剤・芳香剤,エステー ドライペットコンパクト　 容器3個パック 【D】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=green>つめかえできる省ゴミタイプ</font><br><br>●つめかえてきる除湿剤なので、ゴミが少なく経済的です。<br>●コンパクトな容器形状なので、場所をとらずに湿気をとります。<br>●薬剤袋内に液がたまり、透明容器なので、つめかえ時期がはっきりわかります。<br>●薬剤袋を使用しているので、容器の中を汚さずつめかえが簡単です。<br><br>【使用方法】<br>（1）袋の角から、紙の端をはがしてください。<br>（2）必ずデーブルの上などの平らな場所に置き薬剤袋の端を図のように押さえ、紙をゆっくりはがしてください。<br>（3）印刷面を下にして容器に入れ、キャップをして安定した平らな場所で使用してください。薬剤袋の紙は使用するときにはがしてください。<br><br>【標準除湿量】水換算350mL（25℃、湿度80％の場合）<br><br>【保存方法】<br>直射日光の当たらない、乾燥した涼しい場所に保存してください。外袋を開封後、保存する場合は袋の口を閉じてください。<br><br>【使用環境】<br>できるだけ密閉性を高くした場所で使用してください。<br><br>【使用後の処理】<br>容器ごと流しに持って行き、袋を取り出して、液がこぼれないように注意しながら袋を切り、水を流しながら、液を排水ロにお捨てください。（水を流さず捨てると、配管等がサビる恐れがあります。）たまった液を植物にかけないでください。液を捨てた後、使ったハサミやシンクは充分に水で洗ってください。袋は地域のゴミ捨て規則に従ってお捨てください。<br><br>【成分】塩化カルシウム<br><br>【内容量】170g <br><br>【有効期限】3～5ヵ月（季節や湿気の状態によって異なります。）<br><br><font color=red>※発送までお時間をいただく場合がございます。予めご了承ください。</font>",エステー ドライペットコンパクト　 容器3個パック 【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶エステー ドライペットコンパクト　 容器3個パック 【D】,【税込3990円以上で送料無料】。エステー ドライペットコンパクト　 容器3個パック 【D】[rn]
