14-118501,http://tshop.r10s.jp/drugskondo/cabinet/05276839/imgrc0069269968.jpg?fitin=700:700,960.0000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,フタアミンローション 120ml,,"無香料、無着色。""さっぱりタイプ""のスキンケアローションです。<br>
天然植物ヨクイニンエキス(保湿剤)がお肌にうるおいを与え、みずみずしく保ちます。<br>
<br>
◇肌あれ・荒れ性を防ぎ、肌をすっきりとひきしめ、すこやかな肌に整え、みずみずしく保ちます。<br>
◇あせも・しもやけ・にきび・かみそりまけを防ぎます。<br>
◇日やけ・雪やけ後のほてりを防ぎ、皮膚にうるおいを与えます。<br>
◇洗顔後のお肌のお手入れにお使いください。<br>
◇入浴後、お顔をはじめ、ひじ、ひざ、全身にもお使いください。<br><br>・商品サイズ (幅×奥行×高さ) :43×43×141mm<br>・原産国:日本<br>・内容量:120ml<br><br><br>",フタアミンローション 120ml：DRUGSコンドウ楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得医薬品　激安ドリンク　激安レオピンロイヤルレオピンファイブネオ新ミオDユンケル黄帝ユンケルファンティユンケル黄帝ロイヤルフタアミンローション 120ml,即日発送を心がけております。フタアミンローション 120ml[rn]
14-118526,http://tshop.r10s.jp/wellness-web/cabinet/nitiyouhoka01/4987072034521.jpg?fitin=700:700,410.4000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,【○】　小林製薬　シャツクール　アロマフレグランス　フローラルアロマの香り　(100mL)　ウェルネス,,発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br><BR>JANコード：4987072034521<BR>,【○】　小林製薬　シャツクール　アロマフレグランス　フローラルアロマの香り　(100mL)　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン【○】　小林製薬　シャツクール　アロマフレグランス　フローラルアロマの香り　(100mL)　ウェルネス,【○】　小林製薬　シャツクール　アロマフレグランス　フローラルアロマの香り　(100mL)　ウェルネス[rn]
14-118527,http://tshop.r10s.jp/wellness-web/cabinet/cosme/4961989104454.jpg?fitin=700:700,1123.2000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,pdc　ピュアナチュラル　エッセンスローション　UV　化粧液　大容量　ポンプタイプ　(500mL)　ウェルネス,,発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br><BR>JANコード：4961989104454<BR>,pdc　ピュアナチュラル　エッセンスローション　UV　化粧液　大容量　ポンプタイプ　(500mL)　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲンpdc　ピュアナチュラル　エッセンスローション　UV　化粧液　大容量　ポンプタイプ　(500mL)　ウェルネス,pdc　ピュアナチュラル　エッセンスローション　UV　化粧液　大容量　ポンプタイプ　(500mL)　ウェルネス[rn]
14-118528,http://tshop.r10s.jp/wellness-web/cabinet/babyyohin01/4902508083805.jpg?fitin=700:700,558.4000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,【☆】　ピジョン　薬用ローション　ももの葉エキス配合　(200ｍｌ)　【医薬部外品】　ウェルネス,,"●名　称
：ピジョン　薬用ローション　（もも） 
<BR>

●内容量
：200ｍｌ
<BR>

●特　徴
：◆あせも、肌あれ対策に。とろみがあってぬりやすい薬用ローション。<BR>
<BR>
◆無添加（パラベンフリー・アルコールフリー・無香料・無着色）。<BR>
<BR>
◆保湿成分　植物エキス（ももの葉エキス・アロエエキス）配合。<BR>
<BR>
◆弱酸性・低刺激。医薬部外品。 <BR>
<BR>
◆保湿成分　ももの葉エキス配合の薬用ローション。<BR>
<BR>
◆保湿成分として、ももの葉エキス、アロエエキスを配合しています。<BR>
<BR>
◆敏感肌にも、赤ちゃんから大人まで季節を問わず、一年中お使いいただけます。<BR>
<BR>
◆手にとりやすく、ぬりやすいとろみつき。<BR>
<BR>
◆すっとなじんでお肌さらさら。アルコール、パラベン、香料、着色料は無添加です。<BR>
<BR>
◆皮フ科医による皮フ刺激性テスト済み。<BR> （全ての方に肌トラブルが起きないというわけではありません）
<BR>

●効能・効果
：●あせも・しもやけ・ひび・あかぎれ・にきびを防ぐ　●肌あれ・あれ性　●油性肌　●肌をひきしめる●肌を清浄にする　●皮フをすこやかに保つ　●皮フにうるおいを与える　●肌を整える
<BR>

●成　分
：有効成分：グリチルリチン酸2K、アラントイン<BR>
その他成分：桃葉エキス、アロエエキス－1、グリセリンエチルヘキシルエーテル、無水ケイ酸、キサンタンガム、カルボキシビニルポリマー、フェノキシエタノール、水酸化カリウム、BG、精製水
<BR>

●区　分
：医薬部外品/ベビーローション、ベビー用スキンケア/原産国 日本
<BR>

●ご注意
：◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：ピジョン<BR>東京都中央区日本橋久松町4番4号
<BR>

●お問合せ
：ピジョンお客様相談室　TEL：03-5645-1188
<BR>

●広告文責
：株式会社ツルハeコマース<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>

<BR>JANコード：4902508083805<BR>",【☆】　ピジョン　薬用ローション　ももの葉エキス配合　(200ｍｌ)　【医薬部外品】　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン【☆】　ピジョン　薬用ローション　ももの葉エキス配合　(200ｍｌ)　【医薬部外品】　ウェルネス,※お一人様3個まで。【☆】　ピジョン　薬用ローション　ももの葉エキス配合　(200ｍｌ)　【医薬部外品】　ウェルネス[rn]
14-118529,http://tshop.r10s.jp/wellness-web/cabinet/bodyhoka01/4902468113918.jpg?fitin=700:700,336.8000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,明色　カラミンローション　(155mL)　日やけ後用ローション　【医薬部外品】　ウェルネス,,発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br><BR>JANコード：4902468113918<BR>,明色　カラミンローション　(155mL)　日やけ後用ローション　【医薬部外品】　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン明色　カラミンローション　(155mL)　日やけ後用ローション　【医薬部外品】　ウェルネス,明色　カラミンローション　(155mL)　日やけ後用ローション　【医薬部外品】　ウェルネス[rn]
14-118530,http://tshop.r10s.jp/wellness-web/cabinet/bodyhoka01/4901872444694.jpg?fitin=700:700,549.6000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,資生堂　シーブリーズ　デオ＆ウォーター　A　スプラッシュマリンの香り　(160mL)　【医薬部外品】　ウェルネス,,"●名　称
：資生堂　シーブリーズ　SEA BREEZE　デオ＆ウォーター　A　スプラッシュマリン
<BR>

●内容量
：160ml
<BR>

●特　徴
：汗とニオイをおさえサラサラに保つ、パウダーイン制汗デオドラントウォーター<BR>
<BR>
アクティブな毎日をサポート。<BR>
汗とニオイをおさえ、いい香りが続く。<BR>
爽快成分配合の制汗デオドラントウォーター。<BR>
お出かけ前やスポーツ後、またリフレッシュしたいときにもおすすめです。<BR>
<BR>スプラッシュマリンの香り
<BR>

●区　分
：医薬部外品/制汗剤、デオドラントウォーター/原産国　日本
<BR>

●ご注意
：◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：株式会社資生堂　東京都中央区銀座7-5-5<BR>お問合せ　【お客さま窓口】　電話:0120-81-4710
<BR>

●広告文責
：株式会社ツルハグループマーチャンダイジング<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>
<BR>JANコード：4901872444694<BR>",資生堂　シーブリーズ　デオ＆ウォーター　A　スプラッシュマリンの香り　(160mL)　【医薬部外品】　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン資生堂　シーブリーズ　デオ＆ウォーター　A　スプラッシュマリンの香り　(160mL)　【医薬部外品】　ウェルネス,資生堂　シーブリーズ　デオ＆ウォーター　A　スプラッシュマリンの香り　(160mL)　【医薬部外品】　ウェルネス[rn]
14-118531,http://tshop.r10s.jp/wellness-web/cabinet/cosme/4955814144951.jpg?fitin=700:700,472.8000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,ナリスアップ　アクメディカ　薬用　ミストローション　(50mL)　【医薬部外品】　背中ケア　ウェルネス,,発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br><BR>JANコード：4955814144951<BR>,ナリスアップ　アクメディカ　薬用　ミストローション　(50mL)　【医薬部外品】　背中ケア　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲンナリスアップ　アクメディカ　薬用　ミストローション　(50mL)　【医薬部外品】　背中ケア　ウェルネス,ナリスアップ　アクメディカ　薬用　ミストローション　(50mL)　【医薬部外品】　背中ケア　ウェルネス[rn]
14-118532,http://tshop.r10s.jp/wellness-web/cabinet/yoidome01/4987353020618.jpg?fitin=700:700,888.0000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,ユースキン　ルドー　薬用アクネローション　顔・全身用化粧水　(150ｍｌ)　【医薬部外品】　ウェルネス,,発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br><BR>JANコード：4987353020618<BR>,ユースキン　ルドー　薬用アクネローション　顔・全身用化粧水　(150ｍｌ)　【医薬部外品】　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲンユースキン　ルドー　薬用アクネローション　顔・全身用化粧水　(150ｍｌ)　【医薬部外品】　ウェルネス,ユースキン　ルドー　薬用アクネローション　顔・全身用化粧水　(150ｍｌ)　【医薬部外品】　ウェルネス[rn]
14-118533,http://tshop.r10s.jp/wellness-web/cabinet/styl01/4902806354324.jpg?fitin=700:700,524.0000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,マンダム　ギャツビー　GATSBY　薬用アクネケアウォーター　化粧水　(170ｍｌ)　【医薬部外品】　ウェルネス,,発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>★内容量:170ml<br>★特長:顔　殺菌・皮脂吸着成分配合　ニキビ＆テカリ予防　サラサラ肌持続ウォーター<br>★成分:有効成分：グリチルリチン酸ジカリウム、サリチル酸　その他の成分：精製水、エタノール、ジプロピレングリコール、ナイロン末、グリコシルトレハロース・水添デンプン分解物混合溶液、リン酸一水素ナトリウム、ベントナイト、塩化ナトリウム、エデト酸二ナトリウム、リン酸二水素ナトリウム、L-メンチルグリセリルエーテル、L-メントール、塩化γ-グルコンアミドプロピルジメチルヒドロキシエチルアンモニウム液、1．3-ブチレングリコール、シルク末、ヒドロキシアパタイト、海水乾燥物、無水ケイ酸、ハマメリスエキス、香料<br>★区分:医薬部外品/化粧水/日本製<br>★ご注意:本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。<br>★販売元:株式会社マンダム<br>★お問合せ先:0120-37-3337<br>★広告文責:株式会社ツルハeコマース カスタマーセンター　0852-53-0680<BR>JANコード：4902806354324<BR>,マンダム　ギャツビー　GATSBY　薬用アクネケアウォーター　化粧水　(170ｍｌ)　【医薬部外品】　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲンマンダム　ギャツビー　GATSBY　薬用アクネケアウォーター　化粧水　(170ｍｌ)　【医薬部外品】　ウェルネス,マンダム　ギャツビー　GATSBY　薬用アクネケアウォーター　化粧水　(170ｍｌ)　【医薬部外品】　ウェルネス[rn]
14-118534,http://tshop.r10s.jp/wellness-web/cabinet/danke01/4902806450163.jpg?fitin=700:700,739.2000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,マンダム　ルシード　エイジングケア　化粧水　UV　SPF28　PA++　(120mL)　ウェルネス,,"●名　称
：ルシード　エイジングケア化粧水UV
<BR>

●内容量
：120ml
<BR>

●特　徴
：◆40才からのエイジングケア。お出かけ前に朝のエイジングケア。<br>
<br>
◆肌にハリ・ツヤを与え、紫外線によるシミまで防ぐ。<br>
<br>
◆うるおうのにベタつかない、アクアミルク処方の化粧水。<br>
<br>
◆ハリ・ツヤ<br>
コエンザイムQ10※1・アミノ酸※2配合（保湿）。肌にうるおいとハリ・ツヤを与える。<br>
<br>
◆シミ予防<br>
SPF28・PA++。紫外線A・B波のダメージから肌を守る。<br>
※UVカット成分は、洗顔料で簡単に落とせます。<br>
<br>
◆無香料・無着色・防腐剤フリー。<br>
<br>
※1 ユビキノン<br>
※2 アセチルヒドロキシプロリン <br>
<br>
◆紫外線A波とは<br>
肌の奥（真皮）まで届き、長時間かけて肌の弾力（ハリ）を失わせる原因になる。<br>
<br>
◆紫外線B波とは<br>
肌の赤み・炎症・シミを起こす原因になる。
<BR>

●成分
：水、エタノール、メトキシケイヒ酸エチルヘキシル、グルコース、ジフェニルシロキシフェニルトリメチコン、t-ブチルメトキシジベンゾイルメタン、（アクリレーツ／アクリル酸アルキル（C10-30））クロスポリマー、水酸化K、結晶セルロース、PEG-50水添ヒマシ油、PEG-100水添ヒマシ油、EDTA-2Na、カルボマー、アセチルヒドロキシプロリン、キサンタンガム、ユビキノン
<BR>

●使用方法
：●洗顔・ヒゲそり・入浴後などに適量（顔全体で100円玉程度）を手にとり肌になじませてお使いください<br>
●使用後はかならずキャップをしめてください
<BR>

●区　分
：化粧水/原産国 日本
<BR>

●ご注意
：◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：株式会社マンダム　大阪市中央区十二軒町5-12<BR>お客さま相談室　0120-37-3337
<BR>

●広告文責
：株式会社ツルハeコマース<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>
<BR>JANコード：4902806450163<BR>",マンダム　ルシード　エイジングケア　化粧水　UV　SPF28　PA++　(120mL)　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲンマンダム　ルシード　エイジングケア　化粧水　UV　SPF28　PA++　(120mL)　ウェルネス,マンダム　ルシード　エイジングケア　化粧水　UV　SPF28　PA++　(120mL)　ウェルネス[rn]
14-118535,http://tshop.r10s.jp/wellness-web/cabinet/danke01/4987241143375.jpg?fitin=700:700,475.2000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,ロート製薬　OXY　オキシー　オイルコントロールローション　(170mL)　化粧水　ウェルネス,,"●名　称
：OXY　オキシー　オイルコントロールローション
<BR>

●内容量
：170mL
<BR>

●特　徴
：◆テカリ・アブラ・ベタつきを感じる男の肌もサラサラ快適<BR>
<BR>
◆ベタつき・テカリが気になる肌にも気持ちよく使える、さっぱりタイプの化粧水。<BR>
<BR>
◆ベタつきが気になるオイリー肌にしっかりとなじんで、さらさら気持ちいい肌に導きます。<BR>
<BR>
◆ひきしめ成分セージエキス配合。<BR>
<BR>
◆さっぱり気持ちのいい使用感で、爽やかなゼラニウムの香りです。<BR>
<BR>
◆シリーズ比 肌タイプ：オイリー肌
<BR>

●成　分
：水、BG、エタノール、PEG-50水添ヒマシ油、アセチルヒアルロン酸Na、ノイバラ果実エキス、ヒオウギエキス、セージ葉エキス、シクロヘキサン-1，4-ジカルボン酸ビスエトキシジグリコール、サリチル酸、オレス-20、アミノカプロン酸、EDTA-2Na、ピロ亜硫酸Na、クエン酸Na、クエン酸、メントール、香料
<BR>

●区　分
：メンズ化粧水/原産国 日本
<BR>

●ご注意
：◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：ロート製薬株式会社　大阪市生野区巽西1-8-1<BR>
電話：03-5442-6020(東京)　06-6758-1230(大阪)
<BR>

●広告文責
：株式会社ツルハeコマース<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>
<BR>JANコード：4987241143375<BR>",ロート製薬　OXY　オキシー　オイルコントロールローション　(170mL)　化粧水　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲンロート製薬　OXY　オキシー　オイルコントロールローション　(170mL)　化粧水　ウェルネス,ロート製薬　OXY　オキシー　オイルコントロールローション　(170mL)　化粧水　ウェルネス[rn]
14-118536,http://tshop.r10s.jp/wellness-web/cabinet/shouhin41/4901872449712.jpg?fitin=700:700,645.6000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,資生堂　uno　ウーノ　スキンケアタンク　しっとり　(160mL)　化粧水　【医薬部外品】　ウェルネス,,"●名　称
：uno　ウーノ　 スキンケアタンク　しっとり
<BR>

●内容量
：160ml
<BR>

●特　徴
：◆乾いた肌にたっぷりのうるおいを補給する薬用保湿液<br>
<br>
◆カサつく肌をしっとりなめらかに整える保湿液です。<br>
<br>
◆１本で男の肌悩みに全対応。<br>
<br>
とろみのあるローションタイプで、肌なじみがよく、ニキビや肌あれを防ぎます。<br>
<br>
◆Ｗヒアルロン酸*配合。<br>
<br>
*保湿成分（アセチルヒアルロン酸Ｎａ、ヒアルロン酸Ｎａ）<br>
<br>
使用感：しっとり<br>
香り：シトラスグリーンの香り（微香性）
<BR>

●区　分
：医薬部外品/メンズ化粧水
<BR>

●ご注意
：◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：株式会社資生堂　東京都中央区銀座7-5-5<br>
【お客さま窓口】　電話:0120-81-4710
<BR>

●広告文責
：株式会社ツルハグループマーチャンダイジング<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>
<BR>JANコード：4901872449712<BR>",資生堂　uno　ウーノ　スキンケアタンク　しっとり　(160mL)　化粧水　【医薬部外品】　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン資生堂　uno　ウーノ　スキンケアタンク　しっとり　(160mL)　化粧水　【医薬部外品】　ウェルネス,　。資生堂　uno　ウーノ　スキンケアタンク　しっとり　(160mL)　化粧水　【医薬部外品】　ウェルネス[rn]
14-118537,http://tshop.r10s.jp/wellness-web/cabinet/shouhin42/4901301236180.jpg?fitin=700:700,1555.2000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,【ポイント10倍】　花王　キュレル　化粧水　3　III　とてもしっとり　(150mL)　【医薬部外品】,,"●名　称
：キュレル 化粧水 3 とてもしっとり
<BR>

●内容量
：150ml
<BR>

●特　徴
：◆乾燥性敏感肌を考えた<br>
<br>
◆「潤浸保湿セラミドケア」で、外部刺激で肌荒れしにくい「潤い高密度肌」に<br>
<br>
◆肌荒れ・乾燥を繰り返しがちな敏感肌に<br>
<br>
◆潤い成分（ユーカリエキス）が角層の深部までじっくり浸透。外部刺激で肌荒れしにくい、なめらかで潤いに満ちた肌に整えます。<br>
<br>
◆消炎剤（有効成分＊）配合。肌荒れを防ぎます。<br>
<br>
◆しっとり、リッチな使い心地。<br>
<br>
＊アラントイン<br>
<br>
◆1回の使用量目安：ポンプ3～4押し分<br>
<br>
◆使いきり期間の目安：約3ヶ月<br>
<br>
◆弱酸性、無香料、無着色<br>
<br>
◆アルコールフリー（エチルアルコール無添加）<br>
<br>
◆アレルギーテスト済み＊<br>
<br>
◆乾燥性敏感肌の方の協力によるパッチテスト済み＊<br>
（パッチテスト：皮膚に対する刺激性を確認するテストです）<br>
<br>
＊すべての方にアレルギーや皮膚刺激が起こらないというわけではありません。 
<BR>


●成　分
：アラントイン＊、精製水、グリセリン、BG、ベタイン、POEメチルグルコシド、ユーカリエキス、PEG1540、コハク酸、アルギニン、POE水添ヒマシ油、パラベン<br>
＊は「有効成分」無表示は「その他の成分」
<BR>

●使い方
：朝晩の洗顔後の肌にお使いください。<br>
 適量（ポンプ3～4押し分）をとり、顔全体にやさしくなじませます。 
<BR>

●区　分
：医薬部外品/敏感肌用化粧水/原産国　日本
<BR>

●ご注意
：●傷、はれもの、湿疹等異常のある所には使わない<br>
●肌に異常が生じていないかよく注意して使う。肌に合わない時、使用中に赤み、はれ、かゆみ、刺激、色抜け（白斑等）や黒ずみ等の異常が出た時、直射日光があたって同様の異常が出た時は使用を中止し、皮フ科医へ相談する。使い続けると症状が悪化することがある<br>
●目に入らないよう注意し、入った時は、すぐに充分洗い流す。異常が残る場合は、眼科医に相談する<br>
●子供や認知症の方などの誤飲等を防ぐため、置き場所に注意する<br>
<br>
◆本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。
<BR>

●販売元
：花王株式会社　東京都中央区日本橋茅場町一丁目14番10号<BR>お問い合わせ　電話：0120-165-692
<BR>

●広告文責
：株式会社ツルハグループマーチャンダイジング<BR>
カスタマーセンター　0852-53-0680
<BR>

<br>

<BR>JANコード：4901301236180<BR>",【ポイント10倍】　花王　キュレル　化粧水　3　III　とてもしっとり　(150mL)　【医薬部外品】：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン【ポイント10倍】　花王　キュレル　化粧水　3　III　とてもしっとり　(150mL)　【医薬部外品】,　。【ポイント10倍】　花王　キュレル　化粧水　3　III　とてもしっとり　(150mL)　【医薬部外品】[rn]
14-118538,http://tshop.r10s.jp/wellness-web/cabinet/kaigo01/4571119648200.jpg?fitin=700:700,1555.2000,,美容・コスメ・香水 > スキンケア > 化粧水・ローション,【※】　アネラ　スキンローション　【化粧水】　(100ｍｌ)　ウェルネス,,★内容量:100ml<br>★特長:着色料、合成香料、鉱物油、パラベンは無添加です。<br>★成分:水、BG、ローズ水、アスコルビン酸Na、リン酸アスコルビルMg、カニナバラ果実エキス、グリセリン、トレハロース、乳酸、グリチルリチン酸2K、クエン酸、水酸化Na、フェノキシエタノール<br>★区分:化粧水/日本製<br>★ご注意:本品記載の使用法・使用上の注意をよくお読みの上ご使用下さい。<br>★製造販売元:有限会社進製作所<br>★お問合せ先:0859-56-2319<br>★企画開発元:アネラ/ヒロデザインスタジオ<br>★広告文責:株式会社ツルハグループマーチャンダイジング　カスタマーセンター　0852-53-0680<BR>JANコード：4571119648200<BR>,【※】　アネラ　スキンローション　【化粧水】　(100ｍｌ)　ウェルネス：ドラッグストアウェルネス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得スキンケアドラッグストア化粧品ベビー薬健康ウェルネスwellnessダイエット商品健康食品健康グッズハブラシヘアケアスピルリナ入浴剤ナップルツルハグループダイエット医薬品生コラーゲン【※】　アネラ　スキンローション　【化粧水】　(100ｍｌ)　ウェルネス,　。【※】　アネラ　スキンローション　【化粧水】　(100ｍｌ)　ウェルネス[rn]
