14-164501,http://tshop.r10s.jp/cps-mm/cabinet/gt2/imgms250-52010.jpg?fitin=700:700,28728.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,TRD MS250-52010 コイルスプリングセット サスペンション（車高固定式） アクア用,,"■適合 
アクア NHP10
 

※適合や注意事項につきましては、必ずメーカーサイトにてご確認ください。",TRD MS250-52010 コイルスプリングセット サスペンション（車高固定式） アクア用：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOTRD MS250-52010 コイルスプリングセット サスペンション（車高固定式） アクア用,TRD MS250-52010 コイルスプリングセット サスペンション（車高固定式） アクア用[rn]
14-164579,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/rla_t0002.jpg?fitin=700:700,37760.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN　ピロ　リア ロア アーム　左右セット★　UZS186/ UZS187/ URS206　クラウンマジェスタ　(FW-RLA-T0002-SET-A)  オリジンアーム/ORIGIN ARM./オリジンラボ　CROWN,,"<font color=""0000ff"">★好評発売中のGTジャンルの「ORIGIN ARM」に続き、GTジャンルの実践で培ったノウハウを継承したアーム、今回「VIPセダン」系を中心としたORIGIN ARMとしてリリース！<br>
★ローダウンと併せて「VIPセダン」らしいスタイリングと走行性を提供します。</font><br>
<font color=""ff0000"">★ローダウン時のキャンバー角が変化した場合、キャンバーの調整ができます。 調整することによりドリフト走行時や加減速時でのトラクションを稼ぎます。また、ピロボールの採用でクイックなフィーリングです。</font>
<br>
<br> 
◆品番: FW-RLA-T0002-SET-A<BR>
◆品名: PILLOW REAR LOWER ARM（ピロ　リア ロア アーム)<br>
◆適合車種 TOYOTA クラウンマジェスタ<br>
◆車両型式 UZS186/UZS187/URS206<br>
◆年式 H21/3～H25/9 (2009/3～2013/9)<br>
◆カラー レッド/ORIGIN Laboホワイトロゴ<br>
◆商品明細 左右セット　ボルト×2、ナット×2、ワッシャ×8<br>
◆メーカー希望小売価格(税別)58,000円<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
※ご注文確認後、当店にて修正させて頂きます。<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税別）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font>
<br>
<br>
<center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN　ピロ　リア ロア アーム　左右セット★　UZS186/ UZS187/ URS206　クラウンマジェスタ　(FW-RLA-T0002-SET-A)  オリジンアーム/ORIGIN ARM./オリジンラボ　CROWN：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN　ピロ　リア ロア アーム　左右セット★　UZS186/ UZS187/ URS206　クラウンマジェスタ　(FW-RLA-T0002-SET-A)  オリジンアーム/ORIGIN ARM./オリジンラボ　CROWN,【即納】★ORIGIN　ピロ　リア ロア アーム　左右セット★　UZS186/ UZS187/ URS206　クラウンマジェスタ　(FW-RLA-T0002-SET-A)  オリジンアーム/ORIGIN ARM./オリジンラボ　CROWN[rn]
14-164580,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/fw_fla_n0001.jpg?fitin=700:700,43520.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN フロント ロアアーム★ 180SX/RPS13　(FW-FLA-N0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ,数に限りがありますのでお早めのご注文を！,"<font color=""0000ff"">★ORIGIN Labo Racingドライバー唄 和也選手の協力を得、D1グランプリを始め多くのレースにおいて実践テスト＆トライを繰り返し、地道な開発を続けてきた足回りパーツ達・・・。2015年度D1グランプリシリーズ ドライバーズランキング堂々の3位入賞にも貢献。ドリフトのORIGIN Labo.が満を持して放つ渾身のニューアイテム、ついに始動！</font><br>
<br>
<font color=""ff0000"">
★このロアームの最小値は純正比で20mm長くなっています。そこからさらに25mm延長する事が可能です。調整幅を確保する事により多様なセッティングが可能になりました。</font>
<br>
<br> 
■品番: FW-FLA-N0001-SET<BR>
■品名: FRONT LOWER ARM with TENSION ROD（フロントロアアーム　with テンションロッド）<br>
■適合車種 NISSAN 180SX<br>
■車両型式 RPS13<br>
■年式 H1/3～H10/12 (1989/3～1998/12)<br>
■カラー レッド/ORIGIN Laboホワイトロゴ<br>
■商品明細 左右セット<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税別）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font><br>
<br>
※ご注文確認後、当店にて修正させて頂きます。<center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN フロント ロアアーム★ 180SX/RPS13　(FW-FLA-N0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN フロント ロアアーム★ 180SX/RPS13　(FW-FLA-N0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ,数に限りがありますのでお早めのご注文を！。【即納】★ORIGIN フロント ロアアーム★ 180SX/RPS13　(FW-FLA-N0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ[rn]
14-164581,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/fw_fter_n0003.jpg?fitin=700:700,12160.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ 180SX RPS13　(FW-FTER-N0003-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ,,"<font color=""0000ff"">★ORIGIN Labo Racingドライバー唄 和也選手の協力を得、D1グランプリを始め多くのレースにおいて実践テスト＆トライを繰り返し、地道な開発を続けてきた足回りパーツ達・・・。2015年度D1グランプリシリーズ ドライバーズランキング堂々の3位入賞にも貢献。ドリフトのORIGIN Labo.が満を持して放つ渾身のニューアイテム、ついに始動！</font><br>
<br>
<font color=""ff0000"">★アライメント時のキャスター角を調整可能になります。ピロ化する事によりブレーキング時のアライメント変化も抑え、安定させることが出来ます。ハンドリングの操作性も大幅に向上します<br></font>
<br>
<br>
■適合車種 NISSAN 180SX<br>
■車両型式 RPS13<br>
■年式 H1/3～H10/12 (1989/3～1998/12)<br>
■カラー レッド&ブラック/ORIGIN Laboホワイトロゴ<br>
■商品明細 フロント左右セット<br>
■メーカー希望 小売価格(税別）19,000円<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税抜）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font><br>
※ご注文確認後、当店にて修正させて頂きます。<br>
<br><center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ 180SX RPS13　(FW-FTER-N0003-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ 180SX RPS13　(FW-FTER-N0003-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ,【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ 180SX RPS13　(FW-FTER-N0003-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ[rn]
14-164582,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/fw_fter_n0003.jpg?fitin=700:700,12160.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ S13　シルビア　(FW-FTER-N0003-SET) オリジンアーム/ORIGIN ARM./オリジンラボ,,"<font color=""0000ff"">★ORIGIN Labo Racingドライバー唄 和也選手の協力を得、D1グランプリを始め多くのレースにおいて実践テスト＆トライを繰り返し、地道な開発を続けてきた足回りパーツ達・・・。2015年度D1グランプリシリーズ ドライバーズランキング堂々の3位入賞にも貢献。ドリフトのORIGIN Labo.が満を持して放つ渾身のニューアイテム、ついに始動！</font><br>
<br>
<font color=""ff0000"">★アライメント時のキャスター角を調整可能になります。ピロ化する事によりブレーキング時のアライメント変化も抑え、安定させることが出来ます。ハンドリングの操作性も大幅に向上します<br></font>
<br>
<br>
■品番: FW-FTER-N0003-SET<BR>
■品名: FRONT HIGH ANGLE PILLOW TENSION ROD off set design（フロントハイアングル ピロ　テンションロッド オフセットデザイン）<br>
■適合車種 NISSAN シルビア<br>
■車両型式 S13<br>
■年式 S63/5～H5/9 (1988/5～1993/9)<br>
■カラー レッド&ブラック/ORIGIN Laboホワイトロゴ<br>
■商品明細 フロント左右セット<br>
■メーカー希望 小売価格(税別）19,000円<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税抜）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font><br>
※ご注文確認後、当店にて修正させて頂きます。<br>
<br><center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ S13　シルビア　(FW-FTER-N0003-SET) オリジンアーム/ORIGIN ARM./オリジンラボ：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ S13　シルビア　(FW-FTER-N0003-SET) オリジンアーム/ORIGIN ARM./オリジンラボ,【即納】★ORIGIN フロントハイアングル ピロ　テンションロッド オフセットデザイン★ S13　シルビア　(FW-FTER-N0003-SET) オリジンアーム/ORIGIN ARM./オリジンラボ[rn]
14-164583,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/fw_fter_t0001.jpg?fitin=700:700,20480.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN フロント ピロ テンションロッド★ JZX100　マーク II　(FW-FTER-T0001-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ　マーク2,数に限りがありますのでお早めのご注文を！,"<font color=""0000ff"">★好評発売中のGTジャンルの「ORIGIN ARM」に続き、GTジャンルの実践で培ったノウハウを継承したアームをリリース！<br>
★ローダウンと併せて「ストリート・Pセダン」らしいスタイリングと走行性を提供します。</font><br>
<br>
<font color=""ff0000"">★アライメント時のキャスター角を調整可能にします。ピロ化する事でブレーキング時のアライメント変化を抑え、安定させることができます。<br>
<br>
★ハンドリングの操作性も大幅に向上します。また、テンションロッドをオフセットさせる事により、最大切れ角時の干渉を向上させています。 
</font>
<br>
<br>
■品番: FW-FTER-T0001-SET-A<BR>
■品名: FRONT PILLOW TENSION ROD (フロント ピロ テンションロッド)<br>
■適合車種 TOYOTA マークII<br>
■車両型式 JZX100<br>
■年式 H8/9～H12/9 (全年式)<br>
■カラー レッド/ORIGIN Laboホワイトロゴ<br>
■商品明細 左右セット　ボルト×8本　※調整幅：15mm<br>
■メーカー希望 小売価格(税別）32,000円<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税抜）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font><br>
※ご注文確認後、当店にて修正させて頂きます。<br>
<br><center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN フロント ピロ テンションロッド★ JZX100　マーク II　(FW-FTER-T0001-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ　マーク2：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN フロント ピロ テンションロッド★ JZX100　マーク II　(FW-FTER-T0001-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ　マーク2,数に限りがありますのでお早めのご注文を！。【即納】★ORIGIN フロント ピロ テンションロッド★ JZX100　マーク II　(FW-FTER-T0001-SET-A) オリジンアーム/ORIGIN ARM./オリジンラボ　マーク2[rn]
14-164584,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/fw_rtca_n0001.jpg?fitin=700:700,9600.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN ピロ リア トーコントロール　ロッド★ シルビア S14　(FW-RTCA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ,5/19～デリバリー開始！,"<font color=""0000ff"">★ORIGIN Labo Racingドライバー唄 和也選手の協力を得、D1グランプリを始め多くのレースにおいて実践テスト＆トライを繰り返し、地道な開発を続けてきた足回りパーツ達・・・。2015年度D1グランプリシリーズ ドライバーズランキング堂々の3位入賞にも貢献。ドリフトのORIGIN Labo.が満を持して放つ渾身のニューアイテム、ついに始動！</font><br>
<br>
<font color=""ff0000"">
★車高変化によるリアのトー角を矯正し、不安定な挙動などを補正します。トー角調整によるアンダー、オーバーの特性を変更することが出来ます。装着したままで調整可能なターンバックル式。</font>
<br>
<br> 
■品番: FW-RTCA-N0001-SET<BR>
■品名: PILLOW REAR TOE CONTROL ROD (ピロ　リア トーコントロール　ロッド)<br>
■適合車種 NISSAN シルビア<br>
■車両型式 S14<br>
■年式 H5/10～H10/12 (1993/10～1998/12)<br>
■カラー レッド/ORIGIN Laboホワイトロゴ<br>
■商品明細 左右セット<br>
■メーカー希望小売価格(税別）15,000円<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税別）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font><br>
<br>
※ご注文確認後、当店にて修正させて頂きます。<center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN ピロ リア トーコントロール　ロッド★ シルビア S14　(FW-RTCA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN ピロ リア トーコントロール　ロッド★ シルビア S14　(FW-RTCA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ,5/19～デリバリー開始！。【即納】★ORIGIN ピロ リア トーコントロール　ロッド★ シルビア S14　(FW-RTCA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ[rn]
14-164585,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/fw_rtca_t0001.jpg?fitin=700:700,13440.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN Lab.　ピロ リア トーコントロールアーム★ JZX90　マーク II　(FW-RTCA-T0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ,5/19～デリバリー開始！,"<font color=""0000ff"">★ORIGIN Labo Racingドライバー唄 和也選手の協力を得、D1グランプリを始め多くのレースにおいて実践テスト＆トライを繰り返し、地道な開発を続けてきた足回りパーツ達・・・。2015年度D1グランプリシリーズ ドライバーズランキング堂々の3位入賞にも貢献。ドリフトのORIGIN Labo.が満を持して放つ渾身のニューアイテム、ついに始動！</font><br>
<br>
<font color=""ff0000"">★ローダウン時のトーを調整出来ます。適正なトー角にすることにより挙動の補正、トラクションの増加が可能になります。</font>
<br>
<br>
■品番: FW-RTCA-T0001-SET<BR>
■品名: PILLOW REAR TOE CONTROL ARM （ピロ リア トーコントロールアーム）<br>
■適合車種 TOYOTA マークII<br>
■車両型式 JZX90<br>
■年式 H4/10～H8/9　前期・後期<br>
■カラー レッド/ORIGIN Laboホワイトロゴ<br>
■商品明細 左右セット<br>
■メーカー希望 小売価格(税別）21,000円<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税抜）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font><br>
※ご注文確認後、当店にて修正させて頂きます。<br>
<br><center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN Lab.　ピロ リア トーコントロールアーム★ JZX90　マーク II　(FW-RTCA-T0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN Lab.　ピロ リア トーコントロールアーム★ JZX90　マーク II　(FW-RTCA-T0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ,5/19～デリバリー開始！。【即納】★ORIGIN Lab.　ピロ リア トーコントロールアーム★ JZX90　マーク II　(FW-RTCA-T0001-SET) オリジンアーム/ORIGIN ARM./オリジンラボ[rn]
14-164586,http://tshop.r10s.jp/uj-factory-webshop/cabinet/exterior/exterior2/fw_rua_n0001.jpg?fitin=700:700,12800.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,【即納】★ORIGIN Lab. ピロ リア アッパー アーム★ 180SX/RPS13　(FW-RUA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ,,"<font color=""0000ff"">★ORIGIN Labo Racingドライバー唄 和也選手の協力を得、D1グランプリを始め多くのレースにおいて実践テスト＆トライを繰り返し、地道な開発を続けてきた足回りパーツ達・・・。2015年度D1グランプリシリーズ ドライバーズランキング堂々の3位入賞にも貢献。ドリフトのORIGIN Labo.が満を持して放つ渾身のニューアイテム、ついに始動！</font><br>
<br>
<font color=""ff0000"">
★アッパーアーム、トーコントロールアームの次にお勧めなのがトラクションロッドです。リアアッパーアーム(フロント側)をピロボール化することにより、トー変化を抑制しリアの挙動を安定させます。リヤサスペンションを効率良く動かす事が出来るので、最適なトラクションを引き出すことができます。ターンバックル方式なのでアライメント調整も可能です。</font>
<br>
<br> 
■品番: FW-RUA-N0001-SET<BR>
■品名: PILLOW REAR UPPER ARM(ピロ リア アッパー アーム) 左右セット<br>
■適合車種 NISSAN 180SX<br>
■車両型式 RPS13<br>
■年式 H1/3～H10/12 (1989/3～1998/12)<br>
■カラー レッド/ORIGIN Laboホワイトロゴ<br>
■商品明細 左右セット<br>
■メーカー希望小売価格(税別）20,000円<br>
<br>
※弊社では取り付け方法の対応はできません。専門ショップでの取り付けをお勧めします。<br>
<br>
【送料に関して】<br>
■東北・関東・信越・北陸・東海・関西・中国・四国・九州　→　<font color=""0000FF"">900円（税別）</font><br>
■北海道　→　<font color=""0000FF"">1500円（税別）</font><br>
■沖縄・離島　→　<font color=""0000FF"">1600円（税別）</font><br>
※ご注文確認後、当店にて修正させて頂きます。
<br>
<br>
<center>

<font color=""0000ff""><b>
▼▼オリジン足回りラインナップは画像をクリック▼▼</b></font>
<img src=""http://image.rakuten.co.jp/uj-factory-webshop/cabinet/exterior/exterior2/origin_arm_bnr.jpg"" width=""250""></center>",【即納】★ORIGIN Lab. ピロ リア アッパー アーム★ 180SX/RPS13　(FW-RUA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ：UJ-FACTORY,アクアプリウスNBOXNONEカーボンウェイクペコちゃんステップワゴンRKヴォクシーノアGP5GKフィット片ダンボールプチプチニケ像トラックテール光るLEDヒューズハセプロキズ防止【即納】★ORIGIN Lab. ピロ リア アッパー アーム★ 180SX/RPS13　(FW-RUA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ,【即納】★ORIGIN Lab. ピロ リア アッパー アーム★ 180SX/RPS13　(FW-RUA-N0001-SET)  オリジンアーム/ORIGIN ARM./オリジンラボ[rn]
14-164587,http://tshop.r10s.jp/parts/cabinet/detail-aa37/aa37-shb22-1.jpg?fitin=700:700,12952.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,moonface(ムーンフェイス) ハイトアップブロック（フロント用) t-30mm EP3 シビック,,スプリング交換せずに簡単に車高アップ！ハイトアップブロックは車高調整機能を持たないノーマル形状サスペンション用に開発された新発想の車高調整アダプターです。ローダウンスプリングへの交換やスプリングのヘタリが原因で車高が想定以上に低くなってしまった場合に効果的です。 <br><br>またアンダー補強バーや大径マフラーの装着によって地上高不足に陥ったときにも大幅な車高アップが可能です。装着は簡単で、ブロック本体をボディとアッパーマウントの間へ割り込ませるだけで約15mm以上アップします。前後バランスが気になる場合は別売りのハイトアップスペーサーを併用すれば理想の車高バランスを実現できます。<br><br>●保安基準適合品 ●左右1セット ●材質：ジュラルミン <br><br>対応車種：EP3 シビック <br><br>　車検対応品<br><br>足回り/足回りその他,moonface(ムーンフェイス) ハイトアップブロック（フロント用) t-30mm EP3 シビック：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンmoonface(ムーンフェイス) ハイトアップブロック（フロント用) t-30mm EP3 シビック,moonface(ムーンフェイス) ハイトアップブロック（フロント用) t-30mm EP3 シビック[rn]
14-164588,http://tshop.r10s.jp/parts/cabinet/detail-aa37/aa37-shb01-1.jpg?fitin=700:700,12952.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,moonface(ムーンフェイス) ハイトアップブロック(フロント用) t-30mm JZX90 マーク2,,スプリング交換せずに簡単に車高アップ！ハイトアップブロックは車高調整機能を持たないノーマル形状サスペンション用に開発された新発想の車高調整アダプターです。ローダウンスプリングへの交換やスプリングのヘタリが原因で車高が想定以上に低くなってしまった場合に効果的です。 <br><br>またアンダー補強バーや大径マフラーの装着によって地上高不足に陥ったときにも大幅な車高アップが可能です。装着は簡単で、ブロック本体をボディとアッパーマウントの間へ割り込ませるだけで約15mm以上アップします。前後バランスが気になる場合は別売りのハイトアップスペーサーを併用すれば理想の車高バランスを実現できます。<br><br>●保安基準適合品 ●左右1セット ●材質：ジュラルミン <br><br>対応車種：JZX90 マーク2 <br><br>　車検対応品<br><br>足回り/足回りその他,moonface(ムーンフェイス) ハイトアップブロック(フロント用) t-30mm JZX90 マーク2：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンmoonface(ムーンフェイス) ハイトアップブロック(フロント用) t-30mm JZX90 マーク2,moonface(ムーンフェイス) ハイトアップブロック(フロント用) t-30mm JZX90 マーク2[rn]
14-164589,http://tshop.r10s.jp/parts/cabinet/detail-aa37/aa37-shb23-1.jpg?fitin=700:700,12952.0000,,車用品・バイク用品 > カー用品 > サスペンション関連 > その他,moonface(ムーンフェイス) ハイトアップブロック（リア用) t-30mm DC5 インテグラ,,スプリング交換せずに簡単に車高アップ！ハイトアップブロックは車高調整機能を持たないノーマル形状サスペンション用に開発された新発想の車高調整アダプターです。ローダウンスプリングへの交換やスプリングのヘタリが原因で車高が想定以上に低くなってしまった場合に効果的です。 <br><br>またアンダー補強バーや大径マフラーの装着によって地上高不足に陥ったときにも大幅な車高アップが可能です。装着は簡単で、ブロック本体をボディとアッパーマウントの間へ割り込ませるだけで約15mm以上アップします。前後バランスが気になる場合は別売りのハイトアップスペーサーを併用すれば理想の車高バランスを実現できます。<br><br>●保安基準適合品 ●左右1セット ●材質：ジュラルミン <br><br>対応車種：DC5 インテグラ <br><br>　車検対応品<br><br>足回り/足回りその他,moonface(ムーンフェイス) ハイトアップブロック（リア用) t-30mm DC5 インテグラ：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンmoonface(ムーンフェイス) ハイトアップブロック（リア用) t-30mm DC5 インテグラ,moonface(ムーンフェイス) ハイトアップブロック（リア用) t-30mm DC5 インテグラ[rn]
