14-135701,http://tshop.r10s.jp/dcmonline/cabinet/a410/4977292274012.jpg?fitin=700:700,768.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,SK11 ストロングコンビプライヤー SCP-200S-H 200mm,【5千円以上で送料無料】【あす楽】,"●サイズ：200mm。●最大口開き：25mm。●切断能力：軟鋼線径2.6mm。●重量(約)：260(g)。 ●【用途】家庭内のメンテナンスから水道蛇口等の水まわり作業、自動車や機械の整備作業まで。●【機能・特長】歯部は高周波焼入れを施し、耐摩耗性に優れ確実なグリップ力を維持します。クロスカット加工により、従来品と比べ滑りに強く、縦・横・斜め方向ともに強力につかみます。歯部は高周波焼入れを施し、耐摩耗性に優れ確実なグリップ力を維持します。口開きは2段階調節でき、対象物に合わせて口幅調整が可能です。 非絶縁工具です。電気が流れているものには使用しないで下さい。本来の目的、用途以外での使用はしないで下さい。
作業時は保護メガネ、保護手袋を着用してください。刃部で対象物をキズつける恐れがあります。柔らかい素材やメッキ部分は特にご注意下さい。",SK11 ストロングコンビプライヤー SCP-200S-H 200mm：ＤＣＭオンライン,ホームセンターカーマダイキホーマックネットホームセンターホームセンター　通販工具KTC天馬アイリスオーヤマ藤原産業自転車カー用品DCMＤＣＭホールディングス日立工機ソフト９９ケルヒャーマキタフィッツSK11 ストロングコンビプライヤー SCP-200S-H 200mm,【5千円以上で送料無料】【あす楽】。SK11 ストロングコンビプライヤー SCP-200S-H 200mm[rn]
14-135725,,1768.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-140】(4713281)ペンチ １４０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平材および丸材のグリップゾーンがあり、様々な用途に使えます。<br>●ソフトおよびハードワイヤー用の切刃付きです。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６０です。<br>●落下防止用ひも取付穴:無<br>●全長(mm):140<br>●切断能力(mm)硬線:φ1.8<br>●ハンドル:ソフトプラスチックコーティング<br>●質量(g):112<br>●切断能力(mm)軟硬線:φ2.8<br>●切断能力(mm)銅・アルミ:φ9.0<br>●切断能力(mm［［の2乗］］)銅・アルミ:10.0<br>●オイル焼き入れ焼き戻し処理済み高級特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-140】(4713281)ペンチ １４０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-140】(4713281)ペンチ １４０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-140】(4713281)ペンチ １４０ｍｍ 受注単位1[rn]
14-135726,,1986.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-175】(3693716)ペンチ １７５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●JIS規格ペンチの原型品です。<br>●独自開発による特殊鋼を使用していますので、切れ味と耐久性に優れており、プロから一般家庭まで幅広い用途に使用できます。<br>●内線、外線工事・電気設備・電話工事・土木建築工事向けペンチ。<br>●切断能力(mm)鉄線:φ3.0<br>●切断能力(mm)銅線:φ3.5<br>●切断能力(mm)VA線(VVF):-<br>●落下防止用ひも取付穴:無<br>●全長(mm):184<br>●質量(g):250<br>",『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-175】(3693716)ペンチ １７５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-175】(3693716)ペンチ １７５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ。『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-175】(3693716)ペンチ １７５ｍｍ 受注単位1[rn]
14-135727,,5244.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-204C-TH】(4742095)高所用電気工事用大型ペンチ １７５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\電工ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高所作業シリーズになります。<br>●電気工事技術者を対象とした配線工事や電気機器の据付作業、保守作業用プライヤーです。<br>●高周波焼き入れを施した刃は長期間切れ味が落ちません。<br>●鋸刃状のダイヤモンド・ジョーがワイヤをしっかりとグリップします。<br>●ダブルディップ・プラスチック・ハンドルは握りやすく、しかも耐久性にすぐれています。<br>●高所作業者に。紛失防止に。<br>●ランヤード用リング付きです。<br>●ポリッシュ面は美しく、耐食性にすぐれています。<br>●切断能力(mm)鉄線:φ2.0<br>●切断能力(mm)銅線:φ3.0<br>●落下防止用ひも取付穴:有<br>●全長(mm):178<br>●厚み(mm):13<br>●質量：(g)281<br>",『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-204C-TH】(4742095)高所用電気工事用大型ペンチ １７５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-204C-TH】(4742095)高所用電気工事用大型ペンチ １７５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\電工ペンチ。『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-204C-TH】(4742095)高所用電気工事用大型ペンチ １７５ｍｍ 受注単位1[rn]
14-135728,,1270.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒フジ矢（株）/フジ矢 【MP9A-110】(4699793)ミニテック ショートノーズラジオペンチ 受注単位1,作業用品\ペンチ・ニッパ\ラジオペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ギザ無しで対象物に傷をつける事がありません。<br>●手のひらサイズ・バネ付なので連続作業に最適です。<br>●刃が付いているので切断できます。<br>●全長(mm):116<br>●切断能力(mm)銅線:φ1.5<br>●切断能力(mm)鉄線:φ1.0<br>●質量(g):57<br>",『カード対応OK！』■〒フジ矢（株）/フジ矢 【MP9A-110】(4699793)ミニテック ショートノーズラジオペンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢（株）/フジ矢 【MP9A-110】(4699793)ミニテック ショートノーズラジオペンチ 受注単位1,作業用品\ペンチ・ニッパ\ラジオペンチ。『カード対応OK！』■〒フジ矢（株）/フジ矢 【MP9A-110】(4699793)ミニテック ショートノーズラジオペンチ 受注単位1[rn]
14-135729,,3095.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2505-140】(4713524)ラジオペンチ １４０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ラジオペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●精密な電子部品をつかんだり、切断するのに最適です。<br>●ヘッドの先端形状は半丸型です。<br>●つかみ面には滑り止めの横スジが入っています。<br>●サイドカッターでは中硬線、硬線を切断することができます。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６０です。<br>●全長(mm):140<br>●先端形状(mm)E×F:2.5×2.0<br>●切断能力(mm)硬線:1.6<br>●ハンドル:コンフォートタイプ<br>●切断能力(mm)中硬線:2.5<br>●質量(g):111<br>●口先の長さ(mm):42<br>●オイル焼き入れ焼き戻し処理済高級特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2505-140】(4713524)ラジオペンチ １４０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2505-140】(4713524)ラジオペンチ １４０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ラジオペンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2505-140】(4713524)ラジオペンチ １４０ｍｍ 受注単位1[rn]
14-135730,,2874.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2503-125】(4713516)ラジオペンチ １２５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ラジオペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●精密な電子部品をつかんだり、切断するのに最適です。<br>●ヘッドの先端形状は半丸型です。<br>●つかみ面には滑り止めの横スジが入っています。<br>●サイドカッターでは中硬線、硬線を切断することができます。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６０です。<br>●全長(mm):125<br>●先端形状(mm)E×F:2.5×1.8<br>●切断能力(mm)硬線:1.6<br>●ハンドル:ソフトプラスチックコーティング<br>●切断能力(mm)中硬線:2.2<br>●質量(g):72<br>●口先の長さ(mm):50<br>●オイル焼き入れ焼き戻し処理済高級特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2503-125】(4713516)ラジオペンチ １２５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2503-125】(4713516)ラジオペンチ １２５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ラジオペンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2503-125】(4713516)ラジオペンチ １２５ｍｍ 受注単位1[rn]
14-135731,,2396.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J31】(4713541)４４２１－Ｊ３１ 穴用スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●穴用スナップリングの取り付け、取り外しに適しています。<br>●鍛造により大変頑丈です。<br>●滑りにくい先端チップです。<br>●穴用スナップリングの取り付け、取り外しに。<br>●全長(mm):215<br>●爪先端径(mm):2.3<br>●爪形状:90°曲爪<br>●リング使用範囲(mm):40～100<br>●質量(g):196<br>●黒染め仕様<br>●焼き入れ焼き戻し処理済みのクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J31】(4713541)４４２１&minus;Ｊ３１ 穴用スナップリングプライヤー 曲 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J31】(4713541)４４２１&minus;Ｊ３１ 穴用スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J31】(4713541)４４２１&minus;Ｊ３１ 穴用スナップリングプライヤー 曲 受注単位1[rn]
14-135732,,2616.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A22】(4713630)４６３１－Ａ２２ 軸用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軸用スナップリングの取り付け、取り外しに適しています。<br>●鍛造により大変頑丈です。<br>●滑りにくい先端チップです。<br>●軸用スナップリングの取り付け、取り外しに。<br>●全長(mm):185<br>●爪先端径(mm):1.8<br>●爪形状:45°曲爪<br>●リング使用範囲(mm):19～60<br>●質量(g):133<br>●ばね付<br>●黒染め仕様<br>●焼き入れ焼き戻し処理済みのクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A22】(4713630)４６３１&minus;Ａ２２ 軸用スナップリングプライヤー ４５度 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A22】(4713630)４６３１&minus;Ａ２２ 軸用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A22】(4713630)４６３１&minus;Ａ２２ 軸用スナップリングプライヤー ４５度 受注単位1[rn]
14-135733,,5969.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A41】(4713702)４９２１－Ａ４１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ツール寿命は一般的なスナップリングプライヤーの10倍以上です。<br>●スクリュージョイントを採用しており、大変滑らかに可動します。<br>●鍛造ボディーにより大変頑丈です。<br>●先端チップはリングとの接触面積が広いため、リングを歪めず確実に保持することができます。<br>●スリムなヘッド形状により、狭い場所での作業も可能です。<br>●スプリングはジョイント部に内蔵し保護されています。<br>●軸用スナップリングの取り付け、取り外しに。<br>●全長(mm):305<br>●爪先端径(mm):3.2<br>●爪形状:90°曲爪<br>●リング使用範囲(mm):85～140<br>●質量(g):601<br>●ばね付<br>●黒染め仕様<br>●熱間鍛造によるクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A41】(4713702)４９２１&minus;Ａ４１ 軸用精密スナップリングプライヤー 曲 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A41】(4713702)４９２１&minus;Ａ４１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A41】(4713702)４９２１&minus;Ａ４１ 軸用精密スナップリングプライヤー 曲 受注単位1[rn]
14-135734,,3907.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4931-A1】(4793056)軸用精密スナップリングプライヤー 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ツール寿命は一般的なスナップリングプライヤーの10倍以上です。<br>●スクリュージョイントを採用しており、大変滑らかに可動します。<br>●鍛造ボディーにより大変頑丈です。<br>●先端チップはリングとの接触面積が広いため、リングを歪めず確実に保持することができます。<br>●スリムなヘッド形状により、狭い場所での作業も可能です。<br>●スプリングはジョイント部に内蔵し保護されています。<br>●軸用スナップリングの取り付け、取り外しに。<br>●全長(mm):140<br>●爪先端径(mm):1.3<br>●爪形状:直爪<br>●リング使用範囲(mm):10～25<br>●質量(g):100<br>●ばね付<br>●黒染め仕様<br>●追加の開口リミッター付き（開口範囲は無段階に調整可能）<br>●熱間鍛造によるクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4931-A1】(4793056)軸用精密スナップリングプライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4931-A1】(4793056)軸用精密スナップリングプライヤー 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4931-A1】(4793056)軸用精密スナップリングプライヤー 受注単位1[rn]
14-135735,,2948.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A01】(4713681)４９２１－Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ツール寿命は一般的なスナップリングプライヤーの10倍以上です。<br>●スクリュージョイントを採用しており、大変滑らかに可動します。<br>●鍛造ボディーにより大変頑丈です。<br>●先端チップはリングとの接触面積が広いため、リングを歪めず確実に保持することができます。<br>●スリムなヘッド形状により、狭い場所での作業も可能です。<br>●スプリングはジョイント部に内蔵し保護されています。<br>●軸用スナップリングの取り付け、取り外しに。<br>●全長(mm):130<br>●爪先端径(mm):0.9<br>●爪形状:90°曲爪<br>●リング使用範囲(mm):3～10<br>●質量(g):100<br>●ばね付<br>●黒染め仕様<br>●熱間鍛造によるクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A01】(4713681)４９２１&minus;Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A01】(4713681)４９２１&minus;Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A01】(4713681)４９２１&minus;Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1[rn]
14-135736,,5086.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4821-J41】(4713672)４８２１－Ｊ４１ 穴用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ツール寿命は一般的なスナップリングプライヤーの10倍以上です。<br>●スクリュージョイントを採用しており、大変滑らかに可動します。<br>●鍛造ボディーにより大変頑丈です。<br>●先端チップはリングとの接触面積が広いため、リングを歪めず確実に保持することができます。<br>●スリムなヘッド形状により、狭い場所での作業も可能です。<br>●スプリングはジョイント部に内蔵し保護されています。<br>●穴用スナップリングの取り付け、取り外しに。<br>●全長(mm):305<br>●爪先端径(mm):3.2<br>●爪形状:90°曲爪<br>●リング使用範囲(mm):85～140<br>●質量(g):576<br>●黒染め仕様<br>●熱間鍛造によるクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4821-J41】(4713672)４８２１&minus;Ｊ４１ 穴用精密スナップリングプライヤー 曲 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4821-J41】(4713672)４８２１&minus;Ｊ４１ 穴用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4821-J41】(4713672)４８２１&minus;Ｊ４１ 穴用精密スナップリングプライヤー 曲 受注単位1[rn]
14-135737,,2990.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【GRK3-LL】(4413610)Ｇレックス３ ブラック ＬＬ 受注単位1,環境安全用品\安全靴・作業靴\長靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ショート丈で軽量です。<br>●胴部分が４層構造で破れにくくなっています。<br>●土木建築・一般水まわり作業<br>●寸法(cm):26.5～27.0<br>●足幅サイズ:EEE<br>●靴丈(cm):18.4<br>●色：ブラック<br>●ラバー（吸汗メリヤス裏）<br>●ＪＩＳ規格　Ｈ級相当の鉄先芯（単体）<br>",『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【GRK3-LL】(4413610)Ｇレックス３ ブラック ＬＬ 受注単位1：クローバー資材館,『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【GRK3-LL】(4413610)Ｇレックス３ ブラック ＬＬ 受注単位1,環境安全用品\安全靴・作業靴\長靴。『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【GRK3-LL】(4413610)Ｇレックス３ ブラック ＬＬ 受注単位1[rn]
14-135738,,2984.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【MKN-26.5】(4311094)メッシュ軽半長靴 ２６．５ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\長靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機能性を重視した作業用長靴です。<br>●蒸れにくい吸汗メリヤスを使用しています。<br>●靴底は滑りにくい彫刻構造です（アメ底）。<br>●土木・建築現場。<br>●寸法(cm):26.5<br>●足幅サイズ:EE<br>●靴丈(cm):30.5<br>●質量(kg):1.30<br>●色:ブラック<br>●胴部・底部:ラバー<br>●裏材:メリヤス<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【MKN-26.5】(4311094)メッシュ軽半長靴 ２６．５ｃｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【MKN-26.5】(4311094)メッシュ軽半長靴 ２６．５ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\長靴。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【MKN-26.5】(4311094)メッシュ軽半長靴 ２６．５ｃｍ 受注単位1[rn]
14-135739,,2041.6000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【TEA-23.0】(4803159)耐油衛生長アメ底白２３．０ＣＭ 受注単位1,環境安全用品\安全靴・作業靴\長靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機能性を優先し、耐油性に優れます。<br>●靴底は滑りにくい材質で、さらに彫刻仕様です。<br>●飲食関係の厨房・水産作業・一般の水回り作業用長靴。<br>●寸法(cm):23.0<br>●足幅サイズ:EEE<br>●靴丈(cm):29.0<br>●質量(kg)<br>●色:ホワイト<br>●胴部・底部:ポリ塩化ビニール（PVC）<br>●裏材:メリヤス<br>",『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【TEA-23.0】(4803159)耐油衛生長アメ底白２３．０ＣＭ 受注単位1：クローバー資材館,『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【TEA-23.0】(4803159)耐油衛生長アメ底白２３．０ＣＭ 受注単位1,環境安全用品\安全靴・作業靴\長靴。『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【TEA-23.0】(4803159)耐油衛生長アメ底白２３．０ＣＭ 受注単位1[rn]
14-135740,,2020.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒おたふく手袋（株）/おたふく 【JW707-WH-260】(4709179)耐油長靴 白 ２６．０ 受注単位1,環境安全用品\安全靴・作業靴\長靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アッパーから底部まで耐油性に優れた配合の塩化ビニール製です。<br>●当社オリジナルパターンのPVC底がグリップ力を発揮いたします。<br>●厨房・水産加工。<br>●寸法(cm):26.0<br>●足幅サイズ:3E<br>●靴丈(cm):31.5<br>●質量(kg):1.37<br>●色:ホワイト<br>●抗菌防臭加工<br>●胴部・底部：塩化ビニール（ＰＶＣ）<br>●裏材：ナイロン<br>",『カード対応OK！』■〒おたふく手袋（株）/おたふく 【JW707-WH-260】(4709179)耐油長靴 白 ２６．０ 受注単位1：クローバー資材館,『カード対応OK！』■〒おたふく手袋（株）/おたふく 【JW707-WH-260】(4709179)耐油長靴 白 ２６．０ 受注単位1,環境安全用品\安全靴・作業靴\長靴。『カード対応OK！』■〒おたふく手袋（株）/おたふく 【JW707-WH-260】(4709179)耐油長靴 白 ２６．０ 受注単位1[rn]
14-135741,,3725.6000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【SCDX-265】(4413661)ジョルディックセフティＤＸ ２６．５ 受注単位1,環境安全用品\安全靴・作業靴\長靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●胴部分を4層構造（ラバー・ナイロンメッシュ・ラバー+吸汗メリヤス）にした強度に優れた長靴です。<br>●つま先に鉄芯を入れた安全長靴です。<br>●履き口のソフト合皮カバーにより異物の侵入を防ぎます。<br>●裏面は滑りにくい彫刻構造です。（アメ底）<br>●裏面は滑りにくい彫刻構造(アメ底)<br>●胴部分を4層構造(ラバー・ナイロンメッシュ・ラバー＋吸汗メリヤス)にした強度にすぐれた長靴。<br>●つま先に鉄芯を入れた安全長靴。<br>●履き口のソフト合皮カバーにより異物の侵入を防ぎます。<br>●建築作業・土木作業等の安全作業用<br>●寸法(cm):26.5<br>●足幅サイズ:ＥＥ<br>●靴丈(cm):35<br>●耐圧迫性荷重:10kN<br>●色:ネイビー<br>●型底(一体成形)<br>●鉄製先芯入り<br>●胴部・底部:ラバー<br>●裏材:メリヤス<br>●先芯:鋼製<br>",『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【SCDX-265】(4413661)ジョルディックセフティＤＸ ２６．５ 受注単位1：クローバー資材館,『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【SCDX-265】(4413661)ジョルディックセフティＤＸ ２６．５ 受注単位1,環境安全用品\安全靴・作業靴\長靴。『カード対応OK！』■〒福山ゴム工業（株）/福山ゴム 【SCDX-265】(4413661)ジョルディックセフティＤＸ ２６．５ 受注単位1[rn]
