14-103301,http://tshop.r10s.jp/brico/cabinet/34/04912033-282209_1.jpg?fitin=700:700,410.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き,"■らくちん微調整・3次元調整・ワンタッチ着脱・開き角度調整可能<br><br>
●規格：NS-4050<br>
●入り数：1個入り<br>
●かぶせ（セット）：全かぶせ<br>
●キャッチ：キャッチ付<br>
●カップの直径：40mm<br>
●カップの深さ：13.8mm<br>
●材質：スチール/ニッケルメッキ仕上<br>
●付属ネジ：皿タッピングφ3.5×16mm（4本入） <br><br>
<font color=""#ff0000"">※1個だけが壊れた場合でもその扉についている全ての丁番を取り替えて下さい。</font><br>
<br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。<br>

メール便の詳細はこちら</font>",【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き。【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209[rn]
14-103327,http://tshop.r10s.jp/brico/cabinet/75/10008975_1.jpg?fitin=700:700,132.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の間接に 間接爪 受骨用 4個入,US-023・US-024,"■間接爪（受骨用）：傘の受骨と親骨のつなぎ目の修理部品<br><br>
傘骨の間接が骨折したら、こうして修理しましょう！<br>
1.受け骨の破損部とハトメをはずしたら、受け骨の先端をペンチ等で長さが合うように切り落とします。<br>
2.「間接爪、受骨用」を受け骨にかぶせます。<br>
3.ペンチ等で骨を巻くように爪を折り曲げて締め付けます。<br>
4.受け骨を（a）の受け口の穴に合わせてから、新しいハトメを差込み、ペンチ等で強く押さえてかしめます。<br><br>
修理に必要な道具：ペンチ<br>
<br>
●材質：鉄<br>
●サイズ：（直径4mmのパイプに対応）<br>
材料厚み0.5mm<br>
全長34mm<br>
U部分横幅外径5.7mm<br>
U部分横幅内径4～4.5mm<br>
U凹部分最高5.5mm<br>
U凹部分最低3mm<br>
穴径1.5mm<br>
ハトメ外径2.8mm<br>
ハトメ直径1.4mm<br>
ハトメ長さ6.5mm",【メール便可】あなたも傘職人 傘骨の間接に 間接爪 受骨用 4個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の間接に 間接爪 受骨用 4個入,US-023・US-024。【メール便可】あなたも傘職人 傘骨の間接に 間接爪 受骨用 4個入[rn]
14-103328,http://tshop.r10s.jp/brico/cabinet/09/4979874028709_1.jpg?fitin=700:700,368.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】八幡ねじ YHロープ両端クランプ透明 YH-1 全長100cm,,"特徴<br>
材質は鉄で、防錆性向上のため亜鉛メッキが施されている。表面保護の透明樹脂はP.V.C<br>
<br>
用途<br>
吊りや固定に使用<br>
<br>
線径4mm（3mm）<br>
構造：6×7<br>
全長：100cm<br>
許容荷重：50kgf",【メール便可】八幡ねじ YHロープ両端クランプ透明 YH-1 全長100cm：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】八幡ねじ YHロープ両端クランプ透明 YH-1 全長100cm,【メール便可】八幡ねじ YHロープ両端クランプ透明 YH-1 全長100cm[rn]
14-103329,http://tshop.r10s.jp/cityliner/cabinet/0004/03333136.jpg?fitin=700:700,463.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,呉工業(クレ) リチウムグリースNo.1415 1本(430mL),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】耐熱性・耐水性・耐酸性を有します。腐蝕やサビから保護します。堅固で高粘度被膜を形成。被膜は白色となり、被膜の識別が容易です。U.S.D.A(米国農務省)より食肉工場での使用が許可されています。<br>【用途】ヒンジ、ドア、ケーブル、コンベア、ガイドレール、ベアリング、ギヤ、備品、工具類の潤滑・保守管理。<br>【トラスコ品番】171-8070<br>【使用温度範囲(℃)】-20～150<br>【主成分】グリース、石油系溶剤<br>【危険等級】2<br>【危険物の種別】第四類<br>【危険物の品名】第一石油類<br>【危険物の性質】非水溶性<br>",呉工業(クレ) リチウムグリースNo.1415 1本(430mL)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル呉工業(クレ) リチウムグリースNo.1415 1本(430mL),3240円以上ご購入で送料無料！。呉工業(クレ) リチウムグリースNo.1415 1本(430mL)[rn]
14-103330,http://tshop.r10s.jp/cityliner/cabinet/0002/06651757.jpg?fitin=700:700,703.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ファインケミカルジャパン メタルコートFC-121 1本(420mL),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】特に長期防錆に優れており腐蝕、緑青、湿気、水に耐えます。透明な被膜を形成しますので内部の検査も容易です。従来のグリース、オイル油紙などの梱包資材と比較して1回のスプレー被膜で充分であり、作業も容易で防錆にも優れています。強靭で柔軟な被膜を形成しますので必要に応じて容易にはぎとることができます。ワンタッチスプレー式です。また速乾性ですので仕事が容易です。<br>【用途】各種工具、プラスチック金型の保護及び防錆。機械器具及び部品の研磨面、メッキ仕上面の保護及び防錆。各種機械器具部品、工具等の輸送中の保護及び防錆。<br>【トラスコ品番】398-5105<br>【液色】青<br>【危険等級】2<br>【危険物の種別】第四類<br>【危険物の品名】第一石油類<br>【危険物の性質】非水溶性<br>",ファインケミカルジャパン メタルコートFC-121 1本(420mL)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルファインケミカルジャパン メタルコートFC-121 1本(420mL),3240円以上ご購入で送料無料！。ファインケミカルジャパン メタルコートFC-121 1本(420mL)[rn]
14-103331,http://tshop.r10s.jp/cityliner/cabinet/0007/08741941.jpg?fitin=700:700,519.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,協同油脂 シトラックス EPNo.1 1本(400g),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】脱鉛の低公害万能極圧型グリース。耐熱、耐圧性が高く、衝撃荷重のある条件下でもすぐれた潤滑効果を発揮する。<br>【注意】※個人宅への配送は出来ません。<br>【トラスコ品番】362-0140<br>【使用温度範囲(℃)】-20～130<br>【ちょう度】No.1<br>【外観】茶褐色粘ちょう状<br>【増ちょう剤】リチウム<br>",協同油脂 シトラックス EPNo.1 1本(400g)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル協同油脂 シトラックス EPNo.1 1本(400g),3240円以上ご購入で送料無料！。協同油脂 シトラックス EPNo.1 1本(400g)[rn]
14-103332,http://tshop.r10s.jp/cityliner/cabinet/0004/03333644.jpg?fitin=700:700,2232.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,エーゼット マシンオイルA504 1缶(4L),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】手差し給油タイプの中荷重低速回転の一般的な潤滑油。高度精製油使用(無添加) 油圧作動油、高速度軸受油として幅広い用途の高級潤滑油をベースに専用添加剤を配合しています。<br>【用途】油圧機器や圧縮機の軸受けに。手差し給油タイプの中荷重低速回転の摺動部に<br>【容器仕様】PEツギ口付<br>【粘度】ISO VG46<br>【危険等級】3<br>【危険物の種別】第四類<br>【危険物の品名】第四石油類<br>【危険物の含有量】4L<br>【危険物の性質】非水溶性<br>",エーゼット マシンオイルA504 1缶(4L)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルエーゼット マシンオイルA504 1缶(4L),3240円以上ご購入で送料無料！。エーゼット マシンオイルA504 1缶(4L)[rn]
14-103333,http://tshop.r10s.jp/cityliner/cabinet/0004/02335706.jpg?fitin=700:700,1082.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,スリーボンド グリース状防錆潤滑剤1805-340ML 1本(340mL),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】スプレーすると、高荷重に耐える強じんなグリース状の軟膜を形成します。<br>特に雨水などの洗い流しに対して優れた耐性を発揮。<br>また、有機溶剤中毒予防規則の適用を受けません<br>エアゾール式<br>【用途】機械、工具、治具全般。<br>【成分】鉱油、イソパラフィン、石油スルフォネート系防錆剤、LPG<br>【トラスコ品番】126-2556<br>【使用温度範囲(℃)】-10～98<br>【危険物の種別】指定可燃物<br>【危険物の品名】可燃性固体類<br>",スリーボンド グリース状防錆潤滑剤1805-340ML 1本(340mL)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルスリーボンド グリース状防錆潤滑剤1805-340ML 1本(340mL),3240円以上ご購入で送料無料！。スリーボンド グリース状防錆潤滑剤1805-340ML 1本(340mL)[rn]
14-103334,http://tshop.r10s.jp/cityliner/cabinet/0005/02218833.jpg?fitin=700:700,37049.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,ザーレン ミニリューブK6 300001 1台,3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】市販の2.5kg缶に直接セットでき、グリスの詰め替えが不要。1回のポンプチャージで約30ニップルへ注入可能。増圧式新型ガン付。<br>【用途】エア供給の無い高所などへのグリスチャージに。<br>【トラスコ品番】121-5817<br>【質量(kg)】3.4<br>【高さ(mm)】360<br>【最大吐出量】3cc/トリガ<br>【容器】2.5kg入り缶<br>【ホース長さ(m)】1.5<br>【最大吐出圧力(MPa)】69<br>【本体径(mm)】180<br>【高さH×直径(mm×Φmm)】360×180<br>【ポンプチャージ(cc)】30<br>【適合グリース】～#2<br>",ザーレン ミニリューブK6 300001 1台：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルザーレン ミニリューブK6 300001 1台,3240円以上ご購入で送料無料！。ザーレン ミニリューブK6 300001 1台[rn]
14-103335,http://tshop.r10s.jp/cityliner/cabinet/0004/02444827.jpg?fitin=700:700,2632.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,東レ・ダウコーニング GRS-330 Gラピッドスプレー灰黒色 1本(330mL),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】代表的ペーストスプレー。汎用潤滑剤。<br>【用途】クレーンの摺動部。金属加工の工具、ダイスのメタルピックアップ防止。Oリングの摩耗減少。ネジの焼付、かじり防止。リードスクリュー、チャックコレット、工作機械のすべり面などのメンテナンス。<br>【色】灰黒色<br>【摘要】スプレー<br>【使用温度範囲(℃)】-35～400<br>【主成分】鉱油、MoS2<br>【危険等級】2<br>【危険物の種別】第四類<br>【危険物の品名】第一石油類<br>【危険物の性質】非水溶性<br>",東レ・ダウコーニング GRS-330 Gラピッドスプレー灰黒色 1本(330mL)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル東レ・ダウコーニング GRS-330 Gラピッドスプレー灰黒色 1本(330mL),3240円以上ご購入で送料無料！。東レ・ダウコーニング GRS-330 Gラピッドスプレー灰黒色 1本(330mL)[rn]
14-103336,http://tshop.r10s.jp/cityliner/cabinet/0005/02338375.jpg?fitin=700:700,1121.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,住鉱潤滑剤(SUMICO) スミコーTFP スプレー有色 1本(330mL),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】浸透性と水置換性を持ち、わずか5ミクロン前後の薄膜で、優れた防錆力を発揮する防錆スプレーです。金属面についている水や薬液の下にもぐり込むほどの強い浸透力を持ち、薄膜を形成します。特に射出成形機の金型防錆においては、複雑な金型にも均一な被膜をつくり、捨て打ちも少なくてすみます。<br>【用途】機械部品、組立て部品の加工、組立て待ちの防錆洗浄後の機械部品、装置の防錆射出成形機の金型防錆電気部品、自動車部品などの小部品の防錆湿気、水分の除去<br>【トラスコ品番】123-2479<br>【色】緑<br>【使用温度範囲(℃)】-20～45<br>【危険等級】2<br>【危険物の種別】第四類<br>【危険物の品名】第一石油類<br>【危険物の性質】非水溶性<br>",住鉱潤滑剤(SUMICO) スミコーTFP スプレー有色 1本(330mL)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル住鉱潤滑剤(SUMICO) スミコーTFP スプレー有色 1本(330mL),3240円以上ご購入で送料無料！。住鉱潤滑剤(SUMICO) スミコーTFP スプレー有色 1本(330mL)[rn]
14-103337,http://tshop.r10s.jp/cityliner/cabinet/0006/02334945.jpg?fitin=700:700,1352.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,信越化学工業 低温潤滑用 シリコーングリースG30M M100g 1本(100g),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】耐熱性・耐寒性に優れ、過酷な環境下でも長期にわたり性能を発揮、維持します。電気的に絶縁なので安心して使用でき、耐水性・撥水性に優れています。腐食性がなく少量で効果的です。シリコーンオイルを基油に、増長剤・油性向上剤・酸化防止剤などを配合した製品です。一般の鉱油系グリースと異なり使用温度範囲が広く、熱酸化安定性、耐水性などに優れています。また、化学的に不活性で、ほとんどの機器に使用できます。G-30シリーズは、特に低温領域での潤滑性に優れています。<br>【成分】シリコーンオイル、増稠剤、油性向上剤、酸化防止剤<br>【トラスコ品番】126-1185<br>【種別】低温潤滑用<br>【使用温度範囲(℃)】-60～+180<br>【ちょう度】240～280(M)<br>【比重】1.00(25℃時)<br>【揮発分】0.41%(150℃/100h)<br>【外観】灰白色グリース状<br>【低分子シリコーン(ΣD3～D10)含有率(ppm)】100以下<br>【アズワン品番】1-8933-01<br>",信越化学工業 低温潤滑用 シリコーングリースG30M M100g 1本(100g)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル信越化学工業 低温潤滑用 シリコーングリースG30M M100g 1本(100g),3240円以上ご購入で送料無料！。信越化学工業 低温潤滑用 シリコーングリースG30M M100g 1本(100g)[rn]
14-103338,http://tshop.r10s.jp/cityliner/cabinet/0004/03333163.jpg?fitin=700:700,559.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,呉工業(クレ) クイックドライクリーナーNo.1419 1本(430mL),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】速乾性で、完全に蒸発し残りかすも出ないので、拭き取り不要です。プリント基板やセンサーなど、デリケートな部分に付着した汚れを素早く、確実に取り除きます。<br>【用途】各種電気・電子機器のプリント基板や電源部、コネクター、各種アッセンブリーパーツ。自動車のコネクター類、ハーネス、バッテリーターミナル、ヒューズボックス、センサー類のクリーンアップ。<br>【トラスコ品番】171-8126<br>【使用温度範囲(℃)】-20～40<br>【主成分】石油系溶剤<br>【危険等級】2<br>【危険物の種別】第四類<br>【危険物の品名】第一石油類<br>【危険物の含有量】413mL<br>【危険物の性質】非水溶性<br>",呉工業(クレ) クイックドライクリーナーNo.1419 1本(430mL)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル呉工業(クレ) クイックドライクリーナーNo.1419 1本(430mL),3240円以上ご購入で送料無料！。呉工業(クレ) クイックドライクリーナーNo.1419 1本(430mL)[rn]
14-103339,http://tshop.r10s.jp/cityliner/cabinet/0005/02790207.jpg?fitin=700:700,1352.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,信越化学工業 低温潤滑用 シリコーングリースG30L L100g 1本(100g),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】耐熱性・耐寒性に優れ、過酷な環境下でも長期にわたり性能を発揮、維持します。電気的に絶縁なので安心して使用でき、耐水性・撥水性に優れています。腐食性がなく少量で効果的です。シリコーンオイルを基油に、増長剤・油性向上剤・酸化防止剤などを配合した製品です。一般の鉱油系グリースと異なり使用温度範囲が広く、熱酸化安定性、耐水性などに優れています。また、化学的に不活性で、ほとんどの機器に使用できます。G-30シリーズは、特に低温領域での潤滑性に優れています。<br>【成分】シリコーンオイル、増稠剤、油性向上剤、酸化防止剤<br>【トラスコ品番】365-3650<br>【種別】低温潤滑用<br>【使用温度範囲(℃)】-60～+180<br>【ちょう度】280～320(L)<br>【比重】0.99(25℃時)<br>【揮発分】0.35%(150℃/100h)<br>【外観】灰白色グリース状<br>【低分子シリコーン(ΣD3～D10)含有率(ppm)】100以下<br>",信越化学工業 低温潤滑用 シリコーングリースG30L L100g 1本(100g)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル信越化学工業 低温潤滑用 シリコーングリースG30L L100g 1本(100g),3240円以上ご購入で送料無料！。信越化学工業 低温潤滑用 シリコーングリースG30L L100g 1本(100g)[rn]
14-103340,http://tshop.r10s.jp/cityliner/cabinet/0004/02338716.jpg?fitin=700:700,615.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,イチネンケミカルズ(旧タイホーコーザイ) ラスジェット0107 1本(420mL),3240円以上ご購入で送料無料！,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】水置換性で、あらゆる金属の防錆に使用でき、金属表面を浸蝕したり、色を変えたりすることはありません。 電気接点に不干渉ですから、電気装置の保護に優れています。塩分の付着や海面上で生ずる腐蝕を防止し、指紋による発錆も防ぎます。<br>【用途】あらゆる金属製品、精密機械、治工具、定盤等の防錆、潤滑。 電気装置、コンピューター、モーター等の複雑なワイヤリングの防錆、防湿。<br>【成分】ワックス防錆添加剤潤滑油高級脂肪酸エステルイソパラフィン系溶剤石油系炭化水素LPG<br>【性能】屋内防錆: 24ヶ月以上塩水噴霧: 120時間以上湿潤箱: 1440時間以上<br>【種別】水置換性防錆剤<br>【色】無色<br>【使用温度範囲(℃)】-10～120<br>【膜厚(μm)】2～3<br>【危険等級】3<br>【危険物の種別】第四類<br>【危険物の品名】第二石油類<br>【危険物の含有量】210mL<br>【危険物の性質】非水溶性<br>",イチネンケミカルズ(旧タイホーコーザイ) ラスジェット0107 1本(420mL)：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルイチネンケミカルズ(旧タイホーコーザイ) ラスジェット0107 1本(420mL),3240円以上ご購入で送料無料！。イチネンケミカルズ(旧タイホーコーザイ) ラスジェット0107 1本(420mL)[rn]
14-103341,http://tshop.r10s.jp/morisan/cabinet/nt-126/img64163062.jpg?fitin=700:700,472.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,金巻万能刷毛　ハケ　山羊毛　22mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】,"一般向け、初めての方でも使い良い。

狭い所に便利


●用途： 水性・油性兼用

●仕様： 金巻き

●全長(mm)： 210

●材質/仕上： 毛：山羊毛

●質量(g)： 17

●毛丈(mm)： 33

●刷毛幅(mm)： 10号(22)",金巻万能刷毛　ハケ　山羊毛　22mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨：森の中のオーディオ屋さん,デッドニングアメリカ雑貨スピーカーウーファーエアロワイパーカーオーディオワコーズWAKO'Sリアビジョンフリップダウンモニター制振シート防音シートクリスタルガイザーコカコーラティッシュアメ雑貨京都インナーバッフルエンジンオイル森の中のオーディオ屋さん金巻万能刷毛　ハケ　山羊毛　22mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】。金巻万能刷毛　ハケ　山羊毛　22mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨[rn]
14-103342,http://tshop.r10s.jp/morisan/cabinet/nt-126/img64162994.jpg?fitin=700:700,600.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,金巻万能刷毛　ハケ　山羊毛　33mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】,"一般向け、初めての方でも使い良い。

狭い所に便利


●用途： 水性・油性兼用

●仕様： 金巻き

●全長(mm)： 220

●材質/仕上： 毛：山羊毛

●質量(g)： 11

●毛丈(mm)： 33

●刷毛幅(mm)： 15号(33)",金巻万能刷毛　ハケ　山羊毛　33mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨：森の中のオーディオ屋さん,デッドニングアメリカ雑貨スピーカーウーファーエアロワイパーカーオーディオワコーズWAKO'Sリアビジョンフリップダウンモニター制振シート防音シートクリスタルガイザーコカコーラティッシュアメ雑貨京都インナーバッフルエンジンオイル森の中のオーディオ屋さん金巻万能刷毛　ハケ　山羊毛　33mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】。金巻万能刷毛　ハケ　山羊毛　33mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨[rn]
14-103343,http://tshop.r10s.jp/morisan/cabinet/nt-126/img64163064.jpg?fitin=700:700,792.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,金巻万能刷毛　ハケ　山羊毛　45mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】,"一般向け、初めての方でも使い良い。

狭い所に便利


●用途： 水性・油性兼用

●仕様： 金巻き

●全長(mm)： 230

●材質/仕上： 毛：山羊毛

●質量(g)： 26

●毛丈(mm)： 35

●刷毛幅(mm)： 20号(45)",金巻万能刷毛　ハケ　山羊毛　45mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨：森の中のオーディオ屋さん,デッドニングアメリカ雑貨スピーカーウーファーエアロワイパーカーオーディオワコーズWAKO'Sリアビジョンフリップダウンモニター制振シート防音シートクリスタルガイザーコカコーラティッシュアメ雑貨京都インナーバッフルエンジンオイル森の中のオーディオ屋さん金巻万能刷毛　ハケ　山羊毛　45mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】。金巻万能刷毛　ハケ　山羊毛　45mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨[rn]
14-103344,http://tshop.r10s.jp/morisan/cabinet/nt-126/img64163087.jpg?fitin=700:700,360.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,特選万能用刷毛　ハケ　山羊毛/PP　30mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】,"●用途： 水性、油性、万能刷毛

●全長(mm)： 210

●質量(g)： 22

●毛丈(mm)： 31

●毛材： 山羊毛とPPとの混合(化繊30%)

●毛色： 白毛

●玉厚(mm)： 約11.5

●刷毛幅(mm)： 30(10号)",特選万能用刷毛　ハケ　山羊毛/PP　30mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨：森の中のオーディオ屋さん,デッドニングアメリカ雑貨スピーカーウーファーエアロワイパーカーオーディオワコーズWAKO'Sリアビジョンフリップダウンモニター制振シート防音シートクリスタルガイザーコカコーラティッシュアメ雑貨京都インナーバッフルエンジンオイル森の中のオーディオ屋さん特選万能用刷毛　ハケ　山羊毛/PP　30mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨,【楽天カード決済ならポイントUP!!】。特選万能用刷毛　ハケ　山羊毛/PP　30mm幅　インテリア雑貨/ガーデン雑貨/アンティーク雑貨/ナチュラル雑貨[rn]
