4-11864,,16497.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1[rn]
4-11877,,36834.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10254】(4841387)リーダーサート（ねじ補修キット）Ｍ１６×２．０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●めねじの補修にタップを使わない画期的なシステムです。<br>●下穴に直接、ねじ切りインサートでタッピングしながらインサートを挿入する際、先端にプラスチックガイドを付けることにより真円のインサート挿入ができます。（PAT.PEND）<br>●めねじの補修、補強に。<br>●使用範囲:Ｍ１６×２．０<br>●下穴ドリル寸法（mm）鉄用：22.0<br>●下穴ドリル寸法（mm）非鉄用：21.5<br>●止まり穴最小深さ（mm）：31<br>●下穴用ドリル（アルミ、鋳物用）１本（鉄鋼用）１本<br>●セルフタッピングインサート５本<br>●プラスチック案内６個<br>●ドライブボルト＆ナット各１<br>●スリーブ１<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10254】(4841387)リーダーサート（ねじ補修キット）Ｍ１６&times;２．０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10254】(4841387)リーダーサート（ねじ補修キット）Ｍ１６&times;２．０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒ノガ・ジャパン（株）/ＮＯＧＡ 【LS10254】(4841387)リーダーサート（ねじ補修キット）Ｍ１６&times;２．０ 受注単位1[rn]
4-11878,,11899.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ライト精機/ライト【F-46】(7512741) タップダイスセットＦ－４６ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●多様なサイズが入っているので様々な作業に適しています。<br><br>●ねじ山修正。<br><br>●中タップ：M4X.7／M5X0.8／M6X1.0／M8X1.25／M10X1.5／M12X1.75　各1本<br>●ダイス25径：M4X.7／M5X0.8／M6X1.0／M8X1.25／M10X1.5／M12X1.75　各1個<br>●タップハンドル10mm　1本<br>●ダイスハンドル25径　1本 合計14点<br><br>●加工ねじ：メートルねじ<br>●タップ等級：P3級<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ライト精機/ライト【F-46】(7512741) タップダイスセットＦ&minus;４６ 受注単位1：クローバー資材館,『カード対応OK！』■〒ライト精機/ライト【F-46】(7512741) タップダイスセットＦ&minus;４６ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒ライト精機/ライト【F-46】(7512741) タップダイスセットＦ&minus;４６ 受注単位1[rn]
4-11879,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356065.jpg?fitin=700:700,4908.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ２７Ｘ３．０【TD6-27X3.0】(3287793) 受注単位1,(3287793),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ２７Ｘ３．０【TD6-27X3.0】(3287793) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ２７Ｘ３．０【TD6-27X3.0】(3287793) 受注単位1,(3287793)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　並目　Ｍ２７Ｘ３．０【TD6-27X3.0】(3287793) 受注単位1[rn]
4-11880,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356066.jpg?fitin=700:700,1462.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／８－２８【TD6-1/8PS28】(3520781) 受注単位1,(3520781),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／８&minus;２８【TD6-1/8PS28】(3520781) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／８&minus;２８【TD6-1/8PS28】(3520781) 受注単位1,(3520781)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／８&minus;２８【TD6-1/8PS28】(3520781) 受注単位1[rn]
4-11881,,5725.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-24X2.0】(4806166)六角サラエナットダイス 細目 Ｍ２４Ｘ２．０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●メートル細目ねじ山の修正。<br>●呼び寸:M24<br>●ピッチ(mm):2.0<br>●2面幅寸法(mm):46.0<br>●厚み(mm):25.4<br>●質量(g):200<br>●低合金鋼（SKS）<br>●六角サラエナットダイスは、丸ダイスと違い、大きさを調整する調整ねじが付いておりません。そのため、ねじの精度によって六角サラエナットダイスが入らない場合がございます。<br>●ステンレス製のねじ類には、使用できません。<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-24X2.0】(4806166)六角サラエナットダイス 細目 Ｍ２４Ｘ２．０ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-24X2.0】(4806166)六角サラエナットダイス 細目 Ｍ２４Ｘ２．０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-24X2.0】(4806166)六角サラエナットダイス 細目 Ｍ２４Ｘ２．０ 受注単位1[rn]
4-11882,,11345.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-33X2.0】(4806191)六角サラエナットダイス 細目 Ｍ３３Ｘ２．０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●メートル細目ねじ山の修正。<br>●呼び寸:M33<br>●ピッチ(mm):2.0<br>●2面幅寸法(mm):55.5<br>●厚み(mm):25.4<br>●質量(g):330<br>●低合金鋼（SKS）<br>●六角サラエナットダイスは、丸ダイスと違い、大きさを調整する調整ねじが付いておりません。そのため、ねじの精度によって六角サラエナットダイスが入らない場合がございます。<br>●ステンレス製のねじ類には、使用できません。<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-33X2.0】(4806191)六角サラエナットダイス 細目 Ｍ３３Ｘ２．０ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-33X2.0】(4806191)六角サラエナットダイス 細目 Ｍ３３Ｘ２．０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TD6-33X2.0】(4806191)六角サラエナットダイス 細目 Ｍ３３Ｘ２．０ 受注単位1[rn]
4-11883,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356065.jpg?fitin=700:700,3052.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１８Ｘ１．５【TD6-18X1.5】(3287645) 受注単位1,(3287645),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１８Ｘ１．５【TD6-18X1.5】(3287645) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１８Ｘ１．５【TD6-18X1.5】(3287645) 受注単位1,(3287645)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１８Ｘ１．５【TD6-18X1.5】(3287645) 受注単位1[rn]
4-11884,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356065.jpg?fitin=700:700,1908.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１２Ｘ１．５【TD6-12X1.5】(3287611) 受注単位1,(3287611),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１２Ｘ１．５【TD6-12X1.5】(3287611) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１２Ｘ１．５【TD6-12X1.5】(3287611) 受注単位1,(3287611)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　細目　Ｍ１２Ｘ１．５【TD6-12X1.5】(3287611) 受注単位1[rn]
4-11885,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356066.jpg?fitin=700:700,2544.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ３／８－１９【TD6-3/8PS19】(3520862) 受注単位1,(3520862),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ３／８&minus;１９【TD6-3/8PS19】(3520862) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ３／８&minus;１９【TD6-3/8PS19】(3520862) 受注単位1,(3520862)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ３／８&minus;１９【TD6-3/8PS19】(3520862) 受注単位1[rn]
4-11886,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356066.jpg?fitin=700:700,3043.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／２－１４【TD6-1/2PS14】(3520714) 受注単位1,(3520714),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／２&minus;１４【TD6-1/2PS14】(3520714) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／２&minus;１４【TD6-1/2PS14】(3520714) 受注単位1,(3520714)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１／２&minus;１４【TD6-1/2PS14】(3520714) 受注単位1[rn]
4-11887,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356066.jpg?fitin=700:700,2640.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／８－１９【TD6-3/8PT19】(3520871) 受注単位1,(3520871),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／８&minus;１９【TD6-3/8PT19】(3520871) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／８&minus;１９【TD6-3/8PT19】(3520871) 受注単位1,(3520871)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＴ３／８&minus;１９【TD6-3/8PT19】(3520871) 受注単位1[rn]
4-11888,,24138.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ねじ補正器【NS3000】(4035127) 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●外径ねじ山修正工具です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ねじ補正器【NS3000】(4035127) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ねじ補正器【NS3000】(4035127) 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ねじ補正器【NS3000】(4035127) 受注単位1[rn]
4-11889,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004356066.jpg?fitin=700:700,7899.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１－１１【TD6-1PS11 】(3520811) 受注単位1,(3520811),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ボルトやねじをさらえる（きれいにする）時に使用します。<br>●ねじ山を修正する時に使用します。<br>●モンキーレンチにて作業ができます。<br>●ねじ山を修正する際の丸ダイスにかわる商品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１&minus;１１【TD6-1PS11 】(3520811) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１&minus;１１【TD6-1PS11 】(3520811) 受注単位1,(3520811)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　六角サラエナットダイス　ＰＳ１&minus;１１【TD6-1PS11 】(3520811) 受注単位1[rn]
4-11890,,82926.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ライト精機/ライト【M-320】(7512988) タップダイスセットＭ－３２０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●多様なサイズが入っているので様々な作業に適しています。<br><br>●ねじ山修正。<br><br>●中タップ：M3X0.5／M3X0.6／M4X0.7／M4X0.75／M5X0.8／M5X0.9／M6X0.75／M6X1.0／M8X1.0／M8X1.25／M10X1.0／M10X1.25／M10X1.5／M12X1.25／M12X1.5／M12X1.75／M13X1.75／M14X1.25／M14X1.5／M14X2.0／M16X1.5／M16X2.0／M18X1.5／M18X2.5／M20X1.5／M20X2.5／1/4NF28／1/8PT28　各1本<br>●ダイス38径：M3X0.5／M3X0.6／M4X0.7／M4X0.75／M5X0.8／M5X0.9／M6X0.75／M6X1.0／M8X1.0／M8X1.25／M10X1.0／M10X1.25／M10X1.5／M12X1.25／M12X1.5／M12X1.75／M13X1.75　各1個<br>●ダイス50径：M14X1.25／M14X1.5／M14X2.0／M16X1.5／M16X2.0／M18X1.5／M18X2.5／M20X1.5／M20X2.5　各1個<br>●タップハンドル10mm・20mm／タップホルダー6mm／ダイスハンドル38径・50径　各1本　合計59点<br><br>●加工ねじ：メートルねじ<br>●タップ等級：P3級<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ライト精機/ライト【M-320】(7512988) タップダイスセットＭ&minus;３２０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ライト精機/ライト【M-320】(7512988) タップダイスセットＭ&minus;３２０ 受注単位1,切削工具\ねじ切り工具\ねじ山修正工具。『カード対応OK！』■〒ライト精機/ライト【M-320】(7512988) タップダイスセットＭ&minus;３２０ 受注単位1[rn]
4-11891,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005462767.jpg?fitin=700:700,98658.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　Ｋ３内外径用カウンターシンク９０°１２．７シャンク【KP04-100】(4044924) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●パイプの内側と外側の面取りが同時にでき、それぞれ別々に設定できます。<br>●KOPAL面取りユニットは本体・ブレード・ガイドの組み合わせでできています。<br>●スプリングにより高さ調整ができる円錐状のガイドがワークの芯出しの役目をします。<br>●ハイス鋼のブレードはナットでロックされブレードの突出しを設定できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　Ｋ３内外径用カウンターシンク９０&deg;１２．７シャンク【KP04-100】(4044924) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　Ｋ３内外径用カウンターシンク９０&deg;１２．７シャンク【KP04-100】(4044924) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　Ｋ３内外径用カウンターシンク９０&deg;１２．７シャンク【KP04-100】(4044924) 受注単位1[rn]
4-11892,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002829261.jpg?fitin=700:700,6443.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ロングリーチ裏座ぐりミニチャンファー９０°刃【MC0606C24A90】(3377776) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●小径穴（最小刃径3.0mm）の裏面取りができる超硬ソリッドチャンファーリングカッターです。<br>●マシニング加工に最適です。<br>●スパイラル刃なので切れ味が滑らかです。<br>●ドリル穴の裏も表もミリング加工で、面取り・バリ取りができるミニチャンファーです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ロングリーチ裏座ぐりミニチャンファー９０&deg;刃【MC0606C24A90】(3377776) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ロングリーチ裏座ぐりミニチャンファー９０&deg;刃【MC0606C24A90】(3377776) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ　ロングリーチ裏座ぐりミニチャンファー９０&deg;刃【MC0606C24A90】(3377776) 受注単位1[rn]
4-11893,,17464.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｎｉｎｅ９社/Ｎｉｎｅ９　刻印カッター　インサート【V04506T1W06-NC9031】(4211383) 受注単位5,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ＮＣスポットドリルホルダー用インサートです。<br>●特殊なインサートデザインの為、超寿命です。<br>●独創的なインサートデザインとコーティングで高速可能が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒Ｎｉｎｅ９社/Ｎｉｎｅ９　刻印カッター　インサート【V04506T1W06-NC9031】(4211383) 受注単位5：クローバー資材館,『カード対応OK！』■〒Ｎｉｎｅ９社/Ｎｉｎｅ９　刻印カッター　インサート【V04506T1W06-NC9031】(4211383) 受注単位5,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒Ｎｉｎｅ９社/Ｎｉｎｅ９　刻印カッター　インサート【V04506T1W06-NC9031】(4211383) 受注単位5[rn]
4-11894,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002796577.jpg?fitin=700:700,165532.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士元工業/富士元　リャンメンカット・Ｖ（ＭＲＶ１２－１９Ｓ）専用チップ　ＣＯＡＴ【SPMT090304NK6060】(3380548) 受注単位12,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士元工業/富士元　リャンメンカット・Ｖ（ＭＲＶ１２&minus;１９Ｓ）専用チップ　ＣＯＡＴ【SPMT090304NK6060】(3380548) 受注単位12：クローバー資材館,『カード対応OK！』■〒富士元工業/富士元　リャンメンカット・Ｖ（ＭＲＶ１２&minus;１９Ｓ）専用チップ　ＣＯＡＴ【SPMT090304NK6060】(3380548) 受注単位12,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒富士元工業/富士元　リャンメンカット・Ｖ（ＭＲＶ１２&minus;１９Ｓ）専用チップ　ＣＯＡＴ【SPMT090304NK6060】(3380548) 受注単位12[rn]
