4-12064,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495780.jpg?fitin=700:700,3888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1[rn]
4-12075,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863650.jpg?fitin=700:700,722.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●柱の穴あけに最適です。<br>●インパクトドライバーではφ21mmまでの穴あけ加工が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用兼用ビット４．０ｍｍ【NO2-40(4.0MM)】(2521253) 受注単位1[rn]
4-12076,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004871713.jpg?fitin=700:700,924.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●先ねじとケガキ刃の部分を従来のドリルよりも小さくすることにより、切削抵抗を抑えバッテリーの持ちが良くなり、インパクトドライバーでの使用に最適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　インパクトビットショート１８．０【7S-180】(4043839) 受注単位1[rn]
4-12077,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004871704.jpg?fitin=700:700,5897.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０×２００【36TL】(4042824) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●穴径30～120mmまでの加工が自由自在に行えます。<br>●サイディング材・堅木への穴あけに最適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０&times;２００【36TL】(4042824) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０&times;２００【36TL】(4042824) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　超硬自在錐　３０&times;２００【36TL】(4042824) 受注単位1[rn]
4-12078,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456127.jpg?fitin=700:700,1115.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●木材の深穴作業用の穴あけ工具です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ロングビット６．０ｍｍ【NO3-60(6.0MM)】(4031148) 受注単位1[rn]
4-12079,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456127.jpg?fitin=700:700,2784.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●木材の深穴作業用の穴あけ工具です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ロングビット３０．０ｍｍ【NO3-300】(4031113) 受注単位1[rn]
4-12080,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456122.jpg?fitin=700:700,618.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●木材の貫通穴用です。<br>●インパクトドリル対応の六角軸で、カリワク作業に最適な木材用の穴あけ工具です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用コンパネビットストレート型８．０ｍｍ【NO18E-80】(4080459) 受注単位1[rn]
4-12081,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456123.jpg?fitin=700:700,1091.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●先端部のねじに特殊加工をすることにより、木材の止め穴・貫通穴両方の加工ができる万能ビットです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ストッパービットショート　２１．０ｍｍ【NO1S-210】(4080564) 受注単位1[rn]
4-12082,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005155670.jpg?fitin=700:700,3763.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ショートビットとドリルビットの中間の長さです。<br>●先ねじタイプのため、回転力で錐がスムーズに入ります。<br>●1本ずつ刃先を職人の手によって仕上げています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　兼用ビット　３６．０【6-360】(3050777) 受注単位1[rn]
4-12083,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456118.jpg?fitin=700:700,2768.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●木材の貫通穴用です。<br>●木材の深穴作業用の穴あけ工具です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ロングドリル（全長４００ｍｍ）２１．０ｍｍ【NO7-210】(4081609) 受注単位1[rn]
4-12084,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005432360.jpg?fitin=700:700,1308.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●木材の貫通穴用です。<br>●手廻し(手動)で木材に穴をあけるドリルです。<br>●電源が無い所での穴あけ作業が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　リングオーガー１２．０ｍｍ【NO5-120(12MM ﾊﾝﾄﾞﾙﾂｷ)】(4081412) 受注単位1[rn]
