38-10063,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7941315.jpg?fitin=700:700,8942.4000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【仕様】<br>●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ<br><br>【質量】　960G<br><br>【原産国】　イギリス<br><br>【2017　オレンジブック掲載】　5 1615　ページ■商品コード：trs7941315　●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ,ケルヒャー　ディスクパッド（緑）　63697900：工具箱　楽天市場店,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載。ケルヒャー　ディスクパッド（緑）　63697900[rn]
38-10074,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs22/trs4048296.jpg?fitin=700:700,6925.6000,,花・ガーデン・DIY > DIY・工具 > その他,工進　ミスターオート　７Ｌ　HS707W,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）工進</b><br><br>【特長】<br>●蓄圧式噴霧器です。●園芸消毒用に使用できます。<br><br>【用途】<br>●園芸、消毒用。●庭木の殺虫・殺菌・消毒剤の散布に。●野菜・果実・草花などへのホルモン剤の散布に。<br><br>【仕様】<br>●容量(L):7●ノズル:二頭口●ノズル長さ(mm):630～2010●ホース長さ(m):5<br><br>【材質／仕上】<br>●タンク:ポリエチレン(PE)<br><br>【セット内容／付属品】<br>●スポイト<br><br><font color=red>【注意】<br>●ご使用いただけない消毒液もありますので、主要薬剤適合一覧表をご確認ください。</font><br><br>【質量】　2.9KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2506　ページ■商品コード：trs4048296　●容量(L):7●ノズル:二頭口●ノズル長さ(mm):630～2010●ホース長さ(m):5,工進　ミスターオート　７Ｌ　HS707W：工具箱　楽天市場店,工進　ミスターオート　７Ｌ　HS707W,【業務用】 オレンジブック2017掲載。工進　ミスターオート　７Ｌ　HS707W[rn]
38-10075,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4916441.jpg?fitin=700:700,33544.0000,,花・ガーデン・DIY > DIY・工具 > その他,ゼノア　エンジン肩掛式刈払機（両手ハンドル）　TRZ260STWEZ　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／ハスクバーナ・ゼノア（株）</b><br><br>【特長】<br>●軽い力でスターターロープが引け簡単に始動します。●手を離しても回転数を一定に保っているので作業者の負担を軽減します。●安全、安心のスロットルレバー標準装備。●シンプルな構造でハイパワーモデル。<br><br>【用途】<br>●一般雑草刈りに。<br><br>【仕様】<br>●長さ(mm):1840●幅(mm):640●高さ(mm):380●チップソー径(mm):255●燃料タンク(L):0.66●排気量([[ミリリットル]]):25.4●動力:2サイクルエンジン●使用燃料:混合ガソリン(FD級)50:1●スロットルレバー:STタイプ<br><br>【セット内容／付属品】<br>●チップソー●刈刃カバー●飛散防護カバー●保護メガネ●肩掛けバンド●収納バッグ●ソケットレンチ●L型六角レンチ●ドライバー([[(+)]][[(-)]])<br><br>【質量】　4.9KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2472　ページ≪メーカー直送品≫■商品コード：trs4916441　●長さ(mm):1840●幅(mm):640●高さ(mm):380●チップソー径(mm):255●燃料タンク(L):0.66●排気量([[ミリリットル]]):25.4●動力:2サイクルエンジン●使用燃料:混合ガソリン(FD級)50:1●スロットルレバー:STタイプ,ゼノア　エンジン肩掛式刈払機（両手ハンドル）　TRZ260STWEZ　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ゼノア　エンジン肩掛式刈払機（両手ハンドル）　TRZ260STWEZ　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ゼノア　エンジン肩掛式刈払機（両手ハンドル）　TRZ260STWEZ　 【代引き不可・配送時間指定不可】[rn]
38-10076,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs43/trs7706448.jpg?fitin=700:700,8840.8000,,花・ガーデン・DIY > DIY・工具 > その他,Ｂ／Ｄ　３６Ｖ２．０Ａｈバッテリー　BL2036JP,【業務用】 オレンジブック2017掲載,<b>メーカー／ポップリベット・ファスナー（株）　</b><br><br>【仕様】<br>●電圧(V):36●種類:電池パック●容量(Ah):2.0●電源(V):-●消費電力(VA):-<br><br>【質量】　0.7KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2470　ページ■商品コード：trs7706448　●電圧(V):36●種類:電池パック●容量(Ah):2.0●電源(V):-●消費電力(VA):-,Ｂ／Ｄ　３６Ｖ２．０Ａｈバッテリー　BL2036JP：工具箱　楽天市場店,Ｂ／Ｄ　３６Ｖ２．０Ａｈバッテリー　BL2036JP,【業務用】 オレンジブック2017掲載。Ｂ／Ｄ　３６Ｖ２．０Ａｈバッテリー　BL2036JP[rn]
38-10077,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2310554.jpg?fitin=700:700,9389.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　草焼バーナー　灯油タイプ　TB7000,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●完全気化方式を採用することにより燃費が良く高温の火力が長時間維持できます。<br><br>【用途】<br>●除草・害虫駆除など。<br><br>【仕様】<br>●全長(mm):1285●発熱量(kcal/h):17000●火口径(mm):50●連続使用時間(分):50●炎温度:1100℃●使用燃料:灯油●燃料容量:1.5L<br><br><font color=red>【注意】<br>●ガソリンは厳禁。必ず灯油を使用してください。</font><br><br>【質量】　2.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2465　ページ■商品コード：trs2310554　●全長(mm):1285●発熱量(kcal/h):17000●火口径(mm):50●連続使用時間(分):50●炎温度:1100℃●使用燃料:灯油●燃料容量:1.5L,ＴＲＵＳＣＯ　草焼バーナー　灯油タイプ　TB7000：工具箱　楽天市場店,ＴＲＵＳＣＯ　草焼バーナー　灯油タイプ　TB7000,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　草焼バーナー　灯油タイプ　TB7000[rn]
38-10078,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs42/trs7629443.jpg?fitin=700:700,3053.6000,,花・ガーデン・DIY > DIY・工具 > その他,Ｂｅｒｇｅｒ　　工作園芸用鋸６４７４０　４３５ｍｍ　64740,【業務用】 オレンジブック2017掲載,<b>メーカー／ＢＥＲＧＥＲ社</b><br><br>【特長】<br>●人間工学に基づいたエルゴノミックハンドルです。●「粘り」と「硬さ」を兼ね備えた、工具に最適なドイツ鋼製です。<br><br>【用途】<br>●木材の切断や各種加工に。<br><br>【仕様】<br>●全長(mm):435●刃長(mm):240●刃ピッチ(mm):-●替刃:96740●アサリあり<br><br>【材質／仕上】<br>●刃:クロームメッキ高品位刃物鋼●柄：プラスチック<br><br>【セット内容／付属品】<br>●サヤ<br><br>【原産国】　ドイツ<br><br>【質量】　320G<br><br>【2017　オレンジブック掲載】　5 2448ページ■商品コード：trs7629443　●全長(mm):435●刃長(mm):240●刃ピッチ(mm):-●替刃:96740●アサリあり,Ｂｅｒｇｅｒ　　工作園芸用鋸６４７４０　４３５ｍｍ　64740：工具箱　楽天市場店,Ｂｅｒｇｅｒ　　工作園芸用鋸６４７４０　４３５ｍｍ　64740,【業務用】 オレンジブック2017掲載。Ｂｅｒｇｅｒ　　工作園芸用鋸６４７４０　４３５ｍｍ　64740[rn]
38-10079,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,12728.0000,,花・ガーデン・DIY > DIY・工具 > その他,日立　電気チェンソー　FCS35SA,【業務用】 オレンジブック2017掲載,<b>メーカー／日立工機（株）</b><br><br>【特長】<br>●小形軽量・低騒音・低振動で、長時間作業でも疲れにくいです。●高負荷に耐えるワンランク上のパワフルモーターを採用しました。<br><br>【用途】<br>●薪割り、枝打ち。<br><br>【仕様】<br>●ガイドバー長さ(mm):350●ソーチェーン:90SG-52E●消費電力(kW):0.77●幅(mm):185●騒音値(dB):83●高さ(mm):178●電流(A):8.1●長さ(mm):-●標準消費電力料金(円/h):21.5●電源:単相100V●電源コード長さ:2m●チェーンスピード:6.4m/s<br><br>【セット内容／付属品】<br>●チェーンカバー●チェーンオイル（50ml）<br><br>【質量】　2.3KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2501　ページ■商品コード：trs3779912　●ガイドバー長さ(mm):350●ソーチェーン:90SG-52E●消費電力(kW):0.77●幅(mm):185●騒音値(dB):83●高さ(mm):178●電流(A):8.1●長さ(mm):-●標準消費電力料金(円/h):21.5●電源:単相100V●電源コード長さ:2m●チェーンスピード:6.4m/s,日立　電気チェンソー　FCS35SA：工具箱　楽天市場店,日立　電気チェンソー　FCS35SA,【業務用】 オレンジブック2017掲載。日立　電気チェンソー　FCS35SA[rn]
38-10080,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs35/trs4850319.jpg?fitin=700:700,4036.8000,,花・ガーデン・DIY > DIY・工具 > その他,アルス　太枝切鋏ロッパーМ　LPB30M,【業務用】 オレンジブック2017掲載,<b>メーカー／アルスコーポレーション（株）</b><br><br>【特長】<br>●ネジが緩みにくい緩み止め金具付きです。●手が疲れにくい衝撃吸収機構です。●抜群の切断力：Ｍサイズで36ｍｍ<br><br>【用途】<br>●太枝の剪定に。●枝の剪定作業。<br><br>【仕様】<br>●切断能力(mm):36●刃長(mm):78●全長(mm):630●刃部材質:高炭素刃物鋼(ＳＫ-5)●適合替刃:なし●最大切断枝径(mm):36●個装サイズ650×235×38●黒染め加工<br><br>【材質／仕上】<br>●刃:高強度アルミ合金●柄:アルミニウム●グリップ:ポリプロピレン(PP)<br><br>【セット内容／付属品】<br>●刃カバー<br><br>【質量】　975<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2413　ページ■商品コード：trs4850319　●切断能力(mm):36●刃長(mm):78●全長(mm):630●刃部材質:高炭素刃物鋼(ＳＫ-5)●適合替刃:なし●最大切断枝径(mm):36●個装サイズ650×235×38●黒染め加工,アルス　太枝切鋏ロッパーМ　LPB30M：工具箱　楽天市場店,アルス　太枝切鋏ロッパーМ　LPB30M,【業務用】 オレンジブック2017掲載。アルス　太枝切鋏ロッパーМ　LPB30M[rn]
38-10081,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs34/trs4755901.jpg?fitin=700:700,30583.2000,,花・ガーデン・DIY > DIY・工具 > その他,アイデック　　アイデック　エレック専用カルチアタッチメント　AACS15A,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）アイデック</b><br><br>【特長】<br>●充電式刈払機「エレック」専用のアタッチメントです。●充電式刈払機エレック用のアタッチメントです。●低回転・高トルクにより、効率よく作業ができます。<br><br>【用途】<br>●剪定作業<br><br>【仕様】<br>●付属品:-●寸法:L1180×W200×H250mm●品名:カルチアタッチメント●耕土幅(１５０ｍｍ)<br><br>【質量】　3KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2469　ページ■商品コード：trs4755901　●付属品:-●寸法:L1180×W200×H250mm●品名:カルチアタッチメント●耕土幅(１５０ｍｍ),アイデック　　アイデック　エレック専用カルチアタッチメント　AACS15A：工具箱　楽天市場店,アイデック　　アイデック　エレック専用カルチアタッチメント　AACS15A,【業務用】 オレンジブック2017掲載。アイデック　　アイデック　エレック専用カルチアタッチメント　AACS15A[rn]
38-10082,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs34/trs4747488.jpg?fitin=700:700,1914.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＧＳ　金星　別撰薄鎌　１６５ミリ　丸　100055,【業務用】 オレンジブック2017掲載,<b>メーカー／キンボシ（株）</b><br><br>【特長】<br>●手造り鍛造製法により切れ味が良く、刃持ちが優れています。●繰り返し研いで使用が可能です。<br><br>【用途】<br>●やわらかい草刈り用。<br><br>【仕様】<br>●刃長(mm):165●刃幅(mm):30●全長(mm):365●刃渡り(mm):145<br><br>【材質／仕上】<br>●刃:安来鋼青紙2号●柄:ポプラ<br><br>【原産国】　日本<br><br>【質量】　100G<br><br>【2017　オレンジブック掲載】　5 2432ページ■商品コード：trs4747488　●刃長(mm):165●刃幅(mm):30●全長(mm):365●刃渡り(mm):145,ＧＳ　金星　別撰薄鎌　１６５ミリ　丸　100055：工具箱　楽天市場店,ＧＳ　金星　別撰薄鎌　１６５ミリ　丸　100055,【業務用】 オレンジブック2017掲載。ＧＳ　金星　別撰薄鎌　１６５ミリ　丸　100055[rn]
38-10083,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,2364.0000,,花・ガーデン・DIY > DIY・工具 > その他,金象　本鋼付　手打ち三角ホー２４０　073749　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／浅香工業（株）</b><br><br>【特長】<br>●頭部は焼入れ（強度が上がる、摩耗に強くなる)・焼戻し(弾力性が上がる)の熱処理を行っています。●切れ味が悪くなると砥石で研ぐことができます。<br><br>【用途】<br>●うね斜面の除草。<br><br>【仕様】<br>●全長(mm):1465●刃渡り(mm):240<br><br>【材質／仕上】<br>●頭部：スチール（鋼付）●柄部：天然木<br><br>【質量】　1040G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2442　ページ≪メーカー直送品≫■商品コード：trs7807554　●全長(mm):1465●刃渡り(mm):240,金象　本鋼付　手打ち三角ホー２４０　073749　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,金象　本鋼付　手打ち三角ホー２４０　073749　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。金象　本鋼付　手打ち三角ホー２４０　073749　【代引き不可・配送時間指定不可】[rn]
38-10084,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2494230.jpg?fitin=700:700,417.6000,,花・ガーデン・DIY > DIY・工具 > その他,豊稔　光山作草取鋸鎌　HT0881,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）豊稔企販</b><br><br>【特長】<br>●先までのこ目を付けた草取り専用鎌です。<br><br>【用途】<br>●草取り用。<br><br>【仕様】<br>●刃長(mm):120●刃幅(mm):25●全長(mm):280<br><br>【材質／仕上】<br>●刃:高炭素刃物鋼●柄:ポプラ<br><br>【質量】　80G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2435　ページ■商品コード：trs2494230　●刃長(mm):120●刃幅(mm):25●全長(mm):280,豊稔　光山作草取鋸鎌　HT0881：工具箱　楽天市場店,豊稔　光山作草取鋸鎌　HT0881,【業務用】 オレンジブック2017掲載。豊稔　光山作草取鋸鎌　HT0881[rn]
38-10085,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs18/trs3824152.jpg?fitin=700:700,804.8000,,花・ガーデン・DIY > DIY・工具 > その他,豊稔　光山作裏目式刈払鎌１７０ｍｍ　HT1113,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）豊稔企販</b><br><br>【特長】<br>●従来の鎌の用途に、削るをプラスした便利な鎌です。●払っても、引いても切れる、新開発の三面刃付を採用しています。●目立て部分まで刃研ぎが可能です。<br><br>【用途】<br>●草刈・草削用。<br><br>【仕様】<br>●刃長(mm):170●刃幅(mm):35●全長(mm):440<br><br>【材質／仕上】<br>●刃:高炭素刃物鋼●柄:ポプラ<br><br><font color=red>【注意】<br>●鋭利な刃物です。十分注意して取り扱ってください。●ご使用前は刃のグラつき等、損傷がないか確認してからご使用してください。●ご使用後は汚れ・水分を取り、刃物用油で拭いて、安全な所に保管してください。</font><br><br>【質量】　200G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2435　ページ■商品コード：trs3824152　●刃長(mm):170●刃幅(mm):35●全長(mm):440,豊稔　光山作裏目式刈払鎌１７０ｍｍ　HT1113：工具箱　楽天市場店,豊稔　光山作裏目式刈払鎌１７０ｍｍ　HT1113,【業務用】 オレンジブック2017掲載。豊稔　光山作裏目式刈払鎌１７０ｍｍ　HT1113[rn]
38-10086,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs19/trs3878091.jpg?fitin=700:700,4292.0000,,花・ガーデン・DIY > DIY・工具 > その他,ムサシ　高枝鋏　ポールスリム３段式　アンビル刃　NO336,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ムサシ</b><br><br>【特長】<br>●超軽量タイプです。●切断能力の高いアンビル刃仕様です。●3段式のため、縮めれば1.4mになりコンパクトで車のトランクや物置に収納でき便利です。●切った果実や枝をつかめるキャッチ機能付です。●3段式1.4m～3.1m（18段階伸縮）タイプです。●高枝専用ノコギリを付ければ太い枝もカットできます。<br><br>【仕様】<br>●切断能力(mm):14●刃長(mm):54●縮長～全長:1400～3100mm●アンビル刃●18段伸縮<br><br>【材質／仕上】<br>●刃:高炭素刃物鋼●ポール部:アルミ合金<br><br>【セット内容／付属品】<br>●のこ刃<br><br>【質量】　1<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2403　ページ■商品コード：trs3878091　●切断能力(mm):14●刃長(mm):54●縮長～全長:1400～3100mm●アンビル刃●18段伸縮,ムサシ　高枝鋏　ポールスリム３段式　アンビル刃　NO336：工具箱　楽天市場店,ムサシ　高枝鋏　ポールスリム３段式　アンビル刃　NO336,【業務用】 オレンジブック2017掲載。ムサシ　高枝鋏　ポールスリム３段式　アンビル刃　NO336[rn]
38-10087,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs25/trs4231112.jpg?fitin=700:700,3540.8000,,花・ガーデン・DIY > DIY・工具 > その他,リョービ　高級刃３００ｍｍ　ヘッジトリマ用　B6730947,【業務用】 オレンジブック2017掲載,<b>メーカー／リョービ（株）</b><br><br>【特長】<br>●全刃3面研磨刃です。●刃物の擦り合わせ面へのヤニの付着を防ぐディンプルブレードです。●ニッケルコーティング仕様です。<br><br>【仕様】<br>●刃長(mm):300●適合機種:HT-3032<br><br>【質量】　380G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2487　ページ■商品コード：trs4231112　●刃長(mm):300●適合機種:HT-3032,リョービ　高級刃３００ｍｍ　ヘッジトリマ用　B6730947：工具箱　楽天市場店,リョービ　高級刃３００ｍｍ　ヘッジトリマ用　B6730947,【業務用】 オレンジブック2017掲載。リョービ　高級刃３００ｍｍ　ヘッジトリマ用　B6730947[rn]
38-10088,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,406.4000,,花・ガーデン・DIY > DIY・工具 > その他,岡田　Ｄ４０継カバー　15T62,【業務用】 オレンジブック2017掲載,<b>メーカー／岡田装飾金物（株）</b><br><br>【用途】<br>●レールの継ぎ目を固定します。<br><br>【仕様】<br>●品名:継カバー●寸法(mm):100.0×43.5×33.5<br><br>【材質／仕上】<br>●スチール<br><br><font color=red>【注意】<br>●Ｄ40、隙間カバー、隙間シート、カスタムレールに使用いただけます。●１発送先1回のご注文が部品で上代4万円未満の場合は1000円（北海道、沖縄1500円）、長尺ものがある場合は上代5万円未満の場合は2000円（北海道、沖縄3000円）　離島については都度</font><br><br>【原産国】　日本<br><br>【質量】　149G<br><br>【2017　オレンジブック掲載】　5 3050ページ■商品コード：trs2827174　●品名:継カバー●寸法(mm):100.0×43.5×33.5,岡田　Ｄ４０継カバー　15T62：工具箱　楽天市場店,岡田　Ｄ４０継カバー　15T62,【業務用】 オレンジブック2017掲載。岡田　Ｄ４０継カバー　15T62[rn]
38-10089,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs09/trs2946963.jpg?fitin=700:700,87.2000,,花・ガーデン・DIY > DIY・工具 > その他,岡田　Ｄ３０中間ストップ　12T39,【業務用】 オレンジブック2017掲載,<b>メーカー／岡田装飾金物（株）</b><br><br>【用途】<br>●ランナーの走行を止めます。<br><br>【仕様】<br>●品名:中間ストップ<br><br>【材質／仕上】<br>●スチール<br><br><font color=red>【注意】<br>●１発送先1回のご注文が部品で上代4万円未満の場合は1000円（北海道、沖縄1500円）、長尺ものがある場合は上代5万円未満の場合は2000円（北海道、沖縄3000円）　離島については都度</font><br><br>【原産国】　日本<br><br>【質量】　24G<br><br>【2017　オレンジブック掲載】　5 3053ページ■商品コード：trs2946963　●品名:中間ストップ,岡田　Ｄ３０中間ストップ　12T39：工具箱　楽天市場店,岡田　Ｄ３０中間ストップ　12T39,【業務用】 オレンジブック2017掲載。岡田　Ｄ３０中間ストップ　12T39[rn]
38-10090,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs03/trs1379071.jpg?fitin=700:700,237.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＯＳＯ　中型「シングルブラケットトＡ」（００１３７９０７１）　32SA,【業務用】 オレンジブック2017掲載,<b>メーカー／トーソー（株）</b><br><br>【仕様】<br>●品名:シングルブラケットA<br><br>【原産国】　日本<br><br>【質量】　33G<br><br>【2017　オレンジブック掲載】　5 3056ページ■商品コード：trs1379071　●品名:シングルブラケットA,ＴＯＳＯ　中型「シングルブラケットトＡ」（００１３７９０７１）　32SA：工具箱　楽天市場店,ＴＯＳＯ　中型「シングルブラケットトＡ」（００１３７９０７１）　32SA,【業務用】 オレンジブック2017掲載。ＴＯＳＯ　中型「シングルブラケットトＡ」（００１３７９０７１）　32SA[rn]
38-10091,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs15/trs3630781.jpg?fitin=700:700,273.6000,,花・ガーデン・DIY > DIY・工具 > その他,岡田　ベンダーランナー　19T11,【業務用】 オレンジブック2017掲載,<b>メーカー／岡田装飾金物（株）</b><br><br>【特長】<br>●カーブレールをスムーズに走行します。<br><br>【用途】<br>●レールを挟んだランナーにシート等を引っ掛け、簡単にシートを開閉<br><br>【仕様】<br>●高さ(mm):53●品名:ランナー●最大荷重(kg):8●レール下端からカン下寸法(mm):29.5<br><br>【材質／仕上】<br>●スチール<br><br><font color=red>【注意】<br>●１発送先1回のご注文が部品で上代4万円未満の場合は1000円（北海道、沖縄1500円）、長尺ものがある場合は上代5万円未満の場合は2000円（北海道、沖縄3000円）　離島については都度</font><br><br>【原産国】　日本<br><br>【質量】　30G<br><br>【2017　オレンジブック掲載】　5 3054ページ■商品コード：trs3630781　●高さ(mm):53●品名:ランナー●最大荷重(kg):8●レール下端からカン下寸法(mm):29.5,岡田　ベンダーランナー　19T11：工具箱　楽天市場店,岡田　ベンダーランナー　19T11,【業務用】 オレンジブック2017掲載。岡田　ベンダーランナー　19T11[rn]
38-10092,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs19/trs3848001.jpg?fitin=700:700,64.8000,,花・ガーデン・DIY > DIY・工具 > その他,岡田　Ｄ４０ステンジョイント　25T61,【業務用】 オレンジブック2017掲載,<b>メーカー／岡田装飾金物（株）</b><br><br>【特長】<br>●耐蝕、耐錆、耐磨耗性に優れたステンレス（ＳＵＳ３０４）製です。<br><br>【用途】<br>●レールの穴に差込みレールを繋ぎます。●継ぎ目の段差をなくします。<br><br>【仕様】<br>●品名:ステンジョイント●寸法(mm):100.0×3.0×3.0<br><br>【材質／仕上】<br>●ステンレス（SUS304）<br><br><font color=red>【注意】<br>●Ｄ40、隙間カバー、隙間シートレールに使用いただけます。●１発送先1回のご注文が部品で上代4万円未満の場合は1000円（北海道、沖縄1500円）、長尺ものがある場合は上代5万円未満の場合は2000円（北海道、沖縄3000円）　離島については都度</font><br><br>【原産国】　日本<br><br>【質量】　6G<br><br>【2017　オレンジブック掲載】　5 3051ページ■商品コード：trs3848001　●品名:ステンジョイント●寸法(mm):100.0×3.0×3.0,岡田　Ｄ４０ステンジョイント　25T61：工具箱　楽天市場店,岡田　Ｄ４０ステンジョイント　25T61,【業務用】 オレンジブック2017掲載。岡田　Ｄ４０ステンジョイント　25T61[rn]
38-10093,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3675092.jpg?fitin=700:700,7585.6000,,花・ガーデン・DIY > DIY・工具 > その他,ユタカ　シート　簡易間仕切り防炎・制電　２ｍ×２ｍ　クリア　B321,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ユタカメイク</b><br><br>【特長】<br>●お好みの高さ（長さ）にカットが可能です。●両サイドジョイントが可能です。●紫外線（波長:300～380nm）を約98%カット<br><br>【用途】<br>●入り口・軒先・部屋の仕切り。<br><br>【仕様】<br>●色:透明●厚み(mm):0.30●幅×長さ(m×m):2×2●タイプ:防炎・制電●上部ハトメ数(個):12●上部200mm間隔に1枚、芯材入り●両サイドマジックテープ付●スソ部分は切りっぱなし●シート厚み:0.15mm<br><br>【材質／仕上】<br>●シート:PVC+ポリエステル糸●芯材:ポリエチレン<br><br><font color=red>【注意】<br>●本製品には、Ｓカンやレール、ランナーなどの付属品は付いておりません</font><br><br>【質量】　1600G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3065　ページ■商品コード：trs3675092　●色:透明●厚み(mm):0.30●幅×長さ(m×m):2×2●タイプ:防炎・制電●上部ハトメ数(個):12●上部200mm間隔に1枚、芯材入り●両サイドマジックテープ付●スソ部分は切りっぱなし●シート厚み:0.15mm,ユタカ　シート　簡易間仕切り防炎・制電　２ｍ&times;２ｍ　クリア　B321：工具箱　楽天市場店,ユタカ　シート　簡易間仕切り防炎・制電　２ｍ&times;２ｍ　クリア　B321,【業務用】 オレンジブック2017掲載。ユタカ　シート　簡易間仕切り防炎・制電　２ｍ&times;２ｍ　クリア　B321[rn]
38-10094,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs27/trs4417267.jpg?fitin=700:700,238464.0000,,花・ガーデン・DIY > DIY・工具 > その他,菊地　ＴＳアルプロテック４５８５　TSAP4585147010　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／菊地シート工業（株）</b><br><br>【特長】<br>●PAN系耐炎繊維とパラ系アラミド繊維の混紡織物にアルミ箔を直接ラミネート、特殊表面処理をしているので、高温飛散物に接触しても穴が開きにくく、剥がれにくい材料です。●優れた断熱性(伝導、輻射、対流熱からの保護)を発揮します。●耐久性に優れています。<br><br>【用途】<br>●工場機械の保護に。●工場内カーテン・間仕切りに。●製鉄所、調理場、鋳造所での作業服、手袋●消防士の装備品<br><br>【仕様】<br>●色:シルバー/濃緑●幅(mm):1500●長さ(m):10●厚み(mm):0.65<br><br>【材質／仕上】<br>●基布：PAN系耐炎繊維とパラ系アラミド繊維の混紡織物<br><br>【質量】　5.6KG<br><br>【原産国】　フランス<br><br>【2017　オレンジブック掲載】　5 3062　ページ≪メーカー直送品≫■商品コード：trs4417267　●色:シルバー/濃緑●幅(mm):1500●長さ(m):10●厚み(mm):0.65,菊地　ＴＳアルプロテック４５８５　TSAP4585147010　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,菊地　ＴＳアルプロテック４５８５　TSAP4585147010　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。菊地　ＴＳアルプロテック４５８５　TSAP4585147010　 【代引き不可・配送時間指定不可】[rn]
