7-8201,,408.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０×５０ 受注単位1,環境安全用品\テープ用品\梱包用テープ,"K504X04<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●本来の使いやすさに加え、滑りにくい・重ねて貼れる・油性インキで文字が書けるという３つの機能をプラスしました。<br><br><br>●色：ダンボール<br>●幅(mm)：60<br>●長さ(m)：50<br>●厚み(mm)：0.14<br><br>●粘着力：3.3Ｎ/10mm<br>●引張強度：60Ｎ/10mm<br><br>●基材：クラフト紙<br>●粘着剤：ゴム系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1,環境安全用品\テープ用品\梱包用テープ。『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1[rn]
7-8212,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005149687.jpg?fitin=700:700,19926.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホールリール　４０ｍ耐圧ホース　レバーノズル付【SLA-40P(1117-092AGP)  (ｽﾃﾝ)】(1065211) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"106-5211<br><br><br><br><br><br><br>●適合ホース長さ(m):40<br>●適合ホース(mm)径×外径:15×20<br>●使用圧力(MPa):0.4<br>●(mm):440<br>●奥行(mm):490<br>●高さ(mm):477<br>●蛇口側ホース長さ:1.5m（ホースバンド付）<br>●耐圧ホース<br>●フレーム・ドラム:ステンレス（SUS304）<br>●ホース:塩化ビニール（PVC）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホース巻き取り時に手を汚さないナラシ巻きホースガイド付です。<br>●巻き取りやすい大型ハンドル、足踏みペダル付です。<br>●シール部は水漏れのないダブルパッキン方式です。<br>●本体に最高級304ステンレスを採用しました。<br>●安定感抜群の大型脚ゴムです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホールリール　４０ｍ耐圧ホース　レバーノズル付【SLA-40P(1117-092AGP)  (ｽﾃﾝ)】(1065211) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホールリール　４０ｍ耐圧ホース　レバーノズル付【SLA-40P(1117-092AGP)  (ｽﾃﾝ)】(1065211) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホールリール　４０ｍ耐圧ホース　レバーノズル付【SLA-40P(1117-092AGP)  (ｽﾃﾝ)】(1065211) 受注単位1[rn]
7-8213,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659669.jpg?fitin=700:700,18779.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒昭和ブリッジ販売/昭和　アルミ製ホース巻取機【MA-5B   (ﾘｻｲｸﾙｻﾞｲｼﾖｳ)】(2411458) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"241-1458<br><br><br><br><br><br><br>●巻取り長さ(m):150<br>●適合ホース(mm)径×外径:8.5×13.7<br>●(mm):650<br>●奥行(mm):600<br>●高さ(mm):600<br>●組立式<br>●8.5mmホース巻取長さ（m）:150<br>●リサイクル材重量（kg）:3.3（50.8%）<br>●本体:アルミ合金（A6063）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●操作の軽い軸受ベアリングを装備しています。<br>●持ち運びに便利な持ち手付です。<br>●8.5mm用より戻し金具を全機種に標準装備しています。<br>●トラック取り付け型です（MA-5B・6B）。<br>●ホースは別売です。<br>●リサイクル材を使用しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒昭和ブリッジ販売/昭和　アルミ製ホース巻取機【MA-5B   (ﾘｻｲｸﾙｻﾞｲｼﾖｳ)】(2411458) 受注単位1：クローバー資材館,『カード対応OK！』■〒昭和ブリッジ販売/昭和　アルミ製ホース巻取機【MA-5B   (ﾘｻｲｸﾙｻﾞｲｼﾖｳ)】(2411458) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒昭和ブリッジ販売/昭和　アルミ製ホース巻取機【MA-5B   (ﾘｻｲｸﾙｻﾞｲｼﾖｳ)】(2411458) 受注単位1[rn]
7-8214,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002780847.jpg?fitin=700:700,8906.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　３０ｍ【THR-30P】(2760304) 受注単位1,(2760304),"276-0304<br><br><br><br><br><br><br>●適合ホース長さ(m):30<br>●適合ホース(mm)径×外径:13×19<br>●使用圧力(MPa):0.784<br>●(mm):372<br>●奥行(mm):420<br>●高さ(mm):395<br>●蛇口側ホース長さ:1.5m（パチット蛇口付）<br>●適合蛇口外径:14〜18mm<br>●フレーム:ABS樹脂<br>●ドラム:ポリプロピレン樹脂（PP）<br>●ホース:塩化ビニール樹脂（PVC）（補強材、径13mm）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●「折れ」「ねじれ」「つぶれ」を防ぐ緩衝コイルホースを採用しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　３０ｍ【THR-30P】(2760304) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　３０ｍ【THR-30P】(2760304) 受注単位1,(2760304)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　３０ｍ【THR-30P】(2760304) 受注単位1[rn]
7-8215,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002981286.jpg?fitin=700:700,3334.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タカギ/タカギ　オーロラナノ【RM110FJ】(3558665) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"355-8665<br><br><br><br><br><br><br>●適合ホース長さ(m):10<br>●適合ホース(mm)径×外径:7.5×11<br>●使用圧力(MPa):0.7<br>●(mm):117<br>●奥行(mm):280<br>●高さ(mm):254<br>●色：青<br>●蛇口側ホース:1.5m(パチット蛇口付)<br>●持ち運び用取手付<br>●ノズル:ワンタッチ取り付け<br>●ホース:防藻加工<br>●適合蛇口外径:14〜18mm<br>●本体:ポリプロピレン（PP）<br>●ホース:塩化ビニール（PVC）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホースには防藻加工を施し、よごれを防止します。<br>●レバー操作が簡単で、片手操作可能なコンパクトノズルタイプです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タカギ/タカギ　オーロラナノ【RM110FJ】(3558665) 受注単位1：クローバー資材館,『カード対応OK！』■〒タカギ/タカギ　オーロラナノ【RM110FJ】(3558665) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒タカギ/タカギ　オーロラナノ【RM110FJ】(3558665) 受注単位1[rn]
7-8216,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002894191.jpg?fitin=700:700,1996.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ２【G134FJ】(3278492) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"327-8492<br><br><br><br><br><br><br>●適合ホース(mm)径×外径:15〜18×22<br>●高さ(mm):195<br>●ホースバンド付<br>●亜鉛ダイカスト合金<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●レバー操作で、キリからストレートまで水の出方が自在に調節できる丈夫なノズルです。<br>●ホース内径15～18mm、外径22mmまで可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ２【G134FJ】(3278492) 受注単位1：クローバー資材館,『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ２【G134FJ】(3278492) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ２【G134FJ】(3278492) 受注単位1[rn]
7-8217,,6860.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E1310】(4975987) 防水ソフトテープ３０ｍ 受注単位1,環境安全用品\テープ用品\すきまテープ,"E1310<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●30mの長尺なので、必要な長さだけカットして無駄なく対応できます。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：ブラック<br>●幅(mm)：12<br>●長さ(m)：30<br>●厚み(mm)：10<br><br>●粘着力：13.5N/25mm<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E1310】(4975987) 防水ソフトテープ３０ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E1310】(4975987) 防水ソフトテープ３０ｍ 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E1310】(4975987) 防水ソフトテープ３０ｍ 受注単位1[rn]
7-8218,,104.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E022】(4417534) すきまテープ　２巻パック 受注単位1,環境安全用品\テープ用品\すきまテープ,"E022<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●すき間風やほこりを防ぎ、冷暖房効果を高めます。<br>●お徳用2巻パックです。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：グレー<br>●幅(mm)：15<br>●長さ(m)：2<br>●厚み(mm)：10<br><br>●粘着力：4.7N/20mm<br>●切断にはカッターが必要<br>●見掛け密度：20ｋｇ/ｍ3<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E022】(4417534) すきまテープ　２巻パック 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E022】(4417534) すきまテープ　２巻パック 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E022】(4417534) すきまテープ　２巻パック 受注単位1[rn]
7-8219,,309.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E1280】(4417682) すきまテープ徳用ロング２巻パック 受注単位1,環境安全用品\テープ用品\すきまテープ,"E1280<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●すきま風を防ぎ、冷暖房効果を高めます。<br>●ほこりや音の侵入を防ぎます。<br>●フィルム入りで、貼りやすく剥がしやすいです。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：グレー<br>●幅(mm)：15<br>●長さ(m)：5<br>●厚み(mm)：10<br><br>●粘着力：1.0N/25mm<br>●切断にはカッターが必要<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E1280】(4417682) すきまテープ徳用ロング２巻パック 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E1280】(4417682) すきまテープ徳用ロング２巻パック 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E1280】(4417682) すきまテープ徳用ロング２巻パック 受注単位1[rn]
7-8220,,109.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E0231】(4975979) 隙間テープ広幅　ブラウン 受注単位1,環境安全用品\テープ用品\すきまテープ,"E0231<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●すき間風を防ぎ、冷暖房効果を高めます。<br>●ほこりや音の侵入を防ぎます。<br>●フィルム入りで、貼りやすく剥しやすいです。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：ブラウン<br>●幅(mm)：30<br>●長さ(m)：2<br>●厚み(mm)：10<br><br>●粘着力：13.1N/25mm<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E0231】(4975979) 隙間テープ広幅　ブラウン 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E0231】(4975979) 隙間テープ広幅　ブラウン 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E0231】(4975979) 隙間テープ広幅　ブラウン 受注単位1[rn]
7-8221,,8577.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E1320】(4975995) 防水ソフトテープ広幅　３０ｍ 受注単位1,環境安全用品\テープ用品\すきまテープ,"E1320<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●30mの長尺なので、必要な長さだけカットして無駄なく対応できます。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：ブラック<br>●幅(mm)：15<br>●長さ(m)：30<br>●厚み(mm)：10<br><br>●粘着力：13.5N/25mm<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E1320】(4975995) 防水ソフトテープ広幅　３０ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E1320】(4975995) 防水ソフトテープ広幅　３０ｍ 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E1320】(4975995) 防水ソフトテープ広幅　３０ｍ 受注単位1[rn]
7-8222,,104.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E0221】(4975961) 隙間テープ２巻　ブラウン 受注単位1,環境安全用品\テープ用品\すきまテープ,"E0221<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●すき間風やほこりを防ぎ、冷暖房効果を高めます。<br>●お徳用2巻パックです。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：ブラウン<br>●幅(mm)：15<br>●長さ(m)：2<br>●厚み(mm)：10<br><br>●粘着力：13.1N/25mm<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E0221】(4975961) 隙間テープ２巻　ブラウン 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E0221】(4975961) 隙間テープ２巻　ブラウン 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E0221】(4975961) 隙間テープ２巻　ブラウン 受注単位1[rn]
7-8223,,309.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E1290】(4417691) すきまテープ徳用ロング広幅 受注単位1,環境安全用品\テープ用品\すきまテープ,"E1290<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●すきま風を防ぎ、冷暖房効果を高めます。<br>●ほこりや音の侵入を防ぎます。<br>●フィルム入りで、貼りやすく剥がしやすいです。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：グレー<br>●幅(mm)：30<br>●長さ(m)：5<br>●厚み(mm)：10<br><br>●粘着力：1.0N/25mm<br>●切断にはカッターが必要<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E1290】(4417691) すきまテープ徳用ロング広幅 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E1290】(4417691) すきまテープ徳用ロング広幅 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E1290】(4417691) すきまテープ徳用ロング広幅 受注単位1[rn]
7-8224,,109.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ニトムズ【E0230】(4417542) すきまテープ広幅 受注単位1,環境安全用品\テープ用品\すきまテープ,"E0230<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●すきま風を防ぎ、冷暖房効果を高めます。<br>●ほこりや音の侵入を防ぎます。<br>●フィルム入りで、貼りやすく剥がしやすいです。<br><br>●すき間風・ホコリの侵入防止に。<br><br>●色：グレー<br>●幅(mm)：30<br>●長さ(m)：2<br>●厚み(mm)：10<br><br>●粘着力：4.7N/20mm<br>●切断にはカッターが必要<br><br>●基材：ポリウレタンフォーム・ポリエステルフィルム<br>●粘着剤：アクリル系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒ニトムズ【E0230】(4417542) すきまテープ広幅 受注単位1：クローバー資材館,【カード対応OK！】■〒ニトムズ【E0230】(4417542) すきまテープ広幅 受注単位1,環境安全用品\テープ用品\すきまテープ。【カード対応OK！】■〒ニトムズ【E0230】(4417542) すきまテープ広幅 受注単位1[rn]
7-8225,,14742.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニチバン/ニチバン　オートテーパー　ＴＣＥ－２００【TCE-200】(3322971) 受注単位1,環境安全用品\テープ用品\テープカッター,"332-2971<br><br><br><br><br><br><br>●使用テープ(mm):7〜24<br>●最大テープ外径(mm):135<br>●テープ長さ設定範囲:30〜95mm（5mm間隔 14段階）<br>●電源:AC100V（単1電池3本でも使用可能・別売）<br>●消費電力:2.7W<br>●本体寸法（×奥行×高さ）:96×195×133mm<br>●テープの長さは記憶機能付<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●設定寸法のテープが自動で送り出されます。<br>●寸法はデジタル表示で見やすく、設定も簡単です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ニチバン/ニチバン　オートテーパー　ＴＣＥ&minus;２００【TCE-200】(3322971) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニチバン/ニチバン　オートテーパー　ＴＣＥ&minus;２００【TCE-200】(3322971) 受注単位1,環境安全用品\テープ用品\テープカッター。『カード対応OK！』■〒ニチバン/ニチバン　オートテーパー　ＴＣＥ&minus;２００【TCE-200】(3322971) 受注単位1[rn]
7-8226,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003837683.jpg?fitin=700:700,1231.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オープン工業/ＯＰ　ＰＰカッター【PP-18】(32522) 受注単位1,環境安全用品\テープ用品\テープカッター,"003-2522<br><br><br><br><br><br><br>●最大テープ(mm):50<br>●最大テープ外径(mm):136<br>●3インチ（76mm）紙管用<br>●本体寸法（×奥行×高さ）:60×165×60mm<br>●適用テープ:OPP・クラフトテープ<br>●本体:スチール<br>●刃:スチール<br>●テープ別売<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ハサミを使わず、片手で一気にテープを貼り付け、カットできます。<br>●PP・クラフトテープに使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オープン工業/ＯＰ　ＰＰカッター【PP-18】(32522) 受注単位1：クローバー資材館,『カード対応OK！』■〒オープン工業/ＯＰ　ＰＰカッター【PP-18】(32522) 受注単位1,環境安全用品\テープ用品\テープカッター。『カード対応OK！』■〒オープン工業/ＯＰ　ＰＰカッター【PP-18】(32522) 受注単位1[rn]
7-8227,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004343534.jpg?fitin=700:700,1754.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バッグシーラー　ステンレス製　１２ｍｍ【TBSS-12】(3894681) 受注単位1,(3894681),"389-4681<br><br><br><br><br><br><br>●色:シルバー<br>●最大テープ(mm):12<br>●本体寸法（×奥行×高さ）:73×218×150mm<br>●刃:焼鋼（SK-5）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●回転型システムで、効率よく作業ができます。<br>●袋のネック部分を、溝に通しシールができると同時に袋の口をきれいにカットできます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バッグシーラー　ステンレス製　１２ｍｍ【TBSS-12】(3894681) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バッグシーラー　ステンレス製　１２ｍｍ【TBSS-12】(3894681) 受注単位1,(3894681)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バッグシーラー　ステンレス製　１２ｍｍ【TBSS-12】(3894681) 受注単位1[rn]
7-8228,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002903922.jpg?fitin=700:700,4007.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オープン工業/ＯＰ　ジャンボカッター【TD2000】(32514) 受注単位1,環境安全用品\テープ用品\テープカッター,"003-2514<br><br><br><br><br><br><br>●最大テープ(mm):60<br>●最大テープ外径(mm):134<br>●3インチ（76mm）紙管用<br>●本体寸法（×奥行×高さ）:82×225×170mm<br>●安カバー付<br>●本体：亜鉛ダイキャスト<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●重量感があって、片手で容易に作業ができます。<br>●安全カバーで、直接刃に指が当たりません。<br>●取っ手が中央にあるのでバランス良く運びやすい。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オープン工業/ＯＰ　ジャンボカッター【TD2000】(32514) 受注単位1：クローバー資材館,『カード対応OK！』■〒オープン工業/ＯＰ　ジャンボカッター【TD2000】(32514) 受注単位1,環境安全用品\テープ用品\テープカッター。『カード対応OK！』■〒オープン工業/ＯＰ　ジャンボカッター【TD2000】(32514) 受注単位1[rn]
7-8229,,62.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オープン工業/ＯＰ【TDB-1】(4978099) テープカッター用替刃 受注単位1,環境安全用品\テープ用品\テープカッター,"TDB-1<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●適合本体：TD-30、TD-60、TD-51、TD-100、TD-200（各色）<br>●最大テープ幅：24mm<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オープン工業/ＯＰ【TDB-1】(4978099) テープカッター用替刃 受注単位1：クローバー資材館,『カード対応OK！』■〒オープン工業/ＯＰ【TDB-1】(4978099) テープカッター用替刃 受注単位1,環境安全用品\テープ用品\テープカッター。『カード対応OK！』■〒オープン工業/ＯＰ【TDB-1】(4978099) テープカッター用替刃 受注単位1[rn]
